,https://roic.ai/company/ATI,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,869200000,92700000,185400000,431100000,315400000,-91300000,106100000,-369400000,-612400000,80300000,362100000,366100000,-1302700000,117600000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1637,0.0303,0.0458,0.0832,0.0627,-0.0226,0.0251,-0.0993,-0.1954,0.0228,0.0895,0.0888,-0.4368,0.0420
19,Total Other Income Expenses (Gains),-13700000,43000000,-78400000,-14900000,-49400000,-103300000,-78800000,-2617000000,8200000,-67300000,-31300000,-5400000,-9100000,-27800000,-59700000,-91700000,-71400000,-63500000,-104600000,-108600000,-121600000,-166800000,-114400000,-124500000,-179200000,-107000000
20,Income Before Tax,384700000,475200000,391200000,174200000,208800000,-36400000,-103800000,-2802000000,19800000,307100000,869200000,1147300000,860100000,64900000,125700000,339400000,244000000,-154800000,1500000,-478000000,-734000000,-86500000,247700000,241600000,-1481900000,10600000
21,Income Before Tax Ratio,0.1008,0.1269,0.0997,0.0759,0.0849,-0.0171,-0.0544,-1.4463,0.0072,0.0868,0.1760,0.2104,0.1620,0.0212,0.0311,0.0655,0.0485,-0.0383,0.0004,-0.1285,-0.2342,-0.0245,0.0612,0.0586,-0.4969,0.0038
22,Income Tax expense (Gain),158200000,177600000,150000000,63200000,76300000,-11200000,-38000000,33100000,- -,-54700000,297300000,400200000,294200000,26900000,47000000,116300000,76200000,-63600000,-8700000,-112100000,-106900000,-6800000,11000000,-28500000,77700000,26800000
23,Net Income,213000000,297600000,241200000,300200000,132500000,-25200000,-65800000,-314600000,19800000,359800000,571900000,747100000,565900000,31700000,70700000,214300000,158400000,154000000,-2600000,-377900000,-640900000,-91900000,222400000,257600000,-1572600000,-38200000
24,Net Income ratio,0.0558,0.0795,0.0615,0.1307,0.0539,-0.0118,-0.0345,-0.1624,0.0072,0.1016,0.1158,0.1370,0.1066,0.0104,0.0175,0.0413,0.0315,0.0381,-0.0006,-0.1016,-0.2045,-0.0261,0.0550,0.0625,-0.5273,-0.0136
25,EPS,2.40,3.40,2.46,3.15,1.60,-0.31,-0.82,-3.89,0.23,3.74,5.74,7.35,5.71,0.33,0.73,2.09,1.49,1.44,-0.03,-3.53,-5.97,-0.83,1.78,2.05,-12.43,-0.30
26,EPS Diluted,2.40,3.34,2.44,3.13,1.60,-0.31,-0.82,-3.89,0.22,3.57,5.59,7.26,5.67,0.32,0.72,1.97,1.43,1.44,-0.03,-3.53,-5.97,-0.83,1.61,1.85,-12.43,-0.30
27,Weighted Average Shares Outstanding,87916667,87529412,98048780,95301587,82812500,81290323,80243902,80874036,86086957,96203209,99634146,101646259,99100000,97200000,97500000,102500000,106100000,106800000,107100000,107300000,107300000,110100000,125200000,125800000,126500000,126500000
28,Weighted Average Shares Outstanding Diluted,87916667,89101796,98852459,95910543,82812500,81290323,80243902,80874036,90000000,100784314,102307692,102906336,99800000,98100000,98700000,113900000,116600000,106800000,107100000,107300000,107300000,110100000,145900000,146500000,126500000,126500000
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1018963/000095012897000664/0000950128-97-000664-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1018963/000095012803000412/0000950128-03-000412-index.html,https://www.sec.gov/Archives/edgar/data/1018963/000095012804000283/0000950128-04-000283-index.html,https://www.sec.gov/Archives/edgar/data/1018963/000095012805000057/0000950128-05-000057-index.html,https://www.sec.gov/Archives/edgar/data/1018963/000095015206001573/j1820901e10vk.htm,https://www.sec.gov/Archives/edgar/data/1018963/000095015207001549/l24090ae10vk.htm,https://www.sec.gov/Archives/edgar/data/1018963/000095015208001416/l29833ae10vk.htm,https://www.sec.gov/Archives/edgar/data/1018963/000095015209001663/0000950152-09-001663-index.html,https://www.sec.gov/Archives/edgar/data/1018963/000095012310017084/0000950123-10-017084-index.html,https://www.sec.gov/Archives/edgar/data/1018963/000095012311019865/l41886e10vk.htm,https://www.sec.gov/Archives/edgar/data/1018963/000119312512081765/0001193125-12-081765-index.html,https://www.sec.gov/Archives/edgar/data/1018963/000119312513084310/0001193125-13-084310-index.html,https://www.sec.gov/Archives/edgar/data/1018963/000144530514000663/atify201310-k.htm,https://www.sec.gov/Archives/edgar/data/1018963/000101896315000005/atify201410-k.htm,https://www.sec.gov/Archives/edgar/data/1018963/000101896316000049/0001018963-16-000049-index.html,https://www.sec.gov/Archives/edgar/data/1018963/000101896317000007/0001018963-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/1018963/000101896318000004/0001018963-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/1018963/000101896319000007/0001018963-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/1018963/000101896320000004/0001018963-20-000004-index.html,https://www.sec.gov/Archives/edgar/data/1018963/000162828021003434/0001628280-21-003434-index.htm,https://www.sec.gov/Archives/edgar/data/1018963/000162828022003961/0001628280-22-003961-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,62500000,50300000,74800000,50700000,26200000,33700000,59400000,79600000,250800000,362700000,502300000,623300000,469900000,708800000,432300000,380600000,304600000,1026800000,269500000,149800000,229600000,141600000,382000000,490800000,645900000,687700000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,62500000,50300000,74800000,50700000,26200000,33700000,59400000,79600000,250800000,362700000,502300000,623300000,469900000,708800000,432300000,380600000,304600000,1026800000,269500000,149800000,229600000,141600000,382000000,490800000,645900000,687700000
34,Net Receivables,525300000,518000000,534700000,341200000,325300000,274600000,239300000,248800000,357900000,442100000,610900000,652200000,530500000,392000000,545400000,709100000,613300000,528200000,603600000,400300000,452100000,545300000,579000000,592600000,384700000,523900000
35,Inventory,518400000,582400000,659900000,558300000,585700000,508400000,409000000,359700000,513000000,607100000,798700000,916100000,887600000,825500000,1024500000,1384300000,1536600000,1322100000,1472800000,1271600000,1037000000,1176100000,1211100000,1155300000,997100000,1046300000
36,Other Current Assets,93600000,78000000,95100000,83300000,85600000,109400000,104700000,55200000,38500000,72100000,76000000,57100000,41400000,71300000,112900000,95500000,56100000,73700000,136200000,45900000,47800000,52700000,74600000,64300000,38300000,48800000
37,Total Current Assets,1199800000,1228700000,1364500000,1033500000,1022800000,926100000,812400000,743300000,1160200000,1484000000,1987900000,2248700000,1929400000,1997600000,2115100000,2569500000,2510600000,2950800000,2482100000,1867600000,1766500000,1915700000,2246700000,2303000000,2066000000,2306700000
38,PP&E,731400000,687700000,1003600000,912400000,872000000,828900000,757600000,711100000,718300000,704900000,867600000,1239500000,1633600000,1907900000,1989300000,2368800000,2559900000,2874100000,2961800000,2928200000,2498900000,2495700000,2475000000,2450100000,1469200000,1528500000
39,Goodwill,177100000,169900000,256000000,- -,194500000,188400000,194400000,198400000,205300000,199700000,206500000,209800000,190900000,207800000,206800000,737700000,- -,- -,- -,651400000,641900000,531400000,534700000,525800000,240700000,227900000
40,Intangible Assets,- -,- -,- -,204200000,- -,- -,- -,- -,- -,- -,- -,- -,134900000,169600000,182400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,177100000,169900000,256000000,204200000,194500000,188400000,194400000,198400000,205300000,199700000,206500000,209800000,325800000,377400000,389200000,737700000,- -,- -,- -,651400000,641900000,531400000,534700000,525800000,240700000,227900000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,85400000,34300000,53000000,155300000,124800000,42100000,281600000,63100000,- -,- -,71500000,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,498100000,518200000,551400000,600500000,686900000,699800000,243400000,197800000,178900000,187700000,95400000,355500000,- -,- -,- -,370900000,1105800000,1073600000,1138700000,304500000,262700000,242600000,245400000,355700000,259000000,222100000
45,Total Non-Current Assets,1406600000,1375800000,1811000000,1717100000,1753400000,1717100000,1280800000,1141600000,1155500000,1247600000,1294300000,1846900000,2241000000,2348400000,2378500000,3477400000,3737200000,3947700000,4100500000,3884100000,3403500000,3269700000,3255100000,3331600000,1968900000,1978500000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2606400000,2604500000,3175500000,2750600000,2776200000,2643200000,2093200000,1884900000,2315700000,2731600000,3282200000,4095600000,4170400000,4346000000,4493600000,6046900000,6247800000,6898500000,6582600000,5751700000,5170000000,5185400000,5501800000,5634600000,4034900000,4285200000
48,Accounts Payable,241700000,247500000,227000000,172900000,169300000,155300000,171300000,172300000,271200000,312900000,355100000,388400000,278500000,308600000,394100000,490700000,499900000,471800000,556700000,380800000,294300000,420100000,498800000,521200000,290600000,375500000
49,Short-Term Debt,- -,- -,68200000,152700000,53200000,9200000,9700000,27800000,29400000,13400000,23700000,20900000,15200000,33500000,141400000,27300000,17100000,419900000,17800000,3900000,105100000,10100000,6600000,11500000,17800000,131300000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,71400000,78700000,111800000,116200000
52,Other Current Liabilities,344100000,314000000,327100000,214400000,191000000,168200000,161000000,194600000,192200000,234600000,266700000,294700000,400200000,282500000,255500000,343800000,354500000,319300000,385400000,301800000,309300000,282400000,260100000,237800000,233100000,233400000
53,Total Current Liabilities,585800000,561500000,622300000,540000000,413500000,332700000,342000000,394700000,492800000,560900000,645500000,704000000,693900000,624600000,791000000,861800000,871500000,1211000000,959900000,686500000,708700000,712600000,836900000,849200000,653300000,856400000
54,Long-Term Debt,443400000,326100000,446800000,200300000,490600000,573000000,509400000,504300000,553300000,547000000,529900000,507300000,494600000,1037600000,921900000,1482000000,1463000000,1527400000,1509100000,1491800000,1771900000,1530600000,1535500000,1387400000,1550000000,1711600000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7300000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,158700000,153700000,- -,- -,- -,- -,- -,- -,- -,- -,68600000,9800000,- -,206600000,80900000,75600000,15600000,9700000,12900000,7000000,- -,- -
57,Other Non-Current Liabilities,705700000,717200000,766500000,810100000,674200000,639100000,793000000,811200000,843700000,823800000,614200000,660800000,1020600000,594200000,582700000,1121700000,1326200000,958800000,1323400000,1313400000,1229000000,1088000000,1117600000,1197800000,1190200000,884500000
58,Total Non-Current Liabilities,1149100000,1043300000,1213300000,1010400000,1323500000,1365800000,1302400000,1315500000,1397000000,1370800000,1144100000,1168100000,1515200000,1631800000,1573200000,2613500000,2789200000,2692800000,2913400000,2880800000,3016500000,2628300000,2673300000,2592200000,2740200000,2596100000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,1734900000,1604800000,1835600000,1550400000,1737000000,1698500000,1644400000,1710200000,1889800000,1931700000,1789600000,1872100000,2209100000,2256400000,2364200000,3475300000,3660700000,3903800000,3873300000,3567300000,3725200000,3340900000,3510200000,3441400000,3393500000,3452500000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,17400000,17600000,19800000,9900000,9900000,9900000,9900000,9900000,9900000,9900000,10100000,10200000,10200000,10200000,10200000,11000000,11000000,11000000,11000000,11000000,11000000,12700000,12700000,12700000,12700000,- -
64,Retained Earnings,596700000,752700000,923900000,994500000,1050000000,957500000,835100000,483800000,345500000,642600000,1156300000,1830700000,2286700000,2230500000,2224800000,2361500000,2427600000,2490100000,2398900000,1945900000,1277100000,1184300000,1422000000,1679300000,106500000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,-845500000,-883800000,-955500000,-407700000,-341800000,-331300000,-369400000,-310800000,-235700000,-742600000,-673500000,-665100000,-941600000,-1029400000,-713200000,-931400000,-1014500000,-1093700000,-1027800000,-1133800000,-1201700000,-1223600000,-991000000
66,Other Total Stockholders Equity,257400000,229400000,396200000,1041300000,863100000,932800000,11500000,22800000,401800000,516800000,637000000,618300000,407000000,445000000,470900000,1044400000,1070400000,1106300000,1119900000,1140400000,1160800000,1570200000,1584800000,1599800000,1625500000,- -
67,Total Stockholders Equity,871500000,999700000,1339900000,1200200000,1039200000,944700000,448800000,174700000,425900000,799900000,1492600000,2223500000,1961300000,2012200000,2040800000,2475300000,2479600000,2894200000,2598400000,2082800000,1355200000,1739400000,1885700000,2090100000,521100000,685600000
68,Total Liabilities And Stockholders Equity,2606400000,2604500000,3175500000,2750600000,2776200000,2643200000,2093200000,1884900000,2315700000,2731600000,3282200000,4095600000,4170400000,4268600000,4405000000,5950600000,6140300000,6798000000,6471700000,5650100000,5080400000,5080300000,5395900000,5531500000,3914600000,4138100000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,77400000,88600000,96300000,107500000,100500000,110900000,101600000,89600000,105100000,105900000,103100000,120300000,147100000
70,Total Liabilities & Equity,2606400000,2604500000,3175500000,2750600000,2776200000,2643200000,2093200000,1884900000,2315700000,2731600000,3282200000,4095600000,4170400000,4346000000,4493600000,6046900000,6247800000,6898500000,6582600000,5751700000,5170000000,5185400000,5501800000,5634600000,4034900000,4285200000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1018963/000095012897000664/0000950128-97-000664-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1018963/000095012803000412/0000950128-03-000412-index.html,https://www.sec.gov/Archives/edgar/data/1018963/000095012804000283/0000950128-04-000283-index.html,https://www.sec.gov/Archives/edgar/data/1018963/000095012805000057/0000950128-05-000057-index.html,https://www.sec.gov/Archives/edgar/data/1018963/000095015206001573/j1820901e10vk.htm,https://www.sec.gov/Archives/edgar/data/1018963/000095015207001549/l24090ae10vk.htm,https://www.sec.gov/Archives/edgar/data/1018963/000095015208001416/l29833ae10vk.htm,https://www.sec.gov/Archives/edgar/data/1018963/000095015209001663/0000950152-09-001663-index.html,https://www.sec.gov/Archives/edgar/data/1018963/000095012310017084/0000950123-10-017084-index.html,https://www.sec.gov/Archives/edgar/data/1018963/000095012311019865/l41886e10vk.htm,https://www.sec.gov/Archives/edgar/data/1018963/000119312512081765/0001193125-12-081765-index.html,https://www.sec.gov/Archives/edgar/data/1018963/000119312513084310/0001193125-13-084310-index.html,https://www.sec.gov/Archives/edgar/data/1018963/000144530514000663/atify201310-k.htm,https://www.sec.gov/Archives/edgar/data/1018963/000101896315000005/atify201410-k.htm,https://www.sec.gov/Archives/edgar/data/1018963/000101896316000049/0001018963-16-000049-index.html,https://www.sec.gov/Archives/edgar/data/1018963/000101896317000007/0001018963-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/1018963/000101896318000004/0001018963-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/1018963/000101896319000007/0001018963-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/1018963/000101896320000004/0001018963-20-000004-index.html,https://www.sec.gov/Archives/edgar/data/1018963/000162828021003434/0001628280-21-003434-index.htm,https://www.sec.gov/Archives/edgar/data/1018963/000162828022003961/0001628280-22-003961-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,213000000,297600000,241200000,300200000,132500000,-25200000,-65800000,-314600000,19800000,359800000,571900000,747100000,565900000,31700000,70700000,214300000,158400000,154000000,-2600000,-377900000,-640900000,-91900000,222400000,257600000,-1572600000,-38200000
74,Depreciation and Amortization,105300000,98500000,109000000,95300000,99700000,98600000,90000000,74600000,76100000,77300000,84200000,102900000,118800000,132600000,141500000,174400000,194000000,189900000,176800000,189900000,170300000,160800000,156400000,151100000,143300000,143900000
75,Deferred Income Tax,18600000,-5700000,-7300000,-11300000,57800000,24500000,25600000,72700000,-400000,-92000000,8200000,55500000,129000000,123600000,102200000,52700000,-19400000,70100000,31700000,-118000000,-119800000,-1400000,2100000,-40900000,69900000,1000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-58900000,53200000,75000000,-248700000,115800000,-15900000,-123000000,-121800000,318800000,255700000,419300000,202300000,-309200000,137500000,-48900000,383600000,-68600000,100700000,-217600000,-341100000,-123300000,145300000,206700000,44000000,-41100000,-161400000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,121700000,141400000,-153400000,-78800000,95800000,41100000,-70300000,203300000,-51800000,-93200000,16000000,-52100000,208400000,- -
79,Inventory,-67100000,-68800000,49500000,-500000,-20400000,67900000,99400000,32600000,-96800000,-87900000,-191600000,-117400000,28600000,67800000,-199000000,-227300000,-152300000,146600000,-143700000,201200000,234700000,-139200000,-108500000,25400000,158200000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-109900000,30100000,85500000,50000000,9200000,-7800000,82100000,-211300000,-51200000,125800000,153700000,30100000,-230500000,- -
81,Other Working Capital,614000000,667200000,742200000,493500000,609300000,593400000,470400000,348600000,667400000,923100000,1342400000,1544700000,1235500000,1373000000,1324100000,1707700000,1639100000,1739800000,1522200000,1181100000,1057800000,1203100000,1409800000,1453800000,1412700000,-191900000
82,Other Non-Cash Items,-51200000,-186900000,-18500000,-63300000,-270300000,40800000,277400000,371100000,-390200000,-378200000,-775100000,-398000000,250000000,-206900000,-238400000,-528200000,163100000,-146300000,67600000,778500000,670000000,-190400000,-194800000,-181700000,1567400000,70800000
83,Cash Provided by Operating Activities,226800000,256700000,399400000,72200000,135500000,122800000,204200000,82000000,24100000,222600000,308500000,709800000,754500000,218500000,27100000,296800000,427500000,368400000,55900000,131400000,-43700000,22400000,392800000,230100000,166900000,16100000
84,CAPEX,-88600000,-96300000,-172600000,-74100000,-88300000,-104200000,-48700000,-74400000,-49900000,-90100000,-235200000,-457100000,-515700000,-415400000,-219100000,-278200000,-382000000,-612700000,-225700000,-144600000,-202200000,-122700000,-139200000,-168200000,-136500000,-152600000
85,Acquisitions Net,107800000,-15200000,-229100000,- -,- -,-500000,- -,- -,-7500000,-18300000,500000,700000,-400000,-38900000,- -,-349200000,- -,600900000,-92900000,-500000,- -,- -,-10000000,158100000,- -,53100000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,34400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,6700000,136900000,38800000,503800000,18300000,19700000,8900000,4100000,2800000,-800000,2000000,4700000,2200000,600000,2300000,2700000,3300000,800000,2400000,- -,2200000,3100000,4100000,91800000,7800000,22200000
89,Cash Used for Investing Activites,25900000,25400000,-328500000,429700000,-70000000,-85000000,-39800000,-70300000,-54600000,-109200000,-232700000,-451700000,-513900000,-453700000,-216800000,-624700000,-378700000,-11000000,-316200000,-145100000,-200000000,-119600000,-145100000,81700000,-128700000,-77300000
90,Debt Repayment,-436500000,-114200000,-9700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14800000,-194600000,-11300000,-143800000,-27100000,-31500000,-414900000,-23600000,-2700000,-353000000,-6400000,-507600000,-212100000,-515600000
91,Common Stock Issued,13900000,35400000,8300000,8200000,3300000,200000,- -,- -,237300000,26100000,33100000,5500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,397800000,- -,- -,- -,- -
92,Common Stock Repurchased,-65100000,-107700000,-49400000,-257600000,-221000000,-3000000,- -,200000,- -,- -,- -,-61200000,-278300000,- -,- -,- -,-23400000,-6600000,-3900000,-1400000,- -,-4800000,-6500000,-9900000,-7800000,- -
93,Dividends Paid,-106100000,-112200000,-122300000,-122100000,-66000000,-64200000,-53200000,-19400000,-21200000,-27100000,-43100000,-58100000,-71400000,-71400000,-70800000,-81900000,-76500000,-76900000,-77100000,-66500000,-25800000,- -,- -,- -,- -,- -
94,Other Financing Activites,291000000,4400000,123300000,-153900000,193700000,36700000,-85500000,27700000,-14400000,-500000,73800000,-23300000,-29500000,740100000,-4700000,501900000,2200000,479800000,-1100000,-14500000,352000000,-30800000,5600000,314500000,336800000,618600000
95,Cash Used/Provided by Financing Activities,-302800000,-294300000,-49800000,-525400000,-90000000,-30300000,-138700000,8500000,201700000,-1500000,63800000,-137100000,-394000000,474100000,-86800000,276200000,-124800000,364800000,-497000000,-106000000,323500000,9200000,-7300000,-203000000,116900000,103000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-50100000,-12200000,21100000,-23500000,-24500000,7500000,25700000,20200000,171200000,111900000,139600000,121000000,-153400000,238900000,-276500000,-51700000,-76000000,722200000,-757300000,-119700000,79800000,-88000000,240400000,108800000,155100000,41800000
98,Cash at the End of Period,62500000,50300000,74800000,50700000,26200000,33700000,59400000,79600000,250800000,362700000,502300000,623300000,469900000,708800000,432300000,380600000,304600000,1026800000,269500000,149800000,229600000,141600000,382000000,490800000,645900000,687700000
99,Cash at the Beginning of Period,112600000,62500000,53700000,74200000,50700000,26200000,33700000,59400000,79600000,250800000,362700000,502300000,623300000,469900000,708800000,432300000,380600000,304600000,1026800000,269500000,149800000,229600000,141600000,382000000,490800000,645900000
100,Free Cash Flow,138200000,160400000,226800000,-1900000,47200000,18600000,155500000,7600000,-25800000,132500000,73300000,252700000,238800000,-196900000,-192000000,18600000,45500000,-244300000,-169800000,-13200000,-245900000,-100300000,253600000,61900000,30400000,-136500000
