,https://roic.ai/company/MPAD,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
35,Inventory,- -,- -,- -,- -,- -,- -,- -,2300000,1789000,2700000,3543000,4520000,4043000,5064000,5513000,5121000,5278000,5985000,5869000,5480000,6868000,7617000,5865000,6578000,7043000,9137000,8684000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,386000,457000,618000,690000,702000,728000,755000,1199000,1152000,1339000,1129000,909000,1035000,854000,1363000,501000,918000,572000,515000,341000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,8511000,7272000,9390000,11539000,11853000,13601000,15584000,16878000,19251000,19016000,19031000,20995000,20850000,24737000,23183000,21247000,23809000,27495000,27622000,29854000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,1051000,1002000,962000,1212000,1215000,1234000,1396000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4052000,10904000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,112000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,203000,57000,- -,27000,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1330000,1446000,1934000,2023000,1963000,2152000,2256000,2186000,3804000,3780000,3649000,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,1163000,1002000,962000,1212000,1215000,1234000,1396000,1330000,1446000,1934000,2023000,1963000,2152000,2256000,2186000,4007000,3837000,3649000,4079000,10904000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,9674000,8274000,10352000,12751000,13068000,14835000,16980000,18208000,20697000,20950000,21054000,22958000,23002000,26993000,25369000,25254000,27646000,31144000,31701000,40758000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,501000,308000,387000,768000,582000,608000,1169000,713000,700000,359000,501000,713000,575000,404000,612000,372000,707000,851000,843000,1963000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,129000,498000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,404000,499000,243000,323000,204000,1524000,834000,175000,189000,622000,101000,2855000,1282000,392000,1238000,390000,111000,1258000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,647000,621000,934000,988000,710000,973000,1035000,719000,1414000,1139000,838000,979000,759000,939000,646000,930000,958000,1630000,1163000,1818000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,1148000,929000,1725000,2255000,1535000,1904000,2408000,2956000,2948000,1673000,1528000,2314000,1435000,4198000,2540000,1694000,2903000,2871000,2117000,5092000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,117000,3383000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,78000,69000,72000,74000,79000,116000,97000,218000,277000,420000,471000,454000,368000,360000,417000,- -,- -,20000,- -,16000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,78000,69000,72000,74000,79000,116000,97000,218000,277000,420000,471000,454000,368000,360000,417000,- -,- -,20000,117000,3399000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,117000,67000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,1226000,998000,1797000,2329000,1614000,2020000,2505000,3174000,3225000,2093000,1999000,2768000,1803000,4558000,2957000,1694000,2903000,2891000,2234000,8491000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,363000,308000,308000,308000,308000,308000,308000,308000,308000,308000,308000,308000,308000,308000,308000,308000,308000,308000,308000,308000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,8450000,7333000,8612000,10479000,11511000,12872000,14532000,15091000,17529000,18914000,19112000,20247000,21256000,22492000,22469000,23617000,24800000,28310000,29524000,32324000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,-5719000,-5889000,-6091000,-6338000,-6591000,-6843000,-7069000,-7324000,-7582000,-7901000,-8220000,-8537000,-8777000,-8929000,-9136000,-9429000,-9746000,-10125000,-10418000,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,5354000,5524000,5726000,5973000,6226000,6478000,6704000,6959000,7217000,7536000,7855000,8172000,8412000,8564000,8771000,9064000,9381000,9760000,10053000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,8448000,7276000,8555000,10422000,11454000,12815000,14475000,15034000,17472000,18857000,19055000,20190000,21199000,22435000,22412000,23560000,24743000,28253000,29467000,32267000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,9674000,8274000,10352000,12751000,13068000,14835000,16980000,18208000,20697000,20950000,21054000,22958000,23002000,26993000,25369000,25254000,27646000,31144000,31701000,40758000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,9674000,8274000,10352000,12751000,13068000,14835000,16980000,18208000,20697000,20950000,21054000,22958000,23002000,26993000,25369000,25254000,27646000,31144000,31701000,40758000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/65759/000101054911000144/0001010549-11-000144-index.htm,https://www.sec.gov/Archives/edgar/data/65759/000101054912000145/0001010549-12-000145-index.htm,https://www.sec.gov/Archives/edgar/data/65759/000101054913000082/0001010549-13-000082-index.htm,https://www.sec.gov/Archives/edgar/data/65759/000101054914000057/0001010549-14-000057-index.htm,https://www.sec.gov/Archives/edgar/data/65759/000101054915000060/0001010549-15-000060-index.htm,https://www.sec.gov/Archives/edgar/data/65759/000101054916000492/0001010549-16-000492-index.htm,https://www.sec.gov/Archives/edgar/data/65759/000101054917000050/0001010549-17-000050-index.htm,https://www.sec.gov/Archives/edgar/data/65759/000101054918000050/0001010549-18-000050-index.htm,https://www.sec.gov/Archives/edgar/data/65759/000101054919000016/0001010549-19-000016-index.htm,https://www.sec.gov/Archives/edgar/data/65759/000101054920000010/0001010549-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/65759/000101054921000006/0001010549-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/65759/000101054922000029/0001010549-22-000029-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,443000,832000,917000,445000,747000,852000,665000,639000,611000,1408000,2176000,1419000,1619000,1918000,817000,2696000,1643000,456000,1393000,1025000,1494000,235000,1406000,1441000,3713000,1472000,3058000
74,Depreciation and Amortization,190000,216000,150000,148000,243000,255000,272000,246000,230000,222000,247000,253000,262000,251000,255000,268000,319000,319000,317000,317000,308000,290000,293000,319000,379000,377000,384000
75,Deferred Income Tax,11000,-106000,-37000,-47000,-53000,40000,-82000,-4000,-65000,-139000,-84000,-6000,3000,8000,-316000,215000,336000,112000,-96000,42000,-91000,60000,70000,146000,63000,-47000,43000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-634000,- -,- -,- -,-469000,469000,- -,7363000,-1020000,1322000,1619000,1034000,1379000,1479000,746000,2381000,1040000,160000,1178000,734000,1124000,104000,-1090000,1353000,3718000,881000,51000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,614000,-28000,183000,-1285000,-310000,390000,743000,-2334000
79,Inventory,-582000,-1038000,1063000,-177000,787000,- -,-33000,-113000,511000,-911000,-843000,-977000,477000,-1021000,-449000,392000,-157000,-707000,116000,389000,-1388000,-749000,1752000,-713000,-638000,-2094000,452000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-456000,-13000,-341000,142000,212000,-152000,-156000,224000,-253000,335000,144000,-8000,-101000
81,Other Working Capital,- -,- -,- -,- -,-469000,- -,- -,7363000,6343000,7665000,9284000,10318000,11697000,13176000,13922000,16303000,17343000,17503000,18681000,19415000,20539000,20643000,19553000,20906000,24624000,25505000,1460000
82,Other Non-Cash Items,- -,-1067000,533000,222000,774000,-51000,-267000,-7403000,1221000,-1905000,-2649000,-1723000,-893000,-2881000,225000,-2638000,-1870000,-1450000,-427000,-637000,493000,-2822000,870000,-1585000,-3929000,-3099000,295000
83,Cash Provided by Operating Activities,10000,-125000,1563000,768000,1242000,1565000,588000,841000,977000,908000,1309000,977000,2370000,775000,1727000,2922000,1468000,-403000,2365000,1481000,3328000,-2133000,1549000,1674000,3944000,-416000,3831000
84,CAPEX,-355000,-292000,-218000,-63000,-161000,-333000,-162000,-185000,-181000,-182000,-497000,-256000,-287000,-419000,-189000,-388000,-807000,-408000,-257000,-493000,-427000,-238000,-1898000,-293000,-249000,-686000,-6309000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-1400000,-1695000,-20000,502000,- -,- -,-1000000,- -,-1000000,-4000,-2000,-4014000,-4006000,-4024000,-4053000,-4110000,-4168000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,3428000,- -,- -,- -,4000,2021000,- -,- -,- -,- -,- -,4011000,4011000,4014000,4036000,4082000,4138000,2089000,- -
88,Other Investing Activites,294000,204000,-1239000,-391000,-999000,-485000,1232000,-654000,- -,- -,- -,- -,7000,9000,- -,7000,- -,- -,- -,4000,9000,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-61000,-88000,-1457000,-454000,-1160000,-818000,1070000,-839000,1847000,-1877000,-517000,246000,-276000,1611000,-1189000,-381000,-1807000,-412000,-259000,-492000,-413000,-248000,-1915000,-321000,-279000,1403000,-6309000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-1250000,- -,-1471000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-363000,- -,-312000,-129000,-309000,-387000,-258000,-258000,-258000,-258000,-258000,-258000,-258000,-258000,-258000,-258000,-258000,-258000,-258000,-258000,-258000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3369000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,-1613000,- -,-1783000,-129000,-309000,-387000,-258000,-258000,-258000,-258000,-258000,-258000,-258000,-258000,-258000,-258000,-258000,-258000,-258000,-258000,3111000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-51000,- -,- -,314000,82000,747000,45000,2000,1041000,-1098000,483000,836000,1836000,2128000,280000,2283000,-597000,-1073000,1848000,731000,2657000,-2639000,-624000,1095000,3407000,729000,633000
98,Cash at the End of Period,213000,- -,106000,420000,502000,1249000,1294000,1296000,2337000,1239000,1722000,2558000,4394000,6522000,6802000,9085000,8488000,7415000,9263000,9994000,12651000,10012000,9388000,10483000,13890000,14619000,15252000
99,Cash at the Beginning of Period,264000,213000,- -,106000,420000,502000,1249000,1294000,1296000,2337000,1239000,1722000,2558000,4394000,6522000,6802000,9085000,8488000,7415000,9263000,9994000,12651000,10012000,9388000,10483000,13890000,14619000
100,Free Cash Flow,-345000,-417000,1345000,705000,1081000,1232000,426000,656000,796000,726000,812000,721000,2083000,356000,1538000,2534000,661000,-811000,2108000,988000,2901000,-2371000,-349000,1381000,3695000,-1102000,-2478000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/65759/000101054911000144/0001010549-11-000144-index.htm,https://www.sec.gov/Archives/edgar/data/65759/000101054912000145/0001010549-12-000145-index.htm,https://www.sec.gov/Archives/edgar/data/65759/000101054913000082/0001010549-13-000082-index.htm,https://www.sec.gov/Archives/edgar/data/65759/000101054914000057/0001010549-14-000057-index.htm,https://www.sec.gov/Archives/edgar/data/65759/000101054915000060/0001010549-15-000060-index.htm,https://www.sec.gov/Archives/edgar/data/65759/000101054916000492/0001010549-16-000492-index.htm,https://www.sec.gov/Archives/edgar/data/65759/000101054917000050/0001010549-17-000050-index.htm,https://www.sec.gov/Archives/edgar/data/65759/000101054918000050/0001010549-18-000050-index.htm,https://www.sec.gov/Archives/edgar/data/65759/000101054919000016/0001010549-19-000016-index.htm,https://www.sec.gov/Archives/edgar/data/65759/000101054920000010/0001010549-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/65759/000101054921000006/0001010549-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/65759/000101054922000029/0001010549-22-000029-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
