,https://roic.ai/company/TGT,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
10,Operating Expenses,1891800000,1944400000,2274600000,2629000000,2813000000,3106000000,3494000000,3750000000,4016000000,4535000000,5046000000,5518000000,5695000000,6363000000,8344000000,9130000000,9962000000,11393000000,12854000000,11793000000,13328000000,14973000000,16122000000,16389000000,16622000000,16413000000,16683000000,17362000000,17652000000,16805000000,16258000000,16684000000,17488000000,17947000000,18600000000,20845000000,22096000000
11,COGS and Expenses,8161000000,8647400000,10125700000,11514000000,12699000000,13755000000,15245000000,16879000000,18180000000,20171000000,22573000000,24146000000,26015000000,28997000000,31373000000,34425000000,37208000000,40653000000,44644000000,43238000000,48255000000,54372000000,58017000000,60546000000,60684000000,62138000000,64543000000,67930000000,68812000000,68083000000,68255000000,65829000000,68613000000,71246000000,73464000000,87022000000,97059000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000000,3000000,3000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,804000000,760000000,869000000,762000000,1126000000,882000000,607000000,1004000000,666000000,461000000,477000000,977000000,421000000
14,Depreciation and Amortization,172800000,184900000,232400000,292000000,319000000,372000000,410000000,459000000,498000000,531000000,594000000,650000000,693000000,780000000,854000000,940000000,1079000000,1212000000,1320000000,1259000000,1409000000,1496000000,1659000000,1826000000,2023000000,2084000000,2131000000,2142000000,2223000000,2129000000,2213000000,2298000000,2445000000,2474000000,2604000000,2485000000,2642000000
15,EBITDA,697400000,681200000,632200000,764000000,997000000,1031000000,882000000,1070000000,1105000000,1245000000,1095000000,1422000000,1968000000,2309000000,2749000000,2993000000,3289000000,3888000000,4280000000,5603000000,5269000000,5990000000,6284000000,5362000000,6699000000,7339000000,7456000000,7513000000,6452000000,2579000000,7785000000,7332000000,6743000000,6618000000,7283000000,9008000000,11970000000
16,EBITDA ratio,0.0793,0.0736,0.0592,0.0626,0.0731,0.0700,0.0547,0.0597,0.0575,0.0584,0.0466,0.0560,0.0709,0.0746,0.0816,0.0811,0.0825,0.0885,0.0889,0.1196,0.1001,0.1007,0.0992,0.0826,0.1025,0.1089,0.1067,0.1025,0.0889,0.0355,0.1055,0.1043,0.0927,0.0878,0.0932,0.0963,0.1129
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4673000000,5252000000,5322000000,- -,- -,- -,- -,- -,4224000000,4110000000,4658000000,6539000000,8946000000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0715,0.0779,0.0762,- -,- -,- -,- -,- -,0.0581,0.0545,0.0596,0.0699,0.0844
19,Total Other Income Expenses (Gains),-107800000,-117500000,-151800000,-218000000,-267000000,-325000000,-398000000,-437000000,-446000000,-426000000,-442000000,-442000000,-416000000,-398000000,-393000000,-425000000,-464000000,-588000000,-559000000,-570000000,-505000000,-624000000,-725000000,-866000000,-801000000,-757000000,-866000000,-762000000,-681000000,-882000000,-607000000,-481000000,-594000000,-434000000,-468000000,-993000000,-39000000
20,Income Before Tax,524600000,494200000,399800000,472000000,678000000,659000000,472000000,611000000,607000000,714000000,501000000,783000000,1326000000,1556000000,1936000000,2053000000,2216000000,2676000000,2960000000,3031000000,3860000000,4494000000,4625000000,3536000000,3872000000,4495000000,4456000000,4609000000,3103000000,3653000000,4923000000,3961000000,3630000000,3676000000,4190000000,5546000000,8907000000
21,Income Before Tax Ratio,0.0597,0.0534,0.0374,0.0387,0.0497,0.0447,0.0293,0.0341,0.0316,0.0335,0.0213,0.0309,0.0478,0.0503,0.0574,0.0556,0.0556,0.0609,0.0615,0.0647,0.0734,0.0755,0.0730,0.0544,0.0592,0.0667,0.0638,0.0629,0.0427,0.0503,0.0667,0.0564,0.0499,0.0488,0.0536,0.0593,0.0840
22,Income Tax expense (Gain),241000000,239200000,171400000,185000000,268000000,249000000,171000000,228000000,232000000,280000000,190000000,309000000,524000000,594000000,751000000,789000000,842000000,1022000000,1119000000,1146000000,1452000000,1710000000,1776000000,1322000000,1384000000,1575000000,1527000000,1610000000,1132000000,1204000000,1602000000,1296000000,718000000,746000000,921000000,1178000000,1961000000
23,Net Income,283600000,257100000,228400000,287000000,410000000,410000000,301000000,383000000,375000000,434000000,311000000,463000000,751000000,935000000,1144000000,1264000000,1368000000,1654000000,1841000000,3198000000,2408000000,2784000000,2849000000,2214000000,2488000000,2920000000,2929000000,2999000000,1971000000,-1636000000,3363000000,2734000000,2914000000,2937000000,3281000000,4368000000,6946000000
24,Net Income ratio,0.0323,0.0278,0.0214,0.0235,0.0300,0.0278,0.0187,0.0214,0.0195,0.0204,0.0132,0.0182,0.0271,0.0302,0.0339,0.0343,0.0343,0.0377,0.0382,0.0683,0.0458,0.0468,0.0450,0.0341,0.0381,0.0433,0.0419,0.0409,0.0272,-0.0225,0.0456,0.0389,0.0401,0.0390,0.0420,0.0467,0.0655
25,EPS,0.25,0.23,0.20,0.29,0.45,0.45,0.33,0.42,0.42,0.48,0.34,0.51,0.84,1.04,1.27,1.40,1.51,1.82,2.02,3.54,2.73,3.23,3.37,2.87,3.31,4.03,4.31,4.57,3.10,-2.58,5.35,4.74,5.32,5.55,6.42,8.72,14.23
26,EPS Diluted,0.25,0.23,0.20,0.29,0.45,0.43,0.31,0.40,0.40,0.46,0.33,0.48,0.80,0.99,1.22,1.38,1.50,1.81,2.01,3.51,2.71,3.21,3.33,2.86,3.30,4.00,4.28,4.52,3.07,-2.58,5.31,4.70,5.29,5.51,6.36,8.64,14.10
27,Weighted Average Shares Outstanding,1134400000,1117826087,1142000000,989655172,911111111,911111111,912121212,911904762,892857143,904166667,914705882,907843137,872200000,899038462,900787402,903500000,901500000,908000000,911000000,903800000,882000000,861900000,845400000,770400000,752000000,723600000,679100000,656700000,635100000,634700000,627700000,577600000,547744361,528600000,510900000,500600000,488100000
28,Weighted Average Shares Outstanding Diluted,1134400000,1117826087,1142000000,989655172,911111111,953488372,970967742,957500000,937500000,943478261,942424242,964583333,927400000,944444444,937704918,913000000,909800000,914000000,917100000,912100000,889200000,868600000,850800000,773600000,754800000,729400000,683900000,663300000,641800000,640100000,632900000,582500000,550850662,533200000,515600000,505400000,492700000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/27419/000095013195000955/0000950131-95-000955-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/27419/000104746998015191/0001047469-98-015191-index.html,https://www.sec.gov/Archives/edgar/data/27419/000104746999014435/0001047469-99-014435-index.html,https://www.sec.gov/Archives/edgar/data/27419/000091205700017053/0000912057-00-017053-index.html,https://www.sec.gov/Archives/edgar/data/27419/000091205701508754/0000912057-01-508754-index.html,https://www.sec.gov/Archives/edgar/data/27419/000091205702015068/0000912057-02-015068-index.html,https://www.sec.gov/Archives/edgar/data/27419/000104746903013199/a2105670z10-k.htm,https://www.sec.gov/Archives/edgar/data/27419/000104746904010838/a2130364z10-k.htm,https://www.sec.gov/Archives/edgar/data/27419/000110465905015954/a05-4599_110k.htm,https://www.sec.gov/Archives/edgar/data/27419/000110465906024036/a06-2369_110k.htm,https://www.sec.gov/Archives/edgar/data/27419/000104746907001800/a2176656z10-k.htm,https://www.sec.gov/Archives/edgar/data/27419/000104746908002681/a2183529z10-k.htm,https://www.sec.gov/Archives/edgar/data/27419/000104746909002623/0001047469-09-002623-index.html,https://www.sec.gov/Archives/edgar/data/27419/000104746910002121/0001047469-10-002121-index.html,https://www.sec.gov/Archives/edgar/data/27419/000104746911002032/a2201861z10-k.htm,https://www.sec.gov/Archives/edgar/data/27419/000104746912002714/0001047469-12-002714-index.html,https://www.sec.gov/Archives/edgar/data/27419/000104746913003100/0001047469-13-003100-index.html,https://www.sec.gov/Archives/edgar/data/27419/000002741914000014/tgt-20140201x10k.htm,https://www.sec.gov/Archives/edgar/data/27419/000002741915000012/tgt-20150131x10k.htm,https://www.sec.gov/Archives/edgar/data/27419/000002741916000043/0000027419-16-000043-index.html,https://www.sec.gov/Archives/edgar/data/27419/000002741917000008/0000027419-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/27419/000002741918000010/0000027419-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/27419/000002741919000006/0000027419-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/27419/000002741920000008/0000027419-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/27419/000002741921000010/0000027419-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/27419/000002741922000007/0000027419-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,147000000,175000000,201000000,211000000,255000000,220000000,356000000,499000000,758000000,716000000,2245000000,1648000000,813000000,2450000000,864000000,583000000,583000000,600000000,654000000,692000000,2210000000,1038000000,1402000000,737000000,787000000,767000000,867000000,5911000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1617000000,1129000000,194000000,130000000,3000000,- -,3008000000,1110000000,1906000000,769000000,1810000000,7644000000,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,147000000,175000000,201000000,211000000,255000000,220000000,356000000,499000000,758000000,716000000,2245000000,1648000000,813000000,2450000000,864000000,2200000000,1712000000,794000000,784000000,695000000,2210000000,4046000000,2512000000,2643000000,1556000000,2577000000,8511000000,5911000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,1810000000,1510000000,1720000000,1555000000,1656000000,1837000000,1941000000,3831000000,5565000000,5776000000,5497000000,6226000000,6757000000,8651000000,8753000000,7882000000,7075000000,5927000000,6857000000,1347000000,1122000000,779000000,749000000,929000000,1100000000,962000000,1135000000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,2777000000,3018000000,3031000000,3251000000,3475000000,3798000000,4248000000,4449000000,4760000000,5343000000,5384000000,5838000000,6254000000,6780000000,6705000000,7179000000,7596000000,7918000000,7903000000,8766000000,8790000000,8601000000,8309000000,8597000000,9497000000,8992000000,10653000000,13902000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,225000000,252000000,488000000,544000000,619000000,628000000,759000000,869000000,852000000,1093000000,796000000,693000000,882000000,1025000000,1166000000,1163000000,830000000,1810000000,844000000,765000000,1965000000,704000000,420000000,371000000,366000000,371000000,457000000,1760000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,4959000000,4955000000,5440000000,5561000000,6005000000,6483000000,7304000000,9648000000,11935000000,12928000000,13922000000,14405000000,14706000000,18906000000,17488000000,18424000000,17213000000,16449000000,16388000000,11573000000,14087000000,14130000000,11990000000,12540000000,12519000000,12902000000,20756000000,21573000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,6385000000,7294000000,7467000000,8125000000,8969000000,9899000000,11418000000,13533000000,15307000000,16969000000,16860000000,19038000000,21431000000,24095000000,25756000000,25280000000,25493000000,29149000000,30653000000,31378000000,25958000000,25217000000,24658000000,26420000000,27498000000,28519000000,29106000000,30737000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,206000000,60000000,60000000,60000000,231000000,59000000,59000000,59000000,59000000,151000000,147000000,133000000,133000000,630000000,633000000,633000000,631000000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,123000000,152000000,148000000,- -,180000000,164000000,183000000,165000000,206000000,155000000,145000000,126000000,79000000,66000000,53000000,37000000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,206000000,183000000,212000000,208000000,231000000,239000000,223000000,242000000,224000000,357000000,302000000,278000000,259000000,709000000,699000000,686000000,668000000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,269000000,305000000,322000000,308000000,345000000,383000000,380000000,418000000,450000000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,582000000,623000000,630000000,- -,822000000,910000000,1036000000,1152000000,1451000000,- -,973000000,851000000,577000000,470000000,- -,835000000,934000000,1191000000,1311000000,1433000000,- -,823000000,861000000,693000000,972000000,1122000000,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,-229000000,-302000000,-148000000,505000000,-130000000,-149000000,-268000000,-179000000,-90000000,1495000000,332000000,518000000,423000000,881000000,631000000,-245000000,-158000000,-401000000,-682000000,-493000000,735000000,-494000000,-682000000,-442000000,-778000000,-868000000,268000000,1501000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,6738000000,7615000000,7949000000,8630000000,9661000000,10660000000,12186000000,14506000000,16668000000,18464000000,18371000000,20590000000,22643000000,25654000000,26618000000,26109000000,26492000000,30181000000,31775000000,32980000000,27317000000,26132000000,25441000000,27763000000,28771000000,29877000000,30492000000,32238000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,11697000000,12570000000,13389000000,14191000000,15666000000,17143000000,19490000000,24154000000,28603000000,31392000000,32293000000,34995000000,37349000000,44560000000,44106000000,44533000000,43705000000,46630000000,48163000000,44553000000,41404000000,40262000000,37431000000,40303000000,41290000000,42779000000,51248000000,53811000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,1961000000,2247000000,2528000000,2727000000,3150000000,3514000000,3576000000,4160000000,4684000000,5448000000,5779000000,6268000000,6575000000,6721000000,6337000000,6511000000,6067000000,6282000000,6468000000,7683000000,7759000000,7418000000,7252000000,8677000000,9761000000,9920000000,12859000000,15478000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,273000000,- -,- -,- -,- -,975000000,866000000,504000000,753000000,1362000000,1964000000,1262000000,1696000000,119000000,3036000000,1494000000,1160000000,91000000,815000000,1718000000,270000000,1218000000,361000000,1355000000,171000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,361000000,423000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,804000000,896000000,890000000,576000000,1076000000,729000000,696000000,601000000,601000000,1576000000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1036000000,1152000000,1451000000,- -,973000000,851000000,577000000,470000000,- -,835000000,934000000,1191000000,1311000000,1433000000,- -,823000000,861000000,713000000,840000000,935000000,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1429000000,1276000000,1583000000,1556000000,1907000000,2336000000,1689000000,1742000000,413000000,2000000000,964000000,1716000000,2603000000,2627000000,2913000000,2285000000,2950000000,3778000000,4758000000,2501000000,3886000000,3566000000,2877000000,3392000000,3195000000,3271000000,5911000000,6098000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,3390000000,3523000000,4111000000,4556000000,5057000000,5850000000,6301000000,7054000000,7523000000,8314000000,8220000000,9588000000,11117000000,11782000000,10512000000,11327000000,10070000000,14287000000,14031000000,12777000000,11736000000,12622000000,12708000000,13052000000,15014000000,14487000000,20125000000,21747000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,4488000000,4959000000,4808000000,4425000000,4452000000,4521000000,5634000000,8088000000,10186000000,10217000000,9034000000,9119000000,8675000000,15126000000,17490000000,15118000000,15607000000,13697000000,14654000000,12622000000,12705000000,11945000000,11031000000,11117000000,10223000000,11338000000,13754000000,16042000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,660000000,630000000,600000000,570000000,539000000,509000000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,720000000,- -,- -,- -,- -,- -,1796000000,- -,- -,- -,- -,455000000,835000000,934000000,1191000000,1311000000,1433000000,1321000000,823000000,861000000,713000000,972000000,1122000000,990000000,1566000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,582000000,623000000,630000000,- -,822000000,910000000,1036000000,1152000000,1451000000,- -,2010000000,2083000000,1924000000,2345000000,1937000000,1906000000,1607000000,1634000000,1609000000,1490000000,1645000000,1255000000,1248000000,3170000000,3214000000,3460000000,1430000000,1629000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,5070000000,5582000000,5438000000,5145000000,5274000000,5431000000,6670000000,9240000000,11637000000,12013000000,11044000000,11202000000,10599000000,17471000000,19882000000,17859000000,18148000000,16522000000,17574000000,15545000000,15671000000,14683000000,13770000000,15600000000,14979000000,16459000000,16683000000,19237000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1924000000,2170000000,2475000000,2429000000,2493000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,8460000000,9105000000,9549000000,9701000000,10331000000,11281000000,12971000000,16294000000,19160000000,20327000000,19264000000,20790000000,21716000000,29253000000,30394000000,29186000000,28218000000,30809000000,31605000000,28322000000,27407000000,27305000000,26478000000,28652000000,29993000000,30946000000,36808000000,40984000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,72000000,72000000,72000000,- -,74000000,76000000,75000000,75000000,76000000,76000000,74000000,73000000,72000000,68000000,63000000,62000000,59000000,56000000,54000000,53000000,53000000,50000000,46000000,45000000,43000000,42000000,42000000,39000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,2882000000,3044000000,3348000000,3930000000,4683000000,5056000000,5542000000,6687000000,8107000000,9645000000,11148000000,12013000000,13417000000,12761000000,11443000000,12947000000,12698000000,12959000000,13155000000,12599000000,9644000000,8188000000,5884000000,6495000000,6017000000,6433000000,8825000000,6920000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2624000000,-2930000000,-3002000000,-3388000000,-3768000000,-3925000000,-4341000000,-4909000000,4000000,3000000,-3000000,-2000000,-243000000,-178000000,-556000000,-581000000,-581000000,-681000000,-576000000,-891000000,-599000000,-629000000,-638000000,-747000000,-805000000,-868000000,-756000000,-553000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,2907000000,3279000000,3422000000,3948000000,4346000000,4655000000,5243000000,6007000000,1256000000,1341000000,1810000000,2121000000,2387000000,2656000000,2762000000,2919000000,3311000000,3487000000,3925000000,4470000000,4899000000,5348000000,5661000000,5916000000,6042000000,6226000000,6329000000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,3237000000,3465000000,3840000000,4490000000,5335000000,5862000000,6519000000,7860000000,9443000000,11065000000,13029000000,14205000000,15633000000,15307000000,13712000000,15347000000,15487000000,15821000000,16558000000,16231000000,13997000000,12957000000,10953000000,11709000000,11297000000,11833000000,14440000000,12827000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,11697000000,12570000000,13389000000,14191000000,15666000000,17143000000,19490000000,24154000000,28603000000,31392000000,32293000000,34995000000,37349000000,44560000000,44106000000,44533000000,43705000000,46630000000,48163000000,44553000000,41404000000,40262000000,37431000000,40361000000,41290000000,42779000000,51248000000,53811000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-58000000,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,11697000000,12570000000,13389000000,14191000000,15666000000,17143000000,19490000000,24154000000,28603000000,31392000000,32293000000,34995000000,37349000000,44560000000,44106000000,44533000000,43705000000,46630000000,48163000000,44553000000,41404000000,40262000000,37431000000,40303000000,41290000000,42779000000,51248000000,53811000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/27419/000095013195000955/0000950131-95-000955-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/27419/000104746998015191/0001047469-98-015191-index.html,https://www.sec.gov/Archives/edgar/data/27419/000104746999014435/0001047469-99-014435-index.html,https://www.sec.gov/Archives/edgar/data/27419/000091205700017053/0000912057-00-017053-index.html,https://www.sec.gov/Archives/edgar/data/27419/000091205701508754/0000912057-01-508754-index.html,https://www.sec.gov/Archives/edgar/data/27419/000091205702015068/0000912057-02-015068-index.html,https://www.sec.gov/Archives/edgar/data/27419/000104746903013199/a2105670z10-k.htm,https://www.sec.gov/Archives/edgar/data/27419/000104746904010838/a2130364z10-k.htm,https://www.sec.gov/Archives/edgar/data/27419/000110465905015954/a05-4599_110k.htm,https://www.sec.gov/Archives/edgar/data/27419/000110465906024036/a06-2369_110k.htm,https://www.sec.gov/Archives/edgar/data/27419/000104746907001800/a2176656z10-k.htm,https://www.sec.gov/Archives/edgar/data/27419/000104746908002681/a2183529z10-k.htm,https://www.sec.gov/Archives/edgar/data/27419/000104746909002623/0001047469-09-002623-index.html,https://www.sec.gov/Archives/edgar/data/27419/000104746910002121/0001047469-10-002121-index.html,https://www.sec.gov/Archives/edgar/data/27419/000104746911002032/a2201861z10-k.htm,https://www.sec.gov/Archives/edgar/data/27419/000104746912002714/0001047469-12-002714-index.html,https://www.sec.gov/Archives/edgar/data/27419/000104746913003100/0001047469-13-003100-index.html,https://www.sec.gov/Archives/edgar/data/27419/000002741914000014/tgt-20140201x10k.htm,https://www.sec.gov/Archives/edgar/data/27419/000002741915000012/tgt-20150131x10k.htm,https://www.sec.gov/Archives/edgar/data/27419/000002741916000043/0000027419-16-000043-index.html,https://www.sec.gov/Archives/edgar/data/27419/000002741917000008/0000027419-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/27419/000002741918000010/0000027419-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/27419/000002741919000006/0000027419-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/27419/000002741920000008/0000027419-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/27419/000002741921000010/0000027419-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/27419/000002741922000007/0000027419-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
