,https://roic.ai/company/RGP,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,3723000,1357000,10909795,23795000,22152000,21258000,41132000,94786000,99995000,98283000,90056000,42037000,-1131000,- -,73344000,39877000,38143000,50406000,53989000,33773000,28889000,47969000,35228000,22684000
21,Income Before Tax Ratio,0.1254,0.0875,0.0864,0.1254,0.1219,0.1052,0.0655,0.1763,0.1578,0.1336,0.1072,0.0613,-0.0023,- -,0.1283,0.0717,0.0673,0.0853,0.0902,0.0579,0.0442,0.0658,0.0501,0.0360
22,Income Tax expense (Gain),- -,- -,4363918,9518000,8861000,8716000,16798000,38730000,39398000,43518000,40871000,24273000,10618000,- -,32202000,19373000,18257000,22898000,23546000,15122000,10863000,16499000,6943000,-2545000
23,Net Income,3723000,792000,6545877,13705000,13291000,12542000,24334000,56056000,60597000,54765000,49185000,17764000,-11749000,- -,41142000,20504000,19886000,27508000,30443000,18651000,18826000,31470000,28285000,25229000
24,Net Income ratio,0.1254,0.0511,0.0518,0.0722,0.0732,0.0621,0.0387,0.1043,0.0956,0.0744,0.0585,0.0259,-0.0235,- -,0.0720,0.0369,0.0351,0.0466,0.0509,0.0320,0.0288,0.0432,0.0402,0.0401
25,EPS,0.12,0.04,0.21,0.39,0.32,0.28,0.53,1.19,1.26,1.13,1.06,0.39,-0.26,0.54,0.94,0.50,0.51,0.73,0.82,0.57,0.61,1.00,0.88,0.78
26,EPS Diluted,0.11,0.04,0.21,0.35,0.29,0.28,0.50,1.11,1.17,1.08,1.03,0.39,-0.26,0.53,0.94,0.50,0.51,0.72,0.81,0.56,0.60,0.98,0.88,0.78
27,Weighted Average Shares Outstanding,31252204,17382000,31260000,35728000,42482000,43698000,45984000,47074000,48054000,48353000,46545000,45018000,45894000,46124000,43541000,41108000,39216000,37825000,37037000,32851000,30741000,31596000,31989000,32444000
28,Weighted Average Shares Outstanding Diluted,33791952,17382000,31428482,38842000,45724000,45792000,48780000,50484000,51676000,50644000,47934000,45726000,45894000,46489000,43599000,41151000,39307000,38248000,37608000,33471000,31210000,32207000,32227000,32552000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1084765/000089256908001034/0000892569-08-001034-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1084765/000095012311067991/0000950123-11-067991-index.htm,https://www.sec.gov/Archives/edgar/data/1084765/000119312512312427/0001193125-12-312427-index.htm,https://www.sec.gov/Archives/edgar/data/1084765/000119312513297300/0001193125-13-297300-index.htm,https://www.sec.gov/Archives/edgar/data/1084765/000119312514282563/0001193125-14-282563-index.htm,https://www.sec.gov/Archives/edgar/data/1084765/000119312515263948/0001193125-15-263948-index.htm,https://www.sec.gov/Archives/edgar/data/1084765/000119312516678405/0001193125-16-678405-index.htm,https://www.sec.gov/Archives/edgar/data/1084765/000119312517233750/0001193125-17-233750-index.htm,https://www.sec.gov/Archives/edgar/data/1084765/000119312518223809/0001193125-18-223809-index.htm,https://www.sec.gov/Archives/edgar/data/1084765/000108476519000011/0001084765-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1084765/000108476520000007/0001084765-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1084765/000108476521000017/0001084765-21-000017-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,4490187,34503000,31745000,48078000,51839000,65741000,88439000,121095000,80814000,143247000,130659000,- -,105124000,94016000,80291000,87250000,91089000,62329000,56470000,43045000,95624000,74391000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,27000000,37000000,55000000,26000000,20494000,10246000,- -,22991000,24996000,33986000,24988000,24957000,- -,- -,5981000,- -,- -
33,Cash and Short-Term Investments,- -,- -,4490187,34503000,31745000,48078000,51839000,92741000,125439000,176095000,106814000,163741000,140905000,- -,128115000,119012000,114277000,112238000,116046000,62329000,56470000,49026000,95624000,74391000
34,Net Receivables,- -,- -,18166413,23908000,19961000,26635000,59766000,80848000,90719000,105146000,126669000,78844000,78511000,- -,84192000,84194000,90334000,96831000,97807000,100121000,131181000,135528000,129153000,153639000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,2045831,3202000,7672000,6405000,8164000,9001000,11570000,14089000,15707000,14219000,11805000,- -,15928000,13971000,12851000,12637000,4735000,4395000,7230000,7103000,6222000,7235000
37,Total Current Assets,- -,- -,24702431,61613000,59378000,81118000,119769000,182590000,227728000,295330000,249190000,256804000,231221000,- -,228235000,217177000,217462000,221706000,218588000,166845000,194881000,191657000,230999000,235265000
38,PP&E,- -,- -,3196185,4085000,4885000,4341000,6655000,8827000,26725000,35347000,39901000,34934000,29354000,- -,22651000,21087000,23158000,22001000,21274000,23354000,22413000,26632000,57931000,45198000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,80287000,83263000,107761000,111084000,172632000,- -,173576000,174275000,175427000,170878000,171183000,171088000,191950000,190815000,214067000,216758000
40,Intangible Assets,- -,- -,41582699,38445000,41372000,49079000,81053000,83634000,1881000,654000,7644000,6259000,12425000,- -,4232000,2659000,1031000,90000,- -,- -,18531000,14589000,20077000,20240000
41,Intangible Assets,- -,- -,41582699,38445000,41372000,49079000,81053000,83634000,82168000,83917000,115405000,117343000,185057000,- -,177808000,176934000,176458000,170968000,171183000,171088000,210481000,205404000,234144000,236998000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,1257000,2068000,4685000,1364000,25846000,- -,833000,8149000,672000,- -,- -,1280000,- -,5146000,1597000,1691000
44,Other Non-Current Assets,- -,- -,624778,1202000,25842000,21399000,18786000,44711000,60733000,47799000,1321000,1574000,1722000,- -,1192000,-5707000,2328000,2306000,6210000,1561000,4899000,-469000,4510000,1492000
45,Total Non-Current Assets,- -,- -,45403662,43732000,72099000,74819000,106494000,137172000,170883000,169131000,161312000,155215000,241979000,- -,202484000,200463000,202616000,195275000,198667000,197283000,237793000,236713000,298182000,285379000
46,Other Assets,7976000,58954000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,7976000,58954000,70106093,105345000,131477000,155937000,226263000,319762000,398611000,464461000,410502000,412019000,473200000,- -,430719000,417640000,420078000,416981000,417255000,364128000,432674000,428370000,529181000,520644000
48,Accounts Payable,- -,- -,2519289,2479000,2401000,2784000,13700000,18725000,14472000,16850000,19315000,- -,- -,- -,16301000,15722000,14031000,- -,- -,- -,- -,- -,15799000,15987000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6438000,6331000,- -,- -,- -,- -,- -,- -,11223000,10206000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,14519286,16169000,13842000,18157000,27541000,44573000,52142000,70833000,72109000,68451000,57749000,- -,38912000,39280000,53144000,68946000,70884000,71771000,94524000,91416000,67879000,74713000
53,Total Current Liabilities,- -,- -,17038575,18648000,16243000,20941000,41241000,63298000,66614000,87683000,91424000,68451000,57749000,- -,61651000,61333000,67175000,68946000,70884000,71771000,94524000,91416000,94901000,100906000
54,Long-Term Debt,- -,- -,35502592,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48000000,63000000,43000000,118672000,63740000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,379589,665000,1763000,1465000,4688000,8097000,9431000,7178000,5921000,3240000,- -,- -,8343000,8149000,- -,8571000,4983000,1280000,- -,5146000,6215000,18382000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,5130000,6301000,7269000,2411000,62210000,- -,3200000,3980000,7142000,-988000,-1261000,4935000,6325000,6412000,5732000,8070000
58,Total Non-Current Liabilities,- -,- -,35882181,665000,1763000,1465000,4688000,8097000,14561000,13479000,13190000,5651000,62210000,- -,11543000,12129000,7142000,7583000,3722000,54215000,69325000,54558000,130619000,90192000
59,Other Liabilities,3048000,48344000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41895000,30946000
61,Total Liabilities,3048000,48344000,52920756,19313000,18006000,22406000,45929000,71395000,81175000,101162000,104614000,74102000,119959000,- -,64851000,65313000,74317000,76529000,74606000,125986000,163849000,145974000,225520000,191098000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,156300,207000,216000,222000,233000,479000,495000,507000,523000,535000,543000,- -,555000,561000,567000,575000,582000,590000,613000,631000,639000,646000
64,Retained Earnings,- -,- -,7338070,21043000,34334000,46876000,71210000,127266000,187863000,242628000,230505000,248269000,232034000,- -,280650000,290549000,298830000,313268000,327954000,332024000,335741000,350230000,360534000,367229000
65,Other Comprehensive Income/Loss,- -,- -,-314766,-1181000,-2341000,-3251000,-4980000,-6495000,-8475000,-13578000,-21898000,-28330000,-33733000,3000000,-2000000,-4000000,-3000000,-11000000,-11000000,-11000000,-10000000,-13000000,-13862000,-7393000
66,Other Total Stockholders Equity,4928000,10610000,10005733,65963000,81262000,89684000,113871000,127117000,137553000,133742000,96758000,117443000,154397000,- -,86663000,65217000,49364000,37609000,25113000,-83472000,-57529000,-55465000,-43650000,-30936000
67,Total Stockholders Equity,4928000,10610000,17185337,86032000,113471000,133531000,180334000,248367000,317436000,363299000,305888000,337917000,353241000,372726000,365868000,352327000,345761000,340452000,342649000,238142000,268825000,282396000,303661000,329546000
68,Total Liabilities And Stockholders Equity,7976000,58954000,70106093,105345000,131477000,155937000,226263000,319762000,398611000,464461000,410502000,412019000,473200000,- -,430719000,417640000,420078000,416981000,417255000,364128000,432674000,428370000,529181000,520644000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,7976000,58954000,70106093,105345000,131477000,155937000,226263000,319762000,398611000,464461000,410502000,412019000,473200000,- -,430719000,417640000,420078000,416981000,417255000,364128000,432674000,428370000,529181000,520644000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1084765/000089256908001034/0000892569-08-001034-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1084765/000095012311067991/0000950123-11-067991-index.htm,https://www.sec.gov/Archives/edgar/data/1084765/000119312512312427/0001193125-12-312427-index.htm,https://www.sec.gov/Archives/edgar/data/1084765/000119312513297300/0001193125-13-297300-index.htm,https://www.sec.gov/Archives/edgar/data/1084765/000119312514282563/0001193125-14-282563-index.htm,https://www.sec.gov/Archives/edgar/data/1084765/000119312515263948/0001193125-15-263948-index.htm,https://www.sec.gov/Archives/edgar/data/1084765/000119312516678405/0001193125-16-678405-index.htm,https://www.sec.gov/Archives/edgar/data/1084765/000119312517233750/0001193125-17-233750-index.htm,https://www.sec.gov/Archives/edgar/data/1084765/000119312518223809/0001193125-18-223809-index.htm,https://www.sec.gov/Archives/edgar/data/1084765/000108476519000011/0001084765-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1084765/000108476520000007/0001084765-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1084765/000108476521000017/0001084765-21-000017-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,6545877,13705000,13291000,12542000,24334000,56056000,60597000,54765000,49185000,17764000,-11749000,- -,41142000,20504000,19886000,27508000,30443000,18651000,18826000,31470000,28285000,25229000
74,Depreciation and Amortization,- -,- -,2874468,3648000,1705000,2262000,3921000,4102000,4818000,7594000,9566000,10281000,12040000,12253000,9095000,6274000,5316000,4307000,3557000,3452000,6389000,8478000,10764000,9125000
75,Deferred Income Tax,- -,- -,-68114,-764000,-2000,555000,214000,1662000,-1125000,-4472000,-7242000,-858000,-1263000,10663000,13191000,982000,1828000,692000,1243000,4538000,-5035000,6452000,911000,12203000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17790000,15493000,9778000,7742000,7188000,6519000,5989000,6280000,6068000,6033000,6570000,6057000,6613000
77,Change in Working Capital,- -,- -,105857,35301144,170000,17042000,18351000,40764000,41822000,46533000,-49881000,30587000,-14881000,-173472000,166584000,-10740000,-5557000,2473000,-5056000,-52630000,5283000,-116000,35857000,-1739000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52450000,-593000,-9919000,525000,37000,-5747000,-10052000,-2702000,-1494000,-19373000,-5690000,10010000,11443000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-973000,-1496000,304000,176000,681000,3332000,-1469000,-7902000,-704000
81,Other Working Capital,- -,- -,7663856,42965000,43135000,60177000,78528000,119292000,161114000,207647000,157766000,188353000,173472000,- -,166584000,155844000,150287000,152760000,147704000,95074000,100357000,100241000,136098000,134359000
82,Other Non-Cash Items,- -,- -,1048502,-30979144,164000,-15402000,-26221000,-35130000,-34935000,-16273000,55786000,-9252000,8052000,166842000,-201384000,10751000,4026000,-9218000,1795000,48186000,-16126000,-9233000,-32351000,-11488000
83,Cash Provided by Operating Activities,- -,- -,10506590,20911000,15328000,16999000,20599000,67454000,71177000,88147000,57414000,66312000,7692000,26064000,36370000,34959000,32018000,31751000,38262000,28265000,15370000,43621000,49523000,39943000
84,CAPEX,- -,- -,-3292239,-1980000,-1980000,-675000,-3180000,-4289000,-20753000,-14551000,-11333000,-5898000,-3380000,-3852000,-2786000,-3147000,-3725000,-2364000,-2381000,-4781000,-2213000,-6896000,-2346000,-3846000
85,Acquisitions Net,- -,- -,- -,- -,- -,-8003000,-31027000,-2927000,-265000,-1261000,-27569000,-5292000,-28262000,-269000,- -,- -,- -,- -,- -,- -,-23457000,- -,-30512000,- -
86,Purchases of Investments,- -,- -,- -,- -,-24000000,- -,-48000000,-61000000,-90000000,-80000000,-58000000,-70494000,-43748000,-26990000,-54242000,-63005000,-81990000,-40002000,-44969000,- -,- -,-5981000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,4000000,50000000,10000000,89000000,75000000,134000000,76000000,53996000,31987000,36500000,61000000,73000000,49000000,45000000,24957000,- -,- -,5981000,- -
88,Other Investing Activites,- -,- -,- -,- -,-1683000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,233000,4000,- -,105000,3000
89,Cash Used for Investing Activites,- -,- -,-3292239,-1980000,-27663000,-4678000,-32207000,-58216000,-22018000,-20812000,37098000,-5684000,-21394000,876000,-20528000,-5152000,-12715000,6634000,-2350000,20409000,-25666000,-12877000,-26772000,-3843000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10000000,- -,-20000000,-29000000,-45000000
91,Common Stock Issued,- -,- -,- -,56268000,10315000,4147000,15358000,10799000,18828000,21028000,22423000,8028000,5280000,4152000,4151000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-1735000,- -,- -,-303000,-4977000,-18112000,-60065000,-102065000,-12341000,-9042000,-24397000,-45385000,-34192000,-29587000,-26277000,-28128000,-118886000,-5116000,-29891000,-5000000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-60652000,- -,- -,-5538000,-8306000,-9497000,-10625000,-11748000,-14085000,-14157000,-14269000,-16158000,-17581000,-18230000
94,Other Financing Activites,- -,- -,-3600000,-43451000,-738000,54000,55000,- -,- -,3607000,2331000,8124000,5178000,5037000,431000,5597000,7302000,9161000,9955000,66167000,22859000,22448000,82485000,3769000
95,Cash Used/Provided by Financing Activities,- -,- -,-3600000,11082000,9577000,4201000,15110000,5822000,716000,-35430000,-137963000,3811000,1416000,-20746000,-49109000,-38092000,-32910000,-28864000,-32258000,-76876000,3474000,-43601000,30904000,-59461000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,-189000,259000,555000,-177000,751000,3170000,-2006000,-302000,2771000,-1233000,-2823000,-118000,-2562000,185000,-558000,963000,-568000,-1076000,2128000
97,Net Change In Cash,- -,- -,3614351,30013000,-2758000,16333000,3761000,15615000,49698000,32656000,-40281000,62433000,-12588000,8965000,-34500000,-11108000,-13725000,6959000,3839000,-28760000,-5859000,-13425000,52579000,-21233000
98,Cash at the End of Period,- -,- -,4490187,34503000,31745000,48078000,51839000,65741000,88439000,121095000,80814000,143247000,130659000,139624000,105124000,94016000,80291000,87250000,91089000,62329000,56470000,43045000,95624000,74391000
99,Cash at the Beginning of Period,- -,- -,875836,4490000,34503000,31745000,48078000,50126000,38741000,88439000,121095000,80814000,143247000,130659000,139624000,105124000,94016000,80291000,87250000,91089000,62329000,56470000,43045000,95624000
100,Free Cash Flow,- -,- -,7214351,18931000,13348000,16324000,17419000,63165000,50424000,73596000,46081000,60414000,4312000,22212000,33584000,31812000,28293000,29387000,35881000,23484000,13157000,36725000,47177000,36097000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1084765/000089256908001034/0000892569-08-001034-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1084765/000095012311067991/0000950123-11-067991-index.htm,https://www.sec.gov/Archives/edgar/data/1084765/000119312512312427/0001193125-12-312427-index.htm,https://www.sec.gov/Archives/edgar/data/1084765/000119312513297300/0001193125-13-297300-index.htm,https://www.sec.gov/Archives/edgar/data/1084765/000119312514282563/0001193125-14-282563-index.htm,https://www.sec.gov/Archives/edgar/data/1084765/000119312515263948/0001193125-15-263948-index.htm,https://www.sec.gov/Archives/edgar/data/1084765/000119312516678405/0001193125-16-678405-index.htm,https://www.sec.gov/Archives/edgar/data/1084765/000119312517233750/0001193125-17-233750-index.htm,https://www.sec.gov/Archives/edgar/data/1084765/000119312518223809/0001193125-18-223809-index.htm,https://www.sec.gov/Archives/edgar/data/1084765/000108476519000011/0001084765-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1084765/000108476520000007/0001084765-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1084765/000108476521000017/0001084765-21-000017-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
