,https://roic.ai/company/GFI,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,50500000,73600000,67700000,47500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,6500000,100000000,-209400000,96100000,211100000,- -,343000000,311200000,440400000,461500000,577800000,835100000,1078300000,1057600000,810800000,798400000,662900000,117600000,171800000,138300000,112400000,144800000,101100000
11,COGS and Expenses,240500000,345100000,346500000,309100000,330600000,327800000,364500000,335700000,338100000,368200000,340100000,378800000,310900000,716000000,983700000,556700000,856000000,1220200000,1549900000,1843600000,1972100000,2195500000,2497400000,2576400000,3379100000,4026900000,4399200000,2721200000,2692600000,2399200000,2184300000,2338900000,2243800000,2219600000,2400200000,2476000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24900000,40200000,25400000,29200000,8500000,4200000,6300000,8300000,5600000,7400000,7300000,8300000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,73900000,65200000,54300000,70100000,72400000,80800000,71200000,78300000,81300000,88000000,102200000,126700000,82900000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6500000,100000000,80800000,96100000,147800000,- -,274500000,269200000,388200000,400500000,433500000,631100000,745300000,729900000,568500000,677300000,594400000,679200000,771300000,668400000,610000000,661300000,713200000
15,EBITDA,409000000,571500000,552500000,412500000,338200000,313900000,338500000,247900000,400600000,358600000,216300000,187600000,209200000,245300000,196600000,-47000000,518000000,623700000,120000000,-32100000,505000000,843600000,1124200000,932900000,1445700000,2233100000,1746200000,498700000,852500000,475600000,1112400000,1007100000,342300000,1049400000,1943500000,2010300000
16,EBITDA ratio,0.6754,0.6555,0.6438,0.6044,0.5305,0.5107,0.5041,0.4354,0.5655,0.5130,0.3994,0.3424,0.5449,0.2583,0.1764,-0.0465,0.4213,0.4072,0.0703,-0.0170,0.2213,0.3084,0.3506,0.2890,0.3472,0.3850,0.3145,0.1716,0.2972,0.1868,0.4046,0.3647,0.1328,0.3537,0.4993,0.4792
17,Operating Income,365100000,526700000,511700000,373400000,306900000,286900000,307000000,233600000,370300000,330800000,201500000,169100000,73000000,233700000,130700000,453900000,373500000,311500000,156300000,49500000,309900000,539700000,708800000,651900000,785200000,1773200000,1152600000,185100000,176200000,146200000,565200000,422900000,334000000,747500000,1491900000,1719200000
18,Operating Income ratio,0.6029,0.6042,0.5962,0.5471,0.4814,0.4667,0.4572,0.4103,0.5227,0.4732,0.3720,0.3086,0.1902,0.2461,0.1173,0.4491,0.3038,0.2034,0.0916,0.0261,0.1358,0.1973,0.2211,0.2019,0.1886,0.3057,0.2076,0.0637,0.0614,0.0574,0.2056,0.1531,0.1296,0.2519,0.3833,0.4098
19,Total Other Income Expenses (Gains),43900000,44800000,40800000,39100000,31300000,27000000,31500000,20500000,30300000,27800000,14800000,18500000,136200000,5100000,-34100000,-581700000,48400000,164400000,-14600000,-335100000,-38400000,-58100000,132000000,-100700000,66200000,-265400000,-156500000,-347600000,-68000000,-225300000,-199400000,-270500000,-744700000,-397200000,-314000000,-464800000
20,Income Before Tax,409000000,571500000,552500000,412500000,338200000,313900000,338500000,254100000,400600000,358600000,216300000,187600000,209200000,238800000,96600000,-127800000,421900000,475900000,141700000,-285600000,271500000,481600000,840800000,551200000,851400000,1507800000,996100000,-162500000,108200000,-79100000,365800000,152400000,-410700000,350300000,1177900000,1254400000
21,Income Before Tax Ratio,0.6754,0.6555,0.6438,0.6044,0.5305,0.5107,0.5041,0.4463,0.5655,0.5130,0.3994,0.3424,0.5449,0.2514,0.0867,-0.1265,0.3431,0.3107,0.0831,-0.1509,0.1190,0.1761,0.2622,0.1707,0.2045,0.2600,0.1794,-0.0559,0.0377,-0.0311,0.1330,0.0552,-0.1593,0.1181,0.3026,0.2990
22,Income Tax expense (Gain),221000000,313700000,289500000,197000000,151600000,139800000,139700000,89800000,185700000,122300000,34500000,21500000,3400000,29300000,-6100000,-8600000,120400000,150300000,8700000,-100400000,97300000,209300000,271200000,264600000,358400000,552000000,291900000,105700000,121600000,155000000,192100000,173200000,-65900000,175600000,432500000,424900000
23,Net Income,188000000,257800000,263000000,215500000,186600000,174100000,198800000,158100000,214900000,236300000,181800000,166100000,205800000,209500000,102700000,-119200000,301500000,325600000,111300000,-206200000,138500000,246100000,452500000,160900000,391000000,881500000,654300000,-247900000,-27200000,-345000000,162800000,-18700000,-348200000,161600000,723000000,789300000
24,Net Income ratio,0.3104,0.2957,0.3065,0.3158,0.2927,0.2832,0.2961,0.2777,0.3034,0.3381,0.3357,0.3032,0.5361,0.2206,0.0922,-0.1179,0.2452,0.2126,0.0652,-0.1089,0.0607,0.0900,0.1411,0.0498,0.0939,0.1520,0.1179,-0.0853,-0.0095,-0.1355,0.0592,-0.0068,-0.1351,0.0545,0.1858,0.1881
25,EPS,0.68,1.27,1.34,1.06,0.54,0.54,0.97,0.78,1.05,1.06,0.89,0.81,0.43,0.30,0.23,-0.26,0.65,0.54,0.10,-0.42,0.28,0.44,0.69,0.25,0.55,1.22,0.90,-0.33,-0.04,-0.45,0.20,-0.04,-0.42,0.20,0.82,0.89
26,EPS Diluted,0.68,1.27,1.34,1.06,0.54,0.54,0.97,0.78,1.05,1.06,0.89,0.81,0.43,0.30,0.23,-0.26,0.64,0.54,0.10,-0.42,0.28,0.44,0.69,0.25,0.55,1.21,0.90,-0.33,-0.04,-0.45,0.20,-0.04,-0.42,0.19,0.81,0.88
27,Weighted Average Shares Outstanding,204000000,202992126,196268657,203301887,204000000,204000000,204948454,202692308,204666667,222924528,204269663,205061728,204000000,324840000,453250595,454450391,463846154,471814106,485020966,491987508,492922941,558259686,652538212,682000000,705364200,722376228,727459457,742606726,769141871,774763151,810082192,820611806,821532707,827386603,878661474,887306342
28,Weighted Average Shares Outstanding Diluted,204000000,202992126,196268657,203301887,204000000,204000000,204948454,202692308,204666667,222924528,204269663,205061728,204000000,324840000,453250595,454450391,471093750,475294239,487698431,493690893,496240970,562207148,656252205,682000000,714549842,730787498,730723950,742606726,769141871,774763151,810082192,820611806,821532707,850526316,889841717,888522727
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1172724/000115697304001374/0001156973-04-001374-index.htm,https://www.sec.gov/Archives/edgar/data/1172724/000110465905062330/0001104659-05-062330-index.htm,https://www.sec.gov/Archives/edgar/data/1172724/000110465906077569/0001104659-06-077569-index.htm,https://www.sec.gov/Archives/edgar/data/1172724/000119312507261240/0001193125-07-261240-index.htm,https://www.sec.gov/Archives/edgar/data/1172724/000119312508237671/0001193125-08-237671-index.htm,https://www.sec.gov/Archives/edgar/data/1172724/000119312509246637/0001193125-09-246637-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1172724/000119312512175945/0001193125-12-175945-index.htm,https://www.sec.gov/Archives/edgar/data/1172724/000119312513219018/0001193125-13-219018-index.htm,https://www.sec.gov/Archives/edgar/data/1172724/000119312514159410/0001193125-14-159410-index.htm,https://www.sec.gov/Archives/edgar/data/1172724/000119312515129431/0001193125-15-129431-index.htm,https://www.sec.gov/Archives/edgar/data/1172724/000119312516539436/0001193125-16-539436-index.htm,https://www.sec.gov/Archives/edgar/data/1172724/000119312517111492/0001193125-17-111492-index.htm,https://www.sec.gov/Archives/edgar/data/1172724/000119312518107118/0001193125-18-107118-index.htm,https://www.sec.gov/Archives/edgar/data/1172724/000119312519092325/0001193125-19-092325-index.htm,https://www.sec.gov/Archives/edgar/data/1172724/000119312520099587/0001193125-20-099587-index.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,133000000,656300000,503700000,217700000,326400000,253700000,357500000,500700000,744000000,655600000,325000000,458000000,440000000,526700000,479000000,399700000,515000000,886800000,524700000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,101000000,- -,46800000,- -,- -,6900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,234000000,656300000,550500000,217700000,326400000,260600000,357500000,500700000,744000000,655600000,325000000,458000000,440000000,526700000,479000000,399700000,515000000,886800000,524700000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,111300000,119900000,69100000,257100000,255800000,383500000,282900000,483400000,383300000,199300000,162000000,128200000,119800000,125300000,101400000,93400000,133600000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17382000000,106700000,77400000,111300000,144900000,152800000,196000000,234900000,297700000,402100000,402700000,373300000,294400000,329400000,393500000,368200000,417800000,521600000,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6141000000,46200000,55100000,157700000,96300000,98800000,81300000,114000000,187900000,204400000,149300000,102400000,41700000,76800000,116600000,51800000,74900000,217800000,896400000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23757000000,920500000,802900000,555800000,824700000,768000000,1018300000,1132500000,1713000000,1645400000,1076300000,1095700000,904300000,1052700000,1114400000,921100000,1101100000,1759800000,1421100000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,88712000000,2512500000,2554100000,3018500000,5576800000,5423700000,5756900000,6639700000,7016800000,7388900000,4933000000,4453300000,3705700000,4547800000,4892900000,4259200000,4657100000,4771200000,5079100000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1222700000,1092800000,1084700000,1154900000,1075400000,1020100000,845500000,756300000,579000000,317800000,76600000,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,160000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,160000000,- -,- -,- -,1222700000,1092800000,1084700000,1154900000,1075400000,1020100000,845500000,756300000,579000000,317800000,76600000,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,475200000,254300000,272200000,458000000,268900000,286500000,175000000,234900000,331400000,521200000,396600000,447600000,317400000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24100000,22600000,10900000,1800000,48700000,72000000,269500000,265500000,240000000,260600000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,250100000,235900000,396900000,401800000,737400000,- -,- -,- -,111800000,109000000,148100000,148100000,132800000,132800000,133300000,141000000,254200000,270600000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,88872000000,2762600000,2790000000,3415400000,7201300000,7253900000,7316800000,8048900000,8364400000,9002900000,6179000000,5655100000,4609600000,5282000000,5505700000,5183200000,5460200000,5713000000,5927700000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,112629000000,3683100000,3592900000,3971200000,8026000000,8021900000,8335100000,9181400000,10077400000,10648300000,7255300000,6750800000,5513900000,6334700000,6620100000,6104300000,6561300000,7472800000,7348800000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,184000000,278900000,274500000,135100000,208100000,193700000,533500000,158300000,669900000,220500000,141200000,170200000,155300000,169300000,190800000,145900000,138100000,133400000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32800000,- -,300000,230800000,775600000,327500000,691100000,547000000,40000000,121500000,140200000,16700000,188000000,193600000,94800000,730100000,147700000,60400000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52000000,- -,- -,- -,- -,- -,98200000,112000000,264400000,210000000,49600000,58200000,77800000,120900000,77500000,5200000,24800000,121300000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,647000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18872000000,14200000,18000000,241400000,373200000,568900000,114300000,502400000,275600000,734500000,366800000,408000000,350100000,502100000,469600000,374800000,499600000,635400000,762000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19703000000,325900000,292500000,376800000,812100000,1538200000,975300000,1351800000,1492500000,995000000,629500000,718400000,522100000,859400000,854000000,615500000,1367800000,916500000,822400000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,653100000,737900000,1211800000,564200000,785900000,430000000,1360700000,2321200000,1938600000,1770700000,1803600000,1504900000,1587900000,2005400000,1448600000,1808200000,1433200000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,529500000,596200000,721800000,877100000,719900000,817700000,982500000,1019400000,901800000,309300000,252900000,254100000,465500000,453900000,454900000,433600000,499900000,500900000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16582000000,349600000,143600000,153800000,206700000,224100000,252200000,278500000,352500000,389600000,280100000,317500000,297100000,315300000,321300000,321600000,402600000,420000000,462200000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16582000000,879100000,1392900000,1613500000,2295600000,1508200000,1855800000,1691000000,2732600000,3612600000,2528000000,2341100000,2354800000,2285700000,2363100000,2781900000,2284800000,2728100000,2396300000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,88600000,332900000,429000000,415500000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36285000000,1205000000,1685400000,1990300000,3107700000,3046400000,2831100000,3042800000,4225100000,4607600000,3157500000,3059500000,2876900000,3145100000,3217100000,3397400000,3652600000,3644600000,3218700000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39900000,43700000,43900000,54800000,54900000,57700000,57800000,59000000,61000000,62900000,63000000,63200000,59600000,59600000,3622500000,3622500000,3871500000,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,255000000,439800000,-49100000,27600000,211800000,521800000,561500000,834400000,772500000,1054300000,741100000,684100000,324000000,1570900000,1471100000,1073900000,1190000000,1755600000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-243000000,412100000,-3400000,-43300000,64800000,-243000000,-338900000,-96500000,-423300000,-653000000,-1249000000,-1617400000,-2308200000,-2126400000,-1817800000,-2110300000,-2035500000,-1962600000,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1607000000,1481100000,1797900000,1827600000,4459800000,4490400000,4944200000,- -,5374600000,5452300000,4439000000,4465000000,4475900000,3562900000,3562900000,- -,- -,- -,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1619000000,2372900000,1789100000,1855800000,4791200000,4824100000,5224500000,5801100000,5782800000,5914600000,3994000000,3594700000,2554900000,3067000000,3275800000,2586100000,2777000000,3664500000,4130100000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37904000000,3577900000,3474500000,3846100000,7898900000,7870500000,8055600000,8843900000,10007900000,10522200000,7151500000,6654200000,5431800000,6212100000,6492900000,5983500000,6429600000,7309100000,7348800000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,74725000000,105200000,118400000,125100000,127100000,151400000,279500000,337500000,69500000,126100000,103800000,96600000,82100000,122600000,127200000,120800000,131700000,163700000,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,112629000000,3683100000,3592900000,3971200000,8026000000,8021900000,8335100000,9181400000,10077400000,10648300000,7255300000,6750800000,5513900000,6334700000,6620100000,6104300000,6561300000,7472800000,7348800000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/1172724/000115697303001918/0001156973-03-001918-index.htm,https://www.sec.gov/Archives/edgar/data/1172724/000115697304001374/0001156973-04-001374-index.htm,https://www.sec.gov/Archives/edgar/data/1172724/000110465905062330/0001104659-05-062330-index.htm,https://www.sec.gov/Archives/edgar/data/1172724/000110465906077569/0001104659-06-077569-index.htm,https://www.sec.gov/Archives/edgar/data/1172724/000119312507261240/0001193125-07-261240-index.htm,https://www.sec.gov/Archives/edgar/data/1172724/000119312508237671/0001193125-08-237671-index.htm,https://www.sec.gov/Archives/edgar/data/1172724/000119312509246637/0001193125-09-246637-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1172724/000119312512175945/0001193125-12-175945-index.htm,https://www.sec.gov/Archives/edgar/data/1172724/000119312513219018/0001193125-13-219018-index.htm,https://www.sec.gov/Archives/edgar/data/1172724/000119312514159410/0001193125-14-159410-index.htm,https://www.sec.gov/Archives/edgar/data/1172724/000119312515129431/0001193125-15-129431-index.htm,https://www.sec.gov/Archives/edgar/data/1172724/000119312516539436/0001193125-16-539436-index.htm,https://www.sec.gov/Archives/edgar/data/1172724/000119312517111492/0001193125-17-111492-index.htm,https://www.sec.gov/Archives/edgar/data/1172724/000119312518107118/0001193125-18-107118-index.htm,https://www.sec.gov/Archives/edgar/data/1172724/000119312519092325/0001193125-19-092325-index.htm,https://www.sec.gov/Archives/edgar/data/1172724/000119312520099587/0001193125-20-099587-index.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,198800000,158100000,214900000,236300000,181800000,166100000,205800000,209500000,102700000,-119200000,301500000,325600000,111300000,-206200000,138500000,246100000,452500000,160900000,391000000,881500000,654300000,-247900000,-27200000,-345000000,162800000,-18700000,-348200000,161600000,723000000,789300000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6500000,100000000,80800000,96100000,147800000,- -,274500000,269200000,388200000,400500000,433500000,631100000,745300000,729900000,568500000,677300000,594400000,679200000,771300000,668400000,610000000,661300000,713200000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,358400000,- -,291900000,-59400000,-12600000,12000000,- -,- -,-65900000,175600000,432500000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33700000,53900000,66400000,77700000,40500000,26000000,10900000,- -,- -,37500000,20500000,14500000,- -
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,-300000,15000000,3200000,-1000000,3500000,2600000,-15000000,-138500000,8700000,-31400000,8900000,20900000,26000000,12400000,-77900000,-632100000,-95500000,-120300000,9300000,-80300000,-159100000,-134100000,108000000,76000000,-2700000,-69400000,-16300000,-24600000,-171800000,-89400000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2800000,-2200000,15000000,-5600000,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,-1100000,- -,- -,-1900000,-1000000,2600000,-12000000,-16300000,-13300000,-11100000,-600000,5400000,-26500000,-24100000,-31100000,-34000000,-60300000,-43400000,-165200000,-93400000,-11000000,-22500000,55600000,-38600000,-55100000,800000,-56200000,-89900000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44900000,-41700000,62800000,86100000,-121300000,77700000,-40700000,33100000,-12100000,-32100000,37200000,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15300000,-110400000,- -,- -,- -,- -,- -,- -,-54800000,-534600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,139800000,89800000,98300000,-32800000,35600000,22400000,-118200000,127500000,-19700000,277600000,33800000,-28600000,105100000,101200000,135600000,203000000,141500000,127100000,-280800000,294600000,-447800000,179300000,-27700000,231700000,78200000,79200000,282300000,-98100000,-548100000,186100000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,338300000,262900000,316400000,202500000,220900000,191100000,72600000,205000000,191700000,207800000,440300000,465700000,242400000,181900000,465400000,205200000,899000000,634900000,1162900000,1907500000,1146900000,346900000,743800000,580000000,917500000,762400000,557800000,845000000,1111400000,1599200000
84,CAPEX,- -,- -,- -,- -,- -,- -,-70400000,-83700000,-88600000,-112300000,-119600000,-122900000,-96500000,-362200000,-107500000,-149300000,-153700000,-252900000,-417400000,-317700000,-255400000,-797000000,-1154400000,-760300000,-1170200000,-1153000000,-1322800000,-543700000,-480500000,-434500000,-649900000,-833600000,-814200000,-612500000,-590800000,-1060000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-212900000,- -,- -,- -,-415600000,-1240900000,- -,5000000,-43000000,- -,- -,-135000000,81000000,- -,-197100000,5400000,-165000000,53000000,- -,- -
