,https://roic.ai/company/IMAX,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),-4900000,-3800000,-7800000,-8500000,-15600000,-11000000,-8315000,29879000,-3560000,-18250000,-19177000,-24622000,-16329000,-16461000,-17516000,-14597000,-1774000,-2192000,-582000,-1300000,-519000,-693000,-315000,-915000,-1571000,-1942000,-7303000,3000
20,Income Before Tax,-13100000,9200000,29000000,39300000,15600000,43500000,-42900000,-64000000,11200000,-200000,6600000,6700000,-12700000,-28700000,-33700000,5200000,49200000,26300000,57800000,63800000,57351000,87078000,57853000,30011000,43605000,75336000,-129124000,10987000
21,Income Before Tax Ratio,-0.1890,0.1040,0.2234,0.2479,0.0819,0.2255,-0.2478,-0.5438,0.0868,-0.0017,0.0498,0.0518,-0.1029,-0.2572,-0.3281,0.0304,0.1979,0.1112,0.2033,0.2216,0.1974,0.2330,0.1533,0.0788,0.1165,0.1904,-0.9425,0.0431
22,Income Tax expense (Gain),-3600000,5500000,13600000,17300000,9800000,16600000,-13100000,27800000,- -,-400000,-100000,1100000,6200000,-472000,-92000,-274000,51784000,9388000,-15079000,16629000,14466000,20052000,16212000,16790000,9518000,16768000,26504000,20564000
23,Net Income,-9500000,3700000,15400000,20700000,1800000,25200000,-92900000,-145100000,12000000,200000,7500000,7800000,-16800000,-26900000,-33800000,4700000,101200000,15300000,41300000,44100000,39736000,55844000,28788000,2344000,22844000,46866000,-143775000,-22329000
24,Net Income ratio,-0.1371,0.0418,0.1186,0.1306,0.0095,0.1306,-0.5367,-1.2328,0.0930,0.0017,0.0566,0.0603,-0.1361,-0.2410,-0.3291,0.0275,0.4071,0.0647,0.1453,0.1532,0.1368,0.1494,0.0763,0.0062,0.0610,0.1184,-1.0494,-0.0876
25,EPS,-0.50,0.12,0.51,0.71,0.03,0.85,-3.11,-4.69,0.36,0.01,0.26,0.42,-0.42,-0.67,-0.79,0.10,1.59,0.24,0.63,0.66,0.58,0.79,0.43,0.04,0.36,0.76,-2.43,-0.16
26,EPS Diluted,-0.50,0.12,0.51,0.68,0.03,0.83,-3.11,-4.69,0.36,0.01,0.26,0.40,-0.42,-0.67,-0.79,0.09,1.51,0.23,0.61,0.64,0.56,0.78,0.42,0.04,0.36,0.76,-2.43,-0.16
27,Weighted Average Shares Outstanding,27812500,30833333,30196078,29154930,29636364,29647059,29886495,30941151,33255556,36900000,39400000,39519048,40270226,40308595,42393085,52820783,63575473,64503864,65854000,67151000,68346000,69526000,67575000,65380000,63075000,61310000,59237000,59244000
28,Weighted Average Shares Outstanding Diluted,27812500,30833333,30196078,30441176,29636364,30361446,29886495,30941151,33255556,36900000,39400000,41495000,40270226,40308595,42393085,54518141,66683603,67858856,67933000,68961000,69754000,71058000,68263000,65540000,63207000,61489000,59237000,59244000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/921582/000090956708000302/o39608e10vk.htm,https://www.sec.gov/Archives/edgar/data/921582/000090956709000242/0000909567-09-000242-index.html,https://www.sec.gov/Archives/edgar/data/921582/000095012310023415/0000950123-10-023415-index.html,https://www.sec.gov/Archives/edgar/data/921582/000095012311017825/o67926e10vk.htm,https://www.sec.gov/Archives/edgar/data/921582/000119312512075878/0001193125-12-075878-index.html,https://www.sec.gov/Archives/edgar/data/921582/000119312513069594/0001193125-13-069594-index.html,https://www.sec.gov/Archives/edgar/data/921582/000119312514060866/d679676d10k.htm,https://www.sec.gov/Archives/edgar/data/921582/000119312515054386/d876809d10k.htm,https://www.sec.gov/Archives/edgar/data/921582/000119312516475999/0001193125-16-475999-index.html,https://www.sec.gov/Archives/edgar/data/921582/000119312517054210/0001193125-17-054210-index.html,https://www.sec.gov/Archives/edgar/data/921582/000119312518061184/0001193125-18-061184-index.html,https://www.sec.gov/Archives/edgar/data/921582/000119312519052075/0001193125-19-052075-index.html,https://www.sec.gov/Archives/edgar/data/921582/000156459020005319/0001564590-20-005319-index.html,https://www.sec.gov/Archives/edgar/data/921582/000156459021010996/0001564590-21-010996-index.htm,https://www.sec.gov/Archives/edgar/data/921582/000156459022006399/0001564590-22-006399-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,56900000,50700000,102600000,64100000,143600000,34600000,26800000,26400000,33800000,47300000,29000000,24300000,25100000,16900000,27000000,20100000,30400000,18100000,21300000,29500000,106503000,317449000,204759000,158725000,141590000,109484000,317379000,189711000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,56900000,50700000,102600000,64100000,143600000,34600000,26800000,26400000,33800000,47300000,29000000,24300000,25100000,16900000,27000000,20100000,30400000,18100000,21300000,29500000,106503000,317449000,204759000,158725000,141590000,109484000,317379000,189711000
34,Net Receivables,6300000,10500000,18000000,32400000,30800000,42600000,32500000,18300000,15100000,13900000,19900000,20100000,26000000,25500000,23000000,37700000,39600000,46700000,42000000,73100000,76051000,97981000,96349000,130546000,93309000,99513000,228636000,295317000
35,Inventory,13500000,18700000,21300000,21900000,18700000,31100000,51000000,42700000,34100000,28200000,29000000,29000000,26900000,22100000,19800000,10300000,15300000,19700000,15800000,9800000,17063000,38753000,42121000,30788000,44560000,42989000,39580000,26924000
36,Other Current Assets,3000000,4400000,6300000,142600000,215500000,319600000,158700000,103800000,103700000,111400000,114200000,127700000,83337000,78388000,78187000,83411000,148301000,1008000,65000,- -,- -,-391000,- -,- -,- -,15685000,10420000,11802000
37,Total Current Assets,79700000,84300000,148200000,261000000,408600000,427900000,269000000,191200000,186700000,200800000,192100000,201100000,161337000,142888000,147987000,151511000,233601000,85508000,79165000,112400000,199617000,453792000,343229000,320059000,279459000,267671000,596015000,523754000
38,PP&E,25900000,27700000,37800000,41400000,46600000,66900000,87100000,52700000,43600000,35800000,28700000,27700000,24600000,23700000,39400000,54800000,74000000,101300000,113600000,132800000,183424000,218267000,245415000,276781000,280658000,306849000,277397000,260353000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39027000,39027000
40,Intangible Assets,50500000,49100000,46500000,42000000,34900000,38500000,29700000,14600000,3800000,5000000,3900000,4400000,3800000,4400000,6200000,5400000,4900000,27300000,31600000,34800000,42714000,43521000,46938000,36237000,50462000,48268000,32022000,27321000
41,Intangible Assets,50500000,49100000,46500000,42000000,34900000,38500000,29700000,14600000,3800000,5000000,3900000,4400000,3800000,4400000,6200000,5400000,4900000,27300000,31600000,34800000,42714000,43521000,46938000,36237000,50462000,48268000,71049000,66348000
42,Investments,- -,- -,- -,78300000,138500000,192100000,7500000,- -,- -,- -,- -,8200000,2100000,- -,- -,- -,3100000,5100000,4424000,5784000,3384000,2198000,3389000,9911000,4595000,19140000,14633000,2087000
43,Tax Assets,- -,- -,- -,19600000,23300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17983000,13906000
44,Other Non-Current Assets,28500000,33400000,76200000,-97900000,-161800000,-187200000,98800000,3000000,8900000,10000000,6200000,-2000000,35463000,37012000,35113000,35789000,33499000,187992000,193111000,195316000,192394000,212851000,218363000,223624000,258426000,247141000,20673000,16799000
45,Total Non-Current Assets,104900000,110200000,160500000,83400000,81500000,110300000,223100000,70300000,56300000,50800000,38800000,38300000,65963000,65112000,80713000,95989000,115499000,321692000,342735000,368700000,421916000,476837000,514105000,546553000,594141000,621398000,401735000,359493000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,184600000,194500000,308700000,344400000,490100000,538200000,492100000,261500000,243000000,251600000,230900000,239400000,227300000,208000000,228700000,247500000,349100000,407200000,421900000,481100000,621533000,930629000,857334000,866612000,873600000,889069000,997750000,883247000
48,Accounts Payable,2900000,2900000,4500000,7100000,9900000,18400000,11700000,6700000,6200000,5800000,5800000,7500000,11400000,12300000,15800000,16800000,20400000,29000000,15100000,19400000,26145000,23455000,19990000,24235000,32057000,20414000,20837000,15943000
49,Short-Term Debt,- -,- -,- -,- -,- -,17300000,- -,- -,- -,- -,- -,- -,160000000,160000000,20000000,50000000,17500000,55083000,- -,- -,4710000,29667000,27316000,- -,37753000,18229000,305676000,2472000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,56694000,59085000,71452000,57879000,57122000,74458000,73954000,76932000,88566000,104993000,90266000,113270000,106709000,94552000,87982000,81281000
52,Other Current Liabilities,37200000,52700000,60600000,89800000,95700000,91500000,158100000,143700000,131300000,108400000,107400000,118000000,-102594000,-97985000,58148000,77821000,78078000,3759000,68746000,65268000,114627000,119347000,130434000,176004000,147167000,189951000,99354000,111896000
53,Total Current Liabilities,40100000,55600000,65100000,96900000,105600000,127200000,169800000,150400000,137500000,114200000,113200000,125500000,125500000,133400000,165400000,202500000,173100000,162300000,157800000,161600000,234048000,277462000,268006000,313509000,323686000,323146000,513849000,211592000
54,Long-Term Debt,68400000,69600000,165900000,165000000,300000000,300000000,300000000,229600000,209100000,189200000,160000000,160000000,160000000,160000000,160000000,- -,17500000,55100000,11000000,- -,4710000,29276000,27316000,25357000,37753000,18229000,305676000,223641000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,6100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19134000,17642000
57,Other Non-Current Liabilities,22300000,10800000,14000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57900000,- -,- -,- -,76900000,- -,- -,- -,- -,- -,- -,-304917000,- -
58,Total Non-Current Liabilities,90700000,80400000,186000000,165000000,300000000,300000000,300000000,229600000,209100000,189200000,160000000,160000000,160000000,160000000,160000000,- -,17500000,55100000,11000000,- -,4710000,29276000,27316000,25357000,37753000,18229000,19893000,241283000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,130800000,136000000,251100000,261900000,405600000,427200000,469800000,380000000,346600000,303400000,273200000,285500000,285500000,293400000,325400000,202500000,190600000,217400000,168800000,161600000,238758000,306738000,295322000,338866000,361439000,341375000,533742000,452875000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,52600000,55200000,57500000,60100000,63300000,65600000,115600000,116300000,121700000,122000000,122500000,141600000,280000000,293000000,303400000,313700000,327300000,344862000,448310000,439213000,445797000,422455000,423386000,407031000,409979000
64,Retained Earnings,-10000000,-6800000,8300000,28600000,29400000,54700000,-38300000,-183400000,-171400000,-171200000,-160900000,-167500000,-184400000,-213400000,-247000000,-242000000,-141200000,-128500000,-87200000,-43100000,-6259000,19930000,-47366000,-87592000,-85385000,-40253000,-202849000,-234975000
65,Other Comprehensive Income/Loss,-3000000,-6900000,-11900000,-200000,-400000,-2200000,800000,3200000,2187000,3804000,2288000,-370000,1182000,1494000,3468000,906000,-997000,-2332000,-2391000,-1129000,-3147000,-7443000,-5200000,-626000,-3588000,-3190000,988000,6459000
66,Other Total Stockholders Equity,66800000,72200000,61200000,4400000,5000000,1100000,- -,- -,-57000,20000,-64000,23127000,9087000,4036000,5158000,6104000,7655000,20339000,28970000,36514000,47319000,163094000,175365000,170167000,178679000,167751000,180319000,- -
67,Total Stockholders Equity,53800000,58500000,57600000,85400000,89200000,111100000,22263000,-118448000,-103670000,-51776000,-42376000,-23043000,-52131000,-85370000,-96774000,45010000,158458000,192907000,253079000,319585000,382775000,623891000,562012000,527746000,512161000,547694000,385489000,356083000
68,Total Liabilities And Stockholders Equity,184600000,194500000,308700000,347300000,494800000,538300000,492063000,261552000,242930000,251624000,230824000,262457000,233369000,208030000,228626000,247510000,349058000,410307000,421879000,481185000,621533000,930629000,857334000,866612000,873600000,889069000,919231000,808958000
69,Minority Interest,- -,- -,- -,-2900000,-4700000,-100000,37000,-52000,70000,-24000,76000,-23057000,-6069000,-30000,74000,-10000,42000,-3107000,21000,-85000,- -,- -,- -,- -,- -,- -,78519000,74289000
70,Total Liabilities & Equity,184600000,194500000,308700000,344400000,490100000,538200000,492100000,261500000,243000000,251600000,230900000,239400000,227300000,208000000,228700000,247500000,349100000,407200000,421900000,481100000,621533000,930629000,857334000,866612000,873600000,889069000,997750000,883247000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/921582/000090956708000302/o39608e10vk.htm,https://www.sec.gov/Archives/edgar/data/921582/000090956709000242/0000909567-09-000242-index.html,https://www.sec.gov/Archives/edgar/data/921582/000095012310023415/0000950123-10-023415-index.html,https://www.sec.gov/Archives/edgar/data/921582/000095012311017825/o67926e10vk.htm,https://www.sec.gov/Archives/edgar/data/921582/000119312512075878/0001193125-12-075878-index.html,https://www.sec.gov/Archives/edgar/data/921582/000119312513069594/0001193125-13-069594-index.html,https://www.sec.gov/Archives/edgar/data/921582/000119312514060866/d679676d10k.htm,https://www.sec.gov/Archives/edgar/data/921582/000119312515054386/d876809d10k.htm,https://www.sec.gov/Archives/edgar/data/921582/000119312516475999/0001193125-16-475999-index.html,https://www.sec.gov/Archives/edgar/data/921582/000119312517054210/0001193125-17-054210-index.html,https://www.sec.gov/Archives/edgar/data/921582/000119312518061184/0001193125-18-061184-index.html,https://www.sec.gov/Archives/edgar/data/921582/000119312519052075/0001193125-19-052075-index.html,https://www.sec.gov/Archives/edgar/data/921582/000156459020005319/0001564590-20-005319-index.html,https://www.sec.gov/Archives/edgar/data/921582/000156459021010996/0001564590-21-010996-index.htm,https://www.sec.gov/Archives/edgar/data/921582/000156459022006399/0001564590-22-006399-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-9500000,3700000,15400000,20700000,1800000,25200000,-92900000,-145100000,12000000,200000,7500000,7800000,-16800000,-26900000,-33800000,4700000,101200000,15300000,41300000,44100000,39736000,55844000,28788000,2344000,22844000,46866000,-143775000,-22329000
74,Depreciation and Amortization,19500000,14800000,14600000,15400000,22700000,25100000,50628000,99801000,16073000,9633000,14947000,15867000,16825000,17738000,18071000,19051000,20536000,25163000,32788000,37172000,33756000,42803000,46485000,66807000,57437000,63487000,53606000,56082000
75,Deferred Income Tax,-5000000,3800000,9000000,14000000,4000000,-24200000,-5300000,24568000,-4405000,81000,-1143000,- -,5918000,-68000,-749000,8000,-54275000,8089000,14724000,12899000,627000,-1336000,4940000,-4017000,-6923000,6762000,23618000,2996000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2885000,4789000,- -,19183000,28195000,12436000,14220000,12685000,15467000,22379000,31586000,24075000,23723000,23570000,22038000,26079000
77,Change in Working Capital,3200000,-10900000,54400000,81000000,138900000,-2300000,-201500000,-58400000,8400000,37400000,-7700000,-3300000,-39763000,-26349000,-26901000,-33576000,111490000,-137293000,-1843000,29435000,14769000,210761000,-101107000,-68673000,-50777000,-11248000,137641000,-64757000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8643000,675000,- -,-13444000,-2423000,-7486000,4110000,-31032000,-4318000,-22521000,-1414000,-37807000,33942000,-8621000,33597000,-52453000
79,Inventory,-600000,-6500000,-3800000,-1400000,2500000,-5700000,-16997000,6852000,8092000,7847000,- -,- -,57000,-1603000,837000,10082000,-3828000,-1264000,-422000,1884000,-7603000,-21070000,-3825000,10832000,-14022000,1942000,1637000,11451000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3955000,874000,- -,1500000,100000,5592000,-8139000,7238000,-5186000,9183000,-3360000,4204000,7749000,-11774000,414000,-4752000
81,Other Working Capital,39600000,28700000,83100000,164100000,303000000,300700000,99200000,40800000,49200000,86600000,78900000,75600000,35837000,9488000,-17413000,-50989000,60501000,-76792000,-78635000,-49200000,-34431000,176330000,75223000,6550000,-44227000,-55475000,82166000,-6591000
82,Other Non-Cash Items,4900000,-7400000,-66600000,-119500000,-143500000,-8300000,194983000,81811000,-11711000,-56497000,-2193000,-18581000,25098000,24569000,36831000,4416000,-148660000,82552000,-27559000,-81258000,-17750000,-246766000,67180000,64830000,63668000,-39061000,-116139000,7994000
83,Cash Provided by Operating Activities,13100000,4000000,26800000,11600000,23900000,15500000,-54089000,2680000,20357000,-9183000,11411000,1786000,-5837000,-6221000,-6548000,13782000,58486000,6247000,73630000,55033000,86605000,83685000,77872000,85366000,109972000,90376000,-23011000,6065000
84,CAPEX,-2200000,-5000000,-15500000,-12700000,-14000000,-66500000,-28782000,-1091000,-1541000,-1560000,-320000,-1597000,-2433000,-2527000,-3983000,-1746000,-6019000,-27734000,-35138000,-38277000,-59860000,-76796000,-62975000,-71991000,-56874000,-50841000,-9255000,-17776000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-1195000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3636000,-2483000,-381000,-4000000,-2500000,-2000000,-1911000,-1606000,- -,-40489000,- -,17769000
86,Purchases of Investments,- -,- -,-18200000,-8300000,-32900000,-29600000,- -,- -,- -,- -,- -,-31276000,-20897000,-6457000,- -,-25072000,-21275000,-33290000,- -,- -,- -,- -,- -,- -,- -,-15153000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,81503000,7529000,- -,- -,393000,23458000,27293000,8572000,- -,- -,- -,- -,- -,- -,507000,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-58700000,-3600000,-14800000,-32500000,-25200000,-30200000,-6190000,-760000,-1639000,-246000,-1435000,-1301000,-1388000,-2852000,-18435000,-1068000,6425000,-22206000,-5826000,-2486000,-2918000,-5065000,-4787000,-5214000,-8696000,37558000,-1904000,-4092000
89,Cash Used for Investing Activites,-60900000,-8600000,-48500000,-53500000,-72100000,-126300000,45336000,5678000,-3180000,-1806000,-1362000,-10716000,3023000,-737000,-22418000,-27566000,-23824000,-63507000,-35519000,-42277000,-61853000,-78796000,-64886000,-73597000,-56874000,-65994000,-9255000,-7000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-184104000,-32500000,-37500000,-54000000,-23000000,- -,-333000,-2000000,-2000000,-50667000,-55000000,- -,-307609000
91,Common Stock Issued,61100000,- -,2000000,5800000,2600000,2200000,1442000,31000,152000,1722000,558000,3633000,286000,420000,19133000,130774000,- -,- -,314000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-100000,-19500000,- -,-2200000,-400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3853000,-44276000,-118514000,-51273000,-82812000,-25859000,-38169000,-23965000
93,Dividends Paid,- -,- -,- -,- -,-400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,43000000,-1200000,91100000,-2400000,127400000,100000,1034000,-12540000,-6022000,22464000,-28969000,786000,- -,-1714000,19886000,60511000,8276000,82641000,18837000,18617000,56112000,249824000,-5268000,-4263000,62617000,23741000,278736000,198854000
95,Cash Used/Provided by Financing Activities,104100000,-1300000,73600000,3400000,127400000,1900000,2476000,-12509000,-5870000,24186000,-28411000,4419000,286000,-1294000,39019000,7181000,-24224000,45141000,-34849000,-4383000,52259000,205215000,-125782000,-57536000,-70862000,-57118000,240567000,-132720000
96,Effect of Forex Changes on Cash,100000,-200000,- -,-100000,200000,-100000,2612000,-369000,-559000,284000,44000,- -,-66000,30000,63000,-333000,-129000,-133000,-64000,-163000,-54000,842000,106000,-267000,629000,630000,-406000,-1006000
97,Net Change In Cash,104100000,-6200000,51800000,3400000,127400000,-109000000,-3665000,-4520000,10748000,13481000,-18318000,-4511000,799000,-8222000,10116000,-6936000,10309000,-12252000,3198000,8210000,76957000,210946000,-112690000,-46034000,-17135000,-32106000,207895000,-127668000
98,Cash at the End of Period,- -,50700000,102500000,- -,- -,34600000,30908000,26388000,37136000,47282000,28964000,-4640000,25123000,16901000,27017000,20081000,30390000,18138000,21336000,29546000,106503000,317449000,204759000,158725000,141590000,109484000,317379000,189711000
99,Cash at the Beginning of Period,400000,56900000,50700000,102600000,64100000,143600000,34573000,30908000,26388000,33801000,47282000,-129000,24324000,25123000,16901000,27017000,20081000,30390000,18138000,21336000,29546000,106503000,317449000,204759000,158725000,141590000,109484000,317379000
100,Free Cash Flow,10900000,-1000000,11300000,-1100000,9900000,-51000000,-82871000,1589000,18816000,-10743000,11091000,189000,-8270000,-8748000,-10531000,12036000,52467000,-21487000,38492000,16756000,26745000,6889000,14897000,13375000,53098000,39535000,-32266000,-11711000
