,https://roic.ai/company/HXL,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,219000000,236000000,409900000,422800000,463500000,480500000,505100000,522700000,274900000,290000000,320500000,439600000,459500000,491400000,502300000,510600000,525100000,557100000,576800000,512600000,373100000,258000000,163500000,42900000,-297600000,-415200000,-427700000,1610000000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,41900000,48400000,179300000,249900000,302400000,270100000,315700000,-132600000,-127400000,-93400000,-24400000,209100000,301600000,427600000,509200000,575600000,659400000,802200000,994100000,1160400000,1149900000,1179600000,1244900000,1495100000,1322000000,1446100000,1510200000,1485000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,218900000,230600000,701700000,811600000,1404200000,1261900000,1211400000,789400000,708100000,722700000,776800000,879000000,1012900000,1060500000,1210300000,1246600000,1258100000,1376100000,1603100000,1836100000,2036400000,2187400000,2400600000,2780900000,2824100000,3128600000,2917800000,2818000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,218900000,230600000,701700000,811600000,1404200000,1261900000,1211400000,789400000,708100000,722700000,776800000,879000000,1012900000,1060500000,1210300000,1246600000,1258100000,1376100000,1603100000,1836100000,2036400000,2187400000,2400600000,2780900000,2824100000,3128600000,2917800000,2819000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/717605/000091205795001747/0000912057-95-001747-index.html,https://www.sec.gov/Archives/edgar/data/717605/000091205796005837/0000912057-96-005837-index.html,https://www.sec.gov/Archives/edgar/data/717605/000091205797010871/0000912057-97-010871-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/717605/000071760501000008/0000717605-01-000008-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/717605/000110465904007436/0001104659-04-007436-index.htm,https://www.sec.gov/Archives/edgar/data/717605/000110465905010630/0001104659-05-010630-index.htm,https://www.sec.gov/Archives/edgar/data/717605/000110465906014722/0001104659-06-014722-index.htm,https://www.sec.gov/Archives/edgar/data/717605/000110465907015094/0001104659-07-015094-index.htm,https://www.sec.gov/Archives/edgar/data/717605/000110465908012379/0001104659-08-012379-index.htm,https://www.sec.gov/Archives/edgar/data/717605/000110465909008902/0001104659-09-008902-index.htm,https://www.sec.gov/Archives/edgar/data/717605/000110465910006099/0001104659-10-006099-index.htm,https://www.sec.gov/Archives/edgar/data/717605/000110465911006385/0001104659-11-006385-index.htm,https://www.sec.gov/Archives/edgar/data/717605/000110465912007354/0001104659-12-007354-index.htm,https://www.sec.gov/Archives/edgar/data/717605/000110465913008842/0001104659-13-008842-index.htm,https://www.sec.gov/Archives/edgar/data/717605/000110465914006768/0001104659-14-006768-index.htm,https://www.sec.gov/Archives/edgar/data/717605/000156459015000511/0001564590-15-000511-index.htm,https://www.sec.gov/Archives/edgar/data/717605/000156459016012334/0001564590-16-012334-index.htm,https://www.sec.gov/Archives/edgar/data/717605/000156459017001309/0001564590-17-001309-index.htm,https://www.sec.gov/Archives/edgar/data/717605/000156459018001551/0001564590-18-001551-index.htm,https://www.sec.gov/Archives/edgar/data/717605/000156459019002166/0001564590-19-002166-index.htm,https://www.sec.gov/Archives/edgar/data/717605/000156459020005037/0001564590-20-005037-index.htm,https://www.sec.gov/Archives/edgar/data/717605/000156459021004881/0001564590-21-004881-index.htm,https://www.sec.gov/Archives/edgar/data/717605/000095017022000961/0000950170-22-000961-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,4100000,-28900000,-86000000,-30000000,2700000,-19200000,73600000,50400000,-23300000,54200000,-433700000,-13600000,-11100000,28800000,141300000,65900000,61300000,111200000,56300000,77400000,135500000,164300000,187900000,209400000,237200000,249800000,284000000,276600000,306600000,31700000,18000000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,15400000,15700000,15800000,14200000,11600000,26700000,35800000,47500000,61300000,58700000,63200000,47200000,55700000,55300000,49300000,45000000,41500000,45600000,46600000,53200000,55300000,57200000,59300000,71200000,76400000,93300000,104500000,123100000,141700000,140900000,138000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,2200000,- -,5100000,3600000,-300000,-500000,-33200000,6900000,-15800000,8600000,27600000,1700000,4800000,-1100000,-118400000,17000000,10000000,-6500000,19600000,16100000,23400000,30900000,16400000,39700000,53200000,62800000,3800000,29300000,16300000,-51400000,-2000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8300000,12400000,13900000,15800000,18900000,17200000,17900000,16100000,17600000,16200000,18300000,15400000,19000000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,-700000,- -,- -,23200000,38400000,66500000,72600000,18900000,-102300000,10800000,-47600000,-611300000,671500000,16600000,17200000,32000000,-15800000,65800000,2900000,32400000,-15000000,63600000,47300000,-16600000,-29900000,-6100000,59500000,-45500000,33200000,-29500000,16200000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31800000,-22500000,-28200000,-28100000,6400000,-15400000,-18400000,-17400000,20200000,-20700000,36500000,110000000,-40000000
