,https://roic.ai/company/LFUS,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,139100000,141400000,166600000,185800000,203800000,- -,231400000,235400000,310200000,263600000,267300000,- -,313300000,440123000,506000000,484800000,522400000,- -,416500000,551051000,568400000,638700000,718200000,- -,910706000,1003023000,1493419000,1311082000,1241607000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3440000,- -,2377000,1691000,1701000,2917000,4903000,- -,8628000,13380000,22569000,22266000,21077000,- -
14,Depreciation and Amortization,17500000,16600000,17200000,18200000,21100000,- -,20400000,22200000,26739000,25682000,18904000,- -,21101000,31233000,32865000,28736000,32199000,- -,36622000,32252000,31433000,34480000,41875000,- -,53137000,63011000,103193000,92503000,96178000,- -
15,EBITDA,21400000,30800000,40600000,48100000,55200000,- -,61000000,52200000,85739000,32082000,33904000,- -,45001000,60383000,62865000,80036000,46239000,- -,49799000,149044000,133154000,161648000,177106000,- -,185039000,280428000,330704000,280653000,278508000,- -
16,EBITDA ratio,0.1429,0.1917,0.2087,0.2191,0.2287,- -,0.2217,0.1937,0.2305,0.1179,0.1197,- -,0.1326,0.1293,0.1175,0.1493,0.0871,- -,0.1158,0.2241,0.1994,0.2133,0.2079,- -,0.1752,0.2296,0.1924,0.1866,0.1926,- -
17,Operating Income,10700000,19300000,27900000,33700000,37600000,- -,43800000,34100000,61748000,8540000,15931000,- -,26081000,26966000,28858000,51309000,8495000,- -,13695000,113904000,106870000,129881000,133830000,- -,130644000,218511000,225049000,192791000,162372000,- -
18,Operating Income ratio,0.0714,0.1201,0.1434,0.1535,0.1558,- -,0.1592,0.1265,0.1660,0.0314,0.0562,- -,0.0768,0.0577,0.0540,0.0957,0.0160,- -,0.0318,0.1713,0.1600,0.1714,0.1571,- -,0.1237,0.1789,0.1310,0.1282,0.1123,- -
19,Total Other Income Expenses (Gains),-6800000,-5100000,-4500000,-3800000,-3500000,- -,-3100000,-4100000,-2748000,-2140000,-931000,- -,-2081000,1056000,542000,-9000,2105000,- -,-2895000,1197000,-6770000,-5681000,-2230000,- -,-7370000,-14474000,-20107000,-26907000,-1119000,- -
20,Income Before Tax,3900000,14200000,23400000,29900000,34100000,- -,40700000,30000000,59000000,6400000,15000000,- -,24000000,28022000,29400000,51300000,10600000,- -,10800000,115101000,100100000,124200000,131600000,- -,123274000,204037000,204942000,165884000,161253000,- -
21,Income Before Tax Ratio,0.0260,0.0884,0.1203,0.1362,0.1413,- -,0.1479,0.1113,0.1586,0.0235,0.0529,- -,0.0707,0.0600,0.0550,0.0957,0.0200,- -,0.0251,0.1731,0.1499,0.1639,0.1545,- -,0.1167,0.1670,0.1193,0.1103,0.1115,- -
22,Income Tax expense (Gain),3200000,4200000,8200000,10600000,12400000,- -,15300000,10100000,21700000,2300000,5400000,- -,8600000,11440000,6200000,14500000,2600000,- -,1400000,28077000,24720000,35451000,32228000,- -,18786000,84518000,40377000,26802000,31267000,- -
23,Net Income,700000,10000000,15200000,19300000,21700000,- -,25300000,19900000,37300000,4100000,9600000,- -,15300000,17710000,23800000,36800000,8000000,- -,9400000,87024000,75300000,88800000,98100000,- -,104488000,119519000,164565000,139082000,129986000,- -
24,Net Income ratio,0.0047,0.0622,0.0781,0.0879,0.0899,- -,0.0919,0.0738,0.1003,0.0151,0.0339,- -,0.0451,0.0379,0.0445,0.0686,0.0151,- -,0.0219,0.1309,0.1127,0.1172,0.1151,- -,0.0989,0.0978,0.0958,0.0925,0.0899,- -
25,EPS,0.01,0.21,0.32,0.47,0.91,- -,1.28,0.97,1.88,0.20,0.44,- -,0.70,0.79,1.07,1.66,0.37,- -,0.43,3.96,3.45,3.98,4.41,- -,4.63,5.27,6.62,5.66,5.33,- -
26,EPS Diluted,0.01,0.21,0.32,0.39,0.90,- -,1.07,0.86,1.69,0.19,0.44,- -,0.70,0.78,1.06,1.64,0.37,- -,0.43,3.90,3.40,3.94,4.37,- -,4.60,5.21,6.52,5.60,5.29,- -
27,Weighted Average Shares Outstanding,20000000,20038000,20172000,20154000,24020000,- -,19765625,20474000,19834000,19951000,21858000,- -,21881000,22413000,22305000,22231000,21722000,- -,21743000,21901000,21822000,22315000,22543000,- -,22559000,22687000,24870000,24576000,24371000,- -
28,Weighted Average Shares Outstanding Diluted,20000000,20038000,20172000,20154000,24245810,- -,23644860,23154000,22118000,21731000,21971000,- -,22004000,22582000,22434000,22394000,21826000,- -,21812000,22255000,22098000,22537000,22727000,- -,22727000,22931000,25235000,24818000,24592000,- -
29,SEC Link,- -,- -,- -,- -,- -,undefined,- -,- -,- -,- -,- -,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/889331/000095013709001280/0000950137-09-001280-index.html,undefined,https://www.sec.gov/Archives/edgar/data/889331/000095012310018129/0000950123-10-018129-index.html,https://www.sec.gov/Archives/edgar/data/889331/000143774912001722/0001437749-12-001722-index.html,https://www.sec.gov/Archives/edgar/data/889331/000143774913002025/0001437749-13-002025-index.html,https://www.sec.gov/Archives/edgar/data/889331/000143774914002746/lfus20131231_10k.htm,https://www.sec.gov/Archives/edgar/data/889331/000143774915003300/lfus20141227_10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/889331/000143774917003344/0001437749-17-003344-index.html,https://www.sec.gov/Archives/edgar/data/889331/000143774918003245/0001437749-18-003245-index.html,https://www.sec.gov/Archives/edgar/data/889331/000088933119000015/0000889331-19-000015-index.html,https://www.sec.gov/Archives/edgar/data/889331/000088933120000014/0000889331-20-000014-index.html,https://www.sec.gov/Archives/edgar/data/889331/000088933121000010/0000889331-21-000010-index.htm,undefined
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1000000,2900000,1300000,1300000,1400000,- -,800000,28000000,5500000,34500000,27800000,- -,22100000,21947000,56700000,64900000,70900000,- -,70400000,164016000,235400000,305200000,297600000,- -,275124000,429676000,489733000,531139000,687525000,- -
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8800000,- -,- -,- -,- -,- -,- -,- -,- -,13997000,- -,6900000,4300000,- -,3690000,35000,34000,44000,54000,- -
33,Cash and Short-Term Investments,1000000,2900000,1300000,1300000,1400000,- -,800000,28000000,5500000,34500000,36600000,- -,22100000,21947000,56700000,64900000,70900000,- -,70400000,178013000,235400000,312100000,301900000,- -,278814000,429711000,489767000,531183000,687579000,- -
34,Net Receivables,19600000,19700000,25500000,29700000,35500000,- -,37500000,41400000,53200000,41000000,40800000,- -,52100000,80303000,83900000,85600000,62100000,- -,79500000,92088000,100600000,127900000,135400000,- -,198095000,184388000,235231000,207140000,235789000,- -
35,Inventory,21000000,21300000,27600000,30100000,31600000,- -,39100000,36200000,59300000,46200000,44500000,- -,52600000,63423000,66000000,58800000,66700000,- -,52600000,75575000,75600000,92600000,97400000,- -,114063000,140789000,258228000,237507000,258002000,- -
36,Other Current Assets,2000000,2700000,4400000,3900000,5300000,- -,6500000,5500000,8700000,14500000,15100000,- -,22300000,37496000,22200000,25900000,29700000,- -,41500000,32706000,33900000,33000000,36800000,- -,21109000,37452000,49291000,28564000,35939000,- -
37,Total Current Assets,43600000,46600000,58800000,65000000,73800000,- -,83900000,111100000,126700000,136200000,137000000,- -,149100000,203169000,228800000,235200000,229400000,- -,244000000,378382000,445500000,565600000,571500000,- -,612081000,792340000,1032517000,1004394000,1217309000,- -
38,PP&E,58600000,56700000,57100000,61200000,63900000,- -,70800000,77800000,92700000,86600000,81100000,- -,98500000,125493000,125500000,144600000,160200000,- -,135900000,118884000,120900000,150200000,158600000,- -,217175000,250577000,339894000,366535000,361793000,- -
39,Goodwill,- -,- -,- -,- -,44600000,- -,41200000,37800000,44600000,40800000,49000000,- -,48600000,- -,67500000,73500000,107000000,- -,95000000,115697000,133600000,186500000,196300000,- -,403544000,453414000,826715000,820589000,816812000,- -
40,Intangible Assets,94700000,87800000,81100000,76000000,24000000,- -,22800000,22100000,10300000,7700000,6900000,- -,11900000,69182000,26600000,24200000,22600000,- -,36700000,44583000,48800000,98400000,103700000,- -,213026000,203850000,361474000,321247000,291887000,- -
41,Intangible Assets,94700000,87800000,81100000,76000000,68600000,- -,64000000,59900000,54900000,48500000,55900000,- -,60500000,69182000,94100000,97700000,129600000,- -,131700000,160280000,182400000,284900000,300000000,- -,616570000,657264000,1188189000,1141836000,1108699000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3436000,- -,11742000,14867000,18993000,12286000,12056000,- -,13933000,10993000,25405000,24099000,30547000,- -
43,Tax Assets,- -,- -,- -,- -,5400000,- -,6200000,4000000,2200000,800000,1700000,- -,- -,- -,- -,- -,- -,- -,- -,4191000,- -,11600000,11100000,- -,20585000,17069000,51853000,49763000,11224000,- -
44,Other Non-Current Assets,1800000,2200000,2300000,3000000,-1700000,- -,-3000000,-2300000,-2100000,200000,1800000,- -,3500000,6087000,16600000,13900000,16264000,- -,9758000,1820000,9907000,-186000,17544000,- -,10849000,11859000,-23552000,-26729000,18021000,- -
45,Total Non-Current Assets,155100000,146700000,140500000,140200000,136200000,- -,138000000,139400000,147700000,136100000,140500000,- -,162500000,200762000,236200000,256200000,309500000,- -,289100000,300042000,332200000,458800000,499300000,- -,879112000,947762000,1581789000,1555504000,1530284000,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,198700000,193300000,199300000,205200000,210000000,- -,221900000,250500000,274400000,272300000,277500000,- -,311600000,403931000,465000000,491400000,538900000,- -,533100000,678424000,777700000,1024400000,1070800000,- -,1491193000,1740102000,2614306000,2559898000,2747593000,- -
48,Accounts Payable,6200000,7000000,11200000,11800000,12800000,- -,13900000,9900000,11100000,7900000,11100000,- -,15200000,20457000,23300000,27900000,18900000,- -,23600000,19934000,27200000,33900000,50800000,- -,90712000,101844000,126323000,117320000,145984000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18994000,- -,18496000,- -,24328000,12086000,8000000,- -,14183000,85000000,84000000,126000000,100268000,- -,6250000,6250000,10000000,17259000,6811000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2570000,- -,4525000,10591000,11559000,5931000,9045000,- -,8846000,16285000,20547000,16062000,21312000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11693000,- -,13804000,- -,11890000,10463000,17481000,- -,- -,11858000,7330000,8069000,2959000,- -
52,Other Current Liabilities,20600000,24700000,26900000,34000000,38200000,- -,37800000,42100000,52700000,52300000,30206000,- -,49704000,79459000,50372000,56614000,34307000,- -,24013000,44343000,32310000,38337000,35951000,- -,90579000,104842000,151622000,82914000,119894000,- -
53,Total Current Liabilities,26800000,31700000,38100000,45800000,51000000,- -,51700000,52000000,63800000,60200000,60300000,- -,83400000,99916000,98000000,96600000,72900000,- -,75600000,149277000,155400000,208700000,204500000,- -,187541000,224794000,295275000,225562000,275648000,- -
54,Long-Term Debt,101000000,80900000,60300000,40800000,44600000,- -,40400000,70100000,41400000,30400000,20300000,- -,10200000,- -,1800000,1200000,72000000,- -,49000000,- -,- -,93800000,106700000,- -,447892000,489361000,684730000,669158000,699984000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,1600000,1500000,5200000,4600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1879000,- -,- -,- -,- -,- -,- -,11890000,11585000,11076000,- -,7066000,17069000,51853000,49763000,50134000,- -
57,Other Non-Current Liabilities,-100000,- -,- -,- -,5700000,- -,6300000,3900000,2500000,4000000,11200000,- -,5800000,24926000,61500000,40200000,60300000,- -,30100000,28044000,23010000,23515000,21024000,- -,33764000,81459000,104237000,119532000,113054000,- -
58,Total Non-Current Liabilities,102500000,82400000,65500000,45400000,50300000,- -,46700000,74000000,43900000,34400000,31500000,- -,16000000,26805000,63300000,41400000,132300000,- -,79100000,28044000,34900000,128900000,138800000,- -,488722000,587889000,840820000,838453000,863172000,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24425000,19761000,- -
61,Total Liabilities,129300000,114100000,103600000,91200000,101300000,- -,98400000,126000000,107700000,94600000,91800000,- -,99400000,126721000,161300000,138000000,205200000,- -,154700000,177321000,190300000,337600000,343300000,- -,676263000,812683000,1136095000,1064015000,1138820000,- -
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,200000,- -,200000,200000,200000,200000,200000,- -,200000,222000,200000,200000,200000,- -,200000,216000,200000,200000,200000,- -,228000,229000,254000,256000,259000,- -
64,Retained Earnings,700000,10600000,25900000,45100000,56200000,- -,77500000,75300000,117500000,120500000,127400000,- -,142700000,180209000,194900000,217100000,219200000,- -,228600000,376572000,435300000,445100000,523300000,- -,634391000,722140000,856507000,950901000,1034048000,- -
65,Other Comprehensive Income/Loss,-10400000,-20000000,-30800000,-43500000,-1800000,- -,-9600000,-7400000,-15800000,-20600000,-13801000,- -,-6592000,-2443000,-21000,17356000,-10123000,- -,18727000,8631000,16548000,20417000,-21126000,- -,-74579000,-63668000,-97924000,-106823000,-91157000,- -
66,Other Total Stockholders Equity,79100000,88600000,100600000,112400000,54000000,- -,55400000,56400000,64800000,77600000,71912000,- -,75894000,99078000,108586000,118758000,124431000,- -,130929000,115541000,135367000,221056000,225148000,- -,254748000,268718000,719374000,651549000,665492000,- -
67,Total Stockholders Equity,69400000,79200000,95700000,114000000,108600000,- -,123500000,124500000,166700000,177700000,185711000,- -,212202000,277066000,303665000,353414000,333708000,- -,378456000,500960000,587415000,686773000,727522000,- -,814788000,927419000,1478211000,1495883000,1608642000,- -
68,Total Liabilities And Stockholders Equity,198700000,193300000,199300000,205200000,209900000,- -,221900000,250500000,274400000,272300000,277511000,- -,311602000,403787000,464965000,491414000,538908000,- -,533156000,678281000,777715000,1024373000,1070822000,- -,1491051000,1740102000,2614306000,2559898000,2747462000,- -
69,Minority Interest,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,-11000,- -,-2000,144000,35000,-14000,-8000,- -,-56000,143000,-15000,27000,-22000,- -,142000,- -,- -,- -,131000,- -
70,Total Liabilities & Equity,198700000,193300000,199300000,205200000,210000000,- -,221900000,250500000,274400000,272300000,277500000,- -,311600000,403931000,465000000,491400000,538900000,- -,533100000,678424000,777700000,1024400000,1070800000,- -,1491193000,1740102000,2614306000,2559898000,2747593000,- -
71,SEC Link,- -,- -,- -,- -,- -,undefined,- -,- -,- -,- -,- -,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/889331/000095013709001280/0000950137-09-001280-index.html,undefined,https://www.sec.gov/Archives/edgar/data/889331/000095012310018129/0000950123-10-018129-index.html,https://www.sec.gov/Archives/edgar/data/889331/000143774912001722/0001437749-12-001722-index.html,https://www.sec.gov/Archives/edgar/data/889331/000143774913002025/0001437749-13-002025-index.html,https://www.sec.gov/Archives/edgar/data/889331/000143774914002746/lfus20131231_10k.htm,https://www.sec.gov/Archives/edgar/data/889331/000143774915003300/lfus20141227_10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/889331/000143774917003344/0001437749-17-003344-index.html,https://www.sec.gov/Archives/edgar/data/889331/000143774918003245/0001437749-18-003245-index.html,https://www.sec.gov/Archives/edgar/data/889331/000088933119000015/0000889331-19-000015-index.html,https://www.sec.gov/Archives/edgar/data/889331/000088933120000014/0000889331-20-000014-index.html,https://www.sec.gov/Archives/edgar/data/889331/000088933121000010/0000889331-21-000010-index.htm,undefined
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,700000,10000000,15200000,19300000,21700000,- -,25300000,19900000,37300000,4100000,9600000,- -,15300000,17710000,23800000,36800000,8000000,- -,9400000,87024000,75300000,88800000,98100000,- -,104488000,119519000,164565000,139082000,129986000,- -
74,Depreciation and Amortization,17500000,16600000,17200000,18200000,21100000,- -,20400000,22200000,26739000,25682000,18904000,- -,21101000,31233000,32865000,28736000,32199000,- -,36622000,32252000,31433000,34480000,41875000,- -,53137000,63011000,103193000,92503000,96178000,- -
75,Deferred Income Tax,-100000,-200000,1900000,-100000,-1000000,- -,200000,-900000,-1810000,-7531000,-575000,- -,-6458000,-1564000,-12952000,2151000,-3947000,- -,-2905000,-1363000,-2661000,6640000,-4488000,- -,-5269000,17063000,-4679000,-1147000,-3214000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5058000,- -,5503000,5805000,7348000,8609000,9069000,- -,11987000,16315000,27431000,19046000,18129000,- -
77,Change in Working Capital,4700000,-1900000,5800000,-1500000,3600000,- -,9400000,26900000,22000000,13100000,700000,- -,-11000000,1553000,27547000,7800000,17900000,- -,11900000,19905000,60995000,66800000,10100000,- -,51659000,143006000,169696000,41590000,162829000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23080000,- -,-15569000,4768000,-1587000,-16683000,-13062000,- -,-25235000,-11087000,-3539000,28497000,-25588000,- -
79,Inventory,3500000,-400000,-5900000,-1800000,-1800000,- -,-8300000,3600000,-10802000,11873000,4762000,- -,5865000,6594000,1240000,9112000,-6593000,- -,15549000,2612000,5439000,-5486000,-2258000,- -,8539000,-20180000,-33971000,22094000,-12425000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5272000,5353000,2000000,17281000,- -,19190000,6494000,13708000,-22574000,28820000,- -
81,Other Working Capital,16800000,14900000,20700000,19200000,22800000,- -,32200000,59100000,62900000,76000000,76700000,- -,65700000,103253000,130800000,138600000,156500000,- -,168400000,229105000,290100000,356900000,367000000,- -,424540000,567546000,737242000,778832000,941661000,- -
82,Other Non-Cash Items,2400000,5900000,-10900000,-900000,-5400000,- -,-18500000,-28800000,-35542000,4959000,12129000,- -,31010000,-10790000,9655000,-15547000,-18635000,- -,-30909000,-22873000,-56245000,-87962000,-1515000,- -,-35869000,-89744000,-128378000,-45746000,-145877000,- -
83,Cash Provided by Operating Activities,25200000,30400000,29200000,35000000,40000000,- -,36800000,39300000,48687000,40310000,40758000,- -,49953000,38142000,80915000,59940000,40575000,- -,29611000,120750000,116170000,117367000,153141000,- -,180133000,269170000,331828000,245328000,258031000,- -
84,CAPEX,-5100000,-7800000,-10700000,-14600000,-17100000,- -,-24200000,-24100000,-21958000,-14289000,-8360000,- -,-14041000,-27239000,-19613000,-40501000,-51288000,- -,-15536000,-17555000,-22529000,-34953000,-32281000,- -,-46228000,-65925000,-74753000,-61895000,-56191000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15031000,- -,-44590000,-3658000,-23440000,-4507000,-42986000,- -,-920000,-11077000,-44016000,-144382000,-56368000,- -,-471118000,-38512000,-318474000,-775000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13747000,- -,- -,- -,- -,- -,- -,- -,- -,-20228000,-4616000,-8478000,-4331000,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4941000,- -,10404000,- -,500000,- -,- -,- -,133000,- -,17805000,2044000,6770000,- -,345000,3739000,1407000,- -,- -,- -
88,Other Investing Activites,- -,-300000,300000,-400000,-300000,- -,-400000,-200000,-60000,- -,- -,- -,-1598000,600000,- -,10200000,- -,- -,1558000,217000,1664000,176000,-17783000,- -,5758000,4561000,9572000,6213000,4758000,- -
89,Cash Used for Investing Activites,-5100000,-8100000,-10400000,-15000000,-17400000,- -,-24600000,-24300000,-22018000,-14289000,-32197000,- -,-49825000,-30297000,-42553000,-34808000,-94274000,- -,-14765000,-48643000,-51692000,-185593000,-103993000,- -,-511243000,-96137000,-382248000,-56457000,-51433000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-123912000,- -,-50076000,-99000000,-25032000,-124750000,-140000000,- -,-421188000,-134688000,-102500000,-10000000,-255000000,- -
91,Common Stock Issued,- -,200000,600000,600000,300000,- -,1000000,6300000,5831000,10519000,1614000,- -,4291000,3844000,5734000,6316000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-500000,-3500000,-26800000,- -,-8600000,-26800000,-11203000,-1256000,-3556000,- -,- -,-12832000,-10262000,-16433000,-6623000,- -,- -,-37092000,- -,- -,-14283000,- -,- -,- -,-63564000,-99387000,-22927000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14508000,-16564000,-18722000,-21175000,- -,-27866000,-31770000,-39993000,-44689000,-46839000,- -
94,Other Financing Activites,-21500000,-20600000,-20600000,-17100000,4100000,- -,-5200000,33900000,-16819000,-6032000,-13018000,- -,-11496000,-3264000,-1878000,-12176000,192534000,- -,33894000,136540000,42346000,285704000,132205000,- -,733250000,141777000,327954000,7800000,256958000,- -
95,Cash Used/Provided by Financing Activities,-21500000,-20400000,-20500000,-20000000,-22400000,- -,-12800000,13400000,-22191000,3231000,-14960000,- -,-7205000,-12252000,-6406000,-22293000,61999000,- -,-16182000,-14060000,750000,142232000,-43253000,- -,284196000,-24681000,121897000,-146276000,-67808000,- -
96,Effect of Forex Changes on Cash,-100000,- -,100000,- -,-100000,- -,-100000,-1100000,-875000,-216000,-378000,- -,1455000,-2229000,2801000,5400000,-2306000,- -,753000,-3751000,6160000,-4218000,-13516000,- -,-6748000,6200000,-11420000,-1189000,17596000,- -
97,Net Change In Cash,-21500000,-20400000,-20500000,-20000000,-22400000,- -,-12800000,13400000,3603000,29036000,-6777000,- -,-5622000,-6636000,34757000,8239000,5994000,- -,-583000,54296000,71388000,69788000,-7621000,- -,-53662000,154552000,60057000,41406000,156386000,- -
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,5491000,34527000,27750000,- -,22128000,21947000,56704000,64943000,70937000,- -,70354000,164016000,235404000,305192000,297571000,- -,275124000,429676000,489733000,531139000,687525000,- -
99,Cash at the Beginning of Period,2400000,1000000,2900000,1300000,1300000,- -,1400000,800000,1888000,5491000,34527000,- -,27750000,28583000,21947000,56704000,64943000,- -,70937000,109720000,164016000,235404000,305192000,- -,328786000,275124000,429676000,489733000,531139000,- -
100,Free Cash Flow,20100000,22600000,18500000,20400000,22900000,- -,12600000,15200000,26729000,26021000,32398000,- -,35912000,10903000,61302000,19439000,-10713000,- -,14075000,103195000,93641000,82414000,120860000,- -,133905000,203245000,257075000,183433000,201840000,- -
