,https://roic.ai/company/PRGS,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
89,Cash Used for Investing Activites,- -,- -,-28500000,-23100000,-4700000,-20200000,-28000000,-19800000,-3200000,-26600000,-24400000,-21985000,-10842000,-1276000,-39751000,-93614000,-132485000,-69768000,-111609000,62550000,-9179000,-45163000,-102297000,94140000,118762000,5136000,-260208000,-21002000,-87791000,7593000,-208380000,-207293000,-250335000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-330000,-358000,-1183000,-357000,- -,- -,-5625000,-9375000,-11250000,-6188000,-5309000,-11288000,-117313000
91,Common Stock Issued,- -,- -,18400000,100000,1900000,1100000,5500000,1800000,4700000,12100000,20600000,7109000,9705000,9424000,26761000,21145000,55195000,12998000,42499000,25505000,14752000,93670000,49672000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-7200000,-26600000,-33200000,-24800000,-17271000,-11459000,-45141000,-12116000,-12966000,-12181000,-12981000,-38031000,-111511000,-5466000,-29336000,-200009000,-85469000,-281473000,-59211000,-38499000,-83172000,-77692000,-120000000,-25000000,-60000000,-35000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24127000,-25789000,-27760000,-29900000,-31561000
94,Other Financing Activites,- -,- -,300000,300000,- -,-200000,1000000,- -,500000,- -,- -,- -,- -,- -,- -,- -,-238000,613000,2667000,1420000,84000,4188000,3532000,30798000,56072000,16979000,162424000,10354000,9755000,5206000,188361000,104268000,315987000
95,Cash Used/Provided by Financing Activities,- -,- -,18700000,400000,1900000,900000,6500000,-5400000,-21400000,-21100000,-4200000,-10162000,-1754000,-35717000,14645000,8179000,42776000,630000,7135000,-84586000,9040000,68164000,-147988000,-55028000,-225401000,-42232000,118300000,-82193000,-103314000,-146771000,130292000,3080000,132113000
96,Effect of Forex Changes on Cash,- -,- -,-100000,-300000,-100000,- -,-300000,-300000,-500000,-100000,-900000,-1848000,-1299000,1669000,2118000,2579000,-3461000,7274000,7897000,-22540000,16769000,-8516000,-1473000,-2530000,-915000,-6334000,-13335000,-4993000,11847000,-10512000,-1263000,3097000,-2892000
97,Net Change In Cash,- -,- -,18700000,400000,1900000,900000,6500000,-5400000,-21400000,-21100000,31500000,9071000,17615000,9088000,34692000,-10668000,-12540000,6051000,7430000,42606000,79388000,110686000,-125464000,140697000,-102974000,64264000,-50703000,-5343000,-73572000,-28338000,49133000,-56269000,57416000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,81700000,90722000,108337000,117425000,152117000,141449000,57399000,46449000,53879000,96485000,175873000,286559000,161095000,301792000,198818000,263082000,212379000,207036000,133464000,105126000,154259000,97990000,155406000
99,Cash at the Beginning of Period,- -,- -,4400000,7800000,6300000,20600000,24500000,33500000,30900000,39500000,50200000,81651000,90722000,108337000,117425000,152117000,69939000,40398000,46449000,53879000,96485000,175873000,286559000,161095000,301792000,198818000,263082000,212379000,207036000,133464000,105126000,154259000,97990000
100,Free Cash Flow,- -,- -,10000000,15800000,6700000,15300000,17400000,13400000,23700000,43500000,51800000,15765000,22992000,37636000,50546000,61472000,69721000,46177000,83725000,78969000,55389000,86537000,109247000,96380000,-482000,95893000,95695000,97059000,102309000,114102000,124486000,138330000,173876000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/876167/000095013503001256/0000950135-03-001256-index.htm,https://www.sec.gov/Archives/edgar/data/876167/000095013504000730/0000950135-04-000730-index.htm,https://www.sec.gov/Archives/edgar/data/876167/000095013505000721/0000950135-05-000721-index.htm,https://www.sec.gov/Archives/edgar/data/876167/000095013506000657/0000950135-06-000657-index.htm,https://www.sec.gov/Archives/edgar/data/876167/000095013507000766/0000950135-07-000766-index.htm,https://www.sec.gov/Archives/edgar/data/876167/000095013508000383/0000950135-08-000383-index.htm,https://www.sec.gov/Archives/edgar/data/876167/000095013509000542/0000950135-09-000542-index.htm,https://www.sec.gov/Archives/edgar/data/876167/000095012310006833/0000950123-10-006833-index.htm,https://www.sec.gov/Archives/edgar/data/876167/000095012311007372/0000950123-11-007372-index.htm,https://www.sec.gov/Archives/edgar/data/876167/000119312512029136/0001193125-12-029136-index.htm,https://www.sec.gov/Archives/edgar/data/876167/000087616713000010/0000876167-13-000010-index.htm,https://www.sec.gov/Archives/edgar/data/876167/000087616714000013/0000876167-14-000013-index.htm,https://www.sec.gov/Archives/edgar/data/876167/000087616715000009/0000876167-15-000009-index.htm,https://www.sec.gov/Archives/edgar/data/876167/000087616716000060/0000876167-16-000060-index.htm,https://www.sec.gov/Archives/edgar/data/876167/000087616717000007/0000876167-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/876167/000087616718000008/0000876167-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/876167/000087616719000026/0000876167-19-000026-index.htm,https://www.sec.gov/Archives/edgar/data/876167/000087616720000027/0000876167-20-000027-index.htm,https://www.sec.gov/Archives/edgar/data/876167/000087616721000030/0000876167-21-000030-index.htm,https://www.sec.gov/Archives/edgar/data/876167/000087616722000038/0000876167-22-000038-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
