,https://roic.ai/company/BGCP,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),300000,-1342961,-8800974,1200507,-11647000,-6268000,-5713000,-12176000,-11398000,-55526000,-9920000,-14080000,-24606000,- -,- -,- -,- -,- -,- -,- -,- -,-100557000,- -
20,Income Before Tax,-12800000,-60005860,-17795952,42444919,53236000,42307000,3092000,7004000,-38765000,9774000,64488000,56915000,54359000,55737000,265921000,-3188000,388814000,188260000,231997000,179817000,138114000,77905000,176501000
21,Income Before Tax Ratio,-0.3377,-0.5426,-0.1526,0.3048,0.3399,0.2541,0.0202,0.0426,-0.2435,0.0080,0.0555,0.0428,0.0371,0.0326,0.1551,-0.0018,0.1574,0.0748,0.0723,0.0980,0.0697,0.0406,0.0813
22,Income Tax expense (Gain),-200000,406125,531000,478567,17140000,16457000,1048000,2614000,-6267000,20115000,23675000,11543000,15999000,20224000,92166000,651000,120496000,60252000,150268000,76120000,53171000,21303000,23013000
23,Net Income,-12600000,-60411985,-18326952,41966352,36096000,25850000,2044000,4390000,-32498000,-29709000,20025000,21162000,20137000,23864000,70924000,4135000,126788000,102477000,51475000,197520000,55707000,48908000,124007000
24,Net Income ratio,-0.3325,-0.5463,-0.1572,0.3014,0.2305,0.1552,0.0134,0.0267,-0.2041,-0.0242,0.0172,0.0159,0.0137,0.0140,0.0414,0.0024,0.0513,0.0407,0.0161,0.1077,0.0281,0.0255,0.0571
25,EPS,-0.28,-1.17,-0.34,0.76,0.65,0.47,0.04,0.09,-0.64,-0.28,0.25,0.24,0.17,0.16,0.37,0.02,0.52,0.37,0.18,0.60,0.16,0.14,0.34
26,EPS Diluted,-0.28,-1.17,-0.34,0.74,0.63,0.46,0.04,0.09,-0.64,-0.28,0.24,0.24,0.17,0.16,0.36,0.02,0.50,0.36,0.17,0.56,0.16,0.13,0.23
27,Weighted Average Shares Outstanding,44495000,51482505,54296811,54991400,55345000,54978000,51349000,50214000,50466000,105771000,80350000,88294000,116132000,144886000,193694000,220697000,243460000,277073000,287378000,322141000,344332000,361736000,361736000
28,Weighted Average Shares Outstanding Diluted,44495000,51482505,54296811,56784436,57499000,56318000,52066000,51258000,50466000,105771000,211036000,228568000,116514000,280809000,265348000,328455000,335387000,433226000,454256000,486700000,524550000,546848000,546848000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1094831/000112528201000852/0001125282-01-000852-index.html,https://www.sec.gov/Archives/edgar/data/1094831/000095013602000955/0000950136-02-000955-index.html,https://www.sec.gov/Archives/edgar/data/1094831/000095013603000748/0000950136-03-000748-index.html,https://www.sec.gov/Archives/edgar/data/1094831/000095013604000735/0000950136-04-000735-index.htm,https://www.sec.gov/Archives/edgar/data/1094831/000095013605001387/0000950136-05-001387-index.htm,https://www.sec.gov/Archives/edgar/data/1094831/000095013606001974/0000950136-06-001974-index.htm,https://www.sec.gov/Archives/edgar/data/1094831/000119312507055807/0001193125-07-055807-index.htm,https://www.sec.gov/Archives/edgar/data/1094831/000119312508058044/0001193125-08-058044-index.htm,https://www.sec.gov/Archives/edgar/data/1094831/000119312509055548/0001193125-09-055548-index.htm,https://www.sec.gov/Archives/edgar/data/1094831/000119312510058581/0001193125-10-058581-index.htm,https://www.sec.gov/Archives/edgar/data/1094831/000119312511068739/0001193125-11-068739-index.htm,https://www.sec.gov/Archives/edgar/data/1094831/000119312512115541/0001193125-12-115541-index.htm,https://www.sec.gov/Archives/edgar/data/1094831/000119312513101758/0001193125-13-101758-index.htm,https://www.sec.gov/Archives/edgar/data/1094831/000119312514077345/0001193125-14-077345-index.htm,https://www.sec.gov/Archives/edgar/data/1094831/000119312515073360/0001193125-15-073360-index.htm,https://www.sec.gov/Archives/edgar/data/1094831/000119312516484938/0001193125-16-484938-index.htm,https://www.sec.gov/Archives/edgar/data/1094831/000119312517062683/0001193125-17-062683-index.htm,https://www.sec.gov/Archives/edgar/data/1094831/000156459018002896/0001564590-18-002896-index.htm,https://www.sec.gov/Archives/edgar/data/1094831/000156459019005654/0001564590-19-005654-index.htm,https://www.sec.gov/Archives/edgar/data/1094831/000156459020007843/0001564590-20-007843-index.htm,https://www.sec.gov/Archives/edgar/data/1094831/000156459021009638/0001564590-21-009638-index.htm,https://www.sec.gov/Archives/edgar/data/1094831/000162828022004275/0001628280-22-004275-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,200000,122163712,159898608,187998899,228500000,19884000,37070000,21838000,38051000,204930000,471501000,366502000,369713000,406175000,734380000,664078000,479861000,520156000,650623000,353280000,431099000,610001000,569447000
32,Short-Term Investments,134600000,- -,- -,- -,- -,189804000,141365000,166009000,62159000,1807000,4063000,15696000,17520000,- -,- -,- -,- -,- -,- -,- -,- -,58921000,41244000
33,Cash and Short-Term Investments,134800000,122163712,159898608,187998899,228500000,209688000,178435000,187847000,100210000,206737000,475564000,382198000,387233000,406175000,734380000,664078000,479861000,520156000,650623000,353280000,431099000,668922000,610691000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,65000000,387047000,661568000,759462000,607004000,548536000,635239000,952247000,1181776000,895005000,1413037000,1485272000,1360222000,1081503000,1118238000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,156325000,- -,- -,2968000,-566302000,-652700000,-968048000,-1200430000,-913137000,-1429327000,-1502017000,-1375942000,-1156779000,435831000
37,Total Current Assets,134800000,122163712,159898608,187998899,228500000,209688000,178435000,187847000,165210000,750109000,1137132000,1141660000,997205000,388409000,716919000,648277000,461207000,502024000,634333000,336535000,415379000,593646000,2164760000
38,PP&E,9500000,23441365,19137269,26383590,34467000,50605000,58291000,57207000,61257000,136812000,132966000,133428000,136068000,141109000,127615000,112020000,145873000,165867000,189347000,157169000,373906000,380751000,326364000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,12184000,12184000,63500000,77118000,82853000,141142000,164874000,163339000,392570000,811766000,863690000,945582000,504646000,553745000,556211000,486919000
40,Intangible Assets,- -,- -,9122491,19527505,18927000,28046000,23540000,6949000,8822000,17066000,13912000,13603000,16994000,20320000,18180000,27980000,233967000,247723000,703647000,298779000,303224000,287157000,207747000
41,Intangible Assets,- -,- -,9122491,19527505,18927000,28046000,23540000,19133000,21006000,80566000,91030000,96456000,158136000,185194000,181519000,420550000,1045733000,1111413000,1649229000,803425000,856969000,843368000,694666000
42,Investments,- -,- -,- -,- -,- -,- -,8000000,8000000,12000000,27000000,23173000,25107000,20367000,57559000,95824000,194619000,716574000,233616000,382971000,181632000,194618000,178687000,156376000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,4443000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,9517186,14940695,18800881,15674000,21794000,12668000,20650000,20056000,73854000,80248000,73663000,93409000,866668000,646564000,938892000,629368000,955926000,1773035000,1405841000,-363683000,-344656000,- -
45,Total Non-Current Assets,9500000,32958551,43200455,64711976,69068000,100445000,102499000,104990000,118762000,318232000,327417000,328654000,407980000,1250530000,1051522000,1666081000,2537548000,2466822000,3994582000,2548067000,1061810000,1058150000,1177406000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4519572000
47,Total Assets,144300000,155122263,203099063,252710875,297568000,310133000,280934000,292837000,283972000,1068341000,1464549000,1470314000,1405185000,1638939000,1768441000,2314358000,2998755000,2968846000,4628915000,2884602000,1477189000,1651796000,3342166000
48,Accounts Payable,2100000,11370248,23095092,15398757,19560000,24795000,17498000,- -,- -,177340000,449514000,439739000,395235000,24914000,98492000,93226000,53324000,375152000,634998000,41999000,22955000,24206000,36411000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,1308000,- -,- -,- -,13600000,- -,- -,- -,- -,- -,6046000,5162000,73910000,3849000,3584000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82501000,174371000,150404000,185023000,202924000,249181000,231442000,217361000,255944000,277932000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,2151000,1748000,780000,13774000,9805000,4714000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,6700000,11494262,6822163,18857071,6323000,7113000,7588000,31839000,41161000,283446000,399735000,411561000,163467000,749486000,1108108000,1549685000,2454029000,1833107000,3579753000,1853675000,1990742000,1339713000,- -
53,Total Current Liabilities,8800000,22864510,29917255,34255828,25883000,31908000,27237000,33587000,43249000,474560000,859054000,856014000,572302000,774400000,1206600000,1642911000,2507353000,2208259000,4220797000,1900836000,2087607000,1367768000,39995000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,150000000,167586000,189258000,181916000,301444000,258356000,556700000,840877000,965767000,2010949000,763548000,1073739000,1315935000,1222036000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9805000,4714000,2761000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18142000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,8011000,7593000,4075000,6852000,102579000,94026000,88472000,147239000,149956000,150044000,150000000,- -,690000000,-1435920000,- -,68948000,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,8011000,7593000,4075000,6852000,252579000,271417000,282444000,331916000,451400000,408400000,706700000,840877000,1655767000,575029000,763548000,1142687000,1315935000,1240178000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3089238000,3879034000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,187398000,190207000,169205000
61,Total Liabilities,8800000,22864510,29917255,34255828,25883000,39919000,34830000,37662000,50101000,727139000,1130471000,1138458000,904218000,1211527000,1376616000,2169205000,2748884000,2354662000,4317389000,2569583000,3172383000,3141071000,2678851000
62,Preferred Stock,- -,- -,- -,80008,80000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,500000,518627,549453,551725,561000,564000,564000,569000,573000,918000,971000,1139000,21633000,20635000,14426000,49933000,53002000,45745000,43883000,3876000,4043000,4194000,4818000
64,Retained Earnings,-12600000,-72998898,-91325850,-49359498,-13263000,12587000,14631000,17521000,-17282000,1958000,-2171000,-23616000,-80726000,-147452000,-167923000,-268920000,-273492000,-358526000,-859009000,-1105019000,-1241754000,-1265504000,-1171919000
65,Other Comprehensive Income/Loss,-3100000,-8940038,-10229376,-1495500,-1192000,-3080000,-1592000,-97021000,-61000,-3942000,-36000,-977000,-3752000,-4182000,-6060000,4303000,-25056000,-23199000,-10486000,-24465000,-33102000,-28930000,-40548000
66,Other Total Stockholders Equity,150700000,213678062,274187581,268678312,285499000,260143000,232501000,334106000,250641000,189316000,203125000,260371000,379499000,465291000,623925000,616200000,896669000,1177843000,1459498000,1893981000,1956639000,2039179000,- -
67,Total Stockholders Equity,135500000,132257753,173181808,218455047,271685000,270214000,246104000,255175000,233871000,188250000,201889000,236917000,316654000,334292000,464368000,401516000,651123000,841863000,633886000,768373000,685826000,748939000,619752000
68,Total Liabilities And Stockholders Equity,144300000,155122263,203099063,252710875,297568000,310133000,280934000,292837000,283972000,915389000,1332360000,1375375000,1220872000,1545819000,1840984000,2570721000,3400007000,3196525000,4951275000,3337956000,3858209000,3890010000,3298603000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,152952000,132189000,94939000,184313000,93120000,-72543000,-256363000,-401252000,-227679000,-322360000,-453354000,-2381020000,-2238214000,43563000
70,Total Liabilities & Equity,144300000,155122263,203099063,252710875,297568000,310133000,280934000,292837000,283972000,1068341000,1464549000,1470314000,1405185000,1638939000,1768441000,2314358000,2998755000,2968846000,4628915000,2884602000,1477189000,1651796000,3342166000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1094831/000112528201000852/0001125282-01-000852-index.html,https://www.sec.gov/Archives/edgar/data/1094831/000095013602000955/0000950136-02-000955-index.html,https://www.sec.gov/Archives/edgar/data/1094831/000095013603000748/0000950136-03-000748-index.html,https://www.sec.gov/Archives/edgar/data/1094831/000095013604000735/0000950136-04-000735-index.htm,https://www.sec.gov/Archives/edgar/data/1094831/000095013605001387/0000950136-05-001387-index.htm,https://www.sec.gov/Archives/edgar/data/1094831/000095013606001974/0000950136-06-001974-index.htm,https://www.sec.gov/Archives/edgar/data/1094831/000119312507055807/0001193125-07-055807-index.htm,https://www.sec.gov/Archives/edgar/data/1094831/000119312508058044/0001193125-08-058044-index.htm,https://www.sec.gov/Archives/edgar/data/1094831/000119312509055548/0001193125-09-055548-index.htm,https://www.sec.gov/Archives/edgar/data/1094831/000119312510058581/0001193125-10-058581-index.htm,https://www.sec.gov/Archives/edgar/data/1094831/000119312511068739/0001193125-11-068739-index.htm,https://www.sec.gov/Archives/edgar/data/1094831/000119312512115541/0001193125-12-115541-index.htm,https://www.sec.gov/Archives/edgar/data/1094831/000119312513101758/0001193125-13-101758-index.htm,https://www.sec.gov/Archives/edgar/data/1094831/000119312514077345/0001193125-14-077345-index.htm,https://www.sec.gov/Archives/edgar/data/1094831/000119312515073360/0001193125-15-073360-index.htm,https://www.sec.gov/Archives/edgar/data/1094831/000119312516484938/0001193125-16-484938-index.htm,https://www.sec.gov/Archives/edgar/data/1094831/000119312517062683/0001193125-17-062683-index.htm,https://www.sec.gov/Archives/edgar/data/1094831/000156459018002896/0001564590-18-002896-index.htm,https://www.sec.gov/Archives/edgar/data/1094831/000156459019005654/0001564590-19-005654-index.htm,https://www.sec.gov/Archives/edgar/data/1094831/000156459020007843/0001564590-20-007843-index.htm,https://www.sec.gov/Archives/edgar/data/1094831/000156459021009638/0001564590-21-009638-index.htm,https://www.sec.gov/Archives/edgar/data/1094831/000162828022004275/0001628280-22-004275-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-12600000,-60411985,-18326952,41966352,36096000,25850000,2044000,4390000,-32498000,-29709000,20025000,21162000,20137000,23864000,70924000,4135000,126788000,102477000,51475000,197520000,55707000,48908000,124007000
74,Depreciation and Amortization,3100000,6098754,5975471,16012981,20211000,25164000,33304000,36701000,31482000,86931000,52974000,50180000,49281000,50985000,47152000,44747000,81997000,75898000,155488000,71495000,79466000,84115000,81874000
75,Deferred Income Tax,- -,- -,- -,- -,4159000,-1169000,592000,-383000,-6406000,-10530000,-360000,-2932000,1963000,-11550000,-81989000,-26185000,60015000,-33245000,64260000,-22635000,-1803000,-16549000,-11947000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22134000,25705000,125099000,131483000,433998000,147673000,278684000,216874000,314880000,205070000,165612000,183545000,256164000
77,Change in Working Capital,6800000,-26700798,30682151,23761718,48873929,-24837000,-26582000,3062000,-32299000,153588000,2529000,7568000,139257000,-810894000,-103690000,-504953000,-1051512000,339911000,-1880229000,2022163000,-107927000,898106000,25579000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37751000,-49542000,7265000,27550000,541000,-96478000,-108851000,-12418000,44389000,-101314000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-299173000,23371000,145167000,51832000,-87764000,-5817000,57091000,63214000,-34840000,57791000,106919000
81,Other Working Capital,126000000,99299202,129981353,153743071,202617000,177780000,151198000,154260000,121961000,275549000,278078000,285646000,424903000,-385991000,-489681000,-994634000,-2046146000,-1706235000,-3586464000,-1564301000,-1672228000,-774122000,35615000
82,Other Non-Cash Items,2900000,70468525,-14704218,-21172027,-52256929,39138000,18325000,-6975000,56365000,1294000,277311000,-45017000,-250393000,787312000,-200029000,518126000,716892000,-725879000,2555833000,-3289189000,48007000,-893862000,-58492000
83,Cash Provided by Operating Activities,200000,-10545504,3626452,60569024,57083000,64146000,27683000,36795000,16644000,201574000,374613000,56666000,85344000,171200000,166366000,183543000,212864000,-23964000,1261707000,-815576000,239062000,304263000,417185000
84,CAPEX,-2700000,-11043479,-12901831,-11216785,-10943000,-15124000,-15360000,-31724000,-39815000,-38863000,-46077000,-44927000,-44194000,-51374000,-40679000,-26973000,-56967000,-78161000,-76177000,-74341000,-95511000,-84826000,-53290000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5000000,-5140000,-4382000,-46703000,-31413000,574541000,-129979000,-158587000,-162265000,-105529000,-50562000,28261000,-7871000,165509000
86,Purchases of Investments,- -,-5833679,-2909786,- -,- -,-13995000,- -,- -,-2414000,-94454000,-5301000,-11876000,-1749000,-17501000,-7109000,-80303000,-12898000,-69631000,-106823000,-925000,-1715000,-1458000,-1115000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,5840000,- -,- -,- -,- -,- -,- -,54305000,- -,42999000,129183000,643832000,57209000,135064000,28363000,18563000,10029000
88,Other Investing Activites,-137100000,-9026568,4014271,-22447531,-14586000,-25264000,-20677000,3500000,-64536000,41721000,-16941000,-15821000,-17004000,-36615000,-17691000,-13246000,-19341000,-25502000,-40226000,-31466000,-48846000,-55997000,-43178000
89,Cash Used for Investing Activites,-139800000,-25903726,-11797346,-33664316,-25529000,-54383000,-30197000,-28224000,-106765000,-96596000,-56518000,-61185000,-92646000,-67983000,526753000,-194256000,-99269000,333775000,-231320000,27583000,-40602000,-77592000,121133000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-128378000,-48246000,-1599000,-174976000,-166790000,-10038215000,-449598000,-332378000,-357789000,-566244000
91,Common Stock Issued,144000000,25371448,414298,1195583,11838000,3303000,458000,1346000,810000,74516000,- -,15160000,15632000,12667000,- -,- -,- -,15280000,330896000,327624000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-221892,- -,-2891000,-31878000,-29197000,-93000,-373000,-149248000,-7911000,-19871000,-392000,-337000,-15528000,-100268000,-12114000,-96025000,-16773000,-10439000,-1236000,-6000,-365398000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18600000,-24171000,-92339000,-161576000,-90590000,-91395000,-105132000,-131360000,-170795000,-200116000,-231446000,-192442000,-60440000,-15098000
94,Other Financing Activites,-4200000,-1604028,45713384,- -,- -,- -,- -,-412000,-306000,-84015000,-25188000,-440000,154957000,121630000,-208174000,153763000,26525000,148291000,8989130000,782678000,544302000,405134000,127203000
95,Cash Used/Provided by Financing Activities,139800000,23767420,45905790,1195583,8947000,-28575000,-28739000,841000,131000,-177347000,-57270000,-97490000,8621000,-85008000,-363343000,-53236000,-291925000,-270039000,-935078000,418819000,18246000,-13101000,-819537000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3546000,-3188000,4290000,487000,-1266000,-4693000,-8740000,118000,3411000,-10838000,2630000,993000,-5388000
97,Net Change In Cash,139800000,-12681810,37734896,28100291,40501000,-18812000,-31253000,9412000,-89990000,-72369000,264371000,-105197000,5609000,18696000,328510000,-68642000,-187070000,39890000,98720000,-380012000,219336000,214563000,-286607000
98,Cash at the End of Period,200000,122163712,159898608,187998899,228500000,209688000,178435000,187847000,97857000,204930000,469301000,364104000,369713000,388409000,716919000,648277000,461207000,502024000,634333000,416778000,636114000,850677000,566799000
99,Cash at the Beginning of Period,- -,134845522,122163712,159898608,187999000,228500000,209688000,178435000,187847000,277299000,204930000,469301000,364104000,369713000,388409000,716919000,648277000,462134000,535613000,796790000,416778000,636114000,853406000
100,Free Cash Flow,-2500000,-21588983,-9275379,49352239,46140000,49022000,12323000,5071000,-23171000,162711000,328536000,11739000,41150000,119826000,125687000,156570000,155897000,-102125000,1185530000,-889917000,143551000,219437000,363895000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1094831/000112528201000852/0001125282-01-000852-index.html,https://www.sec.gov/Archives/edgar/data/1094831/000095013602000955/0000950136-02-000955-index.html,https://www.sec.gov/Archives/edgar/data/1094831/000095013603000748/0000950136-03-000748-index.html,https://www.sec.gov/Archives/edgar/data/1094831/000095013604000735/0000950136-04-000735-index.htm,https://www.sec.gov/Archives/edgar/data/1094831/000095013605001387/0000950136-05-001387-index.htm,https://www.sec.gov/Archives/edgar/data/1094831/000095013606001974/0000950136-06-001974-index.htm,https://www.sec.gov/Archives/edgar/data/1094831/000119312507055807/0001193125-07-055807-index.htm,https://www.sec.gov/Archives/edgar/data/1094831/000119312508058044/0001193125-08-058044-index.htm,https://www.sec.gov/Archives/edgar/data/1094831/000119312509055548/0001193125-09-055548-index.htm,https://www.sec.gov/Archives/edgar/data/1094831/000119312510058581/0001193125-10-058581-index.htm,https://www.sec.gov/Archives/edgar/data/1094831/000119312511068739/0001193125-11-068739-index.htm,https://www.sec.gov/Archives/edgar/data/1094831/000119312512115541/0001193125-12-115541-index.htm,https://www.sec.gov/Archives/edgar/data/1094831/000119312513101758/0001193125-13-101758-index.htm,https://www.sec.gov/Archives/edgar/data/1094831/000119312514077345/0001193125-14-077345-index.htm,https://www.sec.gov/Archives/edgar/data/1094831/000119312515073360/0001193125-15-073360-index.htm,https://www.sec.gov/Archives/edgar/data/1094831/000119312516484938/0001193125-16-484938-index.htm,https://www.sec.gov/Archives/edgar/data/1094831/000119312517062683/0001193125-17-062683-index.htm,https://www.sec.gov/Archives/edgar/data/1094831/000156459018002896/0001564590-18-002896-index.htm,https://www.sec.gov/Archives/edgar/data/1094831/000156459019005654/0001564590-19-005654-index.htm,https://www.sec.gov/Archives/edgar/data/1094831/000156459020007843/0001564590-20-007843-index.htm,https://www.sec.gov/Archives/edgar/data/1094831/000156459021009638/0001564590-21-009638-index.htm,https://www.sec.gov/Archives/edgar/data/1094831/000162828022004275/0001628280-22-004275-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
