,https://roic.ai/company/HSTM,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1095565/000095014402002565/0000950144-02-002565-index.html,https://www.sec.gov/Archives/edgar/data/1095565/000095014403003818/0000950144-03-003818-index.html,https://www.sec.gov/Archives/edgar/data/1095565/000095014404003025/0000950144-04-003025-index.html,https://www.sec.gov/Archives/edgar/data/1095565/000095014405002832/0000950144-05-002832-index.html,https://www.sec.gov/Archives/edgar/data/1095565/000095014406002931/0000950144-06-002931-index.html,https://www.sec.gov/Archives/edgar/data/1095565/000095014407002920/g06310e10vk.htm,https://www.sec.gov/Archives/edgar/data/1095565/000095014408002385/g12487e10vk.htm,https://www.sec.gov/Archives/edgar/data/1095565/000095014409002667/0000950144-09-002667-index.html,https://www.sec.gov/Archives/edgar/data/1095565/000095012310028375/0000950123-10-028375-index.html,https://www.sec.gov/Archives/edgar/data/1095565/000095012311028319/g26538e10vk.htm,https://www.sec.gov/Archives/edgar/data/1095565/000119312512085082/0001193125-12-085082-index.html,https://www.sec.gov/Archives/edgar/data/1095565/000119312513086559/0001193125-13-086559-index.html,https://www.sec.gov/Archives/edgar/data/1095565/000119312514082130/d663921d10k.htm,https://www.sec.gov/Archives/edgar/data/1095565/000119312515069659/d853459d10k.htm,https://www.sec.gov/Archives/edgar/data/1095565/000119312516481909/0001193125-16-481909-index.html,https://www.sec.gov/Archives/edgar/data/1095565/000119312517059135/0001193125-17-059135-index.html,https://www.sec.gov/Archives/edgar/data/1095565/000119312518058490/0001193125-18-058490-index.html,https://www.sec.gov/Archives/edgar/data/1095565/000156459019004096/0001564590-19-004096-index.html,https://www.sec.gov/Archives/edgar/data/1095565/000156459020006849/0001564590-20-006849-index.html,https://www.sec.gov/Archives/edgar/data/1095565/000156459021008985/0001564590-21-008985-index.htm,https://www.sec.gov/Archives/edgar/data/1095565/000143774922004615/0001437749-22-004615-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,13600000,19830572,4747434,4069631,14219807,2257372,5726151,10725780,3599346,4106612,12287059,17867860,76904000,41365000,59537000,81995000,82010000,49634000,84768000,134321000,131538000,36566000,46905000
32,Short-Term Investments,- -,7451450,12701086,12087008,2957703,14025000,6175000,1700000,- -,- -,- -,5703192,6552000,51952000,48659000,38973000,66976000,53540000,46350000,34497000,41328000,9928000,5041000
33,Cash and Short-Term Investments,13600000,27282022,17448520,16156639,17177510,16282372,11901151,12425780,3599346,4106612,12287059,23571052,83456000,93317000,108196000,120968000,148986000,103174000,131118000,168818000,172866000,46494000,51946000
34,Net Receivables,600000,4585283,4880289,3901301,3209798,4613366,5451937,7861570,9736631,9976658,11215735,12434359,17330000,16511000,26706000,34845000,38346000,47386000,43451000,41004000,30376000,46100000,34920000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,300000,2787295,2200570,1829599,1768414,1577393,1873576,1923310,2342431,2779500,6388065,8265370,10293000,8463000,12222000,18798000,22205000,26877000,25159000,31612000,21330000,22131000,19979000
37,Total Current Assets,14500000,34654600,24529379,21887539,22155722,22473131,19226664,22210660,15678408,16862770,29890859,44270781,111079000,118291000,147124000,174611000,209537000,177437000,199728000,241434000,224572000,114725000,106845000
38,PP&E,1300000,4275006,3694347,2668285,2002942,2319283,2103482,2183857,4383190,3474864,2933889,3825354,6087000,7820000,9038000,9442000,12471000,10245000,8992000,15866000,55680000,50299000,43118000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,10317393,21146864,21146864,21146864,21146864,21147000,29299000,35746000,41914000,83073000,109765000,110298000,86144000,102196000,178440000,271706000
40,Intangible Assets,1100000,18024526,11873155,4956865,3816970,3472908,13581707,5328092,10163231,9130601,7972804,7176519,1957000,18537000,19947000,27501000,69921000,94674000,87513000,77730000,81526000,127346000,32412000
41,Intangible Assets,1100000,18024526,11873155,4956865,3816970,3472908,13581707,15645485,31310095,30277465,29119668,28323383,23104000,47836000,55693000,69415000,152994000,204439000,197811000,163874000,183722000,305786000,304118000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5996000,- -,- -,1757000,3640000,3276000,3772000,3376000,6782000,6845000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,1629550,2008342,8626400,5346536,- -,- -,- -,- -,- -,- -,- -,145000,269000,974000,601000
44,Other Non-Current Assets,600000,13497444,9149763,3400527,423009,291779,304287,968484,360214,173441,431464,244649,7971000,581000,739000,2037000,927000,603000,771000,17253000,18519000,21684000,32071000
45,Total Non-Current Assets,3000000,35796976,24717265,11025677,6242921,6083970,15989476,18797826,37683049,35934112,41111421,37739922,43158000,56237000,65470000,82651000,170032000,218563000,211346000,200514000,264972000,385588000,379908000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,17500000,70451576,49246644,32913216,28398643,28557101,35216140,41008486,53361457,52796882,71002280,82010703,154237000,174528000,212594000,257262000,379569000,396000000,411074000,441948000,489544000,500313000,486753000
48,Accounts Payable,400000,1150996,889254,718803,864977,830941,933895,1616105,1741917,1386771,1552101,2374621,2585000,1057000,2311000,4753000,4616000,3127000,4836000,8497000,4810000,9333000,26534000
49,Short-Term Debt,- -,288831,126733,66925,39020,24113,166022,176574,830797,1091921,666639,80828,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,3273825,3346224,3059248,3987697,4502924,5375625,9492970,10202309,12233876,16740454,22759000,23146000,38168000,53716000,65098000,68542000,68954000,66061000,65511000,81176000,73816000
52,Other Current Liabilities,2700000,6778483,2294604,2843970,1876210,1955258,3597302,3894796,4518628,3033379,4724398,5550565,7104000,10829000,15733000,18790000,19364000,23301000,27276000,32296000,34864000,28933000,- -
53,Total Current Liabilities,3100000,8218310,6584416,6975922,5839455,6798009,9200143,11063100,16584312,15714380,19177014,24746468,32448000,35032000,56212000,77259000,89078000,94970000,101066000,106854000,105185000,119442000,100350000
54,Long-Term Debt,200000,216072,- -,- -,- -,- -,- -,- -,1031037,306942,4000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28479000,26178000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3657000,4350000,7859000,6302000,2868000,1918000,1603000,1583000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,323000,6474000,6173000,5838000,4763000,5968000,1926000,11068000,13183000,14523000,18146000
57,Other Non-Current Liabilities,100000,- -,118769,41011,1199,29428,215856,310947,32490,12778,362,473897,551000,826000,776000,2649000,1058000,1095000,1610000,2211000,31090000,2204000,1477000
58,Total Non-Current Liabilities,300000,216072,118769,41011,1199,29428,215856,310947,1063527,319720,4362,473897,874000,7300000,6949000,12144000,10171000,14922000,9838000,16147000,46191000,46809000,47384000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,41011,1199,29428,215856,106780,32490,33370,13267,4362,- -,- -,- -,- -,- -,- -,- -,- -,30733000,28479000,26178000
61,Total Liabilities,3400000,8434382,6703185,7016933,5840654,6827437,9415999,11374047,17647839,16034100,19181376,25220365,33322000,42332000,63161000,89403000,99249000,109892000,110904000,123001000,151376000,166251000,147734000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,4000000,91221775,91275282,91223052,91416853,91642383,93799932,- -,- -,- -,96406765,97227198,- -,158020000,166888000,174926000,278799000,280813000,282666000,286597000,290021000,271784000,270791000
64,Retained Earnings,-8900000,-29235137,-48811063,-65452305,-68864339,-69912719,-67999791,-65500111,-61412902,-58558107,-44585861,-40431443,-33487000,-25842000,-17424000,-7030000,1591000,5346000,17542000,32373000,48143000,62277000,68122000
65,Other Comprehensive Income/Loss,-600000,-1505004,-2974347,125536,5475,-6281311,-7636306,-8899863,-10827932,-12746487,-14881423,-15287579,-7000,18000,-31000,-37000,-70000,-51000,-38000,-23000,4000,1000,106000
66,Other Total Stockholders Equity,19600000,1535560,3053587,- -,- -,6281311,7636306,104034413,107954452,108067376,14881423,15282162,171392000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,14100000,62017194,42543459,25896283,22557989,21729664,25800141,29634439,35713618,36762782,51820904,56790338,120915000,132196000,149433000,167859000,280320000,286108000,300170000,318947000,338168000,334062000,339019000
68,Total Liabilities And Stockholders Equity,17500000,70451576,49246644,32913216,28398643,28557101,35216140,41008486,53361457,52796882,71002280,82010703,154237000,174528000,212594000,257262000,379569000,396000000,411074000,441948000,489544000,500313000,486753000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,17500000,70451576,49246644,32913216,28398643,28557101,35216140,41008486,53361457,52796882,71002280,82010703,154237000,174528000,212594000,257262000,379569000,396000000,411074000,441948000,489544000,500313000,486753000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1095565/000095014402002565/0000950144-02-002565-index.html,https://www.sec.gov/Archives/edgar/data/1095565/000095014403003818/0000950144-03-003818-index.html,https://www.sec.gov/Archives/edgar/data/1095565/000095014404003025/0000950144-04-003025-index.html,https://www.sec.gov/Archives/edgar/data/1095565/000095014405002832/0000950144-05-002832-index.html,https://www.sec.gov/Archives/edgar/data/1095565/000095014406002931/0000950144-06-002931-index.html,https://www.sec.gov/Archives/edgar/data/1095565/000095014407002920/g06310e10vk.htm,https://www.sec.gov/Archives/edgar/data/1095565/000095014408002385/g12487e10vk.htm,https://www.sec.gov/Archives/edgar/data/1095565/000095014409002667/0000950144-09-002667-index.html,https://www.sec.gov/Archives/edgar/data/1095565/000095012310028375/0000950123-10-028375-index.html,https://www.sec.gov/Archives/edgar/data/1095565/000095012311028319/g26538e10vk.htm,https://www.sec.gov/Archives/edgar/data/1095565/000119312512085082/0001193125-12-085082-index.html,https://www.sec.gov/Archives/edgar/data/1095565/000119312513086559/0001193125-13-086559-index.html,https://www.sec.gov/Archives/edgar/data/1095565/000119312514082130/d663921d10k.htm,https://www.sec.gov/Archives/edgar/data/1095565/000119312515069659/d853459d10k.htm,https://www.sec.gov/Archives/edgar/data/1095565/000119312516481909/0001193125-16-481909-index.html,https://www.sec.gov/Archives/edgar/data/1095565/000119312517059135/0001193125-17-059135-index.html,https://www.sec.gov/Archives/edgar/data/1095565/000119312518058490/0001193125-18-058490-index.html,https://www.sec.gov/Archives/edgar/data/1095565/000156459019004096/0001564590-19-004096-index.html,https://www.sec.gov/Archives/edgar/data/1095565/000156459020006849/0001564590-20-006849-index.html,https://www.sec.gov/Archives/edgar/data/1095565/000156459021008985/0001564590-21-008985-index.htm,https://www.sec.gov/Archives/edgar/data/1095565/000143774922004615/0001437749-22-004615-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-4500000,-20285301,-19575926,-16641242,-3412034,-1048380,1912928,2499680,4087209,2854795,13972246,4154418,6944000,7645000,8418000,10394000,8621000,3755000,10004000,32217000,15770000,14091000,5845000
74,Depreciation and Amortization,500000,6781328,9936236,4394467,3047465,2106758,2678440,2889168,4503180,4822268,5139475,4879794,5412000,6661000,7852000,10931000,16997000,22207000,26283000,24231000,27869000,30189000,36813000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,-1989862,- -,- -,2673670,4048000,5601000,2506000,1324000,392000,1786000,-2045000,3017000,2167000,4295000,1539000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,771560,660522,663519,788000,1136000,1458000,1625000,3280000,1968000,1852000,1777000,4244000,2217000,5303000
77,Change in Working Capital,-100000,15036290,-8491327,-3033346,1404650,-641145,-5648601,1121039,-12053464,2054294,9565455,8810468,59106687,4628000,7653000,6440000,23107000,-37992000,16195000,35918000,-15193000,-124104000,-16384000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-428901,165330,822520,211000,-1529000,1254000,2442000,-137000,-1319000,2284000,2008000,1098000,1124000,-8101000
81,Other Working Capital,11400000,26436290,17944963,14911617,16316267,15675122,10026521,11147560,-905904,1148390,10713845,19524313,78631000,83259000,90912000,97352000,120459000,82467000,98662000,134580000,119387000,-4717000,-20867000
82,Other Non-Cash Items,800000,-16106992,8429405,9456897,-2099095,-41768,6230350,-2512076,12558227,-4460319,-17768360,-5065040,-56543687,-3157000,-1604000,3542000,-17480000,32510000,-5577000,-53914000,30800000,109186000,9269000
83,Cash Provided by Operating Activities,-3300000,-14574675,-9701612,-5823224,-1059014,375465,5173117,3997811,7105290,6042598,11569338,16116829,19755000,22514000,26283000,34256000,34917000,24234000,46712000,43246000,65657000,35874000,42385000
84,CAPEX,-1400000,-3094665,-1588445,-625535,-720482,-1620906,-752222,-3675321,-3831003,-2119031,-3070047,-4667372,-10180000,-8751000,-8711000,-10202000,-15359000,-14806000,-17873000,-18450000,-36510000,-18803000,-25346000
85,Acquisitions Net,- -,-6767810,-328988,- -,- -,- -,-9524076,- -,-11814274,-9194,- -,- -,- -,-9901000,-7860000,-12623000,-89075000,-55255000,- -,- -,-30360000,-122599000,-5085000
86,Purchases of Investments,-100000,-20734425,-11263430,-9697817,- -,-19077045,-12650000,-14303816,-800000,- -,- -,-5709723,-17284000,-118410000,-86139000,-45341000,-85228000,-106965000,-83779000,-57918000,-87328000,-61179000,- -
87,Sales/Maturities of Investments,- -,122271,10143229,15568334,11809000,18951000,20500000,18785000,2500000,- -,- -,- -,10356000,78075000,87723000,52625000,54799000,119395000,90073000,68992000,80589000,92171000,- -
88,Other Investing Activites,- -,- -,-86881,- -,- -,233003,- -,-270004,- -,-980432,-1282750,-2043752,- -,-4435000,-4267000,-5658000,-7265000,-8746000,-11856000,32650000,-8428000,-16815000,-17221000
89,Cash Used for Investing Activites,-1500000,-30474629,-3124515,5244982,11088518,-1513948,-2426298,535859,-13945277,-2128224,-3070047,-10377095,-17108000,-58987000,-14987000,-15541000,-134863000,-56656000,-11579000,36558000,-67524000,-110410000,-25723000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-829917,-744198,-315847,-5000,- -,- -,- -,-28000000,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,18400000,52774907,67513,38005,188389,225530,- -,652550,370240,130911,- -,- -,55131000,- -,- -,- -,98014000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-14213,-1981444,- -,- -,- -,- -,- -,-80784,-2919030,- -,-379418,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20019000,-5008000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-32357000,-58000,-40000,-19000
94,Other Financing Activites,- -,-1512962,-343080,-137566,-67717,-49482,721960,-186591,-575903,210928,425354,536332,1263000,934000,6876000,3743000,29947000,46000,1000,2106000,-858000,-435000,-1182000
95,Cash Used/Provided by Financing Activities,18400000,51247732,-2257011,-99561,120672,176048,721960,465959,-286447,-3407108,-318844,-158933,56389000,934000,6876000,3743000,99961000,46000,1000,-30251000,-916000,-20494000,-6209000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58000,-114000
97,Net Change In Cash,13500000,6198428,-15083138,-677803,10150176,-962435,3468779,4999629,-7126434,507266,8180447,5580801,59036000,-35539000,18172000,22458000,15000,-32376000,35134000,49553000,-2783000,-94972000,10339000
98,Cash at the End of Period,13600000,19830572,4747434,4069631,14219807,2257372,5726151,10725780,3599346,4106612,12287059,17867860,76904000,41365000,59537000,81995000,82010000,49634000,84768000,134321000,131538000,36566000,46905000
99,Cash at the Beginning of Period,100000,13632144,19830572,4747434,4069631,3219807,2257372,5726151,10725780,3599346,4106612,12287059,17868000,76904000,41365000,59537000,81995000,82010000,49634000,84768000,134321000,131538000,36566000
100,Free Cash Flow,-4700000,-17669340,-11290057,-6448759,-1779496,-1245441,4420895,322490,3274287,3923567,8499291,11449457,9575000,13763000,17572000,24054000,19558000,9428000,28839000,24796000,29147000,17071000,17039000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1095565/000095014402002565/0000950144-02-002565-index.html,https://www.sec.gov/Archives/edgar/data/1095565/000095014403003818/0000950144-03-003818-index.html,https://www.sec.gov/Archives/edgar/data/1095565/000095014404003025/0000950144-04-003025-index.html,https://www.sec.gov/Archives/edgar/data/1095565/000095014405002832/0000950144-05-002832-index.html,https://www.sec.gov/Archives/edgar/data/1095565/000095014406002931/0000950144-06-002931-index.html,https://www.sec.gov/Archives/edgar/data/1095565/000095014407002920/g06310e10vk.htm,https://www.sec.gov/Archives/edgar/data/1095565/000095014408002385/g12487e10vk.htm,https://www.sec.gov/Archives/edgar/data/1095565/000095014409002667/0000950144-09-002667-index.html,https://www.sec.gov/Archives/edgar/data/1095565/000095012310028375/0000950123-10-028375-index.html,https://www.sec.gov/Archives/edgar/data/1095565/000095012311028319/g26538e10vk.htm,https://www.sec.gov/Archives/edgar/data/1095565/000119312512085082/0001193125-12-085082-index.html,https://www.sec.gov/Archives/edgar/data/1095565/000119312513086559/0001193125-13-086559-index.html,https://www.sec.gov/Archives/edgar/data/1095565/000119312514082130/d663921d10k.htm,https://www.sec.gov/Archives/edgar/data/1095565/000119312515069659/d853459d10k.htm,https://www.sec.gov/Archives/edgar/data/1095565/000119312516481909/0001193125-16-481909-index.html,https://www.sec.gov/Archives/edgar/data/1095565/000119312517059135/0001193125-17-059135-index.html,https://www.sec.gov/Archives/edgar/data/1095565/000119312518058490/0001193125-18-058490-index.html,https://www.sec.gov/Archives/edgar/data/1095565/000156459019004096/0001564590-19-004096-index.html,https://www.sec.gov/Archives/edgar/data/1095565/000156459020006849/0001564590-20-006849-index.html,https://www.sec.gov/Archives/edgar/data/1095565/000156459021008985/0001564590-21-008985-index.htm,https://www.sec.gov/Archives/edgar/data/1095565/000143774922004615/0001437749-22-004615-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
