,https://roic.ai/company/SBAC,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1034054/000091664100000391/0000916641-00-000391-index.html,https://www.sec.gov/Archives/edgar/data/1034054/000095010901500417/0000950109-01-500417-index.html,https://www.sec.gov/Archives/edgar/data/1034054/000091664102000492/0000916641-02-000492-index.html,https://www.sec.gov/Archives/edgar/data/1034054/000091664103000889/0000916641-03-000889-index.htm,https://www.sec.gov/Archives/edgar/data/1034054/000119312504039482/0001193125-04-039482-index.htm,https://www.sec.gov/Archives/edgar/data/1034054/000119312505052876/0001193125-05-052876-index.htm,https://www.sec.gov/Archives/edgar/data/1034054/000119312506050160/0001193125-06-050160-index.htm,https://www.sec.gov/Archives/edgar/data/1034054/000119312507043928/0001193125-07-043928-index.htm,https://www.sec.gov/Archives/edgar/data/1034054/000119312508040304/0001193125-08-040304-index.htm,https://www.sec.gov/Archives/edgar/data/1034054/000119312509041076/0001193125-09-041076-index.htm,https://www.sec.gov/Archives/edgar/data/1034054/000119312510043426/0001193125-10-043426-index.htm,https://www.sec.gov/Archives/edgar/data/1034054/000119312511047174/0001193125-11-047174-index.htm,https://www.sec.gov/Archives/edgar/data/1034054/000119312512081211/0001193125-12-081211-index.htm,https://www.sec.gov/Archives/edgar/data/1034054/000119312513080059/0001193125-13-080059-index.htm,https://www.sec.gov/Archives/edgar/data/1034054/000103405414000004/0001034054-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1034054/000103405415000004/0001034054-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1034054/000103405416000018/0001034054-16-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1034054/000103405417000003/0001034054-17-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1034054/000103405418000003/0001034054-18-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1034054/000103405419000002/0001034054-19-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1034054/000103405420000003/0001034054-20-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1034054/000103405421000003/0001034054-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1034054/000103405422000002/0001034054-22-000002-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,26700000,3100000,14980046,13904000,61141000,8338000,69627000,45934000,46148000,70272000,78856000,161317000,64254000,47316000,233099000,122112000,39443000,118039000,146109000,68783000,143444000,108309000,308560000,367278000
32,Short-Term Investments,- -,- -,- -,- -,- -,15200000,- -,19777000,- -,55142000,162000,5352000,4016000,5773000,5471000,5446000,5549000,706000,223000,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,26700000,3100000,14980046,13904000,61141000,23538000,69627000,65711000,46148000,125414000,79018000,166669000,68270000,53089000,238570000,127558000,44992000,118745000,146332000,68783000,143444000,108309000,308560000,367278000
34,Net Receivables,12500000,22600000,61287769,56796000,36292000,29641000,40191000,42717000,40184000,41636000,16351000,19644000,18784000,22100000,62743000,99203000,134346000,100260000,89471000,108110000,145998000,158438000,108884000,150794000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,6600000,7900000,5968475,21587000,16166000,15748000,6354000,23760000,41275000,46162000,58946000,50525000,59673000,54167000,67250000,116891000,147550000,74955000,88768000,82640000,84412000,67524000,55546000,96374000
37,Total Current Assets,45800000,33600000,82236290,92287000,113599000,68927000,116172000,132188000,127607000,213212000,154315000,236838000,146727000,129356000,368563000,343652000,326888000,293960000,324571000,259533000,373854000,334271000,472990000,614446000
38,PP&E,150900000,338900000,765814824,1198559000,1140625000,856213000,745831000,728333000,1105942000,1191969000,1502672000,1496938000,1534318000,1583393000,2671317000,2578444000,2762417000,2782353000,2792076000,2812346000,2786355000,5366819000,5050886000,5808362000
