,https://roic.ai/company/TMUS,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,4636000,28659000,160085000,409936000,- -,616251000,1309610000,1775620000,2283749000,2945227000,3389267000,4096225000,4268265000,23262000000,28689000000,29775000000,34171000000,35951000000,38001000000,39276000000,61343000000,73226000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,2629000,1954000,2028000,1603000,189000000,359000000,420000000,261000000,17000000,19000000,24000000,29000000,20000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,270285000,263125000,261073000,275494000,1223000000,1351000000,1496000000,1730000000,1671000000,1357000000,1135000000,2730000000,3362000000
14,Depreciation and Amortization,3000,208000,- -,42428000,- -,87895000,135028000,178202000,255319000,377856000,449732000,538835000,641425000,3627000000,4412000000,4688000000,6243000000,5984000000,6486000000,6616000000,14151000000,16383000000
15,EBITDA,-4633000,-28451000,155833000,73965000,86369000,413997000,225551000,401703000,534743000,911820000,1025151000,1279564000,1524377000,4901000000,6176000000,7162000000,10300000000,10816000000,11760000000,12354000000,20731000000,23096000000
16,EBITDA ratio,-Infinity,-Infinity,1.2048,0.1640,0.1154,0.3987,0.1458,0.1797,0.1943,0.2620,0.2519,0.2640,0.2988,0.2007,0.2089,0.2234,0.2766,0.2664,0.2715,0.2745,0.3031,0.2883
17,Operating Income,-4636000,-28659000,162292000,41173000,- -,422177000,237253000,460114000,467767000,535288000,718898000,747538000,823969000,996000000,1416000000,2065000000,3802000000,4888000000,5309000000,5722000000,6636000000,6892000000
18,Operating Income ratio,-Infinity,-Infinity,1.2548,0.0913,- -,0.4066,0.1534,0.2058,0.1700,0.1538,0.1767,0.1542,0.1615,0.0408,0.0479,0.0644,0.1021,0.1204,0.1226,0.1272,0.0970,0.0860
19,Total Other Income Expenses (Gains),-15973000,-15554000,-6459000,-9516000,- -,-96075000,-146730000,-236613000,-188343000,-271609000,-406604000,-267882000,-216511000,-945000000,-1003000000,-1087000000,-1475000000,-1727000000,-1392000000,-1119000000,-3106000000,-3541000000
20,Income Before Tax,-20609000,-44213000,155833000,31657000,- -,326102000,90523000,223501000,279424000,263679000,312294000,479656000,607458000,51000000,413000000,978000000,2327000000,3161000000,3917000000,4603000000,3530000000,3351000000
21,Income Before Tax Ratio,-Infinity,-Infinity,1.2048,0.0702,- -,0.3140,0.0585,0.1000,0.1016,0.0758,0.0767,0.0990,0.1191,0.0021,0.0140,0.0305,0.0625,0.0778,0.0904,0.1023,0.0516,0.0418
22,Income Tax expense (Gain),- -,- -,25528000,16179000,- -,127425000,36717000,123098000,129986000,86835000,118879000,178346000,213286000,16000000,166000000,245000000,867000000,-1375000000,1029000000,1135000000,786000000,327000000
23,Net Income,-20609000,-44213000,130305000,15358000,86369000,198677000,53806000,100403000,149438000,176844000,193415000,301310000,394172000,35000000,247000000,733000000,1460000000,4536000000,2888000000,3468000000,3064000000,3024000000
24,Net Income ratio,-Infinity,-Infinity,1.0075,0.0340,0.1154,0.1913,0.0348,0.0449,0.0543,0.0508,0.0475,0.0622,0.0773,0.0014,0.0084,0.0229,0.0392,0.1117,0.0667,0.0771,0.0448,0.0377
25,EPS,-0.27,-0.63,0.48,-0.05,0.36,0.48,0.07,0.58,0.86,1.00,1.08,1.66,2.16,0.05,0.31,0.83,1.71,5.39,3.40,4.06,2.68,2.64
26,EPS Diluted,-0.27,-0.63,0.35,-0.05,0.30,0.42,0.07,0.56,0.84,0.98,1.08,1.64,2.14,0.05,0.30,0.82,1.69,5.20,3.36,4.02,2.65,2.62
27,Weighted Average Shares Outstanding,78517559,78517559,163063953,78517559,63361025,203028594,233730571,143846140,174697642,175949449,176855522,180205084,181724530,672955980,805284712,812994028,822470275,831850073,849744152,854143751,1144206326,1144206326
28,Weighted Average Shares Outstanding Diluted,81723940,81723940,225327145,81723940,75316843,230415883,239544912,148168862,177690055,177971460,178067544,181918970,182440151,676885215,815922258,822617938,833054545,871787450,858290174,863433511,1154749428,1154749428
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1283699/000095013407007079/d44987e10vk.htm,https://www.sec.gov/Archives/edgar/data/1283699/000095013408003844/d52882e10vk.htm,https://www.sec.gov/Archives/edgar/data/1283699/000095013409004227/0000950134-09-004227-index.html,https://www.sec.gov/Archives/edgar/data/1283699/000119312510044780/0001193125-10-044780-index.html,https://www.sec.gov/Archives/edgar/data/1283699/000119312511051403/d10k.htm,https://www.sec.gov/Archives/edgar/data/1283699/000144530512000521/0001445305-12-000521-index.html,https://www.sec.gov/Archives/edgar/data/1283699/000128369913000031/0001283699-13-000031-index.html,https://www.sec.gov/Archives/edgar/data/1283699/000128369914000012/tmus12312013form10k.htm,https://www.sec.gov/Archives/edgar/data/1283699/000128369915000010/tmus12312014form10-k.htm,https://www.sec.gov/Archives/edgar/data/1283699/000128369916000073/0001283699-16-000073-index.html,https://www.sec.gov/Archives/edgar/data/1283699/000128369917000010/0001283699-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/1283699/000128369918000011/0001283699-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/1283699/000128369919000015/0001283699-19-000015-index.html,https://www.sec.gov/Archives/edgar/data/1283699/000128369920000026/0001283699-20-000026-index.html,https://www.sec.gov/Archives/edgar/data/1283699/000128369921000039/0001283699-21-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1283699/000128369922000018/0001283699-22-000018-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,9178000,42668000,- -,68412000,- -,112709000,161498000,1470208000,697948000,929381000,796531000,1943282000,2368302000,5891000000,5315000000,4582000000,5500000000,1219000000,1203000000,1528000000,10385000000,6631000000
32,Short-Term Investments,- -,- -,- -,186426000,- -,390472000,391258000,- -,- -,224932000,374862000,299972000,244990000,- -,- -,2998000000,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,9178000,42668000,- -,254838000,- -,503181000,552756000,1470208000,697948000,1154313000,1171393000,2243254000,2613292000,5891000000,5315000000,7580000000,5500000000,1219000000,1203000000,1528000000,10385000000,6631000000
34,Net Receivables,- -,- -,- -,8654000,- -,16028000,28140000,31809000,34666000,51536000,58056000,78023000,98653000,3660000000,5003000000,4202000000,3866000000,4227000000,4318000000,4508000000,7853000000,8942000000
35,Inventory,- -,- -,- -,16967000,- -,39431000,92915000,109139000,155955000,147401000,161049000,239648000,259157000,586000000,1085000000,1295000000,1111000000,1566000000,1084000000,964000000,2527000000,2567000000
36,Other Current Assets,- -,- -,- -,25274000,- -,53462000,84716000,121728000,155315000,138141000,203387000,182668000,216201000,2091000000,2581000000,1813000000,3740000000,1903000000,1676000000,2305000000,3120000000,2751000000
37,Total Current Assets,- -,- -,- -,305733000,- -,612102000,758527000,1732884000,1043884000,1491391000,1593885000,2743593000,3187303000,12228000000,13984000000,14890000000,14217000000,8915000000,8281000000,9305000000,23885000000,20891000000
38,PP&E,98000,169459000,352799000,485032000,- -,831490000,1256162000,1891411000,2847751000,3252213000,3659445000,4017999000,4292061000,15349000000,16245000000,20000000000,20943000000,22196000000,23359000000,35632000000,72224000000,70084000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1683000000,1683000000,1683000000,1683000000,1683000000,1901000000,1930000000,11117000000,12188000000
40,Intangible Assets,- -,- -,- -,- -,- -,681299000,2072885000,2072895000,2406596000,2470181000,2522241000,2539041000,2562407000,19326000000,22825000000,24549000000,27390000000,35583000000,35757000000,36580000000,88126000000,97339000000
41,Intangible Assets,- -,- -,- -,100619000,- -,681299000,2072885000,2072895000,2406596000,2470181000,2522241000,2539041000,2562407000,21009000000,24508000000,26232000000,29073000000,37266000000,37658000000,38510000000,99243000000,109527000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,21757000,16700000,6319000,1679000,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,7555000,- -,34090000,65548000,108940000,123917000,150475000,126309000,175979000,145965000,1367000000,1916000000,1314000000,1658000000,2186000000,3170000000,3474000000,4810000000,6061000000
45,Total Non-Current Assets,- -,- -,- -,593206000,- -,1546879000,3394595000,4073246000,5378264000,5894626000,6324695000,6739338000,7002112000,37725000000,42669000000,47546000000,51674000000,61648000000,64187000000,77616000000,176277000000,185672000000
46,Other Assets,126520000,324008000,554705000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,126520000,324008000,554705000,898939000,- -,2158981000,4153122000,5806130000,6422148000,7386017000,7918580000,9482931000,10189415000,49953000000,56653000000,62436000000,65891000000,70563000000,72468000000,86921000000,200162000000,206563000000
48,Accounts Payable,- -,- -,- -,- -,- -,29430000,90084000,439449000,148309000,295890000,337148000,320275000,196522000,4567000000,5322000000,6137000000,5163000000,6182000000,5487000000,4322000000,10196000000,6499000000
49,Short-Term Debt,- -,- -,- -,13420000,- -,2690000,16000000,16000000,17009000,19326000,21996000,38631000,51491000,244000000,87000000,182000000,354000000,1612000000,841000000,3269000000,9510000000,10168000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,79008000,74422000,65706000,41592000,- -,605000000,494000000,525000000,620000000,642000000,682000000,1540000000,1830000000
51,Deferred Revenue,- -,- -,- -,- -,- -,56560000,90501000,120481000,151779000,187654000,224471000,245705000,237635000,445000000,459000000,717000000,986000000,779000000,698000000,631000000,1030000000,856000000
52,Other Current Liabilities,- -,- -,- -,188588000,- -,146937000,239044000,4560000,425259000,294599000,218805000,212112000,362155000,552000000,2908000000,2492000000,2519000000,2942000000,3241000000,4284000000,967000000,5976000000
53,Total Current Liabilities,- -,- -,- -,202008000,- -,235617000,435629000,580490000,742356000,797469000,802420000,816723000,847803000,5808000000,8776000000,9528000000,9022000000,11515000000,10267000000,12506000000,21703000000,23499000000
54,Long-Term Debt,- -,- -,51649000,182335000,- -,902864000,2580000000,2986177000,3057983000,3625949000,3757287000,4711021000,4724112000,14345000000,16273000000,20484000000,21832000000,12121000000,26706000000,10958000000,66546000000,95843000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,30475000,- -,146053000,177197000,290128000,389509000,512306000,643058000,817106000,1031374000,4645000000,4873000000,4061000000,4938000000,3537000000,4472000000,5607000000,9966000000,10216000000
57,Other Non-Current Liabilities,- -,- -,- -,412788000,- -,506541000,543022000,95557000,191687000,162151000,174239000,210481000,227219000,10910000000,11068000000,11806000000,11863000000,20831000000,6305000000,29061000000,36603000000,7903000000
58,Total Non-Current Liabilities,- -,- -,51649000,625598000,- -,1555458000,3300219000,3371862000,3639179000,4300406000,4574584000,5738608000,5982705000,29900000000,32214000000,36351000000,38633000000,36489000000,37483000000,45626000000,113115000000,113962000000
59,Other Liabilities,119529000,375485000,536957000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2496000000,2521000000,- -,- -,- -,841000000,15129000000,33094000000,31818000000
61,Total Liabilities,119529000,375485000,485308000,827606000,- -,1791075000,3735848000,3952352000,4381535000,5097875000,5377004000,6555331000,6830508000,35708000000,40990000000,45879000000,47655000000,48004000000,47750000000,58132000000,134818000000,137461000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,3000,- -,15000,16000,35000,35000,35000,36000,36000,37000,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,- -,- -,-2774000,- -,216702000,245690000,338411000,487849000,664693000,858108000,1159418000,1553590000,-23088000000,-22841000000,-22108000000,-20610000000,-16074000000,-12954000000,-8833000000,-5836000000,-2812000000
65,Other Comprehensive Income/Loss,- -,- -,- -,-72000,- -,1605000,1224000,-14469000,-32533000,-11340000,-1415000,-9295000,-9602000,3000000,1000000,-1000000,1000000,8000000,-332000000,-868000000,-1581000000,-1365000000
66,Other Total Stockholders Equity,6991000,- -,69397000,74176000,- -,149584000,166315000,1524769000,1578972000,1634754000,1684847000,1777441000,1814882000,37330000000,38503000000,38666000000,38845000000,38625000000,38004000000,38490000000,72761000000,- -
67,Total Stockholders Equity,6991000,-51477000,69397000,71333000,- -,367906000,413245000,1848746000,2034323000,2288142000,2541576000,2927600000,3358907000,14245000000,15663000000,16557000000,18236000000,22559000000,24718000000,28789000000,65344000000,69102000000
68,Total Liabilities And Stockholders Equity,126520000,324008000,554705000,898939000,- -,2158981000,4149093000,5801098000,6415858000,7386017000,7918580000,9482931000,10189415000,49953000000,56653000000,62436000000,65891000000,70563000000,72468000000,86921000000,200162000000,206563000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,4029000,5032000,6290000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,126520000,324008000,554705000,898939000,- -,2158981000,4153122000,5806130000,6422148000,7386017000,7918580000,9482931000,10189415000,49953000000,56653000000,62436000000,65891000000,70563000000,72468000000,86921000000,200162000000,206563000000
71,SEC Link,- -,- -,- -,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/1283699/000095013407007079/d44987e10vk.htm,https://www.sec.gov/Archives/edgar/data/1283699/000095013408003844/d52882e10vk.htm,https://www.sec.gov/Archives/edgar/data/1283699/000095013409004227/0000950134-09-004227-index.html,https://www.sec.gov/Archives/edgar/data/1283699/000119312510044780/0001193125-10-044780-index.html,https://www.sec.gov/Archives/edgar/data/1283699/000119312511051403/d10k.htm,https://www.sec.gov/Archives/edgar/data/1283699/000144530512000521/0001445305-12-000521-index.html,https://www.sec.gov/Archives/edgar/data/1283699/000128369913000031/0001283699-13-000031-index.html,https://www.sec.gov/Archives/edgar/data/1283699/000128369914000012/tmus12312013form10k.htm,https://www.sec.gov/Archives/edgar/data/1283699/000128369915000010/tmus12312014form10-k.htm,https://www.sec.gov/Archives/edgar/data/1283699/000128369916000073/0001283699-16-000073-index.html,https://www.sec.gov/Archives/edgar/data/1283699/000128369917000010/0001283699-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/1283699/000128369918000011/0001283699-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/1283699/000128369919000015/0001283699-19-000015-index.html,https://www.sec.gov/Archives/edgar/data/1283699/000128369920000026/0001283699-20-000026-index.html,https://www.sec.gov/Archives/edgar/data/1283699/000128369921000039/0001283699-21-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1283699/000128369922000018/0001283699-22-000018-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-20609000,-44213000,130305000,15358000,- -,198677000,53806000,100403000,149438000,176844000,193415000,301310000,394172000,35000000,247000000,733000000,1460000000,4536000000,2888000000,3468000000,3064000000,3024000000
74,Depreciation and Amortization,3000,208000,- -,42428000,- -,87895000,135028000,178202000,255319000,377856000,449732000,538835000,641425000,3627000000,4412000000,4688000000,6243000000,5984000000,6486000000,6616000000,14151000000,16383000000
75,Deferred Income Tax,- -,- -,- -,18716000,- -,125055000,32341000,118524000,124347000,110161000,115478000,174617000,216808000,10000000,122000000,256000000,914000000,-1404000000,980000000,1091000000,822000000,197000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,47783000,46537000,41791000,37974000,100000000,196000000,201000000,235000000,306000000,424000000,495000000,694000000,540000000
77,Change in Working Capital,- -,- -,- -,103725000,- -,272760000,-53587000,829496000,-850866000,392394000,97543000,1135405000,412630000,4080500000,-1212000000,154000000,-167000000,-7795000000,614000000,-1215000000,5383000000,-7114000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17056000,-6523000,-20485000,-20642000,-1315000000,-90000000,-259000000,-603000000,-444000000,-4617000000,-3709000000,-3273000000,-3225000000
79,Inventory,- -,- -,- -,-7745000,- -,-5717000,-53320000,-16275000,-46816000,8554000,-13648000,-78599000,-19508000,42000000,-499000000,-2495000000,-802000000,-844000000,-201000000,-617000000,-2222000000,201000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-51718000,611000000,2395000000,693000000,-1201000000,1079000000,-867000000,- -,- -,- -
81,Other Working Capital,- -,- -,- -,103725000,- -,376485000,322898000,1152394000,301528000,693922000,791465000,1926870000,2339500000,6420000000,5208000000,5362000000,5195000000,-2600000000,-1986000000,-3201000000,2182000000,- -
82,Other Non-Cash Items,11143000,11604000,-180977000,-67622000,- -,-401171000,197173000,-637319000,769252000,-205689000,91795000,-1130150000,-521558000,-4307500000,381000000,-618000000,-2550000000,6335000000,-7493000000,-3631000000,-15474000000,887000000
83,Cash Provided by Operating Activities,-9463000,-32401000,-50672000,112605000,- -,283216000,364761000,589306000,447490000,899349000,994500000,1061808000,1181451000,3545000000,4146000000,5414000000,6135000000,7962000000,3899000000,6824000000,8640000000,13917000000
84,CAPEX,- -,- -,- -,-119793000,- -,-782229000,-1947597000,-787701000,-1283131000,-883975000,-771058000,-956029000,-840323000,-4406000000,-7217000000,-6659000000,-8670000000,-11065000000,-5668000000,-7358000000,-12367000000,-21692000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-25162000,- -,-41059000,-7495000,- -,2111000000,-40000000,- -,- -,- -,-338000000,-31000000,-3776000000,-1916000000
86,Purchases of Investments,- -,- -,- -,-209149000,- -,-739589000,-1269919000,-3358427000,- -,-501758000,-721612000,-599765000,-692147000,- -,-9000000,-2997000000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,210102000,- -,386444000,1274830000,3625942000,37000,262500000,562500000,675000000,755569000,- -,- -,- -,2998000000,- -,- -,- -,- -,- -
88,Other Investing Activites,-15093000,24183000,-88311000,-190090000,- -,230146000,3021000,3098000,13981000,-12907000,11938000,-3027000,30357000,-178000000,-2880000000,-1839000000,-3976000000,-5827000000,5300000000,2297000000,2095000000,-5144000000
89,Cash Used for Investing Activites,-15093000,24183000,-88311000,-306868000,- -,-905228000,-1939665000,-517088000,-1294275000,-1116954000,-950418000,-886871000,-723430000,-2092000000,-7246000000,-9560000000,-5680000000,-11064000000,-579000000,-4125000000,-12715000000,-19386000000
90,Debt Repayment,- -,- -,- -,-9077000,- -,- -,- -,- -,- -,-39913000,-2059846000,-567939000,-34459000,-244000000,-1437000000,-621000000,-375000000,-13926000000,-10614000000,-4513000000,-40847000000,-12395000000
91,Common Stock Issued,- -,- -,- -,65580000,- -,55872000,2744000,872206000,12582000,- -,- -,- -,- -,1787000000,- -,- -,- -,- -,- -,- -,19840000000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1914000,-4918000,-4330000,- -,- -,- -,- -,-427000000,-1071000000,- -,-19536000000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-41000000,- -,-55000000,-55000000,-55000000,- -,- -,- -,- -
94,Other Financing Activites,31015000,41708000,157039000,145448000,- -,656372000,1620949000,364286000,61943000,488951000,1884828000,1544671000,5788000,2542000000,3961000000,4089000000,893000000,13229000000,8349000000,2139000000,53553000000,14104000000
95,Cash Used/Provided by Financing Activities,31015000,41708000,157039000,201951000,- -,712244000,1623693000,1236492000,74525000,449038000,-176932000,971814000,-33001000,4044000000,2524000000,3413000000,463000000,-1179000000,-3336000000,-2374000000,13010000000,1709000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,31015000,41708000,157039000,7688000,- -,90232000,48789000,1308710000,-772260000,231433000,-132850000,1146751000,425020000,5497000000,-576000000,-733000000,918000000,-4281000000,-16000000,325000000,8935000000,-3760000000
98,Cash at the End of Period,- -,- -,- -,68412000,- -,112709000,161498000,1470208000,697948000,929381000,796531000,1943282000,2368302000,5891000000,5315000000,4582000000,5500000000,1219000000,1203000000,1528000000,10463000000,6703000000
99,Cash at the Beginning of Period,- -,- -,- -,60724000,- -,22477000,112709000,161498000,1470208000,697948000,929381000,796531000,1943282000,394000000,5891000000,5315000000,4582000000,5500000000,1219000000,1203000000,1528000000,10463000000
100,Free Cash Flow,-9463000,-32401000,-50672000,-7188000,- -,-499013000,-1582836000,-198395000,-835641000,15374000,223442000,105779000,341128000,-861000000,-3071000000,-1245000000,-2535000000,-3103000000,-1769000000,-534000000,-3727000000,-7775000000
101,SEC Link,- -,- -,- -,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/1283699/000095013407007079/d44987e10vk.htm,https://www.sec.gov/Archives/edgar/data/1283699/000095013408003844/d52882e10vk.htm,https://www.sec.gov/Archives/edgar/data/1283699/000095013409004227/0000950134-09-004227-index.html,https://www.sec.gov/Archives/edgar/data/1283699/000119312510044780/0001193125-10-044780-index.html,https://www.sec.gov/Archives/edgar/data/1283699/000119312511051403/d10k.htm,https://www.sec.gov/Archives/edgar/data/1283699/000144530512000521/0001445305-12-000521-index.html,https://www.sec.gov/Archives/edgar/data/1283699/000128369913000031/0001283699-13-000031-index.html,https://www.sec.gov/Archives/edgar/data/1283699/000128369914000012/tmus12312013form10k.htm,https://www.sec.gov/Archives/edgar/data/1283699/000128369915000010/tmus12312014form10-k.htm,https://www.sec.gov/Archives/edgar/data/1283699/000128369916000073/0001283699-16-000073-index.html,https://www.sec.gov/Archives/edgar/data/1283699/000128369917000010/0001283699-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/1283699/000128369918000011/0001283699-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/1283699/000128369919000015/0001283699-19-000015-index.html,https://www.sec.gov/Archives/edgar/data/1283699/000128369920000026/0001283699-20-000026-index.html,https://www.sec.gov/Archives/edgar/data/1283699/000128369921000039/0001283699-21-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1283699/000128369922000018/0001283699-22-000018-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
