,https://roic.ai/company/MIC,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,162463,871718,6298000,28913000,65212000,66773000,142588000,103791000,71174000,82561000,72915000,80527000,145511000,316678000,291917000,302417000,261973000,254000000,116000000,15738000
15,EBITDA,73797,318000,-17396000,40494000,176455000,79889000,-15910000,49960000,259981000,191983000,135144000,166868000,1236361000,266059000,636488000,630067000,560571000,603000000,-603000000,2706493000
16,EBITDA ratio,0.0240,0.0152,-0.1737,0.1329,0.3392,0.0961,-0.0151,0.0704,0.3092,0.1942,0.1307,0.1603,0.9152,0.1623,0.3853,0.3472,0.3182,0.3492,-0.7119,11.4690
17,Operating Income,165416,1767532,-5290000,25351000,26076000,36251000,-159638000,-27248000,76101000,87180000,29525000,45639000,34307000,-59325000,321141000,321038000,232111000,289000000,9000000,-294001000
18,Operating Income ratio,0.0538,0.0845,-0.0528,0.0832,0.0501,0.0436,-0.1517,-0.0384,0.0905,0.0882,0.0286,0.0438,0.0254,-0.0362,0.1944,0.1769,0.1318,0.1673,0.0106,-1.2459
19,Total Other Income Expenses (Gains),- -,- -,-18663000,-13567000,7398000,-105269000,-104123000,-97254000,-74792000,-35574000,-12989000,484000,980602000,-119643000,-95015000,-99080000,-118032000,-149000000,-88000000,-14120000
20,Income Before Tax,- -,- -,-23953000,11784000,33474000,-69018000,-263761000,-124502000,1309000,51606000,16536000,46123000,1014909000,-178968000,226126000,221958000,114079000,140000000,-79000000,-308121000
21,Income Before Tax Ratio,- -,- -,-0.2392,0.0387,0.0643,-0.0830,-0.2507,-0.1753,0.0016,0.0522,0.0160,0.0443,0.7513,-0.1092,0.1369,0.1223,0.0648,0.0811,-0.0933,-1.3057
22,Income Tax expense (Gain),- -,- -,-311000,-3615000,-16421000,-16483000,-84120000,-15818000,-8697000,22718000,2285000,18043000,-24374000,-65161000,71257000,-234154000,49451000,39000000,127000000,-7827000
23,Net Income,-88666,-553718,-23383000,15196000,49918000,-52054000,-178473000,-129167000,90670000,27343000,13321000,31254000,1042028000,-108537000,156381000,451202000,136521000,156000000,-928000000,2683868000
24,Net Income ratio,-0.0288,-0.0265,-0.2335,0.0499,0.0959,-0.0626,-0.1696,-0.1819,0.1078,0.0277,0.0129,0.0300,0.7713,-0.0662,0.0947,0.2486,0.0775,0.0903,-1.0956,11.3731
25,EPS,-0.00,-0.02,-17.38,0.56,1.73,-1.27,-3.97,-2.87,1.99,0.59,0.29,0.61,16.54,-1.39,1.93,5.42,1.60,1.82,-10.67,30.63
26,EPS Diluted,-0.00,-0.02,-17.38,0.56,1.73,-1.27,-3.97,-2.87,1.99,0.59,0.29,0.61,16.10,-1.39,1.85,5.13,1.60,1.82,-10.67,30.60
27,Weighted Average Shares Outstanding,26610100,26610100,26610100,26919608,28895522,40882067,44944326,45020085,45549803,45995207,46635049,51381003,62990312,77997826,80892654,83204404,85233989,86178212,86951642,87628429
28,Weighted Average Shares Outstanding Diluted,26610100,26610100,26610100,26929219,28912346,40882067,44944326,45020085,45631610,46021015,46655289,51396146,64925565,77997826,82218627,91073362,85249865,86204301,86951642,87728174
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1289790/000095012306003164/y18502e10vk.htm,https://www.sec.gov/Archives/edgar/data/1289790/000114420407010582/v06647310knm.htm,https://www.sec.gov/Archives/edgar/data/1289790/000114420408012163/v104168_10k.htm,https://www.sec.gov/Archives/edgar/data/1289790/000114420409011274/0001144204-09-011274-index.html,https://www.sec.gov/Archives/edgar/data/1289790/000114420410009813/0001144204-10-009813-index.html,https://www.sec.gov/Archives/edgar/data/1289790/000118811211000332/d27893.htm,https://www.sec.gov/Archives/edgar/data/1289790/000114420412010396/0001144204-12-010396-index.html,https://www.sec.gov/Archives/edgar/data/1289790/000114420413010289/0001144204-13-010289-index.html,https://www.sec.gov/Archives/edgar/data/1289790/000114420414010571/v361729_10k.htm,https://www.sec.gov/Archives/edgar/data/1289790/000114420415010689/v396879_10k.htm,https://www.sec.gov/Archives/edgar/data/1289790/000114420416083730/0001144204-16-083730-index.html,https://www.sec.gov/Archives/edgar/data/1289790/000114420417010224/0001144204-17-010224-index.html,https://www.sec.gov/Archives/edgar/data/1289790/000114420418010071/0001144204-18-010071-index.html,https://www.sec.gov/Archives/edgar/data/1289790/000114420419009151/0001144204-19-009151-index.html,https://www.sec.gov/Archives/edgar/data/1289790/000162828020002149/0001628280-20-002149-index.html,https://www.sec.gov/Archives/edgar/data/1289790/000162828021002304/0001628280-21-002304-index.htm,https://www.sec.gov/Archives/edgar/data/1845290/000162828022003230/0001628280-22-003230-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,13177432,151178,140050000,115163000,37388000,57473000,68231000,27455000,24563000,22786000,141376000,233373000,48014000,22394000,44767000,47121000,588555000,357000000,1828000000,47259000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,13177432,151178,140050000,115163000,37388000,57473000,68231000,27455000,24563000,22786000,141376000,233373000,48014000,22394000,44767000,47121000,588555000,357000000,1828000000,47259000
34,Net Receivables,751103,1046291,14055000,27004000,154671000,101986000,69861000,47256000,47845000,56458000,56553000,69338000,96885000,95597000,124846000,158152000,95161000,97000000,47000000,27824000
35,Inventory,191526,180340,1563000,1981000,12793000,18219000,15968000,14305000,17063000,23106000,20617000,25834000,28080000,29489000,31461000,36955000,29256000,31000000,17000000,11700000
36,Other Current Assets,577129,526844,12101000,12528000,26114000,32789000,39364000,127545000,35956000,40963000,35364000,74974000,83911000,92444000,43594000,65417000,707331000,44000000,28000000,5986000
37,Total Current Assets,14697190,1904653,167769000,156676000,230966000,210467000,193424000,216561000,125427000,143313000,253910000,403519000,256890000,239924000,244668000,307645000,1420303000,529000000,1920000000,92769000
38,PP&E,14438762,14041481,284744000,335119000,522759000,674952000,673981000,580087000,563451000,561022000,708031000,854169000,3362585000,4116163000,4346536000,4659614000,3141407000,3538000000,1177000000,309781000
39,Goodwill,13460732,13460732,217576000,281776000,485986000,770108000,586249000,516182000,514253000,516175000,514640000,514494000,1996259000,2017211000,2024409000,2068668000,2043320000,2043000000,616000000,120193000
40,Intangible Assets,- -,- -,254530000,299487000,526759000,857345000,812184000,751081000,705862000,662135000,626902000,592850000,959634000,934892000,888971000,914098000,788761000,729000000,458000000,4498000
41,Intangible Assets,13460732,13460732,472106000,581263000,1012745000,1627453000,1398433000,1267263000,1220115000,1178310000,1141542000,1107344000,2955893000,2952103000,2913380000,2982766000,2832081000,2772000000,1074000000,124691000
42,Investments,- -,- -,189697000,173535000,239632000,211606000,184930000,207491000,223792000,230401000,75205000,83703000,9773000,8274000,8835000,9526000,8360000,9000000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,314174,261904,94171000,116705000,91431000,88551000,83482000,67819000,63957000,55587000,45006000,52130000,40047000,62364000,45834000,49400000,41630000,13000000,8000000,9210000
45,Total Non-Current Assets,28213668,27764117,1040718000,1206622000,1866567000,2602562000,2340826000,2122660000,2071315000,2025320000,1969784000,2097346000,6368298000,7138904000,7314585000,7701306000,6023478000,6332000000,2259000000,443682000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,42910858,29668770,1208487000,1363298000,2097533000,2813029000,2534250000,2339221000,2196742000,2168633000,2223694000,2500865000,6625188000,7378828000,7559253000,8008951000,7443781000,6861000000,4179000000,536451000
48,Accounts Payable,1161869,903141,23218000,14172000,34103000,59303000,47886000,44575000,39768000,29199000,26499000,28850000,49733000,56688000,69566000,60585000,38178000,67000000,30000000,6169000
49,Short-Term Debt,- -,- -,- -,2793000,8437000,5256000,204068000,46135000,50400000,36487000,106580000,163083000,27655000,40099000,40016000,50835000,361166000,12000000,28000000,2901000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,132000000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,5617000,4635000,4679000,4650000,4776000,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,27054654,993201,16307000,17633000,29599000,68956000,100652000,298869000,76483000,78537000,107601000,74743000,146944000,212003000,141427000,144545000,438632000,151000000,1163000000,23932000
53,Total Current Liabilities,28216523,1896342,39525000,34598000,72139000,133515000,352606000,395196000,171286000,148902000,245330000,271452000,224332000,308790000,251009000,255965000,837976000,230000000,1221000000,33002000
54,Long-Term Debt,- -,22000000,434352000,629095000,963041000,1429458000,1330074000,1167877000,1089979000,1088079000,1052584000,831027000,2364866000,2793194000,3039966000,3530311000,2652748000,2654000000,1867000000,108465000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,123429000,113794000,163923000,202683000,65042000,107840000,156328000,177262000,169392000,189719000,904108000,840191000,896116000,632070000,680938000,679000000,127000000,38540000
57,Other Non-Current Liabilities,13078600,5619145,6370000,9206000,25824000,66477000,146844000,93540000,92454000,60530000,58823000,55399000,161714000,234211000,224628000,239902000,155792000,487000000,70000000,53062000
58,Total Non-Current Liabilities,13078600,27619145,564151000,752095000,1152788000,1698618000,1541960000,1369257000,1338761000,1325871000,1280799000,1076145000,3430688000,3867596000,4160710000,4402283000,3489478000,3820000000,2064000000,200067000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,1755000,2864000,- -,- -,- -,- -,- -,- -,3970000,3080000,4550000,- -,- -,- -,- -,340000000,329000000,12604000
61,Total Liabilities,41295123,29515487,603676000,786693000,1224927000,1832133000,1894566000,1764453000,1510047000,1474773000,1526129000,1347597000,3655020000,4176386000,4411719000,4658248000,4327454000,4050000000,3285000000,233069000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,613265000,583023000,- -,- -,- -,959897000,- -,- -,883143000,1226733000,1942745000,80000,82000,85000,86000,- -,- -,193471000
64,Retained Earnings,- -,- -,-17588000,-2392000,- -,-52455000,-230928000,-360095000,-269425000,-242082000,-228761000,-197507000,844521000,735984000,892365000,1343567000,1484482000,1641000000,713000000,106539000
65,Other Comprehensive Income/Loss,- -,- -,-370000,-13000000,-42914000,-33000000,-97000000,-43000000,-26000000,-27000000,-21000000,-8000000,-22000000,-23000000,-29000000,-30000000,-30000000,-37000000,-6000000,-5106000
66,Other Total Stockholders Equity,1615735,153283,989000,34000,907339000,1059179000,962189000,21724000,986574000,972764000,21646000,21002000,21897000,2317126000,2089447000,1840040000,1510034000,1198000000,- -,- -
67,Total Stockholders Equity,1615735,153283,596296000,567665000,864425000,973724000,634261000,578526000,691149000,703682000,655028000,1042228000,2787163000,3030190000,2952894000,3153692000,2964602000,2802000000,885000000,294904000
68,Total Liabilities And Stockholders Equity,42910858,29668770,1199972000,1354358000,2089352000,2805857000,2528827000,2342979000,2201196000,2178455000,2181157000,2389825000,6442183000,7206576000,7364613000,7811940000,7292056000,6852000000,4170000000,527973000
69,Minority Interest,- -,- -,8515000,8940000,8181000,7172000,5423000,-3758000,-4454000,-9822000,42537000,111040000,183005000,172252000,194640000,197011000,151725000,9000000,9000000,8478000
70,Total Liabilities & Equity,42910858,29668770,1208487000,1363298000,2097533000,2813029000,2534250000,2339221000,2196742000,2168633000,2223694000,2500865000,6625188000,7378828000,7559253000,8008951000,7443781000,6861000000,4179000000,536451000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1289790/000095012306003164/y18502e10vk.htm,https://www.sec.gov/Archives/edgar/data/1289790/000114420407010582/v06647310knm.htm,https://www.sec.gov/Archives/edgar/data/1289790/000114420408012163/v104168_10k.htm,https://www.sec.gov/Archives/edgar/data/1289790/000114420409011274/0001144204-09-011274-index.html,https://www.sec.gov/Archives/edgar/data/1289790/000114420410009813/0001144204-10-009813-index.html,https://www.sec.gov/Archives/edgar/data/1289790/000118811211000332/d27893.htm,https://www.sec.gov/Archives/edgar/data/1289790/000114420412010396/0001144204-12-010396-index.html,https://www.sec.gov/Archives/edgar/data/1289790/000114420413010289/0001144204-13-010289-index.html,https://www.sec.gov/Archives/edgar/data/1289790/000114420414010571/v361729_10k.htm,https://www.sec.gov/Archives/edgar/data/1289790/000114420415010689/v396879_10k.htm,https://www.sec.gov/Archives/edgar/data/1289790/000114420416083730/0001144204-16-083730-index.html,https://www.sec.gov/Archives/edgar/data/1289790/000114420417010224/0001144204-17-010224-index.html,https://www.sec.gov/Archives/edgar/data/1289790/000114420418010071/0001144204-18-010071-index.html,https://www.sec.gov/Archives/edgar/data/1289790/000114420419009151/0001144204-19-009151-index.html,https://www.sec.gov/Archives/edgar/data/1289790/000162828020002149/0001628280-20-002149-index.html,https://www.sec.gov/Archives/edgar/data/1289790/000162828021002304/0001628280-21-002304-index.htm,https://www.sec.gov/Archives/edgar/data/1845290/000162828022003230/0001628280-22-003230-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,-88666,-553718,-23383000,15196000,49918000,-52054000,-178473000,-129167000,90670000,27343000,13321000,31254000,1042028000,-108537000,156381000,451202000,136521000,156000000,-928000000,2683868000
74,Depreciation and Amortization,162463,871718,6298000,28913000,65212000,66773000,142588000,103791000,71174000,82561000,72915000,80527000,145511000,316678000,291917000,302417000,261973000,254000000,116000000,15738000
75,Deferred Income Tax,- -,- -,- -,-5695000,-14725000,-22255000,-86096000,-17923000,-11729000,19209000,-1580000,13295000,-27942000,-58734000,63947000,-245314000,35501000,27000000,-5000000,-2612000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,524441,13527644,128235689,-6166000,36749000,-81875000,-236134000,-19453000,132776000,40270000,14169000,123487000,-99509000,-101424000,62525000,58021000,530647000,-283327000,400000000,-31728000
78,Accounts Receivable,- -,- -,-2124000,-6657000,-5330000,-12263000,16946000,13020000,-2424000,-4633000,-933000,-4239000,1645000,5418000,-8415000,-31444000,14057000,-2000000,17000000,-4741000
79,Inventory,-42111,11186,- -,-178000,352000,-3291000,2698000,1233000,-2833000,-5061000,3087000,-4662000,4779000,-84000,-2343000,-6182000,-1568000,-3000000,5000000,-3489000
80,Accounts Payable,- -,- -,798000,1882000,- -,- -,- -,-4670000,- -,- -,6479000,-23796000,-12446000,-8002000,4686000,-7073000,421000,14000000,-1000000,-7904000
81,Other Working Capital,-13519333,8311,128244000,122078000,158827000,76952000,-159182000,-178635000,-45859000,-5589000,8580000,132067000,32558000,-68866000,-6341000,51680000,582327000,299000000,699000000,-7279000
82,Other Non-Cash Items,-141146,-12943849,-108015689,11299000,-90789000,185961000,451790000,140996000,-197039000,-78341000,119086000,-93446000,-808473000,333173000,-14450000,-36867000,-445214000,266327000,758000000,-2924488000
83,Cash Provided by Operating Activities,457092,901795,3135000,43547000,46365000,96550000,93675000,78244000,85852000,91042000,217911000,155117000,251615000,381156000,560320000,529459000,519428000,420000000,341000000,-259222000
84,CAPEX,-131350,-474437,- -,-6743000,-18409000,-50877000,-64774000,-30320000,-25666000,-33788000,-39288000,-111208000,-123946000,-194148000,-314684000,-340952000,-177156000,-260000000,-54000000,-14261000
85,Acquisitions Net,- -,- -,- -,-195000000,-835000000,-676000000,-15000000,- -,- -,-23000000,42000000,-29000000,-945000000,-267000000,-37000000,-201000000,9000000,- -,-13000000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,358000,166256000,85064000,7557000,29500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-14441311,-13435423,-692611000,-565000,957000,-2197000,-11183000,304000,892000,17106000,-235000,572000,140000,12332000,-25161000,-24164000,11812000,12000000,1306000000,3243022000
89,Cash Used for Investing Activites,-14572661,-13909860,-692611000,-201950000,-686196000,-644010000,-83400000,-516000,-24774000,-39682000,2477000,-139636000,-1068806000,-448816000,-376845000,-566116000,-156344000,-248000000,1239000000,3228761000
90,Debt Repayment,- -,- -,- -,-198775000,-654766000,-921601000,-2157000,-81802000,-74173000,-36454000,-238294000,-768744000,-550700000,-2556898000,-1478829000,-441348000,-1384945000,-361000000,-885000000,-496629000
91,Common Stock Issued,- -,- -,- -,- -,305325000,252739000,- -,- -,- -,- -,- -,355890000,765052000,492433000,12623000,6060000,125000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-76224000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,-772336,- -,-42948000,-736000,-98441000,-95990000,- -,- -,-27618000,-112487000,-128970000,-240535000,-341560000,-396093000,-452949000,-378355000,-344000000,-87000000,-4258401000
94,Other Financing Activites,27293001,754147,837867000,375570000,988729000,1334849000,98630000,-33872000,-126538000,10935000,248983000,618340000,658605000,2448921000,1700986000,926737000,1342918000,23000000,873000000,-5419000
95,Cash Used/Provided by Financing Activities,27293001,-18189,837867000,133847000,562328000,567546000,483000,-115674000,-200711000,-53137000,-101798000,76516000,632422000,42896000,-161313000,38500000,-420257000,-682000000,-99000000,-4760449000
96,Effect of Forex Changes on Cash,- -,- -,-193000,-331000,-272000,-1000,- -,- -,- -,- -,- -,- -,-590000,-856000,211000,511000,-1059000,- -,- -,- -
97,Net Change In Cash,- -,-13026254,- -,-24887000,-77775000,20085000,10758000,-38599000,-2892000,-1777000,118590000,91997000,-185359000,-25620000,22373000,2354000,556660000,-271000000,1481000000,-1790910000
98,Cash at the End of Period,13177432,151178,- -,115163000,37388000,57473000,68231000,27455000,24563000,22786000,141376000,233373000,48014000,22394000,44767000,47121000,628744000,358000000,1839000000,48310000
99,Cash at the Beginning of Period,- -,13177432,- -,140050000,115163000,37388000,57473000,66054000,27455000,24563000,22786000,141376000,233373000,48014000,22394000,44767000,72084000,629000000,358000000,1839220000
100,Free Cash Flow,325742,427358,3135000,36804000,27956000,45673000,28901000,47924000,60186000,57254000,178623000,43909000,127669000,187008000,245636000,188507000,342272000,160000000,287000000,-273483000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1289790/000095012306003164/y18502e10vk.htm,https://www.sec.gov/Archives/edgar/data/1289790/000114420407010582/v06647310knm.htm,https://www.sec.gov/Archives/edgar/data/1289790/000114420408012163/v104168_10k.htm,https://www.sec.gov/Archives/edgar/data/1289790/000114420409011274/0001144204-09-011274-index.html,https://www.sec.gov/Archives/edgar/data/1289790/000114420410009813/0001144204-10-009813-index.html,https://www.sec.gov/Archives/edgar/data/1289790/000118811211000332/d27893.htm,https://www.sec.gov/Archives/edgar/data/1289790/000114420412010396/0001144204-12-010396-index.html,https://www.sec.gov/Archives/edgar/data/1289790/000114420413010289/0001144204-13-010289-index.html,https://www.sec.gov/Archives/edgar/data/1289790/000114420414010571/v361729_10k.htm,https://www.sec.gov/Archives/edgar/data/1289790/000114420415010689/v396879_10k.htm,https://www.sec.gov/Archives/edgar/data/1289790/000114420416083730/0001144204-16-083730-index.html,https://www.sec.gov/Archives/edgar/data/1289790/000114420417010224/0001144204-17-010224-index.html,https://www.sec.gov/Archives/edgar/data/1289790/000114420418010071/0001144204-18-010071-index.html,https://www.sec.gov/Archives/edgar/data/1289790/000114420419009151/0001144204-19-009151-index.html,https://www.sec.gov/Archives/edgar/data/1289790/000162828020002149/0001628280-20-002149-index.html,https://www.sec.gov/Archives/edgar/data/1289790/000162828021002304/0001628280-21-002304-index.htm,https://www.sec.gov/Archives/edgar/data/1845290/000162828022003230/0001628280-22-003230-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
