,https://roic.ai/company/IART,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
27,Weighted Average Shares Outstanding,20991736,28113869,29620000,32278000,33604000,35106000,46706000,58042000,58142000,60128000,60390000,58600000,55424000,55562000,58076000,59096000,53662000,55898000,56832000,65482000,73884000,74720000,78394000,84445833,85870000,84337000,84698000
28,Weighted Average Shares Outstanding Diluted,20991736,28113869,30000000,32278000,34117647,35106000,55592000,61790000,60936000,62204000,69130000,65494000,59156000,57406000,58584000,60298000,58990000,57032000,56832000,65920000,73884000,79194000,79121000,84445833,86494000,85228000,84698000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/917520/000100547700002690/0001005477-00-002690-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/917520/000136231007000206/0001362310-07-000206-index.htm,https://www.sec.gov/Archives/edgar/data/917520/000095012308005803/0000950123-08-005803-index.htm,https://www.sec.gov/Archives/edgar/data/917520/000136231009003062/0001362310-09-003062-index.htm,https://www.sec.gov/Archives/edgar/data/917520/000095012310018591/0000950123-10-018591-index.htm,https://www.sec.gov/Archives/edgar/data/917520/000095012311017602/0000950123-11-017602-index.htm,https://www.sec.gov/Archives/edgar/data/917520/000119312512081503/0001193125-12-081503-index.htm,https://www.sec.gov/Archives/edgar/data/917520/000091752013000023/0000917520-13-000023-index.htm,https://www.sec.gov/Archives/edgar/data/917520/000091752014000007/0000917520-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/917520/000091752015000012/0000917520-15-000012-index.htm,https://www.sec.gov/Archives/edgar/data/917520/000091752016000073/0000917520-16-000073-index.htm,https://www.sec.gov/Archives/edgar/data/917520/000091752017000010/0000917520-17-000010-index.htm,https://www.sec.gov/Archives/edgar/data/917520/000091752018000012/0000917520-18-000012-index.htm,https://www.sec.gov/Archives/edgar/data/917520/000091752019000013/0000917520-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/917520/000091752020000010/0000917520-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/917520/000091752021000018/0000917520-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/917520/000091752022000010/0000917520-22-000010-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,4500000,11800000,2100000,5300000,19300000,14086000,44518000,43583000,78979000,69855000,46889000,22697000,57339000,183546000,71891000,128763000,100808000,96938000,120614000,71994000,48132000,102055000,174935000,138838000,198911000,470166000,513448000
32,Short-Term Investments,- -,- -,- -,- -,4300000,1052000,22183000,55278000,29567000,30955000,80327000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,4500000,11800000,2100000,5300000,23600000,15138000,66701000,98861000,108546000,100810000,127216000,22697000,57339000,183546000,71891000,128763000,100808000,96938000,120614000,71994000,48132000,102055000,174935000,138838000,198911000,470166000,513448000
34,Net Receivables,1800000,2900000,2800000,3100000,8400000,13087000,14024000,19412000,28936000,46765000,49007000,85018000,103539000,112417000,103228000,106005000,118129000,114916000,118145000,131918000,132241000,148186000,251799000,265737000,275296000,225532000,- -
35,Inventory,1400000,2600000,2400000,2700000,10100000,16508000,24609000,28502000,41046000,55947000,67476000,94387000,144535000,146103000,140240000,146928000,171261000,171806000,213431000,237114000,211429000,217263000,296332000,280347000,316054000,310117000,317386000
36,Other Current Assets,1600000,22900000,24500000,15800000,700000,1484000,2898000,5498000,9365000,12716000,22253000,19659000,34518000,55326000,50004000,63153000,62059000,69391000,73052000,88295000,46693000,27666000,99080000,90160000,67907000,231387000,- -
37,Total Current Assets,9300000,40200000,31800000,26900000,42800000,46217000,108232000,152273000,187893000,216238000,265952000,221761000,339931000,497392000,365363000,444849000,452257000,453051000,525242000,529321000,438495000,495170000,822146000,775082000,858168000,1237202000,- -
38,PP&E,9600000,8600000,6400000,6300000,9700000,11599000,11662000,16556000,20072000,25461000,27451000,42559000,61730000,70382000,83526000,99456000,131383000,177898000,200310000,209986000,205181000,222369000,269251000,300112000,431934000,371164000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,31525000,- -,- -,- -,- -,162414000,207438000,212094000,261941000,261928000,292980000,294067000,249764000,363888000,512389000,510571000,937905000,926475000,954280000,932367000,- -
40,Intangible Assets,- -,- -,- -,1400000,13200000,25299000,- -,45164000,79118000,99054000,132933000,179716000,195766000,225998000,211117000,194904000,237122000,212267000,197163000,459459000,603740000,561175000,1159627000,1079496000,1031591000,989436000,- -
41,Intangible Assets,- -,- -,- -,1400000,13200000,25299000,31525000,45164000,79118000,99054000,132933000,342130000,403204000,438092000,473058000,456832000,530102000,506334000,446927000,823347000,1116129000,1071746000,2097532000,2005971000,1985871000,1921803000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,10243000,25218000,21369000,15787000,- -,- -,- -,- -,15841000,7894000,17239000,15957000,15412000,5603000,6932000,6935000,6250000,6805000,12623000,73690000,- -
44,Other Non-Current Assets,500000,-100000,200000,100000,600000,3399000,65926000,35457000,104074000,100173000,6096000,7168000,13147000,28565000,2314000,8277000,13128000,10359000,8338000,10368000,7967000,11734000,16078000,19917000,14644000,11277000,- -
45,Total Non-Current Assets,10100000,8500000,6600000,7800000,23500000,40297000,119356000,122395000,224633000,240475000,182480000,391857000,478081000,537039000,574739000,572459000,691852000,710548000,670987000,1049304000,1336209000,1312784000,2389111000,2332805000,2445072000,2377934000,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3782383000
47,Total Assets,19400000,48700000,38400000,34700000,66300000,86514000,227588000,274668000,412526000,456713000,448432000,613618000,818012000,1034431000,940102000,1017308000,1144109000,1163599000,1196229000,1578625000,1774704000,1807954000,3211257000,3107887000,3303240000,3615136000,3782383000
48,Accounts Payable,300000,100000,500000,600000,1000000,3363000,2924000,3764000,7947000,10160000,8978000,20329000,23232000,22964000,24598000,27783000,27656000,36742000,50752000,34060000,34772000,29057000,93967000,76050000,113090000,54608000,- -
49,Short-Term Debt,- -,- -,- -,- -,2300000,8872000,3576000,- -,- -,- -,- -,219542000,119962000,100000000,76760000,108438000,- -,- -,- -,3750000,14375000,- -,60000000,22500000,57253000,159068000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,772000,816000,- -,- -,- -,4319000,2901000,3053000,4077000,4444000,4543000,3505000,4197000,5176000,5666000,6812000,11051000,3764000,4772000,5275000,- -
52,Other Current Liabilities,1500000,2100000,1900000,2400000,11500000,8805000,11874000,17341000,12671000,14074000,22309000,29827000,45576000,48734000,51295000,59367000,69669000,66682000,64433000,83039000,84314000,87732000,183893000,160238000,156194000,182062000,- -
53,Total Current Liabilities,1800000,2200000,2400000,3000000,14800000,21040000,19146000,21921000,20618000,24234000,31287000,274017000,191671000,174751000,156730000,200032000,101868000,106929000,119382000,126025000,139127000,123601000,348911000,262552000,331309000,401013000,- -
54,Long-Term Debt,- -,- -,- -,- -,7600000,4758000,- -,- -,119257000,118900000,118378000,508000,330000000,490000000,308754000,294842000,532264000,519547000,392057000,626246000,700595000,665000000,1781142000,1331713000,1303061000,1496339000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,1788000,- -,- -,- -,310000,2520000,31356000,16052000,- -,9319000,10645000,5726000,5393000,2083000,91623000,154891000,148941000,65130000,57778000,36553000,16190000,- -
57,Other Non-Current Liabilities,200000,100000,200000,300000,5900000,5147000,4385000,5150000,4121000,5446000,6429000,11575000,19860000,19474000,20414000,11826000,11613000,13955000,12527000,30409000,28648000,30745000,53768000,80048000,215581000,186727000,- -
58,Total Non-Current Liabilities,200000,100000,200000,300000,13500000,11693000,4385000,5150000,123378000,124656000,127327000,43439000,365912000,509474000,338487000,317313000,549603000,538895000,406667000,748278000,884134000,844686000,1900040000,1469539000,1555195000,1699256000,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2097579000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,109757000,100936000,- -
61,Total Liabilities,2000000,2300000,2600000,3300000,28300000,32733000,23531000,27071000,143996000,148890000,158614000,317456000,557583000,684225000,495217000,517345000,651471000,645824000,526049000,874303000,1023261000,968287000,2248951000,1732091000,1886504000,2100269000,2097579000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,200000,173000,261000,272000,286000,292000,298000,315000,323000,344000,350000,359000,357000,369000,410000,416000,459000,777000,813000,880000,887000,893000,- -
64,Retained Earnings,-51500000,-59000000,-75900000,-88300000,-94300000,-105729000,-79600000,-44323000,-17462000,-265000,36929000,66336000,98175000,132219000,167161000,232830000,260819000,302023000,285046000,314960000,145879000,220443000,285186000,348373000,398574000,532265000,- -
65,Other Comprehensive Income/Loss,-2300000,-3700000,-4500000,-5800000,-8000000,-10684000,-13720000,1453000,4226000,6668000,-4773000,8080000,19045000,5355000,8905000,-1795000,-9093000,-4797000,927000,-23488000,-47902000,-57154000,-23807000,-45443000,-76402000,-74059000,-45155000
66,Other Total Stockholders Equity,71200000,109100000,116200000,125500000,140100000,170021000,297116000,290195000,281480000,301128000,257364000,221431000,142886000,212288000,268469000,268569000,240555000,220180000,383797000,412434000,653007000,675601000,700114000,1071986000,1093677000,1055768000,- -
67,Total Stockholders Equity,17400000,46400000,35800000,31400000,38000000,53781000,204057000,247597000,268530000,307823000,289818000,296162000,260429000,350206000,444885000,499963000,492638000,517775000,670180000,704322000,751443000,839667000,962306000,1375796000,1416736000,1514867000,1684804000
68,Total Liabilities And Stockholders Equity,19400000,48700000,38400000,34700000,66300000,86514000,227588000,274668000,412526000,456713000,448432000,613618000,818012000,1034431000,940102000,1017308000,1144109000,1163599000,1196229000,1578625000,1774704000,1807954000,3211257000,3107887000,3303240000,3615136000,3782383000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,19400000,48700000,38400000,34700000,66300000,86514000,227588000,274668000,412526000,456713000,448432000,613618000,818012000,1034431000,940102000,1017308000,1144109000,1163599000,1196229000,1578625000,1774704000,1807954000,3211257000,3107887000,3303240000,3615136000,3782383000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/917520/000100547700002690/0001005477-00-002690-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/917520/000136231007000206/0001362310-07-000206-index.htm,https://www.sec.gov/Archives/edgar/data/917520/000095012308005803/0000950123-08-005803-index.htm,https://www.sec.gov/Archives/edgar/data/917520/000136231009003062/0001362310-09-003062-index.htm,https://www.sec.gov/Archives/edgar/data/917520/000095012310018591/0000950123-10-018591-index.htm,https://www.sec.gov/Archives/edgar/data/917520/000095012311017602/0000950123-11-017602-index.htm,https://www.sec.gov/Archives/edgar/data/917520/000119312512081503/0001193125-12-081503-index.htm,https://www.sec.gov/Archives/edgar/data/917520/000091752013000023/0000917520-13-000023-index.htm,https://www.sec.gov/Archives/edgar/data/917520/000091752014000007/0000917520-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/917520/000091752015000012/0000917520-15-000012-index.htm,https://www.sec.gov/Archives/edgar/data/917520/000091752016000073/0000917520-16-000073-index.htm,https://www.sec.gov/Archives/edgar/data/917520/000091752017000010/0000917520-17-000010-index.htm,https://www.sec.gov/Archives/edgar/data/917520/000091752018000012/0000917520-18-000012-index.htm,https://www.sec.gov/Archives/edgar/data/917520/000091752019000013/0000917520-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/917520/000091752020000010/0000917520-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/917520/000091752021000018/0000917520-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/917520/000091752022000010/0000917520-22-000010-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-25400000,-7500000,-17000000,-12300000,-6000000,-11425000,26163000,35277000,26861000,17197000,37194000,29407000,33471000,34933000,50955000,65669000,27989000,41204000,-16977000,34004000,-3519000,74564000,64743000,60801000,50201000,133892000,169075000
74,Depreciation and Amortization,1400000,2000000,1800000,1300000,2200000,5176000,6257000,7162000,9043000,11592000,13221000,21478000,27039000,33148000,39688000,39172000,50172000,52611000,47010000,61128000,58863000,72665000,88945000,110730000,109462000,116031000,- -
75,Deferred Income Tax,- -,- -,- -,- -,-1800000,- -,-12085000,-13401000,12357000,6101000,9895000,3235000,-12720000,-28277000,548000,4128000,1156000,1537000,-10829000,-964000,-351000,-6474000,-67304000,-8184000,-19046000,-64138000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15580000,17209000,26805000,9051000,10393000,15105000,15450000,17310000,21550000,20779000,21255000,19590000,- -
77,Change in Working Capital,-900000,30500000,-8600000,-5500000,4100000,-2823000,63909000,41266000,36923000,24729000,42661000,-286921000,200516000,174381000,-114008000,36184000,105572000,-4267000,59738000,-2564000,-103928000,72201000,101666000,39295000,14329000,309330000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9808000,-3783000,-1878000,3783000,-2892000,-16145000,-16231000,-17518000,-89698000,-17021000,-9428000,52105000,- -
79,Inventory,-400000,-1300000,300000,500000,2800000,-3061000,-6987000,1153000,-1829000,-9738000,-9984000,3461000,-18591000,10823000,9405000,-7374000,1702000,-711000,-42017000,-27006000,-3759000,-9576000,99000,8300000,-43308000,-48348000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-21071000,9945000,2427000,1629000,-414000,95321000,3588000,14666000,-57512000,- -
81,Other Working Capital,7500000,38000000,29400000,23900000,28000000,25177000,89086000,130352000,167275000,192004000,234665000,-52256000,148260000,322641000,208633000,244817000,350389000,346122000,405860000,403296000,299368000,371569000,473235000,512530000,526859000,836189000,- -
82,Other Non-Cash Items,19300000,-33000000,15900000,6700000,4000000,4112000,-68543000,-38319000,-50358000,-20644000,-46123000,304503000,-201280000,-141595000,150472000,-56791000,-107366000,-41421000,-36067000,-27246000,127968000,-113861000,-95056000,-23738000,55232000,-310873000,143352000
83,Cash Provided by Operating Activities,-5600000,-8000000,-7900000,-9800000,2500000,-4960000,15701000,31985000,34826000,38975000,56848000,71702000,47026000,72590000,143235000,105571000,104328000,58715000,53268000,79463000,94483000,116405000,114544000,199683000,231433000,203832000,312427000
84,CAPEX,-2900000,-1200000,-800000,-1200000,-17300000,-3268000,-2860000,-2254000,-3843000,-8508000,-8053000,-11520000,-22572000,-13401000,-27569000,-37138000,-38425000,-69031000,-47851000,-42396000,-33413000,-47328000,-43503000,-77741000,-134532000,-63890000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,-16187000,-6348000,-25015000,-50405000,-29302000,-50602000,-228662000,-100810000,-86874000,-60783000,-5178000,-151951000,-7278000,-2980000,-320921000,-328888000,225000,-1195559000,26704000,-30509000,- -,- -
86,Purchases of Investments,-1200000,-41500000,-37100000,-23800000,-14700000,-13391000,-88533000,-39113000,-217070000,-190888000,-65499000,-13074000,- -,- -,- -,- -,- -,-67907000,- -,- -,- -,- -,- -,- -,- -,-7840000,- -
87,Sales/Maturities of Investments,- -,21100000,35500000,33000000,26000000,16981000,3000000,35402000,178483000,241440000,93315000,109872000,- -,- -,- -,- -,- -,64940000,- -,- -,- -,- -,16951000,- -,1584000,- -,- -
88,Other Investing Activites,10200000,300000,200000,1200000,6400000,1362000,- -,- -,-1500000,- -,- -,689000,411000,- -,-2331000,- -,- -,- -,535000,-475000,-9709000,4481000,776000,1332000,-64206000,-21343000,-161443000
89,Cash Used for Investing Activites,6100000,-21300000,-2200000,9200000,400000,-14503000,-94741000,-30980000,-94335000,12742000,-30839000,-142695000,-122971000,-100275000,-88352000,-42316000,-190376000,-79276000,-50296000,-363317000,-372010000,-42622000,-1221335000,-49705000,-162668000,-68073000,-161443000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-178005000,-88226000,-256332000,-147195000,-165000000,-195605000,-468853000,-696216000,-117000000,-660000000,-246100000,-441000000,- -
91,Common Stock Issued,1100000,36500000,400000,4100000,12400000,13581000,123109000,3323000,14152000,6123000,9382000,15867000,40443000,11504000,- -,- -,- -,- -,152458000,- -,219669000,- -,- -,349590000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-300000,- -,-170000,- -,-1761000,-35402000,-14238000,-56341000,-70031000,-106534000,- -,- -,-31278000,-83463000,- -,- -,- -,- -,- -,- -,- -,- -,-100000000,- -
93,Dividends Paid,- -,- -,- -,- -,-100000,-67000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-400000,- -,- -,- -,-1100000,928000,-13652000,-3600000,115923000,- -,-1377000,99805000,174576000,142032000,6663000,117930000,399932000,159330000,31561000,438389000,507697000,681100000,1285947000,129538000,237334000,662625000,-98226000
95,Cash Used/Provided by Financing Activities,700000,36500000,400000,3800000,11200000,14272000,109457000,-2038000,94673000,-8115000,-48336000,45641000,108485000,153536000,-171342000,-1574000,60137000,12135000,19019000,242784000,258513000,-15116000,1168947000,-180872000,-8766000,121625000,-98226000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,-24000,15000,98000,232000,199000,-639000,1160000,2102000,356000,4804000,-4809000,-2044000,4556000,1685000,-7550000,-4848000,-4744000,10724000,-5203000,74000,13871000,-9476000
97,Net Change In Cash,700000,36500000,400000,3200000,14000000,-5215000,30432000,-935000,35396000,43801000,-22966000,-24192000,34642000,126207000,-111655000,56872000,-27955000,-3870000,23676000,-48620000,-23862000,53923000,72880000,-36097000,60073000,271255000,-98226000
98,Cash at the End of Period,- -,- -,- -,5300000,19300000,14086000,44518000,43583000,78979000,69855000,46889000,22697000,57339000,183546000,71891000,128763000,100808000,96938000,120614000,71994000,48132000,102055000,174935000,138838000,198911000,470166000,- -
99,Cash at the Beginning of Period,3300000,4500000,11800000,2100000,5300000,19301000,14086000,44518000,43583000,26054000,69855000,46889000,22697000,57339000,183546000,71891000,128763000,100808000,96938000,120614000,71994000,48132000,102055000,174935000,138838000,198911000,- -
100,Free Cash Flow,-8500000,-9200000,-8700000,-11000000,-14800000,-8228000,12841000,29731000,30983000,30467000,48795000,60182000,24454000,59189000,115666000,68433000,65903000,-10316000,5417000,37067000,61070000,69077000,71041000,121942000,96901000,139942000,312427000
