,https://roic.ai/company/THMO,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,- -,-6.0000,-2.0000,-0.3333,-0.5455,-0.2222,-0.8333,-0.2500,-0.2222,-0.0909,-0.1463,-0.7273,-2.1818,-1.2200,-1.3902,-0.8444,-0.5378,-0.5560,-0.4159,-0.8276,-0.5785,-0.5099,-0.4724,-0.4434,-0.2276,-0.1212,-0.2828,-0.1706,-0.5655,-0.9263,-0.9108,- -,-4.5022,-0.3628,-0.9129,-0.7780
19,Total Other Income Expenses (Gains),- -,100000,100000,100000,- -,- -,- -,- -,600000,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-21000,6000,7000,-7723000,- -,-2125000,-5366000,-7916000,-4148000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3086000,-9034000,-14852000,-18588000,- -,-45670000,-10099000,-16811000,-11379000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.1718,-0.5651,-0.9258,-1.5582,- -,-4.7219,-0.7740,-1.7253,-1.2243
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-403000,- -,- -,- -,-4730000,- -,- -,- -
23,Net Income,- -,-800000,-1100000,-500000,-800000,-700000,-1500000,-300000,- -,-100000,-600000,-4800000,-9600000,-6100000,-5818000,-6153000,-5038000,-5603000,-4777000,-8220000,-6142000,-6776000,-9181000,-8550000,-5193000,-2567000,-4986000,-3086000,-8631000,-14852000,-18588000,- -,-39716000,-9497000,-16351000,-11379000
24,Net Income ratio,- -,-8.0000,-2.2000,-0.4167,-0.7273,-0.3889,-0.8333,-0.1500,- -,-0.0303,-0.1463,-0.7273,-2.1818,-1.2200,-1.3816,-1.0623,-0.5276,-0.5500,-0.4102,-0.8077,-0.5098,-0.4045,-0.4183,-0.4318,-0.2249,-0.1097,-0.2621,-0.1718,-0.5399,-0.9258,-1.5582,- -,-4.1063,-0.7279,-1.6781,-1.2243
25,EPS,- -,-416.00,-384.00,-160.00,-224.00,-160.00,-288.00,-64.00,- -,-16.00,-40.00,-256.00,-432.00,-400.00,-240.00,-200.00,-120.00,-120.00,-88.00,-144.00,-96.00,-96.00,-128.00,-120.00,-296.00,-34.00,-60.00,-38.00,-72.00,-74.00,-61.74,- -,-21.60,-3.36,-2.60,-4.02
26,EPS Diluted,- -,-416.00,-384.00,-160.00,-224.00,-160.00,-288.00,-64.00,- -,-16.00,-40.00,-256.00,-432.00,-400.00,-240.00,-200.00,-120.00,-120.00,-88.00,-144.00,-96.00,-96.00,-128.00,-120.00,-296.00,-34.00,-60.00,-38.00,-72.00,-74.00,-61.74,- -,-21.60,-3.36,-2.60,-4.02
27,Weighted Average Shares Outstanding,- -,5407,6007,6066,7783,9862,6250,11582,12707,15886,14363,18506,22037,24052,27861,34585,41055,45733,52224,56783,61979,68962,69693,70075,17529,74080,81945,82632,121171,201759,301068,1840000,1840000,2828606,6300000,2828606
28,Weighted Average Shares Outstanding Diluted,- -,5407,6007,6066,7783,9862,6250,11582,12707,15886,14363,20192,22037,24052,28125,34585,41055,45733,52224,56783,61979,68962,69693,70075,17529,74080,81945,82632,121171,201759,301068,1840000,1840000,2828606,6300000,2828606
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/811212/000081121297000017/0000811212-97-000017-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/811212/000100127700000282/0001001277-00-000282-index.html,- -,https://www.sec.gov/Archives/edgar/data/811212/000100127702000435/0001001277-02-000435-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/811212/000095013406017420/f23377e10vk.htm,https://www.sec.gov/Archives/edgar/data/811212/000095013407019901/0000950134-07-019901-index.html,https://www.sec.gov/Archives/edgar/data/811212/000095013408016472/0000950134-08-016472-index.html,https://www.sec.gov/Archives/edgar/data/811212/000095012309042510/0000950123-09-042510-index.html,https://www.sec.gov/Archives/edgar/data/811212/000095012310086166/0000950123-10-086166-index.html,https://www.sec.gov/Archives/edgar/data/811212/000114036111045555/0001140361-11-045555-index.html,https://www.sec.gov/Archives/edgar/data/811212/000114036112041105/0001140361-12-041105-index.html,https://www.sec.gov/Archives/edgar/data/811212/000114036113034895/0001140361-13-034895-index.html,https://www.sec.gov/Archives/edgar/data/811212/000114036114036655/0001140361-14-036655-index.html,https://www.sec.gov/Archives/edgar/data/811212/000143774915017442/0001437749-15-017442-index.html,https://www.sec.gov/Archives/edgar/data/811212/000143774916038939/kool20160630_10k.htm,- -,https://www.sec.gov/Archives/edgar/data/811212/000143774919005676/0001437749-19-005676-index.html,https://www.sec.gov/Archives/edgar/data/811212/000143774920005945/0001437749-20-005945-index.html,https://www.sec.gov/Archives/edgar/data/811212/000143774921006335/0001437749-21-006335-index.htm,https://www.sec.gov/Archives/edgar/data/811212/000143774922007409/0001437749-22-007409-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1200000,3500000,2000000,2300000,810000,3544000,4713000,6815000,16612000,9568000,3527000,5730000,4384000,6655000,10731000,12309000,7879000,6884000,14811000,3357000,5835000,3513000,2400000,3157000,7161000,7280000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1740000,1822000,2013000,- -,- -,- -,35472000,27649000,20903000,8976000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1200000,3500000,2000000,2300000,2550000,5366000,6726000,6815000,16612000,9568000,38999000,33379000,25287000,15631000,10731000,12309000,7879000,6884000,14811000,3357000,5835000,3513000,2400000,3157000,7161000,7280000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1400000,2100000,1300000,1200000,627000,1369000,1916000,2014000,3107000,2917000,3773000,3226000,5976000,4235000,6095000,3963000,4558000,4898000,4693000,5133000,3169000,2549000,1509000,1278000,1382000,733000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2100000,2600000,2500000,2700000,2275000,1843000,2887000,2650000,2470000,3280000,2792000,5046000,5131000,5233000,5034000,6348000,6290000,4259000,5606000,4598000,3593000,4798000,4493000,3824000,5877000,5373000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,200000,100000,300000,150000,96000,115000,820000,582000,469000,462000,415000,367000,623000,301000,420000,338000,232000,217000,163000,246000,594000,224000,1602000,878000,1578000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4900000,8400000,5900000,6500000,5602000,8674000,11644000,12299000,22771000,16234000,46026000,42066000,36761000,25722000,22161000,23040000,19065000,16273000,25327000,13251000,12843000,11454000,8626000,9861000,15298000,14964000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,700000,1400000,1700000,1500000,1080000,811000,537000,442000,1146000,1184000,1489000,1602000,1450000,1823000,1701000,1310000,1652000,2208000,2298000,2937000,2962000,2996000,2562000,2887000,2154000,571000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13254000,13195000,13195000,13976000,781000,781000,781000,781000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,315000,- -,21928000,21295000,20821000,21629000,1591000,1467000,1358000,1318000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,315000,- -,35182000,34490000,34016000,35605000,2372000,2248000,2139000,2099000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,400000,200000,100000,53000,68000,58000,50000,197000,48000,88000,122000,71000,110000,168000,49000,48000,48000,81000,79000,78000,1056000,1051000,218000,1269000,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,1800000,1900000,1600000,1133000,879000,595000,492000,1343000,1232000,1577000,1724000,1521000,1933000,1869000,1359000,2015000,2256000,37561000,37506000,37056000,39657000,5985000,5353000,5562000,2670000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5900000,10200000,7800000,8100000,6735000,9553000,12239000,12791000,24114000,17466000,47603000,43790000,38282000,27655000,24030000,24399000,21080000,18529000,62888000,50757000,49899000,51111000,14611000,15214000,20860000,17634000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,900000,1500000,1300000,600000,512000,709000,995000,1165000,1709000,1791000,1931000,2074000,4186000,1781000,2383000,1791000,2772000,3106000,3590000,5079000,2648000,2079000,2423000,1447000,1366000,1280000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,200000,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,447000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,233000,436000,384000,142000,275000,718000,761000,801000,850000,854000,235000,424000,377000,638000,635000,783000,- -,485000,620000,608000,719000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,300000,600000,800000,477000,634000,582000,624000,1122000,1083000,1035000,1472000,1788000,2207000,2337000,2038000,1835000,1665000,2152000,2232000,2111000,3385000,3457000,4618000,3722000,4349000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1300000,2000000,2200000,1400000,989000,1576000,2013000,2173000,2973000,3149000,3684000,4307000,6775000,4838000,5574000,4064000,5031000,5148000,6380000,7946000,5542000,5464000,6365000,6685000,6143000,6348000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,200000,100000,- -,54000,45000,33000,44000,21000,45000,26000,- -,- -,- -,- -,- -,- -,- -,- -,- -,2489000,- -,1174000,4931000,6627000,398000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,363000,227000,242000,55000,55000,- -,- -,- -,- -,- -,1901000,1596000,1244000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7641000,7641000,7641000,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,- -,20000,- -,- -,- -,- -,152000,241000,1921000,1671000,982000,- -,450000,- -,96000,8000,169000,268000,1954000,12435000,341000,781000,624000,5816000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,200000,100000,20000,54000,45000,33000,44000,173000,286000,1947000,1671000,982000,363000,677000,242000,151000,63000,7810000,7909000,12084000,12435000,1515000,7613000,8847000,7458000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24000,8000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,761000,604000,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1500000,2200000,2200000,1400000,1043000,1621000,2046000,2217000,3146000,3435000,5631000,5978000,7757000,5201000,6251000,4306000,5182000,5211000,14190000,15855000,17626000,17899000,7880000,14298000,14990000,13806000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26000,32000,35000,39000,45000,46000,55000,56000,56000,56000,14000,16000,16000,16000,40000,41000,3000,- -,22000,3000,9000,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6400000,-11200000,-20700000,-30700000,-37339000,-44072000,-49110000,-54713000,-59490000,-67710000,-73852000,-80628000,-89809000,-98359000,-103552000,-106119000,-111105000,-114191000,-122822000,-137674000,-156262000,- -,-227435000,-236932000,-253283000,-264662000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-300000,-400000,-900000,-1200000,-1506000,-1974000,-2389000,-2599000,-2383000,-57000,-3024000,-2605000,-2950000,-3316000,-3241000,-3409000,-3476000,-3277000,58000,-5000,-37000,- -,-13000,2000,16000,31000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11100000,19600000,27200000,38600000,44511000,53946000,61657000,67847000,82796000,81752000,118793000,120989000,123228000,124073000,124558000,129605000,130463000,130770000,171422000,172540000,188569000,- -,235868000,237313000,259058000,268490000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4400000,8000000,5600000,6700000,5692000,7932000,10193000,10574000,20968000,14031000,41972000,37812000,30525000,22454000,17779000,20093000,15898000,13318000,48698000,34902000,32273000,33699000,8442000,386000,5800000,3828000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5900000,10200000,7800000,8100000,6735000,9553000,12239000,12791000,24114000,17466000,47603000,43790000,38282000,27655000,24030000,24399000,21080000,18529000,62888000,50757000,49899000,51598000,16322000,14684000,20790000,17634000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-487000,-1711000,530000,70000,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5900000,10200000,7800000,8100000,6735000,9553000,12239000,12791000,24114000,17466000,47603000,43790000,38282000,27655000,24030000,24399000,21080000,18529000,62888000,50757000,49899000,51111000,14611000,15214000,20860000,17634000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/811212/000081121297000017/0000811212-97-000017-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/811212/000100127700000282/0001001277-00-000282-index.html,- -,https://www.sec.gov/Archives/edgar/data/811212/000100127702000435/0001001277-02-000435-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/811212/000095013406017420/f23377e10vk.htm,https://www.sec.gov/Archives/edgar/data/811212/000095013407019901/0000950134-07-019901-index.html,https://www.sec.gov/Archives/edgar/data/811212/000095013408016472/0000950134-08-016472-index.html,https://www.sec.gov/Archives/edgar/data/811212/000095012309042510/0000950123-09-042510-index.html,https://www.sec.gov/Archives/edgar/data/811212/000095012310086166/0000950123-10-086166-index.html,https://www.sec.gov/Archives/edgar/data/811212/000114036111045555/0001140361-11-045555-index.html,https://www.sec.gov/Archives/edgar/data/811212/000114036112041105/0001140361-12-041105-index.html,https://www.sec.gov/Archives/edgar/data/811212/000114036113034895/0001140361-13-034895-index.html,https://www.sec.gov/Archives/edgar/data/811212/000114036114036655/0001140361-14-036655-index.html,https://www.sec.gov/Archives/edgar/data/811212/000143774915017442/0001437749-15-017442-index.html,https://www.sec.gov/Archives/edgar/data/811212/000143774916038939/kool20160630_10k.htm,- -,https://www.sec.gov/Archives/edgar/data/811212/000143774919005676/0001437749-19-005676-index.html,https://www.sec.gov/Archives/edgar/data/811212/000143774920005945/0001437749-20-005945-index.html,https://www.sec.gov/Archives/edgar/data/811212/000143774921006335/0001437749-21-006335-index.htm,https://www.sec.gov/Archives/edgar/data/811212/000143774922007409/0001437749-22-007409-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-1100000,-500000,-800000,-700000,-1500000,-300000,- -,-100000,-600000,-4800000,-9600000,-6100000,-5818000,-6153000,-5038000,-5603000,-4777000,-8220000,-6142000,-6776000,-9181000,-8550000,-5193000,-2567000,-4986000,-3086000,-8631000,-14852000,-18588000,-29095000,-39716000,-9497000,-16351000,-11379000
74,Depreciation and Amortization,- -,- -,100000,100000,200000,300000,200000,200000,100000,200000,200000,300000,500000,600000,677000,485000,434000,266000,302000,367000,117000,549000,543000,474000,492000,466000,604000,538000,993000,1351000,1168000,830000,670000,805000,742000,633000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-403000,- -,- -,-673000,-4730000,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,479000,518000,960000,791000,563000,679000,1247000,742000,1461000,652000,614000,880000,2560000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,3600000,2800000,-2700000,1400000,-487000,2485000,2533000,495000,9672000,-6713000,29257000,-4583000,-7773000,-9102000,-4297000,2389000,-4942000,-2909000,7822000,-13642000,1996000,-643000,-668000,-3729000,915000,5979000,-539000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1741000,-1797000,2132000,-655000,-340000,515000,-459000,1956000,-522000,1045000,301000,-90000,703000
79,Inventory,- -,- -,- -,- -,- -,- -,-100000,-300000,100000,-500000,-1100000,-400000,-100000,-400000,442000,432000,-1044000,185000,16000,-970000,336000,-2307000,-200000,-102000,34000,-1338000,120000,795000,-1279000,416000,375000,615000,61000,610000,-6582000,864000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2405000,602000,-592000,696000,619000,-295000,1410000,-2420000,-1062000,214000,-966000,-76000,-74000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,3600000,6400000,3700000,5100000,4613000,7098000,9631000,10126000,19798000,13085000,42342000,37759000,29986000,20884000,16587000,18976000,14034000,11125000,18947000,5305000,7301000,6658000,5990000,2261000,3176000,9155000,8616000
82,Other Non-Cash Items,- -,- -,1000000,400000,600000,200000,100000,-600000,- -,-3600000,-4100000,2500000,-300000,-513000,-1656000,-1159000,-1350000,-10048000,6710000,-29335000,7610000,6238000,9289000,3137000,-2634000,3991000,2615000,-8919000,13168000,-391000,7696000,20930000,39870000,3903000,-5643000,2105000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,-200000,-1200000,-700000,100000,100000,-1700000,-4700000,-8000000,-6500000,-4312000,-4294000,-5459000,-5713000,-4478000,-7931000,-2998000,-7762000,-8451000,-8757000,-4428000,-2092000,-3885000,-3082000,-7836000,-10649000,-9625000,-7215000,-6983000,-3260000,-14393000,-6620000
84,CAPEX,- -,- -,- -,- -,- -,-100000,- -,- -,- -,-100000,-200000,-900000,-400000,-100000,-145000,-235000,-175000,-92000,-849000,-232000,-565000,-621000,-514000,-1047000,-470000,-266000,-545000,-391000,-402000,-587000,-710000,-375000,-1238000,-182000,-23000,-93000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2535000,351000,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1740000,-1822000,-2013000,- -,- -,- -,-35192000,-51420000,-44336000,-25957000,-6741000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1740000,1822000,2013000,- -,- -,- -,60500000,52000000,38045000,15719000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
