,https://roic.ai/company/LEN,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,210400000,199500000,294300000,339900000,397800000,27000000,24600000,31000000,38100000,18700000,20800000,24400000,24900000,53400000,85300000,108686000,75831000,85958000,111488000,141722000,187257000,193307000,173202000,129752000,120093000,93926000,95256000,127338000,146060000,177161000,216244000,232562000,285889000,343934000,341114000,358418000,398381000
11,COGS and Expenses,210400000,199500000,294300000,339900000,397800000,329700000,292700000,376400000,584900000,690700000,735700000,1005800000,1163200000,2129200000,2784200000,4232732000,5230375000,6298526000,7804365000,9135026000,11822668000,15364691000,12812688000,5015002000,3579599000,2949655000,2991451000,3782530000,5249259000,6857774000,8387992000,9687636000,11307370000,18581380000,19798380000,19373164000,21992418000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28912000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,70850000,70425000,90650000,94353000,93913000,36551000,12454000,4626000,7164000,11258000,17620000,22401000,- -
14,Depreciation and Amortization,- -,- -,- -,- -,- -,6500000,7300000,10600000,10000000,8400000,10300000,12000000,9000000,24400000,47700000,58531000,68670000,72389000,75911000,73286000,79558000,50011000,56764000,32399000,19905000,13520000,21500000,28081000,30349000,38542000,43666000,50219000,66324000,91181000,92200000,94553000,85954000
15,EBITDA,21700000,23200000,37100000,40600000,42600000,27600000,40300000,55900000,92000000,121200000,125700000,156300000,128500000,264500000,333200000,434166000,748093000,948098000,1282965000,1592353000,2249997000,992660000,-3024317000,-529129000,-640737000,153472000,189779000,366340000,780951000,1055100000,1249430000,1384067000,1301825000,2343441000,2551045000,3238225000,5878574000
16,EBITDA ratio,0.0935,0.1042,0.1119,0.1067,0.0968,0.0787,0.1237,0.1302,0.1380,0.1482,0.1444,0.1323,0.0986,0.1094,0.1068,0.0922,0.1241,0.1295,0.1440,0.1516,0.1623,0.0610,-0.2969,-0.1156,-0.2054,0.0499,0.0613,0.0892,0.1316,0.1356,0.1319,0.1264,0.1029,0.1139,0.1146,0.1440,0.2167
17,Operating Income,21600000,23100000,37100000,40600000,42500000,21200000,33000000,53000000,82000000,127200000,134800000,175400000,139900000,287700000,334300000,474236000,798926000,1021276000,1103254000,1369873000,2044303000,901971000,-2625907000,-439585000,-460212000,124367000,103934000,322176000,685836000,922038000,1086016000,1262363000,1475500000,1990251000,2461181000,3115690000,5138258000
18,Operating Income ratio,0.0931,0.1038,0.1119,0.1067,0.0965,0.0604,0.1013,0.1234,0.1230,0.1555,0.1549,0.1485,0.1074,0.1190,0.1072,0.1008,0.1325,0.1395,0.1239,0.1304,0.1474,0.0554,-0.2578,-0.0961,-0.1475,0.0405,0.0336,0.0785,0.1156,0.1185,0.1146,0.1153,0.1167,0.0967,0.1106,0.1385,0.1894
19,Total Other Income Expenses (Gains),100000,100000,- -,- -,100000,-100000,- -,-7700000,- -,-15400000,-19400000,-31100000,-54200000,-47600000,-48800000,-98601000,-119503000,-145567000,103800000,149194000,115391000,40678000,-455174000,-121943000,-271280000,-29642000,-5960000,-100062000,-3895000,47746000,123600000,68106000,-285889000,272433000,-26889000,8098000,680800000
20,Income Before Tax,21700000,23200000,37100000,40600000,42600000,21100000,33000000,45300000,82000000,111800000,115400000,144300000,85700000,240100000,285500000,375635000,679423000,875709000,1207054000,1519067000,2159694000,942649000,-3081081000,-561528000,-731492000,94725000,97974000,222114000,681941000,969784000,1209616000,1330469000,1189611000,2262684000,2434292000,3123788000,5819058000
21,Income Before Tax Ratio,0.0935,0.1042,0.1119,0.1067,0.0968,0.0601,0.1013,0.1055,0.1230,0.1367,0.1326,0.1222,0.0658,0.0993,0.0916,0.0798,0.1127,0.1196,0.1355,0.1446,0.1557,0.0579,-0.3025,-0.1227,-0.2345,0.0308,0.0317,0.0541,0.1149,0.1247,0.1277,0.1215,0.0941,0.1100,0.1094,0.1389,0.2145
22,Income Tax expense (Gain),10000000,10700000,14100000,13000000,14500000,7400000,11900000,16200000,29500000,43600000,45000000,56300000,35100000,96000000,112800000,146498000,261578000,330580000,455663000,573448000,815284000,348780000,-1140000000,547557000,-314345000,-25734000,-14570000,-435218000,177015000,341091000,390416000,417378000,417857000,545171000,592173000,656235000,1362509000
23,Net Income,11700000,12500000,23000000,27600000,28100000,13700000,21100000,29100000,52500000,69200000,70400000,88000000,84400000,144100000,172700000,229137000,417845000,545129000,751391000,945619000,1355155000,593869000,-1941081000,-1109085000,-417147000,95261000,92199000,679124000,479674000,638916000,802894000,911844000,810480000,1695831000,1849052000,2465036000,4430111000
24,Net Income ratio,0.0504,0.0562,0.0694,0.0725,0.0638,0.0390,0.0648,0.0678,0.0787,0.0846,0.0809,0.0745,0.0648,0.0596,0.0554,0.0487,0.0693,0.0745,0.0844,0.0900,0.0977,0.0365,-0.1905,-0.2424,-0.1337,0.0310,0.0298,0.1655,0.0808,0.0821,0.0847,0.0833,0.0641,0.0824,0.0831,0.1096,0.1633
25,EPS,0.21,0.24,0.41,0.46,0.46,0.22,0.34,0.47,0.74,0.94,0.96,1.19,1.09,1.27,1.32,1.78,2.97,3.81,5.00,5.97,8.55,3.69,-12.07,-6.86,-2.40,0.50,0.48,3.51,2.43,3.06,3.79,4.05,3.38,5.46,5.76,7.88,16.37
26,EPS Diluted,0.21,0.24,0.41,0.46,0.46,0.22,0.34,0.47,0.74,0.94,0.96,1.19,1.09,1.22,1.22,1.62,2.68,3.44,4.56,5.59,8.07,3.62,-12.07,-6.86,-2.40,0.50,0.47,3.05,2.11,2.75,3.39,3.85,3.38,5.44,5.74,7.85,16.37
27,Weighted Average Shares Outstanding,55506977,53125000,56530120,60541935,61200000,62106667,61491429,62488421,70927152,73525000,73649231,73876543,77208969,113499614,130484444,128545857,140787414,143072453,150278200,158379537,158515837,161102761,160836931,161609529,188593920,186619200,188231820,190395240,194282460,206253180,209292780,222789420,237155000,307968000,318419000,309406000,307296000
28,Weighted Average Shares Outstanding Diluted,55506977,53125000,56530120,60541935,61200000,62106667,61491429,62488421,70927152,73525000,73649231,73876543,77208969,118057831,141437518,141259184,156014007,158454595,164821252,169216032,167953597,164158911,160836931,161609529,188593920,192634140,199088700,223068900,230438400,232804800,235428240,235326240,237156000,308565000,318422000,309407000,307296000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/920760/000119312504032317/d10k.htm,https://www.sec.gov/Archives/edgar/data/920760/000119312505027428/d10k.htm,- -,https://www.sec.gov/Archives/edgar/data/920760/000119312507024341/d10k.htm,https://www.sec.gov/Archives/edgar/data/920760/000119312508014540/d10k.htm,https://www.sec.gov/Archives/edgar/data/920760/000119312509011559/0001193125-09-011559-index.html,https://www.sec.gov/Archives/edgar/data/920760/000119312510017215/0001193125-10-017215-index.html,https://www.sec.gov/Archives/edgar/data/920760/000119312511018957/0001193125-11-018957-index.html,https://www.sec.gov/Archives/edgar/data/920760/000119312512029792/0001193125-12-029792-index.html,https://www.sec.gov/Archives/edgar/data/920760/000144530513000116/0001445305-13-000116-index.html,https://www.sec.gov/Archives/edgar/data/920760/000144530514000129/len-20131130x10k.htm,https://www.sec.gov/Archives/edgar/data/920760/000162828015000218/len-20141130x10k.htm,https://www.sec.gov/Archives/edgar/data/920760/000162828016010323/0001628280-16-010323-index.html,https://www.sec.gov/Archives/edgar/data/920760/000162828017000327/0001628280-17-000327-index.html,https://www.sec.gov/Archives/edgar/data/920760/000162828018000562/0001628280-18-000562-index.html,https://www.sec.gov/Archives/edgar/data/920760/000162828019000598/0001628280-19-000598-index.html,https://www.sec.gov/Archives/edgar/data/920760/000162828020000559/0001628280-20-000559-index.html,https://www.sec.gov/Archives/edgar/data/920760/000162828021000722/0001628280-21-000722-index.htm,https://www.sec.gov/Archives/edgar/data/920760/000162828022001450/0001628280-22-001450-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26500000,52900000,61600000,118200000,287627000,824013000,731163000,1201276000,1322472000,909557000,778319000,795194000,1091468000,1457438000,1394135000,1163604000,1310743000,970505000,1281814000,1158445000,1329529000,2650872000,1558458000,1445996000,2863038000,2921744000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42827000,53570000,57439000,4161000,3732000,53497000,41654000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26500000,52900000,61600000,118200000,287627000,824013000,731163000,1201276000,1322472000,909557000,778319000,795194000,1091468000,1457438000,1394135000,1163604000,1310743000,970505000,1281814000,1201272000,1383099000,2708311000,1562619000,1449728000,2916535000,2963398000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62300000,34600000,23800000,11200000,42270000,24345000,48432000,60392000,153285000,299232000,792047000,488217000,349980000,580448000,218874000,274523000,662510000,569383000,528180000,637120000,891559000,522530000,1041839000,829971000,938079000,1296848000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,699800000,807000000,1198600000,1274600000,2301584000,2416541000,3237577000,3656101000,5142070000,7863531000,7831483000,4500403000,4500090000,4087989000,4169608000,4360535000,5071713000,6611548000,7742108000,8746104000,9178926000,10860890000,17068704000,18093647000,17175148000,19169397000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-26800000,-100000,- -,553997000,- -,- -,- -,22681000,24796000,35429000,8828000,34871000,130714000,244295000,747199000,507485000,917425000,1202054000,1099317000,1216746000,1251407000,1715840000,1559797000,1670290000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,788600000,894500000,1257200000,1403900000,2631481000,3818896000,4017172000,4917769000,6617827000,9095001000,9426645000,5819243000,5950366000,6160746000,5913331000,6042957000,7792165000,8658921000,10469527000,11786550000,12552901000,15308477000,20924569000,22089186000,22589559000,25099933000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,221300000,8600000,14600000,5900000,18585000,- -,- -,- -,- -,- -,42877000,23918000,- -,152032000,195065000,319245000,313621000,181423000,158904000,116178000,173614000,215068000,319861000,279527000,411518000,339906000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,257843000,61222000,- -,34046000,34046000,34046000,34046000,34046000,38854000,38854000,39838000,196404000,3680047000,3657875000,3632058000,3632058000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20100000,- -,- -,- -,- -,- -,195156000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20100000,- -,- -,- -,- -,- -,195156000,257843000,61222000,- -,34046000,34046000,34046000,34046000,34046000,38854000,38854000,39838000,196404000,3680047000,3657875000,3632058000,3632058000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,636783000,735644000,743594000,761406000,1006523000,1010143000,1314093000,1519278000,1849910000,2095096000,2292186000,2370548000,3248034000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,741598000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,756100000,440200000,646000000,627700000,1127848000,895530000,1738461000,1857663000,2547453000,3251068000,2680901000,2456766000,1474532000,331184000,1909765000,2014829000,1460968000,1392334000,1280839000,1163834000,1076150000,1175175000,1546608000,1040737000,931494000,887847000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,977400000,448800000,660600000,653700000,1146433000,895530000,1738461000,1857663000,2547453000,3446224000,2981621000,3283504000,1474532000,1154045000,2874520000,3111714000,2570041000,2614326000,2488740000,2632959000,2808880000,3436557000,7641612000,7270325000,7345618000,8107845000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1766000000,1343300000,1917800000,2057600000,3777914000,4714426000,5755633000,6775432000,9165280000,12541225000,12408266000,9102747000,7424898000,7314791000,8787851000,9154671000,10362206000,11273247000,12958267000,14419509000,15361781000,18745034000,28566181000,29359511000,29935177000,33207778000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,186700000,198400000,322300000,333500000,778238000,755726000,969779000,1040961000,1830047000,876830000,751496000,376134000,246727000,169596000,168006000,201101000,220690000,288883000,460793000,538852000,596519000,754668000,1325398000,1069179000,1037338000,1321247000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,280976000,217557000,271678000,762463000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26100000,22600000,33400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,518359000,384233000,326200000,268159000,395026000,49036000,55438000,110006000,380720000,175590000,260266000,- -,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,212800000,221000000,355700000,333500000,778238000,755726000,969779000,1040961000,1830047000,876830000,751496000,376134000,527703000,905512000,823917000,1289764000,488849000,683909000,509829000,594290000,706525000,1135388000,1500988000,1329445000,1037338000,1321247000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,509700000,574800000,565500000,776700000,1254650000,1505255000,1585309000,1552217000,2021014000,2592772000,3762734000,2836873000,2263959000,2761352000,3880456000,3775971000,5037525000,5079464000,6017602000,6655158000,6275540000,7972515000,10117058000,9573696000,7421583000,6378364000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,348000000,108500000,280900000,65900000,516446000,794183000,971388000,918480000,1261247000,3741969000,2137271000,2039093000,1844483000,1059913000,889095000,785411000,834624000,882404000,1179534000,1219989000,1168149000,1650999000,2265178000,2422540000,3376855000,4511885000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,857700000,683300000,846400000,842600000,1771096000,2299438000,2556697000,2470697000,3282261000,6334741000,5900005000,4875966000,4108442000,3821265000,4769551000,4561382000,5872149000,5961868000,7197136000,7875147000,7443689000,9623514000,12382236000,11996236000,10798438000,10890249000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1070500000,904300000,1202100000,1176100000,2549334000,3055164000,3526476000,3511658000,5112308000,7211571000,6651501000,5252100000,4636145000,4726777000,5593468000,5851146000,6360998000,6645777000,7706965000,8469437000,8150214000,10758902000,13883224000,13325681000,11835776000,12211496000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5800000,7258000,7386000,7476000,15784000,15632000,16303000,16976000,17227000,17346000,19811000,19998000,20208000,20538000,21781000,20722000,21364000,23707000,24312000,33443000,33656000,33838000,33994000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,512300000,44900000,186200000,356100000,582299000,996998000,1538945000,1914963000,2780637000,4046563000,4539137000,2496933000,1273159000,828424000,894108000,956401000,1605131000,2053893000,2660034000,3429736000,4306256000,4840978000,6487650000,8295001000,10564994000,14685329000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-41500000,-6300000,-11300000,-14000000,-30556000,- -,-31774000,-25277000,-17139000,-44653000,-2041000,-2061000,- -,-52954000,-57860000,-76795000,-78990000,-83792000,-87931000,39000,-309000,1034000,-366000,498000,-805000,-1341000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,224700000,400400000,540800000,533600000,669579000,654878000,714510000,1358304000,1273842000,- -,1147300000,1310020000,1332502000,1648198000,1752703000,1796654000,1868085000,2177019000,2234195000,2197805000,2696388000,3005993000,8060808000,7620362000,7396829000,6098443000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,695500000,439000000,715700000,881500000,1228580000,1659262000,2229157000,3263774000,4052972000,5251411000,5701372000,3822119000,2623007000,2443479000,2608949000,2696468000,3414764000,4168901000,4827020000,5648944000,7026042000,7872317000,14581535000,15949517000,17994856000,20816425000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1766000000,1343300000,1917800000,2057600000,3777914000,4714426000,5755633000,6775432000,9165280000,12462982000,12352873000,9074219000,7259152000,7170256000,8202417000,8547614000,9775762000,10814678000,12533985000,14118381000,15176256000,18631219000,28464759000,29275198000,29830632000,33027921000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,78243000,55393000,28528000,165746000,144535000,585434000,607057000,586444000,458569000,424282000,301128000,185525000,113815000,101422000,84313000,104545000,179857000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1766000000,1343300000,1917800000,2057600000,3777914000,4714426000,5755633000,6775432000,9165280000,12541225000,12408266000,9102747000,7424898000,7314791000,8787851000,9154671000,10362206000,11273247000,12958267000,14419509000,15361781000,18745034000,28566181000,29359511000,29935177000,33207778000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/920760/000119312504032317/d10k.htm,https://www.sec.gov/Archives/edgar/data/920760/000119312505027428/d10k.htm,- -,https://www.sec.gov/Archives/edgar/data/920760/000119312507024341/d10k.htm,https://www.sec.gov/Archives/edgar/data/920760/000119312508014540/d10k.htm,https://www.sec.gov/Archives/edgar/data/920760/000119312509011559/0001193125-09-011559-index.html,https://www.sec.gov/Archives/edgar/data/920760/000119312510017215/0001193125-10-017215-index.html,https://www.sec.gov/Archives/edgar/data/920760/000119312511018957/0001193125-11-018957-index.html,https://www.sec.gov/Archives/edgar/data/920760/000119312512029792/0001193125-12-029792-index.html,https://www.sec.gov/Archives/edgar/data/920760/000144530513000116/0001445305-13-000116-index.html,https://www.sec.gov/Archives/edgar/data/920760/000144530514000129/len-20131130x10k.htm,https://www.sec.gov/Archives/edgar/data/920760/000162828015000218/len-20141130x10k.htm,https://www.sec.gov/Archives/edgar/data/920760/000162828016010323/0001628280-16-010323-index.html,https://www.sec.gov/Archives/edgar/data/920760/000162828017000327/0001628280-17-000327-index.html,https://www.sec.gov/Archives/edgar/data/920760/000162828018000562/0001628280-18-000562-index.html,https://www.sec.gov/Archives/edgar/data/920760/000162828019000598/0001628280-19-000598-index.html,https://www.sec.gov/Archives/edgar/data/920760/000162828020000559/0001628280-20-000559-index.html,https://www.sec.gov/Archives/edgar/data/920760/000162828021000722/0001628280-21-000722-index.htm,https://www.sec.gov/Archives/edgar/data/920760/000162828022001450/0001628280-22-001450-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,28100000,13700000,21100000,29100000,52500000,69200000,70400000,88000000,84400000,144100000,172700000,229137000,417845000,545129000,751391000,945619000,1355155000,593869000,-1941081000,-1109085000,-417147000,95261000,92199000,679124000,479674000,638916000,802894000,911844000,810480000,1695831000,1849052000,2465036000,4430111000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,6500000,7300000,10600000,10000000,8400000,10300000,12000000,9000000,24400000,47700000,58531000,68670000,72389000,75911000,73286000,79558000,50011000,56764000,32399000,19905000,13520000,21500000,28081000,30349000,38542000,43666000,50219000,66324000,91181000,92200000,94553000,85954000
75,Deferred Income Tax,- -,- -,- -,- -,-4600000,-7400000,-5000000,-5200000,-2300000,-9300000,-8200000,-16100000,-30100000,12500000,28100000,-17223000,9769000,-5672000,-51143000,81539000,10220000,-198005000,-438817000,772508000,- -,- -,- -,-467561000,151619000,75324000,-5637000,97485000,91050000,268037000,235493000,92082000,191627000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30392000,28075000,24047000,31745000,33689000,40718000,43873000,55516000,61356000,72655000,86940000,107131000,134621000
77,Change in Working Capital,- -,- -,- -,- -,1500000,- -,- -,- -,- -,- -,- -,575800000,97700000,228000000,168900000,782843000,1209927000,-15777000,829415000,910972000,3430391000,456978000,-3232040000,-20446000,-167429000,-165820000,-336221000,2550123000,671696000,1984686000,1232562000,654116000,2326713000,5250492000,1336160000,792480000,2226465000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,14800000,13200000,-54500000,-87400000,-34300000,-35600000,-62000000,-107000000,-112300000,-77400000,223255000,-130725000,-242330000,-267234000,-870194000,-1687491000,-371268000,666228000,292264000,428964000,-115247000,-38903000,-563051000,-1627136000,-1367415000,-1126907000,-503527000,-661494000,-135870000,-623644000,781362000,-1960614000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-95896000,-120862000,-106841000,28129000,164571000,326087000,225790000,21432000,356669000,412796000,-14639000,266488000,881309000
