,https://roic.ai/company/MATW,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/63296/000006329695000049/0000063296-95-000049-index.html,https://www.sec.gov/Archives/edgar/data/63296/000006329696000026/0000063296-96-000026-index.html,https://www.sec.gov/Archives/edgar/data/63296/000006329697000014/0000063296-97-000014-index.html,https://www.sec.gov/Archives/edgar/data/63296/000006329698000018/0000063296-98-000018-index.html,https://www.sec.gov/Archives/edgar/data/63296/000006329699000019/0000063296-99-000019-index.html,https://www.sec.gov/Archives/edgar/data/63296/000006329600000011/0000063296-00-000011-index.html,https://www.sec.gov/Archives/edgar/data/63296/000006329601500018/0000063296-01-500018-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/63296/000006329605000071/form10k-2005.htm,https://www.sec.gov/Archives/edgar/data/63296/000006329606000066/form10k-2006.htm,https://www.sec.gov/Archives/edgar/data/63296/000006329607000061/0000063296-07-000061-index.html,https://www.sec.gov/Archives/edgar/data/63296/000006329608000081/0000063296-08-000081-index.html,https://www.sec.gov/Archives/edgar/data/63296/000006329609000056/0000063296-09-000056-index.html,https://www.sec.gov/Archives/edgar/data/63296/000006329610000079/0000063296-10-000079-index.html,https://www.sec.gov/Archives/edgar/data/63296/000006329611000076/0000063296-11-000076-index.html,https://www.sec.gov/Archives/edgar/data/63296/000006329612000053/0000063296-12-000053-index.html,https://www.sec.gov/Archives/edgar/data/63296/000006329613000102/0000063296-13-000102-index.html,https://www.sec.gov/Archives/edgar/data/63296/000006329614000145/0000063296-14-000145-index.html,https://www.sec.gov/Archives/edgar/data/63296/000006329615000097/0000063296-15-000097-index.html,https://www.sec.gov/Archives/edgar/data/63296/000006329616000200/0000063296-16-000200-index.html,https://www.sec.gov/Archives/edgar/data/63296/000006329617000098/0000063296-17-000098-index.html,https://www.sec.gov/Archives/edgar/data/63296/000006329618000124/0000063296-18-000124-index.html,https://www.sec.gov/Archives/edgar/data/63296/000006329619000119/0000063296-19-000119-index.html,https://www.sec.gov/Archives/edgar/data/63296/000006329620000098/0000063296-20-000098-index.htm,https://www.sec.gov/Archives/edgar/data/63296/000006329621000107/0000063296-21-000107-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,24300000,39200000,12400000,20000000,25400000,31500000,29150118,28691000,57101000,66954000,65830000,39555000,29720000,44002000,50667000,57732000,59715000,60271000,58259000,57986000,75604000,72196000,55711000,57515000,41572000,35302000,41334000,49176000
32,Short-Term Investments,- -,- -,- -,- -,- -,100000,1321226,240000,4565000,4588000,858000,67000,92000,105000,62000,62000,1395000,1391000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,24300000,39200000,12400000,20000000,25400000,31600000,30471344,28931000,61666000,71542000,66688000,39622000,29812000,44107000,50729000,57794000,61110000,61662000,58259000,57986000,75604000,72196000,55711000,57515000,41572000,35302000,41334000,49176000
34,Net Receivables,27100000,28500000,26200000,30100000,32900000,45900000,44818961,52086000,66239000,62883000,87490000,115362000,121750000,120882000,145288000,138927000,151038000,164738000,174632000,188405000,282730000,283963000,294915000,319566000,331463000,318756000,295185000,309818000
35,Inventory,9800000,10300000,12000000,11800000,16800000,16400000,16849446,18773000,24403000,27065000,42536000,71333000,85415000,93834000,96388000,94455000,107926000,125567000,130690000,130768000,152842000,171423000,162472000,171445000,180451000,180274000,175100000,189088000
36,Other Current Assets,1400000,1200000,5200000,5200000,2100000,3000000,2693039,2538000,3712000,4564000,5764000,5816000,5866000,7691000,10710000,14246000,15581000,17879000,21644000,28823000,62739000,97072000,61086000,46533000,62937000,49384000,63954000,76083000
37,Total Current Assets,62600000,79200000,55800000,67100000,77200000,96900000,94832790,102328000,156020000,166054000,202478000,232133000,242843000,266514000,303115000,305422000,335655000,369846000,385225000,405982000,573915000,624654000,574184000,595059000,616423000,583716000,575573000,624165000
38,PP&E,38200000,38000000,37300000,42500000,44700000,50700000,48467246,49009000,75143000,69633000,72714000,88867000,88099000,88926000,145738000,138060000,129750000,134504000,144049000,180731000,209315000,227408000,219492000,235533000,252775000,237442000,236788000,303969000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,144960000,- -,- -,- -,298125000,318298000,359641000,385219000,405180000,465003000,476181000,524551000,819467000,855728000,851489000,897794000,948894000,846807000,765388000,773787000
40,Intangible Assets,5800000,5400000,11400000,16500000,27000000,53200000,48712046,104585000,13410000,167752000,221296000,307069000,44965000,51306000,59910000,55001000,57942000,62825000,59015000,65102000,381862000,415000000,393841000,424382000,443910000,400650000,333498000,261542000
41,Intangible Assets,5800000,5400000,11400000,16500000,27000000,53200000,48712046,104585000,158370000,167752000,221296000,307069000,343090000,369604000,419551000,440220000,463122000,527828000,535196000,589653000,1201329000,1270728000,1245330000,1322176000,1392804000,1247457000,1098886000,1035329000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13389000,13642000,15105000,18842000,22288000,23130000,25517000,31365000,37667000,45430000,85501000,63250000,30438000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,5151000,18095000,6055000,9615000,17027000,24441000,23311000,17714000,32563000,30555000,33818000,32647000,1871000,4019000,938000,775000,2456000,1837000,5032000,3757000,3489000
44,Other Non-Current Assets,13000000,15600000,48900000,43100000,38300000,24900000,28653368,27879000,14973000,27247000,24439000,16971000,17617000,22714000,28164000,19999000,21101000,16354000,12083000,14402000,20027000,13773000,19895000,51758000,66216000,31455000,94379000,34688000
45,Total Non-Current Assets,57000000,59000000,97600000,102100000,110000000,128800000,125832660,186624000,266581000,270687000,328064000,429934000,473247000,504555000,611167000,644231000,658170000,727609000,742817000,808945000,1457820000,1538364000,1516857000,1649590000,1759062000,1606887000,1497060000,1407913000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,119600000,138200000,153400000,169200000,187200000,225700000,220665450,288952000,422601000,436741000,530542000,662067000,716090000,771069000,914282000,949653000,993825000,1097455000,1128042000,1214927000,2031735000,2163018000,2091041000,2244649000,2375485000,2190603000,2072633000,2032078000
48,Accounts Payable,4700000,5200000,6000000,5900000,6900000,9800000,10075166,12971000,19462000,19805000,26130000,43524000,26925000,22859000,26647000,28604000,36308000,46655000,44294000,45232000,72040000,68896000,58118000,66607000,70044000,74558000,82921000,112722000
49,Short-Term Debt,- -,400000,300000,900000,800000,7600000,3478218,5023000,6127000,6029000,17003000,28721000,28451000,27057000,35144000,14188000,12073000,18014000,21566000,22614000,15228000,11737000,27747000,29528000,31260000,42503000,26824000,29775000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4235000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15883000,13531000,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,16900000,17300000,18600000,29200000,36200000,44900000,33278758,48545000,61597000,50489000,68439000,73332000,81833000,73540000,99919000,89548000,99732000,97072000,99130000,102629000,166015000,168450000,173483000,188997000,202839000,162818000,207123000,211728000
53,Total Current Liabilities,21600000,22900000,24900000,36000000,43900000,62300000,46832142,66539000,87186000,76323000,111572000,145577000,137209000,123456000,161710000,132340000,148113000,161741000,180873000,184006000,253283000,249083000,259348000,285132000,304143000,279879000,316868000,354225000
54,Long-Term Debt,700000,300000,- -,2200000,1400000,14100000,13908448,40726000,96487000,57023000,54389000,118952000,120289000,142273000,219124000,237530000,225256000,299170000,298148000,351068000,714027000,891217000,844807000,881602000,929342000,898194000,807710000,816358000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4225000,7589000,9942000,11799000,10594000,13464000,15950000,17007000,18624000,20332000,129335000,144365000,107038000,139430000,121519000,102482000,78911000,97416000
57,Other Non-Current Liabilities,25900000,28200000,26000000,26800000,37600000,34700000,33069151,37971000,57553000,47167000,48106000,55588000,56225000,66763000,58008000,100304000,110778000,151444000,139482000,106591000,152197000,144307000,170514000,148226000,151767000,190812000,257711000,127676000
58,Total Non-Current Liabilities,26600000,28500000,26000000,29000000,39000000,48800000,46977599,78697000,154040000,104190000,106720000,182129000,186456000,220835000,287726000,351298000,351984000,467621000,456254000,477991000,995559000,1179889000,1122359000,1169258000,1202628000,1191488000,1144332000,1041450000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82423000
61,Total Liabilities,48200000,51400000,50900000,65000000,82900000,111100000,93809741,145236000,241226000,180513000,218292000,327706000,323665000,344291000,449436000,483638000,500097000,629362000,637127000,661997000,1248842000,1428972000,1381707000,1454390000,1506771000,1471367000,1461200000,1395675000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,18200000,18166996,36334000,36334000,36334000,36334000,36334000,36334000,36334000,36334000,36334000,36334000,36334000,36334000,36334000,36334000,36334000,36334000,36334000,36334000,36334000,36334000,36334000
64,Retained Earnings,67500000,80700000,98400000,115200000,131100000,152100000,174689060,184845000,216569000,257559000,308435000,362334000,410203000,467846000,511130000,559786000,621923000,681658000,727176000,775762000,806040000,843955000,896224000,948830000,1040378000,972594000,859002000,834208000
65,Other Comprehensive Income/Loss,-21800000,-24400000,-26200000,-29700000,-34200000,-39100000,-45640252,-46409000,-56163000,-70854000,-85222000,-1000000,4000000,13000000,-3000000,-30000000,-37000000,-59000000,-65000000,-27000000,-67000000,-150000000,-182000000,-154000000,-164000000,-228000000,-241000000,-192739000
66,Other Total Stockholders Equity,25700000,30500000,30300000,18700000,7400000,- -,- -,- -,- -,33189000,52703000,-63307000,-58112000,-90402000,-110509000,-131902000,-159312000,-194350000,-220689000,-235631000,3458000,531000,-41893000,-41457000,-44361000,-62822000,-43529000,-41255000
67,Total Stockholders Equity,71400000,86800000,102500000,104200000,104300000,114600000,126855709,143716000,181375000,256228000,312250000,334361000,392425000,426778000,433955000,434218000,461945000,464642000,477821000,549465000,778832000,730820000,708665000,789707000,868351000,718106000,610807000,636548000
68,Total Liabilities And Stockholders Equity,119600000,138200000,153400000,169200000,187200000,225700000,220665450,288952000,422601000,436741000,530542000,662067000,716090000,771069000,883391000,917856000,962042000,1094004000,1114948000,1211462000,2027674000,2159792000,2090372000,2244097000,2375122000,2189473000,2072007000,2032223000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30891000,31797000,31783000,3451000,13094000,3465000,4061000,3226000,669000,552000,363000,1130000,626000,-145000
70,Total Liabilities & Equity,119600000,138200000,153400000,169200000,187200000,225700000,220665450,288952000,422601000,436741000,530542000,662067000,716090000,771069000,914282000,949653000,993825000,1097455000,1128042000,1214927000,2031735000,2163018000,2091041000,2244649000,2375485000,2190603000,2072633000,2032078000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/63296/000006329695000049/0000063296-95-000049-index.html,https://www.sec.gov/Archives/edgar/data/63296/000006329696000026/0000063296-96-000026-index.html,https://www.sec.gov/Archives/edgar/data/63296/000006329697000014/0000063296-97-000014-index.html,https://www.sec.gov/Archives/edgar/data/63296/000006329698000018/0000063296-98-000018-index.html,https://www.sec.gov/Archives/edgar/data/63296/000006329699000019/0000063296-99-000019-index.html,https://www.sec.gov/Archives/edgar/data/63296/000006329600000011/0000063296-00-000011-index.html,https://www.sec.gov/Archives/edgar/data/63296/000006329601500018/0000063296-01-500018-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/63296/000006329605000071/form10k-2005.htm,https://www.sec.gov/Archives/edgar/data/63296/000006329606000066/form10k-2006.htm,https://www.sec.gov/Archives/edgar/data/63296/000006329607000061/0000063296-07-000061-index.html,https://www.sec.gov/Archives/edgar/data/63296/000006329608000081/0000063296-08-000081-index.html,https://www.sec.gov/Archives/edgar/data/63296/000006329609000056/0000063296-09-000056-index.html,https://www.sec.gov/Archives/edgar/data/63296/000006329610000079/0000063296-10-000079-index.html,https://www.sec.gov/Archives/edgar/data/63296/000006329611000076/0000063296-11-000076-index.html,https://www.sec.gov/Archives/edgar/data/63296/000006329612000053/0000063296-12-000053-index.html,https://www.sec.gov/Archives/edgar/data/63296/000006329613000102/0000063296-13-000102-index.html,https://www.sec.gov/Archives/edgar/data/63296/000006329614000145/0000063296-14-000145-index.html,https://www.sec.gov/Archives/edgar/data/63296/000006329615000097/0000063296-15-000097-index.html,https://www.sec.gov/Archives/edgar/data/63296/000006329616000200/0000063296-16-000200-index.html,https://www.sec.gov/Archives/edgar/data/63296/000006329617000098/0000063296-17-000098-index.html,https://www.sec.gov/Archives/edgar/data/63296/000006329618000124/0000063296-18-000124-index.html,https://www.sec.gov/Archives/edgar/data/63296/000006329619000119/0000063296-19-000119-index.html,https://www.sec.gov/Archives/edgar/data/63296/000006329620000098/0000063296-20-000098-index.htm,https://www.sec.gov/Archives/edgar/data/63296/000006329621000107/0000063296-21-000107-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,14000000,15500000,20300000,19600000,22500000,25000000,27922919,31599000,35006000,44893000,56195000,59824000,66444000,64726000,79484000,57732000,69057000,72372000,55843000,54888000,43674000,63449000,66749000,74368000,107371000,-37988000,-87155000,2910000
74,Depreciation and Amortization,4300000,4900000,7300000,6000000,8000000,10600000,12007360,12932000,13856000,14872000,15628000,19893000,21463000,20528000,24935000,30292000,27322000,27661000,28821000,37865000,42864000,62620000,65480000,67981000,76974000,90793000,119058000,133512000
75,Deferred Income Tax,-1100000,-1300000,-600000,100000,-2200000,600000,1040663,709000,5286000,5128000,1015000,1802000,-2150000,7826000,7270000,7506000,4299000,9481000,6050000,3812000,5893000,9188000,-3971000,9725000,-23125000,-6783000,-16607000,4158000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5822000,6567000,6972000,5472000,5562000,6812000,9097000,10612000,14562000,13460000,7729000,8096000,15581000
77,Change in Working Capital,900000,15300000,-25400000,200000,2200000,1300000,13400648,-12211648,33045000,20897000,1175000,-4350000,19078000,37424000,-1653000,31677000,14460000,20563000,-3753000,17624000,98656000,54939000,-60735000,-4909000,2353000,-8443000,-45132000,11751000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8828000,-7715000,-5560000,- -,-2586000,-13492000,7566000,-10632000,-7045000,-790000,8779000,24055000,-13423000
79,Inventory,100000,-400000,600000,2100000,500000,1100000,-574012,728000,- -,-2624000,- -,- -,-10860000,-2135000,9361000,4751000,-1613000,-13627000,- -,2870000,4429000,17001000,10453000,-2289000,-2869000,830000,5976000,-12839000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1444000,3681000,6210000,- -,-1205000,5720000,-9103000,-11083000,5672000,2516000,3715000,8363000,29621000
81,Other Working Capital,41000000,56300000,30900000,31100000,33300000,34600000,48000648,35789000,68834000,89731000,90906000,86556000,105634000,143058000,141405000,173082000,187542000,208105000,204352000,221976000,320632000,375571000,314836000,309927000,312280000,303837000,258705000,10791000
82,Other Non-Cash Items,2300000,-14200000,17600000,11600000,4300000,-11100000,-16405435,5371648,-31713000,-27304000,9259000,-3743000,-38755000,-55906000,-5492000,-42171000,-15218000,-41485000,-10310000,-10425000,-105500000,-58229000,62139000,-12428000,-29459000,85775000,202187000,-5101000
83,Cash Provided by Operating Activities,20400000,20200000,19200000,37500000,34800000,26400000,37966155,38400000,55480000,58486000,83272000,73426000,66080000,74598000,104544000,90858000,106487000,95564000,82123000,109326000,92399000,141064000,140274000,149299000,147574000,131083000,180447000,162811000
84,CAPEX,-3900000,-6000000,-5400000,-6200000,-23600000,-24100000,-7674088,-7264000,-10063000,-9280000,-10403000,-28066000,-19397000,-20649000,-12053000,-19410000,-21437000,-22440000,-33236000,-24924000,-29237000,-48251000,-41682000,-44935000,-43200000,-37688000,-34849000,-34313000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-109000000,-32000000,-24000000,-98000000,-11000000,-32000000,-84000000,-13000000,-74000000,-382000000,-203000000,-7000000,-98000000,-121000000,-3000000,- -,-15623000
86,Purchases of Investments,- -,- -,- -,- -,-1800000,-800000,-6967213,-12883000,-4771000,-185000,-15260000,-11758000,-232000,-4033000,-5118000,-2620000,-1616000,-1639000,-958000,- -,- -,- -,- -,-2211000,-11934000,-33074000,-9703000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,18600000,6300000,2052745,10553000,13730000,21000,15829000,9119000,15000,2919000,5537000,- -,926000,173000,- -,- -,- -,- -,- -,- -,9158000,- -,- -,34167000
88,Other Investing Activites,700000,3300000,-28800000,-1500000,1100000,600000,-11829876,-44903000,-85539000,-3883000,-73003000,747000,2836000,7075000,910000,-19068000,-21564000,-21346000,-31316000,-24631000,-29079000,-60166000,-40141000,-41406000,-38560000,-24685000,6985000,-31537000
89,Cash Used for Investing Activites,-3200000,-2700000,-34200000,-7700000,-5700000,-18000000,-24418432,-54497000,-86643000,-13327000,-82837000,-138958000,-48778000,-38688000,-108724000,-32688000,-54254000,-106812000,-45274000,-98631000,-411079000,-263166000,-47141000,-141617000,-162336000,-60759000,-2718000,-12993000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-69791000,-67307000,-48214000,-53056000,-83293000,-58431000,-100218000,-120380000,-388447000,-651166000,-519731000,-1281092000,-702395000
91,Common Stock Issued,600000,- -,400000,2800000,4000000,3100000,3302780,269000,6819000,12795000,10629000,5894000,2028000,16524000,19192000,1206000,1502000,1859000,267000,974000,7951000,4015000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-7500000,- -,-9200000,-17200000,-23100000,-15700000,-13224865,-12305000,-124000,-6623000,-14894000,-27933000,-17491000,-56526000,-43267000,-28762000,-35305000,-44567000,-31017000,-21622000,-9905000,-14567000,-57998000,-14025000,-21181000,-26127000,-4428000,-11858000
93,Dividends Paid,-900000,-2200000,-2600000,-2800000,-2800000,-2900000,-2978084,-3078000,-3282000,-3903000,-5319000,-11432000,-6552000,-7083000,-7437000,-10490000,-8922000,-9632000,-10325000,-11282000,-13396000,-17847000,-19413000,-21762000,-24637000,-25620000,-26437000,-27704000
94,Other Financing Activites,-4500000,-500000,-500000,-4500000,-1200000,13300000,-1458094,31110000,55123000,-43993000,6428000,75736000,-6751000,19979000,44630000,54239000,58543000,110957000,53160000,103427000,411841000,259832000,88943000,417057000,697885000,496436000,1139705000,619105000
95,Cash Used/Provided by Financing Activities,-12300000,-2700000,-11900000,-21700000,-23100000,-2200000,-14358263,15996000,58536000,-41724000,-3156000,42265000,-28766000,-27106000,13118000,-53598000,-51489000,10403000,-40971000,-11796000,338060000,131215000,-108848000,-7177000,901000,-75042000,-172252000,-122852000
96,Effect of Forex Changes on Cash,200000,100000,100000,-600000,-600000,-100000,-1571028,-358000,1037000,6418000,1597000,-3008000,1629000,5478000,-2273000,2493000,1239000,1401000,719000,828000,-2735000,80000,-770000,1299000,-2082000,-1552000,555000,43000
97,Net Change In Cash,- -,- -,- -,- -,- -,6100000,-2381568,-459000,28410000,9853000,-1124000,-26275000,-9835000,14282000,6665000,7065000,1983000,556000,-3403000,-273000,16645000,9193000,-16485000,1804000,-15943000,-6270000,6032000,27009000
