,https://roic.ai/company/OMC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,78600000,69300000,74500000,80800000,86300000,93500000,99400000,93400000,80200000,70500000,72500000,70800000,84000000
77,Change in Working Capital,- -,- -,- -,- -,38500000,- -,- -,- -,- -,-384700000,-11700000,-41700000,-152500000,-224500000,-481700000,38631000,-151794000,207505000,725945000,-172287000,-84100000,83600000,-73700000,-466300000,-104700000,465000000,-420500000,1035100000,-411000000,-245200000,-1368500000,950200000,296000000,-550400000,147100000,1461200000,-382000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,410900000,-292400000,-471400000,-218700000,244800000,-227100000,-1063600000,-376500000,-341600000,88300000,-156600000,141200000,- -
79,Inventory,- -,- -,- -,- -,-6800000,7200000,-1500000,-8300000,6700000,2400000,-22400000,-20500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59200000,113900000,-209700000,-53200000,4800000,-354500000,-24200000,-74700000,-89700000,5400000,-269300000,-99800000,293000000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10200000,455900000,262700000,127800000,143500000,161800000,1443700000,741900000,763200000,242900000,276300000,-428600000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-384700000,-396400000,-438100000,-590600000,-815100000,-1296800000,-1258169000,-1409963000,-1202458000,-476513000,-648800000,-732900000,-649300000,-723000000,-1189300000,-1294000000,-829000000,-1249500000,-214400000,-625400000,-870600000,-2239100000,-1288900000,-992900000,-1543300000,-1396200000,65000000,-317000000
82,Other Non-Cash Items,- -,- -,- -,- -,7100000,19700000,37700000,63500000,61100000,577900000,11100000,263800000,328200000,235000000,857200000,-95599000,166168000,-55169000,-568777000,447087000,-77800000,532500000,420000000,565000000,721900000,-127000000,435000000,-945600000,857800000,229800000,2056400000,-553900000,277200000,611800000,65800000,-975400000,524000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,124500000,111600000,143600000,181700000,209200000,339200000,226600000,494000000,533800000,471400000,901000000,685879000,775560000,1000601000,1054242000,1287600000,991200000,1741200000,1599300000,1394200000,1731600000,1488000000,1315300000,1451300000,1809000000,1476500000,2172300000,1931200000,2023900000,1722300000,1856000000,1724600000,1945000000
84,CAPEX,- -,- -,- -,- -,-283100000,-86300000,-32100000,-34900000,-33600000,-38500000,-49600000,-48800000,-76200000,-654200000,-821300000,-150289000,-149423000,-117198000,-141108000,-159700000,-162700000,-177600000,-223000000,-212200000,-130600000,-153700000,-185500000,-226300000,-212000000,-213000000,-202700000,-165500000,-156000000,-195700000,-102200000,-75400000,-665000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31400000,- -,- -,-137400000,-152100000,-403700000,-132700000,-32800000,-74900000,-60300000,-308800000,-26300000,-42000000,69400000,-63900000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-5400000,-49700000,-8200000,-14200000,-14800000,-112000000,-77100000,-58100000,-1088625000,-105916000,-15890000,-3580000,-1455700000,-1114500000,-586500000,-42000000,-13100000,-3200000,-5600000,-14200000,- -,- -,- -,- -,-7300000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,39800000,21300000,8300000,30500000,18000000,24100000,21500000,25800000,41800000,101700000,96900000,204340000,126306000,36303000,25905000,1172500000,1383500000,530400000,183300000,37500000,45200000,17700000,28800000,8600000,16600000,21000000,- -,- -,- -,15900000,1900000,3200000,2000000
88,Other Investing Activites,- -,- -,- -,- -,35200000,24800000,-109700000,-57700000,-80700000,-150100000,-103500000,-126000000,-328200000,78100000,14400000,- -,-818819000,-586349000,-410028000,-316000000,-268600000,13500000,-358800000,-492200000,- -,- -,- -,- -,- -,-213000000,-203200000,-165500000,-89100000,-195700000,-102200000,-75400000,-711000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-208100000,-40200000,-133500000,-67500000,-146000000,-172700000,-145800000,-163800000,-474600000,-551500000,-768100000,-1034574000,-947852000,-683134000,-528811000,-758900000,-162300000,-188800000,-440500000,-680000000,-226000000,-293700000,-574600000,-350400000,-228200000,-266900000,-263500000,-481600000,-115400000,-221800000,-30900000,-136100000,-709000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1315500000,-66500000,-43200000,- -,-406700000,-252700000,- -,-1000000000,- -,- -,-900000000,-600000000,-1250000000
91,Common Stock Issued,- -,- -,- -,- -,3700000,3800000,44300000,7600000,7500000,- -,5700000,11600000,27300000,222100000,102700000,50001000,65392000,- -,- -,- -,- -,297900000,100900000,86000000,18600000,123100000,117500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-8900000,-12800000,-17500000,-30100000,-51900000,-67500000,-34700000,-103100000,-69800000,-149300000,-286200000,-237082000,-60149000,-371664000,-25928000,-446500000,-731800000,-1344600000,-899700000,-846800000,-15000000,-1296000000,-849000000,-1136500000,-575300000,-1063000000,-727500000,-602200000,-568400000,-581300000,-610200000,-222000000,-527000000
93,Dividends Paid,- -,- -,- -,- -,-29900000,-33200000,-39200000,-41800000,-35500000,-41300000,-61500000,-78500000,-100800000,-128800000,-103900000,-262334000,-135676000,-148411000,-149323000,-163100000,-164000000,-175800000,-182800000,-192000000,-187100000,-229700000,-269100000,-397800000,-318400000,-468000000,-496700000,-505400000,-515200000,-548500000,-564300000,-562700000,-592000000
94,Other Financing Activites,- -,- -,- -,- -,121600000,-4200000,4300000,-42800000,93200000,-17600000,74400000,42200000,166800000,261900000,85700000,731550000,301234000,400286000,529840000,-40400000,-221000000,639000000,-59100000,-101000000,371000000,931800000,-161900000,1314200000,-119400000,525600000,-204900000,1130500000,-259000000,-311300000,852500000,976300000,978000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,86500000,-46400000,-8100000,-107100000,13300000,-126400000,-16100000,-127800000,23500000,205900000,-201700000,282135000,170801000,-119789000,354589000,-650000000,-1116800000,-583500000,-1040700000,-1053800000,-1128000000,-537300000,-1205700000,-220100000,-1419800000,-1258100000,-1429100000,-977100000,-1342600000,-1441100000,-1222000000,-408400000,-1391000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-600000,500000,-500000,-8300000,-14100000,13300000,7500000,-6200000,-36400000,-34200000,-3600000,6950000,-43175000,-2878000,-18261000,43400000,-41900000,-65200000,-64400000,-356300000,112100000,44700000,-42500000,16300000,-128800000,-273900000,-262600000,-75500000,227900000,-203000000,50200000,114700000,-128000000
97,Net Change In Cash,- -,- -,- -,- -,86500000,-46400000,-8100000,-107100000,13300000,53400000,72200000,-127800000,46200000,205900000,-72400000,-59610000,-44666000,194800000,861759000,-77900000,-329800000,903700000,53700000,-695900000,489700000,701700000,-507500000,897100000,32200000,-322400000,217100000,397000000,793800000,-143600000,653300000,1294800000,-284000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,228200000,314000000,- -,556500000,- -,576400000,516817000,472151000,666951000,1528710000,1165600000,835800000,1739500000,1793200000,1097300000,1587000000,2288700000,1781200000,2678300000,2710500000,2388100000,2605200000,3002200000,3796000000,3652400000,4305700000,5600500000,5316000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,84400000,86700000,112300000,113700000,112500000,174800000,241800000,314000000,510300000,556400000,648800000,576427000,516817000,472151000,666951000,1243500000,1165600000,835800000,1739500000,1793200000,1097300000,1587000000,2288700000,1781200000,2678300000,2710500000,2388100000,2605200000,3002200000,3796000000,3652400000,4305700000,5600000000
100,Free Cash Flow,- -,- -,- -,- -,-158600000,25300000,111500000,146800000,175600000,300700000,177000000,445200000,457600000,-182800000,79700000,535590000,626137000,883403000,913134000,1127900000,828500000,1563600000,1376300000,1182000000,1601000000,1334300000,1129800000,1225000000,1597000000,1263500000,1969600000,1765700000,1867900000,1526600000,1753800000,1649200000,1280000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/29989/000089109295000025/0000891092-95-000025-index.html,https://www.sec.gov/Archives/edgar/data/29989/000089109296000043/0000891092-96-000043-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/29989/000089109201000449/0000891092-01-000449-index.html,https://www.sec.gov/Archives/edgar/data/29989/000089109202000433/0000891092-02-000433-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/29989/000089109207000620/0000891092-07-000620-index.html,- -,https://www.sec.gov/Archives/edgar/data/29989/000089109209000891/0000891092-09-000891-index.htm,https://www.sec.gov/Archives/edgar/data/29989/000089109210000656/0000891092-10-000656-index.htm,https://www.sec.gov/Archives/edgar/data/29989/000089109211001226/0000891092-11-001226-index.htm,https://www.sec.gov/Archives/edgar/data/29989/000002998912000005/0000029989-12-000005-index.htm,https://www.sec.gov/Archives/edgar/data/29989/000002998913000004/0000029989-13-000004-index.htm,https://www.sec.gov/Archives/edgar/data/29989/000002998914000002/0000029989-14-000002-index.htm,https://www.sec.gov/Archives/edgar/data/29989/000002998915000003/0000029989-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/29989/000002998916000015/0000029989-16-000015-index.htm,https://www.sec.gov/Archives/edgar/data/29989/000002998917000004/0000029989-17-000004-index.htm,https://www.sec.gov/Archives/edgar/data/29989/000002998918000004/0000029989-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/29989/000002998919000007/0000029989-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/29989/000002998920000005/0000029989-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/29989/000002998921000004/0000029989-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/29989/000002998922000012/0000029989-22-000012-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
