,https://roic.ai/company/NTRS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16489000000,-18129000000,-19331000000,-22084000000,-24504000000,-25107000000,-32154000000,-35413000000,-34994000000,-36904000000,-40641000000,-46446000000,-53738000000,7761200000,10696600000,8955500000,-49592100000,-54354000000,-51046800000,-57169300000,-61355400000,-60915400000,-61241400000,-73854700000,-62478200000,14393800000,- -,-466500000
82,Other Non-Cash Items,- -,- -,- -,- -,98100000,-12000000,70100000,152900000,6500000,16630400000,1501900000,1292800000,2696400000,2548400000,578900000,6933400000,3343700000,-320700000,1742400000,3612500000,5819000000,6731600000,-61486500000,-3034600000,1432100000,58406700000,5050300000,-3549200000,5845400000,4011000000,215200000,606000000,12789100000,-11636800000,-76265400000,14564600000,191100000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,224000000,131300000,235500000,350000000,314900000,387700000,141800000,348000000,201100000,430900000,510500000,371100000,725500000,698700000,511400000,654000000,585100000,388500000,880700000,855300000,1014700000,790200000,1254300000,814400000,839300000,936000000,1834400000,1510000000,1720400000,1767500000,2592000000,1896800000,1356000000
84,CAPEX,- -,- -,- -,- -,-78000000,-86300000,-35700000,-56500000,-48900000,-44800000,-41800000,-56800000,-57500000,-84500000,-99900000,-137100000,-128300000,-110400000,-81900000,-49300000,-85900000,-238500000,-253500000,-308000000,-314200000,-311100000,-371100000,-312500000,-384900000,-409500000,-433500000,-473400000,-472800000,-506000000,-599800000,-560400000,-515100000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-32500000,-1500000,- -,-133300000,-4200000,-464900000,- -,- -,-8600000,- -,- -,-172600000,- -,- -,- -,- -,-16900000,-188500000,-104200000,-10500000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-6906000000,-4280300000,-3434600000,-3370500000,-4488800000,-13594200000,-31868400000,-34595700000,-77663400000,-111039600000,-46166200000,-41158300000,-68400700000,-29211600000,-20502400000,-17127500000,-60394300000,-87145500000,-55165700000,-24900300000,-14273900000,-15145600000,-33449700000,-23344900000,-13883500000,-19806700000,-19565800000,-23315100000,-21735200000,-34060000000,-26965300000,-51074700000,-68631100000
87,Sales/Maturities of Investments,- -,- -,- -,- -,7055100000,3447000000,2356400000,2700200000,3470300000,12474400000,32287200000,34724200000,76408500000,111502500000,46018200000,40958500000,66541300000,31619900000,18076100000,16891200000,54934800000,86098700000,58812600000,8456000000,12145100000,11861600000,23355800000,23404200000,14310300000,16384300000,15204400000,15343800000,20028200000,28995400000,27348100000,44406800000,64981600000
88,Other Investing Activites,- -,- -,- -,- -,-1107200000,-177400000,-194000000,-1330000000,-698700000,-791400000,-1002900000,-1735900000,-1745500000,-2254700000,-985300000,-6284200000,-1818100000,-1745300000,-20100000,-3241600000,1852700000,-4237000000,-11026600000,2208000000,582800000,1606500000,-5025000000,1641600000,-6018200000,-4708100000,-2440800000,-2092600000,-12034500000,9593500000,-3619300000,-23119300000,-14857600000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-958100000,-1010700000,-1272200000,-2000300000,-1717200000,-1911200000,-584100000,-1607400000,-3000400000,-1791800000,-1133300000,-6516500000,-3679000000,663000000,-2579700000,-3482100000,-4071700000,-5383200000,-7469200000,-14347200000,-1678600000,-1768000000,-15388400000,1627600000,-5683300000,-8212400000,-6900700000,-10192100000,-14021600000,4327100000,-3405000000,-29923000000,-18602600000
90,Debt Repayment,- -,- -,- -,- -,- -,-80000000,-2603600000,-1578200000,-206400000,-4466200000,-5980300000,-5697200000,-331700000,-867700000,-700200000,-14920700000,-4483900000,-4606000000,-4127400000,-848300000,-498800000,-1190600000,-2354800000,-867000000,-422400000,-918300000,-880700000,-923700000,-804400000,-640000000,-231000000,-6700000,-208700000,-314300000,- -,-508600000,-778800000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,834100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-127400000,-213000000,-68300000,-1586700000,-5900000,-79000000,-162400000,-309700000,-480700000,-496900000,-411100000,-523100000,-924300000,-1100200000,-699800000,-267600000
93,Dividends Paid,- -,- -,- -,- -,-28200000,-31700000,-35400000,-39500000,-45800000,-54100000,-65800000,-74700000,-85300000,-98500000,-111400000,-125800000,-142300000,-152800000,-150700000,-167000000,-183500000,-200500000,-219500000,-247700000,-306900000,-273200000,-273700000,-354300000,-220600000,-302900000,-348400000,-356400000,-406600000,-451800000,-576100000,-630500000,-625100000
94,Other Financing Activites,- -,- -,- -,- -,875300000,922500000,3802800000,3246600000,2102400000,5716600000,6604800000,7014900000,3662700000,2954200000,1046300000,21501800000,7884200000,3477000000,5270100000,4300000000,5112600000,8325000000,8247700000,13559100000,1903100000,2342500000,17037000000,-1632500000,5723000000,8497300000,9610400000,8311100000,12391100000,-4127800000,2292200000,29710800000,17745000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,847100000,810800000,1163800000,1628900000,1850200000,1196300000,558700000,1243000000,3245700000,1988000000,234700000,6455300000,3258000000,-1281800000,992000000,3284700000,4430300000,6806500000,5460400000,12376100000,421200000,1145100000,15803600000,-3072900000,4388300000,7073700000,8534100000,7536900000,11252700000,-5818200000,615900000,27871900000,16073500000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,153000000,88700000,-157600000,86300000,158900000,-172200000,68300000,-134600000,90900000,-73800000,58700000,234600000,-212900000,74700000,84600000,-159600000
97,Net Change In Cash,- -,- -,- -,- -,847100000,810800000,1163800000,1628900000,1850200000,1196300000,558700000,1243000000,3245700000,1988000000,-388100000,309900000,304500000,79900000,-1076300000,456600000,943700000,1964800000,-1039400000,-1273400000,-156400000,326200000,1497300000,-562600000,-590300000,-111800000,3394000000,-1086500000,-813900000,63500000,-122400000,-69700000,-1332700000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1977900000,2287800000,2592300000,2672200000,1595900000,2052500000,2996200000,4961000000,3921600000,2648200000,2491800000,2818000000,4315300000,3752700000,3162400000,3050600000,6444600000,5332000000,4518100000,4581600000,4459200000,4389500000,3056800000
99,Cash at the Beginning of Period,- -,- -,- -,- -,921700000,1034700000,966100000,1093200000,1071800000,1519700000,1192500000,1308900000,1292500000,1738900000,2366000000,1977900000,2287800000,2592300000,2672200000,1595900000,2052500000,2996200000,4961000000,3921600000,2648200000,2491800000,2818000000,4315300000,3752700000,3162400000,3050600000,6418500000,5332000000,4518100000,4581600000,4459200000,4389500000
100,Free Cash Flow,- -,- -,- -,- -,146000000,45000000,199800000,293500000,266000000,342900000,100000000,291200000,143600000,346400000,410600000,234000000,597200000,588300000,429500000,604700000,499200000,150000000,627200000,547300000,700500000,479100000,883200000,501900000,454400000,526500000,1400900000,1036600000,1247600000,1261500000,1992200000,1336400000,840900000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/73124/000095013197001800/0000950131-97-001800-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/73124/000095013101500146/0000950131-01-500146-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/73124/000119312504040148/d10k.htm,https://www.sec.gov/Archives/edgar/data/73124/000119312505049470/d10k.htm,https://www.sec.gov/Archives/edgar/data/73124/000119312506052049/d10k.htm,https://www.sec.gov/Archives/edgar/data/73124/000119312507042778/d10k.htm,https://www.sec.gov/Archives/edgar/data/73124/000119312508041690/d10k.htm,https://www.sec.gov/Archives/edgar/data/73124/000119312509040606/0001193125-09-040606-index.html,https://www.sec.gov/Archives/edgar/data/73124/000119312510042685/0001193125-10-042685-index.html,https://www.sec.gov/Archives/edgar/data/73124/000119312511047592/d10k.htm,https://www.sec.gov/Archives/edgar/data/73124/000119312512078391/0001193125-12-078391-index.html,https://www.sec.gov/Archives/edgar/data/73124/000119312513076407/0001193125-13-076407-index.html,https://www.sec.gov/Archives/edgar/data/73124/000119312514069870/d619551d10k.htm,https://www.sec.gov/Archives/edgar/data/73124/000119312515065963/d802907d10k.htm,https://www.sec.gov/Archives/edgar/data/73124/000007312416000324/0000073124-16-000324-index.html,https://www.sec.gov/Archives/edgar/data/73124/000007312417000117/0000073124-17-000117-index.html,https://www.sec.gov/Archives/edgar/data/73124/000007312418000141/0000073124-18-000141-index.html,https://www.sec.gov/Archives/edgar/data/73124/000007312419000088/0000073124-19-000088-index.html,https://www.sec.gov/Archives/edgar/data/73124/000007312420000101/0000073124-20-000101-index.html,https://www.sec.gov/Archives/edgar/data/73124/000007312421000071/0000073124-21-000071-index.htm,https://www.sec.gov/Archives/edgar/data/73124/000007312422000071/0000073124-22-000071-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
