,https://roic.ai/company/TRMB,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,- -,0.0179,0.0348,0.0464,-0.1983,0.0227,0.0569,0.0480,-0.0484,- -,0.0349,0.0796,0.0384,-0.0482,- -,0.0221,0.1012,0.1096,0.1103,0.0960,- -,0.1065,0.0801,0.0917,0.0937,- -,0.0957,0.0894,0.0561,0.0447,0.0910,- -,0.1576,0.1347
25,EPS,- -,0.01,0.02,0.07,-0.25,0.03,0.09,0.09,-0.09,- -,0.07,0.16,0.10,-0.15,- -,0.06,0.33,0.40,0.47,0.49,- -,0.58,0.43,0.61,0.76,- -,0.85,0.82,0.53,0.48,1.13,- -,2.05,1.97
26,EPS Diluted,- -,0.01,0.02,0.07,-0.25,0.03,0.09,0.09,-0.09,- -,0.07,0.16,0.09,-0.15,- -,0.06,0.31,0.37,0.45,0.47,- -,0.57,0.42,0.60,0.74,- -,0.84,0.81,0.52,0.47,1.12,- -,2.03,1.95
27,Weighted Average Shares Outstanding,59970015,59970015,94238595,104947526,100479562,101949025,109036391,121010923,132030000,- -,133758000,134544000,141606000,148362000,- -,171438000,204652000,212864000,220088000,238560000,- -,241428000,240704000,245450000,251132000,- -,256648000,260103000,250500000,252100000,250000000,- -,250800000,250500000
28,Weighted Average Shares Outstanding Diluted,59970015,59970015,94238595,104947526,100479562,107314764,113150972,127860598,132030000,- -,137682000,137112000,155856000,148362000,- -,174312000,219792000,227276000,232144000,248820000,- -,248470000,247596000,252266000,256774000,- -,261206000,264456000,253900000,256700000,253400000,- -,252900000,252300000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,- -,- -,- -,- -,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/864749/000114036108005047/0001140361-08-005047-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/864749/000114036109005551/0001140361-09-005551-index.htm,https://www.sec.gov/Archives/edgar/data/864749/000119312511050403/0001193125-11-050403-index.htm,https://www.sec.gov/Archives/edgar/data/864749/000119312512082672/0001193125-12-082672-index.htm,https://www.sec.gov/Archives/edgar/data/864749/000086474913000005/0000864749-13-000005-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/864749/000086474914000021/0000864749-14-000021-index.htm,https://www.sec.gov/Archives/edgar/data/864749/000086474915000002/0000864749-15-000002-index.htm,https://www.sec.gov/Archives/edgar/data/864749/000086474917000007/0000864749-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/864749/000086474918000010/0000864749-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/864749/000086474919000006/0000864749-19-000006-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/864749/000086474920000029/0000864749-20-000029-index.htm,https://www.sec.gov/Archives/edgar/data/864749/000086474922000044/0000864749-22-000044-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,22700000,- -,20000000,49300000,40900000,31100000,- -,28700000,71872000,73900000,129621000,103200000,- -,142500000,220788000,154600000,157800000,- -,147200000,148000000,216100000,358500000,172500000,- -,189200000,325700000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53200000,52700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,- -,- -,- -,- -,- -,- -,111100000,178900000,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,22700000,- -,73200000,102000000,40900000,31100000,- -,28700000,71872000,73900000,129621000,103200000,- -,147500000,220788000,154600000,157800000,- -,147200000,148000000,327200000,537400000,172500000,- -,189200000,325700000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,34400000,- -,49100000,36000000,83600000,71700000,- -,79600000,128120000,151600000,178022000,250100000,- -,221800000,243889000,282300000,340800000,- -,361100000,391500000,390200000,470500000,545800000,- -,608200000,624800000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,38900000,- -,42400000,16400000,59000000,51800000,- -,61100000,87745000,107900000,112552000,143000000,- -,160900000,192852000,232100000,240500000,- -,254300000,278100000,218800000,264600000,298000000,- -,312100000,363300000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,63400000,- -,4100000,4500000,8000000,6500000,- -,8500000,29730000,27000000,38931000,60000000,- -,58200000,56841000,64100000,76900000,- -,74400000,84700000,42500000,39200000,72800000,- -,102300000,136800000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,159400000,- -,168800000,158900000,191500000,161100000,- -,177900000,317467000,360400000,459126000,556300000,- -,588400000,714370000,733100000,816000000,- -,837000000,902300000,978700000,1311700000,1089100000,- -,1211800000,1450600000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,21500000,- -,19700000,12300000,34100000,27500000,- -,22000000,30991000,42700000,47998000,51400000,- -,50200000,50692000,62700000,96900000,- -,143000000,157400000,144200000,174000000,212900000,- -,381700000,374200000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,120100000,- -,205900000,- -,286100000,374510000,675900000,- -,715600000,828737000,1297700000,1815700000,- -,1989500000,2085800000,2077600000,2287100000,3540000000,- -,3680600000,3981500000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,4500000,- -,1500000,1200000,249800000,100300000,- -,23200000,273357000,27300000,67172000,197800000,- -,228900000,204948000,476800000,644400000,- -,619400000,594500000,333300000,364800000,744300000,- -,678700000,506600000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,4500000,- -,1500000,1200000,249800000,220400000,- -,229100000,273357000,313400000,441682000,873700000,- -,944500000,1033685000,1774500000,2460100000,- -,2608900000,2680300000,2410900000,2651900000,4284300000,- -,4359300000,4488100000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8200000,7300000,- -,2600000,8019000,5600000,399000,47900000,- -,42200000,- -,95600000,148300000,- -,136400000,121100000,38800000,47800000,73800000,- -,318200000,502000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,4400000,- -,17700000,9400000,5000000,3100000,- -,10100000,24144000,21000000,29226000,10100000,- -,9700000,68145000,-13400000,-52200000,- -,-24500000,-5200000,101200000,130900000,116300000,- -,369700000,284700000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,30400000,- -,38900000,22900000,297100000,258300000,- -,263800000,336511000,382700000,519305000,983100000,- -,1046600000,1152522000,1919400000,2653100000,- -,2863800000,2953600000,2695100000,3004600000,4687300000,- -,5428900000,5649000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,189800000,- -,207700000,181800000,488600000,419400000,- -,441700000,653978000,743100000,978431000,1539400000,- -,1635000000,1866892000,2652500000,3469100000,- -,3700800000,3855900000,3673800000,4316300000,5776400000,- -,6640700000,7099600000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,13800000,- -,18700000,11700000,26400000,21500000,- -,30700000,43551000,45200000,44148000,67600000,- -,49600000,72349000,98000000,124500000,- -,112500000,103800000,109800000,146000000,147600000,- -,159300000,207300000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,300000,- -,- -,1400000,62000000,40000000,- -,30660000,12500000,216000,- -,126000,- -,124000,1993000,65918000,38092000,- -,106402000,64431000,130300000,128400000,256200000,- -,219000000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9317000,- -,28060000,44333000,- -,41810000,73888000,105066000,138920000,- -,159295000,211589000,246500000,272400000,348400000,- -,490400000,548800000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,20800000,- -,18800000,34000000,113500000,80300000,- -,51540000,63609000,101384000,108925000,137841000,- -,131766000,103585000,142316000,167188000,- -,198803000,208480000,201600000,226600000,303000000,- -,321600000,432500000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,34900000,- -,37500000,47100000,201900000,141800000,- -,112900000,128977000,146800000,181133000,249900000,- -,223300000,251815000,411300000,468700000,- -,577000000,588300000,688200000,773400000,1055200000,- -,1190300000,1188600000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30700000,30600000,137300000,127100000,- -,107900000,26496000,400000,481000,60600000,- -,151500000,151160000,498500000,873100000,- -,652100000,671000000,489600000,785500000,1712300000,- -,1624200000,1414600000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15872000,- -,12418000,10777000,13113000,7262000,- -,20431000,26309000,37700000,41000000,38800000,- -,51500000,83000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5435000,- -,21633000,- -,- -,- -,24598000,95594000,148260000,- -,136399000,121071000,38800000,40400000,73800000,- -,318200000,263100000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,30900000,- -,- -,3300000,14500000,12000000,- -,19500000,20909000,24600000,27519000,103928000,- -,107382000,42843000,64693000,74278000,- -,93970000,107620000,113700000,261500000,221900000,- -,337500000,205600000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,30900000,- -,30700000,33900000,151800000,139100000,- -,127400000,52840000,25000000,49633000,180400000,- -,271300000,229378000,671900000,1102900000,- -,902900000,926000000,679800000,1128400000,2046800000,- -,2331400000,1966300000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,114100000,121400000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,65800000,- -,68200000,81000000,353700000,280900000,- -,240300000,181817000,171800000,230766000,430300000,- -,494600000,481193000,1083200000,1571600000,- -,1479900000,1514300000,1368000000,1901800000,3102000000,- -,3521700000,3154900000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,132700000,127000000,154800000,191200000,- -,225900000,345127000,384200000,- -,660700000,- -,684800000,- -,878500000,1006800000,- -,1106000000,1207300000,300000,200000,300000,- -,200000,300000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,-2600000,- -,6700000,-25100000,-10900000,-33800000,- -,-23500000,82670000,167500000,271183000,388600000,- -,427900000,536350000,685600000,868000000,- -,1081700000,1211000000,1177100000,1084600000,1268300000,- -,1602800000,2170500000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,-41800000,- -,-1000000,-56900000,-18000000,-37800000,- -,-1026000,44364000,19534000,41111000,59720000,- -,27649000,48027000,5140000,22611000,- -,33194000,-61328000,-219900000,-131200000,-186100000,- -,-176800000,-161700000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,168400000,- -,1100000,55800000,9000000,18900000,- -,-23000,- -,21000,- -,6000,- -,52000,781806000,53000,44000,- -,12000,42000,1348300000,1412400000,1591900000,- -,1692800000,1935600000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,124000000,- -,139500000,100800000,134900000,138500000,- -,201351000,472161000,571255000,747665000,1109026000,- -,1140401000,1366156000,1569293000,1897455000,- -,2220906000,2357014000,2305800000,2366000000,2674400000,- -,3119000000,3944700000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,189800000,- -,207700000,181800000,488600000,419400000,- -,441651000,653978000,743055000,978431000,1539326000,- -,1635001000,1847349000,2652493000,3469055000,- -,3700806000,3871314000,3673800000,4267800000,5776400000,- -,6640700000,7099600000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49000,- -,45000,- -,74000,- -,-1000,19543000,7000,45000,- -,-6000,-15414000,- -,48500000,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,189800000,- -,207700000,181800000,488600000,419400000,- -,441700000,653978000,743100000,978431000,1539400000,- -,1635000000,1866892000,2652500000,3469100000,- -,3700800000,3855900000,3673800000,4316300000,5776400000,- -,6640700000,7099600000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,undefined,- -,- -,- -,- -,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/864749/000114036108005047/0001140361-08-005047-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/864749/000114036109005551/0001140361-09-005551-index.htm,https://www.sec.gov/Archives/edgar/data/864749/000119312511050403/0001193125-11-050403-index.htm,https://www.sec.gov/Archives/edgar/data/864749/000119312512082672/0001193125-12-082672-index.htm,https://www.sec.gov/Archives/edgar/data/864749/000086474913000005/0000864749-13-000005-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/864749/000086474914000021/0000864749-14-000021-index.htm,https://www.sec.gov/Archives/edgar/data/864749/000086474915000002/0000864749-15-000002-index.htm,https://www.sec.gov/Archives/edgar/data/864749/000086474917000007/0000864749-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/864749/000086474918000010/0000864749-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/864749/000086474919000006/0000864749-19-000006-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/864749/000086474920000029/0000864749-20-000029-index.htm,https://www.sec.gov/Archives/edgar/data/864749/000086474922000044/0000864749-22-000044-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,500000,2200000,7000000,-25300000,3400000,10000000,11300000,-11300000,- -,9300000,21600000,14200000,-22900000,- -,10300000,67680000,84900000,103658000,117400000,- -,141500000,103660000,150800000,191100000,- -,218900000,214100000,132400000,118400000,282800000,- -,514300000,492700000
74,Depreciation and Amortization,- -,1100000,2800000,5500000,7600000,7500000,7500000,8000000,10100000,- -,12200000,9100000,20921000,41524000,- -,19154000,17871000,18961000,26962000,56174000,- -,64282000,75837000,105669000,149398000,- -,189577000,191641000,187800000,183400000,215200000,- -,207200000,179900000
75,Deferred Income Tax,- -,-100000,- -,-2900000,4400000,- -,-1800000,200000,1200000,- -,- -,- -,-144000,-887000,- -,1464000,-1482000,14242000,10368000,6368000,- -,-17356000,-14918000,-26305000,-1369000,- -,-14963000,-1650000,400000,1400000,- -,- -,-220200000,-26900000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23125000,28451000,32660000,- -,36442000,43398000,52600000,64800000,76900000,- -,75000000,122600000
77,Change in Working Capital,- -,-4000000,- -,- -,- -,- -,- -,- -,124500000,- -,6800000,29800000,-122200000,29700000,- -,45700000,52390000,25110000,64393000,28407000,- -,58700000,-4345000,-140755000,25500000,- -,-87300000,54000000,153000000,247800000,-504400000,- -,-12400000,6800000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7376000,-31874000,-24388000,- -,-4070000,-10882000,1200000,-41600000,-51000000,- -,-96000000,-9000000
79,Inventory,- -,-1400000,- -,-19700000,9600000,-300000,-200000,-7600000,-7100000,- -,-8900000,6700000,-4118000,7442000,- -,-7649000,-15529000,-17888000,-374000,-18678000,- -,-16461000,-45549000,-30139000,-8402000,- -,-11351000,-31778000,24000000,-38700000,-45000000,- -,-21300000,-72900000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13577000,-4310000,25985000,- -,-15834000,-7185000,10900000,25900000,-2000000,- -,14500000,60300000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,124500000,- -,131300000,111800000,-10400000,19300000,- -,65000000,188490000,213600000,277993000,306400000,- -,365100000,462555000,321800000,347300000,- -,260000000,314000000,290500000,538300000,33900000,- -,21500000,81500000
82,Other Non-Cash Items,- -,500000,-11100000,-19600000,10000000,-1300000,-1800000,-8100000,-128400000,- -,-30400000,-36900000,107058000,-22344000,- -,-41522000,-63344000,-48907000,-67294000,-21364000,- -,-71052000,-59329000,123769000,-56589000,- -,71979000,-94406000,-119100000,-203900000,416200000,- -,21100000,-24600000
83,Cash Provided by Operating Activities,- -,-2000000,-6100000,-10000000,-3300000,9600000,13900000,11400000,-3900000,- -,-2100000,23600000,19835000,25093000,- -,35096000,73115000,94306000,138087000,186985000,- -,176074000,124030000,241629000,340700000,- -,414635000,407083000,407100000,411900000,486700000,- -,585000000,750500000
84,CAPEX,- -,-1100000,-4800000,-10700000,-3400000,-3900000,-7900000,-14600000,-10400000,- -,-11000000,-6400000,-7555000,-7254000,- -,-7157000,-12750000,-23436000,-16529000,-13187000,- -,-16196000,-25196000,-24944000,-55241000,- -,-70877000,-54945000,-26300000,-43700000,-67600000,- -,-69000000,-46100000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-211488000,-4430000,- -,1718000,-11388000,-51379000,-99887000,-295848000,- -,-115137000,-136419000,-759737000,-723201000,- -,-258797000,-318884000,-25900000,-273000000,-1763500000,- -,-220800000,-168800000
86,Purchases of Investments,- -,- -,-1000000,- -,- -,- -,-26500000,-115500000,-75700000,- -,-65700000,-54800000,-6458000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8192000,-3267000,- -,- -,- -,- -,-113300000,-288000000,-24000000,- -,- -,- -
87,Sales/Maturities of Investments,- -,100000,- -,1000000,- -,- -,6000000,68600000,83200000,- -,70500000,18400000,59186000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2400000,219800000,203000000,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-1500000,- -,- -,- -,-900000,-600000,- -,-900000,24900000,-865000,243000,- -,-327000,-995000,-103000,-16000,-2357000,- -,9637000,11370000,12717000,12986000,- -,4910000,22150000,18400000,18900000,2500000,- -,14500000,11400000
89,Cash Used for Investing Activites,- -,-1000000,-5800000,-11200000,-3400000,-3900000,-28400000,-62400000,-3500000,- -,-7100000,-17900000,-167180000,-11441000,- -,-5766000,-25133000,-74918000,-116432000,-311392000,- -,-121696000,-156374000,-773565000,-764286000,- -,-324764000,-344046000,-144400000,-366000000,-1649600000,- -,-275300000,-203500000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-499000,-330689000,-857477000,- -,-567344000,-900126000,-465300000,-495400000,-1925100000,- -,-1322900000,-449900000
91,Common Stock Issued,- -,1900000,24400000,4200000,7900000,3900000,3700000,64500000,5800000,- -,9000000,4500000,12043000,36378000,- -,21393000,26805000,24463000,26566000,31864000,- -,22802000,44549000,45869000,59187000,- -,47707000,56094000,67500000,73800000,40200000,- -,29100000,- -
92,Common Stock Repurchased,- -,-200000,- -,- -,- -,- -,- -,- -,-3500000,- -,-1800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-125888000,-73853000,- -,- -,- -,- -,-97757000,-119500000,-285300000,-93000000,- -,-179800000,-195100000
