,https://roic.ai/company/MAN,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,-0.0148,-0.0121,-0.0042,-0.0086,0.0318,0.0371,0.0399,0.0343,0.0129,0.0211,0.0245,0.0189,0.0177,0.1823,0.0247,0.0245,0.0274,0.0386,0.0213,-0.0014,-0.0088,0.0218,0.0178,0.0235,0.0328,0.0342,0.0357,0.0351,0.0343,0.0329,0.0082,0.0274
22,Income Tax expense (Gain),37000000,19300000,26300000,21400000,52600000,75700000,80000000,85300000,38100000,55800000,94000000,73000000,74800000,84400000,123800000,134600000,176200000,306500000,239400000,-13700000,98400000,228300000,170800000,187500000,254000000,241500000,257600000,191900000,198000000,219800000,123900000,185700000
23,Net Income,-82200000,-53300000,-46800000,-48900000,83900000,128000000,162300000,163900000,75700000,150000000,171200000,125000000,113200000,137700000,245700000,260100000,398000000,484700000,218900000,-9200000,-263600000,251600000,197600000,288000000,427600000,419200000,443700000,545400000,556700000,465700000,23800000,382400000
24,Net Income ratio,-0.0269,-0.0190,-0.0147,-0.0154,0.0195,0.0233,0.0267,0.0226,0.0086,0.0154,0.0158,0.0119,0.0107,0.0113,0.0165,0.0162,0.0227,0.0236,0.0102,-0.0006,-0.0140,0.0114,0.0096,0.0142,0.0206,0.0217,0.0226,0.0259,0.0253,0.0223,0.0013,0.0185
25,EPS,-1.11,-0.73,-0.64,-0.66,1.12,1.68,1.95,2.01,0.94,1.94,2.26,1.64,1.48,1.77,2.76,2.95,4.62,5.83,2.78,-0.12,-3.26,3.08,2.49,3.69,5.38,5.46,6.33,8.13,8.62,7.78,0.41,7.01
26,EPS Diluted,-1.11,-0.73,-0.64,-0.66,1.12,1.59,1.95,1.97,0.93,1.91,2.22,1.62,1.46,1.74,2.59,2.87,4.54,5.73,2.75,-0.12,-3.26,3.04,2.47,3.62,5.30,5.40,6.27,8.04,8.56,7.72,0.41,6.91
27,Weighted Average Shares Outstanding,74054054,73013699,73125000,74090909,74910714,76190476,83230769,81542289,80531915,77319588,75752212,76219512,76486486,77796610,89021739,88169492,86200000,83100000,78700000,78300000,81000000,81600000,79500000,78000000,79500000,76800000,70100000,67100000,64600000,59900000,58000000,54500000
28,Weighted Average Shares Outstanding Diluted,74054054,73013699,73125000,74090909,74910714,80503145,83357664,83197970,81397849,78534031,77117117,77160494,77534247,79137931,94864865,90627178,87700000,84600000,79700000,78300000,81000000,82800000,80100000,79600000,80700000,77700000,70800000,67900000,65100000,60300000,58300000,55400000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/871763/0000950124-98-001814-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/871763/000119312505034776/0001193125-05-034776-index.htm,https://www.sec.gov/Archives/edgar/data/871763/000119312506041441/0001193125-06-041441-index.htm,https://www.sec.gov/Archives/edgar/data/871763/000119312507042164/0001193125-07-042164-index.htm,https://www.sec.gov/Archives/edgar/data/871763/000119312508037291/0001193125-08-037291-index.htm,https://www.sec.gov/Archives/edgar/data/871763/000087176309000009/0000871763-09-000009-index.htm,https://www.sec.gov/Archives/edgar/data/871763/000087176310000010/0000871763-10-000010-index.htm,https://www.sec.gov/Archives/edgar/data/871763/000087176311000011/0000871763-11-000011-index.htm,https://www.sec.gov/Archives/edgar/data/871763/000087176312000015/0000871763-12-000015-index.htm,https://www.sec.gov/Archives/edgar/data/871763/000087176313000006/0000871763-13-000006-index.htm,https://www.sec.gov/Archives/edgar/data/871763/000087176314000011/0000871763-14-000011-index.htm,https://www.sec.gov/Archives/edgar/data/871763/000087176315000008/0000871763-15-000008-index.htm,https://www.sec.gov/Archives/edgar/data/871763/000087176316000150/0000871763-16-000150-index.htm,https://www.sec.gov/Archives/edgar/data/871763/000087176317000071/0000871763-17-000071-index.htm,https://www.sec.gov/Archives/edgar/data/871763/000087176318000070/0000871763-18-000070-index.htm,https://www.sec.gov/Archives/edgar/data/871763/000087176319000050/0000871763-19-000050-index.htm,https://www.sec.gov/Archives/edgar/data/871763/000156459020005762/0001564590-20-005762-index.htm,https://www.sec.gov/Archives/edgar/data/871763/000156459021006974/0001564590-21-006974-index.htm,https://www.sec.gov/Archives/edgar/data/871763/000095017022001500/0000950170-22-001500-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,180600000,142200000,180500000,241700000,181700000,246000000,284000000,426200000,531800000,454900000,687900000,537500000,874000000,1014600000,772600000,580500000,648100000,737600000,699200000,730500000,598500000,689000000,591900000,1025800000,1567100000,847800000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,180600000,142200000,180500000,241700000,181700000,246000000,284000000,426200000,531800000,454900000,687900000,537500000,874000000,1014600000,772600000,580500000,648100000,737600000,699200000,730500000,598500000,689000000,591900000,1025800000,1567100000,847800000
34,Net Receivables,- -,- -,- -,- -,- -,- -,1167500000,1437400000,1674700000,1897600000,2094400000,1918000000,2214200000,2609400000,3227800000,3208200000,3837200000,4478800000,3629700000,3070800000,3844100000,4181300000,4239600000,4344100000,4186700000,4243000000,4413100000,5370500000,5276100000,5273100000,4912400000,5448200000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,91000000,107300000,106400000,118000000,120600000,150000000,155100000,201500000,257900000,178600000,156900000,198500000,186400000,247000000,257300000,228700000,172900000,161300000,147800000,119000000,121300000,111700000,129100000,185600000,186900000,126700000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,1439100000,1686900000,1961600000,2257300000,2396700000,2314000000,2653300000,3237100000,4017500000,3841700000,4682000000,5214800000,4690100000,4332400000,4874000000,4990500000,5060600000,5243000000,5033700000,5092500000,5132900000,6171200000,5997100000,6484500000,6666400000,6422700000
38,PP&E,- -,- -,- -,- -,- -,- -,121400000,136400000,191300000,182400000,191600000,194000000,188800000,187100000,223100000,196400000,202100000,221200000,213400000,176400000,170300000,174500000,184800000,166000000,149100000,147100000,147300000,157700000,152600000,591800000,535800000,490200000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,972600000,1045900000,972900000,959100000,954100000,984700000,1041300000,1090900000,1075200000,1257400000,1239900000,1343000000,1297100000,1260100000,1225800000,1722200000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,247600000,481000000,545700000,573800000,1297000000,1256500000,321000000,364800000,415200000,398400000,376200000,354900000,330600000,309100000,286800000,326500000,294400000,284000000,246300000,268600000,248600000,583600000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,247600000,481000000,545700000,573800000,1297000000,1256500000,1293600000,1410700000,1388100000,1357500000,1330300000,1339600000,1371900000,1400000000,1362000000,1583900000,1534300000,1627000000,1543400000,1528700000,1474400000,2305800000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,191800000,223700000,228200000,279000000,205700000,250000000,313900000,386900000,305500000,273800000,336400000,377700000,326600000,347500000,355100000,395100000,395300000,479300000,637700000,694000000,759700000,927700000,826700000,618800000,651600000,610200000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,313200000,360100000,419500000,461400000,644900000,925000000,1048400000,1147800000,1825600000,1726700000,1832100000,2009600000,1928100000,1881400000,1855700000,1909200000,1952000000,2045300000,2148800000,2425000000,2441300000,2712400000,2522700000,2739300000,2661800000,3406200000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,1752300000,2047000000,2381100000,2718700000,3041600000,3239000000,3701700000,4384900000,5843100000,5568400000,6514100000,7224400000,6618200000,6213800000,6729700000,6899700000,7012600000,7288300000,7182500000,7517500000,7574200000,8883600000,8519800000,9223800000,9328200000,9828900000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,235500000,271100000,347900000,388000000,453100000,382000000,447000000,555400000,687100000,685400000,889900000,1014400000,903200000,944400000,1313900000,1370600000,1466500000,1523900000,1542700000,1659200000,1914400000,2279400000,2266700000,2474900000,2527400000,3039200000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,27400000,71100000,4100000,131500000,65900000,24000000,22800000,12100000,225700000,260000000,32000000,39700000,115600000,41700000,28700000,434200000,308000000,36000000,45200000,44200000,39800000,469400000,50100000,61000000,20400000,552600000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,551000000,1304600000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,548400000,662500000,959100000,898600000,1003200000,885000000,1092500000,1310400000,1689100000,1635100000,1959700000,2201400000,1887800000,1616900000,1947500000,1957400000,1902700000,1949700000,1786500000,1747600000,1704600000,2061600000,1859100000,1905500000,2137000000,2188700000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,811300000,1004700000,1311100000,1418100000,1522200000,1291000000,1562300000,1877900000,2601900000,2580500000,2881600000,3255500000,2906600000,2603000000,3290100000,3762200000,3677200000,3509600000,3374400000,3451000000,3658800000,4810400000,4175900000,4441400000,4684800000,5780500000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,100800000,189800000,154600000,357500000,491600000,811000000,799000000,829600000,676100000,475000000,791200000,874800000,837300000,715600000,669300000,266000000,462100000,481900000,423900000,810900000,785600000,478100000,1025300000,1012400000,1103500000,841500000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,239500000,234900000,246500000,292500000,287400000,323000000,340500000,367100000,391100000,366300000,367100000,424800000,390500000,358700000,373100000,388100000,372500000,382600000,441200000,563100000,683400000,737500000,620100000,1008500000,1086300000,675200000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,340300000,424700000,401100000,650000000,779000000,1134000000,1139500000,1196700000,1067200000,841300000,1158300000,1299600000,1227800000,1074300000,1042400000,654100000,834600000,864500000,865100000,1374000000,1469000000,1215600000,1645400000,2020900000,2189800000,1516700000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,336700000,305100000,275800000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,1151600000,1429400000,1712200000,2068100000,2301200000,2425000000,2701800000,3074600000,3669100000,3421800000,4039900000,4555100000,4134400000,3677300000,4332500000,4416300000,4511800000,4374100000,4239500000,4825000000,5127800000,6026000000,5821300000,6462300000,6874600000,7297200000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,800000,800000,1000000,900000,900000,1000000,1000000,1000000,1000000,1000000,1000000,1100000,1100000,1100000,1100000,1100000,1200000,1200000,1200000,1200000,1200000,1200000,1200000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,-998200000,-848200000,-787700000,-653000000,-496900000,-388000000,-289700000,-167600000,51000000,269900000,617000000,1040300000,1201200000,1109600000,785200000,971700000,1101500000,1317500000,1667800000,1966000000,2291300000,2713000000,3157700000,3494100000,3388800000,3634600000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,-181200000,-188400000,-220100000,-233700000,-249300000,-271000000,-344600000,-419200000,-446700000,-11000000,121000000,258000000,-9000000,107000000,87000000,35000000,34000000,82000000,-155000000,-286000000,-426000000,-288000000,-400000000,-441000000,-397000000,-389400000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,1780100000,1654200000,1676700000,1536500000,1485800000,1472000000,1633300000,1896200000,2568700000,1886700000,1735200000,1370000000,1290600000,1318900000,1523900000,1475600000,1364200000,1513600000,1429100000,943500000,495400000,348700000,-134000000,-311300000,-552000000,-724700000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,600700000,617600000,668900000,650600000,740400000,814000000,999900000,1310300000,2174000000,2146600000,2474200000,2669300000,2483800000,2536500000,2397200000,2483400000,2500800000,2914200000,2943000000,2624700000,2361900000,2774900000,2624900000,2743000000,2441000000,2521700000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,1752300000,2047000000,2381100000,2718700000,3041600000,3239000000,3701700000,4384900000,5843100000,5568400000,6514100000,7224400000,6618200000,6213800000,6729700000,6899700000,7012600000,7288300000,7182500000,7449700000,7489700000,8800900000,8446200000,9205300000,9315600000,9818900000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67800000,84500000,82700000,73600000,18500000,12600000,10000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,1752300000,2047000000,2381100000,2718700000,3041600000,3239000000,3701700000,4384900000,5843100000,5568400000,6514100000,7224400000,6618200000,6213800000,6729700000,6899700000,7012600000,7288300000,7182500000,7517500000,7574200000,8883600000,8519800000,9223800000,9328200000,9828900000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/871763/0000950124-98-001814-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/871763/000119312505034776/0001193125-05-034776-index.htm,https://www.sec.gov/Archives/edgar/data/871763/000119312506041441/0001193125-06-041441-index.htm,https://www.sec.gov/Archives/edgar/data/871763/000119312507042164/0001193125-07-042164-index.htm,https://www.sec.gov/Archives/edgar/data/871763/000119312508037291/0001193125-08-037291-index.htm,https://www.sec.gov/Archives/edgar/data/871763/000087176309000009/0000871763-09-000009-index.htm,https://www.sec.gov/Archives/edgar/data/871763/000087176310000010/0000871763-10-000010-index.htm,https://www.sec.gov/Archives/edgar/data/871763/000087176311000011/0000871763-11-000011-index.htm,https://www.sec.gov/Archives/edgar/data/871763/000087176312000015/0000871763-12-000015-index.htm,https://www.sec.gov/Archives/edgar/data/871763/000087176313000006/0000871763-13-000006-index.htm,https://www.sec.gov/Archives/edgar/data/871763/000087176314000011/0000871763-14-000011-index.htm,https://www.sec.gov/Archives/edgar/data/871763/000087176315000008/0000871763-15-000008-index.htm,https://www.sec.gov/Archives/edgar/data/871763/000087176316000150/0000871763-16-000150-index.htm,https://www.sec.gov/Archives/edgar/data/871763/000087176317000071/0000871763-17-000071-index.htm,https://www.sec.gov/Archives/edgar/data/871763/000087176318000070/0000871763-18-000070-index.htm,https://www.sec.gov/Archives/edgar/data/871763/000087176319000050/0000871763-19-000050-index.htm,https://www.sec.gov/Archives/edgar/data/871763/000156459020005762/0001564590-20-005762-index.htm,https://www.sec.gov/Archives/edgar/data/871763/000156459021006974/0001564590-21-006974-index.htm,https://www.sec.gov/Archives/edgar/data/871763/000095017022001500/0000950170-22-001500-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-82200000,-53300000,-46800000,-48900000,83900000,128000000,162300000,163900000,75700000,150000000,171200000,125000000,113200000,137700000,245700000,260100000,398000000,484700000,218900000,-9200000,-263600000,251600000,197600000,288000000,427600000,419200000,443700000,545400000,556700000,465700000,23800000,382400000
74,Depreciation and Amortization,32200000,101200000,22300000,96800000,27700000,27800000,35600000,41600000,55600000,63700000,66800000,80000000,72700000,72000000,94300000,94800000,88800000,99000000,107100000,97200000,110100000,104400000,100500000,94300000,83800000,77700000,85300000,84400000,85800000,77200000,76300000,73400000
75,Deferred Income Tax,-18300000,2900000,-10400000,-15200000,-16000000,-5000000,-11400000,2000000,-37500000,15300000,-15800000,-7000000,-200000,-13000000,-8800000,49100000,-19600000,25400000,-30500000,-29200000,-68500000,24800000,-11600000,17000000,54000000,91200000,74000000,-196800000,-11900000,-43000000,-10400000,-1300000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21100000,17500000,24100000,31400000,30000000,31500000,40600000,31100000,27100000,28700000,27800000,26300000,24200000,36800000
77,Change in Working Capital,57100000,- -,- -,- -,- -,627800000,- -,54400000,-31700000,188700000,35300000,148500000,68000000,268200000,56400000,-154400000,539200000,158900000,-175800000,-54100000,-145500000,-355600000,155100000,350000000,-74100000,-17800000,-167400000,-113300000,460400000,221900000,-61500000,135600000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,575000000,663600000,-708100000,-417100000,48300000,-82600000,-270500000,-369800000,-317200000,-544900000,-146400000,-80200000,586900000,-640900000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,627800000,627800000,682200000,650500000,839200000,874500000,1023000000,1091000000,1359200000,1415600000,1261200000,1800400000,1959300000,1783500000,1729400000,1583900000,1228300000,1383400000,1733400000,1659300000,1641500000,1474100000,1360800000,1821200000,2043100000,1981600000,- -
82,Other Non-Cash Items,97000000,-38200000,98300000,72800000,-59100000,-680600000,-98100000,-225800000,203100000,-418200000,-99600000,-210500000,-25800000,-241500000,-200200000,17500000,-647300000,-335800000,651200000,392100000,525500000,12600000,-140000000,-384100000,-225700000,-89900000,137300000,52500000,-635700000,66300000,884000000,17900000
83,Cash Provided by Operating Activities,85800000,12600000,63400000,105500000,36500000,98000000,88400000,36100000,265200000,-500000,157900000,136000000,227900000,223400000,187400000,267100000,359100000,432200000,792000000,414300000,182100000,69200000,331600000,396700000,306200000,511500000,600000000,400900000,483100000,814400000,936400000,644800000
84,CAPEX,-41400000,-26700000,-22200000,-17600000,-26600000,-43700000,-40900000,-98600000,-172500000,-93500000,-82600000,-87000000,-58500000,-55500000,-67900000,-77600000,-80000000,-91600000,-93100000,-35100000,-58500000,-64900000,-72000000,-44700000,-51500000,-52300000,-56900000,-54700000,-64700000,-52900000,-50700000,-64200000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-172400000,-296000000,-33500000,-6700000,-117300000,-12900000,110900000,-122800000,-242000000,-21600000,-270000000,-49000000,-49000000,-46300000,-32000000,-260500000,-57600000,-32700000,-9100000,36700000,8300000,-922800000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,18400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,8800000,- -,- -,13300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,37500000,52200000,2000000,2400000,1900000,3100000,-30700000,-13600000,1000000,14900000,7300000,16000000,5300000,6000000,35400000,4800000,5300000,12900000,-87200000,-31500000,-53600000,-60500000,-68300000,-41300000,-49400000,-37600000,-52800000,-41800000,-45800000,-52900000,-50700000,-64200000
