,https://roic.ai/company/ACHV,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,213,213,215,217,217,227,242,294,345,453,539,771,930,935,2506,2577,3195,4422,6146,6674,8226,11885,13613,23972,175510,412320,2718909,8119836
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/949858/000089102003000678/0000891020-03-000678-index.htm,https://www.sec.gov/Archives/edgar/data/949858/000095012404000870/0000950124-04-000870-index.htm,https://www.sec.gov/Archives/edgar/data/949858/000110465905012541/0001104659-05-012541-index.htm,https://www.sec.gov/Archives/edgar/data/949858/000110465906017215/0001104659-06-017215-index.htm,https://www.sec.gov/Archives/edgar/data/949858/000110465907019876/0001104659-07-019876-index.htm,https://www.sec.gov/Archives/edgar/data/949858/000104746908002810/0001047469-08-002810-index.htm,https://www.sec.gov/Archives/edgar/data/949858/000136231009003566/0001362310-09-003566-index.htm,https://www.sec.gov/Archives/edgar/data/949858/000095012310022087/0000950123-10-022087-index.htm,https://www.sec.gov/Archives/edgar/data/949858/000095012311024138/0000950123-11-024138-index.htm,https://www.sec.gov/Archives/edgar/data/949858/000119312512103884/0001193125-12-103884-index.htm,https://www.sec.gov/Archives/edgar/data/949858/000119312513096041/0001193125-13-096041-index.htm,https://www.sec.gov/Archives/edgar/data/949858/000119312514093757/0001193125-14-093757-index.htm,https://www.sec.gov/Archives/edgar/data/949858/000156459015002010/0001564590-15-002010-index.htm,https://www.sec.gov/Archives/edgar/data/949858/000156459016014302/0001564590-16-014302-index.htm,https://www.sec.gov/Archives/edgar/data/949858/000156459017002109/0001564590-17-002109-index.htm,https://www.sec.gov/Archives/edgar/data/949858/000156459018004159/0001564590-18-004159-index.htm,https://www.sec.gov/Archives/edgar/data/949858/000156459019007838/0001564590-19-007838-index.htm,https://www.sec.gov/Archives/edgar/data/949858/000156459020010642/0001564590-20-010642-index.htm,https://www.sec.gov/Archives/edgar/data/949858/000156459021012523/0001564590-21-012523-index.htm,https://www.sec.gov/Archives/edgar/data/949858/000156459022009485/0001564590-22-009485-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,5700000,7240000,26570000,16960000,5890000,1700000,460000,378007,1709017,416847,49317845,35771784,6535272,7618000,62051000,23533000,28517000,18075000,14593000,27897000,34310000,15233000,5284000,9515000,16664000,35853000,43022000
32,Short-Term Investments,- -,- -,17890000,- -,- -,10910000,6770000,14670000,15955997,17954578,20163641,- -,22506086,27663554,5891000,2517000,61574000,36410000,57308000,24629000,19160000,20876000,10230000,- -,5089000,- -,- -,- -
33,Cash and Short-Term Investments,- -,5700000,25130000,26570000,16960000,16800000,8470000,15130000,16334004,19663595,20580488,49317845,58277870,34198826,13509000,64568000,85107000,64927000,75383000,39222000,47057000,55186000,25463000,5284000,14604000,16664000,35853000,43022000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7056640,8043771,456149,153000,3109000,1224000,812000,1041000,8875000,5789000,125000,510000,9000,7000,8000,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,1900000,12700000,400000,640000,410000,430000,5340000,340000,289909,198584,458826,341787,524470,576905,587000,722000,2987000,1587000,3755000,5770000,2915000,1987000,954000,615000,926000,662000,1122000,1572000
37,Total Current Assets,1900000,18400000,25530000,27210000,17370000,17230000,13810000,15470000,16623913,19862179,21039314,56716272,66846111,35231880,14249000,68399000,89318000,67326000,80179000,53867000,55761000,57298000,26927000,5908000,15537000,17334000,36975000,44594000
38,PP&E,1200000,1100000,1200000,1700000,1400000,900000,501660,396711,1310390,1606061,1479785,1006403,1186174,9577567,44000,72000,87000,180000,371000,397000,257000,602000,258000,59000,35000,386000,188000,64000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1034000,1034000,1034000,1034000,1034000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2532000,2310000,2087000,1864000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3566000,3344000,3121000,2898000,1034000
42,Investments,- -,- -,- -,- -,- -,- -,- -,14668841,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,100000,100000,30000,40000,50000,-40000,-1660,-14675552,- -,- -,51500,191239,460717,439822,497000,509000,513000,509000,1466000,1425000,273000,309000,285000,359000,168000,237000,237000,1824000
45,Total Non-Current Assets,1300000,1200000,1230000,1740000,1450000,860000,500000,390000,1310390,1606061,1531285,1197642,1646891,10017389,541000,581000,600000,689000,1837000,1822000,530000,911000,543000,3984000,3547000,3744000,3323000,2922000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3200000,19600000,26760000,28950000,18820000,18090000,14310000,15860000,17934303,21468240,22570599,57913914,68493002,45249269,14790000,68980000,89918000,68015000,82016000,55689000,56291000,58209000,27470000,9892000,19084000,21078000,40298000,47516000
48,Accounts Payable,900000,1400000,2200000,2610000,2950000,2830000,- -,1198552,1800786,1886571,3176709,5668357,2371536,1462444,- -,- -,- -,- -,- -,139000,72000,1343000,2121000,213000,144000,859000,332000,841000
49,Short-Term Debt,3200000,5200000,5200000,5100000,5000000,5000000,5000000,- -,137602,151369,78445,27410,14763,- -,632000,1328000,1314000,1417000,1084000,1092000,236000,52000,57000,27000,11000,203000,92000,14920000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5545920,5545919,- -,- -,10000000,10000000,18271000,- -,- -,- -,5040000,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,4700000,1600000,2250000,1790000,1320000,210000,800000,1448,- -,- -,- -,- -,11978153,4906278,2252000,14453000,16162000,11098000,10472000,13703000,21910000,14229000,6277000,1773000,3115000,1807000,2511000,-11211000
53,Total Current Liabilities,8800000,8200000,9650000,9500000,9270000,8040000,5800000,1200000,1938388,2037940,3255154,11241687,19910371,6368722,2884000,25781000,27476000,30786000,11556000,14934000,22218000,20664000,8455000,2013000,3270000,2869000,2935000,4550000
54,Long-Term Debt,3400000,500000,240000,940000,2050000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1199000,3712000,6695000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16528000,11622000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,271987,120617,238264,11408435,5540694,6976130,- -,- -,- -,6339000,4253000,3544000,14000,105000,49000,- -,12000,159000,77000,14924000
58,Total Non-Current Liabilities,3400000,500000,240000,940000,2050000,- -,- -,- -,271987,120617,238264,11408435,5540694,6976130,1199000,20240000,18317000,6339000,4253000,3544000,14000,105000,49000,- -,12000,159000,77000,14924000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,271987,120617,42172,14763,- -,- -,- -,- -,- -,7756000,5337000,4636000,250000,157000,106000,27000,23000,362000,169000,- -
61,Total Liabilities,12200000,8700000,9890000,10440000,11320000,8040000,5800000,1200000,2210375,2158557,3493418,22650122,25451065,13344852,4083000,46021000,45793000,37125000,15809000,18478000,22232000,20769000,8504000,2013000,3282000,3028000,3012000,19474000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,34280000,34860000,35010000,37140000,38080000,43300000,56010950,70085299,86202180,123443666,154780939,156704899,6000,6000,10000,10000,15000,15000,22000,29000,29000,12000,18000,41000,76000,79000
64,Retained Earnings,-13100000,-19000000,-17360000,-16340000,-27510000,-27070000,-29220000,-28680000,-40312665,-50779764,-67090356,-88187373,-111738669,-124801837,-48009000,-53485000,-66069000,-80742000,-101840000,-133689000,-159958000,-176811000,-196942000,-12694000,-25381000,-45704000,-60434000,-93586000
65,Other Comprehensive Income/Loss,-400000,-800000,-80000,-40000,-20000,-40000,-3470000,80000,25643,4148,-34643,7499,-333,1355,2640000,2640000,2605000,2636000,2637000,2643000,2622000,2632000,2640000,5000,4000,4000,4000,4000
66,Other Total Stockholders Equity,4500000,30700000,- -,20000,20000,- -,3119477,- -,- -,- -,- -,- -,- -,- -,56070000,73798000,107579000,108986000,165395000,168242000,191373000,211590000,213239000,20556000,41161000,63709000,97640000,121545000
67,Total Stockholders Equity,-9000000,10900000,16800000,18500000,7500000,10000000,8509477,14665130,15723928,19309683,19077181,35263792,43041937,31904417,10707000,22959000,44125000,30890000,66207000,37211000,34059000,37440000,18966000,7879000,15802000,18050000,37286000,28042000
68,Total Liabilities And Stockholders Equity,3200000,19600000,26690000,28940000,18820000,18040000,14309477,15865130,17934303,21468240,22570599,57913914,68493002,45249269,14790000,68980000,89918000,68015000,82016000,55689000,56291000,58209000,27470000,9892000,19084000,21078000,40298000,47516000
69,Minority Interest,- -,- -,70000,10000,- -,50000,523,-5130,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,3200000,19600000,26760000,28950000,18820000,18090000,14310000,15860000,17934303,21468240,22570599,57913914,68493002,45249269,14790000,68980000,89918000,68015000,82016000,55689000,56291000,58209000,27470000,9892000,19084000,21078000,40298000,47516000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/949858/000089102003000678/0000891020-03-000678-index.htm,https://www.sec.gov/Archives/edgar/data/949858/000095012404000870/0000950124-04-000870-index.htm,https://www.sec.gov/Archives/edgar/data/949858/000110465905012541/0001104659-05-012541-index.htm,https://www.sec.gov/Archives/edgar/data/949858/000110465906017215/0001104659-06-017215-index.htm,https://www.sec.gov/Archives/edgar/data/949858/000110465907019876/0001104659-07-019876-index.htm,https://www.sec.gov/Archives/edgar/data/949858/000104746908002810/0001047469-08-002810-index.htm,https://www.sec.gov/Archives/edgar/data/949858/000136231009003566/0001362310-09-003566-index.htm,https://www.sec.gov/Archives/edgar/data/949858/000095012310022087/0000950123-10-022087-index.htm,https://www.sec.gov/Archives/edgar/data/949858/000095012311024138/0000950123-11-024138-index.htm,https://www.sec.gov/Archives/edgar/data/949858/000119312512103884/0001193125-12-103884-index.htm,https://www.sec.gov/Archives/edgar/data/949858/000119312513096041/0001193125-13-096041-index.htm,https://www.sec.gov/Archives/edgar/data/949858/000119312514093757/0001193125-14-093757-index.htm,https://www.sec.gov/Archives/edgar/data/949858/000156459015002010/0001564590-15-002010-index.htm,https://www.sec.gov/Archives/edgar/data/949858/000156459016014302/0001564590-16-014302-index.htm,https://www.sec.gov/Archives/edgar/data/949858/000156459017002109/0001564590-17-002109-index.htm,https://www.sec.gov/Archives/edgar/data/949858/000156459018004159/0001564590-18-004159-index.htm,https://www.sec.gov/Archives/edgar/data/949858/000156459019007838/0001564590-19-007838-index.htm,https://www.sec.gov/Archives/edgar/data/949858/000156459020010642/0001564590-20-010642-index.htm,https://www.sec.gov/Archives/edgar/data/949858/000156459021012523/0001564590-21-012523-index.htm,https://www.sec.gov/Archives/edgar/data/949858/000156459022009485/0001564590-22-009485-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-8900000,-5900000,1720000,1010000,-11170000,430000,-2150000,540000,-11635801,-10467099,-16310592,-21097017,-23551296,-13063168,-4204000,-5476000,-12584000,-14673000,-21098000,-31849000,-26240000,-16801000,-20129000,-10583000,-12687000,-16395000,-14730000,- -
74,Depreciation and Amortization,300000,400000,500000,600000,800000,600000,357538,258102,580619,380426,515479,586156,609615,655689,89000,50000,52000,75000,100000,227000,223000,244000,188000,282000,282000,254000,255000,- -
75,Deferred Income Tax,-200000,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3051000,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,174000,380000,642000,1188000,2175000,2834000,3860000,2328000,1649000,348000,854000,1201000,1286000,- -
77,Change in Working Capital,5200000,17100000,5680000,1830000,-9610000,1090000,-1180000,6260000,415525,3138714,-40079,27690425,1461155,-18072582,-17498158,31253000,19224000,-25302000,32083000,-29690000,-5390000,3091000,-18162000,-14577000,8372000,2198000,19575000,6004000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2955000,- -,- -,-265000,-7943000,2981000,5662000,-464000,-9000,2000,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1190000,-67000,1271000,778000,118000,-69000,715000,-527000,- -
81,Other Working Capital,-6900000,10200000,15880000,17710000,8100000,9190000,8010000,14270000,14685525,17824239,17784160,45474585,46935740,28863158,11365000,42618000,61842000,36540000,68623000,38933000,33543000,36634000,18472000,3895000,12267000,14465000,34040000,40044000
82,Other Non-Cash Items,100000,-19600000,-4400000,-2040000,9680000,-2220000,-1001629,-5808768,239857,-2961605,1214567,-15538777,1799973,7144729,9132158,8671000,-34174000,18449000,-56753000,22551000,10239000,2037000,6771000,18474000,-7444000,-2474000,-19860000,-6004000
83,Cash Provided by Operating Activities,-3500000,-7800000,3500000,1400000,-10300000,-100000,-3974091,1249334,-10399800,-9909564,-14620625,-8359213,-19680553,-23335332,-12307000,34878000,-26840000,-20263000,-43493000,-35927000,-17308000,-9101000,-29683000,-9107000,-10623000,-15216000,-13474000,- -
84,CAPEX,-700000,-300000,-500000,-1200000,-500000,- -,-38666,-188182,-904933,-686636,-426001,-119443,-789386,-1396057,-3000,-15000,-68000,-79000,-291000,-253000,-82000,-371000,-46000,- -,-46000,-53000,-17000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-18700000,-49900000,-74300000,-36800000,-28300000,-20800000,-8643350,-23666993,-28234997,-21876067,-31830775,- -,-22585008,-46444749,-4843000,-4036000,-93018000,-75147000,-110443000,-31696000,-19446000,-24368000,-36504000,- -,-5539000,-25000,- -,- -
87,Sales/Maturities of Investments,19200000,38900000,68900000,33400000,37900000,21600000,12840754,15833464,26711296,19866530,29619719,20212452,372402,41691624,15276000,6280000,33960000,100294000,89546000,64375000,24894000,22662000,47158000,- -,450000,5114000,- -,- -
88,Other Investing Activites,100000,100000,- -,- -,- -,- -,33265,6240,- -,- -,- -,4160,- -,- -,4657000,- -,- -,- -,- -,- -,- -,- -,- -,12648000,10000,- -,- -,- -
89,Cash Used for Investing Activites,-100000,-11200000,-5900000,-4600000,9100000,800000,4192003,-8015471,-2428634,-2696173,-2637057,20097169,-23001992,-6149182,15087000,2229000,-59126000,25068000,-21188000,32426000,5366000,-2077000,10608000,12648000,-5125000,5036000,-17000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,1100000,19000000,4200000,600000,100000,100000,584504,5174600,12708664,14074349,15857788,37241486,29163894,262765,124000,17347000,33143000,219000,53777000,- -,25246000,17629000,- -,2006000,18433000,13126000,29497000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,2400000,5600000,-200000,600000,1100000,- -,- -,350000,42704,-137602,107724,-78444,-27410,-14763,- -,- -,14338000,- -,462000,10000,1000,-38000,-2000,-5000,1324000,4199000,3183000,- -
95,Cash Used/Provided by Financing Activities,3500000,24600000,4000000,1200000,1200000,- -,584504,5524600,12751368,13936747,15965512,37163042,29136484,248002,121000,17347000,47481000,219000,54239000,10000,25247000,17591000,-2000,2001000,19757000,17325000,32680000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,90000,-21000,-33000,-40000,- -,9000,-1000,- -,- -,-1000,- -,4000,- -,- -
97,Net Change In Cash,3500000,24600000,4000000,1200000,1200000,700000,802416,-1241537,-77066,1331010,-1292170,48900998,-13546061,-29236512,2992000,54433000,-38518000,4984000,-10442000,-3482000,13304000,6413000,-19077000,5541000,4009000,7149000,19189000,- -
98,Cash at the End of Period,- -,- -,- -,- -,- -,5900000,6696610,455073,378007,1709017,416847,49317845,35771784,6535272,7618000,62051000,23533000,28517000,18075000,14593000,27897000,34310000,15233000,5556000,9565000,16714000,35903000,- -
99,Cash at the Beginning of Period,100000,- -,5700000,7200000,17000000,5200000,5894194,1696610,455073,378007,1709017,416847,49317845,35771784,4626000,7618000,62051000,23533000,28517000,18075000,14593000,27897000,34310000,15000,5556000,9565000,16714000,35903000
100,Free Cash Flow,-4200000,-8100000,3000000,200000,-10800000,-100000,-4012757,1061152,-11304733,-10596200,-15046626,-8478656,-20469939,-24731389,-12310000,34863000,-26908000,-20342000,-43784000,-36180000,-17390000,-9472000,-29729000,-9107000,-10669000,-15269000,-13491000,- -
