,https://roic.ai/company/NVAX,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,5600000,5300000,5900000,5800000,15217000,33321000,36563000,27839000,32724000,16559000,29290000,31784000,35424000,37708000,38837000,36267000,51741000,73349000,114350000,193486000,284466000,202886000,208206000,148259000,892317000,2832866000
12,Interest Income ,- -,- -,- -,- -,551000,- -,- -,- -,- -,- -,1539000,3287000,959000,285000,189000,136000,165000,187000,286000,660000,- -,1946000,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,490000,1139000,1219000,1526000,2003000,- -,1606000,1683000,786000,9000,9000,32000,160000,157000,241000,12965000,14072000,12188000,12188000,15145000,21127000
14,Depreciation and Amortization,300000,300000,300000,400000,594000,3489000,1138000,1186000,3053000,3475000,2715000,-1006000,893000,1194000,1372000,1613000,1666000,2591000,4424000,5983000,8505000,9817000,8159000,5676000,4885000,12661000
15,EBITDA,-5100000,-4200000,-4500000,-4100000,-11597000,-5766000,-20420000,-14868000,-21341000,-5696000,-20353000,-34165000,-33473000,-36394000,-34777000,-17330000,-26809000,-49207000,-78366000,-150713000,-258496000,-159880000,-164401000,-114830000,-398229000,-1680748000
16,EBITDA ratio,-51.0000,-8.4000,-6.4286,-3.4167,-4.6857,-0.2396,-1.3609,-1.2616,-2.5837,-0.7710,-4.3461,-22.5810,-31.4596,-111.9815,-101.3907,-1.1799,-1.2144,-2.3527,-2.5561,-4.1576,-16.8368,-5.1283,-4.7947,-6.1531,-0.8373,-1.4663
17,Operating Income,-5500000,-4800000,-5200000,-4600000,-12742000,-9255000,-21558000,-16054000,-24464000,-9171000,-24607000,-30271000,-34360000,-37383000,-38494000,-21579000,-29665000,-52434000,-83691000,-157236000,-269113000,-171710000,-173918000,-120581000,-416719000,-1686576000
18,Operating Income ratio,-55.0000,-9.6000,-7.4286,-3.8333,-5.1483,-0.3846,-1.4367,-1.3622,-2.9617,-1.2413,-5.2545,-20.0073,-32.2932,-115.0246,-112.2274,-1.4692,-1.3438,-2.5070,-2.7297,-4.3375,-17.5284,-5.5078,-5.0723,-6.4613,-0.8762,-1.4713
19,Total Other Income Expenses (Gains),100000,200000,300000,- -,- -,-490000,- -,- -,11232000,10965000,- -,- -,-1238000,-490000,2336000,2627000,1158000,476000,744000,299000,-10853000,-12059000,-10830000,-12113000,-1540000,-27960000
20,Income Before Tax,-5400000,- -,- -,- -,- -,-9745000,- -,- -,- -,- -,- -,- -,- -,- -,-36158000,-18952000,-28507000,-51958000,-82947000,-156937000,-279966000,-183769000,-184748000,-132694000,-418259000,-1714536000
21,Income Before Tax Ratio,-54.0000,- -,- -,- -,- -,-0.4049,- -,- -,- -,- -,- -,- -,- -,- -,-105.4169,-1.2903,-1.2913,-2.4842,-2.7055,-4.3293,-18.2353,-5.8946,-5.3881,-7.1104,-0.8794,-1.4957
22,Income Tax expense (Gain),100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-450000,412000,- -,25000,- -,- -,- -,- -,- -,- -,- -,29215000
23,Net Income,-5500000,-4500000,-4800000,-4500000,-12191000,-9745000,-22697000,-17273000,-25920000,-11174000,-23068000,-34765000,-36049000,-38374000,-35708000,-19364000,-28507000,-51983000,-82947000,-156937000,-279966000,-183769000,-184748000,-132694000,-418259000,-1743751000
24,Net Income ratio,-55.0000,-9.0000,-6.8571,-3.7500,-4.9257,-0.4049,-1.5126,-1.4657,-3.1380,-1.5125,-4.9259,-22.9775,-33.8806,-118.0738,-104.1050,-1.3184,-1.2913,-2.4854,-2.7055,-4.3293,-18.2353,-5.8946,-5.3881,-7.1104,-0.8794,-1.5212
25,EPS,-10.86,-7.80,-11.40,-6.20,-12.80,-8.60,-18.60,-11.60,-14.00,-5.20,-7.80,-11.40,-10.60,-9.00,-6.80,-3.40,-4.40,-6.20,-7.40,-12.00,-20.60,-12.60,-10.00,-5.51,-7.27,-23.44
26,EPS Diluted,-10.86,-7.80,-11.40,-6.20,-12.80,-8.60,-18.60,-11.60,-14.00,-5.20,-7.80,-11.40,-10.60,-9.00,-6.80,-3.40,-4.40,-6.20,-7.40,-12.00,-20.60,-12.60,-10.00,-5.51,-7.27,-23.44
27,Weighted Average Shares Outstanding,506644,583371,621421,725554,950785,1133513,1221693,1492639,1846301,2137915,2933218,3055073,3408716,4277750,5238400,5680500,6586300,8482900,11292400,13112400,13540100,14633450,18487850,24100000,57554000,74400000
28,Weighted Average Shares Outstanding Diluted,506644,583371,621421,725554,950785,1133513,1221693,1492639,1846301,2137915,2933218,3055073,3408716,4277750,5238400,5680500,6586300,8482900,11292400,13112400,13540100,14633450,18487850,24100000,57554000,74400000
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1000694/000095013397000909/0000950133-97-000909-index.html,https://www.sec.gov/Archives/edgar/data/1000694/000095013398001198/0000950133-98-001198-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1000694/000095013301001077/0000950133-01-001077-index.html,https://www.sec.gov/Archives/edgar/data/1000694/000095013302000941/0000950133-02-000941-index.html,https://www.sec.gov/Archives/edgar/data/1000694/000095013303001043/0000950133-03-001043-index.htm,https://www.sec.gov/Archives/edgar/data/1000694/000095013304000909/0000950133-04-000909-index.htm,https://www.sec.gov/Archives/edgar/data/1000694/000095013305001036/0000950133-05-001036-index.htm,https://www.sec.gov/Archives/edgar/data/1000694/000095013306001030/0000950133-06-001030-index.htm,https://www.sec.gov/Archives/edgar/data/1000694/000095013307001137/0000950133-07-001137-index.htm,https://www.sec.gov/Archives/edgar/data/1000694/000095013308001105/0000950133-08-001105-index.htm,https://www.sec.gov/Archives/edgar/data/1000694/000095013309000970/0000950133-09-000970-index.htm,https://www.sec.gov/Archives/edgar/data/1000694/000114420410013614/0001144204-10-013614-index.htm,https://www.sec.gov/Archives/edgar/data/1000694/000114420411017669/0001144204-11-017669-index.htm,https://www.sec.gov/Archives/edgar/data/1000694/000114420412014910/0001144204-12-014910-index.htm,https://www.sec.gov/Archives/edgar/data/1000694/000114420413014545/0001144204-13-014545-index.htm,https://www.sec.gov/Archives/edgar/data/1000694/000114420414014965/0001144204-14-014965-index.htm,https://www.sec.gov/Archives/edgar/data/1000694/000114420415012379/0001144204-15-012379-index.htm,https://www.sec.gov/Archives/edgar/data/1000694/000114420416084770/0001144204-16-084770-index.htm,https://www.sec.gov/Archives/edgar/data/1000694/000114420417011334/0001144204-17-011334-index.htm,https://www.sec.gov/Archives/edgar/data/1000694/000114420418014686/0001144204-18-014686-index.htm,https://www.sec.gov/Archives/edgar/data/1000694/000114420419014640/0001144204-19-014640-index.htm,https://www.sec.gov/Archives/edgar/data/1000694/000110465920031944/0001104659-20-031944-index.htm,https://www.sec.gov/Archives/edgar/data/1000694/000100069421000004/0001000694-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1000694/000100069422000004/0001000694-22-000004-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2500000,3800000,1000000,700000,14864000,20045000,3005000,27633000,17876000,31893000,7161000,4350000,26938000,38757000,8061000,14104000,17399000,119471000,32335000,93108000,144353000,106307000,70154000,78823000,553398000,1515116000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,66434000,42139000,6962000,4193000,23615000,4205000,26712000,13597000,135721000,137548000,91126000,50996000,21980000,- -,157649000,- -
33,Cash and Short-Term Investments,2500000,3800000,1000000,700000,14864000,20045000,3005000,27633000,17876000,31893000,73595000,46489000,33900000,42950000,31676000,18309000,44111000,133068000,168056000,230656000,235479000,157303000,92134000,78823000,711047000,1515116000
34,Net Receivables,- -,200000,100000,300000,954000,3878000,1882000,1960000,827000,3571000,2115000,1230000,290000,258000,54000,3801000,2581000,6899000,10610000,2320000,233000,- -,- -,7500000,262012000,454993000
35,Inventory,- -,- -,- -,- -,461000,537000,633000,855000,3464000,800000,600000,25000,42000,- -,- -,- -,- -,- -,- -,- -,15736000,13085000,11974000,- -,- -,- -
36,Other Current Assets,700000,300000,100000,100000,757000,567000,722000,1614000,1770000,1347000,1032000,1272000,864000,1295000,1607000,3999000,3716000,5034000,9492000,54281000,36382000,32923000,15168000,10924000,275144000,185010000
37,Total Current Assets,3200000,4300000,1200000,1100000,17036000,25027000,6242000,32062000,23937000,37611000,77342000,49016000,35096000,44503000,33337000,26109000,50408000,145001000,188158000,287257000,287830000,203311000,119276000,97247000,1248203000,2155119000
38,PP&E,1000000,900000,1000000,1100000,1927000,4326000,13655000,15244000,14147000,11589000,9861000,5721000,8228000,7801000,8206000,6857000,11456000,14251000,19737000,32342000,40184000,35987000,28426000,11445000,179954000,228696000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33141000,33141000,33141000,33141000,33141000,33141000,33141000,59519000,54612000,53065000,51673000,53563000,51967000,51154000,135379000,131479000
40,Intangible Assets,- -,- -,1600000,1600000,37566000,37762000,37107000,36451000,38189000,34251000,978000,- -,- -,- -,- -,- -,- -,16250000,12577000,10793000,9225000,7873000,6541000,5581000,5725000,4770000
41,Intangible Assets,- -,- -,1600000,1600000,37566000,37762000,37107000,36451000,38189000,34251000,34119000,33141000,33141000,33141000,33141000,33141000,33141000,75769000,67189000,63858000,60898000,61436000,58508000,56735000,141104000,136249000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6233000,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1500000,1600000,- -,700000,- -,- -,501000,402000,1720000,931000,555000,3413000,160000,160000,160000,469000,1107000,916000,918000,2581000,5389000,1759000,1768000,7530000,13218000,56689000
45,Total Non-Current Assets,2500000,2500000,2600000,3400000,39493000,42088000,51263000,52097000,54056000,46771000,44535000,42275000,41529000,41102000,41507000,40467000,51937000,90936000,87844000,98781000,106471000,99182000,88702000,75710000,334276000,421634000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,5700000,6800000,3800000,4500000,56529000,67115000,57505000,84159000,77993000,84382000,121877000,91291000,76625000,85605000,74844000,66576000,102345000,235937000,276002000,386038000,394301000,302493000,207978000,172957000,1582479000,2576753000
48,Accounts Payable,400000,200000,800000,600000,1401000,1410000,2534000,2342000,3242000,1426000,1530000,1490000,1750000,2098000,3572000,2645000,3228000,5985000,12908000,11889000,5685000,5613000,9301000,2910000,54332000,127050000
49,Short-Term Debt,- -,- -,- -,100000,- -,4337000,211000,1065000,1194000,853000,731000,1120000,22428000,80000,80000,20000,157000,877000,603000,395000,- -,- -,- -,- -,322035000,130533000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,1250000,275000,250000,- -,- -,- -,- -,- -,432000,- -,386000,258000,271000,- -,34469000,30079000,25625000,10010000,1678000,273228000,1422944000
52,Other Current Liabilities,200000,100000,100000,200000,3304000,- -,2844000,1179000,4140000,2597000,3078000,3596000,3539000,5417000,6614000,4528000,8032000,11801000,20605000,29741000,30642000,42437000,26228000,21207000,-69923000,709792000
53,Total Current Liabilities,600000,300000,900000,900000,4705000,6997000,5864000,4836000,8576000,4876000,5339000,6206000,27717000,8027000,10266000,7579000,11675000,18934000,34116000,76494000,66406000,73675000,45539000,25795000,579672000,2390319000
54,Long-Term Debt,- -,- -,- -,- -,20000000,30000000,41193000,41100000,35000000,29000000,22458000,21629000,480000,406000,320000,300000,753000,1004000,395000,- -,316339000,317763000,319187000,320611000,322035000,323458000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2707000,- -,4480000,2500000,2500000,2500000,4171000,2500000,2500000,2500000,2500000,- -,172528000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,-100000,800000,- -,2625000,2375000,2279000,1136000,854000,79000,391000,2939000,- -,5208000,368000,7177000,10265000,9373000,12704000,14602000,10287000,8687000,10068000,53563000,42121000
58,Total Non-Current Liabilities,- -,- -,-100000,800000,20000000,32625000,43568000,43379000,36136000,29854000,22537000,22020000,3419000,3113000,5528000,5148000,10430000,13769000,12268000,16875000,333441000,330550000,330374000,333179000,375598000,538107000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,970000,678000,- -,- -,- -,- -,- -,- -,295000,303000,- -,- -,- -,- -,- -,1262000,149727000,130533000
61,Total Liabilities,600000,300000,800000,1700000,24705000,39622000,49432000,48215000,44712000,34730000,27876000,28226000,31136000,11140000,15794000,12727000,22105000,32703000,46384000,93369000,399847000,404225000,375913000,358974000,955270000,2928426000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,200000,226000,239000,252000,349000,398000,503000,622000,624000,692000,1007000,1115000,1175000,1484000,2091000,2393000,2704000,2717000,3237000,3849000,324000,714000,764000
64,Retained Earnings,-26800000,-31300000,-38400000,-42900000,-55085000,-64830000,-87527000,-104800000,-130720000,-141894000,-164962000,-199727000,-235776000,-274150000,-310292000,-329656000,-358163000,-410146000,-493093000,-650030000,-929996000,-1114359000,-1299107000,-1431801000,-1874199000,-3617950000
65,Other Comprehensive Income/Loss,-400000,-500000,-700000,-700000,-1103000,-1223000,-1707000,-2125000,-3852000,-6207000,-8976000,-8109000,-2022000,1000000,1000000,1000000,-7154000,1000000,-7000000,-9000000,-12000000,-9000000,-11000000,-13000000,7024000,-1353000
66,Other Total Stockholders Equity,32300000,38300000,42100000,46200000,87786000,93307000,97055000,142520000,167455000,197250000,267317000,270277000,282595000,346608000,367227000,381330000,444073000,610289000,727318000,948995000,933733000,1018390000,1138323000,1258460000,2493670000,3266866000
67,Total Stockholders Equity,5100000,6500000,3000000,2800000,31824000,27493000,8073000,35944000,33281000,49652000,94001000,63065000,45489000,74465000,59050000,53849000,80240000,203234000,229618000,292669000,-5546000,-101732000,-167935000,-186017000,627209000,-351673000
68,Total Liabilities And Stockholders Equity,5700000,6800000,3800000,4500000,56529000,67115000,57505000,84159000,77993000,84382000,121877000,91291000,76625000,85605000,74844000,66576000,102345000,235937000,276002000,386038000,394301000,302493000,207978000,172957000,1582479000,2576753000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,5700000,6800000,3800000,4500000,56529000,67115000,57505000,84159000,77993000,84382000,121877000,91291000,76625000,85605000,74844000,66576000,102345000,235937000,276002000,386038000,394301000,302493000,207978000,172957000,1582479000,2576753000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1000694/000095013397000909/0000950133-97-000909-index.html,https://www.sec.gov/Archives/edgar/data/1000694/000095013398001198/0000950133-98-001198-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1000694/000095013301001077/0000950133-01-001077-index.html,https://www.sec.gov/Archives/edgar/data/1000694/000095013302000941/0000950133-02-000941-index.html,https://www.sec.gov/Archives/edgar/data/1000694/000095013303001043/0000950133-03-001043-index.htm,https://www.sec.gov/Archives/edgar/data/1000694/000095013304000909/0000950133-04-000909-index.htm,https://www.sec.gov/Archives/edgar/data/1000694/000095013305001036/0000950133-05-001036-index.htm,https://www.sec.gov/Archives/edgar/data/1000694/000095013306001030/0000950133-06-001030-index.htm,https://www.sec.gov/Archives/edgar/data/1000694/000095013307001137/0000950133-07-001137-index.htm,https://www.sec.gov/Archives/edgar/data/1000694/000095013308001105/0000950133-08-001105-index.htm,https://www.sec.gov/Archives/edgar/data/1000694/000095013309000970/0000950133-09-000970-index.htm,https://www.sec.gov/Archives/edgar/data/1000694/000114420410013614/0001144204-10-013614-index.htm,https://www.sec.gov/Archives/edgar/data/1000694/000114420411017669/0001144204-11-017669-index.htm,https://www.sec.gov/Archives/edgar/data/1000694/000114420412014910/0001144204-12-014910-index.htm,https://www.sec.gov/Archives/edgar/data/1000694/000114420413014545/0001144204-13-014545-index.htm,https://www.sec.gov/Archives/edgar/data/1000694/000114420414014965/0001144204-14-014965-index.htm,https://www.sec.gov/Archives/edgar/data/1000694/000114420415012379/0001144204-15-012379-index.htm,https://www.sec.gov/Archives/edgar/data/1000694/000114420416084770/0001144204-16-084770-index.htm,https://www.sec.gov/Archives/edgar/data/1000694/000114420417011334/0001144204-17-011334-index.htm,https://www.sec.gov/Archives/edgar/data/1000694/000114420418014686/0001144204-18-014686-index.htm,https://www.sec.gov/Archives/edgar/data/1000694/000114420419014640/0001144204-19-014640-index.htm,https://www.sec.gov/Archives/edgar/data/1000694/000110465920031944/0001104659-20-031944-index.htm,https://www.sec.gov/Archives/edgar/data/1000694/000100069421000004/0001000694-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1000694/000100069422000004/0001000694-22-000004-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-5500000,-4500000,-4800000,-4500000,-12191000,-9745000,-22697000,-17273000,-25920000,-11174000,-23068000,-34765000,-36049000,-38374000,-35708000,-19364000,-28507000,-51983000,-82947000,-156937000,-279966000,-183769000,-184748000,-132694000,-418259000,-1743751000
74,Depreciation and Amortization,300000,300000,300000,400000,594000,3489000,1138000,1186000,3053000,3475000,2715000,-1006000,893000,1194000,1372000,1613000,1666000,2591000,4424000,5983000,8505000,9817000,8159000,5676000,4885000,12661000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2070000,1533000,1339000,2047000,2091000,2480000,6090000,13431000,19160000,19809000,18314000,17048000,128035000,183626000
77,Change in Working Capital,- -,1400000,-3700000,-100000,12131000,5699000,-17652000,26848000,-11865000,17374000,39268000,-29193000,-35431000,29097000,-13405000,-4541000,20203000,87334000,27975000,56721000,10661000,-91788000,-55899000,-2285000,597079000,1733618000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,438000,- -,204000,-1911000,954000,-451000,-5705000,6250000,2072000,- -,- -,- -,-422689000,-192265000
79,Inventory,- -,- -,- -,- -,-211000,-76000,-96000,-222000,-2609000,2102000,200000,90000,-17000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6744000,- -,163161000,- -
81,Other Working Capital,2600000,4000000,300000,200000,12331000,18030000,378000,27226000,15361000,32735000,72003000,42810000,7379000,36476000,23071000,18530000,38733000,126067000,154042000,210763000,221424000,129636000,73737000,71452000,668531000,1325557000
82,Other Non-Cash Items,1900000,-1400000,4600000,500000,-10578000,-4009000,18145000,-28308000,4633000,-15484000,-33725000,38222000,44207000,-26280000,13550000,-3384000,-13682000,-85781000,-22556000,-45288000,-13827000,107235000,29349000,-24368000,-354281000,136792000
83,Cash Provided by Operating Activities,-3300000,-4200000,-3600000,-3700000,-10044000,-4566000,-21066000,-17547000,-30099000,-5809000,-14810000,-26742000,-24310000,-32830000,-32852000,-23629000,-18229000,-45359000,-67014000,-126090000,-255467000,-138696000,-184825000,-136623000,-42541000,322946000
84,CAPEX,-100000,- -,-200000,-600000,-831000,-2335000,-9661000,-2018000,-1608000,-230000,-1516000,-1961000,-5689000,-745000,-1556000,-610000,-4341000,-5785000,-7268000,-18286000,-18213000,-4189000,-1372000,-1857000,-54622000,-57486000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000000,- -,- -,- -,- -,- -,- -,-165516000,- -
86,Purchases of Investments,-500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-121546000,-94993000,-15650000,- -,-38717000,-2082000,-48652000,-14754000,-176469000,-228521000,-356556000,-218045000,-120150000,-17484000,-363202000,-2167000
87,Sales/Maturities of Investments,- -,500000,- -,- -,- -,- -,- -,- -,- -,- -,56247000,121608000,49770000,3100000,19000000,21235000,20407000,33781000,53865000,225519000,402775000,258202000,150118000,39500000,205562000,159807000
88,Other Investing Activites,-200000,-200000,-200000,-200000,-12552000,-3332000,- -,100000,- -,68000,- -,-3000,-4214000,-745000,-1556000,-610000,-4017000,-5635000,-7229000,-18268000,-18202000,-4189000,-1372000,16476000,-54622000,-57486000
89,Cash Used for Investing Activites,-800000,300000,-400000,-800000,-13383000,-5667000,-9661000,-1918000,-1608000,-162000,-66815000,24651000,29906000,2355000,-21273000,18543000,-32262000,16392000,-129833000,-21270000,28017000,35968000,28596000,38492000,-377778000,100154000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1040000,-15043000,-86000,-80000,-164000,-560000,-795000,-667000,-466000,-37000,- -,- -,-96065000,-127907000
91,Common Stock Issued,2000000,5400000,6900000,4400000,17670000,5414000,2925000,44086000,5081000,21058000,57702000,89000,17503000,56385000,23089000,10980000,54002000,128648000,107896000,204275000,- -,63425000,100060000,97392000,875623000,564859000
92,Common Stock Repurchased,- -,- -,-5000000,-200000,- -,- -,- -,- -,- -,- -,-94000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,-500000,- -,19889000,10000000,10762000,7000,16869000,-1070000,-715000,-809000,529000,952000,426000,229000,-52000,2947000,2616000,4675000,279496000,1152000,2745000,992000,205204000,24761000
95,Cash Used/Provided by Financing Activities,2000000,5400000,1200000,4200000,37559000,15414000,13687000,44093000,21950000,19988000,56893000,-720000,16992000,42294000,23429000,11129000,53786000,131035000,109717000,208283000,279030000,64540000,102805000,98384000,984762000,461713000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000,-6000,-150000,-335000,142000,-48000,-32000,2115000,-5292000
97,Net Change In Cash,- -,- -,- -,-300000,14132000,5181000,-17040000,24628000,-9757000,14017000,-24732000,-2811000,22588000,11819000,-30696000,6043000,3295000,102072000,-87136000,60773000,51245000,-38046000,-53472000,221000,566558000,879521000
98,Cash at the End of Period,- -,- -,- -,700000,14864000,20045000,3005000,27633000,17876000,31893000,7161000,4350000,26938000,38757000,8061000,14104000,17399000,119471000,32335000,93108000,144353000,106307000,81959000,82180000,648738000,1528259000
99,Cash at the Beginning of Period,4600000,2500000,3800000,1000000,732000,14864000,20045000,3005000,27633000,17876000,31893000,7161000,4350000,26938000,38757000,8061000,14104000,17399000,119471000,32335000,93108000,144353000,135431000,81959000,82180000,648738000
100,Free Cash Flow,-3400000,-4200000,-3800000,-4300000,-10875000,-6901000,-30727000,-19565000,-31707000,-6039000,-16326000,-28703000,-29999000,-33575000,-34408000,-24239000,-22570000,-51144000,-74282000,-144376000,-273680000,-142885000,-186197000,-138480000,-97163000,265460000
