,https://roic.ai/company/KRC,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,24151000,32601000,65722000,77320000,91820000,111154000,120039000,127908000,146585000,192280000,158858000,175901000,198186000,154061000,131693000,163791000,199258000,232798000,248627000,253104000,274263000,309736000,350437000,368884000,398572000,402792000
11,COGS and Expenses,24151000,32601000,65722000,77320000,91820000,111154000,120039000,127908000,146585000,192280000,158858000,175901000,198186000,203770000,217254000,269181000,316262000,373064000,397413000,411801000,446840000,512493000,561220000,615131000,659292000,672373000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1300000,964000,571000,848000,1635000,561000,243000,1764000,5503000,-559000,4641000,3424000,3916000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40366000,46119000,59941000,89409000,79114000,75870000,67571000,57682000,55803000,66040000,50280000,48537000,70772000,78555000
14,Depreciation and Amortization,9111000,14023000,26200000,33794000,42377000,54103000,64495000,59831000,62071000,67826000,69750000,86421000,83275000,87652000,103809000,136597000,169900000,201487000,204478000,204294000,217234000,245886000,254282000,273813000,300133000,311284000
15,EBITDA,22378000,38785000,65022000,73689000,89223000,92534000,104807000,109443000,92010000,101645000,151614000,200243000,167762000,170761000,183458000,292021000,519928000,321237000,452268000,496057000,566825000,476538000,562977000,517793000,558010000,1017983000
16,EBITDA ratio,0.5712,0.5606,0.4771,0.4614,0.4768,0.4414,0.5186,0.4805,0.4156,0.4205,0.6035,0.7747,0.5786,0.6111,0.6075,0.7954,1.2841,0.6907,0.8669,0.8534,0.8821,0.6628,0.7534,0.6183,0.6211,1.0659
17,Operating Income,15025000,36581000,70562000,82380000,95293000,98491000,82056000,99878000,74814000,49435000,92386000,82571000,91782000,75664000,84726000,97950000,88650000,92034000,124312000,169474000,195732000,206508000,186078000,222323000,239105000,282667000
18,Operating Income ratio,0.3835,0.5288,0.5178,0.5158,0.5093,0.4698,0.4060,0.4385,0.3379,0.2045,0.3677,0.3195,0.3165,0.2708,0.2806,0.2668,0.2189,0.1979,0.2383,0.2916,0.3046,0.2872,0.2490,0.2655,0.2661,0.2960
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,4714000,896000,196000,521000,742000,1164000,- -,-93000,4909000,-65789000,-92891000,-83203000,-76197000,-64999000,69130000,108066000,-25893000,91848000,-7094000,-31812000,376243000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18937000,5059000,5447000,15837000,59313000,238604000,303798000,180615000,277926000,215229000,207293000,658910000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0627,0.0138,0.0135,0.0341,0.1137,0.4105,0.4728,0.2512,0.3719,0.2570,0.2307,0.6899
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,13267000,24762000,38822000,39895000,46846000,38431000,40312000,49612000,29939000,33819000,81864000,113822000,44121000,36990000,19708000,66015000,270914000,43880000,180219000,234081000,293788000,164612000,258415000,195443000,187105000,628144000
24,Net Income ratio,0.3387,0.3579,0.2849,0.2498,0.2504,0.1833,0.1995,0.2178,0.1352,0.1399,0.3258,0.4404,0.1522,0.1324,0.0653,0.1798,0.6691,0.0943,0.3454,0.4027,0.4572,0.2289,0.3458,0.2334,0.2083,0.6577
25,EPS,0.92,1.20,1.44,1.44,1.76,1.41,1.47,1.79,0.93,0.84,2.31,3.22,1.06,0.53,0.07,0.87,3.56,0.37,1.99,2.44,3.00,1.52,2.56,1.87,1.63,5.55
26,EPS Diluted,0.92,1.19,1.43,1.44,1.75,1.40,1.45,1.78,0.93,0.84,2.30,3.20,1.06,0.53,0.07,0.87,3.56,0.36,1.95,2.42,2.97,1.51,2.55,1.86,1.63,5.55
27,Weighted Average Shares Outstanding,14475000,18445149,26989422,27701495,26598926,27167006,27449676,27526684,28244459,28710726,31244062,32379997,32467000,38705000,49497000,56717000,69640000,77344000,83090000,89854000,92342000,98114000,99972000,103201000,113241000,116456796
28,Weighted Average Shares Outstanding Diluted,14475000,18539299,27059988,27727303,26754984,27372951,27722197,27737791,28422027,28710726,31389999,32526723,32670000,38732000,49513000,56717000,69640000,79109000,84968000,90396000,93023000,98727000,100482000,103849000,113720000,116962680
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1025996/000089843098000999/0000898430-98-000999-index.html,https://www.sec.gov/Archives/edgar/data/1025996/000089843099001171/0000898430-99-001171-index.html,https://www.sec.gov/Archives/edgar/data/1025996/000089843000000845/0000898430-00-000845-index.html,https://www.sec.gov/Archives/edgar/data/1025996/000089843001001074/0000898430-01-001074-index.html,https://www.sec.gov/Archives/edgar/data/1025996/000089843002000867/0000898430-02-000867-index.html,https://www.sec.gov/Archives/edgar/data/1025996/000089843003001782/0000898430-03-001782-index.html,https://www.sec.gov/Archives/edgar/data/1025996/000119312504040609/0001193125-04-040609-index.html,https://www.sec.gov/Archives/edgar/data/1025996/000119312505040236/0001193125-05-040236-index.html,https://www.sec.gov/Archives/edgar/data/1025996/000119312506041778/d10k.htm,https://www.sec.gov/Archives/edgar/data/1025996/000119312507042889/d10k.htm,https://www.sec.gov/Archives/edgar/data/1025996/000119312508038438/d10k.htm,https://www.sec.gov/Archives/edgar/data/1025996/000119312509027247/0001193125-09-027247-index.html,https://www.sec.gov/Archives/edgar/data/1025996/000119312510028880/0001193125-10-028880-index.html,https://www.sec.gov/Archives/edgar/data/1025996/000095012311012065/v57730e10vk.htm,https://www.sec.gov/Archives/edgar/data/1025996/000102599612000038/0001025996-12-000038-index.html,- -,https://www.sec.gov/Archives/edgar/data/1025996/000102599614000069/krc10k12312013.htm,https://www.sec.gov/Archives/edgar/data/1025996/000102599615000075/form10k.htm,https://www.sec.gov/Archives/edgar/data/1025996/000102599616000298/0001025996-16-000298-index.html,https://www.sec.gov/Archives/edgar/data/1025996/000102599617000049/0001025996-17-000049-index.html,https://www.sec.gov/Archives/edgar/data/1025996/000102599618000107/0001025996-18-000107-index.html,https://www.sec.gov/Archives/edgar/data/1025996/000102599619000051/0001025996-19-000051-index.html,https://www.sec.gov/Archives/edgar/data/1025996/000102599620000050/0001025996-20-000050-index.html,https://www.sec.gov/Archives/edgar/data/1025996/000102599621000062/0001025996-21-000062-index.htm,https://www.sec.gov/Archives/edgar/data/1025996/000102599622000074/0001025996-22-000074-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,8929000,6443000,26116000,17600000,16487000,15777000,9892000,4853000,3881000,11948000,11732000,9553000,9883000,14840000,4777000,16700000,35377000,23781000,56508000,193418000,57649000,51604000,60044000,731991000,414077000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,707000,1888000,3452000,4902000,5691000,7435000,10008000,11971000,12882000,14773000,20674000,21779000,27098000,27481000,27475000
33,Cash and Short-Term Investments,- -,8929000,6443000,26116000,17600000,16487000,15777000,9892000,4853000,3881000,11948000,12439000,11441000,13335000,19742000,10468000,24135000,45385000,35752000,69390000,208191000,78323000,73383000,87142000,759472000,441552000
34,Net Receivables,- -,7367000,15630000,22078000,32521000,32151000,32540000,41723000,51659000,60807000,67819000,72174000,5753000,88307000,6258000,8395000,124638000,137866000,163645000,200857000,251876000,283229000,289296000,366077000,398665000,420051000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,213100000,8211000,117666000,9417000,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,1491452000,1559712000,1670566000,1929689000,2028850000,2059000,1461000,358000,257493000,65563000,95560000,23340000,67485000,64257000,133357000,35024000,101332000,28237000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,1547964000,1624400000,1750333000,2014302000,2046044000,103701000,27461000,19221000,406266000,461914000,303168000,411253000,536969000,425809000,496036000,488243000,1259469000,889840000
38,PP&E,- -,712910000,1048847000,1235811000,1291145000,1359329000,1407715000,1404914000,1480665000,1537374000,1601466000,1904624000,1939244000,1914107000,2544442000,3056187000,- -,- -,- -,- -,40395000,39686000,36833000,35286000,138890000,170062000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,54418000,53539000,51832000,131066000,155522000,83324000,71148000,60728000,43540000,58043000,37047000,31474000,123272000,14670000,56540000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49019000,54418000,53539000,51832000,131066000,155522000,83324000,71148000,60728000,43540000,58043000,37047000,31474000,123272000,14670000,56540000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7435000,10008000,11971000,12882000,14773000,20674000,21779000,27098000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,-1429414000,-1487300000,-1601466000,-1904624000,-1939244000,14641000,113596000,215865000,4119059000,4567958000,5257869000,5471794000,6056453000,6279622000,7179585000,8226195000,8587679000,9466955000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,51251000,50074000,49019000,54418000,53539000,1980580000,2789104000,3427574000,4209818000,4649114000,5330568000,5528216000,6169664000,6377029000,7269671000,8411851000,8741239000,9693557000
46,Other Assets,- -,757654000,1105928000,1320501000,1457169000,1457229000,1506602000,1512635000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,757654000,1105928000,1320501000,1457169000,1457229000,1506602000,1512635000,1599215000,1674474000,1799352000,2068720000,2099583000,2084281000,2816565000,3446795000,4616084000,5111028000,5633736000,5939469000,6706633000,6802838000,7765707000,8900094000,10000708000,10583397000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52533000,68525000,81713000,154734000,198467000,225830000,246323000,202391000,249637000,374415000,418848000,445100000,391264000
49,Short-Term Debt,- -,- -,2200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1427776000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,108511000,106698000,- -,- -,- -,- -,- -,- -,- -,- -,- -,246113000
52,Other Current Liabilities,- -,87100000,222400000,294100000,292000000,302000000,304600000,263000000,261100000,312900000,245900000,268400000,274000000,17136000,-1407391000,22692000,28924000,31490000,32899000,34992000,222306000,43448000,47559000,53219000,59431000,61850000
53,Total Current Liabilities,- -,87100000,224600000,294100000,292000000,302000000,304600000,263000000,261100000,312900000,245900000,268400000,274000000,69669000,197421000,211103000,183658000,229957000,258729000,281315000,424697000,293085000,421974000,472067000,504531000,699227000
54,Long-Term Debt,- -,273363000,405383000,553516000,723688000,714587000,762037000,761048000,801441000,842282000,879198000,650912000,773466000,972016000,1427776000,1821286000,2040935000,2204938000,2469413000,2238508000,2320123000,2347063000,2932601000,3552778000,4021459000,4194300000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,76219000,66890000,79322000,93067000,155558000,159973000,181658000,185060000,202496000,202374000,209871000,205991000,197397000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,37000,17000,-16000,12000,13000,-37000,-48000,-41000,18000,2000,456088000,319815000,91868000,-79322000,-79781000,- -,- -,- -,- -,- -,- -,- -,98400000,- -,- -
58,Total Non-Current Liabilities,- -,273400000,405400000,553500000,723700000,714600000,762000000,761000000,801400000,842300000,879200000,1107000000,1169500000,1130774000,1427776000,1834572000,2196493000,2364911000,2651071000,2423568000,2522619000,2549437000,3142472000,3857169000,4218856000,4194300000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,98400000,97778000,125550000
61,Total Liabilities,- -,305319000,449529000,613519000,789010000,799055000,845934000,838226000,912534000,1031106000,1011790000,1263481000,1341512000,1200443000,1625197000,2045675000,2380151000,2594868000,2909800000,2704883000,2947316000,2842522000,3564446000,4329236000,4723387000,4893527000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,38437000,121582000,121582000,121582000,121582000,38425000,121582000,121582000,121582000,192411000,192411000,192411000,192411000,192411000,- -,- -,- -,- -,- -
63,Common Stock,- -,245000,276000,278000,265000,274000,273000,282000,286000,289000,324000,328000,331000,431000,523000,588000,749000,822000,863000,923000,932000,986000,1007000,1060000,1160000,1165000
64,Retained Earnings,- -,-6258000,-11844000,-18553000,-19230000,-33163000,-47629000,-53449000,-83394000,-124214000,-119094000,-87512000,-129319000,-180722000,-247252000,-277450000,-129535000,-210896000,-162964000,-70262000,-107997000,-122685000,-48053000,-58467000,-103133000,283663000
65,Other Comprehensive Income/Loss,- -,-121780000,-145437000,-174427000,-205332000,-241665000,-5789000,-4358000,-365831000,-416597000,-443807000,-463932000,-532769000,-605976000,-672429000,-742503000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,580128000,813404000,899684000,892456000,932728000,493116000,508958000,880049000,938208000,1115291000,1122826000,1279397000,1519633000,1883927000,2191500000,2126005000,2478975000,2635900000,3047894000,3457649000,3822492000,3976953000,4350917000,5131916000,- -
67,Total Stockholders Equity,- -,452335000,656399000,706982000,668159000,658174000,439971000,489870000,552692000,519268000,674296000,693292000,656065000,854948000,1086351000,1293717000,2189630000,2461312000,2666210000,3170966000,3542995000,3700793000,3929907000,4293510000,5029943000,5440060000
68,Total Liabilities And Stockholders Equity,- -,757654000,1105928000,1320501000,1457169000,1457229000,1285905000,1328096000,1465226000,1550374000,1686086000,1956773000,1997577000,2055391000,2711548000,3339392000,4569781000,5056180000,5576010000,5875849000,6490311000,6543315000,7494353000,8622746000,9753330000,10333587000
69,Minority Interest,- -,- -,- -,- -,- -,- -,220697000,184539000,133989000,124100000,113266000,111947000,102006000,28890000,105017000,107403000,46303000,54848000,57726000,63620000,216322000,259523000,271354000,277348000,247378000,249810000
70,Total Liabilities & Equity,- -,757654000,1105928000,1320501000,1457169000,1457229000,1506602000,1512635000,1599215000,1674474000,1799352000,2068720000,2099583000,2084281000,2816565000,3446795000,4616084000,5111028000,5633736000,5939469000,6706633000,6802838000,7765707000,8900094000,10000708000,10583397000
71,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1025996/000089843098000999/0000898430-98-000999-index.html,https://www.sec.gov/Archives/edgar/data/1025996/000089843099001171/0000898430-99-001171-index.html,https://www.sec.gov/Archives/edgar/data/1025996/000089843000000845/0000898430-00-000845-index.html,https://www.sec.gov/Archives/edgar/data/1025996/000089843001001074/0000898430-01-001074-index.html,https://www.sec.gov/Archives/edgar/data/1025996/000089843002000867/0000898430-02-000867-index.html,https://www.sec.gov/Archives/edgar/data/1025996/000089843003001782/0000898430-03-001782-index.html,https://www.sec.gov/Archives/edgar/data/1025996/000119312504040609/0001193125-04-040609-index.html,https://www.sec.gov/Archives/edgar/data/1025996/000119312505040236/0001193125-05-040236-index.html,https://www.sec.gov/Archives/edgar/data/1025996/000119312506041778/d10k.htm,https://www.sec.gov/Archives/edgar/data/1025996/000119312507042889/d10k.htm,https://www.sec.gov/Archives/edgar/data/1025996/000119312508038438/d10k.htm,https://www.sec.gov/Archives/edgar/data/1025996/000119312509027247/0001193125-09-027247-index.html,https://www.sec.gov/Archives/edgar/data/1025996/000119312510028880/0001193125-10-028880-index.html,https://www.sec.gov/Archives/edgar/data/1025996/000095012311012065/v57730e10vk.htm,https://www.sec.gov/Archives/edgar/data/1025996/000102599612000038/0001025996-12-000038-index.html,- -,https://www.sec.gov/Archives/edgar/data/1025996/000102599614000069/krc10k12312013.htm,https://www.sec.gov/Archives/edgar/data/1025996/000102599615000075/form10k.htm,https://www.sec.gov/Archives/edgar/data/1025996/000102599616000298/0001025996-16-000298-index.html,https://www.sec.gov/Archives/edgar/data/1025996/000102599617000049/0001025996-17-000049-index.html,https://www.sec.gov/Archives/edgar/data/1025996/000102599618000107/0001025996-18-000107-index.html,https://www.sec.gov/Archives/edgar/data/1025996/000102599619000051/0001025996-19-000051-index.html,https://www.sec.gov/Archives/edgar/data/1025996/000102599620000050/0001025996-20-000050-index.html,https://www.sec.gov/Archives/edgar/data/1025996/000102599621000062/0001025996-21-000062-index.htm,https://www.sec.gov/Archives/edgar/data/1025996/000102599622000074/0001025996-22-000074-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,13267000,24762000,38822000,39895000,46846000,38431000,40312000,49612000,29939000,33819000,81864000,113822000,44121000,36990000,19708000,66015000,270914000,43880000,180219000,234081000,293788000,164612000,258415000,195443000,187105000,628144000
74,Depreciation and Amortization,9111000,14023000,26200000,33794000,42377000,54103000,64495000,59831000,62071000,67826000,69750000,86421000,83275000,87652000,103809000,136597000,169900000,201487000,204478000,204294000,217234000,245886000,254282000,273813000,300133000,311284000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12253000,- -,- -,-6699000,-7777000,-8328000,-8449000,-7166000,-8528000,-9748000,27007000,30245000,33800000
77,Change in Working Capital,1971000,- -,-137500000,-69500000,2100000,-10000000,-2600000,41600000,1549864000,24636000,192933000,241469000,26142000,-1738012000,-203992000,-21922000,414490000,9349000,-187518000,85499000,-17666000,20452000,-58662000,-57886000,738762000,36923000
78,Accounts Receivable,-1600000,-11700000,-10600000,-10800000,-22148000,-9954000,-17958000,-14424000,-13381000,-11986000,-11784000,-9479000,- -,- -,-3038000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,3500000,4500000,9200000,13200000,6913000,14867000,2986000,-8021000,25659000,48528000,-62508000,18272000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,-87100000,-87100000,-224600000,-294100000,-292000000,-302000000,-304600000,-263000000,1286864000,1311500000,1504433000,1745902000,1772044000,34032000,-169960000,-191882000,222608000,231957000,44439000,129938000,112272000,132724000,74062000,16176000,754938000,- -
82,Other Non-Cash Items,-18829000,-9857000,145907000,80446000,-17314000,23548000,-6653000,-55097000,-1533830000,-10279000,-282977000,-294212000,-9057000,1726082000,200302000,-42434000,-667881000,-6363000,56402000,-243417000,-141136000,-75410000,-34244000,-51856000,-800655000,-493748000
83,Cash Provided by Operating Activities,5520000,28928000,73429000,84635000,74009000,106082000,95554000,95946000,108044000,116002000,61570000,147500000,144481000,124965000,119827000,138256000,180724000,240576000,245253000,272008000,345054000,347012000,410043000,386521000,455590000,516403000
84,CAPEX,-4754000,-1093542000,-681425000,-442803000,-182290000,-139352000,-115610000,-84915000,-229753000,-209434000,-287194000,-386910000,-94754000,-54165000,-730551000,-694557000,-503629000,-552783000,-697046000,-646599000,-496486000,-505694000,-966975000,-1166442000,-616065000,-1797804000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-9758000,- -,- -,- -,- -,- -,- -,- -,- -,- -,263572000,21178000,427544000,319639000,325031000,182492000,364300000,124421000,73937000,1049927000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-52000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,259000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,46000,-5156000,-3017000,28605000,64559000,65946000,-46404000,-50839000,33439000,57114000,-350000,-245009000,929000,-14942000,28777000,60274000,-970078000,-527698000,-928980000,-582391000,-960466000,-541594000,-1173215000,-1352700000,-616065000,-1797804000
89,Cash Used for Investing Activites,-2354000,-551956000,-343717000,-192795000,-117731000,-73406000,-63731000,-50839000,-129186000,-75682000,-136193000,-244802000,-93825000,-50474000,-701774000,-634283000,-706506000,-506520000,-501436000,-262752000,-635435000,-359102000,-808915000,-1228279000,-542128000,-747877000
90,Debt Repayment,-19091000,-226549000,-2979000,-22867000,-48733000,-26603000,-208214000,-108329000,-218825000,-52659000,-14084000,-228286000,-82932000,-469156000,-913344000,-654665000,-955262000,-288688000,-675345000,-874766000,-379140000,-919395000,-955407000,-986309000,-590137000,-317446000
91,Common Stock Issued,- -,543700000,81813000,43800000,- -,5030000,4248000,13452000,2052000,971000,138950000,29000,- -,191672000,299847000,233312000,672102000,349951000,102229000,387398000,31117000,326058000,130693000,353722000,721665000,- -
92,Common Stock Repurchased,- -,-22000,- -,-49171000,-41266000,- -,-11398000,-36714000,-46275000,-1756000,-2891000,-31681000,-14798000,-2725000,-3417000,-1152000,-10750000,-2520000,-3533000,-7081000,-8875000,-212986000,-16553000,-14556000,-14082000,-21888000
93,Dividends Paid,-5218000,-21702000,-48843000,-53597000,-54150000,-57317000,-61609000,-63057000,-67355000,-80825000,-85964000,-91785000,-95269000,-87000000,-84420000,-95201000,-111551000,-124767000,-131713000,-140089000,-150694000,-348106000,-179411000,-196252000,-224578000,-237355000
94,Other Financing Activites,21143000,236530000,237811000,209668000,179355000,45101000,244440000,143656000,346506000,92977000,46679000,448809000,140164000,293048000,1288238000,1003670000,943166000,350645000,952949000,658009000,934883000,983188000,1523786000,1590463000,940456000,412116000
95,Cash Used/Provided by Financing Activities,-3166000,531957000,267802000,127833000,35206000,-33789000,-32533000,-50992000,16103000,-41292000,82690000,97086000,-52835000,-74161000,586904000,485964000,537705000,284621000,244587000,23471000,427291000,-171241000,503108000,747068000,833324000,-164573000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-3166000,531957000,-2486000,19673000,-8516000,-1113000,-710000,-5885000,-5039000,-972000,8067000,-216000,-2179000,330000,4957000,-10063000,11923000,18677000,-11596000,32727000,136910000,-183331000,104236000,-94690000,746786000,-396047000
98,Cash at the End of Period,- -,8929000,6443000,26116000,17600000,16487000,15777000,9892000,4853000,3881000,11948000,11732000,9553000,9883000,14840000,4777000,16700000,35377000,23781000,56508000,193418000,66798000,171034000,76344000,823130000,427083000
99,Cash at the Beginning of Period,- -,- -,8929000,6443000,26116000,17600000,16487000,15777000,9892000,4853000,3881000,11948000,11732000,9553000,9883000,14840000,4777000,16700000,35377000,23781000,56508000,250129000,66798000,171034000,76344000,823130000
100,Free Cash Flow,766000,-1064614000,-607996000,-358168000,-108281000,-33270000,-20056000,11031000,-121709000,-93432000,-225624000,-239410000,49727000,70800000,-610724000,-556301000,-322905000,-312207000,-451793000,-374591000,-151432000,-158682000,-556932000,-779921000,-160475000,-1281401000
