,https://roic.ai/company/JAZZ,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,- -,-78444000,-78052000,-138778000,-170365000,15930000,57789000,127831000,197844000,340312000,195587000,508220000,591654000,528842000,614838000,532374000,378073000,170278000
18,Operating Income ratio,- -,-3.6584,-1.7401,-2.1252,-2.5239,0.1241,0.3327,0.4694,0.3376,0.3901,0.1668,0.3836,0.3976,0.3267,0.3252,0.2463,0.1600,0.0550
19,Total Other Income Expenses (Gains),- -,-22201000,30483000,-22000,-13935000,-22730000,-24989000,-2831000,-20444000,-32312000,-44030000,-72287000,-59587000,-88734000,-87578000,-78072000,-102978000,-283116000
20,Income Before Tax,- -,- -,- -,-138800000,-184300000,-6800000,32800000,125000000,177400000,308000000,151557000,435933000,532067000,440108000,527260000,454302000,275095000,-112838000
21,Income Before Tax Ratio,- -,- -,- -,-2.1256,-2.7304,-0.0530,0.1888,0.4591,0.3027,0.3530,0.1292,0.3291,0.3576,0.2719,0.2788,0.2102,0.1164,-0.0365
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,-83800000,91600000,94231000,106399000,135236000,107360000,80169500,-73154000,33517000,216116000
23,Net Income,-24804000,-85156000,-59391000,-138800000,-184300000,-6800000,32800000,125000000,288600000,216300000,58387000,329535000,396831000,487848000,447098000,523367000,238616000,-329668000
24,Net Income ratio,-Infinity,-3.9715,-1.3240,-2.1256,-2.7304,-0.0530,0.1888,0.4591,0.4925,0.2479,0.0498,0.2487,0.2667,0.3014,0.2364,0.2421,0.1010,-0.1065
25,EPS,-1.84,-6.32,-6.04,-10.04,-7.19,-0.23,0.90,3.01,5.09,3.71,0.98,5.38,6.56,8.13,7.45,9.22,4.28,-5.38
26,EPS Diluted,-1.84,-6.32,-6.04,-10.04,-7.19,-0.23,0.83,2.67,4.79,3.51,0.93,5.23,6.41,7.96,7.30,9.09,4.22,-5.38
27,Weighted Average Shares Outstanding,13466000,13466000,13466000,13829000,25646000,30018000,36343000,41499000,56643000,58298000,59746000,61232000,60500000,60018000,59976000,56749000,55712000,61284000
28,Weighted Average Shares Outstanding Diluted,13466000,13466000,13466000,13829000,25646000,30018000,39411000,46798000,60195000,61569000,62614000,63036000,61870000,61317000,61221000,57550000,56517000,61284000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1232524/000119312508070827/d10k.htm,https://www.sec.gov/Archives/edgar/data/1232524/000119312509064139/0001193125-09-064139-index.html,https://www.sec.gov/Archives/edgar/data/1232524/000119312510047157/0001193125-10-047157-index.html,https://www.sec.gov/Archives/edgar/data/1232524/000119312511059362/d10k.htm,https://www.sec.gov/Archives/edgar/data/1232524/000119312512085849/0001193125-12-085849-index.html,https://www.sec.gov/Archives/edgar/data/1232524/000123252413000010/0001232524-13-000010-index.html,https://www.sec.gov/Archives/edgar/data/1232524/000123252414000012/jazz1231201310k.htm,https://www.sec.gov/Archives/edgar/data/1232524/000123252415000030/jazz1231201410k.htm,https://www.sec.gov/Archives/edgar/data/1232524/000123252416000194/0001232524-16-000194-index.html,https://www.sec.gov/Archives/edgar/data/1232524/000123252417000024/0001232524-17-000024-index.html,https://www.sec.gov/Archives/edgar/data/1232524/000123252418000018/0001232524-18-000018-index.html,https://www.sec.gov/Archives/edgar/data/1232524/000123252419000013/0001232524-19-000013-index.html,https://www.sec.gov/Archives/edgar/data/1232524/000123252420000016/0001232524-20-000016-index.html,https://www.sec.gov/Archives/edgar/data/1232524/000123252421000016/0001232524-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1232524/000123252422000012/0001232524-22-000012-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,20614000,78948000,102900000,24900000,15600000,44800000,82100000,387200000,636500000,684000000,988800000,366000000,386000000,215606000,333172000,1057769000,591448000
32,Short-Term Investments,- -,- -,- -,- -,1000000,- -,- -,75800000,- -,- -,- -,- -,60000000,215000000,609016000,744172000,1075000000,- -
33,Cash and Short-Term Investments,- -,20614000,78948000,102900000,25900000,15600000,44800000,157900000,387200000,636500000,684000000,988800000,426000000,601000000,824622000,1077344000,2132769000,591448000
34,Net Receivables,- -,3597000,5380000,5400000,6600000,12300000,22100000,34400000,75500000,124800000,186400000,209700000,234200000,224100000,263838000,355987000,396490000,563360000
35,Inventory,- -,3262000,3026000,2200000,4300000,3400000,5000000,3900000,26500000,28700000,30000000,19500000,34100000,43200000,52956000,78608000,95396000,1072721000
36,Other Current Assets,- -,3911000,4209000,5600000,7200000,5700000,2600000,2900000,62400000,74600000,115400000,39700000,53800000,100000000,92589000,118329000,214913000,383805000
37,Total Current Assets,- -,31384000,91563000,116100000,44000000,37000000,74500000,199100000,551600000,864600000,1015800000,1257700000,748100000,968300000,1234005000,1630268000,2839568000,2611334000
38,PP&E,- -,1941000,2107000,3900000,2500000,1100000,700000,1600000,7300000,14200000,58400000,85600000,107500000,170100000,200358000,270891000,257104000,343423000
39,Goodwill,- -,38883000,38213000,38200000,38200000,38200000,38200000,38200000,442600000,450500000,702700000,657100000,893800000,947500000,927630000,920018000,958303000,1827609000
40,Intangible Assets,- -,78740000,69140000,36000000,32500000,29900000,22000000,14600000,870000000,812400000,1437400000,1185600000,3012000000,2979100000,2731334000,2440977000,2195051000,7152328000
41,Intangible Assets,- -,117623000,107353000,74200000,70700000,68100000,60200000,52800000,1312600000,1262900000,2140100000,1842700000,3905800000,3926600000,3658964000,3360995000,3153354000,8979937000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,178400000,168500000,375100000,283500000,556700000,383500000,309097000,224095000,254916000,311103000
44,Other Non-Current Assets,- -,13833000,13548000,13400000,300000,1200000,300000,100000,-83400000,-72000000,-250400000,-136900000,-517900000,-324800000,-198933000,52648000,30959000,52842000
45,Total Non-Current Assets,- -,133397000,123008000,91500000,73500000,70400000,61200000,54500000,1414900000,1373600000,2323200000,2074900000,4052100000,4155400000,3969486000,3908629000,3696333000,9687305000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,164781000,214571000,207600000,117500000,107400000,135700000,253600000,1966500000,2238200000,3339000000,3332600000,4800200000,5123700000,5203491000,5538897000,6535901000,12298639000
48,Accounts Payable,- -,4786000,5443000,2900000,5700000,2200000,3000000,5100000,15900000,21000000,25100000,21800000,22400000,24400000,40602000,47545000,26945000,100298000
49,Short-Term Debt,- -,- -,2191000,3459000,122409000,33158000,23414000,- -,29688000,5572000,9428000,37587000,36094000,40605000,33387000,46115000,260779000,46763000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,39884000,336000,7588000,1808000,4506000,21577000,1197000,10965000,25200000,9608000
51,Deferred Revenue,- -,- -,1422000,1494000,12322000,2675000,1273000,1138000,1138000,1138000,1138000,1370000,1123000,8618000,5414000,4720000,2546000,2093000
52,Other Current Liabilities,- -,18550000,21464000,29047000,33069000,21167000,32213000,46662000,144774000,176290000,181134000,165843000,197783000,220277000,266084000,266110000,363475000,660149000
53,Total Current Liabilities,- -,23336000,30520000,36900000,173500000,59200000,59900000,52900000,191500000,204000000,216800000,226600000,257400000,293900000,345487000,364490000,653745000,809303000
54,Long-Term Debt,- -,73629000,74283000,75100000,- -,91100000,24600000,- -,427100000,544400000,1333000000,1150900000,1993500000,1540400000,1563025000,1573870000,1848516000,6106143000
55,Deferred Revenue,- -,- -,- -,12468000,11330000,10191000,9053000,7915000,6776000,5718000,4499000,3721000,2601000,16115000,9581000,4861000,2315000,463000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,178393000,168497000,375054000,294485000,556733000,383472000,309097000,224095000,130397000,1300541000
57,Other Non-Current Liabilities,- -,186064000,286064000,14832000,13070000,19709000,11647000,-15000,41431000,20085000,38447000,58294000,112666000,176713000,218879000,260600000,241183000,116998000
58,Total Non-Current Liabilities,- -,259693000,360347000,102400000,24400000,121000000,45300000,7900000,653700000,738700000,1751000000,1507400000,2665500000,2116700000,2100582000,2063426000,2222411000,7524145000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,163954000,154492000,102963000
61,Total Liabilities,- -,283029000,390867000,139300000,197900000,180200000,105200000,60800000,845200000,942700000,1967800000,1734000000,2922900000,2410600000,2446069000,2427916000,2876156000,8333448000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,100000,100000,100000,100000,100000,100000,61000,61000,61000,61000
64,Retained Earnings,- -,-118252000,-177643000,-316500000,-500800000,-507600000,-474900000,-349900000,-60800000,19000000,35200000,303200000,529400000,918400000,841522000,1068287000,1159894000,830226000
65,Other Comprehensive Income/Loss,- -,4000,12000,19000,4000,- -,-6200000,-31000,31046000,56153000,-122097000,-267472000,-317333000,-140878000,-197791000,-223393000,-134352000,-400360000
66,Other Total Stockholders Equity,- -,610000,2582000,344892000,382922000,440170000,511651000,549288000,1150946000,1220281000,1457941000,1562818000,1665172000,1935475000,2113630000,2266026000,2634142000,- -
67,Total Stockholders Equity,- -,-118248000,-176296000,54992000,-92878000,-72830000,30551000,192788000,1121292000,1295534000,1371144000,1598646000,1877339000,2713097000,2757422000,3110981000,3659745000,3965191000
68,Total Liabilities And Stockholders Equity,- -,164781000,214571000,194292000,105022000,107370000,135751000,253588000,1966492000,2238234000,3338944000,3332646000,4800239000,5123697000,5203491000,5538897000,6535901000,12298639000
69,Minority Interest,- -,- -,- -,13308000,12478000,30000,-51000,12000,8000,-34000,56000,-46000,-39000,3000,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,164781000,214571000,207600000,117500000,107400000,135700000,253600000,1966500000,2238200000,3339000000,3332600000,4800200000,5123700000,5203491000,5538897000,6535901000,12298639000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1232524/000119312508070827/d10k.htm,https://www.sec.gov/Archives/edgar/data/1232524/000119312509064139/0001193125-09-064139-index.html,https://www.sec.gov/Archives/edgar/data/1232524/000119312510047157/0001193125-10-047157-index.html,https://www.sec.gov/Archives/edgar/data/1232524/000119312511059362/d10k.htm,https://www.sec.gov/Archives/edgar/data/1232524/000119312512085849/0001193125-12-085849-index.html,https://www.sec.gov/Archives/edgar/data/1232524/000123252413000010/0001232524-13-000010-index.html,https://www.sec.gov/Archives/edgar/data/1232524/000123252414000012/jazz1231201310k.htm,https://www.sec.gov/Archives/edgar/data/1232524/000123252415000030/jazz1231201410k.htm,https://www.sec.gov/Archives/edgar/data/1232524/000123252416000194/0001232524-16-000194-index.html,https://www.sec.gov/Archives/edgar/data/1232524/000123252417000024/0001232524-17-000024-index.html,https://www.sec.gov/Archives/edgar/data/1232524/000123252418000018/0001232524-18-000018-index.html,https://www.sec.gov/Archives/edgar/data/1232524/000123252419000013/0001232524-19-000013-index.html,https://www.sec.gov/Archives/edgar/data/1232524/000123252420000016/0001232524-20-000016-index.html,https://www.sec.gov/Archives/edgar/data/1232524/000123252421000016/0001232524-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1232524/000123252422000012/0001232524-22-000012-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-85156000,-59391000,-138800000,-184300000,-6800000,32800000,125000000,288600000,216300000,58387000,329535000,396831000,487848000,447098000,523367000,238616000,-329668000
74,Depreciation and Amortization,- -,5439000,10310000,10526000,15026000,9097000,8711000,7827000,74229000,82090000,133681000,108056000,113780000,165154000,216731000,370156000,278253000,552483000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,-113862000,-10097000,-43423000,-61209000,-41163000,-225591000,-88815000,-236610000,-136937000,69198000
76,Stock Based Compensation,- -,- -,- -,- -,8106000,5957000,8219000,20704000,23006000,44551000,69638000,91550000,98771000,106900000,102441000,110563000,120998000,189006000
77,Change in Working Capital,- -,2849000,52995000,18157000,-208700000,107300000,36800000,131600000,213900000,300500000,138400000,232100000,-540400000,183700000,214118000,377260000,920045000,-47952000
78,Accounts Receivable,- -,- -,- -,- -,-1254000,-5670000,-9768000,-12293000,-4724000,-48846000,-55041000,-24841000,-25603000,12278000,-40132000,-92326000,-38647000,-92735000
79,Inventory,- -,-219000,-521000,459000,-2634000,883000,-1644000,1298000,1697000,-8516000,-7630000,6271000,-17024000,-8667000,-18512000,-32790000,-30537000,-48861000
80,Accounts Payable,- -,- -,- -,- -,2880000,-3578000,891000,2080000,-7286000,5089000,-37966000,-2280000,361000,214000,17040000,4770000,-18935000,57021000
81,Other Working Capital,- -,8048000,61043000,79200000,-129500000,-22200000,14600000,146200000,360100000,660600000,799000000,1031100000,490700000,674400000,888518000,1265778000,2185823000,-2305000
82,Other Non-Cash Items,- -,24706000,-61264000,29026000,239636000,-131432000,-27662000,-133535000,-236121000,-349728000,49082000,-168089000,562717000,-24924000,-92669000,-368335000,-521327000,345440000
83,Cash Provided by Operating Activities,- -,-52162000,-57350000,-81091000,-130232000,-15878000,58868000,151596000,249752000,283616000,405765000,531943000,590536000,693087000,798904000,776401000,899648000,778507000
84,CAPEX,- -,-1413000,-1682000,-3149000,-28739000,-6053000,-4731000,-5779000,-22476000,-11276000,-238973000,-35958000,-181582000,-113950000,-131470000,-182335000,-379254000,-45532000
85,Acquisitions Net,- -,-146116000,- -,- -,- -,- -,- -,- -,-448609000,- -,-828676000,33703000,-1502443000,- -,- -,- -,- -,-6234792000
86,Purchases of Investments,- -,- -,-1705000,-10848000,- -,- -,- -,-79886000,-37443000,- -,- -,- -,-65275000,-385000000,-1165915000,-917100000,-2397675000,-26819000
87,Sales/Maturities of Investments,- -,5950000,1705000,10848000,3436000,1004000,2588000,4033000,113234000,- -,- -,- -,- -,230000000,855000000,985000000,1755000000,1095000000
88,Other Investing Activites,- -,-12175000,175000,8486000,-13639000,-7075000,-4000000,-4100000,-16500000,-1300000,-202626000,- -,-173750000,-85000000,-63202000,-183065000,-349991000,-17891000
89,Cash Used for Investing Activites,- -,-153754000,-1507000,5337000,-11942000,-6124000,-2143000,-81232000,-395294000,-11276000,-1067649000,-2255000,-1749300000,-268950000,-394487000,-155300000,-1007670000,-5212143000
90,Debt Repayment,- -,- -,- -,- -,-504000,- -,-136312000,-49501000,-11875000,-465910000,-309524000,-1065760000,-178304000,-886094000,-25717000,-33387000,-889575000,-1320600000
91,Common Stock Issued,- -,177852000,100000000,98483000,24514000,6782000,56817000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-136484000,-42215000,-61553000,-278296000,-98799000,-523672000,-301450000,-146537000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,15000000,17191000,1268000,40122000,5912000,51969000,16419000,460405000,578365000,1064614000,912990000,997587000,575782000,70259000,41092000,1564185000,5291122000
95,Cash Used/Provided by Financing Activities,- -,192852000,117191000,99751000,64132000,12694000,-27526000,-33082000,448530000,-24029000,712875000,-214323000,540987000,-409111000,-479130000,-293745000,528073000,3970522000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,2132000,997000,-3453000,-10622000,-5045000,5046000,-1700000,366000,374000,-3207000
97,Net Change In Cash,- -,-13064000,58334000,23997000,-78042000,-9308000,29199000,37282000,305120000,249308000,47538000,304743000,-622822000,20072000,-76413000,327722000,420425000,-466321000
98,Cash at the End of Period,- -,20614000,78948000,102945000,24903000,15595000,44794000,82076000,387196000,636504000,684042000,988785000,365963000,386035000,309622000,637344000,1057769000,591448000
99,Cash at the Beginning of Period,- -,33678000,20614000,78948000,102945000,24903000,15595000,44794000,82076000,387196000,636504000,684042000,988785000,365963000,386035000,309622000,637344000,1057769000
100,Free Cash Flow,- -,-53575000,-59032000,-84240000,-158971000,-21931000,54137000,145817000,227276000,272340000,166792000,495985000,408954000,579137000,667434000,594066000,520394000,732975000
101,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1232524/000119312508070827/d10k.htm,https://www.sec.gov/Archives/edgar/data/1232524/000119312509064139/0001193125-09-064139-index.html,https://www.sec.gov/Archives/edgar/data/1232524/000119312510047157/0001193125-10-047157-index.html,https://www.sec.gov/Archives/edgar/data/1232524/000119312511059362/d10k.htm,https://www.sec.gov/Archives/edgar/data/1232524/000119312512085849/0001193125-12-085849-index.html,https://www.sec.gov/Archives/edgar/data/1232524/000123252413000010/0001232524-13-000010-index.html,https://www.sec.gov/Archives/edgar/data/1232524/000123252414000012/jazz1231201310k.htm,https://www.sec.gov/Archives/edgar/data/1232524/000123252415000030/jazz1231201410k.htm,https://www.sec.gov/Archives/edgar/data/1232524/000123252416000194/0001232524-16-000194-index.html,https://www.sec.gov/Archives/edgar/data/1232524/000123252417000024/0001232524-17-000024-index.html,https://www.sec.gov/Archives/edgar/data/1232524/000123252418000018/0001232524-18-000018-index.html,https://www.sec.gov/Archives/edgar/data/1232524/000123252419000013/0001232524-19-000013-index.html,https://www.sec.gov/Archives/edgar/data/1232524/000123252420000016/0001232524-20-000016-index.html,https://www.sec.gov/Archives/edgar/data/1232524/000123252421000016/0001232524-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1232524/000123252422000012/0001232524-22-000012-index.htm
102,false,,,,,,,,,,,,,,,,,,
