,https://roic.ai/company/CHE,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
23,Net Income,21900000,36800000,20400000,21900000,26200000,16600000,52900000,15700000,19500000,43900000,23100000,32300000,30300000,19900000,19700000,20584000,-10375000,-1813000,-3435000,27512000,35817000,50651000,63976000,71017000,73784000,81831000,85979000,89304000,77227000,99317000,110274000,108743000,98177000,205544000,219923000,319466000,268550000
24,Net Income ratio,0.0588,0.1024,0.0522,0.0437,0.0443,0.0277,0.1502,0.0392,0.0371,0.0681,0.0330,0.0472,0.0887,0.0522,0.0434,0.0411,-0.0217,-0.0058,-0.0111,0.0374,0.0387,0.0497,0.0582,0.0618,0.0620,0.0639,0.0634,0.0624,0.0546,0.0682,0.0714,0.0690,0.0589,0.1153,0.1134,0.1536,0.1255
25,EPS,1.25,2.06,1.14,1.19,1.30,0.80,2.63,0.80,0.99,2.23,1.18,1.65,1.52,0.99,0.94,1.04,-0.54,-0.09,-0.17,1.14,1.40,1.94,2.61,3.08,3.29,3.62,4.19,4.72,4.24,5.79,6.54,6.64,6.11,12.80,13.77,20.02,17.14
26,EPS Diluted,1.14,1.80,1.07,1.14,1.27,0.80,2.63,0.80,0.99,2.23,1.18,1.65,1.51,0.98,0.94,1.03,-0.54,-0.09,-0.17,1.11,1.36,1.90,2.55,3.04,3.24,3.55,4.10,4.62,4.16,5.57,6.33,6.48,5.86,12.23,13.31,19.48,16.85
27,Weighted Average Shares Outstanding,17590361,17864078,17894737,18481013,20076628,20750000,20075901,19625000,19597990,19712000,19722000,19672000,19880000,20116000,20940000,19666000,19428000,19716000,19848000,24120000,25552000,26118000,24520000,23058000,22451000,22587000,20523000,18924000,18199000,17165000,16870000,16383000,16057000,16059000,15969000,15955000,15671000
28,Weighted Average Shares Outstanding Diluted,19295154,20444444,18976744,19295154,20629921,20750000,20075901,19625000,19597990,19712000,19722000,19672000,20028000,20200000,21028000,20610000,19428000,19716000,19848000,24636000,26299000,26669000,25077000,23374000,22742000,23031000,20945000,19339000,18585000,17840000,17422000,16789000,16742000,16803000,16527000,16398000,15938000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/19584/000095015297002245/0000950152-97-002245-index.html,https://www.sec.gov/Archives/edgar/data/19584/000095015298002507/0000950152-98-002507-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/19584/000102140802004235/0001021408-02-004235-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/19584/000095015205003650/0000950152-05-003650-index.htm,- -,https://www.sec.gov/Archives/edgar/data/19584/000095015207001581/0000950152-07-001581-index.html,https://www.sec.gov/Archives/edgar/data/19584/000095015208001503/l30298ae10vk.htm,https://www.sec.gov/Archives/edgar/data/19584/000095015209001893/0000950152-09-001893-index.html,https://www.sec.gov/Archives/edgar/data/19584/000095012310017609/0000950123-10-017609-index.html,https://www.sec.gov/Archives/edgar/data/19584/000095012311019686/l41914e10vk.htm,https://www.sec.gov/Archives/edgar/data/19584/000115752312001051/0001157523-12-001051-index.html,https://www.sec.gov/Archives/edgar/data/19584/000115752313001064/0001157523-13-001064-index.html,https://www.sec.gov/Archives/edgar/data/19584/000115752314000846/a50809562.htm,https://www.sec.gov/Archives/edgar/data/19584/000115752315000756/a51044635.htm,https://www.sec.gov/Archives/edgar/data/19584/000115752316004755/0001157523-16-004755-index.html,https://www.sec.gov/Archives/edgar/data/19584/000115752317000638/0001157523-17-000638-index.html,https://www.sec.gov/Archives/edgar/data/19584/000115752318000411/0001157523-18-000411-index.html,https://www.sec.gov/Archives/edgar/data/19584/000115752319000468/0001157523-19-000468-index.html,https://www.sec.gov/Archives/edgar/data/19584/000001958420000006/0000019584-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/19584/000001958421000003/0000019584-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/19584/000156276222000060/0001562762-22-000060-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,6200000,25500000,4700000,4400000,3700000,1400000,5900000,14500000,14600000,4700000,19200000,11900000,71000000,41400000,17300000,10280000,9008000,37731000,50587000,71448000,57133000,29274000,4988000,3628000,112416000,49917000,38081000,69531000,84418000,14132000,14727000,15310000,11121000,4831000,6158000,162675000,32895000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,6200000,25500000,4700000,4400000,3700000,1400000,5900000,14500000,14600000,4700000,19200000,11900000,71000000,41400000,17300000,10280000,9008000,37731000,50587000,71448000,57133000,29274000,4988000,3628000,112416000,49917000,38081000,69531000,84418000,14132000,14727000,15310000,11121000,4831000,6158000,162675000,32895000
34,Net Receivables,62400000,59800000,60000000,78200000,82700000,81000000,45400000,59600000,64000000,87500000,87200000,77600000,42100000,45300000,55900000,54571000,49238000,16071000,13592000,64663000,95063000,93086000,103113000,98076000,53461000,112999000,80055000,93333000,91770000,124607000,106262000,132021000,113651000,119504000,143827000,126853000,137217000
35,Inventory,32600000,30900000,37300000,54600000,55200000,55100000,29600000,47600000,54700000,60300000,58300000,52400000,8700000,9800000,9800000,10503000,10424000,9493000,8256000,7019000,6499000,6578000,6596000,7569000,7543000,7728000,8668000,7058000,6703000,6168000,6314000,5755000,5334000,5705000,7462000,7095000,10109000
36,Other Current Assets,2900000,7100000,8400000,6100000,8900000,6400000,82500000,40200000,11900000,30800000,54700000,50500000,55700000,28100000,28800000,31116000,31383000,32933000,29650000,54489000,45555000,33175000,24708000,26988000,24838000,26153000,23949000,27749000,41765000,29657000,23505000,16814000,45940000,29800000,33224000,32780000,50065000
37,Total Current Assets,104100000,123300000,110400000,143300000,150500000,143900000,163400000,161900000,145200000,183300000,219400000,192400000,177500000,124600000,111800000,106470000,100053000,96228000,102085000,197619000,204250000,162113000,139405000,136261000,198258000,196797000,150753000,197671000,224656000,174564000,150808000,169900000,176046000,159840000,190671000,329403000,230286000
38,PP&E,42100000,46600000,48500000,61100000,65800000,66000000,44400000,62900000,70800000,77100000,77100000,83300000,53100000,61700000,71700000,75177000,67588000,48361000,41004000,55796000,65449000,70140000,74513000,76962000,75358000,79292000,82951000,91934000,92955000,105336000,117370000,121302000,143034000,162033000,287415000,311268000,318728000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,161075000,- -,- -,- -,- -,435050000,438689000,448721000,450042000,458343000,460633000,465832000,466871000,466722000,472322000,472366000,476887000,510570000,577367000,578585000,578591000
40,Intangible Assets,32300000,44500000,43200000,54200000,56100000,54700000,64400000,78400000,117000000,134600000,137600000,204200000,156600000,168900000,175900000,180716000,4037000,113732000,105927000,509656000,509114000,69215000,65177000,61303000,57920000,56410000,58262000,57177000,56556000,56027000,55111000,55065000,54865000,68253000,126370000,118085000,108096000
41,Intangible Assets,32300000,44500000,43200000,54200000,56100000,54700000,64400000,78400000,117000000,134600000,137600000,204200000,156600000,168900000,175900000,180716000,165112000,113732000,105927000,509656000,509114000,504265000,503866000,510024000,507962000,514753000,518895000,523009000,523427000,522749000,527433000,527431000,531752000,578823000,703737000,696670000,686687000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23000000,26000000,29000000,22628000,24158000,28304000,31629000,36089000,42465000,49147000,49481000,54389000,62067000,65624000,77446000,88811000,98884000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,51400000,59400000,61700000,64100000,62900000,62900000,92100000,101700000,97300000,110500000,97800000,79500000,61600000,74500000,61900000,59012000,63758000,80608000,80053000,62495000,33272000,30769000,25529000,15049000,13734000,11015000,11677000,10923000,10198000,8136000,7233000,7037000,7127000,9209000,9048000,8759000,8138000
45,Total Non-Current Assets,125800000,150500000,153400000,179400000,184800000,183600000,200900000,243000000,285100000,322200000,312500000,367000000,271300000,305100000,309500000,314905000,296458000,242701000,226984000,627947000,630835000,631174000,632908000,624663000,621212000,633364000,645152000,661955000,669045000,685368000,701517000,710159000,743980000,815689000,1077646000,1105508000,1112437000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,229900000,273800000,263800000,322700000,335300000,327500000,364300000,404900000,430300000,505500000,531900000,559400000,448800000,429700000,421300000,421375000,396511000,338929000,329069000,825566000,835085000,793287000,772313000,760924000,819470000,830161000,795905000,859626000,893701000,859932000,852325000,880059000,920026000,975529000,1268317000,1434911000,1342723000
48,Accounts Payable,- -,- -,- -,- -,38600000,39300000,17800000,22000000,24100000,31400000,28400000,25700000,8800000,10300000,11200000,11102000,11651000,5686000,7120000,37777000,43626000,49744000,48111000,52810000,52071000,55829000,48225000,48472000,41758000,46849000,43695000,39586000,48372000,50150000,51101000,54234000,73024000
49,Short-Term Debt,8400000,7100000,12900000,17100000,18100000,24000000,9100000,25300000,30700000,31400000,32100000,17600000,5300000,4400000,11700000,14376000,353000,409000,448000,12185000,1045000,209000,10162000,10169000,- -,- -,- -,- -,183564000,6250000,7500000,8750000,10000000,- -,39280000,36200000,37913000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2156000,63000,1161000,90000,4938000,111000,5818000,- -,- -,- -,- -,- -,9464000,41000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22194000,17321000,14362000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,50700000,66200000,55700000,66000000,31300000,30800000,57800000,56700000,72800000,79900000,84500000,81200000,80300000,76400000,75500000,81464000,50912000,46453000,37162000,119218000,124224000,116111000,94559000,91071000,84013000,93513000,97175000,108350000,138664000,122455000,120141000,123496000,135150000,141520000,171839000,208674000,191462000
53,Total Current Liabilities,59100000,73300000,68600000,83100000,88000000,94100000,84700000,104000000,127600000,142700000,145000000,124500000,94400000,91100000,98400000,106942000,85110000,69869000,59092000,169180000,168895000,166064000,152832000,154050000,136084000,149342000,145400000,156822000,363986000,175554000,171336000,171832000,193522000,191670000,262220000,299108000,302399000
54,Long-Term Debt,57400000,47300000,46500000,90400000,85800000,82200000,77900000,103800000,98100000,92100000,85400000,158200000,83700000,80400000,78600000,58391000,61037000,25603000,25931000,279510000,234058000,150331000,214669000,199656000,152127000,159208000,166784000,174890000,- -,141250000,83750000,100000000,91200000,89200000,90000000,99210000,285629000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,7700000,12800000,13000000,11400000,11100000,8700000,2000000,- -,- -,7600000,15800000,6700000,- -,- -,- -,- -,- -,- -,- -,16814000,22304000,26301000,5802000,7597000,25924000,25085000,29463000,27662000,27301000,29945000,21041000,14291000,16640000,21598000,18504000,20664000,23183000
57,Other Non-Current Liabilities,15200000,20600000,22500000,26600000,5300000,6200000,34300000,34900000,35400000,40600000,36000000,41300000,42600000,34800000,32300000,27637000,27842000,40180000,51353000,27970000,25653000,29230000,34661000,28029000,28173000,34477000,40574000,46961000,53524000,61827000,62945000,69837000,78310000,81727000,170985000,114729000,108239000
58,Total Non-Current Liabilities,80300000,80700000,82000000,128400000,102200000,97100000,114200000,138700000,133500000,140300000,137200000,206200000,126300000,115200000,110900000,86028000,88879000,65783000,77284000,324294000,282015000,205862000,255132000,235282000,206224000,218770000,236821000,249513000,80825000,233022000,167736000,184128000,186150000,192525000,279489000,234603000,417051000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,125936000,135410000,138542000
61,Total Liabilities,139400000,154000000,150600000,211500000,190200000,191200000,198900000,242700000,261100000,283000000,282200000,330700000,220700000,206300000,209300000,192970000,173989000,135652000,136376000,493474000,450910000,371926000,407964000,389332000,342308000,368112000,382221000,406335000,444811000,408576000,339072000,355960000,379672000,384195000,541709000,533711000,719450000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13700000,13318000,13438000,13448000,13453000,13491000,28374000,28850000,29261000,29515000,29891000,30382000,30937000,31589000,32245000,33337000,33985000,34270000,34732000,35311000,35811000,36259000,36514000
64,Retained Earnings,28900000,52600000,58700000,66800000,74500000,70800000,104000000,100000000,99900000,124000000,145300000,139300000,148700000,147000000,144300000,153909000,139163000,132793000,119746000,141542000,171188000,215517000,278336000,343810000,403366000,473316000,546757000,623035000,686114000,771176000,865845000,958149000,1038955000,1225617000,1425752000,1723777000,1970311000
65,Other Comprehensive Income/Loss,-28100000,-32900000,-38200000,-44300000,-50600000,-53600000,-23100000,-26900000,-34000000,-40400000,-47100000,-56700000,-36200000,-44500000,-55400000,-64757000,-69738000,319000,-1580000,-1759000,-1177000,2419000,2481000,-101689000,-115181000,1959000,-146709000,2035000,2154000,2283000,2395000,2513000,2202000,2344000,2314000,2339000,- -
66,Other Total Stockholders Equity,89700000,100100000,92700000,88700000,121200000,119100000,84500000,89100000,103300000,138900000,151500000,146100000,115600000,120900000,109400000,125935000,139659000,56717000,61074000,178818000,185790000,174575000,54271000,99956000,159086000,-43608000,-17301000,-203368000,-271623000,-355440000,-388972000,-470833000,-535535000,-671938000,-737269000,-861175000,- -
67,Total Stockholders Equity,90500000,119800000,113200000,111200000,145100000,136300000,165400000,162200000,169200000,222500000,249700000,228700000,228100000,223400000,212000000,228405000,222522000,203277000,192693000,332092000,384175000,421361000,364349000,371592000,477162000,462049000,413684000,453291000,448890000,451356000,513253000,524099000,540354000,591334000,726608000,901200000,623273000
68,Total Liabilities And Stockholders Equity,229900000,273800000,263800000,322700000,335300000,327500000,364300000,404900000,430300000,505500000,531900000,559400000,448800000,429700000,421300000,421375000,396511000,338929000,329069000,825566000,835085000,793287000,772313000,760924000,819470000,830161000,795905000,859626000,893701000,859932000,852325000,880059000,920026000,975529000,1268317000,1434911000,1342723000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,229900000,273800000,263800000,322700000,335300000,327500000,364300000,404900000,430300000,505500000,531900000,559400000,448800000,429700000,421300000,421375000,396511000,338929000,329069000,825566000,835085000,793287000,772313000,760924000,819470000,830161000,795905000,859626000,893701000,859932000,852325000,880059000,920026000,975529000,1268317000,1434911000,1342723000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/19584/000095015297002245/0000950152-97-002245-index.html,https://www.sec.gov/Archives/edgar/data/19584/000095015298002507/0000950152-98-002507-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/19584/000102140802004235/0001021408-02-004235-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/19584/000095015205003650/0000950152-05-003650-index.htm,- -,https://www.sec.gov/Archives/edgar/data/19584/000095015207001581/0000950152-07-001581-index.html,https://www.sec.gov/Archives/edgar/data/19584/000095015208001503/l30298ae10vk.htm,https://www.sec.gov/Archives/edgar/data/19584/000095015209001893/0000950152-09-001893-index.html,https://www.sec.gov/Archives/edgar/data/19584/000095012310017609/0000950123-10-017609-index.html,https://www.sec.gov/Archives/edgar/data/19584/000095012311019686/l41914e10vk.htm,https://www.sec.gov/Archives/edgar/data/19584/000115752312001051/0001157523-12-001051-index.html,https://www.sec.gov/Archives/edgar/data/19584/000115752313001064/0001157523-13-001064-index.html,https://www.sec.gov/Archives/edgar/data/19584/000115752314000846/a50809562.htm,https://www.sec.gov/Archives/edgar/data/19584/000115752315000756/a51044635.htm,https://www.sec.gov/Archives/edgar/data/19584/000115752316004755/0001157523-16-004755-index.html,https://www.sec.gov/Archives/edgar/data/19584/000115752317000638/0001157523-17-000638-index.html,https://www.sec.gov/Archives/edgar/data/19584/000115752318000411/0001157523-18-000411-index.html,https://www.sec.gov/Archives/edgar/data/19584/000115752319000468/0001157523-19-000468-index.html,https://www.sec.gov/Archives/edgar/data/19584/000001958420000006/0000019584-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/19584/000001958421000003/0000019584-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/19584/000156276222000060/0001562762-22-000060-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,26200000,16600000,52900000,15700000,19500000,43900000,23100000,32300000,30300000,19900000,19700000,20584000,-10375000,-1813000,-3435000,27512000,35817000,50651000,63976000,71017000,73784000,81831000,85979000,89304000,77227000,99317000,110274000,108743000,98177000,205544000,219923000,319466000,268550000
74,Depreciation and Amortization,- -,- -,- -,- -,21700000,23100000,8100000,9200000,13100000,15800000,18200000,18800000,15200000,17300000,20100000,23445000,24116000,14356000,12809000,20182000,23335000,23804000,26574000,27505000,27902000,29043000,29499000,30521000,32388000,33072000,33499000,34638000,35625000,38863000,45205000,56583000,59051000
75,Deferred Income Tax,- -,- -,- -,- -,2300000,-500000,-700000,-1600000,1300000,1100000,-800000,-2200000,-1800000,3400000,100000,2105000,-4400000,855000,-501000,5002000,-3682000,7408000,8113000,426000,4979000,-2409000,7242000,-3151000,-6988000,6978000,6325000,-6707000,2407000,5187000,-2770000,37783000,-15775000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7303000,8639000,7762000,8376000,- -,- -,- -,2647000,1855000,1231000,446000,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,-4100000,-12700000,28900000,-20800000,-40300000,23000000,33800000,-6500000,15200000,-49600000,-20100000,-13872000,15415000,11416000,16634000,-14554000,6916000,-39306000,-9476000,-4362000,79963000,-14719000,-42102000,35496000,-180179000,138340000,-19538000,18596000,-15544000,-14354000,-39719000,101844000,-26800000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6659000,33754000,-68656000,26896000,-24421000,-9009000,-45785000,4132000,-42142000,1072000,-5570000,-19247000,12773000,-8431000
79,Inventory,- -,- -,- -,- -,-800000,-200000,-400000,800000,-4900000,-6600000,-2200000,5800000,-800000,-900000,-500000,-706000,79000,931000,1237000,-986000,520000,-78000,-18000,-898000,29000,-151000,-940000,1610000,355000,535000,-142000,559000,421000,-351000,-1757000,367000,-3014000
