,https://roic.ai/company/IMGN,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,9300000,13500000,38600000,32400000,100000,13000000,- -,100000,100000,5700000,5200000,10535120,142262630,6079282,4183,598711,529000,1150000,2150000,26009000,38045000,77521000,87980000,- -,93991000,- -,- -,- -,101663000,162512000,- -,194271000,3769000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11071417,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-100000,-100000,-100000,-100000,800000,2900000,-900000,8300000,6800000,- -,- -,-56739,-60083,-8137,- -,- -,- -,- -,- -,- -,1314000,3462000,2719000,6988000,4026000,9136000,198564000,101769000,-1049000,4301000,2873000,1471000,351975000
95,Cash Used/Provided by Financing Activities,9200000,13400000,38500000,32300000,900000,15900000,-900000,8400000,6900000,5700000,5200000,10478381,142202547,6071145,-11067234,598711,529000,1150000,2150000,26009000,39359000,80983000,90699000,6988000,98017000,9136000,198564000,101769000,100614000,166813000,2873000,195742000,355744000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2500000,-2816672,13413611,1410889,-6101019,-3364334,-3345000,1390000,5792000,21014000,38020000,39517000,82050000,-30268000,34022000,-52699000,135848000,-33083000,107143000,-4855000,-86027000,117631000,184894000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4200000,1408908,14822519,16233408,10132389,6768055,3423000,4813000,10605000,31619000,69639000,109156000,191206000,160938000,194960000,142261000,278109000,245026000,267107000,262252000,176225000,293856000,478750000
99,Cash at the Beginning of Period,3400000,7200000,8800000,16000000,38000000,9500000,1600000,3000000,2800000,1700000,1700000,4225580,1408908,14822519,16233408,10132389,6768000,3423000,4813000,10605000,31619000,69639000,109156000,191206000,160938000,194960000,142261000,278109000,159964000,267107000,262252000,176225000,293856000
100,Free Cash Flow,-5400000,-9100000,-9100000,-15800000,-23600000,-29100000,-17200000,-8600000,-8100000,-6000000,-3600000,1945252,-8766193,-20266737,-25542493,-6971837,-4500000,-16407000,-17763000,-38149000,-15230000,-42118000,-10018000,-37196000,-64069000,-61834000,-62716000,-134852000,6529000,-171668000,-91212000,-79537000,-170850000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/855654/000091205702036253/0000912057-02-036253-index.htm,https://www.sec.gov/Archives/edgar/data/855654/000104746903031833/0001047469-03-031833-index.htm,https://www.sec.gov/Archives/edgar/data/855654/000104746904027022/0001047469-04-027022-index.htm,https://www.sec.gov/Archives/edgar/data/855654/000110465905041631/0001104659-05-041631-index.htm,https://www.sec.gov/Archives/edgar/data/855654/000085565406000029/0000855654-06-000029-index.htm,https://www.sec.gov/Archives/edgar/data/855654/000110465907066150/0001104659-07-066150-index.html,https://www.sec.gov/Archives/edgar/data/855654/000104746908009808/0001047469-08-009808-index.html,https://www.sec.gov/Archives/edgar/data/855654/000104746909008032/0001047469-09-008032-index.html,https://www.sec.gov/Archives/edgar/data/855654/000104746910007750/0001047469-10-007750-index.html,https://www.sec.gov/Archives/edgar/data/855654/000104746911007714/0001047469-11-007714-index.html,https://www.sec.gov/Archives/edgar/data/855654/000104746912008592/0001047469-12-008592-index.html,https://www.sec.gov/Archives/edgar/data/855654/000104746913008741/0001047469-13-008741-index.html,https://www.sec.gov/Archives/edgar/data/855654/000104746914007236/0001047469-14-007236-index.html,https://www.sec.gov/Archives/edgar/data/855654/000104746915007008/0001047469-15-007008-index.html,https://www.sec.gov/Archives/edgar/data/855654/000155837016008099/imgn-20160630x10k.htm,- -,https://www.sec.gov/Archives/edgar/data/855654/000155837019001432/0001558370-19-001432-index.html,https://www.sec.gov/Archives/edgar/data/855654/000155837020002399/0001558370-20-002399-index.html,https://www.sec.gov/Archives/edgar/data/855654/000155837021002170/0001558370-21-002170-index.htm,https://www.sec.gov/Archives/edgar/data/855654/000155837022002358/0001558370-22-002358-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
