,https://roic.ai/company/MPWR,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,-2.1667,-0.3052,- -,- -,- -,-0.1146,0.0813,0.0343,0.1065,0.1585,0.1221,0.1436,0.0698,0.0837,0.1008,0.1288,0.1276,0.1473,0.1761,0.2034,0.1802,0.2005,0.2254
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,-1001000,2949000,6462000,4981000,1216000,474000,1857000,425000,2134000,1109000,897000,7319000,4544000,17741000,13214000,4281000,4967000,30196000
23,Net Income,-1300000,-1603000,-3572603,-3237528,-3036210,-4451025,5107000,-2863000,9291000,24226000,19674000,29563000,13301000,15756000,22898000,35495000,35172000,52720000,65203000,105268000,108839000,164375000,242023000
24,Net Income ratio,-2.1667,-0.3052,-0.4394,-0.2652,-0.1254,-0.0935,0.0515,-0.0273,0.0693,0.1509,0.1192,0.1351,0.0677,0.0737,0.0962,0.1256,0.1056,0.1356,0.1385,0.1808,0.1733,0.1947,0.2004
25,EPS,-0.28,-0.33,-0.63,-0.63,-0.71,-0.62,0.18,-0.10,0.29,0.72,0.57,0.83,0.39,0.45,0.61,0.92,0.89,1.30,1.58,2.49,2.52,3.67,5.26
26,EPS Diluted,-0.28,-0.33,-0.63,-0.63,-0.71,-0.62,0.17,-0.10,0.26,0.67,0.54,0.78,0.38,0.43,0.59,0.89,0.86,1.26,1.50,2.36,2.38,3.50,5.06
27,Weighted Average Shares Outstanding,4700000,4846000,5681787,5862814,6143463,9132030,27998000,29502000,31703000,33509000,34310000,35830000,34050000,34871000,37387000,38686000,39470000,40436000,41350000,42247000,43165000,44840000,45970000
28,Weighted Average Shares Outstanding Diluted,4700000,4846000,5681787,5862814,6143463,9132030,30871000,29502000,35090000,36120000,36634000,37826000,35160000,36247000,38620000,39793000,40869000,41915000,43578000,44602000,45763000,47014000,47852000
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1280452/000119312506065261/d10k.htm,https://www.sec.gov/Archives/edgar/data/1280452/000119312507056647/d10k.htm,https://www.sec.gov/Archives/edgar/data/1280452/000119312508052915/d10k.htm,https://www.sec.gov/Archives/edgar/data/1280452/000119312509040534/d10k.htm,https://www.sec.gov/Archives/edgar/data/1280452/000119312510030881/d10k.htm,https://www.sec.gov/Archives/edgar/data/1280452/000143774911001307/monolithic_10k-123110.htm,https://www.sec.gov/Archives/edgar/data/1280452/000143774912002162/mps_10k-123111.htm,https://www.sec.gov/Archives/edgar/data/1280452/000143774913002333/monolithic_10k-123112.htm,https://www.sec.gov/Archives/edgar/data/1280452/000143774914003761/mpwr20131231_10k.htm,https://www.sec.gov/Archives/edgar/data/1280452/000143774915003820/mpwr20141231_10k.htm,https://www.sec.gov/Archives/edgar/data/1280452/000143774916026344/mpwr20151119_10k.htm,https://www.sec.gov/Archives/edgar/data/1280452/000143774917003558/mpwr20161231_10k.htm,https://www.sec.gov/Archives/edgar/data/1280452/000143774918003639/mpwr20171231_10k.htm,https://www.sec.gov/Archives/edgar/data/1280452/000143774919003798/mpwr20181231_10k.htm,https://www.sec.gov/Archives/edgar/data/1280452/000143774920003943/mpwr20191231_10k.htm,https://www.sec.gov/Archives/edgar/data/1280452/000143774921004587/0001437749-21-004587-index.htm,https://www.sec.gov/Archives/edgar/data/1280452/000143774922004460/0001437749-22-004460-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,904000,- -,17223494,12135409,32018593,25091000,50816000,83114000,83266000,46717000,48010000,96371000,75104000,101213000,126266000,90860000,112703000,82759000,172704000,172960000,334944000,189265000
32,Short-Term Investments,- -,- -,- -,- -,1007190,17000000,38814000,27674000,27765000,21922000,118914000,129709000,77827000,85521000,125126000,112452000,144103000,155521000,216331000,204577000,282437000,260169000,535817000
33,Cash and Short-Term Investments,- -,904000,- -,17223494,13142599,49018593,63905000,78490000,110879000,105188000,165631000,177719000,174198000,160625000,226339000,238718000,234963000,268224000,299090000,377281000,455397000,595113000,725082000
34,Net Receivables,- -,- -,- -,1315033,4566106,3995662,9537000,9156000,8239000,9115000,15521000,18347000,15097000,19383000,23730000,25630000,30830000,34248000,40624000,61375000,61300000,81261000,126477000
35,Inventory,- -,- -,- -,1267092,1598754,5398418,6165000,6738000,17487000,18887000,19616000,25789000,20104000,32115000,39737000,40918000,63209000,71469000,99281000,136384000,127500000,157062000,259417000
36,Other Current Assets,- -,- -,- -,263858,330013,1922451,8110000,2776000,12081000,10057000,2731000,2518000,2106000,2178000,2280000,2880000,2926000,9043000,10175000,5770000,11009000,8562000,13876000
37,Total Current Assets,- -,- -,- -,20069477,19637472,60335124,87717000,97160000,148686000,143247000,203499000,224373000,211505000,214301000,292086000,308146000,331928000,382984000,449170000,580810000,655206000,841998000,1124852000
38,PP&E,- -,- -,- -,1467936,2148891,4180200,6238000,11358000,14175000,14163000,17968000,37262000,47794000,59412000,64837000,62942000,65359000,85171000,144636000,150001000,231178000,285247000,362962000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6571000,6571000,6571000,6571000,6571000,6571000,6571000,6571000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6812000,5053000,3002000,951000,111000,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13383000,11624000,9573000,7522000,6682000,6571000,6571000,6571000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,37425000,19445000,19180000,13675000,11755000,9860000,5389000,5361000,5354000,5256000,3241000,3138000,6261000,- -
43,Tax Assets,- -,- -,- -,- -,- -,657569,- -,- -,759000,19000,175000,39000,239000,669000,481000,1049000,672000,633000,15917000,16830000,17193000,18556000,21917000
44,Other Non-Current Assets,- -,- -,- -,76834,816898,6774794,6820000,8809000,8879000,445000,734000,749000,654000,1025000,1644000,8457000,16341000,27411000,30068000,35868000,43089000,49858000,69523000
45,Total Non-Current Assets,- -,- -,- -,1544770,2965789,11612563,13058000,20167000,23813000,52052000,38322000,57230000,62362000,72861000,76822000,91220000,99357000,128142000,203399000,212622000,301169000,366493000,460973000
46,Other Assets,- -,4346000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,4346000,- -,21614247,22603261,71947687,100775000,117327000,172499000,195299000,241821000,281603000,273867000,287162000,368908000,399366000,431285000,511126000,652569000,793432000,956375000,1208491000,1585825000
48,Accounts Payable,- -,- -,- -,1590906,1792410,3396081,6583000,5909000,6154000,4674000,7787000,8979000,8904000,9859000,10694000,13138000,13487000,17427000,22813000,22678000,27271000,38169000,83027000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1254000,1406000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2435000,3755000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,1306000,841000,- -,- -,- -,2198000,2523000,3908000,5236000,6799000,6587000,2520000,3412000,7238000,4300000
52,Other Current Liabilities,- -,- -,- -,910820,1101904,4887576,15684000,14213000,21952000,20367000,16135000,19991000,17166000,11403000,25272000,19815000,24560000,28695000,36517000,55241000,66288000,100156000,139617000
53,Total Current Liabilities,- -,- -,- -,2501726,2894314,8283657,22267000,20122000,29412000,25882000,23922000,28970000,26070000,23460000,38489000,36861000,43283000,52921000,65917000,80439000,98225000,146969000,226944000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1103000,1693000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,131000,- -,- -,4762000,4915000,5015000,- -,- -,- -,5876000,2941000,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,17133051,18477947,161448,209000,2253000,5778000,10000,27000,723000,4920000,5408000,7020000,10204000,16545000,27089000,64645000,72900000,83556000,93242000,114896000
58,Total Non-Current Liabilities,- -,- -,- -,17133051,18477947,161448,340000,2253000,5778000,4772000,4942000,5738000,4920000,5408000,7020000,16080000,19486000,27089000,64645000,72900000,84659000,94935000,114896000
59,Other Liabilities,- -,2649000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2357000,3099000,- -
61,Total Liabilities,- -,2649000,- -,19634777,21372261,8445105,22607000,22375000,35190000,30654000,28864000,34708000,30990000,28868000,45509000,52941000,62769000,80010000,130562000,153339000,182884000,241904000,341840000
62,Preferred Stock,- -,- -,- -,11162641,11162641,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,2092256,13532922,93526801,98342000,113532000,146035000,147298000,175518000,178269000,159336000,194079000,234201000,240500000,265763000,315969000,376586000,450908000,549517000,657701000,803226000
64,Retained Earnings,- -,- -,- -,-10679595,-15055312,-20689562,-15094000,-17895000,-9188000,17411000,37085000,66647000,79948000,60040000,82938000,100114000,101287000,119362000,143608000,194728000,229450000,298746000,424879000
65,Other Comprehensive Income/Loss,- -,- -,- -,-1161000,-2189946,-3216194,-4873000,-7057000,-10527000,-15921000,-22113000,2000000,4000000,4000000,6000000,6000000,1000000,-4000000,2000000,-6000000,-5476000,10140000,15880000
66,Other Total Stockholders Equity,- -,1697000,- -,565168,-6219305,-6118463,-207000,6372000,10989000,15857000,22467000,-21000,-407000,175000,260000,-189000,466000,-215000,-187000,457000,- -,- -,- -
67,Total Stockholders Equity,- -,1697000,- -,1979470,1231000,63502582,78168000,94952000,137309000,164645000,212957000,246895000,242877000,258294000,323399000,346425000,368516000,431116000,522007000,640093000,773491000,966587000,1243985000
68,Total Liabilities And Stockholders Equity,- -,4346000,- -,21614247,22603261,71947687,100775000,117327000,172499000,195299000,241821000,281603000,273867000,287162000,368908000,399366000,431285000,511126000,652569000,793432000,956375000,1208491000,1585825000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,4346000,- -,21614247,22603261,71947687,100775000,117327000,172499000,195299000,241821000,281603000,273867000,287162000,368908000,399366000,431285000,511126000,652569000,793432000,956375000,1208491000,1585825000
71,SEC Link,undefined,- -,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1280452/000119312506065261/d10k.htm,https://www.sec.gov/Archives/edgar/data/1280452/000119312507056647/d10k.htm,https://www.sec.gov/Archives/edgar/data/1280452/000119312508052915/d10k.htm,https://www.sec.gov/Archives/edgar/data/1280452/000119312509040534/d10k.htm,https://www.sec.gov/Archives/edgar/data/1280452/000119312510030881/d10k.htm,https://www.sec.gov/Archives/edgar/data/1280452/000143774911001307/monolithic_10k-123110.htm,https://www.sec.gov/Archives/edgar/data/1280452/000143774912002162/mps_10k-123111.htm,https://www.sec.gov/Archives/edgar/data/1280452/000143774913002333/monolithic_10k-123112.htm,https://www.sec.gov/Archives/edgar/data/1280452/000143774914003761/mpwr20131231_10k.htm,https://www.sec.gov/Archives/edgar/data/1280452/000143774915003820/mpwr20141231_10k.htm,https://www.sec.gov/Archives/edgar/data/1280452/000143774916026344/mpwr20151119_10k.htm,https://www.sec.gov/Archives/edgar/data/1280452/000143774917003558/mpwr20161231_10k.htm,https://www.sec.gov/Archives/edgar/data/1280452/000143774918003639/mpwr20171231_10k.htm,https://www.sec.gov/Archives/edgar/data/1280452/000143774919003798/mpwr20181231_10k.htm,https://www.sec.gov/Archives/edgar/data/1280452/000143774920003943/mpwr20191231_10k.htm,https://www.sec.gov/Archives/edgar/data/1280452/000143774921004587/0001437749-21-004587-index.htm,https://www.sec.gov/Archives/edgar/data/1280452/000143774922004460/0001437749-22-004460-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-3572603,-3237528,-3036210,-4451025,5107000,-2863000,9291000,24226000,19674000,29563000,13301000,15756000,22898000,35495000,35172000,52720000,65203000,105268000,108839000,164375000,242023000
74,Depreciation and Amortization,- -,- -,300000,809105,4074371,13455436,7103000,14248000,4184000,5725000,6573000,8016000,8732000,9332000,12160000,13130000,13783000,14674000,16101000,12311000,14867000,19186000,28699000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-1464253,-1639000,1921000,2048000,710000,-84000,-56000,1555000,-8000,-81000,17000,42000,-5000,-15238000,-843000,-577000,-1627000,-2772000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,13158000,14611000,16810000,13126000,18652000,20701000,33454000,41563000,44989000,52617000,60607000,78699000,85551000,123479000
77,Change in Working Capital,- -,- -,500000,17567751,-824593,35308309,13398533,11588000,42236000,-1909000,62212000,15826000,-9968000,5406000,62756000,17688000,17360000,41418000,53190000,117118000,17811000,3003000,-71640000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-876000,-6406000,-2826000,3250000,-4286000,-4347000,-1870000,-5201000,-3421000,-3785000,-18079000,2512000,-14123000,-37976000
79,Inventory,- -,- -,- -,-700505,-331662,-3799664,-766000,-572000,-10747000,-1356000,-737000,-6184000,5699000,-12004000,-7606000,-1142000,-22210000,-8323000,-27795000,-37060000,8865000,-29503000,-102323000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1382000,2699000,1155000,-957000,754000,1440000,1632000,147000,5483000,3077000,871000,3048000,10410000,32926000
81,Other Working Capital,- -,- -,- -,17567751,16743158,52051467,65450000,77038000,119274000,117365000,179577000,195403000,185435000,190841000,253597000,271285000,288645000,330063000,383253000,500371000,7496000,18524000,16536000
82,Other Non-Cash Items,- -,- -,372603,-17492183,-3166384,-39734405,-6758533,-13075000,-33415000,-2320000,-71222000,-21665000,16939000,-24226000,-57748000,-25651000,-38184000,-46010000,-38052000,-153010000,-3336000,-2685000,221000
83,Cash Provided by Operating Activities,- -,- -,-2400000,-2352855,-2952816,3114062,17211000,11819000,24344000,39590000,31764000,48494000,43685000,24912000,60686000,74133000,69736000,107786000,133821000,141451000,216303000,267803000,320010000
84,CAPEX,- -,- -,-500000,-1074536,-1634348,-3218678,-1878000,-7474000,-6653000,-5233000,-10264000,-22779000,-21022000,-21059000,-15764000,-9511000,-16024000,-37112000,-65773000,-22526000,-96787000,-55639000,-95238000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11590000,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-3503930,-17000000,-194059000,-87294000,-58776000,-64658000,-159917000,-208621000,-78250000,-143094000,-125756000,-136872000,-223018000,-236912000,-140531000,-99199000,-212562000,-338263000,-394886000
87,Sales/Maturities of Investments,- -,- -,- -,- -,2490642,1500000,172245000,98434000,58774000,31710000,80686000,197668000,135494000,137283000,87725000,153941000,189549000,223344000,77502000,111131000,136051000,357392000,113755000
88,Other Investing Activites,- -,- -,- -,- -,- -,34200,-2897000,2939000,-7292000,8566000,7057000,-19000,- -,33000,-529000,-5335000,-7704000,-5046000,-5258000,-4146000,6186000,-2667000,-3310000
89,Cash Used for Investing Activites,- -,- -,-500000,-1074536,-2647636,-18684478,-26589000,6605000,-13947000,-29615000,-82128000,-33751000,36222000,-26837000,-54324000,-9367000,-57197000,-55726000,-134060000,-14740000,-167112000,-39177000,-378886000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,481584,35718540,2722000,5331000,17294000,14493000,12975000,16224000,6470000,13390000,37877000,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,4900000,- -,- -,- -,- -,- -,- -,-25043000,- -,-31527000,-38472000,- -,-20615000,-41198000,-32286000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-35664000,- -,-11658000,-29965000,-33099000,-33926000,-47475000,-67294000,-88786000,-109364000
94,Other Financing Activites,- -,- -,2300000,15386857,23000,- -,-8000,1999000,4465000,765000,643000,1256000,27000,2721000,1588000,13629000,15599000,4972000,2601000,12916000,19244000,17229000,19158000
95,Cash Used/Provided by Financing Activities,- -,- -,7200000,15386857,504584,35718540,2714000,7330000,21759000,-9785000,13618000,-14047000,-31975000,-19553000,18850000,-39227000,-46652000,-28127000,-31325000,-34559000,-48050000,-71557000,-90206000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,7783,235060,-264000,-29000,142000,-38000,197000,597000,429000,211000,897000,-486000,-1293000,-2090000,1620000,-2208000,-883000,4926000,3400000
97,Net Change In Cash,- -,- -,4400000,11959466,-5088085,20383184,-6928000,25725000,32298000,152000,-36549000,1293000,48361000,-21267000,26109000,25053000,-35406000,21843000,-29944000,89944000,258000,161995000,-145682000
98,Cash at the End of Period,- -,- -,177104000,17223494,12135409,32018593,25091000,50816000,83114000,83266000,46717000,48010000,96371000,75104000,101213000,126266000,90860000,112703000,82759000,172818000,173076000,335071000,189389000
99,Cash at the Beginning of Period,- -,- -,172704000,5264028,17223494,11635409,32019000,25091000,50816000,83114000,83266000,46717000,48010000,96371000,75104000,101213000,126266000,90860000,112703000,82874000,172818000,173076000,335071000
100,Free Cash Flow,- -,- -,-2900000,-3427391,-4587164,-104616,15333000,4345000,17691000,34357000,21500000,25715000,22663000,3853000,44922000,64622000,53712000,70674000,68048000,118925000,119516000,212164000,224772000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1280452/000119312506065261/d10k.htm,https://www.sec.gov/Archives/edgar/data/1280452/000119312507056647/d10k.htm,https://www.sec.gov/Archives/edgar/data/1280452/000119312508052915/d10k.htm,https://www.sec.gov/Archives/edgar/data/1280452/000119312509040534/d10k.htm,https://www.sec.gov/Archives/edgar/data/1280452/000119312510030881/d10k.htm,https://www.sec.gov/Archives/edgar/data/1280452/000143774911001307/monolithic_10k-123110.htm,https://www.sec.gov/Archives/edgar/data/1280452/000143774912002162/mps_10k-123111.htm,https://www.sec.gov/Archives/edgar/data/1280452/000143774913002333/monolithic_10k-123112.htm,https://www.sec.gov/Archives/edgar/data/1280452/000143774914003761/mpwr20131231_10k.htm,https://www.sec.gov/Archives/edgar/data/1280452/000143774915003820/mpwr20141231_10k.htm,https://www.sec.gov/Archives/edgar/data/1280452/000143774916026344/mpwr20151119_10k.htm,https://www.sec.gov/Archives/edgar/data/1280452/000143774917003558/mpwr20161231_10k.htm,https://www.sec.gov/Archives/edgar/data/1280452/000143774918003639/mpwr20171231_10k.htm,https://www.sec.gov/Archives/edgar/data/1280452/000143774919003798/mpwr20181231_10k.htm,https://www.sec.gov/Archives/edgar/data/1280452/000143774920003943/mpwr20191231_10k.htm,https://www.sec.gov/Archives/edgar/data/1280452/000143774921004587/0001437749-21-004587-index.htm,https://www.sec.gov/Archives/edgar/data/1280452/000143774922004460/0001437749-22-004460-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
