,https://roic.ai/company/NEON,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,- -,1333,1333,1600,1440,1600,1421,1425,1677,1695,1651,1643,1705,2224,2312,2326,3051,2712,3007,3767,4017,5151,8243,61600,112656,990204,1829300,2678400,3300300,3526600,3953200,4120200,4569000,5288900,5884000,8844000,9989000,11907000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/87050/000114420409020511/0001144204-09-020511-index.htm,https://www.sec.gov/Archives/edgar/data/87050/000121390010001087/0001213900-10-001087-index.htm,https://www.sec.gov/Archives/edgar/data/87050/000121390011001667/0001213900-11-001667-index.htm,https://www.sec.gov/Archives/edgar/data/87050/000121390012001451/0001213900-12-001451-index.htm,https://www.sec.gov/Archives/edgar/data/87050/000121390013001080/0001213900-13-001080-index.htm,https://www.sec.gov/Archives/edgar/data/87050/000121390014001283/0001213900-14-001283-index.htm,https://www.sec.gov/Archives/edgar/data/87050/000121390015001687/0001213900-15-001687-index.htm,https://www.sec.gov/Archives/edgar/data/87050/000121390016011504/0001213900-16-011504-index.htm,https://www.sec.gov/Archives/edgar/data/87050/000121390017002322/0001213900-17-002322-index.htm,https://www.sec.gov/Archives/edgar/data/87050/000121390018002697/0001213900-18-002697-index.htm,https://www.sec.gov/Archives/edgar/data/87050/000121390019003713/0001213900-19-003713-index.htm,https://www.sec.gov/Archives/edgar/data/87050/000121390020005949/0001213900-20-005949-index.htm,https://www.sec.gov/Archives/edgar/data/87050/000121390021014481/0001213900-21-014481-index.htm,https://www.sec.gov/Archives/edgar/data/87050/000121390022011462/0001213900-22-011462-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,900000,40000,5600000,3400000,3300000,5311000,3644000,1582000,1378000,1849000,3632000,1147000,1147000,17000,28000,911000,12940000,9097000,8815000,6129000,3082000,3476000,5796000,6555000,2357000,10473000,17383000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,900000,40000,5600000,3400000,3300000,5311000,3644000,1582000,1378000,1849000,3632000,1147000,1147000,17000,28000,911000,12940000,9097000,8815000,6129000,3082000,3476000,5796000,6555000,2357000,10473000,17383000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3400000,2000000,2800000,3800000,3300000,4296000,760000,888000,1818000,1668000,1555000,930000,868000,- -,28000,151000,3456000,2327000,1219000,1243000,1683000,1795000,1346000,2006000,1535000,2176000,1293000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2600000,2700000,900000,1800000,1500000,4918000,4428000,1910000,1880000,1926000,1283000,739000,6610000,- -,- -,- -,- -,- -,736000,- -,158000,696000,1154000,1219000,1030000,1273000,2520000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2400000,460000,600000,600000,500000,427000,464000,220000,240000,227000,293000,177000,7433000,46000,77000,165000,123000,346000,366000,576000,410000,1702000,1501000,714000,512000,728000,836000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9300000,5200000,9900000,9600000,8600000,14952000,9296000,4600000,5316000,5670000,6763000,2993000,16058000,63000,133000,1227000,16519000,11770000,11136000,7948000,5333000,7669000,9797000,10494000,5434000,14650000,22032000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,508000,375000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1922000,960000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1314000,95000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1314000,95000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000,3000,3000,3000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5700000,2700000,1400000,1600000,1900000,2475000,1394000,721000,1659000,503000,12069000,53000,395000,116000,20000,24000,108000,398000,335000,654000,594000,2031000,3327000,2745000,1999000,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5700000,2700000,1400000,1600000,1900000,2475000,1394000,721000,1659000,503000,12069000,1875000,865000,116000,20000,24000,108000,398000,335000,654000,594000,2034000,3330000,2748000,2002000,1922000,960000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15000000,7900000,11300000,11200000,10500000,17427000,10690000,5321000,6975000,6173000,18832000,4868000,16923000,179000,153000,1251000,16627000,12168000,11471000,8602000,5927000,9703000,13127000,13242000,7436000,16572000,22992000
