,https://roic.ai/company/NWL,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,0.1183,0.1398,0.1260,0.1458,0.1659,0.1951,0.2020,0.1980,0.2066,0.1936,0.1891,0.1884,0.1888,0.2238,0.0784,0.1410,0.1078,0.0314,0.0385,0.0353,0.0831,0.1004,0.1239,0.0285,0.1344,0.1032,0.0670,0.1375,0.1437,0.1200,0.1163,0.0943,0.1400,-0.9225,-0.0499,-0.0400,0.1203
17,Operating Income,32800000,47000000,82100000,124300000,164600000,173900000,197300000,232400000,286100000,357800000,419400000,485700000,571700000,534000000,590000000,880241000,570852000,629700000,179900000,194600000,522200000,656600000,740300000,200800000,574900000,629900000,257200000,651900000,621000000,604700000,601400000,1100100000,1225700000,-7828500000,-481700000,-634000000,946000000
18,Operating Income ratio,0.0937,0.1171,0.1141,0.1258,0.1466,0.1621,0.1763,0.1601,0.1739,0.1724,0.1679,0.1691,0.1768,0.1435,0.0920,0.1269,0.0826,0.0845,0.0232,0.0288,0.0823,0.1059,0.1155,0.0310,0.1031,0.1094,0.0439,0.1104,0.1091,0.1056,0.1017,0.0829,0.0831,-0.9070,-0.0496,-0.0676,0.0893
19,Total Other Income Expenses (Gains),100000,-2100000,-14900000,-19900000,-19000000,-3000000,-10800000,45200000,-10600000,-28500000,-48600000,-61000000,-90900000,150900000,-359100000,-194754000,-154987000,-161200000,-159800000,-108300000,-104100000,-141700000,-111400000,-199000000,-146700000,-329600000,-104700000,-86000000,-78800000,-142600000,-263900000,-285600000,203300000,-439200000,-369900000,-372000000,-253000000
20,Income Before Tax,32900000,44900000,67200000,104400000,145600000,170900000,186500000,277600000,275500000,329300000,370800000,424700000,480800000,684900000,230900000,685487000,415865000,468500000,20100000,86300000,418100000,514900000,628900000,1800000,428200000,300300000,152500000,565900000,542200000,462100000,337500000,814500000,1429000000,-8267700000,-851600000,-1006000000,693000000
21,Income Before Tax Ratio,0.0940,0.1119,0.0934,0.1056,0.1297,0.1593,0.1667,0.1912,0.1675,0.1587,0.1484,0.1478,0.1487,0.1841,0.0360,0.0988,0.0602,0.0629,0.0026,0.0128,0.0659,0.0830,0.0982,0.0003,0.0768,0.0521,0.0260,0.0959,0.0952,0.0807,0.0571,0.0614,0.0969,-0.9579,-0.0877,-0.1072,0.0654
22,Income Tax expense (Gain),14000000,20900000,30000000,43000000,60200000,69500000,74300000,114300000,110200000,133700000,148300000,168200000,190400000,288700000,135500000,263912000,151230000,157000000,66700000,105400000,61700000,44200000,149700000,53600000,142700000,7500000,17900000,166300000,122100000,89100000,78200000,286000000,-1319800000,-1478100000,-1037700000,-236000000,121000000
23,Net Income,18900000,24000000,37200000,61400000,85400000,101400000,112200000,119200000,165300000,195600000,222500000,256500000,290400000,396200000,95400000,421575000,264635000,-203400000,-46600000,-116100000,251300000,385000000,467100000,-52300000,285500000,292800000,125200000,401300000,474600000,377800000,350000000,527800000,2748800000,-6917900000,106600000,-770000000,572000000
24,Net Income ratio,0.0540,0.0598,0.0517,0.0621,0.0761,0.0945,0.1003,0.0821,0.1005,0.0943,0.0891,0.0893,0.0898,0.1065,0.0149,0.0608,0.0383,-0.0273,-0.0060,-0.0172,0.0396,0.0621,0.0729,-0.0081,0.0512,0.0508,0.0213,0.0680,0.0834,0.0660,0.0592,0.0398,0.1865,-0.8015,0.0110,-0.0820,0.0540
25,EPS,0.27,0.28,0.35,0.55,0.71,0.84,0.91,0.76,1.05,1.24,1.41,1.62,1.83,2.44,0.34,1.57,0.99,-0.76,-0.17,-0.42,0.92,1.40,1.69,-0.19,1.32,1.04,0.43,1.38,1.64,1.37,1.30,1.25,5.65,-14.60,0.25,-1.82,1.34
26,EPS Diluted,0.25,0.27,0.35,0.53,0.71,0.83,0.89,0.76,1.05,1.24,1.41,1.62,1.82,2.38,0.34,1.57,0.99,-0.76,-0.17,-0.42,0.91,1.40,1.68,-0.19,1.31,0.96,0.42,1.37,1.63,1.35,1.29,1.25,5.63,-14.60,0.25,-1.82,1.33
27,Weighted Average Shares Outstanding,67037037,91640000,91428571,111636364,119295775,120000000,122857143,156842105,157428571,157774000,158212000,158764000,159079000,162544000,281800000,268437000,266657000,267100000,274100000,274400000,274400000,274600000,276000000,277000000,280800000,282400000,293600000,291200000,288600000,276100000,269300000,421300000,486700000,473700000,423300000,424100000,425400000
28,Weighted Average Shares Outstanding Diluted,72400000,91640000,91428571,115849057,119295775,121445783,125617978,156842105,157428571,157774000,158212000,158764000,160214000,173041000,281800000,278365000,267048000,268000000,274100000,274400000,274900000,275500000,286100000,277000000,281900000,305400000,296200000,293600000,291800000,278900000,271500000,423100000,488000000,473700000,423900000,424100000,428500000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/814453/000089581396000011/0000895813-96-000011-index.html,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/814453/000095013705002621/0000950137-05-002621-index.htm,https://www.sec.gov/Archives/edgar/data/814453/000095013706001966/0000950137-06-001966-index.htm,https://www.sec.gov/Archives/edgar/data/814453/000095013707003109/0000950137-07-003109-index.htm,https://www.sec.gov/Archives/edgar/data/814453/000095013708003094/0000950137-08-003094-index.htm,https://www.sec.gov/Archives/edgar/data/814453/000119312509042727/0001193125-09-042727-index.htm,https://www.sec.gov/Archives/edgar/data/814453/000119312510044915/0001193125-10-044915-index.htm,https://www.sec.gov/Archives/edgar/data/814453/000119312511052372/0001193125-11-052372-index.htm,https://www.sec.gov/Archives/edgar/data/814453/000081445312000054/0000814453-12-000054-index.htm,https://www.sec.gov/Archives/edgar/data/814453/000081445313000036/0000814453-13-000036-index.htm,https://www.sec.gov/Archives/edgar/data/814453/000081445314000038/0000814453-14-000038-index.htm,https://www.sec.gov/Archives/edgar/data/814453/000081445315000041/0000814453-15-000041-index.htm,https://www.sec.gov/Archives/edgar/data/814453/000081445316000176/0000814453-16-000176-index.htm,https://www.sec.gov/Archives/edgar/data/814453/000081445317000027/0000814453-17-000027-index.htm,https://www.sec.gov/Archives/edgar/data/814453/000119312518067603/0001193125-18-067603-index.htm,https://www.sec.gov/Archives/edgar/data/814453/000119312519061714/0001193125-19-061714-index.htm,https://www.sec.gov/Archives/edgar/data/814453/000081445320000078/0000814453-20-000078-index.htm,https://www.sec.gov/Archives/edgar/data/814453/000081445321000050/0000814453-21-000050-index.htm,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58800000,4400000,36100000,57500000,102200000,22525000,6802000,55100000,144400000,505600000,115500000,201000000,329200000,275400000,278300000,139600000,170200000,183800000,226300000,199400000,274800000,587500000,485700000,495700000,348600000,981000000,440000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58800000,4400000,36100000,57500000,102200000,22525000,6802000,55100000,144400000,505600000,115500000,201000000,329200000,275400000,278300000,139600000,170200000,183800000,226300000,199400000,274800000,587500000,485700000,495700000,348600000,981000000,440000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,390300000,404200000,524600000,652400000,1178400000,1183363000,1298177000,1377700000,1442600000,1278700000,1202700000,1113600000,1166400000,969300000,894100000,997900000,1002000000,1112400000,1105100000,1248200000,1250700000,2746900000,2674000000,1850700000,1841500000,1678000000,1500000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,509200000,509500000,625200000,714500000,1034800000,1262551000,1113797000,1196200000,1066300000,972300000,875900000,850600000,940400000,912100000,688200000,701600000,699900000,696400000,684400000,708500000,721800000,2116000000,2498800000,1583100000,1606700000,1638000000,1997000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,174600000,190000000,195700000,166700000,423200000,428213000,431876000,451000000,346900000,255800000,278700000,311700000,215700000,237000000,321500000,292900000,275900000,278500000,269800000,270500000,246200000,2034100000,419500000,3819300000,313100000,331000000,325000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1132900000,1108100000,1381600000,1591100000,2738600000,2896652000,2850652000,3080000000,3000200000,3012400000,2472800000,2476900000,2651700000,2393800000,2182100000,2132000000,2148000000,2271100000,2285600000,2426600000,2493500000,7484500000,6078000000,7748800000,4109900000,4628000000,4262000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,530300000,555400000,696100000,835600000,1548200000,1756903000,1689152000,1812800000,1761100000,1308200000,971100000,746900000,688600000,630700000,578100000,529300000,551400000,560200000,539600000,559100000,599200000,1543400000,1707500000,925600000,1770100000,1706000000,1762000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2435700000,2608700000,2698900000,2754300000,2749500000,2366000000,2370200000,2361100000,2546000000,2791200000,10218900000,10560100000,2970200000,3708800000,3553000000,3504000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,888200000,922800000,1364100000,1657400000,2024900000,2189948000,2316940000,2209400000,2439600000,2128800000,2773000000,458800000,501800000,640500000,646200000,648300000,666100000,654100000,614500000,887200000,1063700000,14111800000,14236000000,5579600000,4916400000,3564000000,3370000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,888200000,922800000,1364100000,1657400000,2024900000,2189948000,2316940000,2209400000,2439600000,2128800000,2773000000,2894500000,3110500000,3339400000,3400500000,3397800000,3032100000,3024300000,2975600000,3433200000,3854900000,24330700000,24796100000,8549800000,8625200000,7117000000,6874000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,68100000,29600000,37300000,1300000,29400000,107800000,- -,- -,120200000,85200000,12300000,- -,38500000,95300000,151200000,165200000,775500000,838000000,814000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,379800000,418800000,502000000,243800000,412400000,418322000,409378000,286700000,211700000,186900000,191600000,190900000,202700000,320800000,263200000,346200000,309200000,281200000,256600000,262200000,291900000,383600000,402700000,327000000,361300000,411000000,467000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1798300000,1897000000,2562200000,2736800000,3985500000,4365173000,4415470000,4308900000,4480500000,3653500000,3973000000,3833600000,4031200000,4398700000,4241800000,4273300000,4012900000,3950900000,3784100000,4254500000,4784500000,26353000000,27057500000,9967600000,11532100000,10072000000,9917000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2931200000,3005100000,3943800000,4327900000,6724100000,7261825000,7266122000,7388900000,7480700000,6665900000,6445800000,6310500000,6682900000,6792500000,6423900000,6405300000,6160900000,6222000000,6069700000,6681100000,7278000000,33837500000,33135500000,17716400000,15642000000,14700000000,14179000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,113900000,105300000,132400000,164300000,376600000,342406000,501259000,686600000,777400000,682900000,647300000,549900000,616900000,535500000,433600000,472500000,468500000,527400000,558900000,674100000,642400000,1518900000,1761600000,1019500000,1101400000,1526000000,1680000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,163000000,104100000,51900000,76300000,247400000,227206000,826604000,449200000,35400000,206900000,166800000,277500000,987500000,761000000,493500000,305000000,367500000,211900000,174800000,397400000,388800000,601900000,662800000,318700000,332400000,595000000,3000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,66000000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,180400000,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,403400000,427600000,479700000,580900000,1005900000,981214000,1205989000,1478600000,1209200000,981500000,983400000,1069200000,959400000,909400000,832400000,888400000,824900000,831500000,870800000,819200000,957400000,2171200000,1712000000,1991800000,1544200000,1500000000,1634000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,680300000,637000000,664000000,821500000,1629900000,1550826000,2533852000,2614400000,2022000000,1871300000,1797500000,1896600000,2563800000,2205900000,1759500000,1665900000,1660900000,1570800000,1604500000,1890700000,1988600000,4292000000,4316800000,3330000000,2978000000,3621000000,3317000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,761600000,672000000,784000000,866200000,1455800000,2314774000,1365001000,1856600000,2868600000,2424300000,2429700000,1972300000,1197400000,2118300000,2015300000,2063900000,1809300000,1706500000,1661600000,2084500000,2687600000,11290900000,9889600000,6696300000,5391300000,5613000000,5383000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,405000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31000000,47500000,90100000,20800000,85700000,93165000,73685000,4700000,- -,- -,- -,- -,- -,- -,300000,- -,- -,- -,- -,220400000,226600000,5082800000,3307000000,1041800000,624900000,414000000,405000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,158200000,156800000,683000000,206500000,354000000,352633000,859523000,848400000,572100000,606100000,575400000,551400000,674400000,854100000,866600000,770000000,838100000,944500000,728600000,630600000,548800000,1787400000,1440800000,1370500000,1651800000,1152000000,578000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,950800000,876300000,1557100000,1093500000,1895500000,2760572000,2298209000,2709700000,3440700000,3030400000,3005100000,2523700000,1871800000,2972400000,2882200000,2833900000,2647400000,2651000000,2390200000,2935500000,3463000000,18161100000,14637400000,9108600000,7668000000,7179000000,6771000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,673800000,601000000,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1631100000,1513300000,2221100000,1915000000,3525400000,4311398000,4832061000,5324100000,5462700000,4901700000,4802600000,4420300000,4435600000,5178300000,4641700000,4499800000,4308300000,4221800000,3994700000,4826200000,5451600000,22453100000,18954200000,12438600000,10646000000,10800000000,10088000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,282000000,282174000,282376000,283100000,290100000,290100000,290200000,291000000,292600000,293100000,294000000,307200000,305300000,304700000,297500000,288700000,287500000,504800000,508100000,446100000,447100000,448000000,450000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,938600000,1106100000,1294800000,1858300000,2334600000,2530864000,2571255000,2143200000,1865700000,1518600000,1538300000,1690400000,1922700000,1634800000,1820700000,2057300000,2097300000,2294900000,2242100000,2111200000,2090900000,2289900000,4611200000,-2486700000,-2404200000,-3174000000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-328500000,-372200000,-445200000,-495200000,-1407200000,-1461500000,-1649048000,-1690200000,-1638400000,-1085300000,-227000000,-185000000,-123000000,-502000000,-585000000,-605000000,-707000000,-789000000,-645000000,-794000000,-834000000,-1045000000,-763000000,-913000000,-920000000,-880000000,-882000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,690000000,757900000,864700000,548900000,1487600000,1097103000,1228793000,1327400000,1498900000,1040800000,41700000,93800000,155000000,188300000,249000000,142500000,153500000,186100000,176900000,245500000,278500000,9599100000,9788400000,8196600000,7840400000,7480000000,4091000000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1300100000,1491800000,1714300000,1912000000,2697000000,2448641000,2433376000,2063500000,2016300000,1764200000,1643200000,1890200000,2247300000,1614200000,1778700000,1902000000,1849100000,1996700000,2071500000,1851400000,1822900000,11348800000,14144700000,5243000000,4963300000,3874000000,4091000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2931200000,3005100000,3935400000,3827000000,6222400000,6760039000,7265437000,7387600000,7479000000,6665900000,6445800000,6310500000,6682900000,6792500000,6420400000,6401800000,6157400000,6218500000,6066200000,6677600000,7274500000,33801900000,33098900000,17681600000,15609300000,14674000000,14179000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8400000,500900000,501700000,501786000,685000,1300000,1700000,- -,- -,- -,- -,- -,3500000,3500000,3500000,3500000,3500000,3500000,3500000,35600000,36600000,34800000,32700000,26000000,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2931200000,3005100000,3943800000,4327900000,6724100000,7261825000,7266122000,7388900000,7480700000,6665900000,6445800000,6310500000,6682900000,6792500000,6423900000,6405300000,6160900000,6222000000,6069700000,6681100000,7278000000,33837500000,33135500000,17716400000,15642000000,14700000000,14179000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/814453/000089581396000011/0000895813-96-000011-index.html,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/814453/000095013705002621/0000950137-05-002621-index.htm,https://www.sec.gov/Archives/edgar/data/814453/000095013706001966/0000950137-06-001966-index.htm,https://www.sec.gov/Archives/edgar/data/814453/000095013707003109/0000950137-07-003109-index.htm,https://www.sec.gov/Archives/edgar/data/814453/000095013708003094/0000950137-08-003094-index.htm,https://www.sec.gov/Archives/edgar/data/814453/000119312509042727/0001193125-09-042727-index.htm,https://www.sec.gov/Archives/edgar/data/814453/000119312510044915/0001193125-10-044915-index.htm,https://www.sec.gov/Archives/edgar/data/814453/000119312511052372/0001193125-11-052372-index.htm,https://www.sec.gov/Archives/edgar/data/814453/000081445312000054/0000814453-12-000054-index.htm,https://www.sec.gov/Archives/edgar/data/814453/000081445313000036/0000814453-13-000036-index.htm,https://www.sec.gov/Archives/edgar/data/814453/000081445314000038/0000814453-14-000038-index.htm,https://www.sec.gov/Archives/edgar/data/814453/000081445315000041/0000814453-15-000041-index.htm,https://www.sec.gov/Archives/edgar/data/814453/000081445316000176/0000814453-16-000176-index.htm,https://www.sec.gov/Archives/edgar/data/814453/000081445317000027/0000814453-17-000027-index.htm,https://www.sec.gov/Archives/edgar/data/814453/000119312518067603/0001193125-18-067603-index.htm,https://www.sec.gov/Archives/edgar/data/814453/000119312519061714/0001193125-19-061714-index.htm,https://www.sec.gov/Archives/edgar/data/814453/000081445320000078/0000814453-20-000078-index.htm,https://www.sec.gov/Archives/edgar/data/814453/000081445321000050/0000814453-21-000050-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,85400000,101400000,112200000,119200000,165300000,195600000,222500000,256500000,290400000,396200000,95400000,421575000,264635000,-203400000,-46600000,-116100000,251300000,385000000,467100000,-52300000,285500000,292800000,125200000,401300000,474600000,377800000,350000000,527800000,2748800000,-6917900000,106600000,-770000000,572000000
74,Depreciation and Amortization,- -,- -,- -,- -,40700000,38400000,39500000,53900000,64300000,72500000,101700000,116400000,129900000,147500000,271700000,292576000,328775000,280700000,278200000,249100000,213800000,193300000,177000000,183300000,175100000,172300000,161600000,163700000,158900000,156100000,171600000,437200000,635600000,433900000,446000000,357000000,325000000
75,Deferred Income Tax,- -,- -,- -,- -,-3400000,-3900000,-4500000,-14900000,19800000,30700000,40700000,44700000,59000000,56600000,-9600000,59800000,25500000,48300000,-11500000,108900000,-66100000,-5000000,-900000,8700000,14900000,-6100000,-4800000,71200000,88600000,39300000,-7200000,33400000,-1781800000,-1597900000,-1067900000,-261000000,-41000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35100000,36500000,43000000,32900000,37200000,29900000,29200000,63900000,70900000,75700000,42500000,41000000,52000000
77,Change in Working Capital,- -,- -,- -,- -,-1200000,- -,- -,- -,- -,- -,452600000,18500000,246500000,52000000,339100000,237126000,-1029026000,148800000,512600000,162900000,-465800000,-95000000,-492400000,100000000,234700000,43500000,21000000,213200000,-19200000,-145200000,-31000000,2687600000,-1431300000,2657600000,-3286900000,-124900000,-62000000
