,https://roic.ai/company/DRI,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,0.0206,0.0357,-0.0487,0.0468,0.0624,0.0740,0.0749,0.0832,0.0747,0.0665,0.0803,0.0843,0.0953,0.0777,0.0710,0.0764,0.0863,0.0798,0.0611,0.0278,0.0259,0.0649,0.0889,0.0750,0.0919,-0.0206,0.0801
22,Income Tax expense (Gain),12700000,39400000,-63500000,52000000,75300000,97200000,104200000,125500000,115500000,105600000,133300000,144300000,153700000,145200000,140700000,136600000,168900000,161500000,109800000,-8600000,-21100000,90000000,154800000,1900000,63700000,-111800000,-55900000
23,Net Income,52400000,74400000,-91000000,101700000,140500000,176700000,197000000,237800000,232300000,227200000,290600000,338200000,201400000,377200000,372200000,404500000,476300000,475500000,411900000,286200000,709500000,375000000,479100000,596000000,713400000,-52400000,629300000
24,Net Income ratio,0.0166,0.0233,-0.0287,0.0309,0.0406,0.0477,0.0490,0.0544,0.0499,0.0454,0.0551,0.0591,0.0362,0.0569,0.0516,0.0569,0.0635,0.0594,0.0482,0.0455,0.1049,0.0541,0.0668,0.0738,0.0838,-0.0067,0.0875
25,EPS,0.22,0.31,-0.39,0.46,0.68,0.92,1.09,1.36,1.36,1.42,1.85,2.26,1.40,2.63,2.71,2.90,3.48,3.65,3.19,2.18,5.56,2.94,3.85,4.81,5.78,-0.43,4.83
26,EPS Diluted,0.22,0.31,-0.39,0.45,0.66,0.89,1.06,1.30,1.31,1.36,1.78,2.16,1.35,2.55,2.65,2.84,3.39,3.57,3.13,2.15,5.47,2.90,3.80,4.73,5.69,-0.43,4.77
27,Weighted Average Shares Outstanding,236881559,237931034,233283358,222450000,206514390,192653673,179610195,174700000,170300000,163500000,156700000,149700000,143400000,140400000,137400000,139300000,136800000,130100000,129000000,131000000,127700000,127400000,124300000,124000000,123500000,122700000,130400000
28,Weighted Average Shares Outstanding Diluted,236881559,237931034,233283358,227100000,212772402,197751124,185607196,183500000,177400000,169700000,163400000,156900000,148800000,145100000,140400000,142400000,140300000,133200000,131600000,133200000,129700000,129300000,126000000,126000000,125400000,122700000,131800000
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/940944/000094094401500072/0000940944-01-500072-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/940944/000094094405000153/0000940944-05-000153-index.htm,- -,https://www.sec.gov/Archives/edgar/data/940944/000119312507158244/0001193125-07-158244-index.htm,https://www.sec.gov/Archives/edgar/data/940944/000119312508152760/0001193125-08-152760-index.htm,https://www.sec.gov/Archives/edgar/data/940944/000119312509155014/0001193125-09-155014-index.htm,https://www.sec.gov/Archives/edgar/data/940944/000119312510165061/0001193125-10-165061-index.htm,https://www.sec.gov/Archives/edgar/data/940944/000119312511194810/0001193125-11-194810-index.htm,https://www.sec.gov/Archives/edgar/data/940944/000094094412000031/0000940944-12-000031-index.htm,https://www.sec.gov/Archives/edgar/data/940944/000094094413000027/0000940944-13-000027-index.htm,https://www.sec.gov/Archives/edgar/data/940944/000094094414000064/0000940944-14-000064-index.htm,https://www.sec.gov/Archives/edgar/data/940944/000094094415000039/0000940944-15-000039-index.htm,https://www.sec.gov/Archives/edgar/data/940944/000094094416000116/0000940944-16-000116-index.htm,https://www.sec.gov/Archives/edgar/data/940944/000094094417000027/0000940944-17-000027-index.htm,https://www.sec.gov/Archives/edgar/data/940944/000094094418000050/0000940944-18-000050-index.htm,https://www.sec.gov/Archives/edgar/data/940944/000094094419000025/0000940944-19-000025-index.htm,https://www.sec.gov/Archives/edgar/data/940944/000094094420000046/0000940944-20-000046-index.htm,https://www.sec.gov/Archives/edgar/data/940944/000094094421000041/0000940944-21-000041-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,25500000,33500000,41000000,26100000,61800000,152900000,48600000,36700000,42800000,42300000,30200000,43200000,62900000,248800000,70500000,70500000,88200000,98300000,535900000,274800000,233100000,146900000,457300000,763300000,1214700000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,9900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,25500000,33500000,41000000,26100000,61800000,162800000,48600000,36700000,42800000,42300000,30200000,43200000,62900000,248800000,70500000,70500000,88200000,98300000,535900000,274800000,233100000,146900000,457300000,763300000,1214700000
34,Net Receivables,- -,- -,33300000,27300000,20300000,28000000,32900000,29100000,29000000,30300000,36500000,37100000,46400000,69500000,37100000,53200000,65400000,71400000,85400000,83800000,78000000,64000000,75900000,83700000,88200000,49800000,68200000
35,Inventory,- -,- -,132200000,182400000,144100000,142200000,148400000,172400000,173600000,198800000,235400000,198700000,209600000,216700000,247000000,220800000,300100000,404100000,356900000,196800000,163900000,175400000,178900000,205300000,207300000,206900000,190800000
36,Other Current Assets,- -,- -,146400000,154300000,122300000,94200000,85000000,85200000,74400000,80500000,92600000,99500000,259200000,138500000,207800000,155700000,227800000,211600000,234400000,1597500000,278600000,306100000,100000000,117700000,139800000,81400000,397400000
37,Total Current Assets,- -,- -,337400000,397500000,327700000,290500000,328100000,449500000,325600000,346300000,407300000,377600000,545400000,467900000,554800000,678500000,663800000,757600000,764900000,1976400000,1056400000,820300000,587900000,553600000,892600000,1101400000,1871100000
38,PP&E,- -,- -,1533300000,1490300000,1473500000,1578500000,1779500000,1920800000,2157100000,2250600000,2351500000,2446000000,2184400000,3066000000,3306700000,3403700000,3622000000,3951300000,4391100000,3381000000,3215800000,2041600000,2272300000,2429800000,2552600000,6726100000,6645600000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,519900000,518700000,517300000,517100000,538600000,908300000,872500000,872400000,872300000,1201700000,1183700000,1183700000,1037400000,1037400000
40,Intangible Assets,- -,- -,26900000,- -,28200000,28800000,39300000,53000000,55300000,54500000,55700000,56000000,54000000,520900000,454400000,519900000,521500000,533100000,663800000,636300000,574600000,651200000,950200000,1029100000,1025500000,805900000,873200000
41,Intangible Assets,- -,- -,26900000,- -,28200000,28800000,39300000,53000000,55300000,54500000,55700000,56000000,54000000,1040800000,973100000,1037200000,1038600000,1071700000,1572100000,1508800000,1447000000,1523500000,2151900000,2212800000,2209200000,1843300000,1910600000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13300000,- -,31700000,18400000,33000000,22300000,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,70100000,- -,72100000,79100000,90800000,117700000,150500000,176200000,114800000,90600000,25800000,197600000,- -,268600000,345400000,312900000,356400000,286100000,- -,255200000,145600000,114000000,156900000,- -,- -
44,Other Non-Current Assets,- -,- -,-4000000,96900000,4200000,-5500000,-19200000,-11300000,-23900000,-47300000,8500000,40000000,71200000,-55000000,190600000,-172300000,-221600000,-182300000,-169900000,-51600000,275500000,-58000000,134600000,159400000,81500000,275300000,228800000
45,Total Non-Current Assets,- -,- -,1626300000,1587200000,1578000000,1680900000,1890400000,2080200000,2339000000,2434000000,2530500000,2632600000,2335400000,4262700000,4470400000,4568900000,4802800000,5186600000,6172000000,5124300000,4938300000,3762300000,4704400000,4916000000,5000200000,8844700000,8785000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,1963700000,1984700000,1905700000,1971400000,2218500000,2529700000,2664600000,2780300000,2937800000,3010200000,2880800000,4730600000,5025200000,5247400000,5466600000,5944200000,6936900000,7100700000,5994700000,4582600000,5292300000,5469600000,5892800000,9946100000,10656100000
48,Accounts Payable,- -,- -,113100000,132900000,144700000,140500000,156900000,160100000,176000000,174600000,191200000,213200000,178000000,245100000,237000000,246400000,251300000,260700000,296500000,233100000,198800000,241900000,249500000,277000000,332600000,249400000,304500000
49,Short-Term Debt,- -,- -,43400000,75100000,23500000,115000000,12000000,- -,- -,14500000,299929000,193948000,211400000,178400000,150000000,225000000,185500000,612600000,164500000,222600000,15000000,- -,- -,- -,- -,436300000,184100000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60200000,113500000,135100000,121000000,158400000,134900000,128000000,107800000,123000000,129300000,135800000,100000000,170300000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,81000000,91000000,138300000,167200000,200000000,231700000,270500000,299700000,328600000,360400000,388600000,415800000,428500000,467900000,474200000
52,Other Current Liabilities,- -,- -,324100000,350700000,366000000,351400000,385400000,440900000,463900000,494400000,553471000,618952000,604000000,621700000,570800000,616000000,650000000,669100000,684900000,863100000,654300000,584800000,651100000,691700000,713000000,639200000,885500000
53,Total Current Liabilities,- -,- -,480600000,558700000,534200000,606900000,554300000,601000000,639900000,683500000,1044600000,1026100000,1074400000,1136200000,1096100000,1254600000,1286800000,1774100000,1416400000,1618500000,1196700000,1187100000,1289200000,1384500000,1474100000,1792800000,1848300000
54,Long-Term Debt,- -,- -,313200000,310600000,314100000,304100000,517900000,662500000,658100000,653300000,350300000,494700000,491600000,1694200000,1632300000,1466300000,1463300000,1508100000,2548700000,2533400000,1452300000,440000000,936600000,926500000,927700000,5205100000,5018500000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,154600000,170100000,186200000,204400000,230500000,206200000,- -,249700000,282800000,318000000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,77100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,297000000,268600000,345400000,312900000,356400000,286100000,341800000,255200000,357500000,114000000,156900000,56100000,221600000
57,Other Non-Current Liabilities,- -,- -,88700000,18500000,93300000,100000000,111000000,137400000,170400000,197800000,269900000,259600000,220300000,491100000,239200000,193800000,248700000,302700000,325400000,299600000,670400000,498600000,324500000,531800000,941500000,560900000,754600000
58,Total Non-Current Liabilities,- -,- -,401900000,406200000,407400000,404100000,628900000,799900000,828500000,851100000,620200000,754300000,711900000,2185300000,2323100000,2098800000,2243600000,2328100000,3461000000,3325300000,2464500000,1443500000,1901400000,1890300000,2026100000,5822100000,5994700000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59900000,58900000,57600000,56000000,54400000,52500000,52000000,- -,- -,- -,- -,- -,4442600000,4272600000
61,Total Liabilities,- -,- -,882500000,964900000,941600000,1011000000,1183200000,1400900000,1468400000,1534600000,1664800000,1780400000,1786300000,3321500000,3419200000,3353400000,3530400000,4102200000,4877400000,4943800000,3661200000,2630600000,3190600000,3274800000,3500200000,7614900000,7843000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,1268700000,- -,1328800000,1351700000,1405800000,1474100000,1526000000,1584100000,1703300000,1806400000,1904300000,2074900000,- -,2297900000,2408800000,2518800000,1207600000,1302200000,1405900000,1502600000,1614600000,1631900000,1685000000,2205300000,2286600000
64,Retained Earnings,- -,- -,-41700000,48300000,178000000,344600000,532100000,760700000,979400000,1197900000,1405800000,1684700000,1820400000,2096000000,2357400000,2621900000,2921900000,3172800000,998900000,995800000,1026000000,547500000,560100000,657600000,806600000,143500000,522300000
65,Other Comprehensive Income/Loss,- -,- -,-153200000,-878100000,-151800000,-138000000,-124800000,-117800000,-54916000,-52498000,-51236000,-50124000,-53700000,-37800000,-57200000,-71100000,-59800000,-146600000,-132800000,-128100000,-86600000,-87000000,-62900000,-85200000,-98200000,-17600000,4200000
66,Other Total Stockholders Equity,- -,- -,7400000,1849600000,- -,- -,- -,- -,-1254293000,-1483732000,-1784845000,-2211213000,-2576500000,-2724000000,- -,-2954700000,-3334700000,-3703000000,-14200000,-13000000,-11800000,-11100000,-10100000,-9500000,-800000,- -,- -
67,Total Stockholders Equity,- -,- -,1081200000,1019800000,964000000,960500000,1035200000,1128900000,1196191000,1245770000,1273019000,1229763000,1094500000,1409100000,1606000000,1894000000,1936200000,1842000000,2059500000,2156900000,2333500000,1952000000,2101700000,2194800000,2392600000,2331200000,2813100000
68,Total Liabilities And Stockholders Equity,- -,- -,1963700000,1984700000,1905600000,1971500000,2218400000,2529800000,2664591000,2780370000,2937819000,3010163000,2880800000,4730600000,5025200000,5247400000,5466600000,5944200000,6936900000,7100700000,5994700000,4582600000,5292300000,5469600000,5892800000,9946100000,10656100000
69,Minority Interest,- -,- -,- -,- -,100000,-100000,100000,-100000,9000,-70000,-19000,37000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,1963700000,1984700000,1905700000,1971400000,2218500000,2529700000,2664600000,2780300000,2937800000,3010200000,2880800000,4730600000,5025200000,5247400000,5466600000,5944200000,6936900000,7100700000,5994700000,4582600000,5292300000,5469600000,5892800000,9946100000,10656100000
71,SEC Link,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/940944/000094094401500072/0000940944-01-500072-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/940944/000094094405000153/0000940944-05-000153-index.htm,- -,https://www.sec.gov/Archives/edgar/data/940944/000119312507158244/0001193125-07-158244-index.htm,https://www.sec.gov/Archives/edgar/data/940944/000119312508152760/0001193125-08-152760-index.htm,https://www.sec.gov/Archives/edgar/data/940944/000119312509155014/0001193125-09-155014-index.htm,https://www.sec.gov/Archives/edgar/data/940944/000119312510165061/0001193125-10-165061-index.htm,https://www.sec.gov/Archives/edgar/data/940944/000119312511194810/0001193125-11-194810-index.htm,https://www.sec.gov/Archives/edgar/data/940944/000094094412000031/0000940944-12-000031-index.htm,https://www.sec.gov/Archives/edgar/data/940944/000094094413000027/0000940944-13-000027-index.htm,https://www.sec.gov/Archives/edgar/data/940944/000094094414000064/0000940944-14-000064-index.htm,https://www.sec.gov/Archives/edgar/data/940944/000094094415000039/0000940944-15-000039-index.htm,https://www.sec.gov/Archives/edgar/data/940944/000094094416000116/0000940944-16-000116-index.htm,https://www.sec.gov/Archives/edgar/data/940944/000094094417000027/0000940944-17-000027-index.htm,https://www.sec.gov/Archives/edgar/data/940944/000094094418000050/0000940944-18-000050-index.htm,https://www.sec.gov/Archives/edgar/data/940944/000094094419000025/0000940944-19-000025-index.htm,https://www.sec.gov/Archives/edgar/data/940944/000094094420000046/0000940944-20-000046-index.htm,https://www.sec.gov/Archives/edgar/data/940944/000094094421000041/0000940944-21-000041-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,52400000,74400000,-91000000,101700000,140500000,176700000,197000000,237800000,232300000,227200000,290600000,338200000,201400000,377200000,372200000,404500000,476300000,475500000,411900000,286200000,709500000,375000000,479100000,596000000,713400000,-52400000,629300000
74,Depreciation and Amortization,135500000,136500000,140700000,131000000,130200000,136359000,153895000,173407000,198119000,217603000,224260000,233087000,202100000,248000000,283100000,300900000,316800000,349100000,394800000,304400000,319300000,290200000,272900000,313100000,336700000,355900000,350900000
75,Deferred Income Tax,2000000,-3500000,-52100000,- -,14000000,24609000,11750000,22800000,35749000,19621000,-24722000,-29796000,-27100000,31100000,89500000,-10200000,28800000,36100000,-2100000,-44900000,42000000,-10800000,-22900000,-20600000,47500000,-133600000,169200000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41500000,53500000,66600000,56100000,49300000,38700000,53700000,37300000,40700000,42800000,59800000,53000000,72400000
77,Change in Working Capital,-2100000,- -,-143200000,-18000000,-45300000,-109900000,90200000,74700000,-162800000,-22900000,-300100000,-11200000,119500000,-139300000,127000000,-34800000,-46900000,-393500000,365000000,1009400000,-498200000,-226500000,-334500000,-129600000,249400000,-109900000,714200000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6100000,-9400000,-1500000,7800000,14000000,-6500000,-7200000,2100000,- -,- -
79,Inventory,- -,42200000,-11500000,- -,- -,- -,-6242000,-23984000,-1231000,- -,-36663000,36721000,-14200000,9500000,-30200000,26200000,-79300000,-103000000,50600000,-25600000,64500000,-11800000,5000000,-26600000,-2100000,-13900000,16100000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25200000,27600000,5500000,-10200000,10800000,27200000,-20900000,45600000,-9000000,12600000,55000000,-68500000,48900000
81,Other Working Capital,- -,- -,-143200000,-161200000,-206500000,-316400000,-226200000,-151500000,-314300000,-337200000,-637300000,-648500000,-529000000,-668300000,-541300000,-576100000,-623000000,-1016500000,-651500000,357900000,-140300000,-366800000,-701300000,-830900000,-581500000,-691400000,22800000
82,Other Non-Cash Items,77700000,86600000,334800000,21400000,108800000,109352000,-32275000,-565000,205924000,83887000,393204000,186799000,110500000,217200000,-130900000,188100000,51000000,238400000,-269600000,-1182900000,-155300000,312800000,464600000,199600000,-149600000,598300000,-742000000
83,Cash Provided by Operating Activities,265500000,294000000,189200000,236100000,348200000,337120000,420570000,508142000,509292000,525411000,583242000,717090000,606400000,734200000,782400000,902000000,892600000,761700000,949300000,410900000,471000000,778000000,899900000,1001300000,1257200000,711300000,1194000000
84,CAPEX,-357900000,-213900000,-159700000,-112200000,-123700000,-268946000,-355139000,-318392000,-423273000,-354326000,-329238000,-338155000,-345200000,-429200000,-535300000,-438500000,-547700000,-639700000,-685600000,-414800000,-296500000,-251600000,-318300000,-418800000,-477900000,-484500000,-270300000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1198100000,- -,- -,- -,-58500000,-577400000,- -,- -,- -,-764400000,-40400000,- -,-55800000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-9904000,- -,- -,- -,- -,- -,- -,-42000000,-15500000,-6500000,-32100000,-12900000,-3000000,- -,- -,-900000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,10000000,- -,- -,- -,- -,6300000,13900000,12800000,5100000,21300000,26000000,8700000,9700000,1800000,3700000,- -,- -,- -,- -
88,Other Investing Activites,-8300000,14400000,35200000,18600000,27200000,19178000,2762000,-45500000,-7116000,11069000,16097000,13539000,49600000,94300000,5500000,15100000,-800000,-12300000,-37100000,187500000,2037900000,308200000,-16200000,-14500000,-10600000,-28300000,-8800000
89,Cash Used for Investing Activites,-366200000,-199500000,-124500000,-93600000,-96500000,-249768000,-352377000,-373796000,-420389000,-343257000,-313141000,-324616000,-295600000,-1526700000,-557900000,-426100000,-549900000,-721300000,-1287000000,-221600000,1751100000,81700000,-1070800000,-450900000,-462600000,-544000000,-263700000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-33300000,-153100000,-228000000,-2247500000,-3126000000,-2575200000,-1673100000,-1100200000,-3900000,-1373600000,-143700000,-755200000,-277100000
91,Common Stock Issued,- -,7300000,1500000,12300000,28500000,15758000,36701000,40520000,33664000,39856000,74697000,61783000,56600000,66800000,57500000,66300000,63000000,70200000,64400000,58100000,159700000,99300000,113100000,37800000,59300000,525900000,46200000
92,Common Stock Repurchased,- -,-25000000,-44100000,-170700000,-227500000,-202105000,-176511000,-208578000,-213311000,-235462000,-311686000,-434187000,-371200000,-159400000,-144900000,-85100000,-385500000,-375100000,-52400000,-500000,-502300000,-184800000,-230200000,-234800000,-207500000,-330300000,-45400000
93,Dividends Paid,- -,-12600000,-12400000,-11700000,-10900000,-10134000,-9458000,-9225000,-13501000,-12984000,-12505000,-59206000,-65700000,-100900000,-110200000,-140000000,-175500000,-223900000,-258200000,-288300000,-278900000,-268200000,-279100000,-313500000,-370800000,-322300000,-202600000
94,Other Financing Activites,103200000,-54000000,-14600000,35600000,-34300000,94271000,116787000,133998000,- -,14500000,-14500000,38669000,57400000,999000000,26100000,21900000,205000000,2735900000,3727600000,2626700000,510100000,333100000,529300000,1247500000,178500000,1020600000,- -
95,Cash Used/Provided by Financing Activities,103200000,-84300000,-69600000,-134500000,-244200000,-102210000,-32481000,-43285000,-193148000,-194090000,-263994000,-392941000,-322900000,805500000,-204800000,-290000000,-521000000,-40400000,355400000,-179200000,-1784500000,-1120800000,129200000,-636600000,-484200000,138700000,-478900000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,2400000,10200000,-4900000,-134500000,-244200000,-14858000,35712000,91061000,-104245000,-11936000,6107000,-467000,-12100000,13000000,19700000,185900000,-178300000,- -,17700000,10100000,437600000,-261100000,-41700000,-86200000,310400000,306000000,451400000
98,Cash at the End of Period,20100000,30300000,25400000,- -,- -,26102000,61814000,152875000,48630000,36694000,42801000,42334000,30200000,43200000,62900000,248800000,70500000,70500000,88200000,98300000,535900000,274800000,233100000,146900000,457300000,763300000,1214700000
99,Cash at the Beginning of Period,17700000,20100000,30300000,25500000,33500000,40960000,26102000,61814000,152875000,48630000,36694000,42801000,42300000,30200000,43200000,62900000,248800000,70500000,70500000,88200000,98300000,535900000,274800000,233100000,146900000,457300000,763300000
100,Free Cash Flow,-92400000,80100000,29500000,123900000,224500000,68174000,65431000,189750000,86019000,171085000,254004000,378935000,261200000,305000000,247100000,463500000,344900000,122000000,263700000,-3900000,174500000,526400000,581600000,582500000,779300000,226800000,923700000
