,https://roic.ai/company/BJRI,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,5789000,15500000,15500000,17700000,26101593,36837004,42110642,26500000,58609000,- -,41000000,57800000,81300000,137500000,153100000,179400000,- -,210700000,107244000,298461000,312543000,- -,334581000,353951000,132707000,125710000,142193000
11,COGS and Expenses,7637000,21300000,26600000,29700000,36591922,51292681,59525477,73800000,97670000,- -,121100000,167100000,226000000,363200000,408700000,483700000,- -,577900000,746574000,810143000,856535000,- -,931411000,993878000,1108469000,847800000,1099599000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,214000,124000,- -,233000,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,264000000,- -,- -,400000,-1119000,1700000,1800000,200000,90000,- -,144000,-133000,-238000,-1015000,- -,-1730000,-4501000,4613000,7078000,5002000
14,Depreciation and Amortization,359000,1400000,1400000,1700000,1517428,2002009,2117453,2714000,3928000,- -,5249000,6984000,9983000,19184000,24119000,28878000,- -,34075000,49007000,55387000,59417000,- -,64275000,68665000,72006000,73124000,18093000
15,EBITDA,-1247000,-900000,1100000,1800000,1933502,2469015,7098436,-611586000,9365000,- -,9663000,18265000,26317000,34021000,42867000,59806000,- -,77901000,73886000,91472000,120509000,- -,123636000,99554000,122913000,-9748000,3913000
16,EBITDA ratio,-0.1893,-0.0452,0.0420,0.0598,0.0517,0.0472,0.1097,-8.0791,0.0910,- -,0.0749,0.1025,0.1102,0.0909,0.1005,0.1164,- -,0.1255,0.0953,0.1082,0.1310,- -,0.1245,0.0965,0.1058,-0.0125,0.0036
17,Operating Income,-1051000,-1400000,-400000,400000,800871,1053578,5157607,526000,5289000,- -,7965000,11104000,12950000,10905000,19702000,30154000,- -,42387000,23860000,35426000,63062000,- -,61641000,37904000,49119000,-86431000,-16507000
18,Operating Income ratio,-0.1596,-0.0704,-0.0153,0.0133,0.0214,0.0201,0.0797,0.0069,0.0514,- -,0.0617,0.0623,0.0542,0.0291,0.0462,0.0587,- -,0.0683,0.0308,0.0419,0.0686,- -,0.0621,0.0367,0.0423,-0.1110,-0.0152
19,Total Other Income Expenses (Gains),- -,-400000,200000,- -,-278622,-586572,-185055,1974000,148000,- -,635000,1296000,1750000,2095000,-1102000,646000,- -,1313000,1152000,897000,-955000,- -,-550000,-2514000,-2825000,-3519000,-2675000
20,Income Before Tax,- -,- -,- -,- -,522249,467006,4972552,2500000,5437000,- -,8600000,12400000,14700000,13000000,18600000,30800000,- -,43700000,25012000,36323000,62107000,- -,61091000,35390000,46294000,-89950000,-19182000
21,Income Before Tax Ratio,- -,- -,- -,- -,0.0140,0.0089,0.0769,0.0330,0.0528,- -,0.0667,0.0696,0.0615,0.0348,0.0436,0.0599,- -,0.0704,0.0323,0.0430,0.0675,- -,0.0615,0.0343,0.0399,-0.1155,-0.0176
22,Income Tax expense (Gain),- -,- -,- -,- -,25601,-1477248,1804112,-880000000,1844000,- -,-2286000,4000000,4834000,2737000,5548000,7638000,- -,12082000,3990000,8926000,16782000,- -,15534000,-9390000,1056000,-32065000,-15576000
23,Net Income,-1606000,-2300000,-300000,100000,390473,1944254,3176871,1700000,3593000,- -,6300000,8400000,9800000,10300000,13000000,23200000,- -,31600000,21022000,27397000,45325000,- -,45557000,44780000,45238000,-57885000,-3606000
24,Net Income ratio,-0.2439,-0.1156,-0.0115,0.0033,0.0104,0.0371,0.0491,0.0225,0.0349,- -,0.0488,0.0471,0.0410,0.0275,0.0305,0.0451,- -,0.0509,0.0271,0.0324,0.0493,- -,0.0459,0.0434,0.0389,-0.0744,-0.0033
25,EPS,-0.55,-0.52,-0.05,0.01,0.05,0.25,0.33,0.10,0.18,- -,0.32,0.38,0.42,0.39,0.49,0.86,- -,1.14,0.75,0.99,1.76,- -,1.91,2.10,2.23,-2.74,-0.17
26,EPS Diluted,-0.55,-0.52,-0.05,0.01,0.05,0.25,0.30,0.09,0.18,- -,0.30,0.36,0.41,0.39,0.48,0.82,- -,1.08,0.73,0.97,1.73,- -,1.88,2.06,2.20,-2.74,-0.17
27,Weighted Average Shares Outstanding,2936000,4391709,6408321,6408321,7401472,7658321,9515381,17273000,19422000,- -,19498000,22134000,23287000,26484000,26750000,27073000,- -,27631000,28194000,27710000,25718000,- -,23824000,21374000,20285000,21162000,21162000
28,Weighted Average Shares Outstanding Diluted,2936000,4391709,6666667,6419851,7410722,7769682,10419116,18775000,20482000,- -,20570000,23381000,24131000,26749000,27147000,28167000,- -,29143000,28895000,28316000,26231000,- -,24233000,21772000,20592000,21162000,21162000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1013488/000101348801000004/0001013488-01-000004-index.html,https://www.sec.gov/Archives/edgar/data/1013488/000091205702011513/a2074533z10-k405.htm,https://www.sec.gov/Archives/edgar/data/1013488/000110465903005174/0001104659-03-005174-index.html,- -,undefined,https://www.sec.gov/Archives/edgar/data/1013488/000119312505050976/0001193125-05-050976-index.html,https://www.sec.gov/Archives/edgar/data/1013488/000119312506056951/d10k.htm,https://www.sec.gov/Archives/edgar/data/1013488/000119312507053535/d10k.htm,https://www.sec.gov/Archives/edgar/data/1013488/000119312509054027/0001193125-09-054027-index.html,https://www.sec.gov/Archives/edgar/data/1013488/000119312510051099/0001193125-10-051099-index.html,https://www.sec.gov/Archives/edgar/data/1013488/000119312511061027/d10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/1013488/000119312512082223/0001193125-12-082223-index.html,https://www.sec.gov/Archives/edgar/data/1013488/000119312514066983/d656123d10k.htm,https://www.sec.gov/Archives/edgar/data/1013488/000119312515065115/d856338d10k.htm,https://www.sec.gov/Archives/edgar/data/1013488/000119312516471871/0001193125-16-471871-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1013488/000119312517059914/0001193125-17-059914-index.html,https://www.sec.gov/Archives/edgar/data/1013488/000156459018003270/0001564590-18-003270-index.html,https://www.sec.gov/Archives/edgar/data/1013488/000156459020006165/0001564590-20-006165-index.html,https://www.sec.gov/Archives/edgar/data/1013488/000156459021009951/0001564590-21-009951-index.htm,https://www.sec.gov/Archives/edgar/data/1013488/000156459022006872/0001564590-22-006872-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,5500000,1700000,1500000,188811,1405379,8903162,29100000,4899000,- -,3800000,8100000,51800000,8900000,44900000,31500000,- -,22400000,22995000,30683000,34604000,- -,22761000,24335000,22394000,51664000,38527000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,3700000,22041000,- -,15800000,41700000,32900000,- -,- -,21700000,- -,23000000,7988000,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,5500000,1700000,1500000,188811,1405379,8903162,32800000,26940000,- -,19600000,49800000,84700000,8900000,44900000,53200000,- -,45400000,30983000,30683000,34604000,- -,22761000,24335000,22394000,51664000,38527000
34,Net Receivables,- -,200000,200000,200000,141968,181325,146322,700000,1869000,- -,2300000,2400000,2400000,10100000,13200000,10000000,- -,14500000,12776000,18796000,25364000,- -,14698000,13865000,22197000,23630000,- -
35,Inventory,- -,300000,400000,300000,455880,570147,668519,800000,959000,- -,1300000,1700000,2100000,3600000,4000000,5000000,- -,6000000,7433000,8010000,8893000,- -,9907000,10514000,11102000,10671000,- -
36,Other Current Assets,- -,400000,800000,300000,271854,305685,1481934,1600000,2339000,- -,5100000,4300000,6300000,13100000,12200000,14500000,- -,21100000,19644000,23829000,24142000,- -,11324000,11615000,8912000,9325000,- -
37,Total Current Assets,- -,6400000,3100000,2300000,1058513,2462536,11199937,35900000,32107000,- -,28300000,58200000,95500000,35700000,74300000,82700000,- -,87000000,70836000,81318000,93003000,- -,58690000,60329000,64605000,95290000,- -
38,PP&E,- -,6200000,8700000,9600000,12529913,19534640,22848125,36200000,46306000,- -,66500000,99800000,148400000,262200000,291900000,330100000,- -,390600000,513597000,541349000,561832000,- -,601324000,589844000,966994000,910398000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,4800000,- -,- -,4700000,4700000,4700000,4700000,4700000,4700000,- -,4700000,4673000,4673000,4673000,- -,4673000,4673000,4673000,4673000,- -
40,Intangible Assets,- -,5700000,5500000,5400000,5202085,5759972,5471451,- -,4762000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,5558000,5700000,5500000,5400000,5202085,5759972,5471451,4800000,4762000,- -,4700000,4700000,4700000,4700000,4700000,4700000,- -,4700000,4673000,4673000,4673000,- -,4673000,4673000,4673000,4673000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30600000,- -,1005000,- -,7739000,1803000,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,482006,- -,- -,- -,1700000,2000000,2400000,11800000,17900000,24000000,- -,31600000,- -,38974000,46669000,- -,37587000,20286000,- -,6227000,- -
44,Other Non-Current Assets,- -,600000,500000,300000,353595,2235220,253527,900000,530000,- -,-300000,-700000,-1200000,-9800000,-7700000,-12405000,- -,-19539000,19970000,-19231000,-24512000,- -,-10962000,8418000,35812000,42836000,- -
45,Total Non-Current Assets,- -,12500000,14700000,15300000,18085593,27529832,29055109,41900000,51598000,- -,72600000,105800000,154300000,299500000,306800000,347400000,- -,415100000,540043000,565765000,588662000,- -,632622000,623221000,1007479000,964134000,- -
46,Other Assets,9943000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1035166000
47,Total Assets,9943000,18900000,17800000,17600000,19144106,29992368,40255046,77800000,83705000,- -,100900000,164000000,249800000,335200000,381100000,430100000,- -,502100000,610879000,647083000,681665000,- -,691312000,683550000,1072084000,1059424000,1035166000
48,Accounts Payable,- -,1300000,1000000,1100000,1114757,3147436,2485883,4900000,2796000,- -,6200000,4900000,11900000,12700000,12000000,19200000,- -,23800000,31485000,34395000,33033000,- -,31145000,25275000,23422000,37770000,- -
49,Short-Term Debt,- -,700000,700000,700000,782202,1239416,1215160,408000,208000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32194000,36809000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8441000,9336000,8795000,10324000,- -,12133000,14349000,10852000,7120000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,170000000,- -,- -,1742000,2387000,3758000,8680000,9782000,11684000,- -,13199000,7798000,14595000,16971000,- -,18383000,21694000,27426000,23395000,- -
52,Other Current Liabilities,- -,1100000,1100000,1300000,1710984,3471946,3740904,-165308000,8533000,- -,10658000,19113000,20742000,33920000,44918000,33216000,- -,37201000,52856000,58035000,66890000,- -,76170000,75572000,75389000,79925000,- -
53,Total Current Liabilities,- -,3100000,2800000,3100000,3607943,7858798,7441947,10000000,11537000,- -,18600000,26400000,36400000,55300000,66700000,64100000,- -,74200000,92139000,107025000,116894000,- -,125698000,122541000,158431000,177899000,- -
54,Long-Term Debt,- -,3300000,2900000,2200000,2078712,3828629,3130308,200000,- -,- -,- -,- -,- -,9500000,5000000,- -,- -,- -,- -,58000000,100500000,- -,148000000,163500000,143000000,573669000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15219000,- -,24803000,27627000,- -,30424000,32487000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31561000,30579000,38974000,46669000,- -,55154000,21694000,20164000,- -,- -
57,Other Non-Current Liabilities,- -,200000,100000,200000,109131,2998183,1588537,1000000,1117000,- -,3500000,7700000,10600000,38100000,56400000,78200000,- -,48620000,86725000,69592000,73492000,- -,57139000,84599000,460202000,14068000,- -
58,Total Non-Current Liabilities,- -,3500000,3000000,2400000,2187843,6826812,4718845,1200000,1117000,- -,3500000,7700000,10600000,47600000,61400000,78200000,- -,95400000,117304000,191369000,248288000,- -,290717000,302280000,623366000,587737000,- -
59,Other Liabilities,5667000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,701395000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,480527000,493678000,- -
61,Total Liabilities,5667000,6600000,5800000,5500000,5795786,14685610,12160792,11200000,12654000,- -,22100000,34100000,47000000,102900000,128100000,142300000,- -,169600000,209443000,298394000,365182000,- -,416415000,424821000,781797000,765636000,701395000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,16076132,16076132,25806504,62100000,62513000,- -,63400000,105300000,164600000,166600000,166800000,174000000,- -,179100000,182491000,93971000,7367000,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,-4100000,-4400000,-4300000,-3952251,-2007997,1168874,2800000,6429000,- -,12700000,21000000,30900000,52900000,65900000,89100000,- -,120700000,173104000,200501000,245826000,- -,208697000,189825000,223225000,222066000,- -
65,Other Comprehensive Income/Loss,- -,-900000,-1900000,-3000000,-4205000,-5930768,-7084029,-9700000,- -,- -,-18100000,-25100000,-35100000,-4383000,- -,-116400000,- -,-149500000,-238898000,-291617000,-345765000,- -,-404702000,-464661000,-584572000,- -,- -
66,Other Total Stockholders Equity,4276000,17300000,18300000,19400000,5429439,7169391,8202905,11416000,- -,- -,20780000,28699000,42462000,17160000,20279000,141126000,- -,182149000,284739000,345834000,409055000,- -,470902000,533565000,651634000,- -,- -
67,Total Stockholders Equity,4276000,12300000,12000000,12100000,13348320,15306758,28094254,66616000,71051000,- -,78780000,129899000,202862000,232277000,252979000,287826000,- -,332449000,401436000,348689000,316483000,- -,274897000,258729000,290287000,293788000,333771000
68,Total Liabilities And Stockholders Equity,9943000,18900000,17800000,17600000,19144106,29992368,40255046,77816000,83705000,- -,100880000,163999000,249862000,335177000,381079000,430126000,- -,502049000,610879000,647083000,681665000,- -,691312000,683550000,1072084000,1059424000,1035166000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,-16000,- -,- -,20000,1000,-62000,23000,21000,-26000,- -,51000,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,9943000,18900000,17800000,17600000,19144106,29992368,40255046,77800000,83705000,- -,100900000,164000000,249800000,335200000,381100000,430100000,- -,502100000,610879000,647083000,681665000,- -,691312000,683550000,1072084000,1059424000,1035166000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1013488/000101348801000004/0001013488-01-000004-index.html,https://www.sec.gov/Archives/edgar/data/1013488/000091205702011513/a2074533z10-k405.htm,https://www.sec.gov/Archives/edgar/data/1013488/000110465903005174/0001104659-03-005174-index.html,- -,undefined,https://www.sec.gov/Archives/edgar/data/1013488/000119312505050976/0001193125-05-050976-index.html,https://www.sec.gov/Archives/edgar/data/1013488/000119312506056951/d10k.htm,https://www.sec.gov/Archives/edgar/data/1013488/000119312507053535/d10k.htm,https://www.sec.gov/Archives/edgar/data/1013488/000119312509054027/0001193125-09-054027-index.html,https://www.sec.gov/Archives/edgar/data/1013488/000119312510051099/0001193125-10-051099-index.html,https://www.sec.gov/Archives/edgar/data/1013488/000119312511061027/d10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/1013488/000119312512082223/0001193125-12-082223-index.html,https://www.sec.gov/Archives/edgar/data/1013488/000119312514066983/d656123d10k.htm,https://www.sec.gov/Archives/edgar/data/1013488/000119312515065115/d856338d10k.htm,https://www.sec.gov/Archives/edgar/data/1013488/000119312516471871/0001193125-16-471871-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1013488/000119312517059914/0001193125-17-059914-index.html,https://www.sec.gov/Archives/edgar/data/1013488/000156459018003270/0001564590-18-003270-index.html,https://www.sec.gov/Archives/edgar/data/1013488/000156459020006165/0001564590-20-006165-index.html,https://www.sec.gov/Archives/edgar/data/1013488/000156459021009951/0001564590-21-009951-index.htm,https://www.sec.gov/Archives/edgar/data/1013488/000156459022006872/0001564590-22-006872-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-2300000,-300000,100000,390473,1944254,3176871,1700000,3593000,- -,6300000,8400000,9800000,10300000,13000000,23200000,- -,31600000,21022000,27397000,45325000,- -,45557000,44780000,45238000,-57885000,-3606000
74,Depreciation and Amortization,- -,1400000,1400000,1700000,1517428,2002009,2117453,2714000,3928000,- -,5249000,6984000,9983000,19184000,24119000,28878000,- -,34075000,49007000,55387000,59417000,- -,64275000,68665000,72006000,73124000,18093000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-1773545,935849,284000,-478000,- -,952000,-346000,-933000,2211000,5036000,4133000,- -,6069000,-3448000,4416000,5319000,- -,7073000,-16486000,-2773000,-26391000,-18675000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2914000,4005000,- -,4678000,4418000,4855000,5395000,- -,5527000,6946000,8918000,9791000,2898000
77,Change in Working Capital,- -,200000,-3000000,-1100000,-1749430,-2846832,9154252,22142010,-5330000,- -,-10870000,22100000,27300000,-53100000,27200000,11000000,- -,-5800000,-21503000,-4404000,1816000,- -,-43117000,4796000,-21888000,11217000,85344000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2425000
79,Inventory,- -,-100000,-100000,- -,-110006,-114267,-119803,-111000,-179000,- -,-335000,-429000,-336000,-1062000,-388000,-966000,- -,-1640000,-1372000,-577000,-883000,- -,-1014000,-607000,-969000,396000,-386000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-710000,810000,- -,4539000,7571000,842000,-1983000,- -,542000,-1261000,-9799000,16784000,7489000
81,Other Working Capital,- -,3300000,300000,-800000,-2549430,-5396262,3757990,25900000,20570000,- -,9700000,31800000,59100000,-19600000,7600000,18600000,- -,12800000,-21303000,-25707000,-23891000,- -,-67008000,-62212000,-93826000,-82609000,2735000
82,Other Non-Cash Items,- -,600000,1800000,1400000,2115580,7226361,-10595929,-19950010,6929000,- -,14762000,-8555000,-14263000,79916000,-3943000,3453000,- -,17996000,46048000,12389000,9952000,- -,59044000,-1665000,14498000,30685000,-19769000
83,Cash Provided by Operating Activities,- -,-100000,-100000,2100000,2274051,6552247,4788496,6890000,8642000,- -,16393000,28583000,31887000,58511000,68326000,74669000,- -,88618000,95544000,100040000,127224000,- -,138359000,107036000,115999000,40541000,64285000
84,CAPEX,- -,-2400000,-3300000,-2000000,-4470283,-8934070,-5881645,-16098000,-14129000,- -,-25758000,-40264000,-58315000,-79183000,-60015000,-68031000,- -,-94608000,-117060000,-88124000,-86070000,- -,-109363000,-70736000,-82157000,-43325000,-42189000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-3681000,-37781000,- -,-25035000,-155244000,-41893000,-6500000,- -,-30481000,- -,-48599000,-25345000,-9159000,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,19421000,- -,31301000,129316000,50701000,12600000,32055000,7958000,- -,41578000,41404000,18950000,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-2500000,300000,-100000,55270,27000,468932,56000,36000,- -,1250000,72000,67000,83000,- -,- -,- -,- -,11146000,13143000,3478000,- -,4511000,17905000,4039000,7609000,21000
89,Cash Used for Investing Activites,- -,-4900000,-3000000,-2100000,-4415013,-8907070,-5412713,-19723000,-32453000,- -,-18242000,-66120000,-49440000,-73000000,-27960000,-90554000,- -,-101629000,-89855000,-65190000,-82592000,- -,-104852000,-52831000,-78118000,-35716000,-42168000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4500000,-5000000,- -,- -,- -,-67000000,-486900000,- -,-1132300000,-2129600000,-995500000,-1278900000,-791000
91,Common Stock Issued,- -,6900000,- -,- -,1000000,- -,9783555,36278000,428000,- -,867000,41915000,59297000,1071000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67342000,28907000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000000,-95549000,- -,-94986000,-66922000,-82760000,-15014000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-27528,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2269000,-10003000,-150000,-118000
94,Other Financing Activites,- -,1800000,-600000,-200000,-160932,3598919,-1661555,-3295000,-158000,- -,-151000,- -,1870000,10653000,188000,7497000,- -,3884000,2232000,139838000,541738000,- -,1181936000,2146160000,1043552000,1251167000,-63252000
95,Cash Used/Provided by Financing Activities,- -,8700000,-600000,-200000,839068,3571391,8122000,32983000,270000,- -,716000,41915000,61167000,11724000,-4312000,2497000,- -,3884000,2232000,-27162000,-40711000,- -,-45350000,-52631000,-44711000,24445000,-35254000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,8700000,-600000,-200000,-1301894,1216568,7497783,20150000,-23541000,- -,-1133000,4378000,43614000,-2765000,36054000,-13388000,- -,-9127000,7921000,7688000,3921000,- -,-11843000,1574000,-6830000,29270000,-13137000
98,Cash at the End of Period,- -,- -,- -,- -,188811,1405379,8903162,29053000,4899000,- -,3766000,8144000,51758000,8852000,44906000,31518000,- -,22391000,22995000,30683000,34604000,- -,22761000,24335000,22394000,51664000,38527000
99,Cash at the Beginning of Period,- -,1800000,5500000,1700000,1490705,188811,1405379,8903000,28440000,- -,4899000,3766000,8144000,11617000,8852000,44906000,- -,31518000,15074000,22995000,30683000,- -,34604000,22761000,29224000,22394000,51664000
100,Free Cash Flow,- -,-2500000,-3400000,100000,-2196232,-2381823,-1093149,-9208000,-5487000,- -,-9365000,-11681000,-26428000,-20672000,8311000,6638000,- -,-5990000,-21516000,11916000,41154000,- -,28996000,36300000,33842000,-2784000,22096000
101,SEC Link,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1013488/000101348801000004/0001013488-01-000004-index.html,https://www.sec.gov/Archives/edgar/data/1013488/000091205702011513/a2074533z10-k405.htm,https://www.sec.gov/Archives/edgar/data/1013488/000110465903005174/0001104659-03-005174-index.html,- -,undefined,https://www.sec.gov/Archives/edgar/data/1013488/000119312505050976/0001193125-05-050976-index.html,https://www.sec.gov/Archives/edgar/data/1013488/000119312506056951/d10k.htm,https://www.sec.gov/Archives/edgar/data/1013488/000119312507053535/d10k.htm,https://www.sec.gov/Archives/edgar/data/1013488/000119312509054027/0001193125-09-054027-index.html,https://www.sec.gov/Archives/edgar/data/1013488/000119312510051099/0001193125-10-051099-index.html,https://www.sec.gov/Archives/edgar/data/1013488/000119312511061027/d10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/1013488/000119312512082223/0001193125-12-082223-index.html,https://www.sec.gov/Archives/edgar/data/1013488/000119312514066983/d656123d10k.htm,https://www.sec.gov/Archives/edgar/data/1013488/000119312515065115/d856338d10k.htm,https://www.sec.gov/Archives/edgar/data/1013488/000119312516471871/0001193125-16-471871-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1013488/000119312517059914/0001193125-17-059914-index.html,https://www.sec.gov/Archives/edgar/data/1013488/000156459018003270/0001564590-18-003270-index.html,https://www.sec.gov/Archives/edgar/data/1013488/000156459020006165/0001564590-20-006165-index.html,https://www.sec.gov/Archives/edgar/data/1013488/000156459021009951/0001564590-21-009951-index.htm,https://www.sec.gov/Archives/edgar/data/1013488/000156459022006872/0001564590-22-006872-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
