,https://roic.ai/company/RELL,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,64100000,86300000,102100000,136400000,145400000,157300000,150500000,149700000,192400000,201500000,222100000,250000000,282900000,302200000,380735000,465263000,443845000,466176000,500662000,466100000,520700000,552000000,558140000,168500000,137500000,156100000,151600000,141100000,140442000,145043000,148569000,142634000,159583000,173428000,157552000,174037000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,113000,369000,1387000,1306000,1018000,999000,562000,234000,432000,540000,377000,76000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9809000,5292000,6854000,4600000,3973000,141000,1000,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,1600000,2200000,2400000,2900000,4600000,6200000,4800000,6500000,5800000,3100000,3100000,3900000,4100000,4200000,5159000,5776000,5875000,5364000,5230000,5355000,6240000,6126000,5257000,4546000,4052000,1964000,1112000,1057000,1094000,1707000,2381000,2740000,2993000,3173000,3386000,3424000
15,EBITDA,11800000,16700000,19700000,21300000,5200000,-18300000,7700000,11000000,-20400000,6300000,15100000,700000,18000000,16100000,23763000,32166000,-11734000,-25206000,13800000,11220000,21667000,52752000,3467000,-1304000,23959000,90473000,9279000,2417000,272000,-5318000,-3839000,-3376000,8349000,-3138000,2172000,5732000
16,EBITDA ratio,0.1563,0.1650,0.1665,0.1360,0.0325,-0.1136,0.0485,0.0691,-0.1185,0.0303,0.0630,0.0027,0.0592,0.0502,0.0584,0.0640,-0.0265,-0.0543,0.0265,0.0237,0.0410,0.0947,0.0061,-0.0092,0.1769,0.5694,0.0588,0.0171,0.0020,-0.0388,-0.0270,-0.0247,0.0512,-0.0188,0.0139,0.0324
17,Operating Income,11400000,14900000,16200000,20200000,14700000,3800000,8300000,9500000,-20300000,6600000,17600000,5100000,21300000,18700000,26443000,37106000,-353000,-1659000,19407000,18092000,16126000,7844000,-1264000,-8144000,22151000,2846000,6255000,11000,-4153000,-8086000,-6553000,-5762000,3629000,-6776000,-1657000,2887000
18,Operating Income ratio,0.1510,0.1472,0.1369,0.1290,0.0918,0.0236,0.0523,0.0597,-0.1180,0.0317,0.0734,0.0200,0.0700,0.0583,0.0649,0.0739,-0.0008,-0.0036,0.0373,0.0382,0.0305,0.0141,-0.0022,-0.0577,0.1636,0.0179,0.0396,0.0001,-0.0301,-0.0590,-0.0461,-0.0421,0.0222,-0.0407,-0.0106,0.0163
19,Total Other Income Expenses (Gains),-1200000,-400000,1100000,-1800000,-14100000,-28300000,-5400000,-5000000,-5900000,-3900000,-5600000,-7800000,-7400000,-6800000,-7839000,-10716000,-17256000,-11049000,-10837000,-15792000,-14626000,-5644000,-7425000,-18856000,-26451000,-346000,1445000,589000,3501000,1092000,333000,-354000,231000,465000,443000,-579000
20,Income Before Tax,10200000,14500000,17300000,18400000,600000,-24500000,2900000,4500000,-26200000,2700000,12000000,-2700000,13900000,11900000,18604000,26390000,-17609000,-12708000,8570000,2300000,1500000,2200000,-8689000,-27000000,-4300000,2500000,7700000,600000,-652000,-6994000,-6220000,-6116000,3860000,-6311000,-1214000,2308000
21,Income Before Tax Ratio,0.1351,0.1433,0.1462,0.1175,0.0037,-0.1521,0.0183,0.0283,-0.1522,0.0130,0.0501,-0.0106,0.0457,0.0371,0.0457,0.0525,-0.0397,-0.0274,0.0165,0.0049,0.0028,0.0039,-0.0153,-0.1912,-0.0318,0.0157,0.0488,0.0043,-0.0047,-0.0511,-0.0438,-0.0447,0.0237,-0.0379,-0.0078,0.0130
22,Income Tax expense (Gain),4100000,6300000,6100000,6500000,-400000,-8300000,1200000,1700000,-6400000,200000,3900000,-1700000,4200000,3500000,5500000,8656000,-6339000,-3012000,2537000,21865000,8218000,634000,-218000,1750000,-166000,468000,-334000,160000,-307000,-1466000,546000,812000,1534000,1017000,624000,653000
23,Net Income,6100000,8200000,11200000,11900000,1000000,-16200000,1700000,2800000,-19800000,3000000,8100000,-1500000,9700000,8400000,13104000,17734000,-11270000,-27558000,6033000,-16000000,-2600000,40700000,-8426000,-12200000,16100000,87900000,8500000,1200000,-515000,-5559000,-6766000,-6928000,3822000,-7328000,-1838000,1655000
24,Net Income ratio,0.0808,0.0810,0.0947,0.0760,0.0062,-0.1006,0.0107,0.0176,-0.1150,0.0144,0.0338,-0.0059,0.0319,0.0262,0.0322,0.0353,-0.0254,-0.0593,0.0116,-0.0338,-0.0049,0.0730,-0.0148,-0.0864,0.1189,0.5532,0.0539,0.0085,-0.0037,-0.0406,-0.0476,-0.0506,0.0234,-0.0440,-0.0118,0.0094
25,EPS,0.68,0.82,1.01,1.07,0.09,-1.46,0.15,0.25,-1.75,0.26,0.68,-0.12,0.79,0.60,1.03,1.33,-0.83,-2.00,0.43,-0.67,-0.15,2.36,-0.48,-0.69,0.92,5.01,0.51,0.08,-0.04,-0.41,-0.53,-0.55,0.30,-0.57,-0.14,0.11
26,EPS Diluted,0.65,0.82,1.01,1.04,0.09,-1.46,0.15,0.25,-1.75,0.26,0.68,-0.12,0.77,0.60,1.00,1.21,-0.83,-2.00,0.42,-0.67,-0.15,2.30,-0.48,-0.69,0.90,4.24,0.50,0.08,-0.04,-0.41,-0.53,-0.55,0.30,-0.57,-0.14,0.11
27,Weighted Average Shares Outstanding,8970588,10000000,11089109,11121495,11111111,11095890,11333333,11200000,11299000,11566000,12002000,11892000,12264000,13822000,12722330,13333835,13578313,13779000,14040000,16942000,14318093,17565000,17842000,17905000,17814000,17945000,16966000,15238000,14165000,13833000,13049000,12845000,12902000,13029000,13123000,13202000
28,Weighted Average Shares Outstanding Diluted,9384615,10000000,11089109,11442308,11111111,11095890,11333333,11200000,11299000,11600000,12002000,11892000,12689000,14026000,13104000,14656198,13578313,13779000,14418000,16942000,14318093,17667000,17842000,17905000,18915000,18203000,17118000,15372000,14165000,13833000,13049000,12845000,12961000,13029000,13123000,13261000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/355948/000035594894000014/0000355948-94-000014-index.html,https://www.sec.gov/Archives/edgar/data/355948/000035594895000011/0000355948-95-000011-index.html,https://www.sec.gov/Archives/edgar/data/355948/000035594896000022/0000355948-96-000022-index.html,https://www.sec.gov/Archives/edgar/data/355948/000035594897000022/0000355948-97-000022-index.html,https://www.sec.gov/Archives/edgar/data/355948/000035594898000015/0000355948-98-000015-index.html,https://www.sec.gov/Archives/edgar/data/355948/000035594899000013/0000355948-99-000013-index.html,https://www.sec.gov/Archives/edgar/data/355948/000035594800500002/0000355948-00-500002-index.html,https://www.sec.gov/Archives/edgar/data/355948/000035594801500020/0000355948-01-500020-index.htm,https://www.sec.gov/Archives/edgar/data/355948/000035594802000027/0000355948-02-000027-index.htm,https://www.sec.gov/Archives/edgar/data/355948/000035594803000038/0000355948-03-000038-index.htm,- -,https://www.sec.gov/Archives/edgar/data/355948/000119312505175538/0001193125-05-175538-index.htm,https://www.sec.gov/Archives/edgar/data/355948/000119312506183404/0001193125-06-183404-index.htm,https://www.sec.gov/Archives/edgar/data/355948/000119312507184605/0001193125-07-184605-index.htm,https://www.sec.gov/Archives/edgar/data/355948/000119312508162766/0001193125-08-162766-index.htm,https://www.sec.gov/Archives/edgar/data/355948/000119312509154049/0001193125-09-154049-index.htm,https://www.sec.gov/Archives/edgar/data/355948/000119312510163943/0001193125-10-163943-index.htm,https://www.sec.gov/Archives/edgar/data/355948/000119312511194885/0001193125-11-194885-index.htm,https://www.sec.gov/Archives/edgar/data/355948/000119312512319450/0001193125-12-319450-index.htm,https://www.sec.gov/Archives/edgar/data/355948/000119312513304525/0001193125-13-304525-index.htm,https://www.sec.gov/Archives/edgar/data/355948/000035594814000015/0000355948-14-000015-index.htm,https://www.sec.gov/Archives/edgar/data/355948/000162828015005470/0001628280-15-005470-index.htm,https://www.sec.gov/Archives/edgar/data/355948/000138713116006220/0001387131-16-006220-index.htm,https://www.sec.gov/Archives/edgar/data/355948/000138713117003807/0001387131-17-003807-index.htm,https://www.sec.gov/Archives/edgar/data/355948/000138713118003556/0001387131-18-003556-index.htm,https://www.sec.gov/Archives/edgar/data/355948/000156459019028701/0001564590-19-028701-index.htm,https://www.sec.gov/Archives/edgar/data/355948/000156459020035424/0001564590-20-035424-index.htm,https://www.sec.gov/Archives/edgar/data/355948/000156459021039728/0001564590-21-039728-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,9700000,11200000,6800000,10000000,8000000,12600000,11832000,15946000,15485000,17498000,16927000,24300000,17000000,17400000,40042000,43900000,29000000,171000000,43900000,102000000,102752000,74535000,60454000,55327000,60465000,42019000,30535000,43316000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52100000,105000000,39000000,31732000,23692000,2268000,6429000,- -,8000000,16000000,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,9700000,11200000,6800000,10000000,8000000,12600000,11832000,15946000,15485000,17498000,16927000,24300000,17000000,17400000,40042000,43900000,29000000,223100000,148900000,141000000,134484000,98227000,62722000,61756000,60465000,50019000,46535000,43316000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,34900000,42800000,48200000,53300000,63400000,62400000,77821000,90069000,84156000,85355000,106130000,106200000,99600000,105700000,109520000,92400000,19800000,22400000,26300000,24700000,21242000,21682000,24945000,20782000,22892000,24296000,20197000,25096000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,73900000,81300000,94300000,92200000,96400000,107700000,119224000,144135000,107159000,95896000,92297000,101600000,99500000,110200000,93858000,81200000,26800000,30900000,34700000,34000000,33869000,38769000,45422000,42749000,50720000,53232000,57492000,63508000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,18500000,8600000,8100000,10500000,9800000,12900000,13346000,19329000,20999000,26320000,19739000,8200000,39200000,69400000,6421000,7800000,150500000,11800000,3400000,3300000,2644000,2500000,2836000,3070000,3747000,3067000,2442000,2385000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,137000000,143900000,157400000,166000000,177600000,195600000,222223000,269479000,227799000,225069000,235093000,240300000,255300000,302700000,249841000,225300000,226100000,288200000,213300000,203000000,192239000,161178000,135925000,128357000,137824000,130614000,126666000,134305000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,16900000,16400000,16100000,17500000,18500000,23000000,25851000,28753000,28827000,31088000,30589000,31700000,30100000,29300000,28635000,19400000,6000000,5200000,4400000,5100000,7223000,10081000,12986000,15813000,18232000,19111000,21093000,19637000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24914000,- -,- -,6100000,11300000,11600000,1483000,- -,- -,- -,1300000,1500000,- -,- -,6332000,6332000,6332000,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,17800000,- -,- -,- -,- -,- -,- -,- -,- -,5137000,5613000,1000000,2100000,1600000,758000,400000,- -,- -,400000,900000,843000,743000,3818000,3441000,3014000,2763000,2505000,2270000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,17800000,- -,- -,- -,- -,- -,- -,- -,24914000,5137000,5613000,7100000,13400000,13200000,2241000,400000,- -,- -,1700000,2400000,843000,743000,10150000,9773000,9346000,2763000,2505000,2270000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3781000,1001000,397000,290000,- -,16656000,10683000,5461000,1516000,11549000,7799000,2419000,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2791000,700000,- -,- -,3875000,5000000,300000,12600000,7300000,6700000,1724000,1209000,1457000,158000,281000,212000,456000,541000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,7800000,13200000,6700000,9000000,13600000,17100000,16851000,23282000,5296000,4261000,4802000,4100000,6719000,2899000,1246000,-1590000,2400000,-8556000,-5983000,-5361000,- -,234000,-187000,944000,646000,317000,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,42500000,29600000,22800000,26500000,32100000,40100000,42702000,52035000,59037000,40486000,43795000,43600000,54000000,46400000,36394000,23500000,8700000,25900000,18100000,14300000,11306000,23816000,32205000,29107000,28505000,22403000,24054000,22448000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,179500000,173500000,180200000,192500000,209700000,235700000,264925000,321514000,286836000,265555000,278888000,283900000,309300000,349100000,286235000,248800000,234800000,314100000,231400000,217300000,203545000,184994000,168130000,157464000,166329000,153017000,150720000,156753000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,10900000,16700000,14500000,12800000,17300000,21800000,30882000,28491000,27387000,23660000,33473000,40400000,45200000,55500000,58860000,53000000,18100000,17800000,12600000,14300000,12337000,15768000,14896000,15933000,19603000,16943000,17372000,16979000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,1900000,9900000,- -,- -,- -,1800000,2619000,205000,38000,46000,4027000,- -,- -,- -,- -,- -,19500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1485000,1066000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6644000,1527000,2131000,- -,2591000,2404000,2084000,2095000,1856000,- -,804000,1078000,1102000,927000,529000,1671000,3313000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,27700000,11100000,9800000,12400000,10700000,10300000,14452000,15347000,13631000,16880000,23224000,39456000,50373000,97669000,21818000,15809000,60996000,57516000,6605000,7944000,9227000,9340000,8057000,7209000,9416000,10744000,8653000,10869000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,40500000,37700000,24300000,25200000,28000000,33900000,47953000,44043000,41056000,40586000,60724000,86500000,97100000,155300000,80678000,71400000,101000000,77400000,21300000,24100000,21564000,25912000,24031000,24244000,29946000,28216000,29181000,32227000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,86400000,79600000,92000000,107300000,87400000,113700000,117643000,155134000,132218000,138396000,133813000,98000000,110500000,55700000,55683000,52400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1941000,1358000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,1100000,400000,2700000,3800000,5336000,7492000,8764000,5269000,- -,428000,1300000,389000,- -,3385000,3571000,3994000,7306000,6726000,5691000,1209000,1270000,1102000,927000,212000,161000,242000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,5300000,5195000,5049000,241000,1572000,2200000,1111000,8444000,2915000,429000,10606000,2594000,1274000,1445000,1221000,1154000,-209000,275000,832000,777000,1366000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,86400000,79600000,93100000,107700000,90100000,117500000,122979000,167926000,146177000,148714000,134054000,100000000,114000000,57200000,64127000,58700000,4000000,14600000,9900000,8000000,7136000,2430000,2424000,893000,1202000,1044000,2879000,2966000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3426000,2424000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,126900000,117300000,117400000,132900000,118100000,151400000,170932000,211969000,187233000,189300000,194778000,186500000,211100000,212500000,144805000,130100000,105000000,92000000,31200000,32100000,28700000,28342000,26455000,25137000,31148000,29260000,32060000,35193000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,700000,745000,759000,767000,773000,784000,900000,900000,900000,949000,900000,1000000,900000,800000,700000,702000,684000,642000,642000,647000,652000,657000,663000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,4900000,6100000,12400000,9100000,16800000,23000000,34184000,49834000,36420000,6703000,9906000,-16400000,-19000000,21600000,11098000,-2500000,12900000,98900000,104100000,101800000,97959000,89141000,79292000,69333000,70107000,59703000,54764000,53297000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,-24700000,-24500000,-26600000,-28400000,-31300000,-34500000,-38240000,-22131000,-26405000,-32560000,-11942000,-1000000,5000000,2000000,16000000,6000000,3000000,12000000,7000000,9000000,10000000,4000000,3000000,3000000,4000000,2000000,1490000,4893000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,72400000,74600000,77000000,78900000,106100000,95100000,97304000,81083000,88821000,101339000,- -,120548000,111340000,112045000,113383000,114293000,112963000,112373000,88313000,73739000,66184000,62827000,58741000,59352000,60427000,61402000,61749000,62707000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,52600000,56200000,62800000,59600000,91600000,84300000,93993000,109545000,99603000,76255000,84110000,104048000,98240000,136545000,141430000,118693000,129863000,224173000,200213000,185239000,174845000,156652000,141675000,132327000,135181000,123757000,118660000,121560000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,179500000,173500000,180200000,192500000,209700000,235700000,264925000,321514000,286836000,265555000,278888000,290548000,309340000,349045000,286235000,248793000,234863000,316173000,231413000,217339000,203545000,184994000,168130000,157464000,166329000,153017000,150720000,156753000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6648000,-40000,55000,- -,7000,-63000,-2073000,-13000,-39000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,179500000,173500000,180200000,192500000,209700000,235700000,264925000,321514000,286836000,265555000,278888000,283900000,309300000,349100000,286235000,248800000,234800000,314100000,231400000,217300000,203545000,184994000,168130000,157464000,166329000,153017000,150720000,156753000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/355948/000035594894000014/0000355948-94-000014-index.html,https://www.sec.gov/Archives/edgar/data/355948/000035594895000011/0000355948-95-000011-index.html,https://www.sec.gov/Archives/edgar/data/355948/000035594896000022/0000355948-96-000022-index.html,https://www.sec.gov/Archives/edgar/data/355948/000035594897000022/0000355948-97-000022-index.html,https://www.sec.gov/Archives/edgar/data/355948/000035594898000015/0000355948-98-000015-index.html,https://www.sec.gov/Archives/edgar/data/355948/000035594899000013/0000355948-99-000013-index.html,https://www.sec.gov/Archives/edgar/data/355948/000035594800500002/0000355948-00-500002-index.html,https://www.sec.gov/Archives/edgar/data/355948/000035594801500020/0000355948-01-500020-index.htm,https://www.sec.gov/Archives/edgar/data/355948/000035594802000027/0000355948-02-000027-index.htm,https://www.sec.gov/Archives/edgar/data/355948/000035594803000038/0000355948-03-000038-index.htm,- -,https://www.sec.gov/Archives/edgar/data/355948/000119312505175538/0001193125-05-175538-index.htm,https://www.sec.gov/Archives/edgar/data/355948/000119312506183404/0001193125-06-183404-index.htm,https://www.sec.gov/Archives/edgar/data/355948/000119312507184605/0001193125-07-184605-index.htm,https://www.sec.gov/Archives/edgar/data/355948/000119312508162766/0001193125-08-162766-index.htm,https://www.sec.gov/Archives/edgar/data/355948/000119312509154049/0001193125-09-154049-index.htm,https://www.sec.gov/Archives/edgar/data/355948/000119312510163943/0001193125-10-163943-index.htm,https://www.sec.gov/Archives/edgar/data/355948/000119312511194885/0001193125-11-194885-index.htm,https://www.sec.gov/Archives/edgar/data/355948/000119312512319450/0001193125-12-319450-index.htm,https://www.sec.gov/Archives/edgar/data/355948/000119312513304525/0001193125-13-304525-index.htm,https://www.sec.gov/Archives/edgar/data/355948/000035594814000015/0000355948-14-000015-index.htm,https://www.sec.gov/Archives/edgar/data/355948/000162828015005470/0001628280-15-005470-index.htm,https://www.sec.gov/Archives/edgar/data/355948/000138713116006220/0001387131-16-006220-index.htm,https://www.sec.gov/Archives/edgar/data/355948/000138713117003807/0001387131-17-003807-index.htm,https://www.sec.gov/Archives/edgar/data/355948/000138713118003556/0001387131-18-003556-index.htm,https://www.sec.gov/Archives/edgar/data/355948/000156459019028701/0001564590-19-028701-index.htm,https://www.sec.gov/Archives/edgar/data/355948/000156459020035424/0001564590-20-035424-index.htm,https://www.sec.gov/Archives/edgar/data/355948/000156459021039728/0001564590-21-039728-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,1000000,-16200000,1700000,2800000,-19800000,3000000,8100000,-1500000,9700000,8400000,13104000,17734000,-11270000,-27558000,6033000,-16000000,-2600000,40700000,-8426000,-12200000,16100000,87900000,8500000,1200000,-515000,-5559000,-6766000,-6928000,3822000,-7328000,-1838000,1655000
74,Depreciation and Amortization,- -,- -,- -,- -,4600000,6200000,4800000,6500000,5800000,3100000,3100000,3900000,4100000,4200000,5159000,5776000,5875000,5364000,5230000,5355000,6240000,6126000,5257000,4546000,4052000,1964000,1112000,1057000,1094000,1707000,2381000,2740000,2993000,3173000,3386000,3424000
75,Deferred Income Tax,- -,- -,- -,- -,-200000,800000,5000000,500000,-6700000,1300000,2300000,-3300000,2800000,1200000,1292000,885000,-5780000,-1825000,1190000,15583000,1462000,309000,-3026000,-126000,-146000,252000,2855000,145000,-1005000,-1604000,201000,-55000,319000,315000,-7000,-1000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,845000,687000,630000,657000,1188000,481000,619000,759000,726000,548000,437000,533000,697000,683000,675000
77,Change in Working Capital,- -,- -,- -,- -,-12900000,- -,- -,- -,96500000,9700000,26900000,7700000,8800000,12100000,12570000,51166000,-38693000,-2260000,-386000,-20569000,4400000,-10800000,21763000,-15263000,-28800000,85700000,-18800000,-13100000,-8225000,-35409000,-23372000,-7781000,3765000,-5480000,-4913000,4593000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3535000,12219000,-8002000,-6611000,4112000,1814000,195000,-4495000,-3521000,4167000,-1764000,-2030000,3895000,-4198000
79,Inventory,- -,- -,- -,- -,-17600000,-12600000,7700000,-3600000,1200000,-5600000,-12900000,400000,-3700000,-11000000,-11307000,-25094000,14455000,2484000,4691000,-8917000,-10420000,-9836000,23403000,244000,444000,-17491000,-4941000,2490000,1517000,-7519000,-5175000,2408000,-8247000,-4242000,-5452000,-4861000
