,https://roic.ai/company/HOPE,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
75,Deferred Income Tax,- -,- -,- -,282768,-1178107,1211105,-318836,-2783460,-1027522,-405000,-620000,-482000,-9884000,- -,- -,139000,- -,- -,- -,-1376000,5750000,34740000,2742000,1535000,-17998000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1492000,376000,103000,2561000,1215000,705000,1046000,2967000,3161000,3659000,5282000,8127000,8398000
77,Change in Working Capital,- -,- -,- -,-2404097,386508,1261412,-911989,-6448663,-737837,3411000,-5514000,-492000,-13719000,-21447000,-7586000,235000,22672000,27181000,36360000,13358000,-8585000,-3206000,8708000,-16801000,-84387000,16378616000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,457000,1322000,60000,-231000,-1561000,-2459000,-3099000,-2246000,1453000,-28658000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4125000,-7844000,-2122000,-2164000,466000,1034000,152000,2247000,5098000,15413000,2436000,-19104000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-363000,-3072000,-6829000,-1253000,-1003000,-1157000,-1091000,-1438000,-1219000,-304000,-1120000,-426000,16635181000
82,Other Non-Cash Items,- -,- -,- -,6631547,-1419801,3422561,-31524773,-17210553,3204355,-4963000,-1028000,107000,50223000,78202000,139211000,60303000,17377000,37486000,22983000,22130000,18295000,44684000,15249000,22799000,148659000,-16293375000
83,Cash Provided by Operating Activities,- -,- -,- -,8896771,8062053,16252726,-17385060,-10505964,24521709,28923000,31171000,35475000,32192000,57530000,135739000,96582000,104470000,134203000,135529000,122886000,130605000,203921000,219947000,183855000,165916000,324211000
84,CAPEX,- -,- -,- -,-583022,-1173076,-2254989,-800141,-3201615,-2086609,-2979000,-6098000,-1812000,-3454000,-1650000,-2973000,-1168000,-6835000,-9194000,-6426000,-10924000,-14320000,-14777000,-6846000,-6619000,-4973000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2555000,- -,- -,325993000,- -,59453000,- -,- -,100127000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-22625503,-33038414,-51807319,-109132834,-89321058,-74839685,-81905000,-39885000,-165947000,-273520000,-789834000,-192545000,-236033000,-184279000,-208352000,-192693000,-457451000,-561914000,-584870000,-417199000,-247241000,-1296702000,-1159057000
87,Sales/Maturities of Investments,- -,- -,- -,6766292,3790662,59633094,72385564,66687811,66570911,42477000,58021000,65874000,141827000,399923000,445423000,333403000,214865000,180950000,118566000,168917000,469149000,393521000,221595000,414352000,733632000,1277000
88,Other Investing Activites,- -,- -,- -,-80345026,-60746141,-156019208,-197037293,-231379275,-228731517,-229516000,-269467000,-306786000,-122963000,-162489000,-90418000,-231890000,-498700000,-400267000,-472416000,-650330000,-456398000,-561209000,-945015000,-197315000,-1266589000,164740000
89,Cash Used for Investing Activites,- -,- -,- -,-96204237,-89993893,-148193433,-233784563,-254012522,-237000291,-268944000,-251331000,-406859000,-252101000,-554050000,159487000,190305000,-474949000,-377410000,-552969000,-949788000,-463356000,-767335000,-1147465000,-36823000,-1834632000,-993040000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-4300000,- -,- -,- -,-55000000,-144000000,-193000000,-50000000,-35000000,-140982000,-756545000,-215869000,-45464000,-300000000,-806610000,-1015000000,-465000000,-1350000000,-1738584000,-3356000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,81972000,1150000,60393000,- -,- -,42000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-122000000,- -,- -,- -,- -,- -,-150000000,-13223000,-36777000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-822753,-1648784,-2182699,-2436844,-2631000,-2826000,-2880000,-2882000,-4015000,-3351000,-3350000,-7549000,-19741000,-27819000,-33407000,-42493000,-67661000,-71631000,-70935000,-69182000,-68666000
94,Other Financing Activites,- -,- -,- -,74967221,151922822,72678146,289266139,232513389,225689150,233464000,292762000,486611000,415701000,545098000,-211286000,-75169000,1269379000,482606000,636136000,996538000,1320799000,1700741000,1581755000,1526087000,3165271000,706538000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,74967221,151922822,71855393,283317355,230330690,223252306,230833000,234936000,339731000,219819000,573055000,-248487000,-159108000,383285000,246996000,562895000,663131000,471696000,618080000,895124000,91929000,1320728000,634516000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,-12340245,69990982,-60085314,32147732,-34187796,10773724,-9188000,14776000,-31653000,-90000,76535000,46739000,127779000,12806000,3789000,145455000,-163771000,138945000,54666000,-32394000,238961000,-347988000,-34313000
98,Cash at the End of Period,- -,- -,- -,62689328,132680310,72594996,104742728,76438497,87212221,66024000,80800000,49147000,49057000,125592000,172331000,300110000,312916000,316705000,462160000,298389000,437334000,492000000,459606000,698567000,350579000,316266000
99,Cash at the Beginning of Period,- -,- -,- -,75029573,62689328,132680310,72594996,110626293,76438497,75212000,66024000,80800000,49147000,49057000,125592000,172331000,300110000,312916000,316705000,462160000,298389000,437334000,492000000,459606000,698567000,350579000
100,Free Cash Flow,- -,- -,- -,8313749,6888977,13997737,-18185201,-13707579,22435100,25944000,25073000,33663000,28738000,55880000,132766000,95414000,97635000,125009000,129103000,111962000,116285000,189144000,213101000,177236000,160943000,324211000
101,SEC Link,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1128361/000095014802000859/0000950148-02-000859-index.html,https://www.sec.gov/Archives/edgar/data/1128361/000095014803000696/0000950148-03-000696-index.html,https://www.sec.gov/Archives/edgar/data/1128361/000095014804000602/v97255e10vk.htm,https://www.sec.gov/Archives/edgar/data/1128361/000095012905006770/v10164e10vk.htm,https://www.sec.gov/Archives/edgar/data/1128361/000119312506053726/d10k.htm,https://www.sec.gov/Archives/edgar/data/1128361/000119312507054809/d10k.htm,https://www.sec.gov/Archives/edgar/data/1128361/000119312508057394/d10k.htm,https://www.sec.gov/Archives/edgar/data/1128361/000119312509044698/0001193125-09-044698-index.html,https://www.sec.gov/Archives/edgar/data/1128361/000119312510056780/0001193125-10-056780-index.html,https://www.sec.gov/Archives/edgar/data/1128361/000119312511040498/d10k.htm,https://www.sec.gov/Archives/edgar/data/1128361/000119312512112274/0001193125-12-112274-index.html,https://www.sec.gov/Archives/edgar/data/1128361/000144530513000415/0001445305-13-000415-index.html,https://www.sec.gov/Archives/edgar/data/1128361/000112836114000002/bbcn-12311310k.htm,https://www.sec.gov/Archives/edgar/data/1128361/000162828015001373/bbcn-12311410k.htm,https://www.sec.gov/Archives/edgar/data/1128361/000112836116000051/0001128361-16-000051-index.html,https://www.sec.gov/Archives/edgar/data/1128361/000112836117000023/hope-12x31x1610xk.htm,https://www.sec.gov/Archives/edgar/data/1128361/000112836118000006/0001128361-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/1128361/000112836119000006/0001128361-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1128361/000112836120000007/0001128361-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/1128361/000112836121000007/0001128361-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1128361/000112836122000010/0001128361-22-000010-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
