,https://roic.ai/company/SVC,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,12293000,25319000,39445000,65228000,87937000,99070000,130609000,162480000,270052000,468087000,631946000,788925000,251200000,349755000,285528000,277050000,269305000,304863000,349410000,361775000,439613000,456447000,512061000,507939000,491444000,564784000,555062000
11,COGS and Expenses,12293000,25319000,39445000,65228000,87937000,99070000,130609000,162480000,270052000,468087000,631946000,788925000,910911000,969763000,746397000,754645000,865921000,1005802000,1278991000,1396913000,1583594000,1658985000,1791608000,1900294000,1902371000,1262688000,1565799000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,214000,260000,70000,268000,121000,77000,44000,274000,798000,1528000,2215000,284000,664000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,147184000,143410000,138712000,134110000,129932000,139750000,133995000,139049000,153762000,172708000,185036000,225126000,306490000,365721000
14,Depreciation and Amortization,5844000,20739000,33289000,54757000,76930000,84303000,93812000,99124000,107343000,114883000,134686000,144404000,218319000,239166000,245868000,238089000,- -,260831000,299323000,315878000,329776000,357342000,386659000,403077000,428448000,498908000,485965000
15,EBITDA,17193000,72403000,92442000,136098000,188859000,210574000,225768000,241326000,345556000,241974000,264589000,313443000,551478000,522191000,587815000,398790000,326052000,544298000,567157000,649003000,636809000,738234000,771226000,775042000,916117000,511227000,306142000
16,EBITDA ratio,0.7272,0.8762,0.8100,0.7779,0.7961,0.8006,0.7430,0.6921,0.6251,0.3749,0.3171,0.3016,0.4307,0.4169,0.5667,0.3674,0.2694,0.4197,0.3627,0.3738,0.3313,0.3606,0.3551,0.3378,0.3955,0.4041,0.2047
17,Operating Income,11349000,57310000,74687000,109733000,149281000,163953000,173268000,186226000,282749000,177281000,195166000,250490000,365606000,135727000,147440000,330843000,325843000,278460000,273583000,339170000,335935000,386859000,380327000,394242000,413777000,2566000,-544603000
18,Operating Income ratio,0.4800,0.6936,0.6544,0.6272,0.6293,0.6233,0.5702,0.5340,0.5115,0.2747,0.2339,0.2410,0.2855,0.1083,0.1421,0.3048,0.2692,0.2147,0.1749,0.1953,0.1748,0.1890,0.1751,0.1718,0.1786,0.0020,-0.3641
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,107516000,203000,-7300000,- -,-135598000,114000,51097000,-308854000,-133901000,-124925000,-145833000,-140264000,-178987000,-159866000,-178423000,-207828000,-151627000,-286827000,- -
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,230008000,135841000,198537000,21989000,191942000,153535000,127750000,198906000,156948000,226993000,201904000,186414000,262150000,-284261000,-544603000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1796,0.1084,0.1914,0.0203,0.1586,0.1184,0.0817,0.1146,0.0817,0.1109,0.0930,0.0812,0.1132,-0.2247,-0.3641
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2191000,1846000,5196000,638000,1502000,1612000,-5094000,1945000,1566000,4020000,-3284000,1195000,2793000,17211000,-941000
23,Net Income,11349000,51664000,59153000,81341000,111929000,126271000,131956000,142202000,238213000,127091000,129903000,169039000,330968000,133995000,193341000,21351000,190440000,151923000,133178000,197185000,166418000,223110000,215143000,185734000,259750000,-311382000,-544603000
24,Net Income ratio,0.4800,0.6253,0.5183,0.4649,0.4718,0.4801,0.4342,0.4078,0.4309,0.1969,0.1557,0.1626,0.2585,0.1070,0.1864,0.0197,0.1573,0.1171,0.0852,0.1136,0.0866,0.1090,0.0991,0.0809,0.1121,-0.2461,-0.3641
25,EPS,2.51,2.23,2.15,1.92,2.03,2.11,2.12,2.15,3.57,1.72,1.75,2.20,3.27,1.11,1.51,-0.07,1.30,0.84,0.73,1.18,0.97,1.30,1.24,1.13,1.58,-1.89,-3.31
26,EPS Diluted,2.51,2.23,2.15,1.92,2.03,2.11,2.12,2.15,3.57,1.72,1.75,2.20,3.27,1.11,1.51,-0.07,1.30,0.84,0.73,1.18,0.97,1.30,1.24,1.13,1.58,-1.89,-3.31
27,Weighted Average Shares Outstanding,4515000,23170000,27530000,42317000,52566000,56466000,58986000,62538000,62576000,66503000,69866000,73279000,93109000,93944000,107984000,123403000,123470000,123574000,137553000,149652000,150709000,156062000,164146000,164229000,164312000,164422000,164590000
28,Weighted Average Shares Outstanding Diluted,4515000,23170000,27530000,42317000,52566000,56466000,58986000,62538000,62576000,66503000,69866000,73279000,93109000,93944000,107984000,123403000,123470000,123574000,137553000,149817000,151002000,156088000,164175000,164258000,164340000,164422000,164590000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/945394/000110465904007286/0001104659-04-007286-index.htm,https://www.sec.gov/Archives/edgar/data/945394/000110465905010537/0001104659-05-010537-index.htm,https://www.sec.gov/Archives/edgar/data/945394/000110465906016258/0001104659-06-016258-index.htm,https://www.sec.gov/Archives/edgar/data/945394/000110465907015096/0001104659-07-015096-index.htm,https://www.sec.gov/Archives/edgar/data/945394/000110465908013820/0001104659-08-013820-index.htm,https://www.sec.gov/Archives/edgar/data/945394/000104746909002135/0001047469-09-002135-index.htm,https://www.sec.gov/Archives/edgar/data/945394/000104746910001235/0001047469-10-001235-index.htm,https://www.sec.gov/Archives/edgar/data/945394/000104746911001124/0001047469-11-001124-index.htm,https://www.sec.gov/Archives/edgar/data/945394/000104746912001875/0001047469-12-001875-index.htm,https://www.sec.gov/Archives/edgar/data/945394/000104746913002026/0001047469-13-002026-index.htm,https://www.sec.gov/Archives/edgar/data/945394/000104746914001548/0001047469-14-001548-index.htm,https://www.sec.gov/Archives/edgar/data/945394/000155837015000225/0001558370-15-000225-index.htm,https://www.sec.gov/Archives/edgar/data/945394/000155837016003466/0001558370-16-003466-index.htm,https://www.sec.gov/Archives/edgar/data/945394/000094539417000017/0000945394-17-000017-index.htm,https://www.sec.gov/Archives/edgar/data/945394/000094539418000005/0000945394-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/945394/000094539419000008/0000945394-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/945394/000094539420000008/0000945394-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/945394/000094539421000011/0000945394-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/945394/000094539422000015/0000945394-22-000015-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2135000,38073000,81728000,24610000,73554000,24601000,38962000,7337000,6428000,15894000,18568000,553256000,23401000,22450000,130399000,4882000,8303000,20049000,22500000,11834000,13682000,10896000,24139000,25966000,27633000,73332000,944043000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,2135000,38073000,81728000,24610000,73554000,24601000,38962000,7337000,6428000,15894000,18568000,553256000,23401000,22450000,130399000,4882000,8303000,20049000,22500000,11834000,13682000,10896000,24139000,25966000,27633000,73332000,944043000
34,Net Receivables,322000,1671000,1623000,852000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38064000,40253000,50987000,65332000,78513000,91212000,68653000,55530000,48168000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,-1466000,- -,- -,- -,-23377599,206274000,25083000,80621000,234017000,40744000,30873000,33982000,51211000,60456000,73357000,50037000,141119000,31667000,518893000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,4962000,15894000,18568000,553256000,23401,228724000,155482000,85503000,242320000,60793000,91437000,86069000,115880000,136684000,176009000,167215000,237405000,160529000,1511104000
38,PP&E,326752000,816469000,1207868000,1774811000,2082999000,2157487000,2265824000,2336412000,2685208000,2624473000,3013686000,3334179000,5346761000,5347681000,5206507000,4888555000,4768228000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,378218000,325845000,283241000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,378218000,325845000,283241000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,186381000,218228000,123025000,5574332000,5876107000,5896493000,6291717000,6497544000,6974376000,7009864000,8418344000,8200945000,7358970000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5347681000,5392888000,5106783000,4891253000,5574332000,5876107000,5896493000,6291717000,6497544000,6974376000,7009864000,8796562000,8526790000,7642211000
46,Other Assets,338947000,871603000,1313256000,1837638000,2194852000,2220909000,2354964000,2403756000,2756639000,2673531000,3096039000,3404207000,5679283599,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,338947000,871603000,1313256000,1837638000,2194852000,2220909000,2354964000,2403756000,2761601000,2689425000,3114607000,3957463000,5679307000,5576405000,5548370000,5192286000,5133573000,5635125000,5967544000,5982562000,6407597000,6634228000,7150385000,7177079000,9033967000,8687319000,9153315000
48,Accounts Payable,396000,4189000,2464000,10851000,1249000,- -,- -,- -,1336000,77782000,108595000,119536000,134705000,128078000,103678000,107297000,103668000,95044000,130448000,106903000,179783000,188053000,184788000,211332000,335696000,345079000,433448000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,320000000,- -,18000000,465000000,191000000,398000000,177000000,377000000,78424000,1000000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,40604000,97211000,177936000,238149000,259051000,273300000,285600000,284700000,288664000,228318000,190205000,190564000,178795000,180730000,7613000,7666000,8467000,20360000,18360000,13824000,74680000,63641000,83049000,62913000,20443000,30566000,21539000
53,Total Current Liabilities,41000000,101400000,180400000,249000000,260300000,273300000,285600000,284700000,290000000,306100000,298800000,310100000,313500000,308808000,111291000,114963000,112135000,435404000,148808000,138727000,719463000,442694000,665837000,451245000,733139000,454069000,1454987000
54,Long-Term Debt,- -,125000000,125000000,414753000,414780000,464748000,- -,- -,201000000,693679000,960372000,1199830000,2579391000,2664730000,2193561000,2111223000,2115714000,2402358000,2704005000,2820613000,2822473000,2972807000,3603048000,3995587000,5685547000,6130166000,6143022000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19276000,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,47000,20000,-48000,464800000,474000000,625100000,3821000,28000,-30000,9000,- -,151587000,105859000,106422000,44289000,27876000,33069000,53579000,89338000,126078000,132816000,109403000,294000,- -
58,Total Non-Current Liabilities,- -,125000000,125000000,414800000,414800000,464700000,464800000,474000000,826100000,697500000,960400000,1199800000,2579400000,2664730000,2345148000,2217082000,2222136000,2465923000,2731881000,2853682000,2876052000,3062145000,3729126000,4128403000,5794950000,6130460000,6143022000
59,Other Liabilities,- -,- -,- -,- -,829637000,- -,929645000,948036000,- -,- -,- -,2399623000,- -,2664730000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,40996000,226395000,305363000,663781000,675137000,737969000,750445000,758736000,1116073000,1003552000,1259152000,1509923000,2892873000,2973538000,2456439000,2332045000,2334271000,2901327000,2880689000,2992409000,3595515000,3504839000,4394963000,4579648000,6528089000,6584529000,7598009000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,155513000,155513000,83306000,83306000,83306000,390139000,390139000,390139000,390139000,390139000,441980000,280107000,280107000,280107000,280107000,- -,- -,- -,- -,- -
63,Common Stock,126000,269000,389000,456000,564000,565000,625000,625000,626000,672000,719000,863000,939000,940000,1234000,1234000,1235000,1236000,1496000,1499000,1515000,1643000,1643000,1644000,1646000,1648000,1651000
64,Retained Earnings,11300000,63000000,122200000,203507000,-59600000,441707000,573663000,-179348000,-180022000,-258041000,-288453000,-340316000,-653525000,-838715000,-764881000,-995532000,-1057211000,-1170332000,-1320300000,-1435808000,-1619928000,-1731617000,-1867886000,-1949428000,-2043297000,-2448483000,-2999682000
65,Other Comprehensive Income/Loss,-5820000,-26218000,-58167000,-112924000,-187631000,-271934000,-363329000,-425910000,-494299000,-556517000,-613007000,-707838000,-849470000,-511000,3230000,2231000,1605000,2770000,15952000,25804000,-15523000,39583000,79358000,-266000,- -,-760000,779000
66,Other Total Stockholders Equity,292345000,608157000,943471000,1082818000,1766382000,1312602000,1393560000,2094140000,2163710000,2416453000,2672890000,3411525000,3898351000,3051014000,3462209000,3462169000,3463534000,3458144000,4109600000,4118551000,4165911000,4539673000,4542307000,4545481000,4547529000,4550385000,- -
67,Total Stockholders Equity,297951000,645208000,1007893000,1173857000,1519715000,1482940000,1604519000,1645020000,1645528000,1685873000,1855455000,2447540000,2786434000,2602867000,3091931000,2860241000,2799302000,2733798000,3086855000,2990153000,2812082000,3129389000,2755422000,2597431000,2505878000,2102790000,1555306000
68,Total Liabilities And Stockholders Equity,338947000,871603000,1313256000,1837638000,2194852000,2220909000,2354964000,2403756000,2761601000,2689425000,3114607000,3957463000,5679307000,5576405000,5548370000,5192286000,5133573000,5635125000,5967544000,5982562000,6407597000,6634228000,7150385000,7177079000,9033967000,8687319000,9153315000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,338947000,871603000,1313256000,1837638000,2194852000,2220909000,2354964000,2403756000,2761601000,2689425000,3114607000,3957463000,5679307000,5576405000,5548370000,5192286000,5133573000,5635125000,5967544000,5982562000,6407597000,6634228000,7150385000,7177079000,9033967000,8687319000,9153315000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/945394/000110465904007286/0001104659-04-007286-index.htm,https://www.sec.gov/Archives/edgar/data/945394/000110465905010537/0001104659-05-010537-index.htm,https://www.sec.gov/Archives/edgar/data/945394/000110465906016258/0001104659-06-016258-index.htm,https://www.sec.gov/Archives/edgar/data/945394/000110465907015096/0001104659-07-015096-index.htm,https://www.sec.gov/Archives/edgar/data/945394/000110465908013820/0001104659-08-013820-index.htm,https://www.sec.gov/Archives/edgar/data/945394/000104746909002135/0001047469-09-002135-index.htm,https://www.sec.gov/Archives/edgar/data/945394/000104746910001235/0001047469-10-001235-index.htm,https://www.sec.gov/Archives/edgar/data/945394/000104746911001124/0001047469-11-001124-index.htm,https://www.sec.gov/Archives/edgar/data/945394/000104746912001875/0001047469-12-001875-index.htm,https://www.sec.gov/Archives/edgar/data/945394/000104746913002026/0001047469-13-002026-index.htm,https://www.sec.gov/Archives/edgar/data/945394/000104746914001548/0001047469-14-001548-index.htm,https://www.sec.gov/Archives/edgar/data/945394/000155837015000225/0001558370-15-000225-index.htm,https://www.sec.gov/Archives/edgar/data/945394/000155837016003466/0001558370-16-003466-index.htm,https://www.sec.gov/Archives/edgar/data/945394/000094539417000017/0000945394-17-000017-index.htm,https://www.sec.gov/Archives/edgar/data/945394/000094539418000005/0000945394-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/945394/000094539419000008/0000945394-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/945394/000094539420000008/0000945394-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/945394/000094539421000011/0000945394-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/945394/000094539422000015/0000945394-22-000015-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,11349000,51664000,59153000,81341000,111929000,126271000,131956000,142202000,238213000,127091000,129903000,169039000,330968000,133995000,193341000,21351000,190440000,151923000,133178000,197185000,166418000,223110000,215143000,185734000,259750000,-311382000,-544603000
74,Depreciation and Amortization,5844000,20739000,33289000,54757000,76930000,84303000,93812000,99124000,107343000,114883000,134686000,144404000,218319000,239166000,245868000,238089000,- -,260831000,299323000,315878000,329776000,357342000,386659000,403077000,428448000,498908000,485965000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7069000,143000,-69000,9000,-236000,-1047000,-127000,13850000,-1688000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,984000,-60400000,-79000000,-68600000,-11300000,-13000000,-12300000,900000,-338000,-5168000,9974000,523388000,-556632599,233392599,124275000,-73651000,159645000,-504796000,317240000,4713000,-550925000,297573000,-183818000,205798000,-211704000,202194000,43694000
78,Accounts Receivable,-200000,-1600000,-500000,1400000,1200000,-541000,-498000,-762000,-1339000,2262000,-1091000,-2488000,-14089000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,400000,3000000,3900000,3700000,2500000,1997000,6632000,-6209000,9524000,8815000,6798000,7191000,21877000,-10767000,-11048000,- -,6696000,17918000,1842000,-7117000,362000,8752000,-572000,5824000,60484000,2296000,-5061000
81,Other Working Capital,-41000000,-101400000,-180400000,-249000000,-260300000,-273300000,-285600000,-284700000,-285038000,-290206000,-280232000,243156000,-313476599,-80084000,44191000,-29460000,130185000,-374611000,-57371000,-52658000,-603583000,-306010000,-489828000,-284030000,-495734000,-293540000,- -
82,Other Non-Cash Items,-4037000,49740000,67783000,66902000,-5938000,-9229000,-8106000,-31981000,-125813000,-13688000,-32257000,-565278000,395574599,-231117599,-243368000,155655000,5017000,455950000,-351583000,-56174000,585693000,-345514000,136475000,-196609000,141355000,-365966000,66536000
83,Cash Provided by Operating Activities,14140000,61743000,81225000,134400000,171621000,188345000,205362000,210245000,219405000,223118000,242306000,271553000,388229000,375436000,320116000,341444000,355102000,363908000,391089000,461745000,530893000,532520000,554223000,596953000,617722000,37604000,49904000
84,CAPEX,-328148000,-491638000,-409799000,-613846000,-365201000,-134353000,-185799000,-148246000,-388482000,-10211000,-443104000,-320776000,-2629215000,-127133000,-9807000,-7091000,-69345000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5134000,- -,- -,- -,-8140000,-825000,-15955000,- -,- -,- -,- -,-5314000,-25443000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2000,- -,-34001000,-63390000,-97892000,-5690000,- -,- -,- -,- -,- -,- -,- -,- -,-7011000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,93892000,- -,- -
88,Other Investing Activites,24496000,42960000,62508000,55979000,40224000,11135000,6606000,5935000,16872000,7750000,-42163000,-72552000,125149000,15969000,- -,-17220000,-19272000,-728920000,-562174000,-280065000,-637884000,-454356000,-733737000,-427742000,-2223936000,-39482000,-75867000
89,Cash Used for Investing Activites,-303652000,-448678000,-347291000,-557867000,-324977000,-123218000,-179193000,-142311000,-371610000,-2461000,-485267000,-393330000,-2504066000,-145165000,-78331000,-122203000,-94307000,-728920000,-570314000,-280890000,-653839000,-454356000,-733737000,-427742000,-2130044000,-51807000,-101310000
90,Debt Repayment,-65241000,-115650000,-261000000,-432000000,-172000000,- -,-150000000,-410000000,-340000000,-715000000,-675000000,-1092000000,-2264000000,-510000000,-1088341000,-389626000,-274383000,-985405000,-738000000,-1345000000,-255000000,-1613000000,-1253478000,-738000000,-924000000,-2293641000,-62451000
91,Common Stock Issued,198088000,358279000,376266000,197005000,274673000,- -,159310000,- -,- -,267684000,199233000,641652000,343451000,- -,373056000,- -,- -,- -,655211000,- -,- -,371956000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-150000000,- -,- -,- -,- -,- -,- -,- -,-236250000,-167500000,- -,-418000,-613000,-290533000,-606000,-800000,-346000,-790000
93,Dividends Paid,-4556000,-53925000,-64761000,-107164000,-144580000,-163529000,-170717000,-185981000,-193824000,-199873000,-208701000,-220902000,-304087000,-319185000,-102254000,-252002000,-252119000,-265044000,-283146000,-312693000,-320631000,-334799000,-346685000,-346832000,-353619000,-93804000,-6596000
94,Other Financing Activites,163356000,234169000,259216000,708508000,244207000,49449000,149599000,496422000,685120000,585998000,930103000,1327715000,3810618000,597963000,683703000,296870000,269128000,1863457000,715111000,1466172000,700843000,1495506000,2083453000,894734000,2795997000,2412191000,977205000
95,Cash Used/Provided by Financing Activities,291647000,422873000,309721000,366349000,202300000,-114080000,-11808000,-99559000,151296000,-211191000,245635000,656465000,1585982000,-231222000,-133836000,-344758000,-257374000,376758000,181676000,-191521000,124794000,-80950000,192757000,-190704000,1517578000,24400000,907368000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,291647000,35938000,43655000,-57118000,48944000,-48953000,14361000,-31625000,-909000,9466000,2674000,534688000,-529855000,-951000,107949000,-125517000,3421000,11746000,2451000,-10666000,1848000,-2786000,13243000,-21493000,5256000,10197000,855962000
98,Cash at the End of Period,2135000,38073000,81728000,24610000,73554000,24601000,38962000,7337000,6428000,15894000,18568000,553256000,23401000,22450000,130399000,4882000,8303000,20049000,22500000,11834000,13682000,10896000,24139000,76003000,81259000,91456000,947418000
99,Cash at the Beginning of Period,- -,2135000,38073000,81728000,24610000,73554000,24601000,38962000,7337000,6428000,15894000,18568000,553256000,23401000,22450000,130399000,4882000,8303000,20049000,22500000,11834000,13682000,10896000,97496000,76003000,81259000,91456000
100,Free Cash Flow,-314008000,-429895000,-328574000,-479446000,-193580000,53992000,19563000,61999000,-169077000,212907000,-200798000,-49223000,-2240986000,248303000,310309000,334353000,285757000,363908000,391089000,461745000,530893000,532520000,554223000,596953000,617722000,37604000,49904000
