,https://roic.ai/company/STLD,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,- -,- -,59400000,52600000,65200000,84485000,5112000,130012000,75437000,475033000,360626000,631555000,630238000,743813000,-18237000,213459000,424319000,204066000,262830000,164803000,-242117000,564133000,935235000,1619774000,875337000,705478000,4209070000
21,Income Before Tax Ratio,- -,- -,0.1414,0.1022,0.1054,0.1220,0.0084,0.1504,0.0764,0.2215,0.1651,0.1950,0.1437,0.0921,-0.0046,0.0339,0.0531,0.0280,0.0356,0.0188,-0.0319,0.0725,0.0980,0.1370,0.0836,0.0735,0.2286
22,Income Tax expense (Gain),- -,- -,7800000,20900000,25800000,30690000,1968000,48676000,28289000,179719000,138841000,234848000,235672000,280427000,-7218000,83860000,158627000,61785000,99314000,73153000,-96947000,204127000,129439000,363969000,197437000,134650000,962256000
23,Net Income,-19900000,-9900000,44000000,31700000,39400000,53795000,3144000,77877000,47148000,295314000,221785000,396707000,394566000,463386000,-8184000,140709000,278120000,163551000,189314000,157024000,-130311000,382115000,812741000,1258379000,671103000,550822000,3214066000
24,Net Income ratio,-199.0000,-0.0392,0.1047,0.0616,0.0637,0.0777,0.0052,0.0901,0.0478,0.1377,0.1015,0.1225,0.0900,0.0573,-0.0021,0.0223,0.0348,0.0224,0.0257,0.0179,-0.0172,0.0491,0.0852,0.1064,0.0641,0.0574,0.1746
25,EPS,-0.15,-0.07,0.23,0.16,0.20,0.29,0.02,0.41,0.25,1.50,1.24,2.11,2.12,2.45,-0.04,0.65,1.27,0.75,0.86,0.68,-0.54,1.57,3.38,5.38,3.06,2.61,15.23
26,EPS Diluted,-0.15,-0.07,0.23,0.16,0.20,0.29,0.02,0.41,0.24,1.32,1.09,1.89,2.01,2.38,-0.04,0.64,1.22,0.73,0.83,0.67,-0.54,1.56,3.36,5.35,3.04,2.59,15.23
27,Weighted Average Shares Outstanding,128387097,138284000,193406593,195076923,191656000,187288000,182620000,188576000,191316000,197148000,178484000,187862000,186322000,189140000,200704000,216760000,218471000,219159000,220916000,232547000,242017000,243576000,240132000,233923000,219639000,211140000,202450000
28,Weighted Average Shares Outstanding Diluted,128387097,138284000,195555556,195076923,192612000,187896000,183412000,189852000,192508000,226108000,206568000,211548000,196804000,194586000,200704000,234717000,235992000,236624000,238996000,242078000,242017000,245298000,241781000,235193000,220748000,212345000,204167000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1022671/000095012303003465/0000950123-03-003465-index.html,https://www.sec.gov/Archives/edgar/data/1022671/000112528204001009/0001125282-04-001009-index.html,https://www.sec.gov/Archives/edgar/data/1022671/000112528205001122/0001125282-05-001122-index.htm,https://www.sec.gov/Archives/edgar/data/1022671/000110465906015390/0001104659-06-015390-index.htm,https://www.sec.gov/Archives/edgar/data/1022671/000110465907013867/0001104659-07-013867-index.htm,https://www.sec.gov/Archives/edgar/data/1022671/000104746908001824/0001047469-08-001824-index.htm,https://www.sec.gov/Archives/edgar/data/1022671/000104746909001996/0001047469-09-001996-index.htm,https://www.sec.gov/Archives/edgar/data/1022671/000104746910001104/0001047469-10-001104-index.htm,https://www.sec.gov/Archives/edgar/data/1022671/000104746911001181/0001047469-11-001181-index.htm,https://www.sec.gov/Archives/edgar/data/1022671/000104746912001586/0001047469-12-001586-index.htm,https://www.sec.gov/Archives/edgar/data/1022671/000104746913001827/0001047469-13-001827-index.htm,https://www.sec.gov/Archives/edgar/data/1022671/000104746914001662/0001047469-14-001662-index.htm,https://www.sec.gov/Archives/edgar/data/1022671/000104746915001486/0001047469-15-001486-index.htm,https://www.sec.gov/Archives/edgar/data/1022671/000104746916010496/0001047469-16-010496-index.htm,https://www.sec.gov/Archives/edgar/data/1022671/000114420417011732/0001144204-17-011732-index.htm,https://www.sec.gov/Archives/edgar/data/1022671/000114420418011155/0001144204-18-011155-index.htm,https://www.sec.gov/Archives/edgar/data/1022671/000114420419010579/0001144204-19-010579-index.htm,https://www.sec.gov/Archives/edgar/data/1022671/000155837020001641/0001558370-20-001641-index.htm,https://www.sec.gov/Archives/edgar/data/1022671/000155837021002129/0001558370-21-002129-index.htm,https://www.sec.gov/Archives/edgar/data/1022671/000155837022002377/0001558370-22-002377-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,8600000,5200000,16600000,10184000,78241000,24218000,65430000,16334000,65518000,29373000,28486000,16233000,9008000,186513000,390761000,375917000,395156000,361363000,727032000,841483000,1028649000,828220000,1381460000,1368618000,1243868000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,84830000,31520000,- -,- -,- -,- -,- -,228783000,262174000,- -,- -
33,Cash and Short-Term Investments,- -,- -,8600000,5200000,16600000,10184000,78241000,24218000,65430000,16334000,65518000,29373000,28486000,16233000,9008000,186513000,475591000,407437000,395156000,361363000,727032000,841483000,1028649000,1057003000,1643634000,1368618000,1243868000
34,Net Receivables,- -,- -,44700000,65900000,86600000,102986000,81879000,118479000,126023000,253861000,241708000,408376000,714123000,589253000,563616000,659500000,739513000,643256000,720600000,902825000,613605000,729784000,868837000,1043756000,844336000,971918000,1916434000
35,Inventory,- -,- -,60200000,126700000,106700000,106745000,118368000,153204000,184496000,381488000,398684000,569317000,904398000,1023235000,852831000,1114063000,1199584000,1202507000,1314747000,1618419000,1149390000,1275211000,1519347000,1859168000,1689043000,1843548000,3531130000
36,Other Current Assets,- -,- -,21800000,24900000,15900000,22698000,33716000,15002000,31986000,25836000,19823000,29131000,49222000,81194000,31348000,39927000,40570000,43025000,43131000,91158000,47914000,83197000,91509000,72730000,76012000,74363000,209591000
37,Total Current Assets,- -,- -,135300000,222700000,225800000,242613000,312204000,310903000,407935000,677519000,725733000,1036197000,1696229000,1709915000,1456803000,2000003000,2455258000,2296225000,2473634000,2973765000,2537941000,2929675000,3508342000,4032657000,4253025000,4258447000,6901023000
38,PP&E,- -,- -,491900000,655900000,742800000,807322000,852061000,929338000,1001116000,1024044000,999969000,1136703000,1652097000,2072857000,2254050000,2213333000,2193745000,2231198000,2226134000,3123906000,2951210000,2787215000,2675904000,2945767000,3135886000,4105569000,4751430000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30966000,510983000,770438000,758259000,751675000,745066000,738542000,731996000,745158000,397470000,393351000,386893000,429645000,452915000,457226000,453835000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12226000,514547000,614786000,533510000,489240000,450893000,416635000,386159000,370669000,278960000,283977000,256909000,270328000,327901000,324577000,295345000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43192000,1025530000,1385224000,1291769000,1240915000,1195959000,1155177000,1118155000,1115827000,676430000,677328000,643802000,699973000,780816000,781803000,749180000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,13700000,28900000,23000000,17139000,15833000,35455000,39388000,32056000,31985000,30925000,145597000,85581000,127250000,135683000,134264000,132816000,115083000,97529000,36501000,29514000,27684000,25166000,106038000,119743000,129601000
45,Total Non-Current Assets,- -,- -,505600000,684800000,765800000,824461000,867894000,964793000,1040504000,1056100000,1031954000,1210820000,2823224000,3543662000,3673069000,3589931000,3523968000,3519191000,3459372000,4337262000,3664141000,3494057000,3347390000,3670906000,4022740000,5007115000,5630211000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,640900000,907500000,991600000,1067074000,1180098000,1275696000,1448439000,1733619000,1757687000,2247017000,4519453000,5253577000,5129872000,5589934000,5979226000,5815416000,5933006000,7311027000,6202082000,6423732000,6855732000,7703563000,8275765000,9265562000,12531234000
48,Accounts Payable,- -,- -,54700000,34500000,37600000,27988000,30228000,46217000,79326000,141888000,115542000,147942000,378849000,263393000,262285000,335031000,414240000,360097000,414932000,511056000,283355000,395196000,489448000,550754000,513344000,769455000,1280555000
49,Short-Term Debt,- -,- -,6100000,6900000,8000000,17044000,46033000,11913000,15988000,6774000,2156000,80686000,295162000,431223000,168182000,8924000,444078000,29631000,341544000,46460000,16680000,3632000,28795000,24234000,89356000,86894000,97174000
