,https://roic.ai/company/CTS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
41,Intangible Assets,17700000,10600000,10300000,9300000,8600000,8100000,7500000,6700000,5800000,5200000,4600000,4000000,- -,- -,53300000,-10571000,63589000,39923000,37456000,35145000,67004000,63811000,61400000,70077000,34438000,31932000,30386000,83251000,72829000,68639000,68623000,126114000,138000000,131237000,191271000,188618000,179686000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23221000,22011000,37401000,30237000,82093000,68331000,59956000,76200000,73158000,38620000,43120000,58544000,45839000,20694000,22201000,19795000,24250000,25415000
44,Other Non-Current Assets,3600000,8900000,10900000,14800000,18600000,20000000,23600000,28200000,34200000,40100000,45700000,51100000,67900000,107400000,75400000,152943000,111710000,149143000,157547000,147170000,154571000,102533000,108390000,19687000,30033000,45828000,5983000,1484000,57678000,33352000,35115000,47926000,59146000,56143000,65128000,59232000,51802000
45,Total Non-Current Assets,90200000,95100000,95000000,81700000,81800000,81300000,84900000,83400000,87800000,96100000,101000000,111200000,143900000,174600000,268400000,367233000,367257000,337698000,317484000,318031000,353262000,300213000,292852000,262613000,213922000,215929000,197429000,251618000,243996000,216525000,232154000,301990000,306087000,308982000,405876000,392818000,375373000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,213300000,207900000,205400000,188000000,176600000,172500000,176400000,170800000,185100000,206800000,227100000,249400000,329600000,293200000,522700000,672929000,567931000,490032000,482250000,522177000,533936000,527833000,543692000,488455000,407657000,482584000,480815000,561176000,480265000,456926000,484133000,517697000,539696000,548341000,643354000,626049000,664462000
48,Accounts Payable,- -,- -,- -,- -,11200000,11100000,10300000,11400000,11600000,12800000,15600000,17100000,28200000,17400000,68300000,100394000,50842000,44490000,52252000,55614000,67196000,78205000,84217000,71285000,52344000,75384000,80468000,67970000,47052000,43343000,40299000,40046000,49201000,51975000,48219000,50489000,55537000
49,Short-Term Debt,14500000,13100000,6600000,5400000,3300000,8900000,9400000,6600000,13200000,7700000,8900000,2400000,5500000,14000000,5000000,17397000,27500000,28350000,- -,3311000,13463000,5611000,1000000,- -,- -,- -,- -,- -,- -,- -,- -,1006000,- -,- -,2787000,3294000,3393000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6592000,2843000,3907000,2975000,2493000,2666000,5893000,10683000,11743000,6472000,8890000,9477000,9798000,9131000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1981000,2877000,- -,- -
52,Other Current Liabilities,33500000,39800000,37400000,41900000,23400000,19100000,19900000,19300000,25100000,24300000,26500000,31900000,58700000,51000000,81200000,85100000,75515000,61716000,43437000,44036000,39274000,41865000,43702000,41956000,38172000,44716000,43769000,47056000,48068000,36639000,61052000,57077000,53211000,50037000,43065000,51149000,55136000
53,Total Current Liabilities,48000000,52900000,44000000,47300000,37900000,39100000,39600000,37300000,49900000,44800000,51000000,51400000,92400000,82400000,154500000,202891000,153857000,134556000,95689000,102961000,119933000,125681000,128919000,113241000,90516000,120100000,124237000,115026000,95120000,79982000,101351000,98129000,102412000,103993000,96948000,104932000,114066000
54,Long-Term Debt,26800000,36700000,33800000,22200000,12000000,8900000,11300000,10800000,10600000,15600000,13700000,11200000,63500000,55600000,171800000,184689000,127849000,67000000,75880000,94150000,68293000,60635000,72000000,80500000,50400000,70000000,74400000,153500000,75000000,75000000,90700000,89100000,76300000,50000000,99700000,77763000,71354000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,2300000,1500000,2100000,2400000,1800000,2300000,3000000,3300000,5300000,9200000,11900000,16100000,22000000,27100000,27300000,34612000,38914000,11955000,5357000,2843000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3802000,3990000,5637000,7010000,5894000
57,Other Non-Current Liabilities,100000,-100000,- -,200000,- -,-100000,- -,- -,100000,5300000,4200000,4500000,4200000,4300000,4300000,4380000,4438000,11501000,11133000,11519000,16139000,22494000,18526000,17536000,19287000,18234000,18881000,24892000,13416000,12155000,10428000,12586000,13377000,12429000,35850000,12662000,9570000
58,Total Non-Current Liabilities,29200000,38100000,35900000,24800000,13800000,11100000,14300000,14100000,16000000,30100000,29800000,31800000,89700000,87000000,203400000,223681000,171201000,90456000,92370000,108512000,84432000,83129000,90526000,98036000,69687000,88234000,93281000,178392000,88416000,87155000,101128000,101686000,93479000,66419000,141187000,97435000,86818000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17536000,19287000,18234000,18881000,- -,- -,- -,- -,- -,- -,- -,27713000,26457000,24747000
61,Total Liabilities,77200000,91000000,79900000,72100000,51700000,50200000,53900000,51400000,65900000,74900000,80800000,83200000,182100000,169400000,357900000,426572000,325058000,225012000,188059000,211473000,204365000,208810000,219445000,211277000,160203000,208334000,217518000,293418000,183536000,167137000,202479000,199815000,195891000,170412000,238135000,202367000,200884000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,193600000,198877000,213947000,241393000,262748000,263297000,275211000,- -,- -,- -,- -,- -,- -,291512000,297164000,299892000,300909000,302832000,304777000,306697000,307932000,311190000,314620000
64,Retained Earnings,105900000,86500000,94500000,87800000,98600000,102100000,102500000,101000000,100900000,112500000,126500000,144100000,163200000,197300000,245400000,325850000,276988000,255085000,263430000,279064000,296956000,315370000,336548000,362391000,317582000,335524000,352205000,367800000,358997000,380145000,381840000,410979000,420160000,478847000,509766000,539281000,492242000
65,Other Comprehensive Income/Loss,-88900000,-93500000,-102800000,-123500000,-132400000,-135200000,-141100000,-138100000,-134600000,-139600000,-131400000,-133300000,-130900000,-136700000,-162200000,-189219000,-207212000,-835000,151000,1348000,-244000,-31283000,-29808000,-98626000,-93285000,-87555000,-115146000,-120604000,-81897000,-104233000,-99005000,-93194000,-78960000,-97739000,-91726000,-95921000,-4525000
66,Other Total Stockholders Equity,119100000,123900000,133800000,151600000,158700000,155400000,161100000,156500000,152900000,159000000,151200000,155400000,115200000,63200000,- -,- -,- -,-230623000,-232138000,-233005000,-242352000,34653000,17699000,13787000,22872000,26726000,26092000,-270950000,-277535000,-286015000,-302090000,-302735000,-302172000,-309876000,-320753000,-330868000,- -
67,Total Stockholders Equity,136100000,116900000,125500000,115900000,124900000,122300000,122500000,119400000,119200000,131900000,146300000,166200000,147500000,123800000,164800000,246357000,242873000,265020000,294191000,310704000,329571000,319023000,324247000,277178000,247454000,274250000,263297000,267758000,296729000,289789000,281654000,317882000,343805000,377929000,405219000,423682000,463578000
68,Total Liabilities And Stockholders Equity,213300000,207900000,205400000,188000000,176600000,172500000,176400000,170800000,185100000,206800000,227100000,249400000,329600000,293200000,522700000,672929000,567931000,490032000,482250000,522177000,533936000,527833000,543692000,488455000,407657000,482584000,480815000,561176000,480265000,456926000,484133000,517697000,539696000,548341000,643354000,626049000,664462000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,213300000,207900000,205400000,188000000,176600000,172500000,176400000,170800000,185100000,206800000,227100000,249400000,329600000,293200000,522700000,672929000,567931000,490032000,482250000,522177000,533936000,527833000,543692000,488455000,407657000,482584000,480815000,561176000,480265000,456926000,484133000,517697000,539696000,548341000,643354000,626049000,664462000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/26058/0000026058-97-000002-index.html,- -,https://www.sec.gov/Archives/edgar/data/26058/000002605895000002/0000026058-95-000002-index.html,https://www.sec.gov/Archives/edgar/data/26058/000002605896000001/0000026058-96-000001-index.html,https://www.sec.gov/Archives/edgar/data/26058/000002605897000001/0000026058-97-000001-index.html,https://www.sec.gov/Archives/edgar/data/26058/000002605898000003/0000026058-98-000003-index.html,https://www.sec.gov/Archives/edgar/data/26058/000002605899000002/0000026058-99-000002-index.html,- -,https://www.sec.gov/Archives/edgar/data/26058/000002605801000005/0000026058-01-000005-index.html,https://www.sec.gov/Archives/edgar/data/26058/000002605802000009/0000026058-02-000009-index.html,- -,https://www.sec.gov/Archives/edgar/data/26058/000002605804000016/form10k2003.htm,https://www.sec.gov/Archives/edgar/data/26058/000002605805000006/form10k2004.htm,https://www.sec.gov/Archives/edgar/data/26058/000002605806000015/form10-k.htm,https://www.sec.gov/Archives/edgar/data/26058/000095013707007592/c13882e10vk.htm,https://www.sec.gov/Archives/edgar/data/26058/000002605808000011/form10-k.htm,https://www.sec.gov/Archives/edgar/data/26058/000002605809000010/0000026058-09-000010-index.html,https://www.sec.gov/Archives/edgar/data/26058/000002605810000009/0000026058-10-000009-index.html,https://www.sec.gov/Archives/edgar/data/26058/000002605811000011/form10-k.htm,https://www.sec.gov/Archives/edgar/data/26058/000119312512076105/0001193125-12-076105-index.html,https://www.sec.gov/Archives/edgar/data/26058/000119312513073546/0001193125-13-073546-index.html,https://www.sec.gov/Archives/edgar/data/26058/000119312514080179/d645097d10k.htm,https://www.sec.gov/Archives/edgar/data/26058/000104746915001116/a2223190z10-k.htm,https://www.sec.gov/Archives/edgar/data/26058/000002605816000044/0000026058-16-000044-index.html,https://www.sec.gov/Archives/edgar/data/26058/000002605817000026/0000026058-17-000026-index.html,https://www.sec.gov/Archives/edgar/data/26058/000002605818000020/0000026058-18-000020-index.html,https://www.sec.gov/Archives/edgar/data/26058/000002605819000020/0000026058-19-000020-index.html,https://www.sec.gov/Archives/edgar/data/26058/000002605820000016/0000026058-20-000016-index.html,https://www.sec.gov/Archives/edgar/data/26058/000156459021008853/0001564590-21-008853-index.htm,https://www.sec.gov/Archives/edgar/data/26058/000156459022007183/0001564590-22-007183-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,14300000,7300000,4200000,1900000,2000000,14000000,17200000,21200000,22800000,37500000,51500000,83802000,-45375000,-17850000,12575000,19956000,22234000,24197000,25412000,29886000,-34050000,22038000,20967000,20333000,-3929000,26522000,6954000,34380000,14448000,46532000,36146000,34686000,-41866000
74,Depreciation and Amortization,- -,- -,- -,- -,13400000,13100000,13100000,11700000,12100000,11200000,11700000,12500000,17000000,19200000,33900000,44325000,51674000,43373000,33605000,26082000,27059000,24896000,26762000,24178000,19531000,17565000,17548000,19615000,21169000,16971000,16254000,18992000,20674000,22514000,24619000,26670000,26930000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,700000,300000,800000,2500000,3200000,3200000,-1500000,6200000,-5300000,3077000,-26201000,-10802000,313000,153000,9139000,1885000,1572000,-4687000,5987000,2577000,1166000,-201000,12568000,4900000,-8920000,10297000,16710000,-1008000,2413000,-2048000,-30982000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3375000,3555000,4035000,3746000,4099000,4219000,2660000,3195000,2738000,4184000,5256000,5015000,3417000,6105000
