,https://roic.ai/company/CLF,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12600000,13900000,- -,- -,109600000,189400000,372300000,1299100000,296400000,95400000,62700000,58200000,53800000,52300000,- -,- -,1406000000,1116000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45000000,36000000,321000000,330700000,495200000,646600000,526600000,135800000,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44200000,53800000,107000000,42100000,251200000,151100000,140300000,209500000,91800000,- -,156400000,2600000,- -,- -,464800000,459500000,537000000,- -
44,Other Non-Current Assets,178600000,213000000,320700000,203200000,200900000,204700000,230700000,252300000,260100000,237000000,231900000,245200000,294500000,313600000,308700000,207100000,202000000,150700000,311400000,86600000,195200000,129500000,134200000,101800000,49800000,56100000,191200000,193600000,313100000,81100000,33000000,61100000,305500000,299200000,217400000,787000000,1020000000
45,Total Non-Current Assets,376000000,356500000,336800000,236200000,233600000,241300000,266800000,288000000,295400000,347400000,351900000,372900000,428500000,463600000,462600000,479800000,462300000,429600000,581900000,427300000,1110700000,1157400000,2321200000,3249400000,3478100000,5194500000,12751000000,11924900000,11561900000,1715100000,1152800000,1099300000,1408800000,2050000000,2605900000,11473000000,11322000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,560100000,585200000,656700000,389800000,411200000,507500000,472500000,537200000,545400000,616500000,644600000,673700000,694300000,723500000,679700000,727800000,825000000,730100000,895200000,1161100000,1746700000,1939700000,3075800000,4111100000,4639300000,7778200000,14541700000,13574900000,13121900000,3164000000,2135500000,1923900000,2953400000,3529600000,3503800000,16771000000,18975000000
48,Accounts Payable,- -,- -,- -,- -,19900000,29200000,11900000,16200000,16400000,15100000,16000000,11900000,13400000,14800000,29100000,35100000,30100000,54800000,64700000,73300000,122900000,139000000,149900000,201000000,178900000,266500000,380300000,555500000,345500000,272100000,106300000,107600000,127700000,186800000,193200000,1575000000,2073000000
49,Short-Term Debt,18900000,16500000,29500000,25800000,18500000,11800000,11800000,100000,- -,20600000,17300000,- -,- -,- -,- -,- -,100000000,20000000,25000000,- -,- -,- -,- -,104900000,- -,- -,74800000,94100000,20900000,96300000,- -,17500000,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,144800000,41200000,142300000,324500000,28300000,123400000,53500000,35200000,28300000,30200000,35500000,37900000,147000000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62600000,28400000,86800000,105100000,215600000,126600000,35900000,12800000,12800000,12800000,16400000,12800000,12800000,- -,- -,- -
52,Other Current Liabilities,49000000,82400000,54200000,53600000,40500000,53300000,42300000,44000000,47600000,63900000,70200000,93600000,78400000,74400000,44600000,67100000,59700000,130000000,136200000,183800000,239800000,173300000,221300000,452200000,286400000,546600000,911600000,696000000,706300000,577400000,462600000,249600000,311700000,268600000,216200000,1354000000,1488000000
53,Total Current Liabilities,67900000,98900000,83700000,79400000,78900000,94300000,66000000,60300000,64000000,99600000,103500000,105500000,91800000,89200000,73700000,102200000,189800000,204800000,225900000,257100000,362700000,374900000,399600000,844900000,570400000,1028700000,1493300000,1381500000,1085500000,958600000,581700000,391100000,452200000,468200000,409400000,2929000000,3561000000
54,Long-Term Debt,36900000,79900000,122400000,93800000,52800000,41200000,29400000,75000000,75000000,70000000,70000000,70000000,70000000,70000000,70000000,70000000,70000000,35000000,- -,- -,- -,- -,440000000,525000000,649300000,1898000000,3608700000,3960700000,3022600000,2962300000,2699400000,2175100000,2304200000,2092900000,2113800000,5390000000,5238000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,102800000,90000000,77100000,64200000,51400000,38500000,- -,- -,- -
56,Deferred Tax Liabilities,57300000,41300000,20800000,22500000,33800000,33600000,37400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,165100000,- -,34500000,- -,116700000,117900000,189000000,67300000,70800000,63700000,1062400000,1108100000,1146500000,51300000,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,78000000,89600000,84400000,25500000,19700000,47600000,48900000,132300000,125700000,135500000,128500000,127600000,125100000,126700000,128700000,129700000,- -,391100000,386500000,450000000,544000000,615300000,765700000,920100000,811800000,949100000,1337600000,1363700000,880200000,836100000,588900000,624000000,589700000,505800000,622700000,6111000000,4402000000
58,Total Non-Current Liabilities,172200000,210800000,227600000,141800000,106300000,122400000,115700000,207300000,200700000,205500000,198500000,197600000,195100000,196700000,198700000,199700000,235100000,426100000,421000000,450000000,660700000,733200000,1394700000,1512400000,1531900000,2910800000,6008700000,6432500000,5152100000,3939700000,3365400000,2863300000,2945300000,2637200000,2736500000,11501000000,9640000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,74500000,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,240100000,309700000,311300000,221200000,185200000,216700000,181700000,267600000,264700000,305100000,302000000,303100000,286900000,285900000,272400000,301900000,424900000,630900000,646900000,707100000,1023400000,1108100000,1794300000,2357300000,2102300000,3939500000,7502000000,7814000000,6237600000,4898300000,3947100000,3254400000,3397500000,3105400000,3145900000,14430000000,13201000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,695400000,- -,- -,- -,731300000,731300000,731300000,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16800000,16800000,16800000,16800000,16800000,16800000,16800000,16800000,16800000,16800000,16800000,17300000,18500000,18500000,19800000,19800000,19800000,29800000,37700000,37700000,37700000,63000000,- -
64,Retained Earnings,319400000,262200000,269900000,214600000,270800000,335300000,330000000,308000000,315800000,343800000,386100000,432000000,472100000,513200000,501300000,503700000,476700000,288400000,255700000,565300000,824200000,1078500000,1316200000,1799900000,1973100000,2924100000,4424300000,3217700000,3407300000,-3960700000,-4748400000,-4574300000,-4207300000,-3060200000,-2842400000,-2989000000,- -
65,Other Comprehensive Income/Loss,-162700000,-164300000,-42700000,-67200000,-64200000,-146700000,-139300000,-141200000,-137300000,-138300000,-140000000,-141600000,-138300000,-60900000,-70100000,-84200000,-97700000,-113400000,54900000,-75000000,-119000000,-169900000,-30300000,-394600000,-122600000,45900000,-92600000,-55600000,-112900000,-245800000,-18000000,-21300000,-39000000,-283900000,-318800000,-133000000,618000000
66,Other Total Stockholders Equity,163300000,177600000,118200000,21200000,19400000,102200000,100100000,102800000,102200000,105900000,96500000,80200000,73600000,- -,- -,- -,4300000,-112500000,-99300000,-83100000,-70400000,-179600000,-139000000,328400000,-19900000,858600000,1434800000,1452100000,2024000000,2024100000,2033900000,3101500000,3764300000,3730600000,3481400000,5077000000,5156000000
67,Total Stockholders Equity,320000000,275500000,345400000,168600000,226000000,290800000,290800000,269600000,280700000,311400000,342600000,370600000,407400000,437600000,407300000,425900000,400100000,79300000,228100000,424000000,651600000,745800000,1163700000,1750500000,2542800000,3845900000,5785000000,4632700000,6069500000,-1431300000,-1981400000,-1464300000,-444300000,424200000,357900000,2018000000,5774000000
68,Total Liabilities And Stockholders Equity,560100000,585200000,656700000,389800000,411200000,507500000,472500000,537200000,545400000,616500000,644600000,673700000,694300000,723500000,679700000,727800000,825000000,710200000,875000000,1131100000,1675000000,1853900000,2958000000,4107800000,4645100000,7785400000,13287000000,12446700000,12307100000,3467000000,1965700000,1790100000,2953200000,3529600000,3503800000,16448000000,18975000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19900000,20200000,30000000,71700000,85800000,117800000,3300000,-5800000,-7200000,1254700000,1128200000,814800000,-303000000,169800000,133800000,200000,- -,- -,323000000,- -
70,Total Liabilities & Equity,560100000,585200000,656700000,389800000,411200000,507500000,472500000,537200000,545400000,616500000,644600000,673700000,694300000,723500000,679700000,727800000,825000000,730100000,895200000,1161100000,1746700000,1939700000,3075800000,4111100000,4639300000,7778200000,14541700000,13574900000,13121900000,3164000000,2135500000,1923900000,2953400000,3529600000,3503800000,16771000000,18975000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/764065/0000950152-95-000442-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/764065/000095015203001089/0000950152-03-001089-index.htm,https://www.sec.gov/Archives/edgar/data/764065/000095015204001088/0000950152-04-001088-index.htm,https://www.sec.gov/Archives/edgar/data/764065/000095015205001410/0000950152-05-001410-index.htm,https://www.sec.gov/Archives/edgar/data/764065/000095015206001335/0000950152-06-001335-index.htm,https://www.sec.gov/Archives/edgar/data/764065/000119312507123585/0001193125-07-123585-index.htm,https://www.sec.gov/Archives/edgar/data/764065/000119312508043301/0001193125-08-043301-index.htm,https://www.sec.gov/Archives/edgar/data/764065/000119312509039184/0001193125-09-039184-index.htm,https://www.sec.gov/Archives/edgar/data/764065/000119312510034034/0001193125-10-034034-index.htm,https://www.sec.gov/Archives/edgar/data/764065/000119312511038883/0001193125-11-038883-index.htm,https://www.sec.gov/Archives/edgar/data/764065/000119312512065138/0001193125-12-065138-index.htm,https://www.sec.gov/Archives/edgar/data/764065/000076406513000003/0000764065-13-000003-index.htm,https://www.sec.gov/Archives/edgar/data/764065/000076406514000018/0000764065-14-000018-index.htm,https://www.sec.gov/Archives/edgar/data/764065/000076406515000044/0000764065-15-000044-index.htm,https://www.sec.gov/Archives/edgar/data/764065/000076406516000183/0000764065-16-000183-index.htm,https://www.sec.gov/Archives/edgar/data/764065/000076406517000021/0000764065-17-000021-index.htm,https://www.sec.gov/Archives/edgar/data/764065/000076406518000035/0000764065-18-000035-index.htm,https://www.sec.gov/Archives/edgar/data/764065/000076406519000025/0000764065-19-000025-index.htm,https://www.sec.gov/Archives/edgar/data/764065/000076406520000041/0000764065-20-000041-index.htm,https://www.sec.gov/Archives/edgar/data/764065/000076406521000084/0000764065-21-000084-index.htm,https://www.sec.gov/Archives/edgar/data/764065/000076406522000037/0000764065-22-000037-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,60600000,73800000,53800000,-7900000,54600000,42800000,57800000,61000000,54900000,57400000,4800000,18100000,-22900000,-188300000,-32700000,323600000,277600000,280100000,270000000,515800000,205100000,1019900000,1619100000,-899400000,413500000,-7224200000,-749300000,174100000,367000000,1128100000,292800000,-122000000,3033000000
74,Depreciation and Amortization,- -,- -,- -,- -,15000000,14600000,16000000,14100000,13500000,14400000,16800000,17600000,18900000,20300000,22500000,25600000,26200000,33900000,29000000,29300000,52800000,83300000,107200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,308000000,- -
75,Deferred Income Tax,- -,- -,- -,- -,8000000,27300000,-21500000,-27400000,2200000,-1800000,5500000,10900000,16400000,3100000,-200000,9600000,-12800000,13900000,500000,-86700000,-4400000,-4800000,-33100000,-88500000,60800000,15200000,-66600000,127000000,-138100000,-1153900000,159800000,- -,- -,-460500000,16800000,-101000000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21400000,10100000,12500000,13900000,16500000,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,-1700000,73200000,-32200000,49200000,-2900000,-16500000,19700000,6100000,-21300000,-3300000,-27300000,2400000,27100000,-77200000,-8300000,389300000,-203400000,134100000,-52400000,-338200000,574000000,964200000,-1257600000,-28900000,206000000,15800000,-89300000,32500000,658900000,-81000000,-522900000,1880500000,1723000000
