,https://roic.ai/company/MESA,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36081000,- -,- -,- -,- -,- -,- -,-16963000,32618000,46110000,56867000,55717000,44120000,34730000
14,Depreciation and Amortization,21025000,33114000,12578000,17524000,15630000,10471000,5974000,5383000,21758000,38029000,36537000,27205000,37658000,- -,- -,- -,- -,- -,- -,- -,46020000,61048000,65031000,77994000,82296000,82847000
15,EBITDA,70544000,-46061000,-48618000,4709000,61746000,-60904000,-6967000,50704000,66939000,130195000,93243000,-91740000,48902000,- -,- -,- -,- -,- -,- -,46284000,103484000,160860000,137727000,196997000,163411000,139993000
16,EBITDA ratio,0.1410,-0.0901,-0.1148,0.0116,0.1309,-0.1164,-0.0140,0.0845,0.0746,0.1146,0.0697,-0.0707,0.0369,- -,- -,- -,- -,- -,- -,0.0915,0.1760,0.2499,0.2021,0.2723,0.2998,0.2780
17,Operating Income,47994000,-54486000,-44788000,2129000,41814000,-70642000,-6222000,52811000,67358000,129262000,100802000,-73772000,10005000,- -,- -,- -,- -,- -,- -,79235000,56758000,100294000,72648000,121137000,80167000,63196000
18,Operating Income ratio,0.0959,-0.1066,-0.1057,0.0053,0.0887,-0.1350,-0.0125,0.0880,0.0751,0.1138,0.0754,-0.0568,0.0075,- -,- -,- -,- -,- -,- -,0.1566,0.0966,0.1558,0.1066,0.1675,0.1471,0.1255
19,Total Other Income Expenses (Gains),1525000,-24689000,-16408000,-14944000,-13783000,-733000,-7302000,-7485000,-22177000,-37096000,-44096000,-35150000,-11417000,- -,- -,- -,- -,- -,- -,-15988000,-31912000,-46592000,-56819000,-57851000,-43172000,-40780000
20,Income Before Tax,49519000,-79175000,-61196000,-12815000,28031000,-71375000,-13524000,45326000,45181000,92166000,56706000,-108922000,-1412000,- -,- -,- -,- -,- -,- -,63247000,24846000,53702000,15829000,63286000,36995000,22416000
21,Income Before Tax Ratio,0.0990,-0.1549,-0.1445,-0.0317,0.0594,-0.1364,-0.0272,0.0755,0.0504,0.0811,0.0424,-0.0839,-0.0011,- -,- -,- -,- -,- -,- -,0.1250,0.0423,0.0834,0.0232,0.0875,0.0679,0.0445
22,Income Tax expense (Gain),19112000,-30578000,-7762000,597000,-12756000,-23299000,-3632000,17360000,18899000,35299000,22739000,-37384000,4323000,- -,- -,- -,- -,- -,- -,24248000,9926000,20874000,-17426000,15706000,9531000,5828000
23,Net Income,30407000,-48597000,-53434000,-13412000,58872000,-48076000,-9309000,27961000,26282000,56867000,33967000,-81561000,-29160000,- -,- -,- -,- -,- -,- -,38999000,14920000,32828000,33255000,47580000,27464000,16588000
24,Net Income ratio,0.0608,-0.0951,-0.1262,-0.0331,0.1248,-0.0919,-0.0187,0.0466,0.0293,0.0500,0.0254,-0.0628,-0.0220,- -,- -,- -,- -,- -,- -,0.0771,0.0254,0.0510,0.0488,0.0658,0.0504,0.0329
25,EPS,1.00,-1.72,-1.89,-0.40,1.78,-1.50,-0.28,0.89,0.83,1.95,1.01,-2.63,-1.07,- -,- -,- -,- -,- -,- -,1.11,1.56,1.61,2.46,1.37,0.78,0.46
26,EPS Diluted,1.00,-1.72,-1.89,-0.40,1.77,-1.50,-0.28,0.83,0.70,1.35,0.84,-2.63,-1.07,- -,- -,- -,- -,- -,- -,1.11,0.62,1.00,1.32,1.36,0.78,0.43
27,Weighted Average Shares Outstanding,29988000,28275000,28328000,33826000,33074157,32050667,33246429,31416854,31665060,29162564,33630693,31011787,27145000,- -,- -,- -,- -,- -,- -,35201140,9558000,21514549,13516000,34764000,35237000,35713000
28,Weighted Average Shares Outstanding Diluted,30449000,28275000,28328000,35161290,33261017,32050667,33246429,33687952,37545714,29162564,40436905,31011787,27145000,- -,- -,- -,- -,- -,- -,35201140,24082000,34718137,25171000,35064000,35308000,38843000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/810332/0000950153-98-000036-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/810332/000095015302002178/0000950153-02-002178-index.htm,https://www.sec.gov/Archives/edgar/data/810332/000095015303002559/0000950153-03-002559-index.htm,https://www.sec.gov/Archives/edgar/data/810332/000095012404006216/0000950124-04-006216-index.htm,https://www.sec.gov/Archives/edgar/data/810332/000095015305003152/0000950153-05-003152-index.htm,https://www.sec.gov/Archives/edgar/data/810332/000095015306003018/0000950153-06-003018-index.htm,https://www.sec.gov/Archives/edgar/data/810332/000095015308000058/0000950153-08-000058-index.htm,https://www.sec.gov/Archives/edgar/data/810332/000113626109000013/0001136261-09-000013-index.htm,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/810332/000156459018031220/0001564590-18-031220-index.htm,https://www.sec.gov/Archives/edgar/data/810332/000156459019046104/0001564590-19-046104-index.htm,https://www.sec.gov/Archives/edgar/data/810332/000156459020057000/0001564590-20-057000-index.htm,https://www.sec.gov/Archives/edgar/data/810332/000156459021060016/0001564590-21-060016-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,54720000,57232000,35622000,52905000,26403000,74504000,45870000,152547000,220885000,143428000,35559000,72377000,50763000,- -,- -,- -,- -,- -,- -,- -,37686000,56788000,103311000,68855000,99395000,120517000
32,Short-Term Investments,5300000,8690000,- -,3306000,7681000,8793000,8517000,13558000,8264000,128162000,186764000,124016000,224000,- -,- -,- -,- -,- -,- -,- -,- -,- -,19921000,- -,- -,- -
33,Cash and Short-Term Investments,60020000,65922000,35622000,56211000,34084000,83297000,54387000,166105000,229149000,271590000,222323000,196393000,50987000,- -,- -,- -,- -,- -,- -,- -,37686000,56788000,123232000,68855000,99395000,120517000
34,Net Receivables,41105000,60851000,22807000,30859000,41719000,29449000,29072000,25493000,32210000,29660000,47382000,49366000,33163000,- -,- -,- -,- -,- -,- -,- -,9297000,8853000,14290000,23080000,13712000,3167000
35,Inventory,27000000,31400000,29800000,24700000,27716000,31449000,21238000,25044000,34790000,36288000,32771000,35893000,31067000,- -,- -,- -,- -,- -,- -,- -,12154000,15114000,15658000,21337000,22971000,24467000
36,Other Current Assets,6350000,8530000,13928000,90178000,48816000,96817000,66504000,56638000,62246000,115371000,156294000,250597000,219832000,- -,- -,- -,- -,- -,- -,- -,46030000,65084000,44737000,44569000,19513000,10235000
37,Total Current Assets,134475000,166703000,102157000,201948000,152335000,241012000,171201000,273280000,358395000,452909000,458770000,532249000,335049000,- -,- -,- -,- -,- -,- -,- -,105167000,145839000,197917000,157841000,155591000,158386000
38,PP&E,452273000,440890000,331974000,160453000,185909000,122431000,127450000,158176000,697425000,642914000,669912000,627136000,577183000,- -,- -,- -,- -,- -,- -,- -,1153350000,1192448000,1250829000,1273585000,1337565000,1251799000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,53538000,22071000,20646000,10855000,10014000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12107000,11724000,11341000,9532000,8032000,6792000
41,Intangible Assets,53538000,22071000,20646000,10855000,10014000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12107000,11724000,11341000,9532000,8032000,6792000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,2483000,- -,12510000,16364000,13697000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25149000
43,Tax Assets,- -,- -,- -,- -,4822000,23600000,29287000,1727000,5342000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,38205000,20202000,16175000,30517000,31847000,36943000,24405000,40980000,57892000,71848000,97021000,50547000,33276000,- -,- -,- -,- -,- -,- -,- -,12606000,7638000,12301000,10959000,742000,14471000
45,Total Non-Current Assets,544016000,483163000,368795000,201825000,232592000,182974000,181142000,200883000,763142000,714762000,779443000,694047000,624156000,- -,- -,- -,- -,- -,- -,- -,1178063000,1211810000,1274471000,1294076000,1346339000,1298211000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,678491000,649866000,470952000,403773000,384927000,423986000,352343000,474163000,1121537000,1167671000,1238213000,1226296000,959205000,- -,- -,- -,- -,- -,- -,- -,1283230000,1357649000,1472388000,1451917000,1501930000,1456597000
48,Accounts Payable,13811000,21884000,12243000,17480000,25741000,45193000,24434000,39315000,46821000,52608000,56097000,61007000,28898000,- -,- -,- -,- -,- -,- -,- -,52959000,44738000,54307000,49930000,53229000,61476000
49,Short-Term Debt,17127000,31786000,33945000,121297000,45673000,72927000,19036000,8519000,252819000,82381000,152735000,70179000,145851000,- -,- -,- -,- -,- -,- -,- -,109901000,140466000,155170000,165900000,189268000,144362000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8783000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9389000,6298000
52,Other Current Liabilities,32677000,44472000,52598000,30131000,21765000,38996000,53715000,48395000,45192000,81808000,54231000,208147000,97660000,- -,- -,- -,- -,- -,- -,- -,28989000,33009000,41904000,40876000,101440000,46056000
53,Total Current Liabilities,63615000,98142000,98786000,168908000,93179000,157116000,97185000,96229000,344832000,216797000,263063000,339333000,272409000,- -,- -,- -,- -,- -,- -,- -,191849000,218213000,251381000,256706000,353326000,258192000
54,Long-Term Debt,338278000,338199000,234475000,114234000,135533000,117950000,109721000,199023000,550613000,636582000,542569000,561946000,420878000,- -,- -,- -,- -,- -,- -,- -,803115000,803874000,760177000,677423000,542456000,580049000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14369000,28202000
56,Deferred Tax Liabilities,22394000,1600000,- -,- -,- -,- -,- -,- -,- -,25684000,44531000,42318000,15734000,- -,- -,- -,- -,- -,- -,- -,35921000,56436000,39797000,55303000,64275000,69940000
57,Other Non-Current Liabilities,29538000,34837000,16592000,24196000,11641000,45794000,55370000,61940000,97188000,111938000,123840000,137599000,140527000,- -,- -,- -,- -,- -,- -,- -,63194000,56902000,46566000,36617000,69645000,32167000
58,Total Non-Current Liabilities,390210000,374636000,251067000,138430000,147174000,163744000,165091000,260963000,647801000,774204000,710940000,741863000,577139000,- -,- -,- -,- -,- -,- -,- -,902230000,917212000,846540000,769343000,690745000,710358000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,106463000,73001000
61,Total Liabilities,453825000,472778000,349853000,307338000,240353000,320860000,262276000,357192000,992633000,991001000,974003000,1081196000,849548000,- -,- -,- -,- -,- -,- -,- -,1094079000,1135425000,1097921000,1026049000,1044071000,968550000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,100876000,101361000,101847000,123492000,112759000,119387000,114670000,114580000,108173000,97894000,149701000,112152000,- -,- -,- -,- -,- -,- -,- -,- -,114211000,114456000,234683000,238504000,242772000,256372000
64,Retained Earnings,121283000,72686000,19252000,-27057000,31815000,-16261000,-25570000,2391000,23675000,80542000,114509000,32948000,3788000,- -,- -,- -,- -,- -,- -,- -,74940000,107768000,139784000,187364000,215087000,231675000
65,Other Comprehensive Income/Loss,-69600000,-92100000,-83800000,-62600000,-73099000,-59744000,-44690000,-54515000,-67929000,-97606000,-118087000,-158533000,-177402000,- -,- -,- -,- -,- -,- -,- -,-148409000,-204365000,-260264000,-318458000,-393702000,- -
66,Other Total Stockholders Equity,72107000,95141000,83800000,62600000,73099000,59744000,44690000,54515000,64985000,95840000,118087000,158533000,283271000,- -,- -,- -,- -,- -,- -,- -,148409000,204365000,260264000,318458000,393702000,- -
67,Total Stockholders Equity,224666000,177088000,121099000,96435000,144574000,103126000,89100000,116971000,128904000,176670000,264210000,145100000,109657000,- -,- -,- -,- -,- -,- -,- -,189151000,222224000,374467000,425868000,457859000,488047000
68,Total Liabilities And Stockholders Equity,678491000,649866000,470952000,403773000,384927000,423986000,351376000,474163000,1121537000,1167671000,1238213000,1226296000,959205000,- -,- -,- -,- -,- -,- -,- -,1283230000,1357649000,1472388000,1451917000,1501930000,1456597000
69,Minority Interest,- -,- -,- -,- -,- -,- -,967000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,678491000,649866000,470952000,403773000,384927000,423986000,352343000,474163000,1121537000,1167671000,1238213000,1226296000,959205000,- -,- -,- -,- -,- -,- -,- -,1283230000,1357649000,1472388000,1451917000,1501930000,1456597000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/810332/0000950153-98-000036-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/810332/000095015302002178/0000950153-02-002178-index.htm,https://www.sec.gov/Archives/edgar/data/810332/000095015303002559/0000950153-03-002559-index.htm,https://www.sec.gov/Archives/edgar/data/810332/000095012404006216/0000950124-04-006216-index.htm,https://www.sec.gov/Archives/edgar/data/810332/000095015305003152/0000950153-05-003152-index.htm,https://www.sec.gov/Archives/edgar/data/810332/000095015306003018/0000950153-06-003018-index.htm,https://www.sec.gov/Archives/edgar/data/810332/000095015308000058/0000950153-08-000058-index.htm,https://www.sec.gov/Archives/edgar/data/810332/000113626109000013/0001136261-09-000013-index.htm,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/810332/000156459018031220/0001564590-18-031220-index.htm,https://www.sec.gov/Archives/edgar/data/810332/000156459019046104/0001564590-19-046104-index.htm,https://www.sec.gov/Archives/edgar/data/810332/000156459020057000/0001564590-20-057000-index.htm,https://www.sec.gov/Archives/edgar/data/810332/000156459021060016/0001564590-21-060016-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,30407000,-48597000,-53434000,-13412000,58872000,-48076000,-9309000,27961000,26282000,56867000,33967000,-81561000,-29160000,- -,- -,- -,- -,- -,- -,- -,14920000,32828000,33255000,47580000,27464000,16588000
74,Depreciation and Amortization,21025000,33114000,12578000,17524000,15630000,10471000,5974000,5383000,21758000,38029000,36537000,27205000,37658000,- -,- -,- -,- -,- -,- -,- -,46020000,61048000,65031000,77994000,82296000,82847000
75,Deferred Income Tax,10473000,-20439000,- -,- -,-13349000,-24068000,-4651000,15352000,18723000,31625000,22988000,-44221000,1161000,- -,- -,- -,- -,- -,- -,- -,9513000,20515000,-17874000,15503000,9234000,5665000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1546000,1288000,12929000,5508000,4414000,3126000
77,Change in Working Capital,-49176000,-2299000,-65190000,29669000,26116000,24740000,-9880000,103035000,-163488000,222549000,-40405000,-2791000,-130276000,- -,- -,- -,- -,- -,- -,- -,-149322000,14308000,18910000,-45401000,-98870000,97929000
78,Accounts Receivable,3700000,-19700000,28400000,-1900000,-11095000,-2584000,-5228000,3001000,-11032000,7471000,-9358000,-12429000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-2274000,-4421000,1603000,6960000,-2989000,-3634000,10953000,-5445000,-11415000,-2693000,542000,-7673000,3350000,- -,- -,- -,- -,- -,- -,- -,-1675000,-3379000,-744000,-6310000,-1529000,-1865000
80,Accounts Payable,-4400000,8100000,-9600000,-300000,3236000,21127000,-19692000,14881000,4921000,5787000,3489000,6526000,-4825000,- -,- -,- -,- -,- -,- -,- -,29673000,-17336000,2427000,12119000,3418000,7861000
81,Other Working Capital,70860000,68561000,3371000,33040000,59156000,83896000,74016000,177051000,13563000,236112000,195707000,192916000,62640000,- -,- -,- -,- -,- -,- -,- -,-86682000,-72374000,-53464000,-98865000,-197735000,-99806000
82,Other Non-Cash Items,30318000,49189000,87780000,-2018000,-54023000,81967000,15492000,-97105000,144056000,-326800000,-69663000,203039000,162290000,- -,- -,- -,- -,- -,- -,- -,181815000,-55260000,6688000,50492000,150124000,-73284000
83,Cash Provided by Operating Activities,43047000,10968000,-18266000,31763000,33246000,45034000,-2374000,54626000,47331000,22270000,-16576000,101671000,41673000,- -,- -,- -,- -,- -,- -,- -,104492000,74727000,118939000,151676000,174662000,132871000
84,CAPEX,-40563000,-9162000,-16162000,-32240000,-80490000,-67090000,-26932000,-54740000,-100566000,-89122000,-89122000,-59662000,-3477000,- -,- -,- -,- -,- -,- -,- -,-490081000,-84500000,-117989000,-125350000,-26667000,-23471000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-9160000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-6000000,-4908000,-9072000,-5349000,-4786000,-2483000,- -,-15000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19921000,-14884000,- -,-10000000
87,Sales/Maturities of Investments,40861000,1000000,11102000,3907000,- -,- -,8198000,- -,- -,- -,11847000,- -,5938000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34961000,- -,- -
88,Other Investing Activites,1998000,11112000,16020000,40356000,-1330000,-1518000,-1441000,-5223000,-4289000,-11203000,7525000,18389000,1079000,- -,- -,- -,- -,- -,- -,- -,-491127000,-84122000,-118906000,-124919000,-26667000,-23471000
89,Cash Used for Investing Activites,22559000,7512000,19022000,22163000,-46483000,-44135000,-12058000,-37379000,-66215000,-55764000,-40189000,-11442000,7017000,- -,- -,- -,- -,- -,- -,- -,-491127000,-84122000,-138827000,-104842000,-26667000,-33471000
90,Debt Repayment,-12141000,-17114000,-50272000,-37997000,-8062000,-28802000,-9371000,-15733000,-16859000,-28911000,- -,-44617000,-73214000,- -,- -,- -,- -,- -,- -,- -,-75496000,-152995000,-222153000,-244087000,-138289000,-271033000
91,Common Stock Issued,1510000,123000,442000,1308000,51000,9951000,930000,2224000,843000,813000,6364000,573000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,124246000,- -,- -,- -
92,Common Stock Repurchased,-53930000,- -,- -,- -,-10784000,-6770000,-5956000,-2314000,-11764000,-12065000,-25007000,-40664000,-7092000,- -,- -,- -,- -,- -,- -,- -,-1411000,-1043000,-4993000,-1871000,-586000,-1486000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,1023000,27464000,- -,5530000,72823000,195000,105253000,115002000,43975000,-32461000,31278000,10002000,- -,- -,- -,- -,- -,- -,- -,442755000,182535000,169311000,164491000,21220000,194145000
95,Cash Used/Provided by Financing Activities,-64561000,-15968000,-22366000,-36689000,-13265000,47202000,-14202000,89430000,87222000,3812000,-51104000,-53430000,-70304000,- -,- -,- -,- -,- -,- -,- -,365848000,28497000,66411000,-81467000,-117655000,-78374000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,1045000,2512000,-21610000,17237000,-26502000,48101000,-28634000,106677000,68338000,-29682000,-107869000,36799000,-21614000,- -,- -,- -,- -,- -,- -,- -,-20787000,19102000,46523000,-34633000,30340000,21026000
98,Cash at the End of Period,54720000,57232000,35622000,52905000,26403000,74504000,45870000,152547000,220885000,143428000,35559000,72377000,50763000,- -,- -,- -,- -,- -,- -,- -,37686000,56788000,103311000,72501000,102841000,123867000
99,Cash at the Beginning of Period,53675000,54720000,57232000,35668000,52905000,26403000,74504000,45870000,152547000,173110000,143428000,35578000,72377000,- -,- -,- -,- -,- -,- -,- -,58473000,37686000,56788000,107134000,72501000,102841000
100,Free Cash Flow,2484000,1806000,-34428000,-477000,-47244000,-22056000,-29306000,-114000,-53235000,-66852000,-105698000,42009000,38196000,- -,- -,- -,- -,- -,- -,- -,-385589000,-9773000,950000,26326000,147995000,109400000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/810332/0000950153-98-000036-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/810332/000095015302002178/0000950153-02-002178-index.htm,https://www.sec.gov/Archives/edgar/data/810332/000095015303002559/0000950153-03-002559-index.htm,https://www.sec.gov/Archives/edgar/data/810332/000095012404006216/0000950124-04-006216-index.htm,https://www.sec.gov/Archives/edgar/data/810332/000095015305003152/0000950153-05-003152-index.htm,https://www.sec.gov/Archives/edgar/data/810332/000095015306003018/0000950153-06-003018-index.htm,https://www.sec.gov/Archives/edgar/data/810332/000095015308000058/0000950153-08-000058-index.htm,https://www.sec.gov/Archives/edgar/data/810332/000113626109000013/0001136261-09-000013-index.htm,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/810332/000156459018031220/0001564590-18-031220-index.htm,https://www.sec.gov/Archives/edgar/data/810332/000156459019046104/0001564590-19-046104-index.htm,https://www.sec.gov/Archives/edgar/data/810332/000156459020057000/0001564590-20-057000-index.htm,https://www.sec.gov/Archives/edgar/data/810332/000156459021060016/0001564590-21-060016-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
