,https://roic.ai/company/CVLT,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
38,PP&E,- -,- -,- -,2085000,3322000,4624000,5868000,6282000,6356000,6400000,8184000,21112000,88901000,140208000,135904000,132319000,128612000,122716000,129528000,133557000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,112435000,112435000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46350000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,158785000,112435000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4579000,3621000,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,42543000,39506000,33463000,24485000,21736000,23861000,21166000,28737000,24903000,49976000,61018000,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,342000,1092000,554000,754000,1091000,1259000,1633000,5293000,7078000,7215000,6804000,6737000,7273000,43242000,44735000,43077000,50581000
45,Total Non-Current Assets,- -,- -,- -,2427000,4414000,47721000,46128000,40836000,32100000,29769000,37338000,49356000,124853000,171915000,197196000,204231000,171854000,167451000,331390000,296573000
46,Other Assets,37802000,26489000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,37802000,26489000,- -,47513000,72568000,148039000,200830000,206987000,286015000,342499000,432688000,604854000,755384000,713466000,714573000,802967000,818642000,822453000,845076000,904173000
48,Accounts Payable,- -,- -,- -,1755000,1565000,1500000,2218000,1798000,1891000,1658000,1847000,3860000,1218000,860000,309000,117000,761000,2186000,307000,374000
49,Short-Term Debt,- -,- -,- -,166000,- -,7500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7699000,7469000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,19273000,29765000,36214000,52348000,61356000,83112000,98217000,125314000,152967000,166143000,184312000,194977000,206777000,241113000,238439000,233497000,253211000
52,Other Current Liabilities,- -,- -,- -,10451000,12685000,20215000,22623000,18407000,25727000,33475000,45888000,55577000,76166000,72757000,69678000,78701000,82299000,85721000,87051000,112148000
53,Total Current Liabilities,- -,- -,- -,31645000,44015000,65429000,77189000,81561000,110730000,133350000,173049000,212404000,243527000,257929000,264964000,285595000,324173000,326346000,328554000,373202000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15419000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,7760000,9140000,14695000,22059000,31303000,43432000,45423000,49889000,70803000,84661000,99257000,92723000,119231000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2430000,2594000,849000,761000
57,Other Non-Current Liabilities,- -,- -,- -,96878000,102217000,4288000,14106000,6377000,7845000,6324000,7596000,7130000,5847000,3104000,3452000,3934000,3314000,2953000,11046000,1526000
58,Total Non-Current Liabilities,- -,- -,- -,96878000,102217000,4288000,14106000,14137000,16985000,21019000,29655000,38433000,49279000,48527000,53341000,74737000,90405000,104804000,104618000,136937000
59,Other Liabilities,91356000,102050000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16507000,22888000
61,Total Liabilities,91356000,102050000,- -,128523000,146232000,69717000,91295000,95698000,127715000,154369000,202704000,250837000,292806000,306456000,318305000,360332000,414578000,431150000,433172000,510139000
62,Preferred Stock,- -,- -,- -,94352000,94352000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,188000,190000,420000,428000,416000,431000,440000,446000,464000,471000,451000,440000,447000,450000,454000,458000,463000
64,Retained Earnings,- -,- -,- -,-175715000,-164959000,-104333000,-94922000,-99397000,-81031000,-84239000,-91139000,-37930000,-18059000,-125502000,-197962000,-239974000,-373678000,-485490000,-553790000,-665774000
65,Other Comprehensive Income/Loss,- -,- -,- -,165000,-7753000,-62000,-357000,-192000,-112000,307000,239000,-289000,-917000,-7504000,-9209000,-12315000,-5472000,-11568000,-13423000,-10350000
66,Other Total Stockholders Equity,- -,- -,- -,- -,4506000,182297000,204386000,210462000,239012000,271622000,320438000,391772000,481083000,539565000,602999000,694477000,782764000,887907000,978659000,1069695000
67,Total Stockholders Equity,-53554000,-75561000,- -,-81010000,-73664000,78322000,109535000,111289000,158300000,188130000,229984000,354017000,462578000,407010000,396268000,442635000,404064000,391303000,411904000,394034000
68,Total Liabilities And Stockholders Equity,37802000,26489000,- -,47513000,72568000,148039000,200830000,206987000,286015000,342499000,432688000,604854000,755384000,713466000,714573000,802967000,818642000,822453000,845076000,904173000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,37802000,26489000,- -,47513000,72568000,148039000,200830000,206987000,286015000,342499000,432688000,604854000,755384000,713466000,714573000,802967000,818642000,822453000,845076000,904173000
71,SEC Link,- -,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1169561/000095012307007955/0000950123-07-007955-index.html,https://www.sec.gov/Archives/edgar/data/1169561/000095012308005795/0000950123-08-005795-index.html,https://www.sec.gov/Archives/edgar/data/1169561/000089322009001231/0000893220-09-001231-index.html,https://www.sec.gov/Archives/edgar/data/1169561/000095012310050788/0000950123-10-050788-index.html,https://www.sec.gov/Archives/edgar/data/1169561/000095012311051348/0000950123-11-051348-index.html,https://www.sec.gov/Archives/edgar/data/1169561/000119312512234191/d309933d10k.htm,https://www.sec.gov/Archives/edgar/data/1169561/000119312513219425/0001193125-13-219425-index.html,https://www.sec.gov/Archives/edgar/data/1169561/000144530514001788/0001445305-14-001788-index.html,https://www.sec.gov/Archives/edgar/data/1169561/000162828015003946/0001628280-15-003946-index.html,https://www.sec.gov/Archives/edgar/data/1169561/000116956116000029/0001169561-16-000029-index.html,https://www.sec.gov/Archives/edgar/data/1169561/000116956117000014/0001169561-17-000014-index.html,https://www.sec.gov/Archives/edgar/data/1169561/000116956118000018/0001169561-18-000018-index.html,https://www.sec.gov/Archives/edgar/data/1169561/000116956119000022/0001169561-19-000022-index.html,https://www.sec.gov/Archives/edgar/data/1169561/000116956120000018/0001169561-20-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1169561/000116956121000018/0001169561-21-000018-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,483000,10756000,64254000,20804000,12328000,18405000,21004000,31940000,53209000,64064000,25650000,136000,540000,-61900000,3561000,-5645000,-30954000
74,Depreciation and Amortization,- -,- -,- -,1431000,1682000,2893000,3155000,3691000,3630000,3906000,4484000,4939000,6207000,9046000,11179000,10232000,11785000,12060000,17065000,15878000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-52159000,-3416000,3883000,4044000,3766000,-4993000,-2094000,-6430000,4072000,-9332000,-11045000,53737000,164000,-1783000,-92000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,11299000,14912000,15623000,21426000,30098000,49124000,60663000,64196000,73928000,74129000,80487000,65888000,84833000
77,Change in Working Capital,- -,- -,- -,1905000,10698000,10750000,42624000,7077000,58595000,36195000,42921000,120793000,43910000,-103382000,-31209000,60728000,9474000,6041000,-143524000,49266000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-3890000,-11801000,-14206000,5419000,-17939000,-33482000,-6581000,3879000,-21493000,-25082000,-24092000,26096000,-34622000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,-264000,27000,-261000,204000,2036000,-2695000,-267000,-454000,-190000,618000,1485000,-2474000,49000
81,Other Working Capital,- -,- -,- -,13441000,24139000,34889000,77513000,84590000,143185000,179380000,222301000,343094000,387004000,283622000,252413000,313141000,322615000,328656000,185132000,234398000
82,Other Non-Cash Items,- -,- -,- -,21000,2714000,4856000,-28775000,4831000,-42339000,-28084000,4222000,-94262000,-37738000,127798000,49443000,-34344000,-3056000,7867000,156463000,5024000
83,Cash Provided by Operating Activities,- -,- -,- -,3840000,25850000,30594000,34392000,43109000,57247000,52410000,100000000,112683000,119137000,123847000,84413000,100039000,84169000,110180000,88464000,123955000
84,CAPEX,- -,- -,- -,-1860000,-2814000,-4195000,-4338000,-4539000,-3370000,-3865000,-5796000,-17030000,-67130000,-65081000,-8391000,-6424000,-7047000,-6560000,-3203000,-8176000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4662000,- -,- -,- -,-157495000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-5293000,-2751000,-3146000,-1948000,-28976000,-68933000,-99071000,-96306000,-142424000,-130338000,-43645000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,250000,6644000,1150000,3146000,5948000,43973000,49935000,74685000,131480000,131637000,130338000,43645000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,-1860000,-2814000,-4195000,-4338000,-4539000,-8413000,28000,-7792000,-15832000,-90158000,-90041000,-62189000,-28045000,-17991000,-5261000,-74005000,35469000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,152000,705000,84106000,13072000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-101833000,-15013000,-25229000,- -,-31506000,-45639000,- -,-50030000,-155125000,-91477000,-49998000,-112218000,-132697000,-77198000,-95259000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,-200000,-652000,8733000,-2416000,3091000,13679000,24202000,34132000,41208000,45952000,21485000,21507000,27563000,30114000,41984000,37795000,20521000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-48000,53000,-8994000,-4357000,-22138000,13679000,-7304000,-11507000,41208000,-4078000,-133640000,-69970000,-22435000,-82104000,-90713000,-39403000,-74738000
96,Effect of Forex Changes on Cash,- -,- -,- -,-95000,155000,-443000,963000,-2888000,1800000,2518000,-783000,-1183000,-1132000,-20226000,-1820000,-8175000,17219000,-16998000,-6966000,16469000
97,Net Change In Cash,- -,- -,- -,1837000,23244000,16962000,26660000,13544000,64313000,47652000,79918000,136876000,23769000,-120060000,-49566000,41384000,1293000,-2792000,-31910000,101155000
98,Cash at the End of Period,- -,- -,- -,24795000,48039000,65001000,91661000,105205000,169518000,217170000,297088000,433964000,457733000,337673000,288107000,329491000,330784000,327992000,296082000,397237000
99,Cash at the Beginning of Period,- -,- -,- -,22958000,24795000,48039000,65001000,91661000,105205000,169518000,217170000,297088000,433964000,457733000,337673000,288107000,329491000,330784000,327992000,296082000
100,Free Cash Flow,- -,- -,- -,1980000,23036000,26399000,30054000,38570000,53877000,48545000,94204000,95653000,52007000,58766000,76022000,93615000,77122000,103620000,85261000,115779000
101,SEC Link,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1169561/000095012307007955/0000950123-07-007955-index.html,https://www.sec.gov/Archives/edgar/data/1169561/000095012308005795/0000950123-08-005795-index.html,https://www.sec.gov/Archives/edgar/data/1169561/000089322009001231/0000893220-09-001231-index.html,https://www.sec.gov/Archives/edgar/data/1169561/000095012310050788/0000950123-10-050788-index.html,https://www.sec.gov/Archives/edgar/data/1169561/000095012311051348/0000950123-11-051348-index.html,https://www.sec.gov/Archives/edgar/data/1169561/000119312512234191/d309933d10k.htm,https://www.sec.gov/Archives/edgar/data/1169561/000119312513219425/0001193125-13-219425-index.html,https://www.sec.gov/Archives/edgar/data/1169561/000144530514001788/0001445305-14-001788-index.html,https://www.sec.gov/Archives/edgar/data/1169561/000162828015003946/0001628280-15-003946-index.html,https://www.sec.gov/Archives/edgar/data/1169561/000116956116000029/0001169561-16-000029-index.html,https://www.sec.gov/Archives/edgar/data/1169561/000116956117000014/0001169561-17-000014-index.html,https://www.sec.gov/Archives/edgar/data/1169561/000116956118000018/0001169561-18-000018-index.html,https://www.sec.gov/Archives/edgar/data/1169561/000116956119000022/0001169561-19-000022-index.html,https://www.sec.gov/Archives/edgar/data/1169561/000116956120000018/0001169561-20-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1169561/000116956121000018/0001169561-21-000018-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
