,https://roic.ai/company/NATI,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,26500000,37300000,49900000,53000000,63000000,76415000,48444000,40355000,40349000,62696000,78212000,87722000,102091000,95717000,46531000,128313000,112712000,116934000,98617000,145187000,137172000,119726000,145778000,172879000,174554000,199550000,118165000
18,Operating Income ratio,0.1608,0.1858,0.2071,0.1933,0.1911,0.1863,0.1257,0.1033,0.0947,0.1220,0.1368,0.1328,0.1379,0.1167,0.0688,0.1469,0.1101,0.1022,0.0841,0.1167,0.1119,0.0975,0.1131,0.1272,0.1290,0.1551,0.0804
19,Total Other Income Expenses (Gains),900000,800000,300000,2800000,4400000,4698000,5089000,3263000,4142000,2117000,2468000,7580000,11336000,2420000,3714000,-201000,-1578000,-2097000,-1449000,-1186000,-5893000,-5091000,1602000,3574000,5990000,-788000,-14590000
20,Income Before Tax,27400000,38100000,50200000,55800000,67400000,81113000,53533000,43618000,44491000,64813000,80680000,95302000,113427000,98137000,50245000,128112000,111134000,114837000,97168000,144001000,131279000,114635000,147380000,176453000,180544000,198762000,103575000
21,Income Before Tax Ratio,0.1663,0.1898,0.2084,0.2035,0.2045,0.1978,0.1389,0.1116,0.1045,0.1261,0.1411,0.1443,0.1532,0.1196,0.0743,0.1467,0.1085,0.1004,0.0829,0.1158,0.1071,0.0933,0.1143,0.1298,0.1334,0.1545,0.0705
22,Income Tax expense (Gain),10000000,12600000,16600000,18400000,21600000,25956000,17131000,12213000,11123000,16203000,19163000,22594000,6394000,13310000,33160000,18996000,17062000,24700000,16655000,17668000,36017000,31901000,94969000,21396000,18393000,55103000,14260000
23,Net Income,17400000,25500000,33600000,37400000,45200000,55157000,36402000,31405000,33368000,48610000,61517000,72708000,107033000,84827000,17085000,109116000,94072000,90137000,80513000,126333000,95262000,82734000,52411000,155057000,162151000,143659000,89315000
24,Net Income ratio,0.1056,0.1271,0.1395,0.1364,0.1371,0.1345,0.0945,0.0804,0.0783,0.0946,0.1076,0.1101,0.1446,0.1034,0.0253,0.1250,0.0919,0.0788,0.0687,0.1016,0.0777,0.0674,0.0406,0.1141,0.1198,0.1117,0.0608
25,EPS,0.16,0.23,0.31,0.34,0.40,0.49,0.32,0.27,0.29,0.41,0.52,0.61,0.90,0.72,0.15,0.93,0.79,0.74,0.65,0.99,0.74,0.64,0.40,1.17,1.23,1.10,0.68
26,EPS Diluted,0.16,0.23,0.30,0.33,0.39,0.46,0.30,0.26,0.28,0.39,0.51,0.59,0.88,0.71,0.15,0.92,0.78,0.73,0.64,0.99,0.74,0.64,0.40,1.16,1.22,1.09,0.68
27,Weighted Average Shares Outstanding,105757932,111182625,109900125,110808000,111996000,113247000,114547500,115242750,116156250,118020000,117828000,119278500,119202000,117850500,116280000,116973000,119836000,121973000,124558000,127030000,127997000,128453000,130300000,131987000,131722000,131082000,133031000
28,Weighted Average Shares Outstanding Diluted,105757932,111182625,113589000,115087500,117456750,120519000,120714750,120174750,121419000,123144000,121365000,122278500,121564500,119272500,117039000,118572000,121220000,122977000,125571000,127799000,128668000,129008000,131387000,133274000,132734000,131799000,133686000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/935494/000093549405000027/form10k-123104.htm,https://www.sec.gov/Archives/edgar/data/935494/000093549406000030/d123105.htm,https://www.sec.gov/Archives/edgar/data/935494/000093549407000016/d123106.htm,https://www.sec.gov/Archives/edgar/data/935494/000093549408000021/d123107.htm,https://www.sec.gov/Archives/edgar/data/935494/000093549409000006/0000935494-09-000006-index.html,https://www.sec.gov/Archives/edgar/data/935494/000093549410000004/0000935494-10-000004-index.html,https://www.sec.gov/Archives/edgar/data/935494/000093549411000009/d123110.htm,https://www.sec.gov/Archives/edgar/data/935494/000093549412000008/0000935494-12-000008-index.html,https://www.sec.gov/Archives/edgar/data/935494/000093549413000005/0000935494-13-000005-index.html,https://www.sec.gov/Archives/edgar/data/935494/000093549414000006/nati-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/935494/000093549415000007/nati-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/935494/000093549416000038/0000935494-16-000038-index.html,https://www.sec.gov/Archives/edgar/data/935494/000093549417000007/0000935494-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/935494/000093549418000005/0000935494-18-000005-index.html,https://www.sec.gov/Archives/edgar/data/935494/000093549419000010/0000935494-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/935494/000093549420000007/0000935494-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/935494/000093549421000015/0000935494-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/935494/000093549422000007/0000935494-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,30200000,31900000,51500000,45300000,75277000,49089000,40240000,53446000,76216000,55864000,100287000,194839000,229400000,201465000,219447000,142608000,161996000,230263000,274030000,251129000,285283000,290164000,259386000,194616000,260232000,211106000
32,Short-Term Investments,- -,- -,- -,- -,83500000,79525000,101422000,113638000,141227000,150392000,119846000,150190000,93838000,6220000,87196000,131215000,223504000,173166000,163149000,197163000,81789000,73117000,121888000,271396000,237983000,59923000,- -
33,Cash and Short-Term Investments,- -,30200000,31900000,51500000,128800000,154802000,150511000,153878000,194673000,226608000,175710000,250477000,288677000,235620000,288661000,350662000,366112000,335162000,393412000,471193000,332918000,358400000,412052000,530782000,432599000,320155000,211106000
34,Net Receivables,- -,33400000,37400000,45600000,58300000,74704000,53624000,62981000,77970000,87312000,95733000,117235000,131283000,121548000,103957000,127214000,157056000,187060000,180680000,202329000,216244000,228686000,248825000,242955000,248872000,266869000,341275000
35,Inventory,- -,11800000,15500000,16500000,26200000,33292000,32607000,39247000,38813000,54043000,62827000,77138000,82675000,107358000,86515000,117765000,131995000,169990000,172109000,173052000,185197000,193608000,184592000,194146000,200410000,194012000,289243000
36,Other Current Assets,- -,56200000,64400000,60800000,17700000,21761000,27016000,21860000,19669000,24341000,28036000,32244000,42575000,64497000,53045000,55077000,64386000,75488000,82394000,101246000,65381000,53953000,48621000,54337000,65477000,68470000,89925000
37,Total Current Assets,- -,131600000,149200000,174400000,231000000,284559000,263758000,277966000,331125000,392304000,362306000,477094000,545210000,529023000,532178000,650718000,719549000,767700000,828595000,947820000,799740000,834647000,894090000,1022220000,947358000,849506000,931549000
38,PP&E,- -,32200000,46800000,66100000,69800000,84694000,137360000,152133000,151612000,149783000,144330000,145425000,151462000,154477000,153265000,160410000,190148000,249721000,260568000,264086000,257853000,260456000,249715000,245201000,314124000,322073000,312309000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53343000,54111000,64561000,64779000,70278000,130747000,147258000,146520000,144325000,257718000,253197000,266783000,264530000,262242000,467547000,575992000
40,Intangible Assets,- -,5500000,8500000,9300000,18000000,20097000,23501000,28615000,42414000,40328000,96135000,40065000,40357000,41915000,43390000,52816000,83866000,93913000,82310000,78282000,108196000,108663000,123293000,110783000,84083000,172719000,220418000
41,Intangible Assets,- -,5500000,8500000,9300000,18000000,20097000,23501000,28615000,42414000,40328000,96135000,93408000,94468000,106476000,108169000,123094000,214613000,241171000,228830000,222607000,365914000,361860000,390076000,375313000,346325000,640266000,796410000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,5565000,5293000,27672000,42615000,19417000,25460000,29984000,26177000,25558000,20978000,30349000,39601000,32553000,28501000,44082000,72643000,74717000
45,Total Non-Current Assets,- -,37600000,55300000,75400000,87800000,104791000,160861000,180748000,194026000,190111000,246030000,244126000,273602000,303568000,280851000,308964000,434745000,517069000,514956000,507671000,654116000,661917000,672344000,649015000,704531000,1034982000,1183436000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,169200000,204500000,249800000,318800000,389350000,424619000,458714000,525151000,582415000,608336000,721220000,818812000,832591000,813029000,959682000,1154294000,1284769000,1343551000,1455491000,1453856000,1496564000,1566434000,1671235000,1651889000,1884488000,2114985000
48,Accounts Payable,- -,11400000,16900000,17200000,23300000,30365000,28958000,25578000,29567000,25208000,30832000,32001000,36187000,30876000,23502000,33544000,41111000,65080000,56614000,58603000,50970000,48800000,49733000,48388000,52192000,51124000,83218000
49,Short-Term Debt,- -,1500000,900000,800000,900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20801000,13137000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48129000,59109000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,11533000,16018000,22208000,36091000,45514000,57242000,71650000,90074000,90714000,96117000,105964000,112283000,115577000,120638000,127288000,131445000,132151000,137818000
52,Other Current Liabilities,- -,19400000,19300000,22900000,33100000,33986000,24964000,40935000,46228000,45928000,40770000,48373000,53058000,54341000,37675000,61118000,91735000,89162000,72624000,83090000,76962000,95698000,98884000,107308000,122486000,177775000,211041000
53,Total Current Liabilities,- -,32300000,37100000,40900000,57300000,64351000,53922000,66513000,75795000,82669000,87620000,102582000,125336000,130731000,118419000,166312000,222920000,244956000,225355000,247657000,240215000,260075000,269255000,282984000,306123000,381851000,445214000
54,Long-Term Debt,- -,9200000,5200000,4400000,4300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37000000,25000000,- -,- -,- -,127890000,330468000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20446000,21389000,26452000,27708000,29752000,33742000,32636000,33480000,36335000,32822000
56,Deferred Tax Liabilities,- -,800000,500000,300000,2900000,3976000,4533000,5738000,9904000,13297000,16866000,21956000,21221000,25157000,25012000,29477000,43186000,47630000,44620000,47406000,44673000,45386000,33609000,25457000,14065000,25288000,14249000
57,Other Non-Current Liabilities,- -,-100000,-100000,- -,100000,- -,- -,- -,- -,- -,- -,- -,11169000,12265000,15178000,19348000,36177000,32609000,29103000,16480000,22539000,22132000,101807000,91800000,121871000,88253000,68535000
58,Total Non-Current Liabilities,- -,9900000,5600000,4700000,7300000,3976000,4533000,5738000,9904000,13297000,16866000,21956000,32390000,37422000,40190000,48825000,79363000,100685000,95112000,90338000,131920000,122270000,169158000,149893000,169416000,277766000,446074000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,54081000,51655000,43605000
61,Total Liabilities,- -,42200000,42700000,45600000,64600000,68327000,58455000,72251000,85699000,95966000,104486000,124538000,157726000,168153000,158609000,215137000,302283000,345641000,320467000,337995000,372135000,382345000,438413000,432877000,475539000,659617000,891288000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,500000,506000,512000,511000,522000,789000,785000,799000,794000,772000,774000,786000,1207000,1229000,1257000,1278000,1275000,1292000,1310000,1327000,1305000,1312000,1323000
64,Retained Earnings,- -,82600000,116200000,153600000,198800000,254006000,290408000,321813000,349994000,384118000,429859000,483533000,563418000,613510000,303655000,336363000,382474000,404210000,414947000,464993000,400831000,376202000,313241000,356418000,242537000,211101000,112858000
65,Other Comprehensive Income/Loss,- -,-25500000,-30900000,-38700000,-47800000,-60552000,-73159000,-89203000,-107707000,-121857000,-2000000,2000000,7000000,10000000,14000000,-1000000,-4000000,1000000,3000000,-12000000,-38000000,-35000000,-17000000,-17000000,-21000000,-20826000,-20131000
66,Other Total Stockholders Equity,- -,69900000,76500000,89300000,102700000,127063000,148403000,153342000,196643000,223399000,75206000,110350000,89874000,40156000,335991000,408396000,472330000,532689000,603880000,663225000,717615000,771725000,830470000,897613000,953508000,1033284000,1129647000
67,Total Stockholders Equity,- -,127000000,161800000,204200000,254200000,321023000,366164000,386463000,439452000,486449000,503850000,596682000,661086000,664438000,654420000,744545000,852011000,939128000,1023084000,1117496000,1081721000,1114219000,1128021000,1238358000,1176350000,1224871000,1223697000
68,Total Liabilities And Stockholders Equity,- -,169200000,204500000,249800000,318800000,389350000,424619000,458714000,525151000,582415000,608336000,721220000,818812000,832591000,813029000,959682000,1154294000,1284769000,1343551000,1455491000,1453856000,1496564000,1566434000,1671235000,1651889000,1884488000,2114985000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,169200000,204500000,249800000,318800000,389350000,424619000,458714000,525151000,582415000,608336000,721220000,818812000,832591000,813029000,959682000,1154294000,1284769000,1343551000,1455491000,1453856000,1496564000,1566434000,1671235000,1651889000,1884488000,2114985000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/935494/000093549405000027/form10k-123104.htm,https://www.sec.gov/Archives/edgar/data/935494/000093549406000030/d123105.htm,https://www.sec.gov/Archives/edgar/data/935494/000093549407000016/d123106.htm,https://www.sec.gov/Archives/edgar/data/935494/000093549408000021/d123107.htm,https://www.sec.gov/Archives/edgar/data/935494/000093549409000006/0000935494-09-000006-index.html,https://www.sec.gov/Archives/edgar/data/935494/000093549410000004/0000935494-10-000004-index.html,https://www.sec.gov/Archives/edgar/data/935494/000093549411000009/d123110.htm,https://www.sec.gov/Archives/edgar/data/935494/000093549412000008/0000935494-12-000008-index.html,https://www.sec.gov/Archives/edgar/data/935494/000093549413000005/0000935494-13-000005-index.html,https://www.sec.gov/Archives/edgar/data/935494/000093549414000006/nati-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/935494/000093549415000007/nati-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/935494/000093549416000038/0000935494-16-000038-index.html,https://www.sec.gov/Archives/edgar/data/935494/000093549417000007/0000935494-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/935494/000093549418000005/0000935494-18-000005-index.html,https://www.sec.gov/Archives/edgar/data/935494/000093549419000010/0000935494-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/935494/000093549420000007/0000935494-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/935494/000093549421000015/0000935494-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/935494/000093549422000007/0000935494-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,17400000,25500000,33600000,37400000,45200000,55157000,36402000,31405000,33368000,48610000,61517000,72708000,107033000,84827000,17085000,109116000,94072000,90137000,80513000,126333000,95262000,82734000,52411000,155057000,162151000,143659000,89315000
74,Depreciation and Amortization,7000000,9200000,8700000,11600000,13000000,16345000,16802000,20748000,24774000,25592000,28553000,34181000,36605000,37103000,38365000,37872000,49897000,58686000,67974000,70206000,73329000,73390000,72695000,70667000,73541000,87064000,99402000
75,Deferred Income Tax,-3500000,-800000,-3100000,1500000,200000,-832000,2186000,-207000,2329000,-825000,3219000,-339000,-17185000,-4475000,- -,3668000,-13732000,1853000,-4353000,-3240000,11019000,-5430000,-5774000,-11738000,-12680000,7771000,-15796000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20299000,18795000,23219000,27796000,28992000,25759000,25489000,25832000,29145000,37616000,51438000,58376000,74583000
77,Change in Working Capital,-6000000,- -,12800000,21400000,40200000,46508000,-10372000,1617000,43877000,54305000,-34949000,99826000,45362000,-21582000,15467000,70647000,12223000,26115000,80496000,96923000,-140638000,15047000,50263000,114401000,-98001000,-173580000,-109724000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17591000,-22923000,-21957000,-26007000,6820000,-21649000,-11760000,-12441000,-15269000,8446000,-7193000,-17260000,-75492000
79,Inventory,-5400000,3300000,-4300000,-600000,-9000000,-7131000,685000,-6640000,434000,-15230000,-4572000,-14311000,-5537000,-24578000,20843000,-30930000,-11817000,-36154000,-1563000,-943000,-8381000,-8412000,10154000,-10642000,-6773000,7617000,-90480000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7374000,9630000,5573000,23419000,-8604000,1989000,-9003000,-2170000,1584000,-3976000,4034000,-10000,31303000
81,Other Working Capital,99300000,99300000,112100000,133500000,173700000,220208000,209836000,211453000,255330000,309635000,274686000,374512000,419874000,398292000,413759000,484406000,496629000,522744000,603240000,700163000,559525000,574572000,624835000,739236000,641235000,467655000,6096000
82,Other Non-Cash Items,- -,6400000,-19500000,-25900000,-51900000,-62182000,12135000,-4430000,-41252000,-62050000,29710000,-108485000,-24443000,25945000,44435000,-95040000,4220000,-72071000,-84143000,-120871000,98176000,4267000,25702000,-91423000,47956000,57477000,5719000
83,Cash Provided by Operating Activities,14900000,40300000,32500000,46000000,46700000,54996000,57153000,49133000,63096000,65632000,88050000,97891000,147372000,121818000,135651000,145058000,169899000,132516000,169479000,195110000,162637000,195840000,224442000,274580000,224405000,180767000,143499000
84,CAPEX,-16200000,-6800000,-22000000,-29500000,-22500000,-27631000,-65274000,-30817000,-17983000,-12596000,-15383000,-28988000,-39574000,-38268000,-38032000,-48307000,-71930000,-102684000,-67861000,-73559000,-68154000,-78626000,-74302000,-54266000,-71131000,-55147000,-45189000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-64000000,- -,- -,-17000000,- -,-4000000,-74000000,-25000000,- -,- -,-126000000,-1000000,- -,-6000000,- -,-184476000,-238833000
86,Purchases of Investments,-70200000,-68800000,-48400000,-52200000,-269000000,-97685000,-149505000,-134434000,-143991000,-125954000,-124227000,-244238000,-87586000,-9061000,-93087000,-126691000,-257449000,-188098000,-70354000,-123849000,-36063000,-39097000,-87735000,-313726000,-185267000,-206330000,- -
87,Sales/Maturities of Investments,32500000,57600000,46300000,54100000,234800000,101685000,127608000,122218000,116402000,116789000,154773000,213894000,143938000,86179000,19204000,82672000,166104000,238436000,80371000,89835000,151437000,47769000,39627000,163530000,219628000,384652000,60297000
88,Other Investing Activites,-1100000,-2800000,-4100000,-2700000,-2200000,-6930000,-4903000,-8750000,-18561000,-7377000,-17559000,- -,-2242000,-3094000,-38032000,-48525000,-71488000,-103165000,-67861000,-73559000,-67766000,-78175000,-74302000,-53800000,8548000,-55147000,-45189000
89,Cash Used for Investing Activites,-55000000,-20800000,-28200000,-30300000,-58900000,-30561000,-92074000,-51783000,-64133000,-29138000,-66396000,-59332000,14536000,18756000,-111915000,-96544000,-236833000,-77827000,-57844000,-107573000,-78392000,-70503000,-122410000,-209996000,-17948000,-61301000,-223725000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17000000,-27000000,-25000000,- -,- -,-91250000,-98750000
91,Common Stock Issued,39600000,1900000,2900000,4500000,7300000,10710000,8733000,13424000,19430000,16826000,23222000,37146000,36460000,31150000,21672000,51852000,32905000,30902000,39319000,31275000,27785000,28907000,29094000,31601000,33191000,31947000,32518000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-19623000,- -,-16064000,-49452000,-16519000,-79728000,-103641000,-34585000,-41862000,- -,- -,- -,- -,-75255000,-5635000,- -,- -,-171316000,-48713000,-55000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,-5187000,-14486000,-15776000,-19034000,-27052000,-34735000,-37308000,-40618000,-47961000,-68401000,-69776000,-76287000,-97643000,-102897000,-109551000,-121537000,-131855000,-136545000,-143113000
94,Other Financing Activites,4700000,-3000000,-4700000,-800000,-1400000,-5177000,- -,- -,- -,- -,- -,4271000,2964000,1213000,-1450000,96000,5151000,2198000,-12911000,1242000,54967000,15442000,-842000,-907000,-837000,188107000,298007000
95,Cash Used/Provided by Financing Activities,44300000,-1100000,-1800000,3700000,5900000,5533000,8733000,-6199000,14243000,-13724000,-42006000,5864000,-67356000,-106013000,-51671000,-30532000,-9905000,-35301000,-43368000,-43770000,-107146000,-91183000,-106299000,-90843000,-270817000,-56454000,33662000
96,Effect of Forex Changes on Cash,200000,-200000,-800000,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9148000,-4519000,-410000,2604000,-2562000
97,Net Change In Cash,44300000,- -,- -,- -,-6200000,29968000,-26188000,-8849000,13206000,22770000,-20352000,44423000,94552000,34561000,-27935000,17982000,-76839000,19388000,68267000,43767000,-22901000,34154000,4881000,-30778000,-64770000,65616000,-49126000
98,Cash at the End of Period,- -,- -,- -,- -,45300000,75277000,49089000,40240000,53446000,76216000,55864000,100287000,194839000,229400000,201465000,219447000,142608000,161996000,230263000,274030000,251129000,285283000,290164000,259386000,194616000,260232000,211106000
99,Cash at the Beginning of Period,7500000,12000000,30200000,31900000,51500000,45309000,75277000,49089000,40240000,53446000,76216000,55864000,100287000,194839000,229400000,201465000,219447000,142608000,161996000,230263000,274030000,251129000,285283000,290164000,259386000,194616000,260232000
100,Free Cash Flow,-1300000,33500000,10500000,16500000,24200000,27365000,-8121000,18316000,45113000,53036000,72667000,68903000,107798000,83550000,97619000,96751000,97969000,29832000,101618000,121551000,94483000,117214000,150140000,220314000,153274000,125620000,98310000
