,https://roic.ai/company/BRFS,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
58,Total Non-Current Liabilities,712164722,850762356,737260581,664434833,692657188,517911864,1278703569,1430534313,1375985212,4027300000,6698300000,8428600000,7885700000,8732000000,9242400000,10844700000,14930800000,18085100000,18607700000,20362000000,20228277000,25411044000,25852475000
59,Other Liabilities,- -,- -,- -,1328869667,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2431180000,2536681000,2479246000
61,Total Liabilities,1430719137,1771798747,1751255719,2331594478,2007680167,1555060955,2407897728,2679010703,3317025338,7108200000,12575000000,14114800000,15873500000,16196200000,17678400000,20413800000,26552000000,30725500000,33515600000,34850600000,33756718000,40851372000,47077764000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,614189433,675268356,415424636,489999584,488020735,490129685,- -,- -,- -,- -,- -,- -,- -,12460500000,12460500000,12460500000,12460500000,12460500000,12460500000,12460500000,12460471000,12460471000,12460471000
64,Retained Earnings,-59915962,-72652901,- -,-6279641,-11350259,- -,423336022,504476995,726740302,704500000,724900000,- -,1836700000,-52000000,2511880000,- -,- -,- -,- -,-4279000000,-4131913000,-2594028000,-2132230000
65,Other Comprehensive Income/Loss,-213934183,-297535665,-254675030,191918421,283433330,481061965,-542161328,-721352245,-877527373,-1156338000,-3293200000,35200000,-161500000,2130000000,2272000000,3434800000,5004300000,101400000,-1188700000,-1160200000,-529624000,-1156721000,-1670892000
66,Other Total Stockholders Equity,332222651,475398781,512046249,- -,- -,-815404,- -,- -,- -,- -,- -,- -,- -,100000,-2589280000,-304900000,-3947900000,-721900000,-71500000,-56700000,-38239000,-123938000,-194817000
67,Total Stockholders Equity,672561939,780478571,672795855,675638364,760103807,970376246,1222035696,2099813040,3225734787,4110600000,13134600000,13629100000,14070400000,14538600000,14655100000,15590400000,13516900000,11840000000,11200300000,6964600000,7760695000,8585784000,8462532000
68,Total Liabilities And Stockholders Equity,2103281076,2552277317,2424051575,3007232842,2767783973,2525437201,3629933424,4778823743,6542760124,11218800000,25709600000,27743900000,29943900000,30734800000,32333500000,36004200000,40068900000,42565500000,44715900000,41815200000,41517413000,49437156000,55540296000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,38905330,- -,700000,4700000,7600000,39600000,37500000,41100000,99500000,319100000,379400000,512600000,567200000,252726000,227750000,363091000
70,Total Liabilities & Equity,2103281076,2552277317,2424051575,3007232842,2767783973,2525437201,3629933424,4817729073,6542760124,11219500000,25714300000,27751500000,29983500000,30772300000,32374600000,36103700000,40388000000,42944900000,45228500000,42382400000,41770139000,49664906000,55903387000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1122491/000110465905030766/0001104659-05-030766-index.htm,https://www.sec.gov/Archives/edgar/data/1122491/000110465906044824/0001104659-06-044824-index.htm,https://www.sec.gov/Archives/edgar/data/1122491/000110465907051095/0001104659-07-051095-index.htm,https://www.sec.gov/Archives/edgar/data/1122491/000110465908042776/0001104659-08-042776-index.htm,https://www.sec.gov/Archives/edgar/data/1122491/000095012309019157/0000950123-09-019157-index.htm,https://www.sec.gov/Archives/edgar/data/1122491/000129281410001271/0001292814-10-001271-index.htm,https://www.sec.gov/Archives/edgar/data/1122491/000129281411001222/0001292814-11-001222-index.htm,https://www.sec.gov/Archives/edgar/data/1122491/000129281412001200/0001292814-12-001200-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1122491/000129281414000758/0001292814-14-000758-index.htm,https://www.sec.gov/Archives/edgar/data/1122491/000129281415000697/0001292814-15-000697-index.htm,https://www.sec.gov/Archives/edgar/data/1122491/000129281416004098/0001292814-16-004098-index.htm,https://www.sec.gov/Archives/edgar/data/1122491/000129281417001013/0001292814-17-001013-index.htm,https://www.sec.gov/Archives/edgar/data/1122491/000129281418001481/0001292814-18-001481-index.htm,https://www.sec.gov/Archives/edgar/data/1122491/000129281419001565/0001292814-19-001565-index.htm,https://www.sec.gov/Archives/edgar/data/1122491/000129281420001419/0001292814-20-001419-index.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,74623769,50381258,168243668,8233621,123046730,295696933,360774635,117016673,321273372,54400000,120400000,804100000,1367400000,813200000,1062400000,2225000000,3111200000,-372400000,-1125600000,-4448100000,162684000,1518492000,419455000
74,Depreciation and Amortization,60218178,75160460,64964020,81511435,98268890,105298706,117228173,145848073,293576225,601500000,590700000,840400000,886300000,966700000,1176100000,1230400000,1316600000,1602800000,1918000000,1747200000,2301278000,2394378000,2746354000
75,Deferred Income Tax,537871,7762512,- -,- -,-6283900,10573695,2699248,-39105785,-14199328,-291100000,182300000,65900000,116600000,111200000,430800000,541800000,-307700000,309900000,-102300000,-125700000,-672730000,-309986000,-800385000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-10732237,-75197508,-10805662,-230431663,-3251587,37227057,-61963630,-107740298,-222980193,-747800000,207100000,-762200000,-2246700000,352600000,381300000,855000000,-2149900000,1618200000,-628800000,-559500000,-927916000,-829167000,-1748548000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-194900000,118900000,-401500000,-640200000,90300000,-188300000,459200000,-1112500000,1246900000,-578400000,992500000,-182126000,-481192000,386889000
79,Inventory,-57759081,-22041557,-56638575,-275553748,-86275239,100300039,-61461607,-67037270,-223781409,-464400000,244700000,167700000,-538600000,-361800000,54500000,444500000,-1265500000,-747100000,34500000,-276100000,-224733000,-3147116000,-3694206000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,255800000,-28900000,154800000,566700000,669400000,402100000,202900000,882200000,848500000,165800000,-1051300000,-392533000,2154693000,1420014000
81,Other Working Capital,- -,- -,- -,- -,- -,-8568385,21087295,-81900795,-299121,177890000,-97500000,-591900000,-1634600000,795700000,115300000,-246000000,-1373600000,108900000,370200000,-395500000,-96764000,24216000,-652191000
82,Other Non-Cash Items,-19381349,-2283321,-3736581,45217661,-18557413,-25877798,60163352,-19154115,-40397311,1017700000,-633400000,2283400000,1019000000,199900000,268000000,149600000,2166400000,-1337300000,591400000,3681800000,1657914000,1643913000,3306760000
83,Cash Provided by Operating Activities,105266231,55823401,218665446,-95468945,193222720,422918593,478901779,96864548,337272765,634700000,467100000,3231600000,1142600000,2443600000,3318600000,5001800000,4136600000,1821200000,652700000,295700000,2521230000,4417630000,3923636000
84,CAPEX,-188028224,-164274333,-118576638,-106523803,-74073855,-110576257,-301311780,-521138218,-598150476,-634500000,-693200000,-762500000,-1184000000,-1899000000,-1322900000,-1071400000,-1502100000,-1922300000,-938200000,-598500000,-481485000,-900790000,-1735058000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-7894601,-113126993,-258778524,-1004400000,511300000,- -,- -,-10600000,-73000000,-427600000,-152500000,-2873000000,-1120900000,3300000,-3005000,37459000,-850918000
86,Purchases of Investments,-128684312,-101969498,-36350962,-311504,-2885,- -,-112630578,-970449570,-350471464,-2733000000,-9688500000,- -,-4700000,-100600000,-459900000,-43900000,-58900000,-239600000,-97600000,-218900000,-15362000,- -,-16926000
87,Sales/Maturities of Investments,- -,- -,- -,115291937,237120582,37073006,167194624,257576145,541055823,2829900000,8800700000,- -,29200000,94200000,585400000,43400000,130300000,91500000,356900000,320600000,360603000,26352000,252171000
88,Other Investing Activites,-11978875,15916952,-5594421,-5833623,-6485862,-3564406,12592601,14168330,-164687278,-85600000,-153500000,-402800000,-775200000,-471400000,-296800000,-464500000,-308500000,720700000,-539400000,-942900000,1518035000,-690191000,-1377692000
89,Cash Used for Investing Activites,-328691410,-250326878,-160522021,2623007,156557980,-77067657,-242049733,-1332970305,-831031918,-1627600000,-1223200000,-1100600000,-1875900000,-2372800000,-1512600000,-1913600000,-1686300000,-4159900000,-2288000000,-1415900000,1443106000,-1430989000,-3548791000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2048800000,-6210500000,-4357500000,-2838900000,-4347600000,-3897000000,-4707800000,-6031500000,-3512300000,-9001200000,-6326400000,-10034155000,-10800915000,-2100774000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,798066800,899925811,39859000,5290000000,- -,- -,13400000,53200000,99800000,82400000,6400000,509900000,- -,- -,- -,- -
92,Common Stock Repurchased,-30581,- -,- -,- -,- -,- -,- -,- -,- -,-52805000,-159901698,- -,-72000000,- -,-78600000,-350900000,-3765800000,-543300000,- -,- -,- -,-106070000,-27721000
93,Dividends Paid,-13934279,-14358990,-50472868,-5401765,- -,-82480666,-85147745,- -,- -,-114300000,-43233696,-153200000,-501644000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,119472145,137437997,-9560909,324774945,-401275214,-494249203,413942357,-2893803,365169326,3294446000,2691235394,2927400000,3086244000,4784500000,3165200000,4390800000,5421000000,7769900000,9698400000,6400300000,5217053000,10319943000,1556019000
95,Cash Used/Provided by Financing Activities,105507284,123079007,-60033777,319373180,-401275214,-576729870,328794612,795172998,1265095137,1118400000,1567600000,-1583300000,-326300000,450300000,-757200000,-568100000,-4293900000,3720700000,1207100000,73900000,-4817102000,-587042000,-572476000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,-8549793,- -,- -,- -,- -,-146700000,-135300000,115800000,42900000,148200000,359100000,1199500000,-387900000,82000000,71500000,54540000,939241000,149826000
97,Net Change In Cash,-117917895,-71426421,-1888030,226530781,-51491629,-239431382,565646658,-440932760,771335985,125500000,664800000,412400000,-943800000,563900000,1197000000,2879200000,-644000000,994000000,-346100000,-974800000,-798226000,3338840000,-47805000
98,Cash at the End of Period,313715568,273487672,11757805,503702227,450178845,212693027,778114403,335785583,1107909021,1233500000,1898200000,2310600000,1366800000,1930700000,3127700000,6006900000,5362900000,6356900000,6010800000,5036000000,4237785000,7576625000,7528820000
99,Cash at the Beginning of Period,431633463,344914092,13645835,277171446,501670474,452124409,212467745,776718343,336573037,1108000000,1233400000,1898200000,2310600000,1366800000,1930700000,3127700000,6006900000,5362900000,6356900000,6010800000,5036011000,4237785000,7576625000
100,Free Cash Flow,-82761992,-108450932,100088808,-201992749,119148865,312342336,177589999,-424273670,-260877710,200000,-226100000,2469100000,-41400000,544600000,1995700000,3930400000,2634500000,-101100000,-285500000,-302800000,2039745000,3516840000,2188578000
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1122491/000110465905030766/0001104659-05-030766-index.htm,https://www.sec.gov/Archives/edgar/data/1122491/000110465906044824/0001104659-06-044824-index.htm,https://www.sec.gov/Archives/edgar/data/1122491/000110465907051095/0001104659-07-051095-index.htm,https://www.sec.gov/Archives/edgar/data/1122491/000110465908042776/0001104659-08-042776-index.htm,https://www.sec.gov/Archives/edgar/data/1122491/000095012309019157/0000950123-09-019157-index.htm,https://www.sec.gov/Archives/edgar/data/1122491/000129281410001271/0001292814-10-001271-index.htm,https://www.sec.gov/Archives/edgar/data/1122491/000129281411001222/0001292814-11-001222-index.htm,https://www.sec.gov/Archives/edgar/data/1122491/000129281412001200/0001292814-12-001200-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1122491/000129281414000758/0001292814-14-000758-index.htm,https://www.sec.gov/Archives/edgar/data/1122491/000129281415000697/0001292814-15-000697-index.htm,https://www.sec.gov/Archives/edgar/data/1122491/000129281416004098/0001292814-16-004098-index.htm,https://www.sec.gov/Archives/edgar/data/1122491/000129281417001013/0001292814-17-001013-index.htm,https://www.sec.gov/Archives/edgar/data/1122491/000129281418001481/0001292814-18-001481-index.htm,https://www.sec.gov/Archives/edgar/data/1122491/000129281419001565/0001292814-19-001565-index.htm,https://www.sec.gov/Archives/edgar/data/1122491/000129281420001419/0001292814-20-001419-index.htm,- -,- -
102,Forex Rate,0.5539,0.5128,0.4327,0.2825,0.3458,0.3765,0.4277,0.4681,0.5618,0.432,0.5737,0.6025,0.5366,0.4879,0.4233,0.3762,0.2524,0.3071,0.3019,0.2576,0.2488,0.1925,0.1795
