,https://roic.ai/company/SVRA,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
54,Long-Term Debt,- -,- -,56873,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3726000,2285000,14775000,24530000,23112000,25104000,17323000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2608755,2608755,2608755,3404000,3404000,995000,7181000,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,57078,35674,14270,- -,- -,- -,- -,- -,- -,- -,25000,17000,12348000,12284000,513000,84000,117000
58,Total Non-Current Liabilities,- -,- -,56873,- -,- -,57078,35674,14270,- -,- -,- -,2608755,2608755,2608755,3404000,7155000,3297000,34304000,36814000,23625000,25188000,17440000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25000,17000,562000,41000,440000,179000,- -
61,Total Liabilities,268571,916492,983075,163043,1218396,31450389,32840637,3507085,4714023,2353687,1801476,5077774,5179421,7442133,11842000,30328000,8163000,40319000,44068000,34505000,33362000,32100000
62,Preferred Stock,- -,- -,2705,2004,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,14587,15005,17496,42492,53835,67364,89678,90254,90254,205286,15480,47716,47720,102710,159000,164000,255000,32000,36000,52000,55000,116000
64,Retained Earnings,-7704222,-24043342,-26149069,-28481146,-35182194,-59964840,-89296613,-99198965,-125846458,-142038403,-156129121,-169389052,-184948541,-206428826,-235131000,-274973000,-311073000,-68203000,-129719000,-207892000,-257507000,-300521000
65,Other Comprehensive Income/Loss,- -,-27746,-30294,-39264,-59827,-1722,-2090,2702,- -,-338692,-255018,-2298,-2194,-20738,-25000,-17000,1000,958000,200000,-17000,942000,5000
66,Other Total Stockholders Equity,22299898,23417597,25306432,32596227,47578577,52070582,109166773,130140549,131751439,148845339,183054000,226122331,226695409,254154693,293655000,298715000,320576000,186522000,237702000,309555000,320893000,444898000
67,Total Stockholders Equity,14610263,-638486,-852730,4120313,12390391,-7828616,19957748,31034540,5995235,6673530,26685341,56778697,41792394,47807839,58658000,23889000,9759000,119309000,108219000,101698000,64383000,144498000
68,Total Liabilities And Stockholders Equity,14878834,278006,130345,4283356,13608787,23621773,52798385,34541625,10709258,9027217,28486817,61856471,46971815,55249972,70500000,54217000,17922000,159628000,152287000,136203000,97745000,176598000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,14878834,278006,130345,4283356,13608787,23621773,52798385,34541625,10709258,9027217,28486817,61856471,46971815,55249972,70500000,54217000,17922000,159628000,152287000,136203000,97745000,176598000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1160308/000114420404003620/0001144204-04-003620-index.htm,https://www.sec.gov/Archives/edgar/data/1160308/000114420405009683/0001144204-05-009683-index.htm,https://www.sec.gov/Archives/edgar/data/1160308/000093639206000226/0000936392-06-000226-index.htm,https://www.sec.gov/Archives/edgar/data/1160308/000093639207000201/0000936392-07-000201-index.htm,https://www.sec.gov/Archives/edgar/data/1160308/000093639208000212/0000936392-08-000212-index.htm,https://www.sec.gov/Archives/edgar/data/1160308/000136231009004405/0001362310-09-004405-index.htm,https://www.sec.gov/Archives/edgar/data/1160308/000095012310026059/0000950123-10-026059-index.htm,https://www.sec.gov/Archives/edgar/data/1160308/000095012311024172/0000950123-11-024172-index.htm,https://www.sec.gov/Archives/edgar/data/1160308/000119312512103745/0001193125-12-103745-index.htm,https://www.sec.gov/Archives/edgar/data/1160308/000119312513115333/0001193125-13-115333-index.htm,https://www.sec.gov/Archives/edgar/data/1160308/000119312514115663/0001193125-14-115663-index.htm,https://www.sec.gov/Archives/edgar/data/1160308/000156459015001934/0001564590-15-001934-index.htm,https://www.sec.gov/Archives/edgar/data/1160308/000156459016014658/0001564590-16-014658-index.htm,https://www.sec.gov/Archives/edgar/data/1160308/000156459017003487/0001564590-17-003487-index.htm,https://www.sec.gov/Archives/edgar/data/1160308/000156459018005610/0001564590-18-005610-index.htm,https://www.sec.gov/Archives/edgar/data/1160308/000156459019007585/0001564590-19-007585-index.htm,https://www.sec.gov/Archives/edgar/data/1160308/000156459020010465/0001564590-20-010465-index.htm,https://www.sec.gov/Archives/edgar/data/1160308/000156459021011919/0001564590-21-011919-index.htm,https://www.sec.gov/Archives/edgar/data/1160308/000095017022005045/0000950170-22-005045-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-3701084,-16339120,-2105727,-2332077,-6701048,-24782646,-29331773,-22142040,-26647493,-11325058,-8450922,-13259931,-15559489,-21480285,-28702000,-39842000,-36100000,-29797000,-61516000,-78173000,-49615000,-43014000
74,Depreciation and Amortization,1907341,7672112,428109,8970,41309,115545,176688,197783,168039,79728,19821,37570,90047,39517,85000,146000,99000,363000,526000,1010000,693000,367000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2409000,-2820000,-7057000,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,1610890,585437,785943,866052,1459330,1599822,2032000,2675000,2643000,552000,3737000,4441000,5107000,3260000
77,Change in Working Capital,-705758,-1983912,-136123,4914004,7956089,-20582038,28066368,11125912,-24922542,883288,19988796,22715589,-14720196,6091656,9270348,-30886000,-11760000,84530000,14241000,7097000,-36240000,73393000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,120468,- -,- -,1230000,-1974000,- -,- -,568000,- -,-1763000
81,Other Working Capital,1297761,-686151,-822274,4091730,12047819,-8534219,19532149,30658061,5735519,6618807,26607603,49323192,34602996,40694652,49965000,19079000,7319000,91849000,106090000,113187000,76947000,150340000
82,Other Non-Cash Items,351209,8939819,711802,-4838006,-6471740,33602310,-14684827,-8824845,26003502,-2839811,-20684875,-23826234,14811440,-4039672,-7330348,34958000,10260000,-81062000,10794000,20502000,40219000,-74087000
83,Cash Provided by Operating Activities,-2148292,-1711101,-1101939,-2247109,-5175390,-11646829,-15773544,-19643190,-23787604,-12616416,-8341237,-13466954,-13918868,-17788962,-24645000,-32949000,-37267000,-28234000,-39275000,-45123000,-39836000,-40081000
84,CAPEX,-3745,-16093,-2370,-16376,-305773,-237785,-172112,-127259,-64955,- -,-28513,-411762,-266175,-46781,-147000,-165000,-8000,-495000,-141000,-148000,-3294000,-57000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000000,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-1016330,- -,- -,- -,- -,-13123220,-32600411,-51104469,-14355784,- -,- -,-7144849,-15822000,-21967035,-19435000,-13713000,- -,-76862000,-122494000,-122945000,-86083000,-161069000
87,Sales/Maturities of Investments,- -,1016330,- -,- -,- -,5275000,15029776,59240000,33243602,- -,- -,- -,8923000,17248000,16659000,17273000,15207000,4800000,109016000,138833000,98430000,83470000
88,Other Investing Activites,- -,-35000,35993,- -,- -,- -,-31838,- -,33906,16000,4379,12635,- -,- -,-596000,- -,- -,3442000,- -,- -,-3247000,8200000
89,Cash Used for Investing Activites,-1020075,965237,33623,-16376,-305773,-8086005,-17774585,8008272,18856769,16000,-24134,-7543976,-7165175,-4765816,481000,3395000,15199000,-69115000,-13619000,15740000,9053000,-69456000
90,Debt Repayment,-17718,- -,- -,- -,- -,- -,- -,- -,- -,-1416504,- -,- -,- -,- -,- -,-7000,-11661000,-4027000,-546000,-41000,-514000,- -
91,Common Stock Issued,- -,47741,1287768,6639902,15653803,23218435,48022366,441616,- -,- -,- -,39507529,- -,28097500,30201000,2140000,19958000,91264000,46297000,54839000,2290000,122231000
92,Common Stock Repurchased,- -,-55279,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1454,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,3595500,450000,-280000,-253948,-1366774,-1883246,-3134814,- -,- -,12834420,27676790,-2903319,2194,-2360548,4090000,14665000,-739000,18852000,9442000,110000,1913000,-1425000
95,Cash Used/Provided by Financing Activities,3577782,442462,1007768,6385954,14287029,21335189,44887552,441616,- -,11417916,27676790,36604210,740,25736952,34291000,16798000,7558000,106089000,55193000,54908000,3689000,120806000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2156,13796,-1522,- -,- -,-49000,8000,-119000,-22000,170000,-137000
97,Net Change In Cash,409415,-303402,-60548,4122469,8805866,1602355,11339423,-11193302,-4930835,-1182500,19311419,15591124,-21069507,3180652,10127000,-12756000,-14510000,8748000,2180000,25503000,-26924000,11132000
98,Cash at the End of Period,467878,164476,103928,4226397,13032263,14634618,25974041,14780739,9849904,8667404,27978823,43569947,22500440,25681092,35808000,23052000,8542000,22121000,24301000,49804000,22880000,34012000
99,Cash at the Beginning of Period,58463,467878,164476,103928,4226397,13032263,14634618,25974041,14780739,9849904,8667404,27978823,43569947,22500440,25681000,35808000,23052000,13373000,22121000,24301000,49804000,22880000
100,Free Cash Flow,-2152037,-1727194,-1104309,-2263485,-5481163,-11884614,-15945656,-19770449,-23852559,-12616416,-8369750,-13878716,-14185043,-17835743,-24792000,-33114000,-37275000,-28729000,-39416000,-45271000,-43130000,-40138000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1160308/000114420404003620/0001144204-04-003620-index.htm,https://www.sec.gov/Archives/edgar/data/1160308/000114420405009683/0001144204-05-009683-index.htm,https://www.sec.gov/Archives/edgar/data/1160308/000093639206000226/0000936392-06-000226-index.htm,https://www.sec.gov/Archives/edgar/data/1160308/000093639207000201/0000936392-07-000201-index.htm,https://www.sec.gov/Archives/edgar/data/1160308/000093639208000212/0000936392-08-000212-index.htm,https://www.sec.gov/Archives/edgar/data/1160308/000136231009004405/0001362310-09-004405-index.htm,https://www.sec.gov/Archives/edgar/data/1160308/000095012310026059/0000950123-10-026059-index.htm,https://www.sec.gov/Archives/edgar/data/1160308/000095012311024172/0000950123-11-024172-index.htm,https://www.sec.gov/Archives/edgar/data/1160308/000119312512103745/0001193125-12-103745-index.htm,https://www.sec.gov/Archives/edgar/data/1160308/000119312513115333/0001193125-13-115333-index.htm,https://www.sec.gov/Archives/edgar/data/1160308/000119312514115663/0001193125-14-115663-index.htm,https://www.sec.gov/Archives/edgar/data/1160308/000156459015001934/0001564590-15-001934-index.htm,https://www.sec.gov/Archives/edgar/data/1160308/000156459016014658/0001564590-16-014658-index.htm,https://www.sec.gov/Archives/edgar/data/1160308/000156459017003487/0001564590-17-003487-index.htm,https://www.sec.gov/Archives/edgar/data/1160308/000156459018005610/0001564590-18-005610-index.htm,https://www.sec.gov/Archives/edgar/data/1160308/000156459019007585/0001564590-19-007585-index.htm,https://www.sec.gov/Archives/edgar/data/1160308/000156459020010465/0001564590-20-010465-index.htm,https://www.sec.gov/Archives/edgar/data/1160308/000156459021011919/0001564590-21-011919-index.htm,https://www.sec.gov/Archives/edgar/data/1160308/000095017022005045/0000950170-22-005045-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
