,https://roic.ai/company/APOG,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,-400000,-3400000,-5200000,-7300000,- -,-10900000,-13200000,-9400000,-6300000,-4469000,-3713000,-3218000,-2480000,-2652000,-2485000,1752000,-606000,-719000,1427000,1494000,1259000,924000,593000,971000,5508000,8449000,8098000,4408000,- -
14,Depreciation and Amortization,3600000,4300000,6600000,9000000,12100000,13300000,16300000,15100000,15700000,15100000,16500000,20500000,24000000,25900000,33019000,34229000,27034000,24271000,19748000,17960000,19965000,18536000,22776000,29307000,29601000,28218000,27246000,26529000,26550000,29423000,31248000,35607000,54843000,49798000,46795000,51440000,49993000
15,EBITDA,19200000,20400000,26300000,30600000,35500000,42100000,32000000,21500000,21700000,32900000,38900000,53200000,-39500000,51900000,35219000,48729000,58534000,59945000,7307000,38745000,48748000,64731000,88023000,109605000,75440000,10523000,32224000,54919000,67589000,95346000,129165000,159383000,170231000,116909000,134643000,78459000,64496000
16,EBITDA ratio,0.0769,0.0731,0.0843,0.0706,0.0602,0.0702,0.0537,0.0376,0.0315,0.0435,0.0447,0.0560,-0.0433,0.0655,0.0419,0.0563,0.0730,0.0777,0.0137,0.0616,0.0700,0.0831,0.0998,0.1184,0.1083,0.0181,0.0486,0.0784,0.0876,0.1021,0.1316,0.1430,0.1284,0.0833,0.0970,0.0637,0.0491
17,Operating Income,17400000,17900000,20300000,24100000,32100000,33300000,25100000,6500000,12200000,24200000,32400000,46500000,40900000,42200000,19418000,31894000,44127000,41694000,7747000,26278000,30217000,47725000,66459000,77655000,45430000,-20972000,3816000,27419000,40285000,63585000,97393000,122225000,114284000,67284000,87848000,25527000,22045000
18,Operating Income ratio,0.0697,0.0641,0.0650,0.0556,0.0544,0.0555,0.0421,0.0114,0.0177,0.0320,0.0372,0.0489,0.0448,0.0532,0.0231,0.0369,0.0550,0.0540,0.0145,0.0418,0.0434,0.0613,0.0754,0.0839,0.0652,-0.0360,0.0058,0.0392,0.0522,0.0681,0.0993,0.1097,0.0862,0.0480,0.0633,0.0207,0.0168
19,Total Other Income Expenses (Gains),-1800000,-1800000,-600000,-2500000,-8700000,-4500000,-9400000,-100000,-5600000,-3300000,-5300000,-7300000,-104400000,-11000000,-13218000,-9694000,-6227000,-5094000,-6247000,-2278000,983000,1075000,-4159000,1051000,570000,172000,-216000,-819000,-485000,1414000,-69000,580000,-4404000,-8622000,-8098000,-2916000,-11028000
20,Income Before Tax,15600000,16100000,19700000,21600000,23400000,28800000,15700000,6400000,6600000,20900000,27100000,39200000,-63500000,31200000,6200000,22200000,37900000,36600000,1500000,24000000,31200000,48800000,62300000,78706000,46000000,-20800000,3600000,26600000,39800000,64999000,97324000,122805000,109880000,58662000,79750000,22611000,11017000
21,Income Before Tax Ratio,0.0625,0.0577,0.0631,0.0498,0.0397,0.0480,0.0263,0.0112,0.0096,0.0276,0.0311,0.0412,-0.0696,0.0394,0.0074,0.0257,0.0472,0.0474,0.0028,0.0382,0.0448,0.0627,0.0707,0.0850,0.0660,-0.0357,0.0054,0.0380,0.0516,0.0696,0.0992,0.1102,0.0829,0.0418,0.0575,0.0184,0.0084
22,Income Tax expense (Gain),7400000,7600000,8100000,8200000,9300000,11800000,7200000,1900000,2600000,8100000,9800000,13800000,-12400000,11700000,3200000,8900000,11700000,10243000,-3128000,7403000,7463000,17147000,19132000,27511000,14745000,-6676000,-1049000,7796000,11780000,14483000,31982000,37015000,30392000,12968000,17836000,7175000,11017000
23,Net Income,8200000,8500000,11600000,13400000,14100000,17000000,8500000,4500000,3800000,13100000,17800000,26200000,-51100000,25200000,12200000,15000000,26100000,29900000,-5600000,16600000,23800000,31700000,48600000,51035000,31700000,-10300000,4600000,19100000,28000000,50516000,65342000,85790000,79488000,45694000,61914000,15436000,3486000
24,Net Income ratio,0.0329,0.0305,0.0372,0.0309,0.0239,0.0284,0.0143,0.0079,0.0055,0.0173,0.0204,0.0276,-0.0560,0.0318,0.0145,0.0173,0.0325,0.0387,-0.0105,0.0264,0.0342,0.0407,0.0551,0.0551,0.0455,-0.0177,0.0069,0.0273,0.0363,0.0541,0.0666,0.0770,0.0599,0.0326,0.0446,0.0125,0.0027
25,EPS,0.31,0.32,0.44,0.50,0.52,0.63,0.32,0.17,0.15,0.48,0.66,0.93,-1.84,0.91,0.44,0.54,0.94,1.09,-0.21,0.61,0.87,1.14,1.71,1.84,1.16,-0.37,0.17,0.68,0.98,1.76,2.25,2.98,2.79,1.64,2.34,0.59,0.13
26,EPS Diluted,0.31,0.32,0.44,0.50,0.52,0.62,0.31,0.17,0.15,0.48,0.66,0.93,-1.84,0.91,0.44,0.54,0.91,1.06,-0.21,0.60,0.85,1.12,1.67,1.81,1.15,-0.37,0.17,0.67,0.95,1.72,2.22,2.97,2.76,1.63,2.32,0.59,0.13
27,Weighted Average Shares Outstanding,26451613,26562500,26363636,26800000,27115385,26984127,26562500,26470588,25333333,27010309,27175573,28172043,27771739,27692308,27746000,27835000,27910000,27521000,27037000,27071000,27407000,27688000,28319000,27746000,27380949,27636840,27740750,27953686,28483251,28762733,29058000,28781000,28534000,27802000,26474000,25955000,25955000
28,Weighted Average Shares Outstanding Diluted,26451613,26562500,26363636,26800000,27115385,27419355,27419355,26470588,25333333,27010309,27175573,28219178,27771739,27692308,27794000,27898000,28817000,28347000,27819000,27716000,28003000,28246000,29054000,28181000,27716147,27636840,28048281,28641050,29373886,29374250,29375000,28893000,28804000,28082000,26729000,26304000,26304000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/6845/000095013194000871/0000950131-94-000871-index.html,https://www.sec.gov/Archives/edgar/data/6845/000095010995002067/0000950109-95-002067-index.html,https://www.sec.gov/Archives/edgar/data/6845/000095013196002553/0000950131-96-002553-index.html,https://www.sec.gov/Archives/edgar/data/6845/000095013197003696/0000950131-97-003696-index.html,https://www.sec.gov/Archives/edgar/data/6845/000104596998000462/0001045969-98-000462-index.html,https://www.sec.gov/Archives/edgar/data/6845/000104596999000418/0001045969-99-000418-index.html,https://www.sec.gov/Archives/edgar/data/6845/000104596900000382/0001045969-00-000382-index.html,https://www.sec.gov/Archives/edgar/data/6845/000104596901500400/0001045969-01-500400-index.html,https://www.sec.gov/Archives/edgar/data/6845/000104596902000715/0001045969-02-000715-index.html,https://www.sec.gov/Archives/edgar/data/6845/000104596903001470/0001045969-03-001470-index.htm,https://www.sec.gov/Archives/edgar/data/6845/000119312504079352/0001193125-04-079352-index.htm,https://www.sec.gov/Archives/edgar/data/6845/000119312505086815/0001193125-05-086815-index.htm,https://www.sec.gov/Archives/edgar/data/6845/000119312506089423/0001193125-06-089423-index.htm,https://www.sec.gov/Archives/edgar/data/6845/000119312507099603/0001193125-07-099603-index.htm,https://www.sec.gov/Archives/edgar/data/6845/000119312508097178/0001193125-08-097178-index.htm,https://www.sec.gov/Archives/edgar/data/6845/000095015209004345/0000950152-09-004345-index.htm,https://www.sec.gov/Archives/edgar/data/6845/000119312510096860/0001193125-10-096860-index.htm,https://www.sec.gov/Archives/edgar/data/6845/000119312511111712/0001193125-11-111712-index.htm,https://www.sec.gov/Archives/edgar/data/6845/000119312512196043/0001193125-12-196043-index.htm,https://www.sec.gov/Archives/edgar/data/6845/000000684513000009/0000006845-13-000009-index.htm,https://www.sec.gov/Archives/edgar/data/6845/000000684514000009/0000006845-14-000009-index.htm,https://www.sec.gov/Archives/edgar/data/6845/000000684515000011/0000006845-15-000011-index.htm,https://www.sec.gov/Archives/edgar/data/6845/000000684516000039/0000006845-16-000039-index.htm,https://www.sec.gov/Archives/edgar/data/6845/000000684517000009/0000006845-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/6845/000000684518000009/0000006845-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/6845/000000684519000012/0000006845-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/6845/000000684520000008/0000006845-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/6845/000000684521000010/0000006845-21-000010-index.htm,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,3500000,2800000,3000000,3000000,12200000,20500000,18700000,8900000,10800000,2900000,7400000,4100000,7900000,1300000,7200000,4700000,15400000,10200000,7800000,6000000,4700000,6200000,12300000,12994000,46900000,24300000,54000000,37800000,28500000,52185000,60470000,19463000,19359000,17087000,14952000,47277000,37583000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16373000,13987000,13732000,17828000,19106000,21751000,14066000,55700000,11200000,11700000,26000000,200000,327000,30173000,548000,423000,- -,- -,- -,- -
33,Cash and Short-Term Investments,3500000,2800000,3000000,3000000,12200000,20500000,18700000,8900000,10800000,2900000,7400000,4100000,7900000,1300000,7200000,4700000,15400000,26573000,21787000,19732000,22528000,25306000,34051000,27060000,102600000,35500000,65700000,63800000,28700000,52512000,90643000,20011000,19782000,17087000,14952000,47277000,37583000
34,Net Receivables,47000000,47100000,58800000,88100000,102700000,96000000,93100000,106400000,144600000,165100000,158400000,205300000,151900000,118200000,125100000,121500000,115200000,115100000,102500000,138700000,147800000,160500000,189400000,154090000,105600000,112500000,108400000,122500000,155900000,180924000,172832000,187483000,213892000,247862000,270388000,205414000,- -
35,Inventory,16800000,17600000,23200000,34100000,37000000,39500000,39500000,40200000,52700000,74200000,80800000,83900000,64200000,68200000,68200000,40400000,36000000,36800000,35500000,34800000,42900000,40800000,46900000,39484000,30500000,32600000,34000000,36100000,48000000,57222000,63386000,73409000,85028000,78344000,71089000,72823000,- -
36,Other Current Assets,3600000,800000,1000000,1700000,2900000,6700000,15100000,13500000,13200000,14600000,12000000,11900000,38200000,17600000,13900000,8600000,8500000,-6973000,-1887000,-6132000,-10128000,-4106000,-11151000,8054000,7900000,33300000,21300000,29400000,10200000,8317000,9932000,16558000,17576000,28605000,25481000,25160000,- -
37,Total Current Assets,70900000,68300000,86000000,126900000,154800000,162700000,166400000,169000000,221300000,256800000,258600000,305200000,262200000,205300000,214400000,175200000,175100000,171500000,157900000,187100000,203100000,222500000,259200000,228688000,246600000,213900000,229400000,251800000,242800000,298975000,336793000,297461000,336278000,371898000,381910000,350674000,37583000
38,PP&E,28000000,39400000,47600000,64700000,69900000,71500000,70600000,66100000,64900000,75000000,78500000,118800000,129900000,180400000,186000000,147600000,128500000,114500000,98500000,100500000,113200000,134300000,176700000,203514000,185500000,179200000,159500000,168900000,193900000,193540000,202462000,246748000,304063000,315823000,377278000,357307000,249995000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55900000,43000000,43400000,43600000,44000000,61000000,58518000,58500000,66300000,61600000,61300000,78000000,75857000,73996000,101334000,180956000,185832000,185516000,130098000,- -
40,Intangible Assets,1800000,3300000,4500000,6000000,5200000,5100000,5600000,4900000,2000000,8400000,10300000,52500000,50500000,55100000,50500000,50100000,49400000,1900000,1400000,5500000,5200000,3900000,20000000,16302000,13600000,19700000,16100000,13700000,26100000,23280000,18943000,105580000,166081000,148235000,140191000,130053000,- -
41,Intangible Assets,1800000,3300000,4500000,6000000,5200000,5100000,5600000,4900000,2000000,8400000,10300000,52500000,50500000,55100000,50500000,50100000,49400000,57800000,44400000,48900000,48800000,47900000,81000000,74820000,72100000,86000000,77700000,75000000,104100000,99137000,92939000,206914000,347037000,334067000,325707000,260151000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,11800000,15000000,28700000,20400000,- -,27800000,25400000,57000000,52200000,- -,- -,- -,- -,- -,- -,20160000,22397000,15709000,7936000,12807000,11273000,10655000,12519000,9041000,8630000,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4600000,9100000,2200000,3500000,7400000,- -,15713000,20733000,21365000,26458000,- -,- -,- -
44,Other Non-Current Assets,1000000,4700000,5400000,10100000,14200000,11000000,6900000,11500000,6200000,6700000,10000000,4100000,21500000,2600000,4900000,2800000,3900000,39000000,34400000,32000000,38900000,44500000,46600000,502000,-4297000,11491000,16364000,8093000,5927000,9750000,-2986000,3761000,4947000,19922000,44096000,46967000,- -
45,Total Non-Current Assets,30800000,47400000,57500000,80800000,89300000,87600000,83100000,82500000,84900000,105100000,127500000,195800000,201900000,265900000,266800000,257500000,234000000,211300000,177300000,181400000,200900000,226700000,304300000,298996000,280300000,301500000,263700000,268300000,322600000,313082000,320647000,487197000,686042000,696270000,747081000,664425000,249995000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1100275000
47,Total Assets,101700000,115700000,143500000,207700000,244100000,250300000,249500000,251500000,306200000,361900000,386100000,501000000,464100000,471200000,481200000,432700000,409100000,382800000,335200000,368500000,404000000,449200000,563500000,527684000,526900000,515400000,493100000,520100000,565400000,612057000,657440000,784658000,1022320000,1068168000,1128991000,1015099000,887863000
48,Accounts Payable,- -,- -,- -,- -,29100000,32500000,33600000,37200000,51500000,53800000,57700000,73300000,44100000,43200000,58000000,59500000,51900000,57100000,38300000,44900000,53500000,59900000,71500000,45022000,37400000,34900000,34000000,34200000,47200000,56516000,64762000,63182000,68416000,72219000,69056000,76204000,- -
49,Short-Term Debt,800000,800000,900000,3900000,800000,700000,4200000,4200000,- -,- -,- -,- -,1700000,- -,- -,- -,- -,540000,308000,150000,- -,- -,- -,- -,- -,987000,108000,10057000,49000,44000,- -,- -,- -,- -,16672000,15251000,1000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4267000,4013000,4698000,5203000,8684000,4452000,5342000,8026000,5952000,7459000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22550000,21355000,22557000,24514000,31890000,28857000,12461000,21478000,32696000,22789000,- -
52,Other Current Liabilities,28500000,36600000,48200000,67900000,65000000,69300000,63200000,58400000,89300000,81900000,84800000,103300000,132000000,72000000,77400000,77900000,75300000,62760000,51992000,74450000,74300000,86000000,105800000,112270000,91500000,78013000,49142000,56588000,66994000,67954000,80729000,94019000,127275000,133815000,158433000,103308000,- -
53,Total Current Liabilities,29300000,37400000,49100000,71800000,94900000,102500000,101000000,99800000,140800000,135700000,142500000,176600000,177800000,115200000,135400000,137400000,127200000,120400000,90600000,119500000,127800000,145900000,177300000,157292000,128900000,113900000,105800000,122200000,136800000,149028000,177381000,186058000,208152000,227512000,276857000,217552000,1000000
54,Long-Term Debt,14200000,12100000,17900000,46300000,41400000,29400000,25300000,28400000,35700000,80600000,79100000,127600000,152000000,165100000,164400000,104200000,69100000,47300000,39700000,35200000,45200000,35400000,58200000,8400000,8400000,21400000,20900000,20800000,20700000,20587000,20400000,65400000,215860000,245724000,212500000,211439000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12559000,- -,- -,- -,- -,15717000,15717000,- -
56,Deferred Tax Liabilities,2800000,3600000,4400000,5800000,6700000,3300000,1900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4254000,- -,- -,2247000,3480000,7403000,10652000,4972000,4025000,4657000,- -,- -,15099000,- -
57,Other Non-Current Liabilities,- -,- -,- -,-100000,5300000,6000000,7500000,11000000,15600000,21000000,25600000,24600000,24700000,60200000,43600000,42800000,41900000,36900000,37400000,35700000,31900000,32200000,43400000,41114000,46000000,52400000,42953000,40320000,47797000,36755000,48492000,58598000,82296000,98615000,107139000,62547000,- -
58,Total Non-Current Liabilities,17000000,15700000,22300000,52000000,53400000,38700000,34700000,39400000,51300000,101600000,104700000,152200000,176700000,225300000,208000000,147000000,111000000,84200000,77100000,70900000,77100000,67600000,101600000,53768000,54400000,73800000,66100000,64600000,75900000,80553000,73864000,128023000,302813000,344339000,335356000,304802000,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,54435000,61690000,- -
61,Total Liabilities,46300000,53100000,71400000,123800000,148300000,141200000,135700000,139200000,192100000,237300000,247200000,328800000,354500000,340500000,343400000,284400000,238200000,204600000,167700000,190400000,204900000,213500000,278900000,211060000,183300000,187700000,171900000,186800000,212700000,229581000,251245000,314081000,510965000,571851000,612213000,522354000,- -
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,4400000,4500000,4500000,9300000,- -,9200000,9200000,9300000,9400000,9100000,9100000,9100000,9300000,9500000,9600000,9260000,9300000,9400000,9400000,9500000,9700000,9683000,9561000,9560000,9386000,9005000,8814000,8571000,- -
64,Retained Earnings,43000000,48900000,58000000,67900000,78600000,90100000,94400000,92100000,91900000,100800000,114000000,129400000,61900000,80200000,84600000,93500000,113400000,120900000,106300000,113600000,125200000,147200000,181800000,209537000,230900000,210200000,203600000,211100000,225400000,256538000,282477000,341996000,373259000,367597000,388010000,357243000,377509000
65,Other Comprehensive Income/Loss,-13200000,-16900000,-21300000,-28600000,-37400000,-46500000,-56300000,-66100000,-76500000,-86700000,-95700000,-2600000,-134200000,-1400000,-1800000,-1600000,-3000000,-4340000,-3683000,-2227000,-4806000,-2128000,-2024000,-25000,-790000,-885000,-4760000,-7081000,-12960000,-22320000,-31371000,-31090000,-24053000,-32127000,-34062000,-28027000,- -
66,Other Total Stockholders Equity,25600000,30600000,35400000,44600000,54600000,65500000,75700000,86300000,94300000,106000000,116100000,36000000,181900000,42700000,45800000,47100000,51100000,52550000,55739000,57607000,69359000,81096000,95206000,97852000,104180000,108962000,112958000,119799000,130490000,138575000,145528000,150111000,152763000,151842000,154016000,154958000,- -
67,Total Stockholders Equity,55400000,62600000,72100000,83900000,95800000,109100000,113800000,112300000,114100000,124600000,138900000,172100000,109600000,130700000,137800000,148300000,170900000,178210000,167456000,178080000,199053000,235668000,284582000,316624000,343590000,327677000,321198000,333318000,352630000,382476000,406195000,470577000,511355000,496317000,516778000,492745000,- -
68,Total Liabilities And Stockholders Equity,101700000,115700000,143500000,207700000,244100000,250300000,249500000,251500000,306200000,361900000,386100000,500900000,464100000,471200000,481200000,432700000,409100000,382810000,335156000,368480000,403953000,449168000,563482000,527684000,526890000,515377000,493098000,520118000,565330000,612057000,657440000,784658000,1022320000,1068168000,1128991000,1015099000,887863000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,-10000,44000,20000,47000,32000,18000,- -,10000,23000,2000,-18000,70000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,101700000,115700000,143500000,207700000,244100000,250300000,249500000,251500000,306200000,361900000,386100000,501000000,464100000,471200000,481200000,432700000,409100000,382800000,335200000,368500000,404000000,449200000,563500000,527684000,526900000,515400000,493100000,520100000,565400000,612057000,657440000,784658000,1022320000,1068168000,1128991000,1015099000,887863000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/6845/000095013194000871/0000950131-94-000871-index.html,https://www.sec.gov/Archives/edgar/data/6845/000095010995002067/0000950109-95-002067-index.html,https://www.sec.gov/Archives/edgar/data/6845/000095013196002553/0000950131-96-002553-index.html,https://www.sec.gov/Archives/edgar/data/6845/000095013197003696/0000950131-97-003696-index.html,https://www.sec.gov/Archives/edgar/data/6845/000104596998000462/0001045969-98-000462-index.html,https://www.sec.gov/Archives/edgar/data/6845/000104596999000418/0001045969-99-000418-index.html,https://www.sec.gov/Archives/edgar/data/6845/000104596900000382/0001045969-00-000382-index.html,https://www.sec.gov/Archives/edgar/data/6845/000104596901500400/0001045969-01-500400-index.html,https://www.sec.gov/Archives/edgar/data/6845/000104596902000715/0001045969-02-000715-index.html,https://www.sec.gov/Archives/edgar/data/6845/000104596903001470/0001045969-03-001470-index.htm,https://www.sec.gov/Archives/edgar/data/6845/000119312504079352/0001193125-04-079352-index.htm,https://www.sec.gov/Archives/edgar/data/6845/000119312505086815/0001193125-05-086815-index.htm,https://www.sec.gov/Archives/edgar/data/6845/000119312506089423/0001193125-06-089423-index.htm,https://www.sec.gov/Archives/edgar/data/6845/000119312507099603/0001193125-07-099603-index.htm,https://www.sec.gov/Archives/edgar/data/6845/000119312508097178/0001193125-08-097178-index.htm,https://www.sec.gov/Archives/edgar/data/6845/000095015209004345/0000950152-09-004345-index.htm,https://www.sec.gov/Archives/edgar/data/6845/000119312510096860/0001193125-10-096860-index.htm,https://www.sec.gov/Archives/edgar/data/6845/000119312511111712/0001193125-11-111712-index.htm,https://www.sec.gov/Archives/edgar/data/6845/000119312512196043/0001193125-12-196043-index.htm,https://www.sec.gov/Archives/edgar/data/6845/000000684513000009/0000006845-13-000009-index.htm,https://www.sec.gov/Archives/edgar/data/6845/000000684514000009/0000006845-14-000009-index.htm,https://www.sec.gov/Archives/edgar/data/6845/000000684515000011/0000006845-15-000011-index.htm,https://www.sec.gov/Archives/edgar/data/6845/000000684516000039/0000006845-16-000039-index.htm,https://www.sec.gov/Archives/edgar/data/6845/000000684517000009/0000006845-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/6845/000000684518000009/0000006845-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/6845/000000684519000012/0000006845-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/6845/000000684520000008/0000006845-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/6845/000000684521000010/0000006845-21-000010-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,14100000,17000000,8500000,4500000,3800000,13100000,17800000,26200000,-51100000,25200000,12200000,15000000,26100000,29900000,-5600000,16600000,23800000,31700000,48600000,51035000,31700000,-10300000,4600000,19100000,28000000,50516000,65342000,85790000,79488000,45694000,61914000,15436000,3486000
74,Depreciation and Amortization,- -,- -,- -,- -,12100000,13300000,16300000,15100000,15700000,15100000,16500000,20500000,24000000,25900000,33019000,34229000,27034000,24271000,19748000,17960000,19965000,18536000,22776000,29307000,29601000,28218000,27246000,26529000,26550000,29423000,31248000,35607000,54843000,49798000,46795000,51440000,49993000
