,https://roic.ai/company/SVT,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,2500000,2600000,2600000,2800000,2900000,3100000,3400000,3100000,3000000,3600000,3700000,3600000,3800000,3800000,4151000,3688000,3613000,3637000,3941000,4445000,4484000,4233000,4735000,5102000,5450000,5637000,5543000,5661000,6278000,6232000,2380000,7491000,8692000,7743000,9313000,8178,11313
11,COGS and Expenses,9300000,10800000,10700000,10700000,11900000,13400000,14200000,12600000,11200000,14900000,15600000,14400000,14600000,15800000,16050000,15847000,16548000,15733000,17008000,20789000,21531000,22995000,28029000,29507000,30418000,28537000,30821000,28077000,29077000,30757000,30021000,36055000,39302000,43515000,52459000,49782,45883
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,200000,- -,200000,300000,200000,- -,100000,100000,400000,400000,300000,- -,300000,- -,390000,271000,196000,160000,161000,235000,266000,255000,178000,84000,74000,65000,52000,41000,47000,70000,73000,77000,107000,125000,180000,187
14,Depreciation and Amortization,200000,200000,200000,300000,300000,300000,300000,400000,300000,500000,700000,600000,700000,600000,921000,646000,588000,660000,669000,655000,679000,617000,551000,552000,564000,664000,686000,660000,640000,652000,718000,823000,885000,1025000,1268000,1442000,1
15,EBITDA,1500000,1700000,1300000,1000000,1400000,1800000,2100000,1900000,1400000,1700000,1400000,2400000,1700000,2400000,-1889000,1768000,1974000,534000,1235000,1979000,3069000,2611000,4044000,5302000,3154000,3786000,4046000,1780000,1915000,-4040000,7516000,3366000,3037000,5367000,4081000,1622062,4200
16,EBITDA ratio,0.1415,0.1382,0.1074,0.0862,0.1077,0.1208,0.1296,0.1348,0.1120,0.1076,0.0848,0.1538,0.1069,0.1364,-0.1169,0.1042,0.1101,0.0342,0.0703,0.0895,0.1327,0.1064,0.1289,0.1552,0.0956,0.1196,0.1184,0.0583,0.0632,-0.1277,0.2046,0.0872,0.0733,0.1121,0.0738,32.5428,0.1036
17,Operating Income,1300000,1500000,1400000,900000,1100000,1500000,2000000,1500000,1300000,900000,900000,1200000,1300000,1800000,115000,1122000,1386000,-126000,566000,1324000,1595000,1553000,3349000,4663000,2590000,3122000,3360000,2395000,1275000,-4692000,6708000,2532000,2142000,4342000,2813000,62,-5325
18,Operating Income ratio,0.1226,0.1220,0.1157,0.0776,0.0846,0.1007,0.1235,0.1064,0.1040,0.0570,0.0545,0.0769,0.0818,0.1023,0.0071,0.0661,0.0773,-0.0081,0.0322,0.0599,0.0690,0.0633,0.1067,0.1365,0.0785,0.0986,0.0983,0.0785,0.0421,-0.1483,0.1826,0.0656,0.0517,0.0907,0.0509,0.0012,-0.1313
19,Total Other Income Expenses (Gains),- -,-200000,-300000,-400000,-300000,-200000,-200000,-100000,-200000,-100000,-600000,300000,-300000,-300000,-1198000,-390000,-271000,-196000,-160000,-161000,560000,175000,-111000,-91000,-84000,-74000,-65000,- -,-41000,-47000,20000,-62000,-67000,-107000,-125000,- -,9337
20,Income Before Tax,1300000,1300000,1100000,500000,800000,1300000,1800000,1400000,1100000,800000,300000,1500000,1000000,1500000,-1083000,732000,1115000,-322000,406000,1163000,2155000,1728000,3238000,4572000,2506000,3048000,3295000,2395000,1234000,-4739000,6728000,2470000,2075000,4235000,2688000,62,4012
21,Income Before Tax Ratio,0.1226,0.1057,0.0909,0.0431,0.0615,0.0872,0.1111,0.0993,0.0880,0.0506,0.0182,0.0962,0.0629,0.0852,-0.0670,0.0431,0.0622,-0.0206,0.0231,0.0526,0.0932,0.0704,0.1032,0.1338,0.0759,0.0963,0.0964,0.0785,0.0407,-0.1498,0.1832,0.0640,0.0501,0.0885,0.0486,0.0012,0.0989
22,Income Tax expense (Gain),600000,600000,500000,200000,200000,400000,700000,400000,400000,300000,100000,600000,400000,600000,-401000,314000,415000,-93000,152000,429000,792000,632000,1186000,1517000,603000,920000,669000,748000,259000,-1613000,2131000,717000,758000,737000,579000,-38,-43
23,Net Income,700000,700000,600000,300000,600000,900000,1100000,1000000,600000,500000,200000,900000,600000,900000,-2409000,418000,700000,-229000,254000,734000,1363000,1096000,2052000,3055000,1903000,2128000,2626000,320000,975000,-3126000,4597000,1753000,1317000,3498000,2109000,100,4055
24,Net Income ratio,0.0660,0.0569,0.0496,0.0259,0.0462,0.0604,0.0679,0.0709,0.0480,0.0316,0.0121,0.0577,0.0377,0.0511,-0.1490,0.0246,0.0390,-0.0147,0.0145,0.0332,0.0589,0.0446,0.0654,0.0894,0.0577,0.0672,0.0768,0.0105,0.0322,-0.0988,0.1252,0.0454,0.0318,0.0731,0.0382,0.0020,0.1000
25,EPS,0.32,0.32,0.34,0.13,0.33,0.50,0.69,0.61,0.39,0.29,0.12,0.52,0.37,0.49,-1.33,0.23,0.37,-0.12,0.13,0.36,0.66,0.55,1.06,1.58,0.98,1.08,1.31,0.15,0.43,-1.38,2.11,0.79,0.58,1.54,0.91,0.04,0.00
26,EPS Diluted,0.32,0.32,0.34,0.13,0.33,0.50,0.69,0.61,0.39,0.29,0.12,0.52,0.36,0.48,-1.33,0.21,0.37,-0.12,0.13,0.35,0.64,0.51,0.96,1.45,0.92,1.01,1.24,0.15,0.43,-1.38,2.03,0.76,0.57,1.49,0.88,0.04,0.00
27,Weighted Average Shares Outstanding,2187500,2187500,1764706,2307692,2653000,2500000,2415000,1555556,1666667,1724138,1661538,1730769,1739130,1836735,1811278,1817391,1891892,1908333,1953846,2038889,2065152,1992727,1935849,1929000,1935000,1964000,1997000,2132000,2266000,2267000,2182000,2215000,2267000,2272000,2330000,2366000,2366000
28,Weighted Average Shares Outstanding Diluted,2187500,2187500,1764706,2307692,2653000,2500000,2415000,1555556,1666667,1724138,1724138,1875000,1739130,1875000,1811278,1990476,1891892,1908333,1953846,2097143,2129688,2149020,2137500,2109000,2069000,2109000,2109000,2147000,2267000,2267000,2264000,2298000,2296000,2353000,2386000,2397000,2397000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/89140/0000950152-96-001820-index.html,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/89140/000111055005000038/0001110550-05-000038-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/89140/000111055008000018/0001110550-08-000018-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/89140/000118811213000741/0001188112-13-000741-index.htm,https://www.sec.gov/Archives/edgar/data/89140/000118811214000753/0001188112-14-000753-index.htm,https://www.sec.gov/Archives/edgar/data/89140/000157104915002130/0001571049-15-002130-index.htm,https://www.sec.gov/Archives/edgar/data/89140/000157104916013245/0001571049-16-013245-index.htm,https://www.sec.gov/Archives/edgar/data/89140/000157104917002449/0001571049-17-002449-index.htm,https://www.sec.gov/Archives/edgar/data/89140/000114420418016698/0001144204-18-016698-index.htm,https://www.sec.gov/Archives/edgar/data/89140/000114420419014021/0001144204-19-014021-index.htm,https://www.sec.gov/Archives/edgar/data/89140/000110465920040339/0001104659-20-040339-index.htm,https://www.sec.gov/Archives/edgar/data/89140/000110465921047154/0001104659-21-047154-index.htm,https://www.sec.gov/Archives/edgar/data/89140/000141057822000760/0001410578-22-000760-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,600000,1400000,1200000,1000000,794000,659000,720000,679000,1506000,2106000,4637000,4104000,4879000,4709000,3825000,4447000,4948000,5573000,4502000,4166000,3268000,3515000,4707000,2598000,2029000,5935,9546
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,495000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,600000,1400000,1200000,1000000,794000,659000,720000,679000,1506000,2106000,4637000,4104000,4879000,4709000,4320000,4447000,4948000,5573000,4502000,4166000,3268000,3515000,4707000,2598000,2029000,5935,9546
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2500000,2700000,2200000,2200000,2807000,2479000,2699000,2633000,2488000,3334000,3775000,4226000,4570000,5006000,4086000,5427000,6031000,4858000,4990000,6022000,6838000,7439000,8424000,10586000,13183000,7636,7198
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6700000,7200000,8000000,9000000,6168000,6407000,7039000,6763000,6810000,6841000,6558000,6861000,8011000,10160000,11526000,11032000,11607000,11213000,11929000,12040000,12487000,13293000,12791000,15150000,20151000,23406,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1700000,1700000,2100000,1900000,3505000,2337000,2647000,1999000,2027000,2015000,1321000,1108000,983000,965000,1195000,1145000,1392000,1348000,1368000,3262000,1658000,1721000,249000,810000,938000,866,21571
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11500000,13000000,13500000,14100000,13274000,11882000,13105000,12074000,12831000,14296000,16291000,16299000,18443000,20840000,21127000,22051000,23978000,22992000,22789000,25490000,24251000,25968000,26171000,29144000,36301000,37843,38315
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7700000,7400000,7400000,7200000,7128000,7340000,7024000,7080000,6560000,6527000,6270000,5940000,5870000,5838000,6307000,6159000,6103000,5946000,6860000,9375000,9755000,9937000,11021000,11875000,12717000,- -,10557
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,409000,295000,107000,- -,900
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,400000,400000,700000,613000,600000,566000,575000,550000,537000,648000,399000,218000,207000,200000,296000,342000,365000,354000,380000,368000,376000,385000,371000,345000,- -,321
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8200000,7800000,7800000,7900000,7741000,7940000,7590000,7655000,7110000,7064000,6918000,6339000,6088000,6045000,6507000,6455000,6445000,6311000,7214000,9755000,10123000,10313000,11815000,12541000,13169000,- -,11778
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12485,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19700000,20800000,21300000,22000000,21015000,19822000,20695000,19729000,19941000,21360000,23209000,22638000,24531000,26885000,27634000,28506000,30423000,29303000,30003000,35245000,34374000,36281000,37986000,41685000,49470000,50328,50093
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,1000000,1000000,900000,1146000,564000,860000,418000,549000,795000,890000,1205000,1419000,2393000,1115000,1247000,1451000,1051000,1216000,1345000,1518000,2080000,1377000,2494000,4458000,1599,663
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,200000,400000,200000,894000,393000,548000,378000,463000,381000,382000,384000,387000,539000,400000,404000,283000,192000,2641000,548000,548000,548000,681000,723000,849000,2635000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31000,- -,- -,414000,- -,- -,- -,792
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,137,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,800000,1300000,1100000,1100000,1131000,936000,1278000,1104000,907000,1024000,1724000,1456000,2065000,1681000,1914000,1562000,1761000,1811000,1909000,7845000,2226000,2371000,3806000,2786000,3335000,-2629967,3585
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000000,2500000,2500000,2200000,3171000,1893000,2686000,1900000,1919000,2200000,2996000,3045000,3871000,4613000,3429000,3213000,3495000,3054000,5766000,9738000,4292000,4999000,5864000,6003000,8642000,6769,4248
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6900000,6600000,6400000,6100000,6488000,6100000,5552000,5674000,5211000,5400000,5016000,4630000,4242000,3702000,3876000,3472000,3188000,2663000,21000,4072000,3524000,2976000,2950000,2410000,5170000,2334,4750
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,518000,455000,384000,213000,358000,434000,386000,515000,412000,501000,515000,509000,496000,320000,482000,555000,645000,661000,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,700000,600000,600000,400000,227000,215000,248000,269000,244000,304000,386000,- -,- -,- -,- -,- -,- -,- -,- -,- -,471000,528000,1007000,1759000,2126000,- -,5729
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7600000,7200000,7000000,7000000,7233000,6770000,6184000,6156000,5813000,6138000,5788000,5145000,4654000,4203000,4391000,3981000,3684000,2983000,503000,4627000,4640000,4165000,3957000,4169000,7296000,2334,10479
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12156,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,574000,495000,414000,- -,- -,- -,- -,- -,133000,175000,301000,301000,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9600000,9700000,9500000,9200000,10404000,8663000,8870000,8056000,7732000,8338000,8784000,8190000,8525000,8816000,7820000,7194000,7179000,6037000,6269000,14365000,8932000,9164000,9821000,10172000,15938000,16591,14727
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,523000,523000,523000,523000,523000,523000,523000,523000,523000,523000,523000,523000,523000,523000,523000,523000,523000,523000,523000,523000,523000,523,523
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1400000,1500000,2100000,2900000,411000,794000,1491000,1262000,1516000,2246000,3609000,4703000,6753000,8680000,10248000,11467000,12490000,11771000,12302000,9176000,13395000,14768000,15709000,18788000,20484000,21803,25858
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5800000,-6100000,-6800000,-7400000,-8089000,-8735000,-9324000,-2419000,-2343000,-2260000,-2220000,-2211000,-1899000,-98000,-61000,-78000,-67000,-85000,-26000,-14000,-3000,-20000,-32000,35000,98000,-1356000,-3908
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14500000,15700000,16500000,17300000,17766000,18577000,19135000,12307000,12513000,12513000,12513000,11433000,10629000,- -,- -,- -,- -,11057000,10935000,11195000,11527000,11846000,11965000,12167000,12427000,35070674,12893
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10100000,11100000,11800000,12800000,10611000,11159000,11825000,11673000,12209000,13022000,14425000,14448000,16006000,18069000,19814000,21312000,23244000,23266000,23734000,20880000,25442000,27117000,28165000,31513000,33532000,33737000,35366
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19700000,20800000,21300000,22000000,21015000,19822000,20695000,19729000,19941000,21360000,23209000,22638000,24531000,26885000,27634000,28506000,30423000,29303000,30003000,35245000,34374000,36281000,37986000,41685000,49470000,33753591,50093
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-33703263,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19700000,20800000,21300000,22000000,21015000,19822000,20695000,19729000,19941000,21360000,23209000,22638000,24531000,26885000,27634000,28506000,30423000,29303000,30003000,35245000,34374000,36281000,37986000,41685000,49470000,50328,50093
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/89140/0000950152-96-001820-index.html,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/89140/000111055005000038/0001110550-05-000038-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/89140/000111055008000018/0001110550-08-000018-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/89140/000118811213000741/0001188112-13-000741-index.htm,https://www.sec.gov/Archives/edgar/data/89140/000118811214000753/0001188112-14-000753-index.htm,https://www.sec.gov/Archives/edgar/data/89140/000157104915002130/0001571049-15-002130-index.htm,https://www.sec.gov/Archives/edgar/data/89140/000157104916013245/0001571049-16-013245-index.htm,https://www.sec.gov/Archives/edgar/data/89140/000157104917002449/0001571049-17-002449-index.htm,https://www.sec.gov/Archives/edgar/data/89140/000114420418016698/0001144204-18-016698-index.htm,https://www.sec.gov/Archives/edgar/data/89140/000114420419014021/0001144204-19-014021-index.htm,https://www.sec.gov/Archives/edgar/data/89140/000110465920040339/0001104659-20-040339-index.htm,https://www.sec.gov/Archives/edgar/data/89140/000110465921047154/0001104659-21-047154-index.htm,https://www.sec.gov/Archives/edgar/data/89140/000141057822000760/0001410578-22-000760-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,700000,700000,- -,300000,600000,900000,1100000,1000000,600000,500000,200000,900000,600000,900000,-2409000,418000,700000,-229000,254000,734000,1363000,1096000,2052000,3055000,1903000,2128000,2626000,320000,975000,-3126000,4597000,1753000,1317000,3498000,2109000,100,4
74,Depreciation and Amortization,200000,200000,- -,300000,300000,300000,300000,400000,300000,500000,700000,600000,700000,600000,921000,646000,588000,660000,669000,655000,679000,617000,551000,552000,564000,664000,686000,660000,640000,652000,718000,823000,885000,1025000,1268000,1442000,1
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,- -,-200000,-100000,100000,-892000,513000,369000,-97000,184000,-16000,-39000,-124000,245000,37000,-70000,-23000,-206000,-73000,41000,-1993000,1741000,27000,82000,114000,188000,-30000,-0
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,255000,361000,361000,479000,213000,276000,316000,339000,0
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9500000,1000000,500000,900000,-1797000,-114000,430000,-245000,738000,1184000,1199000,-41000,1318000,1655000,1471000,1140000,1645000,-545000,-2915000,-1271000,4207000,1010000,-662000,2834000,4518000,-27627926,2993
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-436000,920000,-1340000,-604000,1144000,-124000,-976000,-838000,-590000,-1062000,-2183000,-2764000,5696000,0
79,Inventory,- -,- -,- -,- -,- -,500000,-100000,-700000,-1100000,-200000,-400000,-500000,-800000,-1000000,76000,-239000,-632000,276000,-47000,-31000,283000,-303000,-1150000,-2149000,-1366000,494000,-697000,-1109000,-652000,-651000,-622000,-890000,414000,-2464000,-4895000,-3538000,0
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,974000,-1278000,132000,- -,-400000,165000,129000,173000,545000,-703000,1117000,1964000,-2859000,-1
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9500000,10500000,11000000,11900000,10103000,9989000,10419000,10174000,10912000,12096000,13295000,13254000,14572000,16227000,17698000,18838000,20483000,19938000,17023000,15752000,19959000,20969000,20307000,23141000,27659000,31074,34067
82,Other Non-Cash Items,-900000,-900000,- -,-600000,-900000,500000,800000,-1100000,300000,-2100000,-10200000,-2100000,-1200000,-1800000,3759000,122000,-1461000,835000,-492000,-1442000,132000,-495000,-1716000,-3130000,-2916000,-1977000,-2149000,1333000,2590000,6439000,-10393000,-1651000,1817000,-6914000,-9019000,26702826,-2994
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,1700000,2200000,300000,1200000,-900000,200000,200000,500000,700000,-418000,1585000,626000,924000,1353000,1115000,3334000,1053000,2450000,2169000,952000,1932000,2602000,1695000,1586000,1062000,1231000,2441000,3652000,833000,-620000,826000,5
84,CAPEX,- -,- -,- -,- -,- -,-400000,-300000,-600000,-500000,-1600000,-100000,-400000,-700000,-500000,-841000,-858000,-273000,-717000,-148000,-622000,-421000,-282000,-485000,-510000,-446000,-492000,-608000,-885000,-1563000,-3154000,-1132000,-991000,-2176000,-1866000,-2271000,-729000,-0
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,650000,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-495000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,480000,495000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,-100000,- -,-4600000,- -,- -,1200000,- -,- -,- -,- -,-99000,- -,- -,- -,- -,- -,- -,-510000,-446000,- -,- -,- -,-1520000,- -,33000,-991000,180000,-1866000,-2271000,-729000,0
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-400000,-400000,-600000,-5100000,-1600000,-100000,800000,-700000,-500000,-841000,-858000,-372000,-717000,-148000,-622000,-421000,-282000,-485000,-510000,-461000,3000,-608000,-235000,-1520000,-3154000,-1099000,-991000,-1996000,-1866000,-2271000,-729000,0
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-387000,-553000,-404000,-404000,-243000,-194000,-2662000,-548000,-548000,-561000,-708000,-833000,-841000,-1
