,https://roic.ai/company/COLM,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7600000,2088000,- -,1274000,379000,503000,1004000,1531000,2003000,4515000,9876000,8302000,435000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63000,- -,- -,- -,- -,- -,1053000,1099000,1041000,429000,- -,- -,- -,- -
14,Depreciation and Amortization,7500000,7600000,12600000,13648000,17423000,19367000,23065000,18628000,23546000,23547000,30338000,31158000,36253000,38430000,43560000,40892000,40871000,54017000,56521000,60016000,59945000,58230000,121725000,146601000,115571000
15,EBITDA,48200000,59300000,67800000,105803000,163036000,183396000,213734000,233549000,214401000,208882000,238365000,157464000,126103000,143321000,181240000,174799000,173035000,248905000,299425000,311414000,319916000,412255000,527154000,286124000,567082000
16,EBITDA ratio,0.1364,0.1388,0.1441,0.1721,0.2091,0.2247,0.2246,0.2132,0.1855,0.1622,0.1758,0.1195,0.1014,0.0966,0.1070,0.1047,0.1027,0.1185,0.1287,0.1310,0.1297,0.1471,0.1733,0.1144,0.1814
17,Operating Income,44400000,55800000,60100000,96393000,148181000,163675000,190189000,211428000,185966000,179773000,199139000,118706000,87762000,103327000,136406000,133528000,131794000,198844000,249721000,256508000,262969000,350982000,394971000,137049000,450504000
18,Operating Income ratio,0.1256,0.1306,0.1277,0.1568,0.1901,0.2005,0.1998,0.1930,0.1609,0.1396,0.1469,0.0901,0.0705,0.0696,0.0805,0.0800,0.0782,0.0947,0.1074,0.1079,0.1066,0.1252,0.1298,0.0548,0.1441
19,Total Other Income Expenses (Gains),-3700000,-4100000,-4900000,-4238000,-2568000,354000,480000,3493000,4889000,5562000,8888000,7537000,2088000,1564000,1274000,379000,-368000,-323000,-2402000,390000,3765000,9735000,10458000,2474000,1007000
20,Income Before Tax,40700000,51700000,55200000,92155000,145613000,164029000,190669000,214921000,190855000,185335000,208027000,126243000,89850000,104891000,137680000,133907000,131426000,198521000,247319000,256898000,266734000,360717000,405429000,139523000,451511000
21,Income Before Tax Ratio,0.1151,0.1210,0.1173,0.1499,0.1868,0.2009,0.2003,0.1962,0.1651,0.1439,0.1534,0.0958,0.0722,0.0707,0.0813,0.0802,0.0780,0.0945,0.1063,0.1081,0.1082,0.1287,0.1333,0.0558,0.1444
22,Income Tax expense (Gain),1400000,19000000,22200000,33544000,56789000,61511000,70548000,76297000,60119000,62317000,63575000,31196000,22829000,27854000,34201000,34048000,37823000,56662000,67468000,58459000,154419000,85769000,74940000,31510000,97403000
23,Net Income,39300000,32700000,33000000,58611000,88824000,102518000,120121000,138624000,130736000,123018000,144452000,95047000,67021000,77037000,103479000,99859000,94341000,137173000,174337000,191898000,105123000,268256000,330489000,108013000,354108000
24,Net Income ratio,0.1112,0.0765,0.0701,0.0953,0.1139,0.1256,0.1262,0.1266,0.1131,0.0955,0.1065,0.0721,0.0539,0.0519,0.0611,0.0598,0.0560,0.0653,0.0749,0.0807,0.0426,0.0957,0.1086,0.0432,0.1133
25,EPS,0.70,0.46,0.43,0.76,1.14,1.30,1.50,1.72,1.70,1.70,2.00,1.38,0.99,1.14,1.53,1.48,1.37,1.97,2.48,2.75,1.51,3.85,4.87,1.63,5.37
26,EPS Diluted,0.69,0.45,0.43,0.74,1.11,1.28,1.48,1.70,1.68,1.68,1.98,1.37,0.98,1.13,1.51,1.47,1.36,1.94,2.45,2.72,1.49,3.81,4.83,1.62,5.33
27,Weighted Average Shares Outstanding,56383292,71193000,75993000,77082000,78102000,78898000,79906000,80532000,77098000,72490000,72212000,69220000,67692000,67450000,67616000,67680000,68756000,69807000,70162000,69683000,69759000,69614000,67837000,66376000,65942000
28,Weighted Average Shares Outstanding Diluted,57204408,72174000,76824000,79215000,79680000,80126000,81182000,81624000,77886000,73288000,72868000,69422000,67962000,68184000,68408000,68264000,69434000,70681000,71064000,70632000,70453000,70401000,68493000,66772000,66415000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1050797/000089387799000199/0000893877-99-000199-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1050797/000089102002000360/0000891020-02-000360-index.html,https://www.sec.gov/Archives/edgar/data/1050797/000103221003000378/0001032210-03-000378-index.htm,https://www.sec.gov/Archives/edgar/data/1050797/000119312504033852/0001193125-04-033852-index.htm,https://www.sec.gov/Archives/edgar/data/1050797/000119312505045548/0001193125-05-045548-index.htm,https://www.sec.gov/Archives/edgar/data/1050797/000119312506053693/0001193125-06-053693-index.htm,https://www.sec.gov/Archives/edgar/data/1050797/000119312507047296/0001193125-07-047296-index.htm,https://www.sec.gov/Archives/edgar/data/1050797/000119312508041576/0001193125-08-041576-index.htm,https://www.sec.gov/Archives/edgar/data/1050797/000119312509041147/0001193125-09-041147-index.htm,https://www.sec.gov/Archives/edgar/data/1050797/000119312510055208/0001193125-10-055208-index.htm,https://www.sec.gov/Archives/edgar/data/1050797/000119312511063776/0001193125-11-063776-index.htm,https://www.sec.gov/Archives/edgar/data/1050797/000119312512085007/0001193125-12-085007-index.htm,https://www.sec.gov/Archives/edgar/data/1050797/000105079713000003/0001050797-13-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1050797/000105079714000002/0001050797-14-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1050797/000105079715000002/0001050797-15-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1050797/000105079716000020/0001050797-16-000020-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1050797/000105079718000004/0001050797-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1050797/000105079719000007/0001050797-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1050797/000105079720000012/0001050797-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1050797/000105079721000014/0001050797-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1050797/000105079722000012/0001050797-22-000012-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,4000000,6800000,14600000,35464000,79082000,194670000,264585000,130023000,101091000,64880000,191950000,230617000,386664000,234257000,241034000,290781000,437489000,413558000,369770000,551389000,673166000,437825000,686009000,790725000,763404000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,160205000,159075000,155170000,81598000,22433000,22759000,68812000,2878000,44661000,91755000,27267000,629000,472000,94983000,262802000,1668000,1224000,131145000
33,Cash and Short-Term Investments,4000000,6800000,14600000,35464000,79082000,194670000,264585000,290228000,260166000,220050000,273548000,253050000,409423000,303069000,243912000,335442000,529244000,440825000,370399000,551861000,768149000,700627000,687677000,791949000,894549000
34,Net Receivables,76100000,106000000,118700000,129539000,155252000,154099000,206024000,267653000,287403000,285942000,300506000,299585000,226548000,300181000,351538000,334324000,306878000,344390000,371953000,333678000,364862000,449382000,488233000,452945000,487803000
35,Inventory,48300000,74100000,86500000,105288000,114889000,94862000,126808000,165426000,185870000,212323000,265874000,256312000,222161000,314298000,365199000,363325000,329228000,384650000,473637000,487997000,457927000,521827000,605968000,556530000,645379000
36,Other Current Assets,2400000,11300000,14200000,18957000,17538000,16846000,23470000,32726000,32825000,39453000,45736000,63572000,63580000,73332000,88877000,89512000,85122000,96176000,33400000,38487000,58559000,93470000,93868000,54197000,86306000
37,Total Current Assets,130800000,198200000,234000000,289248000,366761000,460477000,620887000,756033000,766264000,757768000,885664000,872519000,921712000,990880000,1049526000,1122603000,1250472000,1266041000,1249389000,1412023000,1649497000,1765306000,1875746000,1855621000,2114037000
38,PP&E,35200000,68700000,69000000,76662000,100672000,124515000,126247000,155013000,165752000,199426000,210450000,229693000,235440000,221813000,250910000,260524000,279373000,291563000,291687000,279650000,281394000,291596000,741152000,649036000,622016000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,17498000,17273000,12659000,12659000,14470000,14438000,14438000,14438000,68594000,68594000,68594000,68594000,68594000,68594000,68594000,68594000
40,Intangible Assets,8400000,2600000,2000000,9176000,7534000,7825000,36632000,38398000,38762000,52681000,53094000,33365000,43072000,40423000,39020000,37618000,36288000,143731000,138584000,133438000,129555000,126575000,123595000,103558000,101908000
41,Intangible Assets,8400000,2600000,2000000,9176000,7534000,7825000,36632000,38398000,38762000,70179000,70367000,46024000,55731000,54893000,53458000,52056000,50726000,212325000,207178000,202032000,198149000,195169000,192189000,172152000,170502000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,76181000,92494000,56804000,78155000,78849000,96126000,92121000
44,Other Non-Current Assets,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27168000,28648000,23659000,25017000,22280000,21718000,27695000,27058000,38495000,43655000,63636000,68452000
45,Total Non-Current Assets,43700000,71300000,71000000,85838000,108206000,132340000,162879000,193411000,204514000,269605000,280817000,275717000,291171000,303874000,333016000,336239000,355116000,526168000,596764000,601871000,563405000,603415000,1055845000,980950000,953091000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,174500000,269500000,305000000,375086000,474967000,592817000,783766000,949444000,970778000,1027373000,1166481000,1148236000,1212883000,1294754000,1382542000,1458842000,1605588000,1792209000,1846153000,2013894000,2212902000,2368721000,2931591000,2836571000,3067128000
48,Accounts Payable,21800000,37500000,36800000,45047000,32068000,49370000,62432000,78309000,91390000,88107000,95412000,104354000,102494000,130626000,148973000,142240000,173557000,214275000,217230000,215048000,252301000,274435000,255372000,206697000,283349000
49,Short-Term Debt,20600000,34900000,32000000,24295000,4775000,14333000,4596000,5216000,46879000,3783000,- -,- -,- -,- -,- -,156000,- -,- -,1940000,- -,- -,- -,64019000,65466000,67429000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8718000,6884000,16037000,12579000,4406000,7251000,14388000,5038000,5645000,19107000,22763000,15801000,38183000,13127000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,96126000,- -
52,Other Current Liabilities,18700000,16300000,21100000,28294000,58959000,35146000,51858000,63371000,74044000,96850000,71119000,68835000,76793000,121000000,118029000,109663000,127697000,158845000,146900000,147803000,201335000,298447000,311524000,184333000,329612000
53,Total Current Liabilities,61100000,88700000,89900000,97636000,95802000,98849000,118886000,146896000,212313000,188740000,166531000,173189000,179287000,251626000,267002000,252059000,301254000,373120000,366070000,362851000,453636000,572882000,630915000,552622000,680390000
54,Long-Term Debt,2800000,27300000,26700000,26000000,25047000,20636000,16335000,12636000,7414000,136000,- -,- -,- -,- -,40995000,- -,- -,15728000,15030000,14053000,- -,- -,- -,353181000,317666000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,4000000,2461000,729000,613000,7716000,9662000,8261000,7794000,8968000,- -,1494000,- -,1753000,1807000,7959000,3304000,229000,147000,168000,9521000,6361000,5205000,- -
57,Other Non-Current Liabilities,100000,4100000,- -,- -,- -,- -,- -,- -,- -,- -,20861000,30957000,34874000,41154000,-1753000,38809000,43511000,44823000,49011000,55332000,106839000,96005000,444868000,92792000,79820000
58,Total Non-Current Liabilities,2900000,31400000,30700000,28461000,25776000,21249000,24051000,22298000,15675000,7930000,29829000,30957000,36368000,41154000,40995000,40616000,51470000,63855000,64270000,69532000,107007000,105526000,451229000,451178000,397486000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,435526000,418647000,385095000
61,Total Liabilities,64000000,120100000,120600000,126097000,121578000,120098000,142937000,169194000,227988000,196670000,196360000,204146000,215655000,292780000,307997000,292675000,352724000,436975000,430340000,432383000,560643000,678408000,1082144000,1003800000,1077876000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,126300000,133736000,149473000,159996000,182188000,164317000,13104000,- -,- -,- -,- -,- -,- -,24814000,52325000,72700000,34776000,53801000,45829000,- -,4937000,20165000,- -
64,Retained Earnings,101800000,32300000,65300000,123901000,212725000,315243000,435364000,573988000,704724000,771939000,895476000,909443000,952948000,950207000,1024611000,1094690000,1157733000,1255070000,1385860000,1529636000,1585009000,1677920000,1848935000,1811800000,- -
65,Other Comprehensive Income/Loss,-22200000,-22200000,-38200000,-48322000,-55365000,-2520000,23277000,41945000,24962000,34394000,57641000,33166000,43444000,46715000,46897000,46663000,35360000,15833000,-20836000,-22617000,-8887000,-4063000,-4425000,806000,-4376000
66,Other Total Stockholders Equity,30900000,139300000,31000000,39674000,46556000,- -,- -,- -,- -,24764000,16645000,1647000,1280000,4767000,2934000,- -,- -,- -,- -,- -,- -,16393000,- -,- -,- -
67,Total Stockholders Equity,110500000,149400000,184400000,248989000,353389000,472719000,640829000,780250000,742790000,830703000,970121000,944090000,997228000,1001974000,1074545000,1166167000,1245418000,1343603000,1399800000,1560820000,1621951000,1673857000,1849447000,1832771000,1989252000
68,Total Liabilities And Stockholders Equity,174500000,269500000,305000000,375086000,474967000,592817000,783766000,949444000,970778000,1027373000,1166481000,1148236000,1212883000,1294754000,1382542000,1458842000,1598142000,1780578000,1830140000,1993203000,2182594000,2352265000,2931591000,2836571000,3067128000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7446000,11631000,16013000,20691000,30308000,16456000,- -,- -,- -
70,Total Liabilities & Equity,174500000,269500000,305000000,375086000,474967000,592817000,783766000,949444000,970778000,1027373000,1166481000,1148236000,1212883000,1294754000,1382542000,1458842000,1605588000,1792209000,1846153000,2013894000,2212902000,2368721000,2931591000,2836571000,3067128000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1050797/000089387799000199/0000893877-99-000199-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1050797/000089102002000360/0000891020-02-000360-index.html,https://www.sec.gov/Archives/edgar/data/1050797/000103221003000378/0001032210-03-000378-index.htm,https://www.sec.gov/Archives/edgar/data/1050797/000119312504033852/0001193125-04-033852-index.htm,https://www.sec.gov/Archives/edgar/data/1050797/000119312505045548/0001193125-05-045548-index.htm,https://www.sec.gov/Archives/edgar/data/1050797/000119312506053693/0001193125-06-053693-index.htm,https://www.sec.gov/Archives/edgar/data/1050797/000119312507047296/0001193125-07-047296-index.htm,https://www.sec.gov/Archives/edgar/data/1050797/000119312508041576/0001193125-08-041576-index.htm,https://www.sec.gov/Archives/edgar/data/1050797/000119312509041147/0001193125-09-041147-index.htm,https://www.sec.gov/Archives/edgar/data/1050797/000119312510055208/0001193125-10-055208-index.htm,https://www.sec.gov/Archives/edgar/data/1050797/000119312511063776/0001193125-11-063776-index.htm,https://www.sec.gov/Archives/edgar/data/1050797/000119312512085007/0001193125-12-085007-index.htm,https://www.sec.gov/Archives/edgar/data/1050797/000105079713000003/0001050797-13-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1050797/000105079714000002/0001050797-14-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1050797/000105079715000002/0001050797-15-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1050797/000105079716000020/0001050797-16-000020-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1050797/000105079718000004/0001050797-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1050797/000105079719000007/0001050797-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1050797/000105079720000012/0001050797-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1050797/000105079721000014/0001050797-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1050797/000105079722000012/0001050797-22-000012-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,39300000,32700000,33000000,58611000,88824000,102518000,120121000,138624000,130736000,123018000,144452000,95047000,67021000,77037000,103479000,99859000,94341000,137173000,174337000,191898000,105123000,268256000,330489000,108013000,354108000
74,Depreciation and Amortization,7500000,7600000,12600000,13648000,17423000,19367000,23065000,18628000,23546000,23547000,30338000,31158000,36253000,38430000,43560000,40892000,40871000,54017000,56521000,60016000,59945000,58230000,121725000,146601000,115571000
75,Deferred Income Tax,- -,-4800000,-3000000,-3076000,-2075000,2895000,-4002000,-2584000,-1385000,-5674000,-3093000,-10338000,55000,-22610000,-3582000,7140000,8818000,-6978000,-11709000,-19178000,44851000,1462000,-1808000,-11263000,-9798000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6302000,6353000,6730000,7870000,7833000,8878000,11120000,11672000,10986000,11286000,14291000,17832000,17778000,19126000
77,Change in Working Capital,-28900000,39800000,34600000,47512000,79347000,90669000,140373000,107136000,-55186000,15077000,150105000,-19803000,43095000,-3171000,43270000,88020000,78674000,-56297000,-9602000,165853000,146689000,-3437000,52407000,58168000,-115076000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9689000,77490000,-69500000,-54334000,18166000,27442000,-31478000,-40419000,36710000,-24197000,-25601000,-37537000,22885000,-31622000
79,Inventory,-14700000,-24400000,-11800000,-20520000,-11738000,23001000,-16635000,-32908000,-22873000,-15448000,-46010000,4507000,38831000,-87265000,-55223000,2951000,34089000,-62086000,-103296000,-18777000,46662000,-94716000,-84058000,64884000,-100261000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8944000,-16944000,26028000,19081000,-12330000,31711000,41941000,11418000,1483000,30568000,19384000,-10419000,-49275000,75513000
81,Other Working Capital,69700000,109500000,144100000,191612000,270959000,361628000,502001000,609137000,553951000,569028000,719133000,699330000,742425000,739254000,782524000,870544000,949218000,892921000,883319000,1049172000,1195861000,1192424000,1244831000,1302999000,-85176000
82,Other Non-Cash Items,1000000,-74900000,-53700000,-64498000,-115243000,-46898000,-158458000,-168106000,37506000,1144000,-197280000,42564000,61595000,-72899000,-130801000,-95076000,42693000,46748000,-126114000,-134408000,-26766000,-49233000,-235193000,-43220000,-9525000
83,Cash Provided by Operating Activities,18900000,400000,23500000,52197000,68276000,168551000,121099000,93698000,135217000,157112000,124522000,144930000,214372000,23517000,63796000,148668000,274275000,185783000,95105000,275167000,341128000,289569000,285452000,276077000,354406000
84,CAPEX,-14800000,-40400000,-12600000,-21233000,-39727000,-38023000,-17118000,-44490000,-36542000,-50909000,-34289000,-47580000,-33074000,-28838000,-78404000,-50491000,-69443000,-60283000,-69917000,-49987000,-53352000,-65622000,-123516000,-28758000,-34744000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-35377000,- -,- -,- -,-16315000,- -,- -,- -,-188467000,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-29865000,-679195000,-223820000,-346615000,-305769000,-72337000,-25305000,-81671000,-46349000,-83969000,-125390000,-48243000,-38208000,-21263000,-130993000,-518755000,-136257000,-35044000,-130191000
87,Sales/Maturities of Investments,800000,- -,- -,- -,- -,- -,- -,679440000,224950000,350520000,379460000,131565000,25163000,35601000,112070000,42319000,78636000,112895000,64980000,21263000,36282000,352127000,400501000,36631000,1184000
88,Other Investing Activites,- -,200000,- -,-7531000,64000,52000,103000,610000,-2114000,1247000,2143000,-47528000,-33043000,-28796000,-78236000,-43392000,-69332000,-60212000,-69773000,-49890000,-53073000,-65603000,-123516000,-28758000,-34744000
89,Cash Used for Investing Activites,-14000000,-40200000,-12600000,-28764000,-39663000,-37971000,-46880000,-43635000,-37526000,-81134000,41545000,11700000,-33185000,-91181000,-12515000,-85042000,-116086000,-184027000,-43001000,-49890000,-147784000,-232231000,140728000,-27171000,-163751000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-33748000,-57592000,-31680000,-119384000,-100498000,-69292000,-52205000,-51479000,-64825000,-17610000,-70576000,-78186000,-403146000,-38156000
91,Common Stock Issued,- -,107200000,900000,4885000,8223000,6924000,16072000,18362000,10770000,21712000,14162000,3488000,86000,6480000,10991000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-498000,-43061000,-165767000,-75490000,-31819000,-83865000,-7399000,-13838000,-20000000,-206000,- -,-15000000,-70068000,-11000,-35542000,-201600000,-121702000,-132889000,-165415000
93,Dividends Paid,-12800000,-102400000,- -,- -,- -,- -,- -,- -,- -,-5026000,-20915000,-22098000,-22331000,-75439000,-29075000,-29780000,-31298000,-39836000,-43547000,-48122000,-50909000,-62664000,-65127000,-17195000,-68623000
94,Other Financing Activites,9200000,37800000,-3700000,-6562000,7221000,-21980000,-20863000,-4588000,34185000,-54557000,-1836000,33799000,57629000,32178000,118238000,114784000,95914000,92491000,73849000,70935000,19658000,64826000,74293000,401530000,61305000
95,Cash Used/Provided by Financing Activities,-3600000,42600000,-2800000,-1677000,15444000,-15056000,-5289000,-29287000,-120812000,-113361000,-40408000,-102424000,-29607000,-82299000,-39230000,-15700000,-4676000,-14550000,-91245000,-42023000,-84403000,-270014000,-190722000,-151700000,-210889000
96,Effect of Forex Changes on Cash,-600000,- -,-200000,-914000,-439000,64000,985000,5112000,-5811000,1172000,1411000,-15539000,4467000,-2444000,-5274000,1821000,-6805000,-11137000,-4647000,-1635000,12836000,-8695000,-1244000,7510000,-7087000
97,Net Change In Cash,-3600000,42600000,7800000,20842000,43618000,115588000,69915000,25888000,-28932000,-36211000,127070000,38667000,156047000,-152407000,6777000,49747000,146708000,-23931000,-43788000,181619000,121777000,-221371000,234214000,104716000,-27321000
98,Cash at the End of Period,- -,- -,14600000,35464000,79082000,194670000,264585000,130023000,101091000,64880000,191950000,230617000,386664000,234257000,241034000,290781000,437489000,413558000,369770000,551389000,673166000,451795000,686009000,790725000,763404000
99,Cash at the Beginning of Period,3300000,4000000,6800000,14622000,35464000,79082000,194670000,104135000,130023000,101091000,64880000,191950000,230617000,386664000,234257000,241034000,290781000,437489000,413558000,369770000,551389000,673166000,451795000,686009000,790725000
100,Free Cash Flow,4100000,-40000000,10900000,30964000,28549000,130528000,103981000,49208000,98675000,106203000,90233000,97350000,181298000,-5321000,-14608000,98177000,204832000,125500000,25188000,225180000,287776000,223947000,161936000,247319000,319662000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1050797/000089387799000199/0000893877-99-000199-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1050797/000089102002000360/0000891020-02-000360-index.html,https://www.sec.gov/Archives/edgar/data/1050797/000103221003000378/0001032210-03-000378-index.htm,https://www.sec.gov/Archives/edgar/data/1050797/000119312504033852/0001193125-04-033852-index.htm,https://www.sec.gov/Archives/edgar/data/1050797/000119312505045548/0001193125-05-045548-index.htm,https://www.sec.gov/Archives/edgar/data/1050797/000119312506053693/0001193125-06-053693-index.htm,https://www.sec.gov/Archives/edgar/data/1050797/000119312507047296/0001193125-07-047296-index.htm,https://www.sec.gov/Archives/edgar/data/1050797/000119312508041576/0001193125-08-041576-index.htm,https://www.sec.gov/Archives/edgar/data/1050797/000119312509041147/0001193125-09-041147-index.htm,https://www.sec.gov/Archives/edgar/data/1050797/000119312510055208/0001193125-10-055208-index.htm,https://www.sec.gov/Archives/edgar/data/1050797/000119312511063776/0001193125-11-063776-index.htm,https://www.sec.gov/Archives/edgar/data/1050797/000119312512085007/0001193125-12-085007-index.htm,https://www.sec.gov/Archives/edgar/data/1050797/000105079713000003/0001050797-13-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1050797/000105079714000002/0001050797-14-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1050797/000105079715000002/0001050797-15-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1050797/000105079716000020/0001050797-16-000020-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1050797/000105079718000004/0001050797-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1050797/000105079719000007/0001050797-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1050797/000105079720000012/0001050797-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1050797/000105079721000014/0001050797-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1050797/000105079722000012/0001050797-22-000012-index.htm
