,https://roic.ai/company/NSR,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
23,Net Income,92335000,4294000,101141000,106209000,160823000,156087000,162752000,163694000,175462000,168646000,- -,- -,1958000,20111000,-1676000
24,Net Income ratio,0.2151,0.0088,0.2105,0.2016,0.2592,0.1877,0.1804,0.1699,0.1671,0.1394,- -,- -,0.1127,0.7514,-0.0617
25,EPS,1.22,0.06,1.36,1.42,2.20,2.34,2.52,2.84,3.21,3.10,- -,- -,0.04,0.50,-0.04
26,EPS Diluted,1.17,0.06,1.34,1.40,2.16,2.30,2.46,2.75,3.14,3.04,- -,- -,0.04,0.40,-0.04
27,Weighted Average Shares Outstanding,75954000,74116000,74301000,74555000,72974000,66737000,64463000,57647000,54643000,54413000,- -,- -,51101597,44661600,44661600
28,Weighted Average Shares Outstanding Diluted,79235000,75903000,75465000,76065000,74496000,67956000,66108000,59535000,55904000,55516000,- -,- -,51101597,45075300,44661600
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1265888/000095013308000870/0000950133-08-000870-index.htm,https://www.sec.gov/Archives/edgar/data/1265888/000095013309000545/0000950133-09-000545-index.html,https://www.sec.gov/Archives/edgar/data/1265888/000095012310018171/0000950123-10-018171-index.html,https://www.sec.gov/Archives/edgar/data/1265888/000095012311018814/0000950123-11-018814-index.htm,https://www.sec.gov/Archives/edgar/data/1265888/000119312512088186/0001193125-12-088186-index.html,https://www.sec.gov/Archives/edgar/data/1265888/000119312513083439/0001193125-13-083439-index.html,https://www.sec.gov/Archives/edgar/data/1265888/000126588814000007/0001265888-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1265888/000126588815000008/0001265888-15-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1265888/000126588816000062/0001265888-16-000062-index.html,https://www.sec.gov/Archives/edgar/data/1265888/000126588817000006/0001265888-17-000006-index.html,undefined,undefined,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,98630000,150829000,304581000,331570000,122237000,340255000,223309000,326577000,89097000,45773000,- -,- -,- -,22517000,12377000
32,Short-Term Investments,100048000,10824000,37610000,13802000,10545000,3666000,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,198678000,161653000,342191000,345372000,132782000,343921000,223309000,326577000,89097000,45773000,- -,- -,- -,22517000,12377000
34,Net Receivables,76632000,71805000,64019000,82250000,106274000,131805000,152821000,155086000,167593000,207595000,- -,- -,6982000,8269000,2857000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,34826000,35231000,28558000,33103000,100339000,50030000,60009000,73307000,62850000,88813000,- -,- -,300000,1023000,2935000
37,Total Current Assets,310136000,268689000,434768000,460725000,339395000,525756000,436139000,554970000,319540000,342181000,- -,- -,7282000,31809000,18169000
38,PP&E,56191000,64160000,73881000,74296000,100102000,118513000,124285000,161604000,147764000,145821000,- -,- -,68973000,207923000,314783000
39,Goodwill,204093000,118067000,118417000,124651000,574651000,572178000,642812000,689269000,1186983000,1168982000,- -,- -,- -,- -,- -
40,Intangible Assets,36851000,16594000,8789000,18974000,338768000,288487000,275141000,302622000,529279000,423957000,- -,- -,- -,- -,- -
41,Intangible Assets,240944000,134661000,127206000,143625000,913419000,860665000,917953000,991891000,1716262000,1592939000,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,37009000,3748000,1008000,- -,3500000,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,10137000,6264000,6693000,8774000,10380000,- -,13586000,- -,- -,- -,42059000,43061000
44,Other Non-Current Assets,- -,- -,- -,8082000,19710000,14089000,19930000,16763000,18681000,4185000,- -,- -,- -,8237000,- -
45,Total Non-Current Assets,297135000,198821000,201087000,273149000,1043243000,1000968000,1070942000,1184138000,1882707000,1756531000,- -,- -,68973000,258219000,357844000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,607271000,467510000,635855000,733874000,1382638000,1526724000,1507081000,1739108000,2202247000,2098712000,- -,- -,76255000,290028000,376013000
48,Accounts Payable,9742000,6901000,11872000,3882000,7385000,9269000,9620000,8439000,28392000,21095000,- -,- -,375000,1335000,- -
49,Short-Term Debt,2501000,2587000,987000,- -,4856000,8125000,7972000,7972000,131272000,103725000,- -,- -,- -,- -,- -
50,Tax Payable,3254000,- -,2764000,1590000,1566000,4403000,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,32236000,32530000,26117000,31751000,41080000,49070000,54004000,73908000,91006000,91188000,- -,- -,- -,- -,- -
52,Other Current Liabilities,54787000,62035000,79529000,79871000,92077000,90966000,99705000,121598000,150298000,147634000,- -,- -,- -,3056000,17357000
53,Total Current Liabilities,99266000,104053000,118505000,115504000,145398000,157430000,171301000,211917000,400968000,363642000,- -,- -,375000,4391000,17357000
54,Long-Term Debt,47501000,52202000,60180000,4076000,584809000,576688000,608292000,775318000,957509000,702946000,- -,- -,- -,- -,68750000
55,Deferred Revenue,- -,- -,- -,10578000,10363000,9922000,12061000,27017000,22998000,22437000,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,4244000,5124000,6146000,121237000,114130000,82164000,50666000,38701000,35088000,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,3866000,3281000,4062000,7289000,16279000,21129000,41270000,49705000,56741000,53298000,- -,- -,- -,12059000,- -
58,Total Non-Current Liabilities,51367000,59727000,69366000,28089000,732688000,721869000,743787000,902706000,1075949000,813769000,- -,- -,- -,12059000,68750000
59,Other Liabilities,- -,- -,- -,- -,1467294000,1444555000,1489993000,1810991000,2153729000,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,136126000,132513000,143367000,137762000,880004000,880116000,917507000,1120202000,1478748000,1177411000,- -,- -,375000,16450000,86107000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,77000,79000,79000,80000,83000,86000,87000,81000,80000,82000,- -,- -,- -,254210000,255305000
64,Retained Earnings,190034000,194328000,295469000,401678000,562501000,718588000,881340000,845182000,916489000,1085135000,- -,- -,- -,13439000,2785000
65,Other Comprehensive Income/Loss,-140000,-879000,-463000,-144000,-758000,-767000,-797000,-2222000,-1904000,-1785000,- -,- -,75880000,- -,- -
66,Other Total Stockholders Equity,290564000,193125000,209352000,194498000,- -,- -,- -,- -,- -,- -,- -,- -,- -,5929000,7888000
67,Total Stockholders Equity,480535000,386653000,504437000,596112000,502634000,646608000,589574000,618906000,723499000,921301000,- -,- -,75880000,273578000,265978000
68,Total Liabilities And Stockholders Equity,616661000,519166000,647804000,733874000,1382638000,1526724000,1507081000,1739108000,2202247000,2098712000,- -,- -,76255000,290028000,352085000
69,Minority Interest,-9390000,-51656000,-11949000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23928000
70,Total Liabilities & Equity,607271000,467510000,635855000,733874000,1382638000,1526724000,1507081000,1739108000,2202247000,2098712000,- -,- -,76255000,290028000,376013000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1265888/000095013308000870/0000950133-08-000870-index.htm,https://www.sec.gov/Archives/edgar/data/1265888/000095013309000545/0000950133-09-000545-index.html,https://www.sec.gov/Archives/edgar/data/1265888/000095012310018171/0000950123-10-018171-index.html,https://www.sec.gov/Archives/edgar/data/1265888/000095012311018814/0000950123-11-018814-index.htm,https://www.sec.gov/Archives/edgar/data/1265888/000119312512088186/0001193125-12-088186-index.html,https://www.sec.gov/Archives/edgar/data/1265888/000119312513083439/0001193125-13-083439-index.html,https://www.sec.gov/Archives/edgar/data/1265888/000126588814000007/0001265888-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1265888/000126588815000008/0001265888-15-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1265888/000126588816000062/0001265888-16-000062-index.html,https://www.sec.gov/Archives/edgar/data/1265888/000126588817000006/0001265888-17-000006-index.html,undefined,undefined,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,92335000,4294000,101141000,106209000,160823000,156087000,162752000,163694000,175462000,168646000,- -,- -,1958000,20111000,-1676000
74,Depreciation and Amortization,37731000,40582000,38040000,40349000,50576000,97563000,103753000,121170000,127071000,181746000,- -,- -,- -,7869000,- -
75,Deferred Income Tax,3585000,-3488000,3248000,4430000,-15025000,5958000,17423000,34668000,22265000,-13289000,- -,- -,- -,-41812000,-1002000
76,Stock Based Compensation,15265000,13373000,14279000,18252000,28088000,28058000,40606000,64379000,40810000,42874000,- -,- -,- -,2742000,2367000
77,Change in Working Capital,156900000,-46234000,151627000,28958000,-151224000,174329000,-103488000,78215000,-424481000,59967000,- -,- -,17000,-393000,-2193000
78,Accounts Receivable,-27743000,2536000,3621000,-17515000,-3624000,-30874000,-27418000,-8973000,-11197000,-48411000,- -,- -,- -,- -,838000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,7098000,2737000,10397000,-12615000,12602000,3472000,12117000,-6051000,44860000,-6491000,- -,- -,- -,- -,- -
81,Other Working Capital,210870000,164636000,316263000,345221000,193997000,368326000,264838000,343053000,-81428000,-21461000,- -,- -,- -,- -,- -
82,Other Non-Cash Items,-159946000,159099000,-132991000,-53421000,153175000,-158428000,66811000,-142464000,414212000,-104475000,- -,- -,12989000,31881000,15285000
83,Cash Provided by Operating Activities,145870000,167626000,175344000,144777000,226413000,303567000,287857000,319662000,355339000,335469000,- -,- -,14964000,20398000,12781000
84,CAPEX,-27244000,-25780000,-25497000,-38077000,-45785000,-53094000,-53239000,-60161000,-32137000,-57547000,- -,- -,-50000000,-15293000,-60720000
85,Acquisitions Net,- -,- -,- -,-21658000,-695547000,706000,-105419000,-120698000,-758295000,12000,- -,- -,- -,11344000,-20865000
86,Purchases of Investments,-81666000,45830000,15274000,-91162000,-324301000,-98040000,-285277000,-199859000,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,116128000,10316000,3543000,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-1569000,-14112000,-350000,78125000,242823000,96504000,285170000,199859000,- -,- -,- -,- -,- -,-15500000,- -
89,Cash Used for Investing Activites,-110479000,5938000,-10573000,-72772000,-706682000,-43608000,-155222000,-180859000,-790432000,-57535000,- -,- -,-50000000,-19449000,-81585000
90,Debt Repayment,-4486000,-5721000,-9657000,-12208000,-7171000,-3494000,-1686000,-3466000,-4306000,-5179000,- -,- -,- -,- -,- -
91,Common Stock Issued,14321000,6134000,1706000,7766000,39278000,59056000,- -,- -,- -,- -,- -,- -,- -,9652000,- -
92,Common Stock Repurchased,-3199000,-124855000,- -,-40400000,-324301000,-98040000,-285277000,-199859000,-89097000,-45773000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1966000,-8980000
94,Other Financing Activites,16995000,4560000,-3151000,-109000,563130000,537000,37382000,169726000,290239000,-270938000,- -,- -,35036000,13882000,67644000
95,Cash Used/Provided by Financing Activities,23631000,-119882000,-11102000,-44951000,270936000,-41941000,-249581000,-33599000,196836000,-321890000,- -,- -,35036000,21568000,58664000
96,Effect of Forex Changes on Cash,- -,- -,- -,-65000,-239000,-42000,-107000,-1936000,777000,632000,- -,- -,- -,- -,- -
97,Net Change In Cash,59388000,52199000,153752000,26989000,-209333000,218018000,-116946000,103268000,-237480000,-43324000,- -,- -,35036000,21568000,-10140000
98,Cash at the End of Period,98630000,150829000,304581000,331570000,122237000,340255000,223309000,326577000,89097000,45773000,- -,- -,- -,22517000,12377000
99,Cash at the Beginning of Period,39242000,98630000,150829000,304581000,331570000,122237000,340255000,223309000,326577000,89097000,- -,- -,- -,- -,22517000
100,Free Cash Flow,118626000,141846000,149847000,106700000,180628000,250473000,234618000,259501000,323202000,277922000,- -,- -,-35036000,5105000,-47939000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1265888/000095013308000870/0000950133-08-000870-index.htm,https://www.sec.gov/Archives/edgar/data/1265888/000095013309000545/0000950133-09-000545-index.html,https://www.sec.gov/Archives/edgar/data/1265888/000095012310018171/0000950123-10-018171-index.html,https://www.sec.gov/Archives/edgar/data/1265888/000095012311018814/0000950123-11-018814-index.htm,https://www.sec.gov/Archives/edgar/data/1265888/000119312512088186/0001193125-12-088186-index.html,https://www.sec.gov/Archives/edgar/data/1265888/000119312513083439/0001193125-13-083439-index.html,https://www.sec.gov/Archives/edgar/data/1265888/000126588814000007/0001265888-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1265888/000126588815000008/0001265888-15-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1265888/000126588816000062/0001265888-16-000062-index.html,https://www.sec.gov/Archives/edgar/data/1265888/000126588817000006/0001265888-17-000006-index.html,undefined,undefined,- -,- -,- -
102,false,,,,,,,,,,,,,,,
