,https://roic.ai/company/UGI,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,-0.39,0.22,0.32,0.34,0.37,0.18,0.22,0.28,0.21,0.31,-0.06,0.26,0.35,0.27,0.39,0.36,0.46,0.60,0.76,0.77,1.18,1.10,1.26,1.33,1.57,1.57,1.37,1.17,1.61,1.92,1.60,2.08,2.46,4.06,1.41,2.54,6.92
27,Weighted Average Shares Outstanding,69510699,97678434,84922574,88191199,89955022,91065578,108213220,115957646,137324955,146581386,145311959,149369748,149331210,148369500,143793000,122485500,122233500,123975000,126660000,141924000,155815500,158182500,159676500,161094000,162784500,164382000,167511000,168871500,170884500,172733000,173115000,173154000,173662000,173908000,178417000,208928000,209063000
28,Weighted Average Shares Outstanding Diluted,69510699,97678434,84922574,88191199,89955022,91065578,108213220,115957646,137324955,146581386,145311959,149369748,149526301,149053500,144072000,122647500,123178500,125721000,129708000,145023000,158584500,160090500,161911500,162781500,164008500,165766500,169416000,170148000,173281500,175231000,175667000,175572000,177159000,176905000,181111000,209869000,212126000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/884614/0000893220-98-000586-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/884614/000089322000001436/0000893220-00-001436-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/884614/000136231006000398/c70098e10vk.htm,https://www.sec.gov/Archives/edgar/data/884614/000136231007003198/0001362310-07-003198-index.html,https://www.sec.gov/Archives/edgar/data/884614/000136231008007608/0001362310-08-007608-index.html,https://www.sec.gov/Archives/edgar/data/884614/000095012309064771/0000950123-09-064771-index.html,https://www.sec.gov/Archives/edgar/data/884614/000095012310107459/0000950123-10-107459-index.html,https://www.sec.gov/Archives/edgar/data/884614/000095012311099809/0000950123-11-099809-index.html,https://www.sec.gov/Archives/edgar/data/884614/000088461412000008/0000884614-12-000008-index.html,https://www.sec.gov/Archives/edgar/data/884614/000088461413000028/0000884614-13-000028-index.html,https://www.sec.gov/Archives/edgar/data/884614/000088461414000028/0000884614-14-000028-index.html,https://www.sec.gov/Archives/edgar/data/884614/000088461415000034/0000884614-15-000034-index.html,https://www.sec.gov/Archives/edgar/data/884614/000088461416000067/0000884614-16-000067-index.html,https://www.sec.gov/Archives/edgar/data/884614/000088461417000029/0000884614-17-000029-index.html,https://www.sec.gov/Archives/edgar/data/884614/000088461418000033/0000884614-18-000033-index.html,https://www.sec.gov/Archives/edgar/data/884614/000088461419000059/0000884614-19-000059-index.html,https://www.sec.gov/Archives/edgar/data/884614/000088461420000052/0000884614-20-000052-index.htm,https://www.sec.gov/Archives/edgar/data/884614/000088461421000065/0000884614-21-000065-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,74000000,64000000,66600000,40500000,93900000,87500000,194300000,142100000,149600000,315000000,200400000,264600000,315500000,280100000,260700000,238500000,319900000,389300000,419500000,369700000,502800000,558400000,452600000,447100000,336000000,855000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,74000000,64000000,66600000,40500000,93900000,87500000,194300000,142100000,149600000,315000000,200400000,264600000,315500000,300400000,260700000,238500000,319900000,389300000,419500000,369700000,502800000,558400000,452600000,447100000,336000000,855000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,121900000,118300000,88500000,109800000,176200000,191900000,165800000,206600000,367300000,421800000,398200000,459800000,488000000,405900000,481800000,580700000,681700000,764500000,699000000,631800000,564400000,640100000,765900000,655300000,746000000,1023000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,113200000,117300000,78700000,87100000,117400000,128600000,109200000,136600000,198400000,239900000,340400000,359500000,400800000,363200000,314000000,363000000,356900000,365500000,423000000,239900000,210300000,278600000,318200000,229900000,241000000,469000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,72500000,104300000,116800000,53500000,38600000,50900000,60700000,102100000,121200000,195600000,101600000,89700000,134300000,115600000,163600000,123900000,146000000,108000000,121500000,218400000,146300000,220400000,351400000,233900000,220000000,923000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,381600000,403900000,350600000,290900000,426100000,458900000,530000000,587400000,836500000,1172300000,1040600000,1173600000,1338600000,1185100000,1220100000,1306100000,1504500000,1627300000,1663000000,1459800000,1423800000,1697500000,1888100000,1566200000,1543000000,3270000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,974600000,987200000,999000000,1084100000,1073200000,1268000000,1271900000,1336800000,1781900000,1802700000,2214700000,2397400000,2449500000,2903600000,3053200000,3204500000,4233100000,4480200000,4543700000,4994100000,5238000000,5537000000,5808200000,6687800000,6960000000,7558000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1582300000,1562700000,1562200000,2818300000,2873700000,2833400000,2953400000,2989000000,3107200000,3160400000,3456400000,3518000000,3770000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,165500000,150100000,147800000,658200000,607900000,576400000,610100000,580300000,611700000,513600000,708600000,677000000,583000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,692500000,677900000,630700000,653100000,675500000,672400000,670700000,706200000,1430300000,1403800000,1581500000,1671900000,1644700000,1747800000,1712800000,1710000000,3476500000,3481600000,3409800000,3563500000,3569300000,3718900000,3674000000,4165000000,4195000000,4353000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,96200000,82700000,94300000,107800000,104000000,150900000,141800000,151300000,186700000,192700000,243700000,259800000,252200000,206100000,388200000,442700000,495600000,419700000,476500000,529200000,616100000,628800000,610600000,927600000,1287000000,1542000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1763300000,1747800000,1724000000,1845000000,1852700000,2091300000,2084400000,2194300000,3398900000,3399200000,4039900000,4329100000,4346400000,4857500000,5154200000,5357200000,8205200000,8381500000,8430000000,9086800000,9423400000,9884700000,10092800000,11780400000,12442000000,13453000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2144900000,2151700000,2074600000,2135900000,2278800000,2550200000,2614400000,2781700000,4235400000,4571500000,5080500000,5502700000,5685000000,6042600000,6374300000,6663300000,9709700000,10008800000,10093000000,10546600000,10847200000,11582200000,11980900000,13346600000,13985000000,16723000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,94700000,103200000,80100000,100600000,156700000,167000000,166100000,202500000,323900000,399700000,373000000,420800000,461800000,334900000,372600000,399600000,411300000,472300000,459800000,392900000,391200000,439600000,561800000,438800000,475000000,837000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,96600000,122200000,92000000,147700000,220600000,166100000,204500000,121600000,200900000,349400000,257300000,213600000,218200000,257600000,774000000,186100000,331800000,295100000,288000000,447900000,321200000,544400000,443700000,820400000,400000000,477000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,205200000,211500000,242000000,241300000,206900000,191200000,167600000,204000000,208000000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,177900000,179100000,149700000,154000000,162100000,234400000,215800000,246200000,398000000,414000000,396300000,423100000,504200000,504800000,528100000,492200000,743900000,452300000,471600000,596100000,488300000,499200000,535400000,600100000,676000000,775000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,369200000,404500000,321800000,402300000,539400000,567500000,586400000,570300000,922800000,1163100000,1026600000,1057500000,1184200000,1097300000,1674700000,1077900000,1487000000,1424900000,1430900000,1678900000,1442000000,1690100000,1732100000,2026900000,1755000000,2297000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,845200000,844800000,890800000,989600000,1029700000,1196900000,1127000000,1158500000,1547300000,1392500000,1965000000,2038800000,1987300000,2038600000,1432200000,2110300000,3347600000,3542200000,3433600000,3441800000,3766000000,3994600000,4146500000,5779900000,5981000000,6339000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,159400000,162900000,164400000,183900000,182100000,191200000,208600000,231100000,449000000,484700000,498300000,512800000,497000000,510600000,606700000,714200000,939600000,966600000,1009000000,1137600000,1219500000,1360000000,991900000,541400000,640000000,1137000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,358400000,330300000,310800000,291500000,261200000,318900000,355400000,232400000,481700000,533800000,490700000,571400000,598700000,579300000,599100000,569800000,616700000,527200000,556300000,715900000,817900000,796600000,1010400000,1171200000,1472000000,1419000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1363000000,1338000000,1366000000,1465000000,1473000000,1707000000,1691000000,1622000000,2478000000,2411000000,2954000000,3123000000,3083000000,3128500000,2638000000,3394300000,4903900000,5036000000,4998900000,5295300000,5803400000,6151200000,6148800000,7492500000,8093000000,8895000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1447700000,1476900000,1451000000,1656800000,1834500000,2048400000,2021100000,2077300000,3222900000,3367600000,3841400000,3988600000,4108100000,4225800000,4312700000,4472200000,6390900000,6460900000,6429800000,6974200000,7245400000,7841300000,7880900000,9519400000,9848000000,11192000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,213000000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,391900000,393700000,394300000,394800000,394500000,395000000,396600000,582400000,762800000,793600000,807500000,- -,- -,- -,- -,- -,- -,1208100000,1215600000,1214600000,1201600000,1188600000,1200800000,1396900000,1416000000,1394000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12800000,-9200000,-17700000,-8200000,-4900000,9000000,39700000,90900000,146200000,266300000,370000000,497500000,630900000,804300000,966700000,1085800000,1166100000,1308300000,1509400000,1636900000,1840900000,2106700000,2610700000,2653100000,2908000000,4081000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-368200000,-410100000,-465500000,-514900000,-578900000,-645500000,-720500000,4700000,22400000,16500000,-3800000,57700000,-15200000,-38900000,-10100000,-17700000,-62000000,8400000,-21200000,-114600000,-154700000,-93400000,-110400000,-216600000,-147000000,-140000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,401900000,433900000,476000000,397500000,456500000,497100000,601500000,-108200000,-97300000,-78800000,-74100000,766400000,801800000,826100000,867800000,909900000,1122000000,-32300000,-44700000,-44900000,-36900000,-38600000,-19700000,-15900000,-49000000,-26000000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,412800000,408300000,387100000,269200000,267200000,255600000,317300000,569800000,834100000,997600000,1099600000,1321900000,1417700000,1591400000,1824500000,1977700000,2233100000,2492500000,2659100000,2692000000,2850900000,3163300000,3681400000,3817500000,4128000000,5522000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1860500000,1885200000,1838100000,1926000000,2101700000,2304000000,2338400000,2647100000,4057000000,4365200000,4941000000,5310500000,5525800000,5817200000,6137200000,6449900000,8624000000,8953400000,9088900000,9666200000,10096300000,11004600000,11562300000,13336900000,13976000000,16714000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,284400000,266500000,236500000,209900000,177100000,246200000,276000000,134600000,178400000,206300000,139500000,192200000,159200000,225400000,237100000,213400000,1085700000,1055400000,1004100000,880400000,750900000,577600000,418600000,9700000,9000000,9000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2144900000,2151700000,2074600000,2135900000,2278800000,2550200000,2614400000,2781700000,4235400000,4571500000,5080500000,5502700000,5685000000,6042600000,6374300000,6663300000,9709700000,10008800000,10093000000,10546600000,10847200000,11582200000,11980900000,13346600000,13985000000,16723000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/884614/0000893220-98-000586-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/884614/000089322000001436/0000893220-00-001436-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/884614/000136231006000398/c70098e10vk.htm,https://www.sec.gov/Archives/edgar/data/884614/000136231007003198/0001362310-07-003198-index.html,https://www.sec.gov/Archives/edgar/data/884614/000136231008007608/0001362310-08-007608-index.html,https://www.sec.gov/Archives/edgar/data/884614/000095012309064771/0000950123-09-064771-index.html,https://www.sec.gov/Archives/edgar/data/884614/000095012310107459/0000950123-10-107459-index.html,https://www.sec.gov/Archives/edgar/data/884614/000095012311099809/0000950123-11-099809-index.html,https://www.sec.gov/Archives/edgar/data/884614/000088461412000008/0000884614-12-000008-index.html,https://www.sec.gov/Archives/edgar/data/884614/000088461413000028/0000884614-13-000028-index.html,https://www.sec.gov/Archives/edgar/data/884614/000088461414000028/0000884614-14-000028-index.html,https://www.sec.gov/Archives/edgar/data/884614/000088461415000034/0000884614-15-000034-index.html,https://www.sec.gov/Archives/edgar/data/884614/000088461416000067/0000884614-16-000067-index.html,https://www.sec.gov/Archives/edgar/data/884614/000088461417000029/0000884614-17-000029-index.html,https://www.sec.gov/Archives/edgar/data/884614/000088461418000033/0000884614-18-000033-index.html,https://www.sec.gov/Archives/edgar/data/884614/000088461419000059/0000884614-19-000059-index.html,https://www.sec.gov/Archives/edgar/data/884614/000088461420000052/0000884614-20-000052-index.htm,https://www.sec.gov/Archives/edgar/data/884614/000088461421000065/0000884614-21-000065-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,45300000,-8400000,39500000,52100000,40300000,55700000,44700000,56500000,75500000,100100000,111600000,187500000,176200000,204300000,215500000,258500000,261000000,232900000,199400000,278100000,337200000,281000000,364700000,436600000,718700000,256200000,532000000,1467000000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200900000,210200000,227900000,316000000,363100000,362900000,374100000,400900000,416300000,455100000,448100000,484000000,502000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6400000,5100000,12000000,-2200000,10100000,7700000,3200000,-5500000,11000000,-2800000,3000000,12100000,7400000,27100000,-900000,26800000,62600000,82700000,82900000,48700000,66700000,13700000,77400000,110100000,-68800000,-42700000,146000000,478000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11400000,13200000,15600000,14500000,17600000,25800000,29200000,23800000,19300000,22500000,18100000,15000000,21000000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,2700000,11000000,-9800000,-13000000,29400000,-140200000,-1900000,4700000,52200000,73500000,-103400000,95500000,4800000,102100000,38300000,-66600000,-542400000,682800000,-210700000,184900000,29700000,-451200000,200900000,25600000,148600000,-616700000,248700000,-191000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,79500000,-94600000,-66000000,65500000,-110800000,18100000,163300000,37300000,-103600000,-147600000,83300000,-18000000,-233000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5100000,-14300000,-10200000,-3600000,39000000,-5000000,-26100000,-4200000,19700000,-25300000,-39400000,-29400000,-31900000,-9100000,-42300000,67000000,15800000,-27900000,89200000,4600000,-65100000,181400000,29400000,-64700000,-37400000,84100000,-5000000,-231000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-146100000,47100000,19200000,-78700000,38700000,3700000,-134900000,-40000000,49900000,65100000,-97200000,3000000,366000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,11200000,22200000,12400000,-600000,28800000,-111400000,-113300000,-108600000,-56400000,17100000,-86300000,9200000,14000000,116100000,154400000,87800000,-454600000,228200000,17500000,202400000,232100000,-219100000,-18200000,7400000,156000000,-460700000,-212000000,-22000000
