,https://roic.ai/company/TRN,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,0.0025,0.0206,0.0324,0.0466,0.0460,0.0383,0.0304,0.0468,0.0640,0.0637,0.0746,0.0811,0.0671,0.1013,0.0959,-0.0611,-0.0164,-0.0100,-0.0069,0.0495,0.1083,0.1209,0.1192,-0.0570,0.0532,0.0772,0.1012,0.1353,0.1725,0.1958,0.1235,0.1016,0.0604,0.0668,-0.3276,0.0364
22,Income Tax expense (Gain),200000,4400000,7500000,16400000,22100000,18200000,14200000,27100000,45900000,58400000,72500000,67600000,62200000,111100000,97400000,-41900000,-4800000,-4300000,-5800000,57300000,133000000,169400000,175500000,-9400000,40900000,91800000,134000000,204400000,354800000,426000000,202100000,-341600000,42600000,61500000,- -,15900000
23,Net Income,900000,5700000,13000000,30300000,38200000,30100000,22100000,45000000,76200000,89100000,113800000,137500000,103700000,185300000,165500000,-74400000,-19600000,-10000000,-9300000,86300000,230100000,293100000,285800000,-137700000,67400000,142200000,255200000,375500000,678200000,796500000,343600000,702500000,159300000,137600000,-226000000,182000000
24,Net Income ratio,0.0021,0.0116,0.0205,0.0303,0.0292,0.0238,0.0185,0.0292,0.0427,0.0385,0.0456,0.0615,0.0419,0.0633,0.0604,-0.0391,-0.0132,-0.0070,-0.0042,0.0297,0.0715,0.0765,0.0736,-0.0535,0.0308,0.0462,0.0669,0.0860,0.1099,0.1246,0.0749,0.1918,0.0635,0.0458,-0.1499,0.1201
25,EPS,0.01,0.08,0.16,0.37,0.46,0.32,0.23,0.42,0.63,0.73,0.91,1.07,0.80,1.44,1.39,-0.66,-0.14,-0.08,-0.09,0.59,1.50,1.86,1.82,-0.91,0.42,0.89,1.60,2.38,4.35,5.14,2.25,4.62,1.09,1.09,-1.27,1.57
26,EPS Diluted,0.01,0.08,0.16,0.36,0.45,0.32,0.23,0.42,0.63,0.73,0.91,1.07,0.79,1.42,1.38,-0.66,-0.14,-0.08,-0.09,0.56,1.45,1.82,1.79,-0.91,0.42,0.89,1.59,2.38,4.19,5.08,2.25,4.52,1.07,1.07,-1.27,1.57
27,Weighted Average Shares Outstanding,89955022,74310671,79552061,81850966,83607831,95005129,96038937,106246090,120900000,121500000,125700000,128400000,129300000,129000000,119100000,112500000,135900000,136800000,139500000,141900000,153800000,157400000,156800000,152800000,153600000,155000000,154600000,152800000,151000000,150200000,148400000,148600000,144000000,125600000,115900000,115900000
28,Weighted Average Shares Outstanding Diluted,89955022,74310671,79552061,84910816,85479648,95005129,96038937,106246090,120900000,121500000,125816489,128400000,131700000,130800000,119700000,112500000,135900000,136800000,139500000,153300000,158600000,160800000,159400000,152800000,154000000,155600000,155000000,153000000,156700000,152200000,148600000,152000000,146400000,127300000,115900000,115900000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/99780/000009978094000009/0000099780-94-000009-index.html,https://www.sec.gov/Archives/edgar/data/99780/000009978095000006/0000099780-95-000006-index.html,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/99780/000095013405004498/0000950134-05-004498-index.htm,https://www.sec.gov/Archives/edgar/data/99780/000095013406004111/0000950134-06-004111-index.htm,https://www.sec.gov/Archives/edgar/data/99780/000095013407003858/0000950134-07-003858-index.htm,https://www.sec.gov/Archives/edgar/data/99780/000095013408003146/0000950134-08-003146-index.htm,https://www.sec.gov/Archives/edgar/data/99780/000095013409003276/0000950134-09-003276-index.htm,https://www.sec.gov/Archives/edgar/data/99780/000095012310014030/0000950123-10-014030-index.htm,https://www.sec.gov/Archives/edgar/data/99780/000095012311015047/0000950123-11-015047-index.htm,https://www.sec.gov/Archives/edgar/data/99780/000119312512064939/0001193125-12-064939-index.htm,https://www.sec.gov/Archives/edgar/data/99780/000009978013000019/0000099780-13-000019-index.htm,https://www.sec.gov/Archives/edgar/data/99780/000009978014000019/0000099780-14-000019-index.htm,https://www.sec.gov/Archives/edgar/data/99780/000009978015000023/0000099780-15-000023-index.htm,https://www.sec.gov/Archives/edgar/data/99780/000009978016000164/0000099780-16-000164-index.htm,https://www.sec.gov/Archives/edgar/data/99780/000009978017000014/0000099780-17-000014-index.htm,https://www.sec.gov/Archives/edgar/data/99780/000009978018000027/0000099780-18-000027-index.htm,https://www.sec.gov/Archives/edgar/data/99780/000009978019000019/0000099780-19-000019-index.htm,https://www.sec.gov/Archives/edgar/data/99780/000009978020000025/0000099780-20-000025-index.htm,https://www.sec.gov/Archives/edgar/data/99780/000009978021000012/0000099780-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/99780/000009978022000013/0000099780-22-000013-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,8700000,15300000,15400000,12200000,3100000,13500000,16900000,- -,19100000,46000000,182300000,150900000,311500000,289600000,161800000,611800000,354000000,351100000,573000000,428500000,887900000,786000000,563400000,778600000,179200000,166200000,132000000,167300000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,70000000,158000000,- -,- -,149700000,75000000,84900000,234700000,319500000,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,8700000,15300000,15400000,12200000,3100000,13500000,16900000,- -,19100000,46000000,182300000,150900000,311500000,289600000,161800000,681800000,512000000,351100000,573000000,578200000,962900000,870900000,798100000,1098100000,179200000,166200000,132000000,167300000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,264900000,270300000,293500000,236900000,390500000,357400000,349800000,- -,218200000,198100000,214200000,250100000,252500000,296500000,350000000,171000000,239400000,385900000,390000000,372700000,463900000,464800000,480800000,398700000,317000000,274800000,644800000,233000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,328800000,395000000,403700000,314500000,342600000,397100000,360600000,- -,213300000,258000000,402300000,444200000,528900000,586700000,611800000,231500000,331300000,549900000,667700000,814700000,1068400000,943100000,665800000,640600000,524700000,433400000,321200000,432900000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,251100000,260700000,234700000,195800000,178200000,195200000,171600000,111400000,96400000,135100000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,602400000,680600000,712600000,563600000,736200000,768000000,727300000,- -,450600000,502100000,798800000,845200000,1092900000,1172800000,1123600000,1084300000,1082700000,1286900000,1881800000,2026300000,2729900000,2474600000,2122900000,2332600000,1192500000,985800000,1194400000,968300000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,667100000,687100000,692300000,711600000,726900000,732300000,813200000,- -,947400000,945200000,810900000,1121100000,1590300000,2069800000,2990600000,3038200000,4112000000,4179500000,4299000000,4770600000,4902900000,5348000000,5966800000,6134700000,6334400000,7110600000,7003400000,6846900000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,411300000,- -,- -,- -,463700000,503500000,504000000,180800000,197600000,225900000,240400000,278200000,773200000,753800000,754100000,780300000,208800000,208800000,208800000,154200000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,415100000,420400000,433400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,411300000,415100000,420400000,433400000,463700000,503500000,504000000,180800000,197600000,225900000,240400000,278200000,773200000,753800000,754100000,780300000,208800000,208800000,208800000,154200000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,37300000,52300000,50900000,81200000,110800000,184600000,198000000,- -,133600000,145500000,180100000,186800000,278700000,297100000,297600000,353100000,367700000,428700000,248700000,238300000,327800000,309500000,281500000,295600000,253500000,396200000,295200000,266500000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,704400000,739400000,743200000,792800000,837700000,916900000,1011200000,- -,1492300000,1505800000,1411400000,1741300000,2332700000,2870400000,3792200000,3572100000,4677300000,4834100000,4788100000,5287100000,6003900000,6411300000,7002400000,7210600000,6796700000,7715600000,7507400000,7267600000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,1306800000,1420000000,1455800000,1356400000,1573900000,1684900000,1738500000,- -,1942900000,2007900000,2210200000,2586500000,3425600000,4043200000,4915800000,4656400000,5760000000,6121000000,6669900000,7313400000,8733800000,8885900000,9125300000,9543200000,7989200000,8701400000,8701800000,8235900000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,161600000,245500000,222900000,261200000,386600000,366700000,360900000,- -,- -,460200000,511700000,629900000,655800000,684300000,- -,76800000,132800000,207400000,188200000,216300000,295400000,216800000,156100000,175400000,212100000,203900000,156400000,206400000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,192000000,220000000,216000000,64000000,101000000,181000000,170100000,- -,- -,- -,- -,- -,- -,- -,557600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,12600000,12000000,19200000,- -,- -,- -,- -,- -,396000000,- -,- -,- -,- -,- -,141800000,374500000,375600000,421300000,583100000,567400000,709600000,529600000,426100000,440000000,368300000,342100000,314700000,307400000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,366200000,477500000,458100000,325200000,487600000,547700000,531000000,- -,396000000,460200000,511700000,629900000,655800000,684300000,699400000,451300000,508400000,628700000,771300000,783700000,1005000000,746400000,582200000,615400000,580400000,546000000,471100000,513800000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,277900000,242900000,206400000,178600000,149600000,120600000,95400000,- -,488900000,395200000,518000000,689000000,1198900000,1374200000,1905900000,1845100000,2907700000,2974900000,3009200000,2947600000,3513900000,3159700000,3024600000,3214100000,4029200000,4881900000,5017000000,5170600000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,71800000,77700000,33600000,38700000,44500000,40800000,36400000,27100000,23500000,20500000,17700000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,73900000,44900000,30200000,22800000,27500000,34000000,58500000,- -,- -,32200000,47200000,- -,- -,- -,341900000,397900000,391000000,434700000,572400000,650700000,632600000,752200000,1072900000,743200000,743100000,798300000,1047500000,1106800000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,18300000,13500000,15100000,20300000,21700000,23500000,38500000,- -,56400000,116500000,120400000,153200000,167400000,258000000,65600000,78100000,73600000,95700000,134900000,141500000,148500000,151800000,111000000,92000000,56800000,96300000,150200000,147900000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,370100000,301300000,251700000,221700000,198800000,178100000,192400000,- -,545300000,543900000,685600000,842200000,1366300000,1632200000,2385200000,2398800000,3405900000,3544000000,3761000000,3780600000,4331400000,4090800000,4232000000,4069800000,4846800000,5776500000,6214700000,6425300000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45800000,42200000,39100000,35700000,32000000,28300000,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,736300000,778800000,709800000,546900000,686400000,725800000,723400000,- -,941300000,1004100000,1197300000,1472100000,2022100000,2316500000,3084600000,2850100000,3914300000,4172700000,4532300000,4564300000,5336400000,4837200000,4814200000,4685200000,5427200000,6322500000,6685800000,6939100000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43800000,- -,50900000,50900000,50900000,50900000,80000000,81600000,81700000,81700000,81700000,81700000,81700000,81700000,155700000,1500000,1600000,1600000,1300000,1200000,1100000,800000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,317400000,379300000,464800000,493200000,567500000,722900000,860600000,- -,672600000,649900000,626200000,696900000,908800000,1177800000,1438700000,1263900000,1200500000,1314700000,1536700000,1870000000,2489900000,3220300000,3497300000,4123400000,2326100000,2182900000,1769400000,1046600000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,-402900000,-401600000,-406700000,-424900000,-475000000,-481300000,-491700000,- -,-34900000,-27300000,-25300000,-40200000,-69200000,-61600000,-161300000,-98000000,-95500000,-134000000,-150100000,-78200000,-111900000,-115400000,-113500000,-104800000,-116800000,-153100000,-30900000,-17000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,656000000,663500000,687900000,741200000,795000000,717500000,602400000,- -,313000000,330300000,361100000,406800000,483900000,528900000,472100000,558700000,578100000,601400000,584700000,528600000,462200000,547500000,533100000,480900000,200000,-900000,-800000,-600000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,570500000,641200000,746000000,809500000,887500000,959100000,1015100000,- -,1001600000,1003800000,1012900000,1114400000,1403500000,1726700000,1831200000,1806300000,1764800000,1863800000,2053000000,2402100000,2995900000,3653900000,3918500000,4501100000,2210800000,2030100000,1738800000,1029800000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,1306800000,1420000000,1455800000,1356400000,1573900000,1684900000,1738500000,- -,1942900000,2007900000,2210200000,2586500000,3425600000,4043200000,4915800000,4656400000,5679100000,6036500000,6585300000,6966400000,8332300000,8491100000,8732700000,9186300000,7638000000,8352600000,8424600000,7968900000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,80900000,84500000,84600000,347000000,401500000,394800000,392600000,356900000,351200000,348800000,277200000,267000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,1306800000,1420000000,1455800000,1356400000,1573900000,1684900000,1738500000,- -,1942900000,2007900000,2210200000,2586500000,3425600000,4043200000,4915800000,4656400000,5760000000,6121000000,6669900000,7313400000,8733800000,8885900000,9125300000,9543200000,7989200000,8701400000,8701800000,8235900000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/99780/000009978094000009/0000099780-94-000009-index.html,https://www.sec.gov/Archives/edgar/data/99780/000009978095000006/0000099780-95-000006-index.html,- -,- -,- -,- -,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/99780/000095013405004498/0000950134-05-004498-index.htm,https://www.sec.gov/Archives/edgar/data/99780/000095013406004111/0000950134-06-004111-index.htm,https://www.sec.gov/Archives/edgar/data/99780/000095013407003858/0000950134-07-003858-index.htm,https://www.sec.gov/Archives/edgar/data/99780/000095013408003146/0000950134-08-003146-index.htm,https://www.sec.gov/Archives/edgar/data/99780/000095013409003276/0000950134-09-003276-index.htm,https://www.sec.gov/Archives/edgar/data/99780/000095012310014030/0000950123-10-014030-index.htm,https://www.sec.gov/Archives/edgar/data/99780/000095012311015047/0000950123-11-015047-index.htm,https://www.sec.gov/Archives/edgar/data/99780/000119312512064939/0001193125-12-064939-index.htm,https://www.sec.gov/Archives/edgar/data/99780/000009978013000019/0000099780-13-000019-index.htm,https://www.sec.gov/Archives/edgar/data/99780/000009978014000019/0000099780-14-000019-index.htm,https://www.sec.gov/Archives/edgar/data/99780/000009978015000023/0000099780-15-000023-index.htm,https://www.sec.gov/Archives/edgar/data/99780/000009978016000164/0000099780-16-000164-index.htm,https://www.sec.gov/Archives/edgar/data/99780/000009978017000014/0000099780-17-000014-index.htm,https://www.sec.gov/Archives/edgar/data/99780/000009978018000027/0000099780-18-000027-index.htm,https://www.sec.gov/Archives/edgar/data/99780/000009978019000019/0000099780-19-000019-index.htm,https://www.sec.gov/Archives/edgar/data/99780/000009978020000025/0000099780-20-000025-index.htm,https://www.sec.gov/Archives/edgar/data/99780/000009978021000012/0000099780-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/99780/000009978022000013/0000099780-22-000013-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,38200000,30100000,22100000,45000000,76200000,89100000,113800000,137500000,103700000,185300000,165500000,-74400000,-19600000,-10000000,-9300000,86300000,230100000,293100000,285800000,-137700000,67400000,142200000,255200000,375500000,678200000,796500000,343600000,702500000,159300000,137600000,-226000000,182000000
74,Depreciation and Amortization,- -,- -,- -,- -,34000000,45200000,47400000,59300000,56800000,58600000,75900000,87800000,78100000,72000000,80300000,89100000,90700000,85600000,87200000,88900000,87600000,118900000,140300000,160800000,189600000,192900000,193700000,211500000,244600000,266400000,283000000,295400000,251900000,283600000,266000000,265700000
75,Deferred Income Tax,- -,- -,- -,- -,15000000,2600000,-4600000,1400000,-1300000,-29200000,-20200000,-3600000,8900000,4200000,13000000,-45500000,56100000,10100000,-4900000,18900000,75500000,59300000,251300000,- -,- -,60900000,126300000,45800000,-5800000,116600000,321400000,-337400000,57900000,54800000,226100000,13100000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18700000,13500000,15100000,23500000,27700000,44500000,53300000,61100000,41300000,31100000,29200000,29200000,26900000,20700000
77,Change in Working Capital,- -,- -,- -,- -,1100000,- -,- -,- -,- -,236200000,-33100000,51400000,-16100000,10200000,-28300000,-24000000,-141700000,-12700000,245200000,-71800000,221800000,51400000,-64300000,208800000,-58700000,83900000,452300000,132100000,482300000,3300000,-187500000,176500000,-1105100000,-172300000,283500000,336400000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17700000,59000000,-64300000
79,Inventory,- -,- -,- -,- -,37400000,-100000,5600000,9900000,-110900000,-56100000,- -,17900000,-3200000,-47900000,43000000,-24300000,61900000,-44700000,-143300000,-45700000,-124000000,-50900000,-25800000,380100000,-88700000,-212200000,-117200000,-95600000,-186300000,128500000,273300000,32600000,-122000000,91300000,105300000,-147700000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-128300000,-140800000,53400000,73100000,-16700000,29000000,60700000,-78600000,-60700000,19300000,92700000,-10000000,-47500000,59200000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,236200000,203100000,254500000,238400000,248600000,220300000,196300000,54600000,41900000,287100000,215300000,437100000,488500000,424200000,633000000,574300000,658200000,1110500000,1242600000,1724900000,1728200000,1540700000,1717200000,612100000,439800000,723300000,- -
