,https://roic.ai/company/AAON,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,4000000,3200000,4900000,7300000,9600000,9000000,6413000,8146000,10626000,14741000,13922000,16011000,15071000,14909000,15214000,17477000,18059000,21703000,23788000,23791000,22473000,22310000,26261000,33989000,36360000,36986000,38181000,48346000,46648000,50849000,58223000,68598000
11,COGS and Expenses,33700000,25300000,33800000,40100000,69600000,62800000,58210000,76751000,97578000,112058000,134155000,134410000,132264000,127505000,161021000,167381000,205629000,226851000,236337000,201528000,211837000,242249000,258876000,265337000,284419000,286937000,304078000,330181000,377062000,400757000,416925000,465285000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,214000,346000,183000,67000,24000,8000,27000,71000,258000,98000,86000,221000,276000,161000,292000,298000,196000,66000,88000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9000,45000,277000,44000,- -,- -,- -,- -,- -,- -,- -,- -,-132000
14,Depreciation and Amortization,300000,300000,800000,1100000,1700000,2700000,2497000,2517000,2848000,3063000,3465000,4380000,4915000,5435000,5732000,8503000,9146000,9665000,9412000,9061000,9886000,11397000,13407000,12312000,11553000,11741000,13035000,15007000,17655000,22766000,25634000,30416000
15,EBITDA,1700000,800000,3300000,5400000,10400000,6000000,5888000,6588000,11393000,18704000,23824000,26866000,28025000,27288000,18111000,26835000,35344000,45008000,53480000,52962000,42624000,33187000,57768000,68606000,79799000,83080000,93026000,89499000,73594000,89797000,127609000,99466000
16,EBITDA ratio,0.0471,0.0300,0.0892,0.1189,0.1308,0.0892,0.0937,0.0807,0.1067,0.1461,0.1537,0.1708,0.1807,0.1833,0.1045,0.1449,0.1527,0.1714,0.1912,0.2159,0.1743,0.1247,0.1906,0.2136,0.2240,0.2317,0.2423,0.2209,0.1696,0.1913,0.2480,0.1861
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44234000,55825000,68006000,71302000,79594000,74103000,55790000,67011000,101836000,69253000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1459,0.1738,0.1909,0.1988,0.2073,0.1829,0.1286,0.1428,0.1979,0.1296
19,Total Other Income Expenses (Gains),-1000000,-900000,-700000,-1000000,-1200000,-1200000,-1244000,-854000,-658000,-336000,-468000,-356000,299000,513000,133000,518000,367000,-323000,680000,138000,-22000,-2458000,83000,469000,240000,37000,397000,389000,149000,20000,139000,-71000
20,Income Before Tax,1400000,500000,2500000,4300000,8700000,3300000,3391000,4071000,8545000,15641000,20359000,22486000,23110000,21853000,12379000,18332000,26198000,35343000,44068000,43892000,32693000,21513000,44317000,56294000,68246000,71339000,79991000,74492000,55939000,67031000,101975000,69182000
21,Income Before Tax Ratio,0.0388,0.0187,0.0676,0.0947,0.1094,0.0490,0.0540,0.0498,0.0800,0.1222,0.1314,0.1430,0.1490,0.1468,0.0714,0.0990,0.1132,0.1346,0.1575,0.1789,0.1337,0.0808,0.1462,0.1753,0.1915,0.1989,0.2083,0.1838,0.1289,0.1428,0.1982,0.1294
22,Income Tax expense (Gain),400000,100000,900000,1600000,3600000,1200000,1316000,1049000,3315000,5944000,7565000,8330000,8499000,7626000,4858000,6870000,9065000,12187000,15479000,16171000,10799000,7527000,16868000,18747000,24088000,25611000,26615000,19994000,13367000,13320000,22966000,10424000
23,Net Income,1000000,400000,1600000,2700000,5100000,2100000,2075000,3022000,5230000,9697000,12794000,14156000,14611000,14227000,7521000,11462000,17133000,23156000,28589000,27721000,21894000,13986000,27449000,37547000,44158000,45728000,53376000,54498000,42572000,53711000,79009000,58758000
24,Net Income ratio,0.0277,0.0150,0.0432,0.0595,0.0642,0.0312,0.0330,0.0370,0.0490,0.0757,0.0826,0.0900,0.0942,0.0956,0.0434,0.0619,0.0740,0.0882,0.1022,0.1130,0.0895,0.0525,0.0906,0.1169,0.1239,0.1275,0.1390,0.1345,0.0981,0.1144,0.1535,0.1099
25,EPS,0.01,0.01,0.02,0.04,0.07,0.03,0.03,0.04,0.07,0.14,0.19,0.21,0.22,0.22,0.12,0.18,0.27,0.37,0.48,0.48,0.39,0.25,0.50,1.02,0.81,0.85,1.01,1.04,0.81,1.03,1.51,1.12
26,EPS Diluted,0.01,0.01,0.02,0.04,0.07,0.03,0.03,0.04,0.07,0.13,0.18,0.21,0.21,0.21,0.11,0.18,0.27,0.36,0.47,0.47,0.39,0.25,0.49,1.01,0.80,0.84,1.00,1.03,0.81,1.02,1.49,1.09
27,Weighted Average Shares Outstanding,71085555,56868444,64991334,69792289,69053570,69539765,69699234,70156875,70645054,71088890,66771843,65769468,66612375,64217812,62952187,62471250,62289000,62869500,59265000,58006125,56696625,55552500,55237500,36746100,54809319,54045841,52924398,52572496,52284616,52079865,52168679,52404199
28,Weighted Average Shares Outstanding Diluted,71085555,56868444,64991334,71415696,71611333,69539765,69703682,71799961,72732876,73583437,70348500,69057562,69558750,67083187,65422687,64546875,64050750,63878625,60260625,58417875,57013875,55982250,55572750,37058254,55369016,54481484,53449754,53078734,52667939,52635415,53061169,53728989
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/824142/000093066196000182/0000930661-96-000182-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/824142/000102660807000038/0001026608-07-000038-index.html,- -,https://www.sec.gov/Archives/edgar/data/824142/000102660809000028/0001026608-09-000028-index.html,https://www.sec.gov/Archives/edgar/data/824142/000102660810000026/0001026608-10-000026-index.htm,https://www.sec.gov/Archives/edgar/data/824142/000102660811000023/0001026608-11-000023-index.htm,https://www.sec.gov/Archives/edgar/data/824142/000102660812000022/0001026608-12-000022-index.htm,https://www.sec.gov/Archives/edgar/data/824142/000102660813000024/0001026608-13-000024-index.htm,https://www.sec.gov/Archives/edgar/data/824142/000082414214000015/0000824142-14-000015-index.htm,https://www.sec.gov/Archives/edgar/data/824142/000082414215000014/0000824142-15-000014-index.htm,https://www.sec.gov/Archives/edgar/data/824142/000082414216000118/0000824142-16-000118-index.htm,https://www.sec.gov/Archives/edgar/data/824142/000082414217000034/0000824142-17-000034-index.htm,https://www.sec.gov/Archives/edgar/data/824142/000082414218000021/0000824142-18-000021-index.htm,https://www.sec.gov/Archives/edgar/data/824142/000082414219000040/0000824142-19-000040-index.htm,https://www.sec.gov/Archives/edgar/data/824142/000082414220000025/0000824142-20-000025-index.htm,https://www.sec.gov/Archives/edgar/data/824142/000082414221000030/0000824142-21-000030-index.htm,https://www.sec.gov/Archives/edgar/data/824142/000082414222000034/0000824142-22-000034-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,400000,300000,100000,100000,- -,700000,138000,26000,25000,25000,17000,1123000,5071000,6186000,994000,837000,288000,879000,269000,25639000,2393000,13000,3159000,12085000,21952000,7908000,24153000,21457000,1994000,26797000,79025000,2859000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000000,3000000,1000000,- -,- -,- -,- -,9520000,- -,5952000,24150000,18070000,22524000,19595000,8957000,- -,- -,- -,- -
33,Cash and Short-Term Investments,400000,300000,100000,100000,- -,700000,138000,26000,25000,25000,17000,1123000,5071000,16186000,3994000,1837000,288000,879000,269000,25639000,11913000,13000,9111000,36235000,40022000,30432000,43748000,30414000,1994000,26797000,79025000,2859000
34,Net Receivables,4700000,3100000,4100000,8100000,11900000,9800000,13539000,14018000,17933000,21327000,28247000,23392000,22306000,22553000,27121000,32487000,36748000,38813000,38804000,33381000,39927000,44180000,44588000,40165000,46691000,54749000,49265000,52009000,60209000,68200000,52005000,70780000
35,Inventory,5000000,4000000,4600000,7000000,10200000,9100000,9140000,10652000,12160000,11866000,15140000,13471000,14338000,19711000,20868000,23708000,29502000,31849000,36382000,28788000,33602000,34948000,32614000,32140000,37618000,38499000,47352000,70786000,77612000,73601000,82219000,130270000
36,Other Current Assets,400000,200000,500000,700000,1700000,1500000,1764000,1446000,1835000,3259000,3954000,4287000,4767000,6185000,4015000,4918000,4221000,4754000,4663000,8432000,6306000,5246000,5233000,5083000,6752000,533000,616000,518000,1046000,18951000,7002000,14171000
37,Total Current Assets,10500000,7600000,9300000,15900000,23800000,21100000,24581000,26142000,31953000,36477000,47358000,42273000,46482000,64635000,55998000,62950000,70759000,76295000,80118000,96240000,91748000,84387000,91546000,113623000,131083000,124213000,140981000,153727000,140861000,187549000,220251000,218080000
38,PP&E,3800000,5500000,5400000,7400000,8200000,10300000,10133000,16585000,18553000,22179000,29460000,34022000,35231000,37450000,49229000,50581000,59222000,60770000,60550000,59896000,67418000,93502000,90695000,87283000,91922000,101061000,114892000,142375000,163003000,179777000,224911000,275036000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3229000,3229000,3229000,85727000
40,Intangible Assets,- -,- -,- -,600000,400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,506000,272000,38000,70121000
41,Intangible Assets,- -,- -,- -,600000,400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3735000,3501000,3267000,155848000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10161000,13619000,9295000,6919000,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,1200000,1000000,200000,200000,800000,855000,42000,- -,- -,- -,- -,10000000,- -,- -,75000,75000,75000,75000,75000,1111000,1092000,1091000,919000,817000,661000,657000,678000,598000,597000,579000,1216000
45,Total Non-Current Assets,3800000,6700000,6400000,8200000,8800000,11100000,10988000,16627000,18553000,22179000,29460000,34022000,45231000,37450000,49229000,50656000,59297000,60845000,60625000,59971000,68529000,94594000,101947000,101821000,102034000,108641000,115549000,143053000,167336000,183875000,228757000,432100000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,14300000,14300000,15700000,24100000,32600000,32200000,35569000,42769000,50506000,58656000,76818000,76295000,91713000,102085000,105227000,113606000,130056000,137140000,140743000,156211000,160277000,178981000,193493000,215444000,233117000,232854000,256530000,296780000,308197000,371424000,449008000,650180000
48,Accounts Payable,1700000,2900000,1800000,3900000,5900000,4400000,6097000,7137000,8478000,9045000,11691000,8005000,8418000,11553000,12882000,11643000,15821000,15059000,14715000,8524000,15046000,14118000,13047000,7779000,11370000,6178000,7102000,10967000,10616000,11759000,12447000,29020000
49,Short-Term Debt,5400000,1000000,2600000,1100000,900000,900000,91000,175000,757000,438000,7860000,884000,3566000,5356000,108000,108000,59000,91000,2992000,76000,- -,4575000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5723000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3933000,2077000,1639000,2895000,2256000,2838000,2367000,4627000,5067000,- -
52,Other Current Liabilities,800000,2900000,3300000,8300000,3700000,2700000,4765000,3727000,5597000,7763000,12351000,13496000,13349000,12357000,15069000,17827000,18523000,22357000,21811000,22286000,21200000,19994000,22645000,26473000,29704000,34340000,29684000,36260000,35088000,39642000,41519000,57748000
53,Total Current Liabilities,7900000,6800000,7700000,13300000,10500000,8000000,10953000,11039000,14832000,17246000,31902000,22385000,25333000,29266000,28059000,29578000,34403000,37507000,39518000,30886000,36246000,38687000,39625000,36329000,42713000,43413000,39042000,50065000,48071000,56028000,59033000,86768000
54,Long-Term Debt,4700000,5300000,4100000,4300000,10600000,10700000,8976000,12857000,10980000,6630000,5853000,985000,- -,- -,167000,59000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,585000,1006000,698000,1498000,1512000,1655000,- -,- -,- -
56,Deferred Tax Liabilities,- -,100000,200000,100000,- -,- -,- -,- -,- -,1162000,2051000,2884000,4070000,5391000,5830000,4474000,4061000,3974000,4582000,7326000,7292000,17790000,15732000,14424000,13677000,8706000,9531000,7977000,10826000,15297000,28324000,31993000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,283000,- -,- -,- -,- -,- -,- -,- -,- -,239000,121000,- -,- -,- -,- -,- -,1662000,1119000,561000,- -,146000,9959000,10786000,65249000
58,Total Non-Current Liabilities,4700000,5400000,4300000,4400000,10600000,10700000,8976000,12857000,11263000,7792000,7904000,3869000,4070000,5391000,5997000,4533000,4061000,4213000,4703000,7326000,7292000,17790000,15732000,15009000,16345000,10523000,11590000,9489000,12627000,25256000,39110000,97242000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,12600000,12200000,12000000,17700000,21100000,18700000,19929000,23896000,26095000,25038000,39806000,26254000,29403000,34657000,34056000,34111000,38464000,41720000,44221000,38212000,43538000,56477000,55357000,51338000,59058000,53936000,50632000,59554000,60698000,81284000,98143000,184010000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,25000,25000,25000,25000,23000,35000,52000,50000,49000,49000,49000,73000,71000,71000,68000,98000,98000,147000,216000,212000,211000,210000,208000,208000,209000,210000
64,Retained Earnings,700000,1100000,2700000,5300000,3800000,5800000,7910000,10932000,16162000,25859000,36989000,48943000,62258000,67378000,70875000,78933000,90666000,93405000,95135000,116207000,116671000,122406000,138038000,163959000,173843000,178706000,205687000,237016000,247291000,286301000,345495000,384306000
65,Other Comprehensive Income/Loss,-400000,-700000,-1300000,-2100000,-3300000,-5800000,-7868000,-9969000,-12678000,-15650000,-19063000,-22273000,-27114000,-31285000,247000,513000,667000,1942000,778000,1077000,- -,-85935000,-96929000,-105142000,-113605000,-124348000,-137146000,-149963000,-166880000,-179242000,- -,- -
66,Other Total Stockholders Equity,1400000,1700000,2300000,3200000,11000000,13500000,15573000,17885000,20902000,23384000,19063000,23336000,27114000,31285000,- -,- -,210000,- -,538000,644000,- -,85935000,96929000,105142000,113605000,124348000,137146000,149963000,166880000,182873000,5161000,81654000
67,Total Stockholders Equity,1700000,2100000,3700000,6400000,11500000,13500000,15640000,18873000,24411000,33618000,37012000,50041000,62310000,67428000,71171000,79495000,91592000,95420000,96522000,117999000,116739000,122504000,138136000,164106000,174059000,178918000,205898000,237226000,247499000,290140000,350865000,466170000
68,Total Liabilities And Stockholders Equity,14300000,14300000,15700000,24100000,32600000,32200000,35569000,42769000,50506000,58656000,76818000,76295000,91713000,102085000,105227000,113606000,130056000,137140000,140743000,156211000,160277000,178981000,193493000,215444000,233117000,232854000,256530000,296780000,308197000,371424000,449008000,650180000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,14300000,14300000,15700000,24100000,32600000,32200000,35569000,42769000,50506000,58656000,76818000,76295000,91713000,102085000,105227000,113606000,130056000,137140000,140743000,156211000,160277000,178981000,193493000,215444000,233117000,232854000,256530000,296780000,308197000,371424000,449008000,650180000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/824142/000093066196000182/0000930661-96-000182-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/824142/000102660807000038/0001026608-07-000038-index.html,- -,https://www.sec.gov/Archives/edgar/data/824142/000102660809000028/0001026608-09-000028-index.html,https://www.sec.gov/Archives/edgar/data/824142/000102660810000026/0001026608-10-000026-index.htm,https://www.sec.gov/Archives/edgar/data/824142/000102660811000023/0001026608-11-000023-index.htm,https://www.sec.gov/Archives/edgar/data/824142/000102660812000022/0001026608-12-000022-index.htm,https://www.sec.gov/Archives/edgar/data/824142/000102660813000024/0001026608-13-000024-index.htm,https://www.sec.gov/Archives/edgar/data/824142/000082414214000015/0000824142-14-000015-index.htm,https://www.sec.gov/Archives/edgar/data/824142/000082414215000014/0000824142-15-000014-index.htm,https://www.sec.gov/Archives/edgar/data/824142/000082414216000118/0000824142-16-000118-index.htm,https://www.sec.gov/Archives/edgar/data/824142/000082414217000034/0000824142-17-000034-index.htm,https://www.sec.gov/Archives/edgar/data/824142/000082414218000021/0000824142-18-000021-index.htm,https://www.sec.gov/Archives/edgar/data/824142/000082414219000040/0000824142-19-000040-index.htm,https://www.sec.gov/Archives/edgar/data/824142/000082414220000025/0000824142-20-000025-index.htm,https://www.sec.gov/Archives/edgar/data/824142/000082414221000030/0000824142-21-000030-index.htm,https://www.sec.gov/Archives/edgar/data/824142/000082414222000034/0000824142-22-000034-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1000000,400000,1600000,2700000,5100000,2100000,2075000,3022000,5230000,9697000,12794000,14156000,14611000,14227000,7521000,11462000,17133000,23156000,28589000,27721000,21894000,13986000,27449000,37547000,44158000,45728000,53376000,54498000,42572000,53711000,79009000,58758000
74,Depreciation and Amortization,300000,300000,800000,1100000,1700000,2700000,2497000,2517000,2848000,3063000,3465000,4380000,4915000,5435000,5732000,8503000,9146000,9665000,9412000,9061000,9886000,11397000,13407000,12312000,11553000,11741000,13035000,15007000,17655000,22766000,25634000,30416000
75,Deferred Income Tax,- -,-100000,- -,-300000,-1100000,-100000,-860000,1370000,-269000,-220000,-127000,475000,1085000,1957000,434000,-1696000,-510000,-124000,160000,3531000,-558000,9911000,-2028000,-1594000,-2111000,1172000,825000,-1554000,2849000,6038000,13027000,3669000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,848000,791000,680000,1294000,1763000,2178000,2891000,4357000,6458000,7374000,11799000,11342000,11812000
77,Change in Working Capital,-1300000,-1800000,800000,1000000,10700000,-200000,528000,1475000,2018000,2110000,-3775000,4432000,1261000,14220000,-7430000,5433000,2984000,2432000,1812000,24754000,-9852000,-9802000,6221000,25373000,11076000,-7570000,21139000,1723000,-10872000,38731000,29697000,-29906000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5495000,-6403000,6053000,-9646000,4662000,-5007000,-5884000,7048000,-7516000,-2832000,-13412000,19859000,-9737000
79,Inventory,2000000,1600000,-800000,-2400000,-3300000,1200000,-59000,-1532000,-1708000,-256000,-3324000,1769000,-1017000,-5423000,-698000,-2840000,-5790000,-2095000,-4779000,7243000,-4814000,-1296000,2271000,231000,-5613000,-1059000,-9478000,-23698000,-5598000,2557000,-9726000,629000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6334000,6522000,-2751000,2461000,-5197000,3512000,-5109000,654000,3043000,-1176000,280000,-2155000,10899000
81,Other Working Capital,2600000,800000,1600000,2600000,13300000,13100000,13628000,15103000,17121000,19231000,15456000,19888000,21149000,35369000,27939000,33372000,36356000,38788000,40600000,65354000,55502000,45700000,51921000,77294000,88370000,80800000,101939000,103662000,92790000,131521000,161218000,131312000
82,Other Non-Cash Items,100000,4900000,-3500000,-4500000,-13700000,700000,-161000,-3612000,-4018000,-2697000,1683000,436000,59000,-19370000,9902000,-11736000,-9325000,-3882000,-6526000,-20710000,9991000,312000,4824000,-21809000,-14575000,-1052000,-28809000,-18138000,-4722000,-35120000,-29895000,-13566000
83,Cash Provided by Operating Activities,100000,3700000,-300000,- -,2700000,5200000,4079000,4772000,5809000,11953000,14040000,23879000,21931000,16469000,16159000,11966000,19428000,31247000,33447000,45205000,32152000,26484000,51167000,53592000,52279000,52910000,63923000,57994000,54856000,97925000,128814000,61183000
84,CAPEX,-700000,-300000,-600000,-2600000,-2400000,-4600000,-2053000,-9037000,-4837000,-6689000,-10744000,-9017000,-6126000,-7700000,-16976000,-10144000,-17781000,-10874000,-9610000,-9774000,-17470000,-35914000,-14147000,-9041000,-16127000,-20967000,-26604000,-41713000,-37268000,-37166000,-67802000,-55362000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1778000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6377000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3000000,-1000000,-2000000,- -,- -,- -,-2745000,- -,-18194000,-31383000,-16820000,-20863000,-14496000,-18521000,-16201000,-6000000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000000,3000000,3000000,- -,- -,- -,3361000,9364000,1926000,8937000,26536000,18519000,24095000,29112000,25145000,6000000,- -,- -
88,Other Investing Activites,- -,-100000,- -,- -,100000,- -,- -,81000,70000,40000,11000,200000,-9992000,74000,13000,-45000,- -,123000,17000,-9639000,-28892000,-33902000,-14067000,-8880000,-15745000,-20850000,-26524000,-41643000,-37202000,-37046000,-61333000,-158738000
89,Cash Used for Investing Activites,-700000,-400000,-600000,-2600000,-2300000,-4600000,-2053000,-8956000,-4767000,-6649000,-10733000,-8817000,-16118000,-7626000,-11741000,-8189000,-16781000,-10751000,-9593000,-9639000,-28276000,-24538000,-30335000,-31326000,-6029000,-23194000,-16925000,-31052000,-34635000,-37046000,-61273000,-158719000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13009000,-20915000,-77503000,-39422000,-8325000,- -,- -,-761000,- -,- -,- -,-1169000,-1590000
91,Common Stock Issued,100000,- -,- -,- -,- -,- -,19000,107000,252000,163000,410000,675000,866000,402000,478000,820000,1256000,2426000,1696000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-798000,-10370000,-2787000,-3982000,-9920000,-4979000,-4912000,-3855000,-20773000,-24761000,-3129000,-19480000,-3671000,-6660000,-8222000,-29284000,-37143000,-19317000,-16620000,-26846000,-19586000,-30060000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2478000,-4958000,-5791000,-5874000,-9168000,-5935000,-8840000,-7428000,-9656000,-11857000,-12676000,-13663000,-16728000,-16645000,-19815000,-19947000
94,Other Financing Activites,800000,-3400000,700000,2700000,-500000,100000,-2570000,3965000,-1295000,-4669000,6645000,-11844000,1251000,1790000,-5356000,-108000,1744000,3269000,4396000,11911000,22363000,82783000,37236000,10635000,2557000,5240000,2001000,645000,3890000,17731000,21418000,40272000
95,Cash Used/Provided by Financing Activities,900000,-3400000,700000,2700000,-500000,100000,-2551000,4072000,-1043000,-5304000,-3315000,-13956000,-1865000,-7728000,-9857000,-4200000,-3333000,-20036000,-24460000,-10101000,-27200000,-4326000,-17686000,-13340000,-36383000,-43760000,-30753000,-29638000,-39684000,-18500000,-29626000,18735000
