,https://roic.ai/company/UDR,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
88,Other Investing Activites,- -,- -,- -,- -,100000,- -,- -,- -,-2000000,-12901000,-148330000,-186143000,-95513000,-164607000,-81247000,-12151000,-25024000,238067000,245288000,669406000,-141834000,-226009000,-255191000,1396801000,-89931000,-56456000,127541000,73329000,-79918000,-70730000,-20807000,-72115000,-283599000,-523000,-1581468000,-383239000,-1159932000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-34800000,-35800000,-67300000,-81900000,-130800000,-359631000,-183930000,-161572000,-345666000,-296437000,-34294000,103793000,-64055000,-65062000,-304217000,-595966000,-219017000,-149973000,-71397000,302304000,-158045000,-583754000,-1053182000,-209385000,-123209000,-293660000,-238449000,-112277000,-407441000,-113548000,-1686687000,-460842000,-1272253000
90,Debt Repayment,- -,- -,- -,- -,-15800000,-4800000,-23700000,-32500000,-17700000,-44744000,-55700000,-210906000,-199797000,-225075000,-72020000,-429088000,-133426000,-576161000,-298945000,-187259000,-286447000,-332788000,-354086000,-978010000,-801371000,-432338000,-225048000,-936885000,-245064000,-393461000,-521998000,-599011000,-626346000,-499879000,-862253000,-725839000,-301096000
91,Common Stock Issued,- -,- -,- -,- -,47700000,-900000,15400000,78500000,79100000,115407000,79615000,15012000,100751000,76686000,60850000,36399000,66319000,60252000,179811000,99411000,4334000,5303000,2524000,184327000,67549000,473011000,883620000,756138000,- -,99849000,210011000,173211000,- -,299825000,725315000,102234000,899053000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-43600000,-28739000,-151166000,-16510000,-71000,- -,-73242000,- -,-217588000,-160880000,-156577000,-130854000,-3597000,-91470000,- -,- -,- -,- -,- -,-19988000,- -,-19795000,- -
93,Dividends Paid,- -,- -,- -,- -,-11000000,-14400000,-15100000,-21800000,-26500000,-35000000,-50350000,-63692000,-102047000,-125685000,-144566000,-147007000,-142819000,-144540000,-155720000,-167734000,-178371000,-182155000,-189235000,-179412000,-7275000,-4314000,-159757000,-214424000,-235546000,-259824000,-286890000,-312640000,-331501000,-346077000,-387142000,-423567000,-438005000
94,Other Financing Activites,- -,- -,- -,- -,8700000,32900000,74200000,32600000,65900000,270912000,139580000,341642000,395877000,443244000,24351000,243109000,195072000,513832000,345869000,602881000,512196000,416600000,580280000,661438000,819581000,467570000,316745000,378297000,282051000,439711000,397229000,309158000,846062000,306052000,1404463000,914373000,452588000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,29600000,12800000,50800000,56800000,100800000,306575000,113145000,82056000,194784000,169170000,-174985000,-325326000,-166020000,-163127000,70944000,347299000,-21530000,-93040000,-178105000,-472537000,-78093000,373075000,811963000,-108344000,-198559000,-113725000,-201648000,-429282000,-111785000,-260067000,880383000,-152594000,612540000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,29600000,12800000,50800000,56800000,100800000,1488000,-4357000,10548000,-12979000,18056000,-18403000,2627000,-5664000,-1489000,1672000,3080000,7639000,-13400000,1076000,9521000,-6755000,3501000,3017000,-388000,18134000,-15025000,-8482000,-4630000,-74000,187061000,-175600000,-9120000,4247000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,7261000,2904000,13452000,473000,18529000,7678000,10305000,4641000,3152000,4824000,7904000,15543000,2143000,3219000,12740000,5985000,9486000,12503000,12115000,30249000,15224000,6742000,2112000,2038000,208891000,33291000,24171000,28418000
99,Cash at the Beginning of Period,- -,- -,- -,- -,1300000,8400000,1000000,1100000,1100000,5773000,7261000,2904000,13452000,473000,26081000,7678000,10305000,4641000,3152000,4824000,7904000,15543000,2143000,3219000,12740000,5985000,9486000,12503000,12115000,30249000,15224000,6742000,2112000,21830000,208891000,33291000,24171000
100,Free Cash Flow,- -,- -,- -,- -,-25600000,-21300000,-50700000,-56800000,-94300000,-658070000,-4785000,18519000,-609361000,-489135000,-271003000,7666000,21129000,-428559000,-148438000,-607318000,-374232000,-457028000,-485853000,-1063341000,-73974000,-303863000,-948219000,164517000,270728000,290184000,314166000,440638000,393005000,443467000,446357000,430203000,497436000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/74208/000095012311017187/d78598e10vk.htm,https://www.sec.gov/Archives/edgar/data/1018254/000095012312003185/0000950123-12-003185-index.html,https://www.sec.gov/Archives/edgar/data/1018254/000007420813000007/0000074208-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/74208/000007420814000003/udr-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/74208/000007420815000013/udr-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1018254/000007420816000140/0000074208-16-000140-index.html,https://www.sec.gov/Archives/edgar/data/1018254/000007420817000030/0000074208-17-000030-index.html,https://www.sec.gov/Archives/edgar/data/1018254/000007420818000024/0000074208-18-000024-index.html,https://www.sec.gov/Archives/edgar/data/1018254/000007420819000028/0000074208-19-000028-index.html,https://www.sec.gov/Archives/edgar/data/1018254/000007420820000031/0000074208-20-000031-index.html,https://www.sec.gov/Archives/edgar/data/74208/000007420821000025/0000074208-21-000025-index.htm,https://www.sec.gov/Archives/edgar/data/74208/000007420822000010/0000074208-22-000010-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
