,https://roic.ai/company/NWPX,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
47,Total Assets,56800000,64500000,101400000,132100000,234200000,248300000,283157000,266582000,286732000,280010000,335403000,338485000,424451000,453563000,509434000,391237000,435205000,413373000,422422000,433459000,351882000,259380000,241555000,230324000,271350000,310245000,373015000,547679000
48,Accounts Payable,7700000,9700000,9900000,8100000,23500000,17600000,28055000,28121000,31098000,24387000,44535000,28914000,50865000,44198000,42129000,30039000,28463000,20248000,21042000,21731000,15480000,4739000,5267000,7521000,19784000,15493000,12993000,32267000
49,Short-Term Debt,- -,- -,9800000,9400000,37900000,42600000,56144000,13873000,1088000,12036000,40199000,9361000,9663000,5851000,6543000,5714000,5714000,5714000,5714000,5714000,2170000,- -,- -,- -,- -,- -,7701000,4704000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15271000,8260000,3154000,520000,2038000,2599000,3745000,12281000,6189000,- -
52,Other Current Liabilities,15500000,7500000,7700000,3100000,5500000,4900000,6546000,8494000,8024000,34309000,7324000,7634000,10243000,12311000,10111000,21708000,27343000,30347000,26719000,12518000,8752000,16311000,11250000,6881000,7963000,13792000,19018000,27121000
53,Total Current Liabilities,23200000,17200000,27400000,20600000,66900000,65100000,90745000,50488000,40210000,70732000,92058000,45909000,70771000,62360000,58783000,57461000,61520000,56309000,68746000,48223000,29556000,21570000,18555000,17001000,31492000,41566000,45901000,64092000
54,Long-Term Debt,21000000,12000000,14400000,39900000,76300000,77000000,70842000,57000000,74087000,35072000,59607000,94924000,90915000,89344000,111280000,42904000,85786000,74071000,53890000,88562000,45587000,- -,- -,- -,11464000,- -,5888000,180486000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10984000
56,Deferred Tax Liabilities,1100000,1500000,- -,400000,7200000,9000000,13504000,13204000,15308000,20382000,23052000,23786000,29499000,- -,37776000,27687000,25694000,20588000,15254000,11842000,14015000,5124000,1282000,941000,68000,4265000,12481000,10984000
57,Other Non-Current Liabilities,- -,100000,-100000,400000,100000,- -,217000,27645000,29975000,22173000,16534000,14401000,2440000,45577000,10034000,16886000,16559000,22138000,25100000,22982000,17089000,15126000,12505000,12118000,9736000,16256000,39119000,-2250000
58,Total Non-Current Liabilities,22100000,13600000,14300000,40700000,83600000,86000000,84563000,97849000,119370000,77627000,99193000,133111000,122854000,134921000,159090000,87477000,128039000,116797000,94244000,123386000,76691000,20250000,13787000,13059000,21268000,20521000,57488000,200204000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,1577000,842000,82000,7000,- -,- -,3164000,9226000,8818000,15705000,12474000,7895000,2395000,1058000,927000,1055000,1255000,2062000,30490000,- -
61,Total Liabilities,45300000,30800000,41700000,61300000,150500000,151100000,175308000,148337000,159580000,148359000,191251000,179020000,193625000,197281000,217873000,144938000,189559000,173106000,162990000,171609000,106247000,41820000,32342000,30060000,52760000,62087000,103389000,264296000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,100000,65000,65000,65000,66000,67000,68000,89000,91000,92000,92000,93000,94000,94000,94000,95000,96000,96000,96000,97000,97000,98000,99000
64,Retained Earnings,5700000,10800000,21200000,32300000,44900000,58100000,68834000,79945000,89204000,92735000,105112000,118498000,135130000,155962000,188263000,141928000,140494000,133137000,149381000,148458000,130571000,101183000,91920000,81757000,101194000,129331000,148381000,159904000
65,Other Comprehensive Income/Loss,-8600000,-9900000,-20900000,-23700000,-25500000,-30400000,-35759000,-25514000,-24761000,-28299000,-34413000,-2000000,-2000000,-2000000,-3000000,-3000000,-2000000,-2000000,-2000000,-1000000,-2000000,-2000000,-1000000,-1000000,-2000000,-2000000,-1866000,-1682000
66,Other Total Stockholders Equity,14400000,32800000,59400000,62200000,64300000,69400000,74709000,63749000,62644000,67149000,73386000,42899000,97607000,102229000,106206000,107279000,107059000,109036000,111957000,114298000,116969000,118281000,118197000,119411000,119299000,120730000,123013000,125062000
67,Total Stockholders Equity,11500000,33700000,59700000,70800000,83700000,97200000,107849000,118245000,127152000,131651000,144152000,159465000,230826000,256282000,291561000,246299000,245646000,240267000,259432000,261850000,245635000,217560000,209213000,200264000,218590000,248158000,269626000,283383000
68,Total Liabilities And Stockholders Equity,56800000,64500000,101400000,132100000,234200000,248300000,283157000,266582000,286732000,280010000,335403000,338485000,424451000,453563000,509434000,391237000,435205000,413373000,422422000,433459000,351882000,259380000,241555000,230324000,271350000,310245000,373015000,547679000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,56800000,64500000,101400000,132100000,234200000,248300000,283157000,266582000,286732000,280010000,335403000,338485000,424451000,453563000,509434000,391237000,435205000,413373000,422422000,433459000,351882000,259380000,241555000,230324000,271350000,310245000,373015000,547679000
71,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1001385/000091205701008546/0000912057-01-008546-index.htm,https://www.sec.gov/Archives/edgar/data/1001385/000110465902000896/0001104659-02-000896-index.htm,https://www.sec.gov/Archives/edgar/data/1001385/000103221003000423/0001032210-03-000423-index.html,https://www.sec.gov/Archives/edgar/data/1001385/000119312504040025/0001193125-04-040025-index.html,https://www.sec.gov/Archives/edgar/data/1001385/000114544305000501/0001145443-05-000501-index.html,https://www.sec.gov/Archives/edgar/data/1001385/000114544306000766/0001145443-06-000766-index.htm,https://www.sec.gov/Archives/edgar/data/1001385/000119312507071639/0001193125-07-071639-index.html,https://www.sec.gov/Archives/edgar/data/1001385/000119312508058830/0001193125-08-058830-index.htm,https://www.sec.gov/Archives/edgar/data/1001385/000119312509052459/0001193125-09-052459-index.html,https://www.sec.gov/Archives/edgar/data/1001385/000119312510248322/0001193125-10-248322-index.htm,https://www.sec.gov/Archives/edgar/data/1001385/000119312511072933/0001193125-11-072933-index.htm,https://www.sec.gov/Archives/edgar/data/1001385/000119312512191419/0001193125-12-191419-index.htm,https://www.sec.gov/Archives/edgar/data/1001385/000119312513112587/0001193125-13-112587-index.html,https://www.sec.gov/Archives/edgar/data/1001385/000119312514102569/0001193125-14-102569-index.htm,https://www.sec.gov/Archives/edgar/data/1001385/000119312515093946/d839065d10k.htm,https://www.sec.gov/Archives/edgar/data/1001385/000143774916026859/0001437749-16-026859-index.html,https://www.sec.gov/Archives/edgar/data/1001385/000143774917004132/0001437749-17-004132-index.html,https://www.sec.gov/Archives/edgar/data/1001385/000143774918004857/0001437749-18-004857-index.html,https://www.sec.gov/Archives/edgar/data/1001385/000143774919005087/0001437749-19-005087-index.html,https://www.sec.gov/Archives/edgar/data/1001385/000143774920004236/0001437749-20-004236-index.html,https://www.sec.gov/Archives/edgar/data/1001385/000143774921004994/0001437749-21-004994-index.htm,https://www.sec.gov/Archives/edgar/data/1001385/000143774922006431/0001437749-22-006431-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,2200000,5100000,10400000,11100000,12600000,13300000,10691000,11111000,9259000,3531000,12377000,13386000,20019000,20832000,32301000,-7277000,-1434000,12660000,16244000,-923000,-17887000,-29388000,-9263000,-10163000,20312000,27902000,19050000,11523000
74,Depreciation and Amortization,1300000,1400000,2000000,2200000,3700000,5100000,7280000,5918000,3793000,4694000,6338000,5629000,4077000,5482000,5086000,7008000,6963000,14521000,16267000,13299000,14146000,9615000,9969000,6555000,9317000,12713000,14551000,- -
75,Deferred Income Tax,1100000,1100000,- -,3000000,2200000,1200000,4543000,-791000,1851000,3446000,1662000,1810000,6029000,3347000,3529000,-185000,11001000,6151000,-4120000,-7994000,2894000,-3560000,-4750000,-341000,-3847000,4169000,2908000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,765000,797000,1461000,3048000,3060000,2946000,1774000,1801000,1200000,281000,1709000,3088000,- -
77,Change in Working Capital,-5400000,12600000,13200000,15400000,3100000,2300000,19260000,42513000,424000,-47674000,26909000,52496000,16315000,14781000,41724000,-100904000,32836000,15434000,-3222000,27965000,-29674000,-71974000,-84000,30129000,4267000,25452000,-7411000,18072000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36942000,- -,-5713000,28298000,-24212000,7984000,26780000,2122000,-4073000,2220000,-6134000,1563000,- -
79,Inventory,-5500000,2300000,-6400000,- -,-18200000,6200000,-15666000,5529000,1913000,3878000,-17041000,9626000,-30072000,16495000,-24543000,29084000,-4186000,-29794000,-5582000,8261000,6039000,43695000,10488000,1543000,-13628000,8649000,7153000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4478000,1160000,-8920000,-310000,1374000,-5273000,-9894000,866000,2128000,6592000,-4675000,-3501000,- -
81,Other Working Capital,9900000,22500000,35700000,51100000,54200000,56500000,75760000,118273000,118697000,71023000,97932000,150428000,166743000,181524000,223248000,122344000,155180000,170614000,167392000,195357000,165683000,93709000,93625000,123754000,128021000,153473000,146062000,164134000
82,Other Non-Cash Items,-100000,-16400000,-18600000,-36000000,-24700000,-6700000,-53266000,-43609000,9879000,47383000,-57587000,-70271000,-44478000,-25120000,-82699000,179780000,-72334000,-37952000,16273000,-15318000,62619000,148739000,3846000,-34900000,-48730000,-29059000,23901000,-29595000
83,Cash Provided by Operating Activities,-900000,3800000,7000000,-4300000,-3100000,15200000,-11492000,15142000,25206000,11380000,-10301000,3050000,1962000,19322000,-59000,79187000,-22171000,12275000,44490000,20089000,35044000,55206000,1519000,-7520000,-18400000,42886000,56087000,- -
84,CAPEX,-1700000,-2600000,-17300000,-20400000,-64000000,-18800000,-10976000,-12182000,-28823000,-11115000,-11995000,-18502000,-58428000,-23332000,-21612000,-22692000,-18597000,-16333000,-16789000,-28447000,-14289000,-8515000,-2292000,-2851000,-3797000,-8585000,-14342000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14000000,- -,-16000000,30000000,4000000,- -,- -,-29000000,- -,-48728000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,587000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-300000,200000,100000,-2000000,1900000,900000,-194000,-1084000,-1602000,-974000,12000,10000,10414000,-452000,-2770000,6626000,-1671000,3263000,-2508000,-3804000,-170000,7574000,13947000,146000,433000,2162000,1308000,- -
89,Cash Used for Investing Activites,-2000000,-2400000,-17200000,-22400000,-62100000,-17900000,-11170000,-13266000,-30425000,-12089000,-11983000,-18492000,-48014000,-23784000,-24382000,-16066000,-19681000,930000,-19297000,-48251000,15541000,3059000,11655000,-2705000,-32364000,-6423000,-61433000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19721000,-138492000,-143764000,-142555000,-191287000,-280525000,-127027000,-390000,-327000,-18838000,-53642000,-43914000,- -
91,Common Stock Issued,- -,- -,15300000,- -,- -,100000,206000,202000,164000,37000,928000,1713000,53607000,2905000,2286000,28000,- -,147000,37000,72000,28000,1000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,3300000,-900000,-1600000,23400000,64900000,3000000,21840000,-2360000,5145000,639000,21317000,13773000,-3429000,-2468000,22011000,-43487000,180364000,130543000,117189000,219919000,229851000,78543000,-1264000,-136000,28168000,41516000,56173000,- -
95,Cash Used/Provided by Financing Activities,3300000,-900000,13700000,23400000,64900000,3100000,22046000,-2158000,5309000,676000,22245000,15486000,50178000,437000,24297000,-63180000,41872000,-13074000,-25329000,28704000,-50646000,-48483000,-1654000,-463000,9330000,-12126000,12259000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,500000,-616000,-282000,90000,-33000,-39000,44000,4126000,-4025000,-144000,-59000,20000,131000,-136000,542000,-61000,9782000,11520000,21817000,-36969000,24337000,6913000,- -
98,Cash at the End of Period,- -,- -,- -,- -,- -,1000000,353000,71000,161000,128000,89000,133000,4259000,234000,90000,31000,51000,182000,46000,588000,527000,10309000,21829000,43646000,6677000,31014000,37927000,- -
99,Cash at the Beginning of Period,- -,400000,900000,4300000,900000,500000,969000,353000,71000,161000,128000,89000,133000,4259000,234000,90000,31000,51000,182000,46000,588000,527000,10309000,21829000,43646000,6677000,31014000,37927000
100,Free Cash Flow,-2600000,1200000,-10300000,-24700000,-67100000,-3600000,-22468000,2960000,-3617000,265000,-22296000,-15452000,-56466000,-4010000,-21671000,56495000,-40768000,-4058000,27701000,-8358000,20755000,46691000,-773000,-10371000,-22197000,34301000,41745000,- -
