,https://roic.ai/company/LLY,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,1467000000,1691600000,1930300000,1890100000,1984300000,2376400000,2602700000,3482900000,4239100000,2669200000,3450000000,3724900000,4206200000,4887600000,4980900000,5246800000,5652500000,5573300000,6405600000,6975300000,7522500000,8019100000,9581800000,10467300000,11219000000,11937600000,12900700000,12791600000,12656900000,11354400000,11329400000,11695900000,12383600000,11938900000,11808800000,12206900000,13457500000
11,COGS and Expenses,2506200000,2860100000,3048800000,3022900000,3010800000,3652200000,3957400000,5011800000,5799800000,3916700000,4782000000,5299800000,6059300000,6412300000,6639200000,7302500000,7812700000,7749800000,9080700000,10199200000,10996700000,11565600000,13830600000,14850100000,15466000000,16303800000,17968600000,17588100000,17565000000,16286900000,16366600000,17350800000,18453800000,18368900000,16530000000,17690200000,20770300000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75200000,51900000,79900000,105000000,119700000,121000000,87000000,108700000,167300000,161300000,80400000,33000000,25400000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,261300000,185500000,186000000,177800000,160100000,148800000,161200000,185200000,225000000,272100000,400600000,359600000,339800000
14,Depreciation and Amortization,136200000,177700000,184300000,204000000,229300000,247500000,299500000,368100000,398300000,432200000,553700000,543500000,509800000,490400000,439700000,435800000,454900000,493000000,548500000,597500000,726400000,801800000,1047900000,1122600000,1297800000,1328200000,1373600000,1462200000,1445600000,1379000000,1427700000,1496600000,1567300000,1609000000,1232600000,1323900000,1547600000
15,EBITDA,932800000,1054000000,1012500000,1319800000,1559200000,1846500000,2178700000,1431500000,1089300000,2231800000,3303600000,2574800000,1020000000,3157000000,3859400000,4294500000,3977600000,3950700000,3810200000,3539400000,3421900000,4219800000,4924700000,-185000000,6916900000,8038900000,6909100000,7048200000,7495000000,4528100000,4378900000,5055800000,3989700000,5676800000,10579600000,8913400000,8042900000
16,EBITDA ratio,0.2852,0.2833,0.2779,0.3243,0.3734,0.3557,0.3805,0.2321,0.1688,0.3907,0.4884,0.3505,0.1198,0.3418,0.3858,0.3954,0.3446,0.3566,0.3028,0.2554,0.2337,0.2689,0.2643,-0.0091,0.3168,0.3484,0.2845,0.3118,0.3243,0.2308,0.2194,0.2382,0.1744,0.2312,0.4740,0.3632,0.2840
17,Operating Income,764400000,860300000,595000000,1046800000,1164800000,1539400000,1768300000,1155500000,652600000,1794900000,1981800000,2046800000,2458300000,2824500000,3363700000,3559700000,3729800000,3327700000,3501800000,3658700000,3648600000,4125400000,4802900000,5527900000,6370000000,6772200000,5528500000,4734200000,5370400000,2659800000,2689400000,3458800000,2145000000,6186800000,4974300000,6058000000,6357100000
18,Operating Income ratio,0.2337,0.2312,0.1633,0.2572,0.2790,0.2965,0.3088,0.1874,0.1011,0.3143,0.2930,0.2786,0.2886,0.3058,0.3363,0.3277,0.3231,0.3004,0.2783,0.2640,0.2491,0.2629,0.2578,0.2713,0.2917,0.2935,0.2276,0.2094,0.2324,0.1356,0.1347,0.1630,0.0938,0.2519,0.2229,0.2469,0.2245
19,Total Other Income Expenses (Gains),32200000,16000000,- -,69000000,165100000,59600000,110900000,26800000,49300000,-96300000,-216200000,-15500000,-1948100000,-159500000,-118300000,299000000,-177700000,130000000,-240100000,-716800000,-931100000,-707400000,-926100000,-6835500000,-1012200000,-247000000,-179000000,674000000,518900000,340500000,100600000,-84800000,52400000,-2391100000,291600000,1171900000,-201600000
20,Income Before Tax,796600000,876300000,595000000,1115800000,1329900000,1599000000,1879200000,1182300000,701900000,1698600000,1765600000,2031300000,510200000,2665000000,3245400000,3858700000,3552100000,3457700000,3261700000,2941900000,2717500000,3418000000,3876800000,-1307600000,5357800000,6525200000,5349500000,5408200000,5889300000,3000300000,2790000000,3374000000,2197400000,3795700000,5265900000,7229900000,6155500000
21,Income Before Tax Ratio,0.2436,0.2355,0.1633,0.2742,0.3185,0.3080,0.3282,0.1917,0.1088,0.2974,0.2610,0.2765,0.0599,0.2885,0.3244,0.3552,0.3077,0.3121,0.2592,0.2123,0.1856,0.2178,0.2081,-0.0642,0.2454,0.2828,0.2203,0.2393,0.2548,0.1530,0.1398,0.1590,0.0961,0.1546,0.2359,0.2946,0.2174
22,Income Tax expense (Gain),279000000,318100000,184500000,354800000,390400000,471700000,564500000,354700000,210800000,513500000,459000000,507800000,895300000,568700000,698700000,800900000,742700000,749800000,700900000,1131800000,715900000,755300000,923800000,764300000,1029000000,1455700000,1001800000,1319600000,1204500000,609800000,381600000,636400000,2401500000,563700000,628000000,1036200000,573800000
23,Net Income,517600000,558200000,643700000,761000000,939500000,1127300000,1314700000,708700000,480200000,1286100000,2290900000,1523500000,-385100000,2097900000,2721000000,3057800000,2780000000,2707900000,2560800000,1810100000,1979600000,2662700000,2953000000,-2071900000,4328800000,5069500000,4347700000,4088600000,4684800000,2390500000,2408400000,2737600000,-204100000,3232000000,8318400000,6193700000,5581700000
24,Net Income ratio,0.1583,0.1500,0.1767,0.1870,0.2250,0.2171,0.2296,0.1149,0.0744,0.2252,0.3387,0.2074,-0.0452,0.2271,0.2720,0.2815,0.2408,0.2445,0.2035,0.1306,0.1352,0.1697,0.1585,-0.1017,0.1982,0.2197,0.1790,0.1809,0.2027,0.1219,0.1207,0.1290,-0.0089,0.1316,0.3727,0.2524,0.1971
25,EPS,0.47,0.51,0.56,0.67,0.80,0.98,1.13,0.61,0.40,1.11,2.02,1.39,-0.35,1.91,2.50,2.83,2.58,2.51,2.38,1.67,1.82,2.45,2.71,-1.89,3.94,4.58,3.90,3.57,4.19,2.15,2.18,2.49,-0.19,3.14,8.69,6.47,6.15
26,EPS Diluted,0.47,0.51,0.56,0.67,0.80,0.98,1.13,0.61,0.40,1.11,2.02,1.39,-0.35,1.87,2.46,2.79,2.55,2.50,2.37,1.66,1.81,2.45,2.71,-1.89,3.94,4.58,3.90,3.57,4.19,2.15,2.18,2.49,-0.19,3.13,8.69,6.47,6.12
27,Weighted Average Shares Outstanding,1101276596,1094509804,1149464286,1135820896,1174375000,1150306122,1163451327,1161803279,1200500000,1156044944,1136923077,1093453237,1107714286,1097486911,1088360000,1080494700,1077519380,1078844622,1075966387,1083892216,1087692308,1086816327,1089667897,1094499000,1098338000,1105788000,1113923000,1146493000,1116795000,1110627000,1105267000,1100875000,1052023000,1027721000,957526000,956590000,906963000
28,Weighted Average Shares Outstanding Diluted,1101276596,1094509804,1149464286,1135820896,1174375000,1150306122,1163451327,1161803279,1200500000,1167968000,1176944000,1123426000,1107714286,1120962567,1106056911,1095985663,1090196078,1083160000,1080506329,1090421687,1093701657,1086816327,1089667897,1094499000,1098367000,1105813000,1113967000,1146493000,1116795000,1110627000,1105267000,1100875000,1052023000,1033667000,957526000,956590000,911681000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/59478/000005947896000001/0000059478-96-000001-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/59478/000095013101001634/0000950131-01-001634-index.html,- -,https://www.sec.gov/Archives/edgar/data/59478/000095013703001575/c75275e10vk.htm,https://www.sec.gov/Archives/edgar/data/59478/000095013704001857/c83409e10vk.htm,https://www.sec.gov/Archives/edgar/data/59478/000095013405004385/c92539e10vk.htm,https://www.sec.gov/Archives/edgar/data/59478/000095013706002395/c02657e10vk.htm,https://www.sec.gov/Archives/edgar/data/59478/000095013707003013/c12621e10vk.htm,https://www.sec.gov/Archives/edgar/data/59478/000095013708003028/c24001e10vk.htm,https://www.sec.gov/Archives/edgar/data/59478/000095015209001897/0000950152-09-001897-index.html,https://www.sec.gov/Archives/edgar/data/59478/000095012310014958/0000950123-10-014958-index.html,https://www.sec.gov/Archives/edgar/data/59478/000119312511041620/d10k.htm,https://www.sec.gov/Archives/edgar/data/59478/000119312512078393/0001193125-12-078393-index.html,https://www.sec.gov/Archives/edgar/data/59478/000005947813000007/0000059478-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/59478/000005947814000078/lly-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947815000100/lly-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947816000321/0000059478-16-000321-index.html,https://www.sec.gov/Archives/edgar/data/59478/000005947817000098/0000059478-17-000098-index.html,https://www.sec.gov/Archives/edgar/data/59478/000005947818000089/0000059478-18-000089-index.html,https://www.sec.gov/Archives/edgar/data/59478/000005947819000082/0000059478-19-000082-index.html,https://www.sec.gov/Archives/edgar/data/59478/000005947820000057/0000059478-20-000057-index.html,https://www.sec.gov/Archives/edgar/data/59478/000005947821000083/0000059478-21-000083-index.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947822000068/0000059478-22-000068-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,536900000,999500000,813700000,1947500000,1495700000,3700400000,4114900000,2702300000,1945900000,2756300000,5365300000,3006700000,3109300000,3220500000,5496700000,4462900000,5993200000,5922500000,4018800000,3830200000,3871600000,3666400000,4582100000,6536200000,7998200000,2337500000,3657100000,3818500000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,135600000,503300000,1028700000,1708800000,957000000,2099100000,2031000000,781700000,1610700000,429400000,34700000,733800000,974600000,1665500000,1567100000,955400000,785400000,1456500000,1497900000,88200000,101000000,24200000,90100000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,536900000,999500000,813700000,1947500000,1495700000,3836000000,4618200000,3731000000,3654700000,3713300000,7464400000,5037700000,3891000000,4831200000,5926100000,4497600000,6727000000,6897100000,5684300000,5397300000,4827000000,4451800000,6038600000,8034100000,8086400000,2438500000,3681300000,3908600000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,1834600000,1808400000,1737100000,1883200000,2243700000,1842800000,1966100000,1695200000,2074200000,2332300000,2553000000,2761700000,2694400000,3704800000,3277300000,3831800000,4158100000,4237900000,3888300000,4022800000,3801300000,4071600000,4766300000,5262200000,6204900000,5541500000,6929000000,8127200000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,968900000,839600000,881400000,900700000,999900000,899600000,883100000,1060200000,1495400000,1963000000,2291600000,1878000000,2270300000,2523700000,2493200000,2849900000,2517700000,2299800000,2643800000,2928800000,2740000000,3445800000,3561900000,4458300000,4111800000,3190700000,3980300000,3886000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,621900000,491100000,459100000,589300000,667500000,477100000,475600000,452500000,579800000,750100000,526800000,1118400000,838700000,1197200000,756700000,1307200000,1437200000,813400000,822300000,755800000,811500000,604400000,734600000,1447500000,2146500000,2538900000,2871500000,2530600000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,3962300000,4138600000,3891300000,5320700000,5406800000,7055500000,7943000000,6938900000,7804100000,8758700000,12835800000,10795800000,9694400000,12256900000,12453300000,12486500000,14840000000,14248200000,13038700000,13104700000,12179800000,12573600000,15101400000,19202100000,20549600000,13709600000,17462100000,18452400000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,4411500000,4239300000,4307000000,4101700000,4096300000,3981500000,4176600000,4532400000,5293000000,6539000000,7550900000,7912500000,8152300000,8575100000,8626300000,8197400000,7940700000,7760300000,7760200000,7975500000,7963900000,8053500000,8252600000,8826500000,8919500000,8405000000,8681900000,8985100000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,745700000,1167500000,1175000000,1423900000,1434700000,1501300000,1516800000,1758100000,4039900000,3972700000,4370100000,4347500000,3679400000,3766500000,3892000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,4411500000,4105200000,4028200000,1550500000,1517900000,118600000,- -,- -,- -,- -,- -,- -,- -,1709700000,2886600000,2524800000,3394900000,3693400000,3251400000,2814300000,2884200000,5034800000,4357900000,4029200000,3521000000,6618000000,7450000000,7691900000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,4411500000,4105200000,4028200000,1550500000,1517900000,118600000,- -,- -,- -,- -,- -,- -,- -,2455400000,4054100000,3699800000,4818800000,5128100000,4752700000,4331100000,4642300000,9074700000,8330600000,8399300000,7868500000,10297400000,11216500000,11583900000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1155800000,1779500000,4029800000,6313300000,7624900000,4568900000,3646600000,5207500000,5678800000,2020700000,1962400000,2966800000,3212600000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2657700000,2572600000,2830400000,2489300000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1722100000,1929400000,2080700000,1604500000,1574500000,1669600000,2571200000,4962800000,5944900000,6380400000,4480300000,5872500000,4108700000,3500400000,4078900000,1921400000,1622400000,2493400000,2534000000,2212500000,7823300000,2220500000,1913800000,2874300000,1892400000,2339100000,3475400000,4082700000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,10545100000,10273900000,10415900000,7256700000,7188700000,5769700000,6747800000,9495200000,11237900000,12919400000,12031200000,13785000000,12261000000,14530900000,16759300000,14974400000,16161400000,19411600000,21360200000,22144000000,24998400000,22995300000,23704500000,25778900000,23358800000,25576500000,29171000000,30353600000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,14507400000,14412500000,14307200000,12577400000,12595500000,12825200000,14690800000,16434100000,19042000000,21678100000,24867000000,24580800000,21955400000,26787800000,29212600000,27460900000,31001400000,33659800000,34398900000,35248700000,37178200000,35568900000,38805900000,44981000000,43908400000,39286100000,46633100000,48806000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,878200000,1018000000,829300000,985500000,1186000000,445500000,661900000,624100000,676900000,875900000,648600000,781300000,789400000,1018500000,885800000,968100000,1072200000,1125200000,1188300000,1119300000,1128100000,1338200000,1349300000,1410700000,1412300000,1405300000,1606700000,1670600000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,2724400000,1908800000,1212900000,227600000,181400000,241500000,184300000,286300000,545400000,196500000,2020600000,734700000,219400000,413700000,5846300000,27400000,156000000,1522300000,11900000,1012600000,2688700000,6100000,1937400000,3706600000,1131200000,1499300000,8700000,1538300000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,346700000,457500000,261600000,143500000,254400000,93500000,358900000,119100000,532900000,404000000,160600000,495100000,126900000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,2066900000,2040200000,2180000000,2978500000,3239800000,3248400000,4114500000,4292600000,3841200000,4478200000,4924500000,4200300000,4076700000,3836100000,6377600000,5572600000,5873200000,6283400000,7189300000,6784700000,7390700000,6885300000,7699900000,9418600000,9344600000,8870600000,10866200000,11843800000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,5669500000,4967000000,4222200000,4191600000,4607200000,3935400000,4960700000,5203000000,5063500000,5550600000,7593700000,5716300000,5085500000,5268300000,13109700000,6568100000,7101400000,8930900000,8389500000,8916600000,11207500000,8229600000,10986600000,14535900000,11888100000,11775200000,12481600000,15052700000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,2125800000,2592900000,2516500000,2326100000,2185500000,2811900000,2633700000,3132100000,4358200000,4687800000,4491900000,5763500000,3494400000,4593500000,4615700000,6634700000,6770500000,5464700000,5519400000,4200300000,5367700000,7972400000,8367800000,9940500000,11639700000,13817900000,16586600000,15346400000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,188900000,295500000,376000000,215500000,247900000,137000000,91600000,- -,- -,- -,620400000,695100000,62200000,287500000,74700000,84800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,2187500000,2099900000,1733700000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1167600000,1124500000,1092400000,1038600000,1125300000,927900000,957900000,995000000,1346700000,1674900000,1241100000,1614000000,2332600000,2974100000,4677200000,4648000000,4716700000,5728600000,5716100000,4491100000,5214900000,4776600000,5371000000,8836700000,9471500000,8806400000,9639800000,7518400000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,3482300000,4012900000,3984900000,3580200000,3558700000,3876800000,3683200000,4127100000,5704900000,6362700000,6353400000,8072600000,5889200000,7855100000,9367600000,11367500000,11487200000,11193300000,11235500000,8691400000,10582600000,12749000000,13738800000,18777200000,21111200000,24811800000,28326300000,24598500000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,486700000,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,9151800000,8979900000,8207100000,7771800000,8165900000,7812200000,8643900000,9330100000,10768400000,11913300000,13947100000,13788900000,10974700000,13123400000,22477300000,17935600000,18588600000,20124200000,19625000000,17608000000,21790100000,20978600000,24725400000,33313100000,32999300000,36587000000,40807900000,39651200000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,682000000,704400000,702700000,702100000,702300000,708000000,706900000,- -,- -,711100000,- -,- -,- -,716600000,698500000,694600000,691300000,688500000,687900000,661000000,598800000,598200000,596300000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,5062100000,6484300000,7207300000,4483100000,4228800000,4985600000,6223200000,7411200000,8500100000,9470400000,9724600000,10027200000,10926700000,11967200000,7654900000,9830400000,12732600000,14897800000,16088200000,16992400000,16482700000,16011800000,16046300000,13894100000,11395900000,4920400000,7830200000,8958500000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2614900000,-2589000000,-2789400000,-2933200000,-3178200000,-3365800000,-3608100000,-3883000000,-3429100000,-2913700000,-2528300000,-3161900000,-4124400000,-2717000000,-5508100000,-2471900000,-2670100000,-3858600000,-3797100000,-2002700000,-3991800000,-4580700000,-5274000000,-5718600000,-5729200000,-6523600000,-6496400000,-4343100000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,2908400000,1537300000,1682200000,3255700000,3379000000,2711200000,2727400000,2873100000,2500500000,2505800000,3015600000,3219700000,1443000000,1684200000,3877400000,2166900000,2350200000,2496800000,1757500000,1943200000,2187700000,2448900000,2546900000,2728800000,3501000000,3611300000,3709600000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,5355600000,5432600000,6100100000,4805600000,4429600000,5013000000,6046900000,7104000000,8273600000,9764800000,10919900000,10791900000,10980700000,13664400000,6735300000,9523700000,12420300000,13541700000,14765200000,17631400000,15373200000,14571300000,14007700000,11592200000,9828700000,2606900000,5641600000,8979200000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,14507400000,14412500000,14307200000,12577400000,12595500000,12825200000,14690800000,16434100000,19042000000,21678100000,24867000000,24580800000,21955400000,26787800000,29212600000,27459300000,31008900000,33665900000,34390200000,35239400000,37163300000,35549900000,38733100000,44905300000,42828000000,39193900000,46449500000,48630400000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1600000,-7500000,-6100000,8700000,9300000,14900000,19000000,72800000,75700000,1080400000,92200000,183600000,175600000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,14507400000,14412500000,14307200000,12577400000,12595500000,12825200000,14690800000,16434100000,19042000000,21678100000,24867000000,24580800000,21955400000,26787800000,29212600000,27460900000,31001400000,33659800000,34398900000,35248700000,37178200000,35568900000,38805900000,44981000000,43908400000,39286100000,46633100000,48806000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/59478/000005947896000001/0000059478-96-000001-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/59478/000095013101001634/0000950131-01-001634-index.html,- -,https://www.sec.gov/Archives/edgar/data/59478/000095013703001575/c75275e10vk.htm,https://www.sec.gov/Archives/edgar/data/59478/000095013704001857/c83409e10vk.htm,https://www.sec.gov/Archives/edgar/data/59478/000095013405004385/c92539e10vk.htm,https://www.sec.gov/Archives/edgar/data/59478/000095013706002395/c02657e10vk.htm,https://www.sec.gov/Archives/edgar/data/59478/000095013707003013/c12621e10vk.htm,https://www.sec.gov/Archives/edgar/data/59478/000095013708003028/c24001e10vk.htm,https://www.sec.gov/Archives/edgar/data/59478/000095015209001897/0000950152-09-001897-index.html,https://www.sec.gov/Archives/edgar/data/59478/000095012310014958/0000950123-10-014958-index.html,https://www.sec.gov/Archives/edgar/data/59478/000119312511041620/d10k.htm,https://www.sec.gov/Archives/edgar/data/59478/000119312512078393/0001193125-12-078393-index.html,https://www.sec.gov/Archives/edgar/data/59478/000005947813000007/0000059478-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/59478/000005947814000078/lly-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947815000100/lly-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947816000321/0000059478-16-000321-index.html,https://www.sec.gov/Archives/edgar/data/59478/000005947817000098/0000059478-17-000098-index.html,https://www.sec.gov/Archives/edgar/data/59478/000005947818000089/0000059478-18-000089-index.html,https://www.sec.gov/Archives/edgar/data/59478/000005947819000082/0000059478-19-000082-index.html,https://www.sec.gov/Archives/edgar/data/59478/000005947820000057/0000059478-20-000057-index.html,https://www.sec.gov/Archives/edgar/data/59478/000005947821000083/0000059478-21-000083-index.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947822000068/0000059478-22-000068-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
