,https://roic.ai/company/SHOO,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5799000,4522000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,300000,1200000,500000,1000000,200000,8100000,4407000,11310000,9835000,5767000,6227000,11327000,23548000,22890000,54632000,27818000,34342000,65341000,51051000,55377000,84956000,95009000,102543000,139657000,144887000,219565000,127755000,267665000
53,Total Current Liabilities,- -,- -,600000,1800000,2100000,3100000,3300000,14700000,14037000,18189000,18893000,16855000,19677000,26906000,36332000,47717000,72650000,52362000,71431000,135088000,134478000,154503000,177591000,174799000,183127000,206612000,224689000,281271000,235916000,435190000
54,Long-Term Debt,- -,- -,- -,- -,- -,400000,300000,200000,56000,- -,- -,- -,- -,- -,- -,- -,- -,- -,6595000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,80072000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5044000,5467000,6004000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5117000,13224000,24706000,39410000,31638000,3602000,4041000,5877000,2562000,3378000
57,Other Non-Current Liabilities,- -,- -,-100000,-100000,200000,- -,300000,800000,1074000,1313000,1532000,1828000,2088000,2757000,3136000,3470000,5801000,1666000,6905000,23936000,38044000,33674000,39409000,21513000,17210000,38015000,29158000,150275000,108914000,16364000
58,Total Non-Current Liabilities,- -,- -,-100000,-100000,200000,400000,600000,1000000,1130000,1313000,1532000,1828000,2088000,2757000,3136000,3470000,5801000,6710000,18967000,29940000,43161000,46898000,64115000,60923000,48848000,41617000,33199000,156152000,111476000,99814000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,171796000,132849000,110831000
61,Total Liabilities,- -,- -,500000,1700000,2300000,3500000,3900000,15700000,15167000,19502000,20425000,18683000,21765000,29663000,39468000,51187000,78451000,59072000,90398000,165028000,177639000,201401000,241706000,235722000,231975000,248229000,257888000,437423000,347392000,535004000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,1000,1000,1000,1000,1000,2000,2000,3000,3000,3000,4000,5000,5000,7000,6000,6000,6000,6000,6000,6000,8000,- -
64,Retained Earnings,- -,- -,-1700000,2000000,3100000,5800000,11300000,22700000,38765000,50881000,70722000,91176000,103451000,108838000,133561000,169263000,197257000,247365000,323092000,420411000,540037000,672044000,783904000,896842000,1017753000,1135701000,1217521000,1310406000,1279550000,- -
65,Other Comprehensive Income/Loss,- -,- -,-100000,-200000,-400000,-1000000,-2200000,-5100000,-8497000,-11805000,-10434000,-12996000,-17554000,-22074000,-24335000,-28561000,-33258000,-36786000,-41548000,-47244000,-53403000,-7000000,-13000000,-31000000,-32000000,-26000000,-33000000,-30000000,-29164000,-29544000
66,Other Total Stockholders Equity,- -,- -,7000000,11000000,17400000,21000000,35900000,44800000,46297000,63283000,69786000,81006000,78767000,95299000,102696000,74629000,42240000,57205000,75750000,101704000,139941000,13466000,-101655000,-187444000,-244892000,-306886000,-378713000,-451911000,-473808000,- -
67,Total Stockholders Equity,- -,- -,5200000,12800000,20100000,25800000,45000000,62400000,76566000,102360000,130075000,159187000,164665000,182065000,211924000,215334000,206242000,267787000,357298000,474876000,626580000,678517000,669255000,678404000,740867000,802821000,805814000,828501000,776586000,812098000
68,Total Liabilities And Stockholders Equity,- -,- -,5700000,14500000,22400000,29300000,48900000,78100000,91733000,121862000,150500000,177870000,186430000,211728000,251392000,266521000,284693000,326859000,447696000,639904000,804219000,879918000,910961000,914126000,972842000,1051050000,1063702000,1265924000,1123978000,1347102000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-118000,-180000,323000,274000,259000,205000,6111000,8868000,12723000,13783000,8440000
70,Total Liabilities & Equity,- -,- -,5700000,14500000,22400000,29300000,48900000,78100000,91733000,121862000,150500000,177870000,186430000,211728000,251392000,266521000,284693000,326859000,447696000,639786000,804039000,880241000,911235000,914385000,973047000,1057161000,1072570000,1278647000,1137761000,1355542000
71,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/913241/000101905605000307/0001019056-05-000307-index.htm,https://www.sec.gov/Archives/edgar/data/913241/000101905606000507/0001019056-06-000507-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/913241/000101905609000306/0001019056-09-000306-index.html,https://www.sec.gov/Archives/edgar/data/913241/000101905610000302/0001019056-10-000302-index.html,https://www.sec.gov/Archives/edgar/data/913241/000101905611000275/smadden_10k10.htm,https://www.sec.gov/Archives/edgar/data/913241/000101905612000270/0001019056-12-000270-index.html,https://www.sec.gov/Archives/edgar/data/913241/000144530513000408/0001445305-13-000408-index.html,https://www.sec.gov/Archives/edgar/data/913241/000144530514000668/shoo-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/913241/000162828015001083/shoo-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/913241/000162828016011839/0001628280-16-011839-index.html,https://www.sec.gov/Archives/edgar/data/913241/000162828017001869/0001628280-17-001869-index.html,https://www.sec.gov/Archives/edgar/data/913241/000162828018002589/0001628280-18-002589-index.html,https://www.sec.gov/Archives/edgar/data/913241/000162828019002264/0001628280-19-002264-index.html,https://www.sec.gov/Archives/edgar/data/913241/000162828020002674/0001628280-20-002674-index.html,https://www.sec.gov/Archives/edgar/data/913241/000162828021004895/0001628280-21-004895-index.htm,https://www.sec.gov/Archives/edgar/data/913241/000162828022004561/0001628280-22-004561-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-100000,-700000,3800000,1100000,2700000,5400000,11500000,16043000,12116000,19841000,20454000,12275000,19200000,46250000,35690000,27976000,50107000,75725000,97319000,119626000,132007000,111880000,112938000,120911000,117948000,129136000,141311000,-18397000,190678000
74,Depreciation and Amortization,- -,200000,100000,100000,400000,800000,1400000,3000000,3586000,3447000,3706000,4743000,5063000,5120000,6705000,8435000,9101000,9560000,9999000,11060000,12642000,12979000,15077000,20757000,21102000,21389000,22482000,21337000,17360000,15208000
75,Deferred Income Tax,- -,- -,- -,-200000,-200000,100000,-400000,-1600000,-1350000,-480000,-1090000,-1978000,-227000,-2691000,-4210000,-2120000,1495000,-1928000,-798000,1452000,1528000,7106000,2875000,5894000,-6588000,-19274000,-2512000,5144000,-8353000,1280000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5940000,8271000,11404000,17434000,20141000,19260000,18698000,19509000,20847000,21076000,23170000,22639000,22278000
77,Change in Working Capital,- -,-200000,- -,4900000,4100000,2900000,17000000,14500000,9107000,25426000,3828000,18679000,-3723000,12649000,37645000,-30573000,948000,16921000,-371000,72833000,95307000,35366000,-77507000,18385000,76509000,79377000,39530000,-40828000,24717000,-79260000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5169000,-8266000,- -,19669000,-13655000,-144000,-11071000,-13617000,22683000,4966000,-17837000,13122000,-583000
79,Inventory,- -,- -,-700000,-500000,-1400000,-2300000,-2700000,-2200000,-5666000,6000,-3627000,-4413000,-10526000,5972000,635000,6463000,-4400000,1144000,-8804000,-9210000,-1819000,-10013000,-1841000,-9403000,-17744000,21135000,-26923000,8436000,35476000,-153793000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11956000,20702000,3777000,-8643000,15324000,9501000,- -,- -,-34207000,- -
81,Other Working Capital,- -,4700000,4700000,9600000,13700000,16600000,33600000,48100000,57207000,82633000,86461000,105140000,101417000,114066000,151711000,121138000,122086000,139007000,138636000,211469000,306776000,342142000,264635000,283020000,359529000,438906000,478436000,437608000,462325000,10998000
82,Other Non-Cash Items,- -,-100000,-1600000,-9900000,-6300000,-4100000,-22300000,-4500000,-18638000,-31116000,3308000,-33995000,-525000,8464000,-42982000,48475000,2259000,-16258000,-5953000,-119100000,-103196000,-52146000,80390000,-41952000,-77839000,-62352000,-55336000,83646000,6240000,9279000
83,Cash Provided by Operating Activities,- -,-200000,-2200000,-1300000,-900000,2400000,1100000,22900000,8748000,9393000,29593000,7903000,12863000,42742000,43408000,59907000,41779000,64342000,86873000,74968000,143341000,155453000,151975000,134720000,153604000,157935000,154376000,233780000,44206000,159463000
84,CAPEX,- -,- -,-200000,-500000,-1200000,-3700000,-4300000,-5000000,-7933000,-3415000,-5072000,-6061000,-7387000,-5822000,-9511000,-12965000,-8314000,-3399000,-3424000,-15477000,-20102000,-20746000,-18341000,-19459000,-15897000,-14775000,-12450000,-18311000,-6562000,-6608000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15000000,-9000000,-5000000,-6000000,-41000000,-78000000,-29000000,- -,-82000000,-9000000,- -,-17000000,- -,-37000000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-2000000,-500000,-300000,- -,-54000,-26349000,-47059000,-27779000,-17252000,-44690000,-66505000,-31005000,-67265000,-72663000,-17968000,-63822000,-63310000,-137348000,-48891000,-40451000,-61209000,-77262000,-67935000,-73792000,-68471000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,2000000,500000,487000,125000,4041000,36785000,9708000,9153000,21434000,76192000,74844000,17543000,30092000,67885000,46447000,43675000,128663000,43353000,52215000,79141000,100777000,95671000,75470000,63867000
88,Other Investing Activites,- -,- -,- -,- -,-1700000,-200000,- -,100000,- -,- -,- -,- -,- -,- -,-357000,-80000,77000,224000,-8234000,-3877000,-44898000,- -,-18226000,-19122000,-15648000,426000,-12450000,-18484000,-6562000,1392000
89,Cash Used for Investing Activites,- -,- -,-200000,-500000,-2900000,-5900000,-2800000,-4700000,-7446000,-3344000,-27380000,-16335000,-25458000,-13921000,-48124000,-12358000,30602000,-58897000,-95229000,-47437000,-91273000,-40381000,-108911000,-33660000,-3884000,-13417000,11065000,-27748000,-4884000,-3212000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-30168000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10129000,- -
91,Common Stock Issued,- -,- -,- -,3400000,6300000,1300000,13300000,5300000,2807000,8998000,4364000,4805000,454000,16483000,6837000,5607000,2051000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-500000,- -,-800000,-700000,-6076000,- -,- -,- -,-9700000,-7735000,-8264000,-50094000,-44200000,- -,-4559000,- -,- -,-102172000,-142228000,-135637000,-86005000,-99412000,-105924000,-101768000,-46583000,-123161000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13813000,-21106000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-47316000,-48426000,-12459000,-49161000
94,Other Financing Activites,- -,200000,- -,- -,- -,-100000,- -,-100000,-135000,-127000,-43000,-13000,-379000,-1767000,3611000,7180000,29910000,4401000,9800000,9148000,13879000,-1402000,339000,25541000,-9448000,9074000,7430000,8016000,12097000,-12331000
95,Cash Used/Provided by Financing Activities,- -,200000,- -,3400000,5800000,1200000,12500000,4500000,-3404000,8871000,4321000,4792000,-9625000,-6832000,-18922000,-37307000,-12239000,-25767000,5241000,9148000,13879000,-103574000,-141889000,-110096000,-95453000,-90338000,-145810000,-142178000,-57074000,-184653000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-566000,919000,-814000,216000,1515000,37000
97,Net Change In Cash,- -,200000,- -,- -,- -,- -,- -,22800000,-2102000,14920000,6534000,-3640000,-22220000,21989000,-23638000,10242000,60142000,-20322000,-3115000,36679000,65947000,11498000,-98825000,-9036000,53701000,55099000,18817000,64070000,-16237000,-28365000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,37400000,35259000,50179000,56713000,53073000,30853000,52842000,19204000,29446000,89588000,69266000,66151000,102830000,168777000,180275000,81450000,72414000,126115000,181214000,200031000,264101000,247864000,219499000
99,Cash at the Beginning of Period,- -,100000,4900000,2500000,4100000,6200000,3900000,14600000,37361000,35259000,50179000,56713000,53073000,30853000,42842000,19204000,29446000,89588000,69266000,66151000,102830000,168777000,180275000,81450000,72414000,126115000,181214000,200031000,264101000,247864000
