,https://roic.ai/company/ANDE,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
65,Other Comprehensive Income/Loss,- -,- -,- -,-130400000,-136400000,-142600000,-152500000,-159500000,-162404000,-166321000,-888000,-475000,-516000,-714000,-9735000,-7197000,-30046000,-25314000,-28799000,-43090000,-45379000,-21181000,-54595000,-20939000,-12468000,-2700000,-6387000,-7231000,-12076000,1194000
66,Other Total Stockholders Equity,- -,1387634,1390598,198200000,210200000,205500000,217700000,220400000,218962000,221018000,54104000,54061000,55306000,56926000,144249000,163734000,156706000,172614000,177242000,179319000,169068000,174158000,213046000,169946000,177527000,184310000,189096000,338017000,347748000,368332000
67,Total Stockholders Equity,- -,1606724,1862039,67800000,73800000,72800000,83400000,86000000,89836000,94934000,104840000,115791000,133876000,158883000,270175000,344364000,353413000,393367000,451431000,523995000,594413000,701474000,803103000,764254000,774361000,815202000,830322000,973610000,961891000,1072425000
68,Total Liabilities And Stockholders Equity,- -,11432203,12983964,458400000,346600000,368200000,360800000,376800000,433196000,454076000,469815000,492619000,572789000,634144000,809344000,1322769000,1308773000,1271482000,1686262000,1719276000,2165272000,2250609000,2343746000,2339616000,2216513000,2154657000,2345561000,3678696000,4073352000,4333940000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12219000,- -,12909000,13128000,14847000,17032000,22947000,20946000,19485000,16336000,7697000,46442000,222045000,198769000,235279000
70,Total Liabilities & Equity,- -,11432203,12983964,458400000,346600000,368200000,360800000,376800000,433196000,454076000,469815000,492619000,572789000,634144000,809344000,1334988000,1308773000,1284391000,1699390000,1734123000,2182304000,2273556000,2364692000,2359101000,2232849000,2162354000,2392003000,3900741000,4272121000,4569219000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/821026/0000821026-95-000001-index.html,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/821026/000095015204001821/0000950152-04-001821-index.htm,https://www.sec.gov/Archives/edgar/data/821026/000095015205002095/0000950152-05-002095-index.htm,https://www.sec.gov/Archives/edgar/data/821026/000095015206002076/0000950152-06-002076-index.htm,https://www.sec.gov/Archives/edgar/data/821026/000095015207002024/0000950152-07-002024-index.htm,https://www.sec.gov/Archives/edgar/data/821026/000095015208001522/0000950152-08-001522-index.htm,https://www.sec.gov/Archives/edgar/data/821026/000095015209001956/0000950152-09-001956-index.htm,https://www.sec.gov/Archives/edgar/data/821026/000095012310018173/0000950123-10-018173-index.htm,https://www.sec.gov/Archives/edgar/data/821026/000095012311020452/0000950123-11-020452-index.htm,https://www.sec.gov/Archives/edgar/data/821026/000119312512082031/0001193125-12-082031-index.htm,https://www.sec.gov/Archives/edgar/data/821026/000082102613000005/0000821026-13-000005-index.htm,https://www.sec.gov/Archives/edgar/data/821026/000082102614000008/0000821026-14-000008-index.htm,https://www.sec.gov/Archives/edgar/data/821026/000082102615000013/0000821026-15-000013-index.htm,https://www.sec.gov/Archives/edgar/data/821026/000082102616000068/0000821026-16-000068-index.htm,https://www.sec.gov/Archives/edgar/data/821026/000082102617000008/0000821026-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/821026/000082102618000009/0000821026-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/821026/000082102619000026/0000821026-19-000026-index.htm,https://www.sec.gov/Archives/edgar/data/821026/000082102620000011/0000821026-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/821026/000082102621000060/0000821026-21-000060-index.htm,https://www.sec.gov/Archives/edgar/data/821026/000082102622000050/0000821026-22-000050-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,9083,146399,252351,10200000,6400000,4100000,9800000,8400000,10078000,8857000,13319000,11701000,19144000,26087000,36347000,68784000,32900000,38351000,64662000,95106000,79480000,89939000,109726000,-13067000,11594000,42511000,41484000,18307000,7710000,103986000
74,Depreciation and Amortization,11145,41411,4110,9300000,9700000,10100000,10600000,11300000,13119000,14264000,14314000,15139000,21435000,22888000,24737000,26253000,29767000,36020000,38913000,40837000,48977000,55307000,62005000,78456000,84325000,86412000,90297000,146166000,188638000,178934000
