,https://roic.ai/company/GT,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,1770100000,1979900000,1984800000,2102200000,2247200000,2664800000,2418200000,2520200000,2428100000,2368500000,2371800000,2350900000,2358800000,2368900000,2598400000,2867600000,2248800000,2554000000,2371200000,2833100000,2875000000,2671000000,2762000000,2600000000,2404000000,2870000000,2925000000,2718000000,2758000000,2720000000,2614000000,2407000000,2302000000,2312000000,2323000000,2192000000,2699000000
11,COGS and Expenses,9104700000,8595200000,9009500000,10036100000,10098400000,11054900000,10382000000,11046200000,10748200000,11229600000,12030500000,11916800000,11935400000,11554000000,12368100000,13874600000,13868300000,13867900000,14866500000,17542300000,18647000000,19677000000,18682000000,18739000000,16080000000,18322000000,21746000000,19881000000,18180000000,16626000000,14778000000,13379000000,14021000000,14273000000,13925000000,12529000000,16391000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,128000000,68000000,17000000,11000000,16000000,17000000,41000000,28000000,22000000,15000000,13000000,54000000,26000000,14000000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,450000000,320000000,311000000,316000000,330000000,357000000,392000000,428000000,412000000,372000000,335000000,321000000,340000000,324000000,387000000
14,Depreciation and Amortization,300500000,378600000,349900000,357100000,383500000,415000000,441500000,445800000,392900000,410300000,434900000,460800000,469300000,487800000,581700000,630300000,636700000,602800000,693300000,714800000,706000000,694000000,659000000,660000000,636000000,652000000,715000000,687000000,722000000,732000000,698000000,727000000,781000000,778000000,795000000,859000000,883000000
15,EBITDA,868100000,640400000,1479300000,894600000,854400000,470900000,712200000,49800000,1076900000,1276000000,1360700000,583100000,1269300000,1455800000,878400000,689100000,363700000,584900000,3400000,1037500000,1184000000,470000000,1966000000,1112000000,579000000,924000000,1589000000,1459000000,1881000000,1778000000,1649000000,2286000000,1975000000,2095000000,1298000000,39000000,2050000000
16,EBITDA ratio,0.0906,0.0703,0.1493,0.0828,0.0786,0.0418,0.0653,0.0042,0.0925,0.1038,0.1034,0.0445,0.0965,0.1153,0.0682,0.0478,0.0257,0.0422,0.0002,0.0565,0.0600,0.0232,0.1001,0.0571,0.0355,0.0491,0.0698,0.0695,0.0963,0.0980,0.1003,0.1508,0.1284,0.1354,0.0880,0.0032,0.1173
17,Operating Income,480400000,507900000,895700000,774300000,770900000,217600000,524800000,738700000,895200000,1058600000,1135400000,1196000000,1219700000,1072300000,512500000,542500000,278900000,-17900000,252500000,828100000,1076000000,581000000,962000000,749000000,221000000,510000000,1021000000,1111000000,1360000000,1512000000,1665000000,1779000000,1356000000,1202000000,820000000,-208000000,1087000000
18,Operating Income ratio,0.0501,0.0558,0.0904,0.0716,0.0709,0.0193,0.0481,0.0627,0.0769,0.0861,0.0862,0.0912,0.0927,0.0849,0.0398,0.0376,0.0197,-0.0013,0.0167,0.0451,0.0546,0.0287,0.0490,0.0384,0.0136,0.0271,0.0448,0.0529,0.0696,0.0834,0.1013,0.1174,0.0882,0.0777,0.0556,-0.0169,0.0622
19,Total Other Income Expenses (Gains),-23900000,-269500000,-23300000,-236800000,-300000000,-161700000,-254100000,-108800000,-110300000,-192900000,-209600000,-1073700000,-419700000,-69600000,-215800000,-483700000,-551900000,- -,-942400000,-505400000,-587000000,-603000000,-498000000,-563000000,-578000000,-502000000,-403000000,-671000000,-547000000,-825000000,-1057000000,-572000000,-478000000,-191000000,-643000000,-932000000,-574000000
20,Income Before Tax,456500000,238400000,872400000,537500000,470900000,55900000,270700000,629900000,784900000,865700000,925800000,122300000,800000000,1002700000,296700000,58800000,-273000000,-17900000,-689900000,322700000,489000000,-22000000,464000000,186000000,-357000000,8000000,618000000,440000000,813000000,687000000,608000000,1207000000,878000000,1011000000,177000000,-1140000000,513000000
21,Income Before Tax Ratio,0.0476,0.0262,0.0881,0.0497,0.0433,0.0050,0.0248,0.0534,0.0674,0.0704,0.0703,0.0093,0.0608,0.0794,0.0230,0.0041,-0.0193,-0.0013,-0.0456,0.0176,0.0248,-0.0011,0.0236,0.0095,-0.0219,0.0004,0.0271,0.0210,0.0416,0.0379,0.0370,0.0796,0.0571,0.0653,0.0120,-0.0925,0.0294
22,Income Tax expense (Gain),155200000,137700000,358500000,187400000,281500000,94200000,196200000,262600000,296200000,298700000,314800000,20600000,241300000,285700000,55600000,18500000,-69400000,1087900000,112200000,207900000,250000000,106000000,255000000,209000000,7000000,172000000,201000000,203000000,138000000,-1834000000,232000000,-77000000,513000000,303000000,474000000,110000000,- -
23,Net Income,412400000,124100000,770900000,350100000,189400000,-38300000,74500000,-658600000,387800000,567000000,611000000,101700000,558700000,682300000,241100000,40300000,-203600000,-1105800000,-802100000,114800000,228000000,-330000000,602000000,-77000000,-375000000,-216000000,343000000,212000000,629000000,2452000000,307000000,1264000000,346000000,693000000,-311000000,-1254000000,780000000
24,Net Income ratio,0.0430,0.0136,0.0778,0.0324,0.0174,-0.0034,0.0068,-0.0559,0.0333,0.0461,0.0464,0.0078,0.0425,0.0540,0.0187,0.0028,-0.0144,-0.0798,-0.0531,0.0062,0.0116,-0.0163,0.0306,-0.0040,-0.0230,-0.0115,0.0151,0.0101,0.0322,0.1352,0.0187,0.0834,0.0225,0.0448,-0.0211,-0.1018,0.0446
25,EPS,1.93,0.58,6.37,3.06,1.64,-0.33,0.62,-4.62,2.64,3.75,4.02,0.66,3.58,4.36,1.54,0.26,-1.27,-6.62,-4.58,0.65,1.30,-1.86,3.00,-0.32,-1.55,-0.89,1.32,0.75,2.44,9.13,1.14,4.81,1.39,2.92,-1.33,-5.35,2.76
26,EPS Diluted,1.93,0.58,6.37,3.06,1.64,-0.33,0.62,-4.62,2.64,3.75,4.02,0.66,3.53,4.31,1.52,0.25,-1.27,-6.62,-4.58,0.63,1.16,-1.86,2.65,-0.32,-1.55,-0.89,1.26,0.74,2.28,8.78,1.12,4.74,1.37,2.89,-1.33,-5.35,2.73
27,Weighted Average Shares Outstanding,213678756,213965517,121020408,114411765,115487805,116060606,120161290,142554113,146893939,151203885,152118861,155051802,156225112,156570476,156182004,156840646,159955869,167020375,175314449,175400000,176000000,177000000,201000000,241000000,241000000,242000000,244000000,245000000,246000000,268000000,269000000,263000000,249000000,237000000,233000000,234000000,283000000
28,Weighted Average Shares Outstanding Diluted,213678756,213965517,121020408,114411765,115487805,116060606,120161290,142554113,146893939,151203885,152118861,155051802,158169534,158307212,158939599,158764926,159955869,167020375,175314449,192300000,209000000,177000000,232000000,241000000,241000000,242000000,271000000,247000000,277000000,279000000,273000000,266000000,253000000,239000000,233000000,234000000,286000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/42582/000095015296001068/0000950152-96-001068-index.html,https://www.sec.gov/Archives/edgar/data/42582/000095015297002174/0000950152-97-002174-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/42582/000095015202001645/0000950152-02-001645-index.html,https://www.sec.gov/Archives/edgar/data/42582/000095015203003920/l99117ae10vk.htm,https://www.sec.gov/Archives/edgar/data/42582/000095015204004172/l07358ae10vk.htm,https://www.sec.gov/Archives/edgar/data/42582/000095015205002219/l12143ae10vk.htm,https://www.sec.gov/Archives/edgar/data/42582/000095015206001296/l17860ae10vk.htm,https://www.sec.gov/Archives/edgar/data/42582/000095015207001224/l24626ae10vk.htm,https://www.sec.gov/Archives/edgar/data/42582/000095015208001092/l29512ae10vk.htm,https://www.sec.gov/Archives/edgar/data/42582/000095015209001538/0000950152-09-001538-index.html,https://www.sec.gov/Archives/edgar/data/42582/000095012310014004/0000950123-10-014004-index.html,https://www.sec.gov/Archives/edgar/data/42582/000095012311011714/l41188e10vk.htm,https://www.sec.gov/Archives/edgar/data/42582/000095012312002512/0000950123-12-002512-index.html,https://www.sec.gov/Archives/edgar/data/42582/000095012313000902/0000950123-13-000902-index.html,https://www.sec.gov/Archives/edgar/data/42582/000095012314002054/gt-q4201310k.htm,https://www.sec.gov/Archives/edgar/data/42582/000095012315002527/gt-q4201410k.htm,https://www.sec.gov/Archives/edgar/data/42582/000095012316013733/0000950123-16-013733-index.html,https://www.sec.gov/Archives/edgar/data/42582/000156459017001142/0001564590-17-001142-index.html,https://www.sec.gov/Archives/edgar/data/42582/000095012318001052/0000950123-18-001052-index.html,https://www.sec.gov/Archives/edgar/data/42582/000095012319000989/0000950123-19-000989-index.html,https://www.sec.gov/Archives/edgar/data/42582/000095012320001393/0000950123-20-001393-index.html,https://www.sec.gov/Archives/edgar/data/42582/000156459021004857/0001564590-21-004857-index.htm,https://www.sec.gov/Archives/edgar/data/42582/000095017022001201/0000950170-22-001201-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,139000000,130500000,200500000,234100000,122500000,220300000,163400000,207500000,188500000,250900000,268300000,238500000,258600000,239000000,241300000,252900000,959400000,923000000,1564900000,1967900000,2178000000,3899000000,3463000000,1894000000,1922000000,2005000000,2772000000,2281000000,2996000000,2161000000,1476000000,1132000000,1043000000,801000000,908000000,1539000000,1088000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,139000000,130500000,200500000,234100000,122500000,220300000,163400000,207500000,188500000,250900000,268300000,238500000,258600000,239000000,241300000,252900000,959400000,947300000,1564900000,1967900000,2178000000,3899000000,3463000000,1894000000,1922000000,2005000000,2772000000,2281000000,2996000000,2161000000,1476000000,1132000000,1043000000,801000000,908000000,1539000000,1088000000
34,Net Receivables,957400000,1367200000,1501300000,1578400000,1244600000,1495200000,1315000000,1449800000,1314200000,1524700000,1615000000,1706000000,1733600000,1770700000,2296300000,2074700000,1486800000,1459700000,2621500000,3427400000,3158000000,2973000000,3103000000,2547000000,2540000000,2736000000,2849000000,2563000000,2435000000,2126000000,2033000000,1769000000,2025000000,2030000000,1941000000,1691000000,2387000000
35,Inventory,1378500000,1352200000,1501400000,1635500000,1642000000,1346000000,1312700000,1288200000,1349800000,1425100000,1765200000,1774200000,1835200000,2164500000,2287200000,2879700000,2380900000,2371600000,2465000000,2784800000,2862000000,2789000000,3164000000,3592000000,2443000000,2977000000,3856000000,3250000000,2816000000,2671000000,2464000000,2627000000,2787000000,2856000000,2851000000,2153000000,3594000000
36,Other Current Assets,83300000,190500000,101300000,109900000,262800000,262700000,327600000,364000000,410300000,422000000,193100000,306300000,336500000,354900000,436400000,259900000,427900000,448100000,336700000,451600000,482000000,518000000,442000000,307000000,320000000,327000000,335000000,404000000,397000000,766000000,168000000,190000000,224000000,238000000,234000000,237000000,262000000
37,Total Current Assets,2558200000,3040400000,3304500000,3557900000,3271900000,3324200000,3118700000,3309500000,3262800000,3622700000,3841600000,4025000000,4163900000,4529100000,5261200000,5467200000,5255000000,5226700000,6988100000,8631700000,8680000000,10179000000,10172000000,8340000000,7225000000,8045000000,9812000000,8498000000,8644000000,7724000000,6141000000,5718000000,6079000000,5925000000,5934000000,5620000000,7331000000
38,PP&E,4025000000,4583400000,4128300000,4427400000,4615300000,4808400000,4636900000,4363600000,4287900000,4382800000,4561200000,4067900000,4149700000,4358500000,5761000000,5521000000,5116100000,5192300000,5207200000,5455200000,5179000000,5377000000,5598000000,5634000000,5843000000,6165000000,6375000000,6956000000,7320000000,7153000000,6777000000,7040000000,7451000000,7259000000,8063000000,7924000000,9326000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,569100000,768700000,- -,- -,- -,685000000,713000000,683000000,706000000,683000000,654000000,664000000,668000000,601000000,555000000,535000000,595000000,569000000,565000000,408000000,1004000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,516900000,588400000,- -,- -,784300000,882900000,796000000,166000000,167000000,160000000,164000000,161000000,157000000,140000000,138000000,138000000,138000000,136000000,139000000,136000000,137000000,135000000,1039000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,516900000,588400000,569100000,768700000,784300000,882900000,796000000,851000000,880000000,843000000,870000000,844000000,811000000,804000000,806000000,739000000,693000000,671000000,734000000,705000000,702000000,543000000,2043000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,674900000,207500000,397500000,83400000,102000000,155000000,83000000,54000000,43000000,58000000,145000000,186000000,157000000,1762000000,2141000000,2414000000,2008000000,1847000000,1527000000,1467000000,1596000000
44,Other Non-Current Assets,370300000,985700000,963100000,633000000,573100000,831000000,754900000,890600000,885400000,1117800000,1386800000,1578900000,1603800000,1701700000,1563500000,1991400000,1897800000,1751400000,1628400000,1480100000,870000000,467000000,458000000,355000000,429000000,518000000,486000000,529000000,600000000,731000000,687000000,668000000,792000000,1136000000,959000000,952000000,1106000000
45,Total Non-Current Assets,4395300000,5569100000,5091400000,5060400000,5188400000,5639400000,5391800000,5254200000,5173300000,5500600000,5948000000,5646800000,5753500000,6060200000,7841400000,8100800000,8257900000,7919900000,8017400000,7901600000,6947000000,6850000000,7019000000,6886000000,7185000000,7585000000,7817000000,8475000000,8883000000,10385000000,10298000000,10793000000,10985000000,10947000000,11251000000,10886000000,14071000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,6953500000,8609500000,8395900000,8618300000,8460300000,8963600000,8510500000,8563700000,8436100000,9123300000,9789600000,9671800000,9917400000,10589300000,13102600000,13568000000,13512900000,13146600000,15005500000,16533300000,15627000000,17029000000,17191000000,15226000000,14410000000,15630000000,17629000000,16973000000,17527000000,18109000000,16439000000,16511000000,17064000000,16872000000,17185000000,16506000000,21402000000
48,Accounts Payable,- -,- -,- -,- -,924000000,986800000,839500000,922400000,870000000,1013900000,1170700000,1096700000,1177800000,1131700000,1417500000,1505200000,1359200000,1502200000,1572900000,1979000000,1945000000,2037000000,2422000000,2509000000,2278000000,3107000000,3668000000,3223000000,3097000000,2878000000,2769000000,2589000000,2807000000,2920000000,2908000000,2945000000,4148000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,226700000,244500000,506700000,789300000,1204400000,1293100000,109700000,653200000,251200000,1230500000,681000000,660000000,396000000,847000000,338000000,426000000,412000000,198000000,87000000,178000000,636000000,681000000,653000000,653000000,1109000000,756000000,610000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,156000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1467000000,- -
52,Other Current Liabilities,1607400000,2142900000,2139600000,2458500000,1276200000,1306800000,1553100000,1723600000,1653900000,1558100000,1338900000,1425000000,1566500000,1355500000,1338000000,1427600000,1857600000,1916000000,1861400000,1903600000,2185000000,1969000000,1846000000,1423000000,1479000000,1774000000,1849000000,1901000000,1841000000,1680000000,1552000000,1547000000,1565000000,1208000000,1270000000,-62000000,1854000000
53,Total Current Liabilities,1607400000,2142900000,2139600000,2458500000,2200200000,2293600000,2392600000,2646000000,2523900000,2572000000,2736300000,2766200000,3251000000,3276500000,3959900000,4225900000,3326500000,4071400000,3685500000,5113100000,4811000000,4666000000,4664000000,4779000000,4095000000,5307000000,5929000000,5322000000,5025000000,4736000000,4957000000,4817000000,5025000000,4781000000,5287000000,5106000000,6612000000
54,Long-Term Debt,997500000,2487500000,3282400000,3044800000,2963400000,3286400000,2038100000,1471100000,1065900000,1108700000,1320000000,1132200000,844500000,1186500000,2347900000,2349600000,3203600000,2989000000,4826200000,4449100000,4742000000,6563000000,4329000000,4132000000,4182000000,4319000000,4789000000,4888000000,6162000000,6216000000,5120000000,4798000000,5076000000,5110000000,4753000000,5432000000,1162000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,135000000
56,Deferred Tax Liabilities,475300000,586400000,679300000,555400000,681800000,622900000,599100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,405800000,304000000,333000000,274000000,193000000,235000000,242000000,244000000,264000000,256000000,181000000,91000000,85000000,100000000,95000000,90000000,84000000,135000000
57,Other Non-Current Liabilities,365900000,390100000,460200000,532500000,364700000,550000000,629900000,2388000000,2422800000,2495500000,2288700000,2253000000,2170200000,2121500000,2286500000,2644600000,3331200000,4695400000,5681200000,5646400000,4906000000,5348000000,4071000000,4250000000,4912000000,4257000000,5650000000,5874000000,4216000000,3131000000,2129000000,2086000000,2013000000,1816000000,2510000000,2625000000,8174000000
58,Total Non-Current Liabilities,1838700000,3464000000,4421900000,4132700000,4009900000,4459300000,3267100000,3859100000,3488700000,3604200000,3608700000,3385200000,3014700000,3308000000,4634400000,4994200000,6534800000,7684400000,10507400000,10501300000,9952000000,12244000000,8674000000,8575000000,9329000000,8818000000,10683000000,11026000000,10634000000,9528000000,7340000000,6969000000,7189000000,7021000000,7353000000,8141000000,9606000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,867000000,882000000,- -
61,Total Liabilities,3446100000,5606900000,6561500000,6591200000,6210100000,6752900000,5659700000,6505100000,6012600000,6176200000,6345000000,6151400000,6265700000,6584500000,8594300000,9220100000,9861300000,11755800000,14192900000,15614400000,14763000000,16910000000,13338000000,13354000000,13424000000,14125000000,16612000000,16348000000,15659000000,14264000000,12297000000,11786000000,12214000000,11802000000,12640000000,13247000000,16218000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000000,500000000,500000000,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,156300000,157600000,163200000,175300000,175300000,175600000,177000000,178000000,- -,- -,- -,- -,- -,245000000,248000000,269000000,267000000,252000000,240000000,232000000,233000000,233000000,- -
64,Retained Earnings,3172200000,3122200000,1922600000,2175400000,2278400000,2135400000,2208500000,1510600000,1740900000,2194500000,2661000000,2603000000,2983400000,3477800000,3531400000,3558800000,3192700000,2007100000,980400000,1069900000,1298000000,968000000,1602000000,1525000000,1082000000,866000000,1187000000,1370000000,1958000000,4343000000,4570000000,5808000000,6044000000,6597000000,6113000000,4809000000,5573000000
65,Other Comprehensive Income/Loss,-2894400000,-2998800000,-3129700000,-3254300000,-3434700000,-3809600000,-4042300000,-4121200000,-4275800000,-4486300000,-4788700000,-4935800000,-5084300000,-5394600000,-5551400000,-5862600000,-6030600000,-2922100000,-2559000000,-2564500000,-2800000000,-3331000000,-1652000000,-3446000000,-3372000000,-3270000000,-3991000000,-4560000000,-3947000000,-4143000000,-4010000000,-4198000000,-3976000000,-4076000000,-4136000000,-4135000000,-3963000000
66,Other Total Stockholders Equity,3229600000,2879200000,3041500000,3106000000,3406500000,3884900000,4684600000,4669200000,4958400000,5238900000,5572300000,5853200000,5752600000,5921600000,6372000000,6494100000,6326300000,1390300000,1390200000,1391800000,1398000000,1427000000,3903000000,3793000000,3276000000,3909000000,3821000000,2815000000,2847000000,3141000000,3093000000,2645000000,2295000000,2111000000,2141000000,2171000000,3574000000
67,Total Stockholders Equity,3507400000,3002600000,1834400000,2027100000,2250200000,2210700000,2850800000,2058600000,2423500000,2947100000,3444600000,3520400000,3651700000,4004800000,4508300000,4347900000,3651600000,650600000,-13100000,72800000,73000000,-758000000,2850000000,1022000000,735000000,644000000,749000000,370000000,1606000000,3610000000,3920000000,4507000000,4603000000,4864000000,4351000000,3078000000,5184000000
68,Total Liabilities And Stockholders Equity,6953500000,8609500000,8395900000,8618300000,8460300000,8963600000,8510500000,8563700000,8436100000,9123300000,9789600000,9671800000,9917400000,10589300000,13102600000,13568000000,13512900000,12406400000,14179800000,15687200000,14836000000,16152000000,16188000000,14376000000,14159000000,14769000000,17361000000,16718000000,17265000000,17874000000,16217000000,16293000000,16817000000,16666000000,16991000000,16325000000,21402000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,740200000,825700000,846100000,791000000,877000000,1003000000,850000000,251000000,861000000,268000000,255000000,262000000,235000000,222000000,218000000,247000000,206000000,194000000,181000000,- -
70,Total Liabilities & Equity,6953500000,8609500000,8395900000,8618300000,8460300000,8963600000,8510500000,8563700000,8436100000,9123300000,9789600000,9671800000,9917400000,10589300000,13102600000,13568000000,13512900000,13146600000,15005500000,16533300000,15627000000,17029000000,17191000000,15226000000,14410000000,15630000000,17629000000,16973000000,17527000000,18109000000,16439000000,16511000000,17064000000,16872000000,17185000000,16506000000,21402000000
