,https://roic.ai/company/MGI,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1273931/000095013405004250/c91307e10vk.htm,https://www.sec.gov/Archives/edgar/data/1273931/000095013406004056/c01871e10vk.htm,https://www.sec.gov/Archives/edgar/data/1273931/000095013707003134/c12723e10vk.htm,https://www.sec.gov/Archives/edgar/data/1273931/000095013708004210/c23620e10vk.htm,https://www.sec.gov/Archives/edgar/data/1273931/000095013709001475/0000950137-09-001475-index.html,https://www.sec.gov/Archives/edgar/data/1273931/000095012310024699/0000950123-10-024699-index.html,https://www.sec.gov/Archives/edgar/data/1273931/000095012311025682/c62271e10vk.htm,https://www.sec.gov/Archives/edgar/data/1273931/000119312512104763/0001193125-12-104763-index.html,https://www.sec.gov/Archives/edgar/data/1273931/000119312513089758/0001193125-13-089758-index.html,https://www.sec.gov/Archives/edgar/data/1273931/000127393114000004/mgi2013123110-k.htm,https://www.sec.gov/Archives/edgar/data/1273931/000127393115000032/mgi2014123110-k.htm,https://www.sec.gov/Archives/edgar/data/1273931/000127393116000064/0001273931-16-000064-index.html,https://www.sec.gov/Archives/edgar/data/1273931/000127393117000004/0001273931-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/1273931/000127393118000010/0001273931-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/1273931/000127393119000061/0001273931-19-000061-index.html,https://www.sec.gov/Archives/edgar/data/1273931/000127393120000036/0001273931-20-000036-index.html,https://www.sec.gov/Archives/edgar/data/1273931/000127393121000021/0001273931-21-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1273931/000127393122000039/0001273931-22-000039-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,63900000,927042000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1907900000,1725200000,1522200000,1659900000,1581200000,1677900000,2079300000,2050900000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,26951000,- -,624795000,513600000,1059700000,1118700000,1083500000,1269900000,1161200000,1160400000,990400000,994700000,995300000
33,Cash and Short-Term Investments,- -,63900000,927042000,- -,- -,- -,- -,- -,- -,- -,513600000,1059700000,3026600000,2808700000,2792100000,2821100000,2741600000,2668300000,3074000000,3046200000
34,Net Receivables,- -,1866900000,771966000,1325622000,1758682000,1408220000,1264885000,1054381000,982319000,1220065000,1206500000,767700000,757600000,861400000,999400000,1125800000,777700000,715500000,825000000,700400000
35,Inventory,- -,35800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,6870400000,- -,7099724000,6810031000,5802438000,4537640000,4102408000,3432646000,3196969000,2683200000,2228500000,- -,- -,- -,- -,- -,- -,- -,- -
37,Total Current Assets,- -,8837000000,1699008000,8425346000,8568713000,7210658000,5802525000,5156789000,4414965000,4417034000,4403300000,4055900000,3784200000,3670100000,3791500000,3946900000,3519300000,3383800000,3899000000,3746600000
38,PP&E,- -,250800000,88154000,105545000,148849000,171008000,156263000,127972000,115111000,116341000,127900000,134800000,165600000,199700000,201000000,214900000,193900000,176100000,203200000,186500000
39,Goodwill,- -,- -,- -,404270000,421316000,438839000,434337000,425630000,428691000,428691000,428700000,435200000,442500000,442200000,442200000,442200000,442200000,442200000,442200000,442200000
40,Intangible Assets,- -,32800000,410736000,13248000,15453000,17605000,14548000,7680000,- -,- -,900000,8300000,11900000,9000000,5500000,3300000,1800000,1600000,- -,- -
41,Intangible Assets,- -,32800000,410736000,417518000,436769000,456444000,448885000,433310000,428691000,428691000,429600000,443500000,454400000,451200000,447700000,445500000,444000000,443800000,442200000,442200000
42,Investments,- -,6137900000,- -,- -,- -,- -,- -,298633000,160936000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,31841000,37477000,11677000,- -,- -,15509000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,-6036300000,6400996000,89278000,110129000,96901000,234623000,-102550000,-3967000,213512000,189800000,152700000,238000000,184200000,157200000,165200000,138900000,181300000,129700000,101200000
45,Total Non-Current Assets,- -,385200000,6931727000,649818000,707424000,724353000,839771000,772874000,700771000,758544000,747300000,731000000,858000000,835100000,805900000,825600000,776800000,801200000,775100000,729900000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,9222200000,8630735000,9075164000,9276137000,7935011000,6642296000,5929663000,5115736000,5175578000,5150600000,4786900000,4642200000,4505200000,4597400000,4772500000,4296100000,4185000000,4674100000,4476500000
48,Accounts Payable,- -,57700000,99239000,131186000,139848000,188778000,121586000,188933000,113647000,149261000,199900000,185500000,202100000,183500000,168700000,255500000,213500000,260600000,216800000,160000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,8077600000,110661000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
53,Total Current Liabilities,- -,8135300000,209900000,131186000,139848000,188778000,121586000,188933000,113647000,149261000,199900000,185500000,202100000,183500000,168700000,255500000,213500000,260600000,216800000,160000000
54,Long-Term Debt,- -,237000000,150000000,150000000,150000000,345000000,978881000,796791000,639946000,810888000,809900000,842900000,963500000,942600000,915200000,908100000,901000000,850300000,916900000,843000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,11459000,12454000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,7705644000,8169849000,8317226000,7878291000,6311111000,5826952000,5304625000,4325627000,4302200000,3835500000,3659300000,3601900000,3721900000,3854200000,3450400000,3314500000,3777400000,3658500000
58,Total Non-Current Liabilities,- -,237000000,7855644000,8319849000,8467226000,8234750000,7302446000,6623743000,5944571000,5136515000,5112100000,4678400000,4622800000,4544500000,4637100000,4762300000,4351400000,4164800000,4694300000,4501500000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59100000,56300000
61,Total Liabilities,- -,8372300000,8065544000,8451035000,8607074000,8423528000,7424032000,6812676000,6058218000,5285776000,5312000000,4863900000,4824900000,4728000000,4805800000,5017800000,4564900000,4425400000,4911100000,4661500000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,742212000,- -,- -,281898000,281900000,281900000,183900000,183900000,183900000,183900000,183900000,183900000,- -,- -
63,Common Stock,- -,149600000,886000,886000,886000,886000,886000,886000,886000,623000,600000,600000,600000,600000,600000,600000,600000,700000,700000,900000
64,Retained Earnings,- -,863900000,506609000,613497000,723106000,-387479000,-649254000,-694914000,-771544000,-1216543000,-1265900000,-1214400000,-1144600000,-1226800000,-1247600000,-1336100000,-1403600000,-1460100000,-1475300000,-1513400000
65,Other Comprehensive Income/Loss,- -,-89600000,-5346000,11825000,-6292000,-21715000,-42707000,-35671000,-31879000,-38028000,-52300000,-33000000,-67100000,-48700000,-53900000,-63000000,-67500000,-63500000,-58400000,-62800000
66,Other Total Stockholders Equity,- -,- -,63042000,-2079000,-48637000,-80209000,-832873000,-153314000,-139945000,861852000,874300000,887900000,844500000,868200000,908600000,969300000,1017800000,1098600000,1296000000,- -
67,Total Stockholders Equity,- -,849800000,565191000,624129000,669063000,-488517000,-781736000,-883013000,-942482000,-110198000,-161400000,-77000000,-182700000,-222800000,-208400000,-245300000,-268800000,-240400000,-237000000,-185000000
68,Total Liabilities And Stockholders Equity,- -,9222100000,8630735000,9075164000,9276137000,7935011000,6642296000,5929663000,5115736000,5175578000,5150600000,4786900000,4642200000,4505200000,4597400000,4772500000,4296100000,4185000000,4674100000,4476500000
69,Minority Interest,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,9222200000,8630735000,9075164000,9276137000,7935011000,6642296000,5929663000,5115736000,5175578000,5150600000,4786900000,4642200000,4505200000,4597400000,4772500000,4296100000,4185000000,4674100000,4476500000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1273931/000095013405004250/c91307e10vk.htm,https://www.sec.gov/Archives/edgar/data/1273931/000095013406004056/c01871e10vk.htm,https://www.sec.gov/Archives/edgar/data/1273931/000095013707003134/c12723e10vk.htm,https://www.sec.gov/Archives/edgar/data/1273931/000095013708004210/c23620e10vk.htm,https://www.sec.gov/Archives/edgar/data/1273931/000095013709001475/0000950137-09-001475-index.html,https://www.sec.gov/Archives/edgar/data/1273931/000095012310024699/0000950123-10-024699-index.html,https://www.sec.gov/Archives/edgar/data/1273931/000095012311025682/c62271e10vk.htm,https://www.sec.gov/Archives/edgar/data/1273931/000119312512104763/0001193125-12-104763-index.html,https://www.sec.gov/Archives/edgar/data/1273931/000119312513089758/0001193125-13-089758-index.html,https://www.sec.gov/Archives/edgar/data/1273931/000127393114000004/mgi2013123110-k.htm,https://www.sec.gov/Archives/edgar/data/1273931/000127393115000032/mgi2014123110-k.htm,https://www.sec.gov/Archives/edgar/data/1273931/000127393116000064/0001273931-16-000064-index.html,https://www.sec.gov/Archives/edgar/data/1273931/000127393117000004/0001273931-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/1273931/000127393118000010/0001273931-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/1273931/000127393119000061/0001273931-19-000061-index.html,https://www.sec.gov/Archives/edgar/data/1273931/000127393120000036/0001273931-20-000036-index.html,https://www.sec.gov/Archives/edgar/data/1273931/000127393121000021/0001273931-21-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1273931/000127393122000039/0001273931-22-000039-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,113902000,86412000,112946000,124054000,-1071997000,-261385000,-1906000,43801000,59406000,-49300000,52400000,72100000,-76900000,16300000,-29800000,-24000000,-60300000,-7900000,-37900000
74,Depreciation and Amortization,- -,27295000,29567000,32465000,38978000,51979000,56672000,57091000,48074000,46051000,44300000,50700000,55500000,66100000,79900000,75100000,76300000,73800000,64400000,57000000
75,Deferred Income Tax,- -,- -,6282000,- -,- -,- -,- -,- -,- -,- -,29800000,12000000,5500000,25600000,7500000,-4900000,9500000,-13500000,9100000,-8800000
76,Stock Based Compensation,- -,- -,- -,- -,- -,14177000,12596000,9608000,35106000,25767000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,-337920000,294242000,-59345000,-572466000,-571832000,-4886889000,-52243000,-104860000,104795000,-134900000,416400000,-43100000,-1900000,-33500000,65700000,-77600000,-12600000,13000000,-56500000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,29724000,- -,23127000,-25348000,7984000,-95622000,-5634000,-32853000,33164000,-3500000,-58400000,-8300000,-29100000,-34500000,70300000,-73700000,-4800000,29300000,-43900000
81,Other Working Capital,- -,-123855000,75937000,483810000,-211609000,-922497000,-4920019000,-233228000,-164444000,316950000,-141000000,16400000,-34800000,27200000,1000000,-4600000,-3900000,-7800000,9900000,- -
82,Other Non-Cash Items,- -,560000,30014000,15887000,39428000,1221869000,439225000,69984000,38616000,-47909000,54000000,79000000,-27700000,20700000,48000000,26400000,45100000,75600000,18700000,83300000
83,Cash Provided by Operating Activities,- -,-196163000,446517000,101953000,-370006000,-355804000,-4639781000,82534000,60737000,188110000,-56100000,610500000,62300000,33600000,118200000,132500000,29300000,63000000,97300000,37100000
84,CAPEX,- -,-27128000,-29589000,-47359000,-81033000,-70457000,-38470000,-37948000,-40191000,-44223000,-59600000,-48800000,-85800000,-109900000,-82800000,-83600000,-57800000,-54500000,-40800000,-41400000
85,Acquisitions Net,- -,-105080000,- -,-8535000,-7311000,-29212000,-2928000,1290000,-330000,2630000,- -,-15400000,-11500000,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-4888918000,-3098498000,-1843064000,-707452000,-758898000,- -,- -,-707137000,-540338000,-473500000,-1098700000,- -,- -,- -,- -,- -,- -,- -,-773000000
87,Sales/Maturities of Investments,- -,5354783000,2851895000,1836965000,1223460000,1077614000,3389331000,140999000,842353000,511609000,589700000,553400000,- -,- -,- -,- -,- -,- -,- -,769900000
88,Other Investing Activites,- -,-84015000,15675000,-700000,- -,-3300000,- -,- -,7537000,- -,1000000,700000,900000,400000,- -,- -,- -,- -,-40800000,-41400000
89,Cash Used for Investing Activites,- -,249642000,-260517000,-62693000,427664000,215747000,3347933000,104341000,102232000,-70322000,57600000,-608800000,-96400000,-109500000,-82800000,-83600000,-57800000,-54500000,-40800000,-44500000
90,Debt Repayment,- -,-105738000,- -,- -,- -,- -,-101875000,-186875000,- -,-17066000,-1500000,-819500000,-9500000,-9800000,-30300000,-9800000,-9800000,-31600000,-29500000,-905900000
91,Common Stock Issued,- -,- -,1693000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49500000,- -,97100000
92,Common Stock Repurchased,- -,-976000,-40076000,-50000000,-67856000,-45992000,- -,- -,- -,- -,- -,- -,-149700000,-400000,-11700000,- -,- -,- -,- -,-6200000
93,Dividends Paid,- -,-31603000,-17409000,-6058000,-14445000,-16625000,- -,- -,- -,-20477000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,79545000,-55182000,16798000,24643000,202674000,1393723000,- -,-162969000,-80245000,- -,817800000,125100000,- -,-700000,-6300000,-6200000,-25100000,22300000,794000000
95,Cash Used/Provided by Financing Activities,- -,-58772000,-110974000,-39260000,-57658000,140057000,1291848000,-186875000,-162969000,-117788000,-1500000,-1700000,-34100000,-10200000,-42700000,-16100000,-16000000,-7200000,-7200000,-21000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-5293000,-110974000,-39260000,-57658000,140057000,1291848000,-186875000,-162969000,-117788000,-1500000,-1700000,-68200000,-86100000,-7300000,32800000,-44500000,1300000,49300000,-28400000
98,Cash at the End of Period,- -,33832000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,250600000,164500000,157200000,190000000,145500000,146800000,196100000,2050900000
99,Cash at the Beginning of Period,- -,39125000,-75026000,- -,- -,- -,- -,- -,- -,- -,- -,- -,318800000,250600000,164500000,157200000,190000000,145500000,146800000,2079300000
100,Free Cash Flow,- -,-223291000,416928000,54594000,-451039000,-426261000,-4678251000,44586000,20546000,143887000,-115700000,561700000,-23500000,-76300000,35400000,48900000,-28500000,8500000,56500000,-4300000
101,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1273931/000095013405004250/c91307e10vk.htm,https://www.sec.gov/Archives/edgar/data/1273931/000095013406004056/c01871e10vk.htm,https://www.sec.gov/Archives/edgar/data/1273931/000095013707003134/c12723e10vk.htm,https://www.sec.gov/Archives/edgar/data/1273931/000095013708004210/c23620e10vk.htm,https://www.sec.gov/Archives/edgar/data/1273931/000095013709001475/0000950137-09-001475-index.html,https://www.sec.gov/Archives/edgar/data/1273931/000095012310024699/0000950123-10-024699-index.html,https://www.sec.gov/Archives/edgar/data/1273931/000095012311025682/c62271e10vk.htm,https://www.sec.gov/Archives/edgar/data/1273931/000119312512104763/0001193125-12-104763-index.html,https://www.sec.gov/Archives/edgar/data/1273931/000119312513089758/0001193125-13-089758-index.html,https://www.sec.gov/Archives/edgar/data/1273931/000127393114000004/mgi2013123110-k.htm,https://www.sec.gov/Archives/edgar/data/1273931/000127393115000032/mgi2014123110-k.htm,https://www.sec.gov/Archives/edgar/data/1273931/000127393116000064/0001273931-16-000064-index.html,https://www.sec.gov/Archives/edgar/data/1273931/000127393117000004/0001273931-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/1273931/000127393118000010/0001273931-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/1273931/000127393119000061/0001273931-19-000061-index.html,https://www.sec.gov/Archives/edgar/data/1273931/000127393120000036/0001273931-20-000036-index.html,https://www.sec.gov/Archives/edgar/data/1273931/000127393121000021/0001273931-21-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1273931/000127393122000039/0001273931-22-000039-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
