,https://roic.ai/company/CCF,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),-300000,-500000,100000,2200000,-100000,-559858,296000,-311777,-332008,-938416,-847809,-834060,-659000,437296,441000,-308000,230000,-296000,-981000,4317000,-1019000,2328000,2758000,1875000,-1511000,-1921000,-1057000
20,Income Before Tax,3100000,3500000,5300000,8700000,8000000,8495536,8499355,6458378,7975828,8509651,7683908,8964071,16179056,19283825,9821000,16456000,16173000,13996000,25810000,40490000,41226000,50110000,60892000,56965000,43553000,45320000,58594000
21,Income Before Tax Ratio,0.0948,0.1020,0.1293,0.1883,0.1613,0.1240,0.1205,0.0931,0.1070,0.0977,0.0841,0.0827,0.1269,0.1456,0.0913,0.1386,0.1314,0.0940,0.1195,0.1808,0.1732,0.2105,0.2411,0.2004,0.1548,0.1735,0.1998
22,Income Tax expense (Gain),1200000,1200000,2000000,2600000,2800000,2725613,2625995,1995062,2658112,3408200,2834913,2850082,5986252,6910225,3436000,5730000,5242000,4732000,9070000,13967000,14813000,17303000,18878000,13822000,10842000,11163000,13674000
23,Net Income,1900000,2300000,3300000,6100000,5200000,5769923,5873360,4463316,5257716,4627416,4788264,6113989,10192804,12373600,6385000,12516000,10931000,9338000,17214000,26631000,26318000,32807000,42014000,43143000,32711000,34157000,44920000
24,Net Income ratio,0.0581,0.0671,0.0805,0.1320,0.1048,0.0842,0.0833,0.0644,0.0705,0.0531,0.0524,0.0564,0.0800,0.0934,0.0593,0.1054,0.0888,0.0627,0.0797,0.1189,0.1106,0.1378,0.1664,0.1518,0.1163,0.1308,0.1531
25,EPS,0.21,0.30,0.42,0.79,0.67,0.72,0.73,0.55,0.65,0.61,0.64,0.79,1.26,1.50,0.76,1.39,1.22,1.03,1.90,2.93,2.83,3.54,4.49,4.59,3.48,3.62,4.75
26,EPS Diluted,0.21,0.30,0.42,0.78,0.65,0.71,0.72,0.54,0.63,0.58,0.61,0.77,1.22,1.43,0.73,1.38,1.22,1.03,1.87,2.86,2.79,3.50,4.44,4.56,3.46,3.59,4.73
27,Weighted Average Shares Outstanding,8837209,7540984,7857143,7721519,7761194,7958514,7990966,8115120,8088794,7574046,7564534,7770332,8080770,8248296,8408614,8730928,8721452,8761262,9066115,9103292,9191958,9278486,9354136,9396947,9400748,9359940,9447905
28,Weighted Average Shares Outstanding Diluted,8837209,7540984,7857143,7820513,8000000,8069822,8157444,8265400,8412346,8010022,7819502,7967214,8354375,8646545,8754436,8814635,8763808,8786750,9066115,9165000,9254000,9294000,9357000,9396947,9400748,9439750,9447905
29,SEC Link,https://www.sec.gov/Archives/edgar/data/830524/000083052495000011/0000830524-95-000011-index.html,https://www.sec.gov/Archives/edgar/data/830524/000083052496000008/0000830524-96-000008-index.html,- -,https://www.sec.gov/Archives/edgar/data/830524/000083052498000014/0000830524-98-000014-index.html,- -,https://www.sec.gov/Archives/edgar/data/830524/000083052400000008/0000830524-00-000008-index.html,https://www.sec.gov/Archives/edgar/data/830524/000083052401500016/0000830524-01-500016-index.html,https://www.sec.gov/Archives/edgar/data/830524/000083052402000012/r10k2002-630.htm,https://www.sec.gov/Archives/edgar/data/830524/000104746903038274/a2123395z10-k.htm,https://www.sec.gov/Archives/edgar/data/830524/000104746904035224/a2147040z10-k.htm,https://www.sec.gov/Archives/edgar/data/830524/000110465905057445/a05-20657_210k.htm,https://www.sec.gov/Archives/edgar/data/830524/000110465906078309/a06-24557_110k.htm,https://www.sec.gov/Archives/edgar/data/830524/000104746907009210/0001047469-07-009210-index.html,https://www.sec.gov/Archives/edgar/data/830524/000104746908012335/0001047469-08-012335-index.html,https://www.sec.gov/Archives/edgar/data/830524/000104746909010146/0001047469-09-010146-index.html,https://www.sec.gov/Archives/edgar/data/830524/000104746910009792/0001047469-10-009792-index.html,https://www.sec.gov/Archives/edgar/data/830524/000104746911009551/0001047469-11-009551-index.html,https://www.sec.gov/Archives/edgar/data/830524/000104746912010587/0001047469-12-010587-index.html,https://www.sec.gov/Archives/edgar/data/830524/000104746913010544/0001047469-13-010544-index.html,https://www.sec.gov/Archives/edgar/data/830524/000104746914009223/0001047469-14-009223-index.html,https://www.sec.gov/Archives/edgar/data/830524/000155837015002705/0001558370-15-002705-index.html,https://www.sec.gov/Archives/edgar/data/830524/000155837016010069/0001558370-16-010069-index.html,https://www.sec.gov/Archives/edgar/data/830524/000155837017008752/0001558370-17-008752-index.html,https://www.sec.gov/Archives/edgar/data/830524/000155837018009471/0001558370-18-009471-index.html,https://www.sec.gov/Archives/edgar/data/830524/000155837019010957/0001558370-19-010957-index.html,https://www.sec.gov/Archives/edgar/data/830524/000155837020013721/0001558370-20-013721-index.htm,https://www.sec.gov/Archives/edgar/data/830524/000155837021016037/0001558370-21-016037-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,100000,200000,200000,2300000,200000,65289,49283,329084,166562,1405812,847001,2416097,2443750,3917018,11643000,17340000,14982000,15180000,29997000,53222000,43819000,73411000,47354000,34828000,47771000,99068000,119429000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,100000,200000,200000,2300000,200000,65289,49283,329084,166562,1405812,847001,2416097,2443750,3917018,11643000,17340000,14982000,15180000,29997000,53222000,43819000,73411000,47354000,34828000,47771000,99068000,119429000
34,Net Receivables,5800000,5800000,7100000,7300000,8900000,11880228,12081284,11019325,12271719,12004031,12816464,15573669,17653982,18968989,14536000,18655000,19103000,31621000,32084000,36340000,39488000,35292000,38051000,45010000,39324000,36993000,46212000
35,Inventory,4800000,3600000,4300000,4700000,7400000,8942960,8958735,9517539,10670520,12227095,13889339,16627393,15135773,16460923,13941000,14678000,20841000,32323000,32048000,31539000,29476000,25814000,25618000,39699000,42354000,39058000,41217000
36,Other Current Assets,800000,700000,300000,600000,500000,640671,792632,742400,650327,1136063,1739222,1062168,1483703,2076988,1078000,2723000,2061000,4665000,5846000,4752000,5518000,4332000,3112000,6695000,4933000,2701000,6106000
37,Total Current Assets,11500000,10300000,11900000,14900000,17000000,21529148,21881934,21608348,23759128,26773001,29292026,35679327,36717208,41423918,41198000,53396000,56987000,83789000,99975000,125853000,118301000,138849000,114135000,126232000,134382000,177820000,212964000
38,PP&E,4700000,4200000,4900000,5100000,7300000,9115888,9564374,15132206,17317212,17488538,18589482,18470875,19758276,21904742,23219000,27414000,29598000,49279000,45192000,44085000,40921000,36742000,34760000,32845000,29326000,34395000,33579000
39,Goodwill,- -,- -,- -,- -,- -,- -,8340523,8581731,- -,- -,- -,12983323,14575640,15131187,14606000,17437000,18060000,38793000,37815000,38280000,44123000,43576000,50784000,84696000,81986000,82402000,97866000
40,Intangible Assets,2800000,1300000,2300000,2200000,10200000,9579996,751033,653985,9135636,8909766,9530332,6093678,7063178,5874505,4497000,17942000,16185000,36363000,31781000,27215000,44852000,36580000,46846000,65330000,52704000,41200000,46954000
41,Intangible Assets,2800000,1300000,2300000,2200000,10200000,9579996,9091556,9235716,9135636,8909766,9530332,19077001,21638818,21005692,19103000,35379000,34245000,75156000,69596000,65495000,88975000,80156000,97630000,150026000,134690000,123602000,144820000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,1000000,1000000,1000000,573000,611000,740000,874000,1094000,1256000,1410000,1637000,964000,1090000,1260000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,534794,655279,412125,- -,- -,- -,- -,- -,1264000,120000,332000,- -,- -,470000,390000,441000,1614000,1347000,3804000,4929000,5265000
44,Other Non-Current Assets,1000000,4000000,3500000,3100000,4500000,5498220,5715845,6673280,7109774,6086047,5515513,4609894,4850607,4962390,5709000,6281000,7007000,7389000,8503000,8386000,7900000,4994000,5635000,4929000,4506000,6084000,7531000
45,Total Non-Current Assets,8500000,9500000,10700000,10400000,22000000,24194104,24906569,31696481,33974747,32484351,34635327,43157770,47247701,48872824,49868000,69805000,71922000,132698000,124385000,119692000,139596000,123970000,140603000,190237000,173586000,169010000,191195000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,20000000,19800000,22600000,25300000,39000000,45723252,46788503,53304829,57733875,59257352,63927353,78837097,83964909,90296742,91066000,123201000,128909000,216487000,224360000,245545000,257897000,262819000,254738000,316469000,307968000,346830000,404159000
48,Accounts Payable,2900000,2400000,2400000,2800000,4400000,5790018,5261112,5354907,5246462,5477993,5492470,8033683,7135266,7695539,6319000,6627000,7276000,11559000,12416000,15121000,15599000,12352000,14455000,17810000,12105000,12525000,19575000
49,Short-Term Debt,1300000,1200000,1000000,1400000,4100000,4656010,2543400,1966382,3835706,2820253,2030068,2935000,2210000,- -,- -,4400000,4400000,5600000,5600000,7000000,8400000,43400000,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1346000,2849000,1387000,1892000,2161000,1377000,2783000,2317000,2333000,- -,- -,- -,761000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,2300000,2800000,4200000,3500000,2800000,2490069,4499652,4482993,3373503,3347972,3830296,6269502,6814747,10168642,6764000,9909000,8248000,13116000,14378000,13973000,13517000,12762000,12885000,11125000,10335000,10618000,13347000
53,Total Current Liabilities,6500000,6400000,7600000,7700000,11300000,12936097,12304164,11804282,12455671,11646218,11352834,17238185,16160013,17864181,13083000,20936000,19924000,30275000,32394000,36094000,37516000,68514000,27340000,28935000,22440000,23143000,32922000
54,Long-Term Debt,6500000,4500000,3000000,700000,6500000,6569352,3562793,6780834,6005172,8342568,9568750,10288179,3822500,- -,- -,12667000,8267000,64400000,58800000,51800000,43400000,- -,- -,25000000,- -,- -,7202000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,146646,496980,1688038,754718,635842,- -,- -,- -,12598000,9467000,7580000,6174000,1447000,- -,- -,- -,- -,3301000
57,Other Non-Current Liabilities,600000,400000,200000,400000,700000,988708,1184786,1435345,1663534,2142060,3668854,3548943,7015716,5610615,7770000,8067000,8838000,9569000,9839000,12581000,16465000,18769000,16469000,15778000,14301000,20895000,16410000
58,Total Non-Current Liabilities,7100000,4900000,3200000,1100000,7200000,7558060,4747579,8216179,7668706,10631274,13734584,15525160,11592934,6246457,7770000,20734000,17105000,86567000,78106000,71961000,66039000,20216000,16469000,40778000,14301000,20895000,26913000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6395000,7202000
61,Total Liabilities,13600000,11300000,10800000,8800000,18500000,20494157,17051743,20020461,20124377,22277492,25087418,32763345,27752947,24110638,20853000,41670000,37029000,116842000,110500000,108055000,103555000,88730000,43809000,69713000,36741000,44038000,59835000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,500000,507361,509439,513590,513590,534294,381866,389942,821935,839616,871000,878000,895000,900000,907000,910000,919000,928000,935000,939000,940000,944000,946000
64,Retained Earnings,7400000,9300000,12000000,17300000,21400000,25964349,30406445,33427472,37592263,40964838,38766677,43522415,52126058,62201745,65416000,76173000,83973000,90146000,103734000,126272000,147113000,173921000,209403000,245049000,270260000,298266000,335629000
65,Other Comprehensive Income/Loss,-7700000,-7700000,-9100000,-9900000,-12000000,-13272188,-14602820,-16293137,-151014,-4866,-489043,893887,583799,-1132129,-3563000,-4730000,-3666000,-5030000,-5163000,-4250000,-7986000,-15479000,-13469000,-12336000,-14324000,-13092000,-11210000
66,Other Total Stockholders Equity,6700000,6900000,8900000,9100000,10600000,12029573,13423696,15636443,-345341,-4514406,180435,1267508,2680170,4276872,7489000,9210000,10678000,12109000,13336000,13620000,14296000,14719000,14060000,13104000,14351000,16674000,18959000
67,Total Stockholders Equity,6400000,8500000,11800000,16500000,20500000,25229095,29736760,33284368,37609498,36979860,38839935,46073752,56211962,66186104,70213000,81531000,91880000,98125000,112814000,136552000,154342000,174089000,210929000,246756000,271227000,302792000,344324000
68,Total Liabilities And Stockholders Equity,20000000,19800000,22600000,25300000,39000000,45723252,46788503,53304829,57733875,59257352,63927353,78837097,83964909,90296742,91066000,123201000,128909000,214967000,223314000,244607000,257897000,262819000,254738000,316469000,307968000,346830000,404159000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1520000,1046000,938000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,20000000,19800000,22600000,25300000,39000000,45723252,46788503,53304829,57733875,59257352,63927353,78837097,83964909,90296742,91066000,123201000,128909000,216487000,224360000,245545000,257897000,262819000,254738000,316469000,307968000,346830000,404159000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/830524/000083052495000011/0000830524-95-000011-index.html,https://www.sec.gov/Archives/edgar/data/830524/000083052496000008/0000830524-96-000008-index.html,- -,https://www.sec.gov/Archives/edgar/data/830524/000083052498000014/0000830524-98-000014-index.html,- -,https://www.sec.gov/Archives/edgar/data/830524/000083052400000008/0000830524-00-000008-index.html,https://www.sec.gov/Archives/edgar/data/830524/000083052401500016/0000830524-01-500016-index.html,https://www.sec.gov/Archives/edgar/data/830524/000083052402000012/r10k2002-630.htm,https://www.sec.gov/Archives/edgar/data/830524/000104746903038274/a2123395z10-k.htm,https://www.sec.gov/Archives/edgar/data/830524/000104746904035224/a2147040z10-k.htm,https://www.sec.gov/Archives/edgar/data/830524/000110465905057445/a05-20657_210k.htm,https://www.sec.gov/Archives/edgar/data/830524/000110465906078309/a06-24557_110k.htm,https://www.sec.gov/Archives/edgar/data/830524/000104746907009210/0001047469-07-009210-index.html,https://www.sec.gov/Archives/edgar/data/830524/000104746908012335/0001047469-08-012335-index.html,https://www.sec.gov/Archives/edgar/data/830524/000104746909010146/0001047469-09-010146-index.html,https://www.sec.gov/Archives/edgar/data/830524/000104746910009792/0001047469-10-009792-index.html,https://www.sec.gov/Archives/edgar/data/830524/000104746911009551/0001047469-11-009551-index.html,https://www.sec.gov/Archives/edgar/data/830524/000104746912010587/0001047469-12-010587-index.html,https://www.sec.gov/Archives/edgar/data/830524/000104746913010544/0001047469-13-010544-index.html,https://www.sec.gov/Archives/edgar/data/830524/000104746914009223/0001047469-14-009223-index.html,https://www.sec.gov/Archives/edgar/data/830524/000155837015002705/0001558370-15-002705-index.html,https://www.sec.gov/Archives/edgar/data/830524/000155837016010069/0001558370-16-010069-index.html,https://www.sec.gov/Archives/edgar/data/830524/000155837017008752/0001558370-17-008752-index.html,https://www.sec.gov/Archives/edgar/data/830524/000155837018009471/0001558370-18-009471-index.html,https://www.sec.gov/Archives/edgar/data/830524/000155837019010957/0001558370-19-010957-index.html,https://www.sec.gov/Archives/edgar/data/830524/000155837020013721/0001558370-20-013721-index.htm,https://www.sec.gov/Archives/edgar/data/830524/000155837021016037/0001558370-21-016037-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1900000,2300000,3300000,6100000,5200000,5769923,5873360,4463316,5257716,4627416,4788264,6113989,10192804,12373600,6385000,12516000,10931000,9338000,17214000,26631000,26318000,32807000,42014000,43143000,32711000,34157000,44920000
74,Depreciation and Amortization,800000,900000,1000000,1000000,1400000,1982459,2094854,1787364,2174076,1988671,2208471,2862013,3501250,3813070,3660000,6123000,5068000,5888000,10665000,10514000,12572000,13442000,14257000,17624000,17207000,15591000,16804000
75,Deferred Income Tax,300000,100000,- -,- -,- -,-117900,-432170,-71537,157252,571883,-124525,-629151,-1502051,-344883,-853000,-655000,-527000,-1442000,-1385000,-2529000,-1222000,-2590000,-2263000,-2473000,-2312000,-769000,-908000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2210000,2220000,1682000,2040000,1621000,1096000,1120000,1333000,2212000,2128000,2176000,3208000,2978000
77,Change in Working Capital,-2900000,-1100000,400000,2900000,-1500000,2893051,984719,226296,1499391,3823326,2812409,501950,2116053,3002542,4555263,4345000,4603000,16451000,14067000,22178000,-8974000,-10450000,16460000,10502000,14645000,42735000,25365000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4201000,-5455000,-301000,-1717000,-363000,-3335000,-4534000,3312000,-1003000,-2968000,4858000,3092000,-7921000
79,Inventory,-1000000,1100000,-600000,-500000,-2700000,-1493650,-15774,1087531,1328,-3334127,-1516552,-2559232,1857357,-1074771,2334000,-4563000,-6059000,942000,-1240000,-1550000,2284000,3124000,116000,-8845000,-2864000,3562000,-910000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1534000,1765000,522000,-2683000,886000,2578000,687000,-2821000,1420000,2847000,-5493000,260000,6164000
81,Other Working Capital,5000000,3900000,4300000,7200000,5700000,8593051,9577770,9804066,11303457,15126783,17939192,18441142,20557195,23559737,28115000,32460000,37063000,53514000,67581000,89759000,80785000,70335000,86795000,97297000,111942000,154677000,180042000
82,Other Non-Cash Items,100000,2200000,-1200000,-4400000,-1800000,-6007728,-1291590,2678412,-1320614,-5493418,-3308986,1499071,397209,-3298413,949737,-13227000,-12454000,-18329000,-14025000,-29284000,11145000,14291000,-20748000,-24853000,-14892000,-39188000,1710000
83,Cash Provided by Operating Activities,200000,4400000,3500000,5600000,3300000,4519805,7229173,9083851,7767821,5517878,6375633,10347872,14705265,15545916,16907000,11322000,9303000,13946000,28157000,28606000,40959000,48833000,51932000,46071000,49535000,55734000,61217000
84,CAPEX,-600000,-300000,-1500000,-1200000,-3200000,-2659962,-1725592,-3138063,-880012,-3190691,-3127657,-1786427,-3703746,-3062640,-5641000,-3572000,-4496000,-5304000,-3397000,-4413000,-2676000,-2110000,2122000,-3506000,-2524000,-1371000,-2441000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-702125,-799886,-8189190,-3675052,-2530550,-477000,-13198000,1206000,-62575000,-57000,9019000,-32546000,568000,-26355000,-71237000,400000,- -,-31238000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19159,135118,- -,- -,- -,-54000,-60000,-48000,- -,-308000,-149000,- -,-23000,-122000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,271949,- -,- -,- -,- -,- -,3000,- -,- -,897000,- -,- -,- -,- -
88,Other Investing Activites,300000,-1600000,-400000,1300000,-9400000,-1032202,-732340,-1198644,-5526744,353687,-514393,1243254,-506065,-457710,884000,-535000,-828000,775000,-432000,-289000,-217000,1015000,3555000,982000,44000,3448000,-248000
89,Cash Used for Investing Activites,-300000,-1900000,-1900000,100000,-12600000,-3692164,-2457932,-4336707,-6406756,-3539129,-4441936,-8751522,-7749745,-5778951,-5234000,-17305000,-4172000,-67090000,-3580000,4443000,-35713000,-612000,-25102000,-73766000,-2166000,2077000,-33927000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13284000,-17827000,-7938000,-22054000,-5913000,-7704000,-9000000,-8400000,-43400000,-40000000,-25000000,- -,- -
91,Common Stock Issued,1100000,- -,- -,- -,- -,- -,- -,- -,- -,1430387,340441,101231,932975,203375,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-5000000,- -,- -,-500000,-200000,- -,- -,- -,- -,-3255125,-1955271,- -,-1444852,-827403,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-400000,-400000,-600000,-800000,-1100000,-1250208,-1431263,-1442290,-1092925,-1254841,-1313675,-1358251,-1589161,-2067715,-2986000,-1759000,-3131000,-3165000,-3626000,-4093000,-5477000,-5999000,-6532000,-7497000,-7522000,-7539000,-7557000
94,Other Financing Activites,4400000,-2000000,-1100000,-2200000,8600000,302587,-3355984,-3025053,-430662,2340080,435997,1098206,-4948080,-5217695,12414000,31250000,3340000,78727000,-75000,1296000,979000,-900000,-2864000,61920000,-928000,-881000,-691000
95,Cash Used/Provided by Financing Activities,100000,-2400000,-1700000,-3500000,7300000,-947621,-4787247,-4467343,-1523587,-739499,-2492508,-158814,-7049118,-7909438,-3856000,11664000,-7729000,53508000,-9614000,-10501000,-13498000,-15299000,-52796000,14423000,-33450000,-8420000,-8248000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,131560,121251,-384259,-91000,16000,240000,-166000,-146000,677000,-1151000,-3330000,-91000,746000,-976000,1906000,1319000
97,Net Change In Cash,- -,- -,- -,- -,-2100000,-119980,-16006,279801,-162522,1239250,-558811,1569096,27653,1473268,7726000,5697000,-2358000,198000,14817000,23225000,-9403000,29592000,-26057000,-12526000,12943000,51297000,20361000
98,Cash at the End of Period,- -,- -,- -,- -,200000,65289,49283,329084,166562,1405812,847001,2416097,2443750,3917018,11643000,17340000,14982000,15180000,29997000,53222000,43819000,73411000,47354000,34828000,47771000,99068000,119429000
99,Cash at the Beginning of Period,200000,100000,200000,200000,2300000,185269,65289,49283,329084,166562,1405812,847001,2416097,2443750,3917000,11643000,17340000,14982000,15180000,29997000,53222000,43819000,73411000,47354000,34828000,47771000,99068000
100,Free Cash Flow,-400000,4100000,2000000,4400000,100000,1859843,5503581,5945788,6887809,2327187,3247976,8561445,11001519,12483276,11266000,7750000,4807000,8642000,24760000,24193000,38283000,46723000,48662000,42565000,47011000,54363000,58776000
