,https://roic.ai/company/IP,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,349000000,493000000,530000000,490000000,496000000,541000000,816000000,929000000,783000000,766000000,743000000,593000000,521000000,297000000,572000000,702000000,608000000,541000000,743000000,669000000,677000000,644000000,695000000,758000000,734000000,706000000,600000000,430000000
14,Depreciation and Amortization,267000000,326000000,398000000,446000000,559000000,667000000,700000000,850000000,898000000,885000000,1031000000,1194000000,1258000000,1186000000,1520000000,1916000000,1870000000,1587000000,1644000000,1565000000,1376000000,1158000000,1086000000,1347000000,1472000000,1456000000,1332000000,1486000000,1547000000,1414000000,1294000000,1227000000,1423000000,1328000000,1306000000,1287000000,1210000000
15,EBITDA,426000000,780000000,1079000000,1644000000,1964000000,1613000000,1338000000,1000000000,1398000000,1898000000,3396000000,2357000000,1635000000,1998000000,2330000000,2991000000,1387000000,2611000000,2633000000,2479000000,2784000000,4618000000,2966000000,799000000,3306000000,2929000000,3525000000,3354000000,3088000000,2769000000,3342000000,3073000000,3240000000,4519000000,3871000000,2614000000,3580000000
16,EBITDA ratio,0.0946,0.1418,0.1390,0.1725,0.1726,0.1245,0.1053,0.0735,0.1022,0.1268,0.1715,0.1170,0.0814,0.1022,0.0948,0.1061,0.0526,0.1045,0.1046,0.0970,0.1155,0.2100,0.1355,0.0322,0.1415,0.1163,0.1354,0.1205,0.1062,0.1172,0.1494,0.1458,0.1490,0.1939,0.1730,0.1270,0.1849
17,Operating Income,135900000,457000000,790000000,1339000000,1610000000,1223000000,953000000,453000000,810000000,1013000000,2521000000,1420000000,461000000,1016000000,1501000000,2508000000,1435000000,1740000000,1402000000,1686000000,1386000000,1451000000,1710000000,1325000000,3280000000,1801000000,2319000000,1891000000,2188000000,2463000000,2384000000,1600000000,1844000000,2962000000,2425000000,1678000000,1124000000
18,Operating Income ratio,0.0302,0.0831,0.1018,0.1405,0.1415,0.0944,0.0750,0.0333,0.0592,0.0677,0.1273,0.0705,0.0229,0.0520,0.0611,0.0890,0.0544,0.0697,0.0557,0.0660,0.0575,0.0660,0.0781,0.0534,0.1404,0.0715,0.0891,0.0679,0.0752,0.1043,0.1066,0.0759,0.0848,0.1271,0.1084,0.0815,0.0580
19,Total Other Income Expenses (Gains),23100000,-3000000,-109000000,-141000000,-205000000,-277000000,-315000000,-247000000,-310000000,-349000000,-493000000,-618000000,-445000000,-624000000,-1053000000,-1785000000,-2700000000,-1369000000,-1056000000,-940000000,-800000000,1737000000,-56000000,-2478000000,-2081000000,-979000000,-861000000,-867000000,-1339000000,-1591000000,-1118000000,-644000000,-996000000,-1181000000,-821000000,-1028000000,-125000000
20,Income Before Tax,159000000,454000000,681000000,1198000000,1405000000,946000000,638000000,206000000,500000000,664000000,2028000000,802000000,16000000,392000000,448000000,723000000,-1265000000,371000000,346000000,746000000,586000000,3188000000,1654000000,-1153000000,1199000000,822000000,1458000000,1024000000,849000000,872000000,1266000000,956000000,848000000,1781000000,1604000000,650000000,999000000
21,Income Before Tax Ratio,0.0353,0.0825,0.0877,0.1257,0.1235,0.0730,0.0502,0.0151,0.0365,0.0444,0.1024,0.0398,0.0008,0.0201,0.0182,0.0257,-0.0480,0.0149,0.0137,0.0292,0.0243,0.1449,0.0756,-0.0464,0.0513,0.0326,0.0560,0.0368,0.0292,0.0369,0.0566,0.0454,0.0390,0.0764,0.0717,0.0316,0.0516
22,Income Tax expense (Gain),28000000,149000000,274000000,444000000,541000000,377000000,239000000,64000000,211000000,232000000,719000000,330000000,38000000,80000000,86000000,117000000,-270000000,-54000000,-92000000,206000000,-285000000,1889000000,415000000,162000000,469000000,221000000,311000000,331000000,-523000000,123000000,466000000,247000000,-1085000000,445000000,634000000,245000000,188000000
23,Net Income,131000000,305000000,407000000,754000000,864000000,569000000,399000000,86000000,289000000,432000000,1153000000,303000000,-151000000,236000000,183000000,142000000,-1142000000,295000000,315000000,-35000000,1100000000,1050000000,1168000000,-1282000000,663000000,644000000,1341000000,794000000,1395000000,555000000,938000000,904000000,2144000000,2012000000,1225000000,482000000,1752000000
24,Net Income ratio,0.0291,0.0555,0.0524,0.0791,0.0759,0.0439,0.0314,0.0063,0.0211,0.0289,0.0582,0.0150,-0.0075,0.0121,0.0074,0.0050,-0.0433,0.0118,0.0125,-0.0014,0.0456,0.0477,0.0534,-0.0516,0.0284,0.0256,0.0515,0.0285,0.0480,0.0235,0.0419,0.0429,0.0986,0.0863,0.0547,0.0234,0.0905
25,EPS,0.54,1.45,1.84,3.29,3.86,2.61,1.81,0.35,1.17,1.43,4.50,1.04,-0.50,0.77,0.44,0.32,-2.50,-1.83,0.63,-0.07,2.26,2.21,2.72,-3.05,1.56,1.50,3.06,1.82,3.15,1.30,2.25,2.20,5.19,4.91,3.10,1.23,4.50
26,EPS Diluted,0.54,1.45,1.84,3.29,3.86,2.61,1.81,0.35,1.17,1.43,4.50,1.04,-0.50,0.77,0.44,0.32,-2.50,-1.83,0.63,-0.07,2.21,2.18,2.70,-3.05,1.55,1.48,3.03,1.80,3.11,1.29,2.23,2.18,5.13,4.85,3.07,1.22,4.47
27,Weighted Average Shares Outstanding,194444444,195862069,210326087,222796353,218911917,218007663,220441989,245714286,247008547,249800000,256500000,292100000,301600000,305900000,413000000,449600000,482600000,481400000,479600000,485800000,486000000,476100000,428900000,421000000,425000000,429800000,432200000,436263736,442857143,426923077,416888889,410909091,413102119,409775967,395161290,391869919,389400000
28,Weighted Average Shares Outstanding Diluted,194444444,195862069,210326087,222796353,218911917,218007663,220441989,245714286,247008547,249800000,256500000,292100000,301600000,306300000,416100000,450000000,482600000,483000000,481100000,488400000,509700000,488700000,433000000,421000000,428000000,434200000,437000000,440200000,448100000,432000000,420600000,415600000,417700000,414200000,398800000,395700000,392400000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/51434/000091205797010800/0000912057-97-010800-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/51434/000095011701000558/0000950117-01-000558-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/51434/000095011705000925/a39372.htm,https://www.sec.gov/Archives/edgar/data/51434/000119312506046215/d10k.htm,https://www.sec.gov/Archives/edgar/data/51434/000119312507042746/d10k.htm,https://www.sec.gov/Archives/edgar/data/51434/000119312508042850/d10k.htm,https://www.sec.gov/Archives/edgar/data/51434/000119312509038657/0001193125-09-038657-index.html,https://www.sec.gov/Archives/edgar/data/51434/000119312510040916/0001193125-10-040916-index.html,https://www.sec.gov/Archives/edgar/data/51434/000119312511046928/d10k.htm,https://www.sec.gov/Archives/edgar/data/51434/000119312512081097/0001193125-12-081097-index.html,https://www.sec.gov/Archives/edgar/data/51434/000005143413000004/0000051434-13-000004-index.html,https://www.sec.gov/Archives/edgar/data/51434/000005143414000003/ip10-k123113.htm,https://www.sec.gov/Archives/edgar/data/51434/000005143415000009/ip10-k123114.htm,https://www.sec.gov/Archives/edgar/data/51434/000005143416000042/0000051434-16-000042-index.html,https://www.sec.gov/Archives/edgar/data/51434/000005143417000007/0000051434-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/51434/000005143418000008/0000051434-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/51434/000005143419000007/0000051434-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/51434/000005143420000011/0000051434-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/51434/000005143421000012/0000051434-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/51434/000005143422000016/0000051434-22-000016-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,270000000,312000000,352000000,398000000,477000000,453000000,1198000000,1224000000,1074000000,2363000000,2596000000,1641000000,1624000000,905000000,1144000000,1892000000,2073000000,3994000000,1302000000,1802000000,1881000000,1050000000,1033000000,1018000000,589000000,511000000,595000000,1295000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4850000000,245000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,270000000,312000000,352000000,398000000,477000000,453000000,1198000000,1224000000,1074000000,2363000000,2596000000,1641000000,1624000000,905000000,1144000000,1892000000,2073000000,3994000000,1302000000,1802000000,1881000000,1050000000,1033000000,1018000000,589000000,511000000,5445000000,1540000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,2241000000,2571000000,2553000000,2404000000,2469000000,3227000000,3433000000,2650000000,2780000000,2894000000,2994000000,2926000000,2704000000,3152000000,3288000000,2695000000,3039000000,3486000000,3562000000,3756000000,3083000000,2675000000,3001000000,3287000000,3916000000,3673000000,3419000000,3610000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,2075000000,2784000000,2840000000,2760000000,2719000000,3203000000,3182000000,2733000000,2879000000,2983000000,2718000000,2434000000,1909000000,2071000000,2495000000,2179000000,2347000000,2320000000,2730000000,2825000000,2424000000,2228000000,2438000000,2313000000,2241000000,2208000000,2050000000,1814000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,244000000,206000000,253000000,383000000,345000000,358000000,2642000000,1705000000,1005000000,1097000000,1011000000,408000000,2400000000,607000000,433000000,785000000,569000000,656000000,1311000000,642000000,571000000,524000000,497000000,1659000000,250000000,247000000,322000000,132000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,4830000000,5873000000,5998000000,5945000000,6010000000,7241000000,10455000000,8312000000,7738000000,9337000000,9319000000,7409000000,8637000000,6735000000,7360000000,7551000000,8028000000,10456000000,8905000000,9025000000,7959000000,6477000000,6969000000,8277000000,6996000000,6639000000,11236000000,7096000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,9139000000,10997000000,13217000000,12369000000,12079000000,14381000000,16011000000,14461000000,14167000000,14275000000,13432000000,11801000000,8993000000,10141000000,14796000000,13445000000,12749000000,12477000000,13949000000,13672000000,12728000000,11980000000,13990000000,13265000000,13067000000,13438000000,12676000000,10806000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,763000000,1355000000,2748000000,2557000000,2625000000,2596000000,6310000000,6543000000,5307000000,5341000000,4994000000,5043000000,2929000000,3650000000,2027000000,2290000000,2308000000,2346000000,4315000000,3987000000,3773000000,3335000000,3364000000,3411000000,3374000000,3347000000,3315000000,3130000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,763000000,1355000000,2748000000,2557000000,4000000,6000000,3000000,1000000,180000000,300000000,330000000,310000000,- -,- -,- -,- -,- -,- -,866000000,648000000,539000000,395000000,547000000,482000000,393000000,368000000,317000000,268000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,763000000,1355000000,2748000000,2557000000,2629000000,2602000000,6313000000,6544000000,5487000000,5641000000,5324000000,5353000000,2929000000,3650000000,2027000000,2290000000,2308000000,2346000000,5181000000,4635000000,4312000000,3730000000,3911000000,3893000000,3767000000,3715000000,3632000000,3398000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,227000000,773000000,679000000,625000000,641000000,1276000000,1274000000,1077000000,1092000000,632000000,2995000000,2860000000,2393000000,7242000000,7393000000,7441000000,8718000000,8809000000,3435000000,3026000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,3104000000,5752000000,6289000000,5883000000,5638000000,6044000000,9330000000,7841000000,6173000000,5499000000,5463000000,3583000000,2834000000,2357000000,1456000000,1185000000,1191000000,1082000000,1123000000,1336000000,1292000000,1158000000,1082000000,1027000000,1028000000,870000000,739000000,917000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,13006000000,18104000000,22254000000,20809000000,20346000000,23027000000,31654000000,28846000000,26054000000,26188000000,24898000000,21362000000,15397000000,17424000000,19553000000,17997000000,17340000000,16537000000,23248000000,22503000000,20725000000,24110000000,26376000000,25626000000,26580000000,26832000000,20482000000,18147000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,17836000000,23977000000,28252000000,26754000000,26356000000,30268000000,42109000000,37158000000,33792000000,35525000000,34217000000,28771000000,24034000000,24159000000,26913000000,25548000000,25368000000,26993000000,32153000000,31528000000,28684000000,30587000000,33345000000,33903000000,33576000000,33471000000,31718000000,25243000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,1204000000,1464000000,1426000000,1338000000,1525000000,1870000000,2113000000,1719000000,2014000000,2294000000,2279000000,2085000000,1907000000,2145000000,2119000000,2058000000,2556000000,2500000000,2775000000,2900000000,2664000000,2078000000,2309000000,2458000000,2413000000,2423000000,2320000000,2606000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,2083000000,2283000000,3296000000,2212000000,1074000000,920000000,2115000000,957000000,- -,2087000000,506000000,1181000000,692000000,267000000,828000000,304000000,313000000,719000000,444000000,661000000,742000000,426000000,239000000,311000000,639000000,4388000000,4249000000,196000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,747000000,1116000000,1172000000,1330000000,1037000000,1592000000,3185000000,2698000000,2565000000,2422000000,2087000000,1578000000,2042000000,1430000000,1808000000,1650000000,1634000000,1519000000,1779000000,1566000000,1503000000,1420000000,1524000000,2333000000,1642000000,1835000000,1715000000,1342000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,4034000000,4863000000,5894000000,4880000000,3636000000,4382000000,7413000000,5374000000,4579000000,6803000000,4872000000,4844000000,4641000000,3842000000,4755000000,4012000000,4503000000,4738000000,4998000000,5127000000,4909000000,3924000000,4072000000,5102000000,4694000000,8646000000,8284000000,4144000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,4464000000,6396000000,7141000000,7604000000,8212000000,9325000000,14453000000,14262000000,14847000000,13450000000,14132000000,11023000000,6531000000,6353000000,11246000000,8729000000,8358000000,9189000000,11732000000,10870000000,10681000000,15177000000,17359000000,17137000000,16313000000,11682000000,10471000000,7718000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1612000000,1974000000,2768000000,2681000000,2860000000,3344000000,4699000000,3977000000,1765000000,1598000000,1697000000,726000000,2233000000,2919000000,1957000000,2425000000,2793000000,2497000000,3026000000,3765000000,3063000000,3231000000,3376000000,2291000000,2600000000,2633000000,2743000000,2618000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,980000000,1240000000,1236000000,1138000000,1332000000,2155000000,1980000000,3778000000,3637000000,3714000000,3616000000,2453000000,2145000000,4554000000,4127000000,2630000000,3609000000,5761000000,3482000000,4768000000,4346000000,4179000000,2832000000,2586000000,2792000000,2352000000,1681000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,6076000000,9350000000,11149000000,11521000000,12210000000,14001000000,21307000000,20219000000,20390000000,18685000000,19543000000,15365000000,11217000000,11417000000,17757000000,15281000000,13781000000,15295000000,20519000000,18117000000,18512000000,22754000000,24914000000,22260000000,21499000000,17107000000,15566000000,12017000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,304000000,315000000,236000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,10110000000,14213000000,17043000000,16401000000,15846000000,18383000000,28720000000,25593000000,24969000000,25488000000,24415000000,20209000000,15858000000,15259000000,22512000000,19293000000,18284000000,20033000000,25517000000,23244000000,23421000000,26678000000,28986000000,27362000000,26193000000,25753000000,23850000000,16161000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,128000000,263000000,301000000,303000000,308000000,415000000,484000000,484000000,485000000,485000000,487000000,491000000,493000000,494000000,434000000,437000000,439000000,439000000,440000000,447000000,449000000,449000000,449000000,449000000,449000000,449000000,449000000,449000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,4711000000,5627000000,5639000000,5186000000,5116000000,6613000000,6308000000,4622000000,3260000000,3082000000,2562000000,3172000000,3737000000,4375000000,1430000000,1949000000,2416000000,3330000000,3662000000,4446000000,4409000000,4649000000,4818000000,6180000000,7465000000,8408000000,8070000000,9029000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7051000000,-8416000000,-9514000000,-9958000000,-10567000000,-15146000000,-14043000000,-15461000000,-2645000000,-1690000000,-1357000000,-1935000000,-1564000000,-471000000,-3322000000,-2077000000,-1822000000,-3005000000,-3840000000,-2759000000,-4646000000,-5708000000,-5362000000,-4633000000,-4500000000,-4739000000,-4342000000,-1666000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,9938000000,12290000000,14783000000,14822000000,15653000000,20003000000,20640000000,21920000000,6274000000,6360000000,6562000000,6623000000,5297000000,4274000000,5627000000,5714000000,5801000000,5856000000,6042000000,5971000000,4903000000,4494000000,4436000000,4526000000,3948000000,3595000000,3677000000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,7726000000,9764000000,11209000000,10353000000,10510000000,11885000000,13389000000,11565000000,7374000000,8237000000,8254000000,8351000000,7963000000,8672000000,4169000000,6023000000,6834000000,6620000000,6304000000,8105000000,5115000000,3884000000,4341000000,6522000000,7362000000,7713000000,7854000000,9082000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,17836000000,23977000000,28252000000,26754000000,26356000000,30268000000,42109000000,37158000000,32343000000,33725000000,32669000000,28560000000,23821000000,23931000000,26681000000,25316000000,25118000000,26653000000,31821000000,31349000000,28536000000,30562000000,33327000000,33884000000,33555000000,33466000000,31704000000,25243000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1449000000,1800000000,1548000000,211000000,213000000,228000000,232000000,232000000,250000000,340000000,332000000,179000000,148000000,25000000,18000000,19000000,21000000,5000000,14000000,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,17836000000,23977000000,28252000000,26754000000,26356000000,30268000000,42109000000,37158000000,33792000000,35525000000,34217000000,28771000000,24034000000,24159000000,26913000000,25548000000,25368000000,26993000000,32153000000,31528000000,28684000000,30587000000,33345000000,33903000000,33576000000,33471000000,31718000000,25243000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/51434/000091205797010800/0000912057-97-010800-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/51434/000095011701000558/0000950117-01-000558-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/51434/000095011705000925/a39372.htm,https://www.sec.gov/Archives/edgar/data/51434/000119312506046215/d10k.htm,https://www.sec.gov/Archives/edgar/data/51434/000119312507042746/d10k.htm,https://www.sec.gov/Archives/edgar/data/51434/000119312508042850/d10k.htm,https://www.sec.gov/Archives/edgar/data/51434/000119312509038657/0001193125-09-038657-index.html,https://www.sec.gov/Archives/edgar/data/51434/000119312510040916/0001193125-10-040916-index.html,https://www.sec.gov/Archives/edgar/data/51434/000119312511046928/d10k.htm,https://www.sec.gov/Archives/edgar/data/51434/000119312512081097/0001193125-12-081097-index.html,https://www.sec.gov/Archives/edgar/data/51434/000005143413000004/0000051434-13-000004-index.html,https://www.sec.gov/Archives/edgar/data/51434/000005143414000003/ip10-k123113.htm,https://www.sec.gov/Archives/edgar/data/51434/000005143415000009/ip10-k123114.htm,https://www.sec.gov/Archives/edgar/data/51434/000005143416000042/0000051434-16-000042-index.html,https://www.sec.gov/Archives/edgar/data/51434/000005143417000007/0000051434-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/51434/000005143418000008/0000051434-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/51434/000005143419000007/0000051434-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/51434/000005143420000011/0000051434-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/51434/000005143421000012/0000051434-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/51434/000005143422000016/0000051434-22-000016-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,864000000,569000000,399000000,86000000,289000000,432000000,1153000000,303000000,-151000000,236000000,183000000,142000000,-1142000000,295000000,315000000,-35000000,1100000000,1050000000,1168000000,-1282000000,663000000,644000000,1341000000,794000000,1395000000,555000000,938000000,904000000,2144000000,2012000000,1225000000,482000000,1752000000
