,https://roic.ai/company/MTD,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,-0.0750,0.0402,0.0451,0.0640,0.0629,0.0827,0.0735,0.0769,0.0735,0.0988,0.0995,0.1028,0.0998,0.1180,0.1167,0.1242,0.1287,0.1361,0.1473,0.1532,0.1380,0.1746,0.1865,0.1954,0.2068
25,EPS,-2.06,0.98,1.25,1.80,1.78,2.27,2.15,2.44,2.58,3.93,4.82,5.92,5.12,6.98,8.45,9.37,10.22,11.71,12.75,14.49,14.62,20.33,22.84,25.24,33.25
26,EPS Diluted,-2.06,0.92,1.16,1.66,1.68,2.21,2.11,2.37,2.52,3.86,4.70,5.79,5.03,6.80,8.21,9.14,9.96,11.44,12.48,14.22,14.24,19.88,22.47,24.91,32.78
27,Weighted Average Shares Outstanding,31617071,38357079,38518084,38897879,40609716,44280605,44473913,44237214,42207777,40065951,37025209,34250310,33716353,33280463,31897779,31044532,29945954,28890771,27680918,26517768,25713575,25215674,24567609,23882648,23129862
28,Weighted Average Shares Outstanding Diluted,31617071,40682211,41295757,42141548,42978895,45370053,45508847,45483969,43285121,40785708,37952923,35048859,34290771,34140097,32839365,31824077,30728482,29571308,28269615,27023905,26393783,25781324,24974457,24199230,23457630
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1037646/000089534598000141/0000895345-98-000141-index.html,https://www.sec.gov/Archives/edgar/data/1037646/000103764699000004/0001037646-99-000004-index.html,https://www.sec.gov/Archives/edgar/data/1037646/000103764600000004/0001037646-00-000004-index.html,https://www.sec.gov/Archives/edgar/data/1037646/000103764601500005/0001037646-01-500005-index.html,https://www.sec.gov/Archives/edgar/data/1037646/000089534502000103/0000895345-02-000103-index.html,https://www.sec.gov/Archives/edgar/data/1037646/000089534503000148/0000895345-03-000148-index.html,https://www.sec.gov/Archives/edgar/data/1037646/000089534504000159/0000895345-04-000159-index.html,https://www.sec.gov/Archives/edgar/data/1037646/000095015205001513/0000950152-05-001513-index.html,https://www.sec.gov/Archives/edgar/data/1037646/000095015206001354/l17872ae10vk.htm,https://www.sec.gov/Archives/edgar/data/1037646/000095015207001252/l24266ae10vk.htm,https://www.sec.gov/Archives/edgar/data/1037646/000095015208001167/l29980ae10vk.htm,https://www.sec.gov/Archives/edgar/data/1037646/000095015209001389/0000950152-09-001389-index.html,https://www.sec.gov/Archives/edgar/data/1037646/000095012310010287/0000950123-10-010287-index.html,https://www.sec.gov/Archives/edgar/data/1037646/000095012311014519/l41517e10vk.htm,https://www.sec.gov/Archives/edgar/data/1037646/000103764612000011/0001037646-12-000011-index.html,https://www.sec.gov/Archives/edgar/data/1037646/000103764613000005/0001037646-13-000005-index.html,https://www.sec.gov/Archives/edgar/data/1037646/000103764614000005/mtd_10kx12312013.htm,https://www.sec.gov/Archives/edgar/data/1037646/000103764615000008/mtd_10kx12312014.htm,https://www.sec.gov/Archives/edgar/data/1037646/000103764616000043/0001037646-16-000043-index.html,https://www.sec.gov/Archives/edgar/data/1037646/000103764617000004/0001037646-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/1037646/000103764618000006/0001037646-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/1037646/000103764619000010/0001037646-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/1037646/000103764620000005/0001037646-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/1037646/000103764621000008/0001037646-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1037646/000103764622000006/0001037646-22-000006-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,23600000,21200000,17200000,21725000,27721000,31427000,45116000,67176000,324578000,151269000,81222000,78073000,85031000,447577000,235601000,101702000,111874000,85263000,98887000,158674000,148687000,178110000,207785000,94254000,98564000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,23600000,21200000,17200000,21725000,27721000,31427000,45116000,67176000,324578000,151269000,81222000,78073000,85031000,447577000,235601000,101702000,111874000,85263000,98887000,158674000,148687000,178110000,207785000,94254000,98564000
34,Net Receivables,153600000,178500000,203800000,212570000,227295000,231673000,249353000,271097000,271915000,306879000,354596000,348614000,312998000,368936000,425147000,437390000,466703000,435648000,411420000,454988000,528615000,535528000,566256000,593809000,647335000
35,Inventory,101000000,112100000,123900000,141677000,145621000,150441000,151764000,156539000,150201000,148372000,173725000,170613000,168042000,217104000,241421000,198939000,210414000,204531000,214383000,222047000,255390000,268821000,274285000,297611000,414543000
36,Other Current Assets,31700000,46400000,43000000,47367000,31121000,62186000,59304000,57545000,53965000,63250000,73666000,73565000,80036000,111278000,116694000,126889000,124996000,123988000,138125000,61075000,74031000,63401000,61321000,71230000,108916000
37,Total Current Assets,309900000,358200000,387900000,423339000,431758000,475727000,505537000,552357000,800659000,669770000,683209000,670865000,646107000,1144895000,1018863000,864920000,913987000,849430000,862815000,896784000,1006723000,1045860000,1109647000,1056904000,1269358000
38,PP&E,235300000,230300000,199700000,199388000,192272000,217754000,231512000,242709000,218519000,229138000,249605000,285008000,316334000,364472000,410007000,469421000,514438000,511462000,517229000,563707000,668271000,717526000,748657000,798868000,799365000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,432871000,440767000,424426000,440950000,434699000,447743000,452351000,455842000,444085000,446284000,476378000,539838000,534780000,535979000,550270000,648622000
40,Intangible Assets,183300000,213800000,204300000,228035000,126524000,537792000,548814000,560181000,528209000,102750000,100020000,96295000,105284000,104372000,121410000,117564000,114418000,112784000,115252000,167055000,226718000,217308000,206242000,196785000,307450000
41,Intangible Assets,183300000,213800000,204300000,228035000,126524000,537792000,548814000,560181000,528209000,535621000,540787000,520721000,546234000,539071000,569153000,569915000,570260000,556869000,561536000,643433000,766556000,752088000,742221000,747055000,956072000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,40683000,72847000,73042000,69083000,65129000,92958000,95688000,95996000,118899000,127110000,24121000,30273000,22873000,33951000,41425000,35066000,36978000,41836000,39496000
44,Other Non-Current Assets,20800000,18100000,29000000,36820000,438858000,72120000,60730000,51978000,49344000,83473000,139484000,92977000,114424000,138629000,86552000,86034000,130013000,61076000,54032000,28902000,66830000,68307000,151818000,169886000,262507000
45,Total Non-Current Assets,439400000,462200000,433000000,464243000,757654000,827666000,881739000,927715000,869114000,917315000,995005000,991664000,1072680000,1138168000,1184611000,1252480000,1238832000,1159680000,1155670000,1269993000,1543082000,1572987000,1679674000,1757645000,2057440000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,749300000,820400000,820900000,887582000,1189412000,1303393000,1387276000,1480072000,1669773000,1587085000,1678214000,1662529000,1718787000,2283063000,2203474000,2117400000,2152819000,2009110000,2018485000,2166777000,2549805000,2618847000,2789321000,2814549000,3326798000
48,Accounts Payable,39300000,58700000,81200000,80513000,66327000,73072000,68243000,85129000,88553000,95971000,127109000,111442000,103160000,138105000,168109000,142362000,145993000,145896000,142075000,146593000,167627000,196641000,185592000,175801000,272911000
49,Short-Term Debt,56400000,46400000,46900000,50560000,50239000,50578000,18277000,6913000,6345000,9962000,11570000,12492000,89968000,10902000,28300000,41600000,17067000,116164000,14488000,18974000,19677000,49670000,55868000,50317000,101134000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,89017000,134769000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,26176000,34803000,41553000,52703000,51665000,63292000,86746000,99584000,71435000,83083000,82219000,88829000,100330000,107166000,105381000,122489000,149106000,192648000
52,Other Current Liabilities,167900000,188300000,208100000,218080000,231021000,244014000,241389000,230028000,223755000,236893000,256391000,251999000,238255000,306433000,313851000,307280000,318045000,334611000,349735000,321618000,395203000,382742000,390563000,465103000,579845000
53,Total Current Liabilities,263600000,293400000,336200000,349153000,347587000,367664000,327909000,348246000,353456000,384379000,447773000,427598000,494675000,542186000,609844000,562677000,564188000,678890000,595127000,587515000,689673000,734434000,754512000,840327000,1146538000
54,Long-Term Debt,340300000,340200000,249700000,237807000,309479000,262093000,223239000,196290000,443795000,345705000,385072000,441588000,203590000,670301000,476715000,347131000,395960000,335790000,576984000,875056000,960170000,985021000,1235350000,1284174000,1580808000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,25400000,25600000,22700000,25939000,25053000,37650000,46519000,81927000,78360000,82613000,101500000,111048000,119791000,124523000,125833000,139487000,64449000,56727000,71365000,64306000,51230000,48818000,45267000,34448000,62230000
57,Other Non-Current Liabilities,91100000,103200000,100300000,95843000,119109000,133600000,135613000,132723000,135160000,143526000,162583000,179048000,189593000,174469000,209945000,240886000,193170000,218108000,194552000,204957000,301452000,260511000,333412000,372925000,365801000
58,Total Non-Current Liabilities,456800000,469000000,372700000,359589000,453641000,433343000,405371000,410940000,657315000,571844000,649155000,731684000,512974000,969293000,812493000,727504000,653579000,610625000,842901000,1144319000,1312852000,1294350000,1614029000,1691547000,2008839000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,720400000,762400000,708900000,708742000,801228000,801007000,733280000,759186000,1010771000,956223000,1096928000,1159282000,1007649000,1511479000,1422337000,1290181000,1217767000,1289515000,1438028000,1731834000,2002525000,2028784000,2368541000,2531874000,3155377000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,400000,393000,441000,444000,446000,448000,469000,448000,448000,448000,448000,448000,448000,448000,448000,448000,448000,448000,448000,448000,448000,448000,448000
64,Retained Earnings,-224200000,-186500000,-138400000,-68307000,3957000,104378000,200216000,293093000,417075000,493691000,652236000,848489000,1009995000,1223130000,1476550000,1749451000,2037420000,2357334000,2692317000,3065708000,3433282000,3941916000,4499288000,5095596000,5859272000
65,Other Comprehensive Income/Loss,-31400000,-55300000,-69000000,-85588000,-109176000,-155114000,-195083000,-213577000,-45000000,-17000000,43000000,-32000000,-16000000,8000000,-87000000,-97000000,-35000000,-213000000,-267000000,-355000000,-265000000,-302000000,-324000000,-334925000,-255224000
66,Other Total Stockholders Equity,281000000,295600000,319000000,332342000,492962000,552678000,648417000,640922000,286458000,153723000,-114398000,-313690000,-283305000,-459994000,-608861000,-825680000,-1067816000,-1425187000,-1845308000,-2276213000,-2621450000,-3050301000,-3754956000,-4478444000,-5433075000
67,Total Stockholders Equity,25400000,53800000,112000000,178840000,388184000,502386000,653996000,720886000,659002000,630862000,581286000,503247000,711138000,771584000,781137000,827219000,935052000,719595000,580457000,434943000,547280000,590063000,420780000,282675000,171421000
68,Total Liabilities And Stockholders Equity,745800000,816200000,820900000,887582000,1189412000,1303393000,1387276000,1480072000,1669773000,1587085000,1678214000,1662529000,1718787000,2283063000,2203474000,2117400000,2152819000,2009110000,2018485000,2166777000,2549805000,2618847000,2789321000,2814549000,3326798000
69,Minority Interest,3500000,4200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,749300000,820400000,820900000,887582000,1189412000,1303393000,1387276000,1480072000,1669773000,1587085000,1678214000,1662529000,1718787000,2283063000,2203474000,2117400000,2152819000,2009110000,2018485000,2166777000,2549805000,2618847000,2789321000,2814549000,3326798000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1037646/000089534598000141/0000895345-98-000141-index.html,https://www.sec.gov/Archives/edgar/data/1037646/000103764699000004/0001037646-99-000004-index.html,https://www.sec.gov/Archives/edgar/data/1037646/000103764600000004/0001037646-00-000004-index.html,https://www.sec.gov/Archives/edgar/data/1037646/000103764601500005/0001037646-01-500005-index.html,https://www.sec.gov/Archives/edgar/data/1037646/000089534502000103/0000895345-02-000103-index.html,https://www.sec.gov/Archives/edgar/data/1037646/000089534503000148/0000895345-03-000148-index.html,https://www.sec.gov/Archives/edgar/data/1037646/000089534504000159/0000895345-04-000159-index.html,https://www.sec.gov/Archives/edgar/data/1037646/000095015205001513/0000950152-05-001513-index.html,https://www.sec.gov/Archives/edgar/data/1037646/000095015206001354/l17872ae10vk.htm,https://www.sec.gov/Archives/edgar/data/1037646/000095015207001252/l24266ae10vk.htm,https://www.sec.gov/Archives/edgar/data/1037646/000095015208001167/l29980ae10vk.htm,https://www.sec.gov/Archives/edgar/data/1037646/000095015209001389/0000950152-09-001389-index.html,https://www.sec.gov/Archives/edgar/data/1037646/000095012310010287/0000950123-10-010287-index.html,https://www.sec.gov/Archives/edgar/data/1037646/000095012311014519/l41517e10vk.htm,https://www.sec.gov/Archives/edgar/data/1037646/000103764612000011/0001037646-12-000011-index.html,https://www.sec.gov/Archives/edgar/data/1037646/000103764613000005/0001037646-13-000005-index.html,https://www.sec.gov/Archives/edgar/data/1037646/000103764614000005/mtd_10kx12312013.htm,https://www.sec.gov/Archives/edgar/data/1037646/000103764615000008/mtd_10kx12312014.htm,https://www.sec.gov/Archives/edgar/data/1037646/000103764616000043/0001037646-16-000043-index.html,https://www.sec.gov/Archives/edgar/data/1037646/000103764617000004/0001037646-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/1037646/000103764618000006/0001037646-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/1037646/000103764619000010/0001037646-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/1037646/000103764620000005/0001037646-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/1037646/000103764621000008/0001037646-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1037646/000103764622000006/0001037646-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-65900000,37600000,48100000,70119000,72264000,100421000,95838000,107957000,108902000,157532000,178507000,202778000,172593000,232148000,269493000,290847000,306094000,338241000,352820000,384370000,375972000,512611000,561109000,602739000,768985000
74,Depreciation and Amortization,31800000,32200000,35300000,33254000,36972000,34724000,36810000,38924000,37413000,37572000,38346000,39540000,41478000,44528000,49497000,54778000,59304000,62802000,64038000,68795000,76129000,84691000,88681000,98709000,108057000
75,Deferred Income Tax,- -,-1200000,-1600000,1487000,- -,- -,- -,- -,- -,7365000,22234000,4137000,3766000,4058000,2592000,5420000,8816000,13033000,7258000,1878000,69237000,5899000,-4630000,-12784000,563000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11367000,12385000,12270000,13185000,12639000,13611000,14223000,15306000,16582000,17579000,18285000,18687000,19595000
77,Change in Working Capital,19400000,18500000,-13100000,22486000,9985000,23892000,69565000,26483000,243092000,-161812000,-49955000,7831000,-91835000,451277000,-193690000,-106776000,47556000,-179259000,97148000,41581000,7781000,-5624000,43709000,19747000,4395000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37071000,-55025000,-53964000,-8760000,-28995000,7492000,1625000,-52151000,-38985000,-19540000,-31408000,-4495000,-66468000
79,Inventory,-2700000,-6000000,-9500000,-17274000,3531000,7378000,8773000,4449000,-5171000,11379000,-13522000,-398000,7817000,-40417000,-20281000,46831000,-8484000,-9302000,-18785000,-12431000,-13680000,-21195000,-4603000,-3836000,-118718000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9416000,31696000,27551000,-27881000,295000,6298000,1698000,9633000,11885000,33671000,-12221000,-17803000,93973000
81,Other Working Capital,46300000,64800000,51700000,74186000,84171000,108063000,177628000,204111000,447203000,285391000,235436000,243267000,151432000,602709000,409019000,302243000,349799000,170540000,267688000,309269000,317050000,311426000,355135000,- -,- -
82,Other Non-Cash Items,70300000,-15100000,22600000,-42632000,-17649000,-43627000,-84982000,-7371000,-212348000,150909000,39085000,-30522000,95236000,-476117000,140718000,70250000,-88481000,170484000,-108619000,-68852000,-29376000,-50151000,-103704000,-2399000,7230000
83,Cash Provided by Operating Activities,55600000,72000000,91300000,84714000,101572000,115410000,117231000,165993000,177059000,191566000,228217000,223764000,232605000,268279000,280880000,327704000,345928000,418912000,426868000,443078000,516325000,565005000,603450000,724699000,908825000
84,CAPEX,-102800000,-57500000,-47700000,-29304000,-33228000,-33157000,-27152000,-27882000,-32498000,-34329000,-47545000,-61008000,-60041000,-73943000,-98500000,-95588000,-82349000,-89388000,-82506000,-123957000,-127426000,-142726000,-97341000,-92494000,-107580000
85,Acquisitions Net,- -,- -,- -,-26377000,-165471000,-21305000,-4450000,-2287000,-4087000,-790000,-106000,-999000,-14620000,-13064000,-35373000,-2098000,-2661000,-5784000,-13779000,-111381000,-108445000,-5527000,-2004000,-6242000,-220862000
86,Purchases of Investments,-9200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,16000000,21600000,10200000,1468000,3518000,1995000,2092000,1819000,1423000,4181000,6263000,13307000,2081000,9992000,1582000,426000,211000,728000,-4466000,3882000,18527000,9309000,262000,-1624000,14334000
89,Cash Used for Investing Activites,-96000000,-35900000,-37500000,-54213000,-195181000,-52467000,-29510000,-28350000,-35162000,-30938000,-41388000,-48700000,-72580000,-77015000,-132291000,-97260000,-84799000,-94444000,-100751000,-231456000,-217344000,-138944000,-99083000,-100360000,-314108000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-422812000,-329536000,-647694000,-595682000,-531045000,-585867000,-594477000,-594178000,-1185172000,-876324000,-1176784000,-1483869000,-2035546000
91,Common Stock Issued,97600000,500000,2600000,6473000,16840000,3532000,3577000,25567000,27007000,30453000,21217000,5228000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-700000,- -,- -,- -,- -,- -,- -,-102397000,-161832000,-264640000,-324870000,-229671000,-5988000,-239998000,-204578000,-278672000,-294976000,-414000000,-494966000,-499992000,-399997000,-474999000,-774999000,-774998000,-999998000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-89000000,-39300000,-59800000,-32378000,83386000,-61184000,-80297000,-40604000,252563000,-103277000,39672000,45296000,271357000,737457000,491803000,507957000,574905000,651759000,782411000,948245000,1265639000,963301000,1474415000,1514959000,2444995000
95,Cash Used/Provided by Financing Activities,7900000,-38800000,-57200000,-25905000,100226000,-57652000,-76720000,-117434000,117738000,-337464000,-263981000,-179147000,-157443000,167923000,-360469000,-366397000,-251116000,-348108000,-307032000,-145925000,-319530000,-388022000,-477368000,-743908000,-590549000
96,Effect of Forex Changes on Cash,-4700000,400000,-700000,-50000,-621000,-1585000,2688000,1851000,-2233000,3527000,7105000,934000,4376000,3359000,-96000,2054000,159000,-2971000,-5461000,-5910000,10562000,-8616000,2676000,6038000,142000
97,Net Change In Cash,7900000,-38800000,-4000000,4546000,5996000,3706000,13689000,22060000,257402000,-173309000,-70047000,-3149000,6958000,362546000,-211976000,-133899000,10172000,-26611000,13624000,59787000,-9987000,29423000,29675000,-113531000,4310000
98,Cash at the End of Period,- -,- -,17200000,21725000,27721000,31427000,45116000,67176000,324578000,151269000,81222000,78073000,85031000,447577000,235601000,101702000,111874000,85263000,98887000,158674000,148687000,178110000,207785000,94254000,98564000
99,Cash at the Beginning of Period,60700000,23600000,21200000,17179000,21725000,27721000,31427000,45116000,67176000,324578000,151269000,81222000,78073000,85031000,447577000,235601000,101702000,111874000,85263000,98887000,158674000,148687000,178110000,207785000,94254000
100,Free Cash Flow,-47200000,14500000,43600000,55410000,68344000,82253000,90079000,138111000,144561000,157237000,180672000,162756000,172564000,194336000,182380000,232116000,263579000,329524000,344362000,319121000,388899000,422279000,506109000,632205000,801245000
