,https://roic.ai/company/NVRO,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1444380/000119312515097120/0001193125-15-097120-index.htm,https://www.sec.gov/Archives/edgar/data/1444380/000119312516485541/0001193125-16-485541-index.htm,https://www.sec.gov/Archives/edgar/data/1444380/000156459017002237/0001564590-17-002237-index.htm,https://www.sec.gov/Archives/edgar/data/1444380/000156459018002905/0001564590-18-002905-index.htm,https://www.sec.gov/Archives/edgar/data/1444380/000156459019003708/0001564590-19-003708-index.htm,https://www.sec.gov/Archives/edgar/data/1444380/000156459020006427/0001564590-20-006427-index.htm,https://www.sec.gov/Archives/edgar/data/1444380/000156459021008153/0001564590-21-008153-index.htm,https://www.sec.gov/Archives/edgar/data/1444380/000156459022006312/0001564590-22-006312-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,5618000,12409000,25287000,87036000,41406000,42845000,51266000,65373000,44597000,34710000
32,Short-Term Investments,24997000,44123000,151521000,106634000,234951000,226467000,213281000,172429000,543373000,327317000
33,Cash and Short-Term Investments,30615000,56532000,176808000,193670000,276357000,269312000,264547000,237802000,587970000,362027000
34,Net Receivables,5857000,6605000,6610000,22522000,52818000,67287000,80656000,82833000,77667000,70475000
35,Inventory,9589000,10123000,14856000,62430000,85221000,98119000,92035000,91579000,83296000,93517000
36,Other Current Assets,2760000,1514000,2851000,4009000,5895000,6463000,6621000,9838000,4173000,5185000
37,Total Current Assets,48821000,74774000,201125000,282631000,420291000,441181000,443859000,422052000,753106000,531204000
38,PP&E,108000,117000,647000,5794000,7132000,8819000,12801000,33299000,31673000,38241000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,182000,520000,724000,2758000,3160000,4056000,6456000,14294000,4649000,5099000
45,Total Non-Current Assets,290000,637000,1371000,8552000,10292000,12875000,19257000,47593000,36322000,43340000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,49111000,75411000,202496000,291183000,430583000,454056000,463116000,469645000,789428000,574544000
48,Accounts Payable,1950000,3177000,4460000,21887000,16162000,18492000,23505000,16048000,23109000,31999000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,168776000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,2353000,1191000,1074000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,3299000,4727000,6338000,14502000,26036000,39512000,38909000,54563000,47280000,50204000
53,Total Current Liabilities,5249000,7904000,10798000,36389000,42198000,58004000,62414000,70611000,239165000,82203000
54,Long-Term Debt,- -,- -,19511000,19740000,138140000,145019000,152394000,180745000,158460000,166712000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,248000,62000,117000,462000,1211000,1861000,2825000,1937000,3343000,22013000
58,Total Non-Current Liabilities,248000,62000,19628000,20202000,139351000,146880000,155219000,182682000,161803000,188725000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,20445000,16689000,15402000
61,Total Liabilities,5497000,7966000,30426000,56591000,181549000,204884000,217633000,253293000,400968000,270928000
62,Preferred Stock,105408000,153235000,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1000,1000,25000,28000,29000,30000,30000,32000,35000,35000
64,Retained Earnings,-64983000,-91150000,-121977000,-189408000,-221186000,-257844000,-306082000,-409768000,-492833000,-624193000
65,Other Comprehensive Income/Loss,-286000,-239000,-335000,-702000,-1000000,-1000000,-1000000,-313000,598000,-364000
66,Other Total Stockholders Equity,3474000,5598000,294357000,424674000,471191000,507986000,552535000,626401000,880660000,928138000
67,Total Stockholders Equity,43614000,67445000,172070000,234592000,249034000,249172000,245483000,216352000,388460000,303616000
68,Total Liabilities And Stockholders Equity,49111000,75411000,202496000,291183000,430583000,454056000,463116000,469645000,789428000,574544000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,49111000,75411000,202496000,291183000,430583000,454056000,463116000,469645000,789428000,574544000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1444380/000119312515097120/0001193125-15-097120-index.htm,https://www.sec.gov/Archives/edgar/data/1444380/000119312516485541/0001193125-16-485541-index.htm,https://www.sec.gov/Archives/edgar/data/1444380/000156459017002237/0001564590-17-002237-index.htm,https://www.sec.gov/Archives/edgar/data/1444380/000156459018002905/0001564590-18-002905-index.htm,https://www.sec.gov/Archives/edgar/data/1444380/000156459019003708/0001564590-19-003708-index.htm,https://www.sec.gov/Archives/edgar/data/1444380/000156459020006427/0001564590-20-006427-index.htm,https://www.sec.gov/Archives/edgar/data/1444380/000156459021008153/0001564590-21-008153-index.htm,https://www.sec.gov/Archives/edgar/data/1444380/000156459022006312/0001564590-22-006312-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-18967000,-26014000,-30680000,-67431000,-31778000,-36658000,-49205000,-103686000,-83065000,-131360000
74,Depreciation and Amortization,39000,47000,96000,614000,1717000,2507000,3887000,7800000,8186000,8678000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,1125000,1577000,1998000,7325000,15760000,26143000,36637000,41697000,42655000,44367000
77,Change in Working Capital,-5382000,23298000,123457000,55915000,131851000,5084000,-1732000,-2890000,10790000,15849000
78,Accounts Receivable,-2427000,-748000,167000,-16233000,-32181000,-13899000,-12214000,-2153000,3369000,8205000
79,Inventory,-3597000,-1600000,-5487000,-49407000,-27031000,-16297000,3846000,-938000,2523000,-17225000
80,Accounts Payable,624000,1227000,1283000,17051000,-5586000,2162000,5170000,-7472000,7678000,9006000
81,Other Working Capital,43572000,66870000,190327000,246242000,378093000,383177000,381445000,-2310000,-549000,- -
82,Other Non-Cash Items,718000,-20003000,-126019000,-96853000,-176053000,-11349000,4705000,6854000,22625000,20585000
83,Cash Provided by Operating Activities,-22467000,-21095000,-31148000,-100430000,-58503000,-14273000,-5708000,-50225000,1191000,-41881000
84,CAPEX,-30000,-55000,-625000,-5008000,-3368000,-4327000,-8217000,-3472000,-6025000,-12340000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-7500000,7500000,- -
86,Purchases of Investments,-40350000,-70404000,-159265000,-190000000,-372309000,-287938000,-213723000,-211006000,-668371000,-446916000
87,Sales/Maturities of Investments,55706000,50760000,51835000,235272000,243890000,296334000,228373000,254308000,297028000,660971000
88,Other Investing Activites,-50000,-200000,- -,-606000,100000,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,15276000,-19899000,-108055000,39658000,-131687000,4069000,6433000,32330000,-369868000,201715000
90,Debt Repayment,- -,- -,- -,- -,-19500000,- -,- -,- -,- -,-172500000
91,Common Stock Issued,- -,111000,131617000,118439000,10307000,12190000,9496000,35150000,189281000,11181000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,1532000,47674000,20464000,4388000,154357000,-991000,-1742000,-3057000,157624000,-8062000
95,Cash Used/Provided by Financing Activities,1532000,47785000,152081000,122827000,145164000,11199000,7754000,32093000,346905000,-169381000
96,Effect of Forex Changes on Cash,- -,- -,- -,-306000,-604000,444000,-258000,259000,646000,-340000
97,Net Change In Cash,-5659000,6791000,12878000,61749000,-45630000,1439000,8221000,14457000,-21126000,-9887000
98,Cash at the End of Period,5618000,12409000,25287000,87036000,41406000,42845000,51872000,66329000,45203000,35316000
99,Cash at the Beginning of Period,11277000,5618000,12409000,25287000,87036000,41406000,43651000,51872000,66329000,45203000
100,Free Cash Flow,-22497000,-21150000,-31773000,-105438000,-61871000,-18600000,-13925000,-53697000,-4834000,-54221000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1444380/000119312515097120/0001193125-15-097120-index.htm,https://www.sec.gov/Archives/edgar/data/1444380/000119312516485541/0001193125-16-485541-index.htm,https://www.sec.gov/Archives/edgar/data/1444380/000156459017002237/0001564590-17-002237-index.htm,https://www.sec.gov/Archives/edgar/data/1444380/000156459018002905/0001564590-18-002905-index.htm,https://www.sec.gov/Archives/edgar/data/1444380/000156459019003708/0001564590-19-003708-index.htm,https://www.sec.gov/Archives/edgar/data/1444380/000156459020006427/0001564590-20-006427-index.htm,https://www.sec.gov/Archives/edgar/data/1444380/000156459021008153/0001564590-21-008153-index.htm,https://www.sec.gov/Archives/edgar/data/1444380/000156459022006312/0001564590-22-006312-index.htm
102,false,,,,,,,,,,
