,https://roic.ai/company/BMRN,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,14100000,34475000,45327000,52001000,81543000,87903000,166553000,89882000,108882000,178869000,256737000,308229000,375723000,475248000,610938000,704492000,911431000,1171395000,1321165000,1453346000,1664736000,1829505000,1952288000,1920608000
12,Interest Income ,- -,- -,2979000,- -,- -,2559000,- -,1861000,12866000,- -,16388000,5086000,4112000,2934000,2584000,3083000,5937000,4501000,7487000,14853000,22831000,22748000,16610000,10482000
13,Interest Expense (Gain),- -,- -,7000,- -,- -,3131000,- -,11918000,16726000,- -,16394000,14090000,10329000,8349000,7639000,10447000,33310000,34950000,36132000,38982000,40054000,21429000,29309000,14744000
14,Depreciation and Amortization,800000,6558000,7333000,7004000,8504000,9442000,13279000,10075000,11958000,1090000,17631000,20975000,27737000,36094000,45295000,47264000,56744000,47187000,96912000,87861000,95671000,105300000,105172000,108039000
15,EBITDA,-11500000,-21514000,-30024000,-60602000,-68957000,-63225000,-174164000,-52277000,151000,-13984000,67449000,35631000,16576000,816000,-65344000,-118792000,-34814000,-72587000,-698006000,90968000,-6980000,31918000,92159000,47433000
16,EBITDA ratio,-9.5833,-3.0840,-2.4358,-5.1801,-4.9542,-5.2252,-9.3431,-2.0366,0.0018,-0.1150,0.2275,0.1098,0.0441,0.0018,-0.1305,-0.2166,-0.0464,-0.0816,-0.6250,0.0692,-0.0047,0.0187,0.0495,0.0257
17,Operating Income,-12900000,-27499000,-33001000,-51949000,-78847000,-75803000,-179365000,-64213000,-24673000,-57288000,39756000,16427000,544000,-33890000,-110215000,-156007000,-92891000,-110702000,-803429000,-14700000,-123524000,-100457000,-36765000,-82341000
18,Operating Income ratio,-10.7500,-3.9419,-2.6773,-4.4405,-5.6647,-6.2647,-9.6221,-2.5016,-0.2930,-0.4712,0.1341,0.0506,0.0014,-0.0768,-0.2201,-0.2844,-0.1237,-0.1244,-0.7194,-0.0112,-0.0828,-0.0590,-0.0198,-0.0446
19,Total Other Income Expenses (Gains),600000,-1673000,-7335000,-18980000,-20770000,-18693000,-102676000,11838000,19274000,42214000,-6332000,-15861000,-22034000,-9737000,-8063000,-20496000,-31977000,-44022000,-27621000,-21175000,-19181000,5646000,-5557000,6991000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15074000,33424000,566000,-21490000,-43627000,-118278000,-176503000,-124868000,-154724000,-831050000,-35875000,-142705000,-94811000,-42322000,-75350000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.1240,0.1127,0.0017,-0.0571,-0.0988,-0.2362,-0.3218,-0.1663,-0.1739,-0.7441,-0.0273,-0.0957,-0.0556,-0.0227,-0.0408
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,729000,2593000,1054000,-227309000,10209000,-3931000,-150000,9101000,17075000,-200840000,81167000,-65494000,-70963000,-901422000,-11270000
23,Net Income,-12300000,-28072000,-37364000,-67606000,-77461000,-75798000,-187443000,-74270000,-28533000,-15803000,30831000,-488000,205819000,-53836000,-114347000,-176353000,-133969000,-171799000,-630210000,-117042000,-77211000,-23848000,859100000,-64080000
24,Net Income ratio,-10.2500,-4.0241,-3.0313,-5.7788,-5.5651,-6.2643,-10.0554,-2.8934,-0.3388,-0.1300,0.1040,-0.0015,0.5470,-0.1220,-0.2284,-0.3215,-0.1784,-0.1931,-0.5643,-0.0891,-0.0518,-0.0140,0.4618,-0.0347
25,EPS,-0.55,-0.94,-1.04,-1.65,-1.45,-1.22,-2.91,-1.08,-0.34,-0.16,0.31,-0.00,1.99,-0.48,-0.95,-1.28,-0.92,-1.07,-3.80,-0.67,-0.44,-0.13,4.75,-0.35
26,EPS Diluted,-0.55,-0.94,-1.04,-1.65,-1.45,-1.22,-2.91,-1.08,-0.34,-0.16,0.29,-0.00,1.73,-0.48,-0.95,-1.28,-0.92,-1.07,-3.81,-0.67,-0.44,-0.13,4.53,-0.33
27,Weighted Average Shares Outstanding,22363636,29944000,35859000,41083000,53279000,62125000,64354000,68830000,84582000,95878000,98975000,100271000,103093000,112122000,120271000,137755000,146349000,160025000,165985000,174427000,177061000,179039000,180804000,180804000
28,Weighted Average Shares Outstanding Diluted,22363636,29944000,35859000,41083000,53279000,62125000,64354000,68830000,84582000,95878000,103572000,100271000,125674000,112122000,120271000,137755000,146349000,160025000,166219000,174427000,177268000,179039000,191678000,191678000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1048477/000119312504031255/0001193125-04-031255-index.html,https://www.sec.gov/Archives/edgar/data/1048477/000119312505052825/0001193125-05-052825-index.html,https://www.sec.gov/Archives/edgar/data/1048477/000119312506047263/0001193125-06-047263-index.htm,https://www.sec.gov/Archives/edgar/data/1048477/000119312507041361/0001193125-07-041361-index.htm,https://www.sec.gov/Archives/edgar/data/1048477/000119312508040467/0001193125-08-040467-index.htm,https://www.sec.gov/Archives/edgar/data/1048477/000119312509040972/0001193125-09-040972-index.html,https://www.sec.gov/Archives/edgar/data/1048477/000119312510041516/0001193125-10-041516-index.html,https://www.sec.gov/Archives/edgar/data/1048477/000119312511045527/0001193125-11-045527-index.htm,https://www.sec.gov/Archives/edgar/data/1048477/000119312512072924/0001193125-12-072924-index.html,https://www.sec.gov/Archives/edgar/data/1048477/000119312513077031/0001193125-13-077031-index.html,https://www.sec.gov/Archives/edgar/data/1048477/000119312514070025/0001193125-14-070025-index.htm,https://www.sec.gov/Archives/edgar/data/1048477/000156459015001140/bmrn-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1048477/000156459016013653/0001564590-16-013653-index.html,https://www.sec.gov/Archives/edgar/data/1048477/000156459017002483/0001564590-17-002483-index.html,https://www.sec.gov/Archives/edgar/data/1048477/000156459018003114/0001564590-18-003114-index.html,https://www.sec.gov/Archives/edgar/data/1048477/000156459019005033/0001564590-19-005033-index.html,https://www.sec.gov/Archives/edgar/data/1048477/000104847720000009/0001048477-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/1048477/000104847721000008/0001048477-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1048477/000104847722000012/0001048477-22-000012-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,9400000,23413000,16530000,12528000,33638000,121406000,13081000,38092000,89162000,228343000,222900000,167171000,88079000,46272000,180527000,568781000,875486000,397040000,408330000,598028000,493982000,437446000,649158000,587276000
32,Short-Term Investments,- -,39573000,23671000,118569000,40340000,84951000,35734000,9700000,199685000,357251000,336892000,133506000,186033000,148820000,270211000,215942000,69706000,195579000,381347000,797940000,590326000,316361000,416228000,426599000
33,Cash and Short-Term Investments,9400000,62986000,40201000,131097000,73978000,206357000,48815000,47792000,288847000,585594000,559792000,300677000,274112000,195092000,450738000,784723000,945192000,592619000,789677000,1395968000,1084308000,753807000,1065386000,1013875000
34,Net Receivables,700000,2466000,2934000,3096000,- -,- -,4047000,5860000,14670000,16976000,54298000,73540000,93884000,110932000,109066000,117822000,201151000,179109000,215280000,261365000,342633000,377404000,448351000,373399000
35,Inventory,100000,676000,436000,- -,- -,- -,2316000,10898000,25075000,32445000,73162000,78662000,109698000,130118000,128695000,162605000,199452000,271683000,355126000,475775000,530871000,680275000,698548000,776669000
36,Other Current Assets,2600000,294000,970000,2590000,7094000,18912000,30099000,4391000,5632000,9282000,50444000,14848000,26566000,33660000,54963000,72268000,79834000,46228000,61708000,74036000,98403000,130657000,129934000,110442000
37,Total Current Assets,12800000,66422000,44541000,136783000,81072000,225269000,85277000,68941000,334224000,644297000,737696000,467727000,504260000,469802000,743462000,1137418000,1425629000,1089639000,1421791000,2207144000,2056215000,1942143000,2342219000,2274385000
38,PP&E,6200000,25093000,20715000,32560000,28206000,25154000,42501000,37321000,55466000,76818000,124979000,199141000,221866000,268971000,284473000,319316000,523516000,704207000,798768000,896700000,948682000,1010868000,1032471000,1035461000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,21262000,21262000,21262000,23722000,53364000,51543000,51543000,54258000,54258000,197039000,197039000,197039000,197039000,197039000,196199000,196199000
40,Intangible Assets,11700000,11462000,9862000,- -,- -,- -,61504000,36558000,11655000,9596000,7626000,40977000,103648000,180277000,162980000,163147000,156578000,683996000,553780000,517510000,491808000,456580000,417271000,388652000
41,Intangible Assets,11700000,11462000,9862000,- -,- -,- -,61504000,36558000,32917000,30858000,28888000,64699000,157012000,231820000,214523000,217405000,210836000,881035000,750819000,714549000,688847000,653619000,613470000,584851000
42,Investments,- -,- -,- -,- -,- -,- -,- -,32000000,31000000,45000000,2548000,170290000,129253000,94944000,117073000,281516000,129706000,443708000,576775000,385785000,235864000,411978000,285473000,507793000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,236017000,222649000,225501000,150391000,166296000,220191000,446786000,399095000,460952000,549422000,1432150000,1449075000
44,Other Non-Current Assets,800000,572000,1815000,2468000,1338000,5917000,43684000,20483000,9829000,18306000,12584000,15306000,14215000,15495000,16611000,143171000,34470000,390588000,28751000,29852000,36568000,122009000,142237000,151760000
45,Total Non-Current Assets,18700000,37127000,32392000,35028000,29544000,31071000,147689000,126362000,129212000,170982000,168999000,449436000,758363000,833879000,858181000,1111799000,1064824000,2639729000,2601899000,2425981000,2370913000,2747896000,3505801000,3728940000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,31500000,103549000,76933000,171811000,110616000,256340000,232966000,195303000,463436000,815279000,906695000,917163000,1262623000,1303681000,1601643000,2249217000,2490453000,3729368000,4023690000,4633125000,4427128000,4690039000,5848020000,6003325000
48,Accounts Payable,1400000,3095000,4747000,4284000,3930000,10098000,946000,484000,2285000,1169000,- -,- -,4956000,12239000,67149000,95302000,131269000,179294000,191353000,166616000,207620000,240981000,191429000,193003000
49,Short-Term Debt,- -,26000,27000,1591000,- -,- -,42805000,11337000,6787000,6309000,70741000,- -,- -,- -,23365000,- -,- -,- -,22478000,360949000,- -,372582000,11754000,10464000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3479000,3878000,2072000,3603000,5479000,65949000,7848000,15268000,7785000,8395000,19223000,3148000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,8096000,7092000,5327000,307000,86000,212000,- -,- -,- -,- -,- -,- -,- -,- -,13037000,152000,6956000
52,Other Current Liabilities,600000,1966000,2109000,2427000,2917000,2717000,26303000,20450000,29881000,48738000,59033000,78068000,78676000,81886000,79919000,87969000,104470000,266163000,225479000,288953000,315621000,305903000,289213000,329399000
53,Total Current Liabilities,2000000,5087000,6883000,8302000,6847000,12815000,70054000,40367000,46045000,61543000,130081000,78154000,83844000,94125000,170433000,183271000,235739000,445457000,439310000,816518000,523241000,932503000,492548000,539822000
54,Long-Term Debt,100000,85000,56000,3961000,- -,125000000,228038000,212922000,223940000,497375000,497083000,497083000,377521000,348329000,324859000,655566000,657976000,662286000,660761000,813521000,830417000,486238000,1075145000,1079077000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,957000,950000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36517000,35127000,33296000,- -,- -,143527000,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,5226000,672000,2852000,19476000,75649000,68635000,2856000,19741000,46527000,52102000,57292000,69339000,68844000,77251000,157344000,194423000,105530000,148917000,174325000,113686000
58,Total Non-Current Liabilities,100000,85000,56000,3961000,5226000,125672000,230890000,232398000,299589000,566010000,499939000,516824000,461522000,436508000,415447000,724905000,726820000,883064000,818105000,1007944000,935947000,635155000,1249470000,1192763000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,70741000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10700000,11754000,10464000
61,Total Liabilities,2100000,5172000,6939000,12263000,12073000,138487000,300944000,272765000,345634000,627553000,630020000,594978000,545366000,530633000,585880000,908176000,962559000,1328521000,1257415000,1824462000,1459188000,1567658000,1742018000,1732585000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,35000,37000,52000,54000,64000,65000,75000,92000,97000,100000,101000,111000,115000,126000,144000,149000,162000,173000,176000,178000,180000,182000,184000
64,Retained Earnings,-15100000,-43149000,-80513000,-148119000,-225580000,-301378000,-488821000,-563091000,-591624000,-607427000,-576596000,-577084000,-371265000,-425101000,-539448000,-715801000,-849770000,-1021569000,-1520506000,-1637548000,-1694134000,-1720709000,-861609000,-925689000
65,Other Comprehensive Income/Loss,-300000,-4372000,-8075000,-14248000,5031000,5057000,-363000,-16000,-25000,139000,1106000,933000,188000,4887000,-202000,5018000,27466000,21033000,12816000,-22961000,5271000,20164000,-16139000,14432000
66,Other Total Stockholders Equity,44800000,145863000,158545000,321863000,319038000,414110000,421141000,485570000,709359000,794917000,852065000,898235000,1088223000,1193147000,1555287000,2051680000,2350049000,3401221000,4273792000,4468996000,4656625000,4822746000,4983568000,- -
67,Total Stockholders Equity,29400000,98377000,69994000,159548000,98543000,117853000,-67978000,-77462000,117802000,187726000,276675000,322185000,717257000,773048000,1015763000,1341041000,1527894000,2400847000,2766275000,2808663000,2967940000,3122381000,4106002000,4270740000
68,Total Liabilities And Stockholders Equity,31500000,103549000,76933000,171811000,110616000,256340000,232966000,195303000,463436000,815279000,906695000,917163000,1262623000,1303681000,1601643000,2249217000,2490453000,3729368000,4023690000,4633125000,4427128000,4690039000,5848020000,6003325000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,31500000,103549000,76933000,171811000,110616000,256340000,232966000,195303000,463436000,815279000,906695000,917163000,1262623000,1303681000,1601643000,2249217000,2490453000,3729368000,4023690000,4633125000,4427128000,4690039000,5848020000,6003325000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1048477/000119312504031255/0001193125-04-031255-index.html,https://www.sec.gov/Archives/edgar/data/1048477/000119312505052825/0001193125-05-052825-index.html,https://www.sec.gov/Archives/edgar/data/1048477/000119312506047263/0001193125-06-047263-index.htm,https://www.sec.gov/Archives/edgar/data/1048477/000119312507041361/0001193125-07-041361-index.htm,https://www.sec.gov/Archives/edgar/data/1048477/000119312508040467/0001193125-08-040467-index.htm,https://www.sec.gov/Archives/edgar/data/1048477/000119312509040972/0001193125-09-040972-index.html,https://www.sec.gov/Archives/edgar/data/1048477/000119312510041516/0001193125-10-041516-index.html,https://www.sec.gov/Archives/edgar/data/1048477/000119312511045527/0001193125-11-045527-index.htm,https://www.sec.gov/Archives/edgar/data/1048477/000119312512072924/0001193125-12-072924-index.html,https://www.sec.gov/Archives/edgar/data/1048477/000119312513077031/0001193125-13-077031-index.html,https://www.sec.gov/Archives/edgar/data/1048477/000119312514070025/0001193125-14-070025-index.htm,https://www.sec.gov/Archives/edgar/data/1048477/000156459015001140/bmrn-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1048477/000156459016013653/0001564590-16-013653-index.html,https://www.sec.gov/Archives/edgar/data/1048477/000156459017002483/0001564590-17-002483-index.html,https://www.sec.gov/Archives/edgar/data/1048477/000156459018003114/0001564590-18-003114-index.html,https://www.sec.gov/Archives/edgar/data/1048477/000156459019005033/0001564590-19-005033-index.html,https://www.sec.gov/Archives/edgar/data/1048477/000104847720000009/0001048477-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/1048477/000104847721000008/0001048477-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1048477/000104847722000012/0001048477-22-000012-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-12300000,-28072000,-37364000,-67606000,-77461000,-75798000,-187443000,-74270000,-28533000,-15803000,30831000,-488000,205819000,-53836000,-114347000,-176353000,-133969000,-171799000,-630210000,-117042000,-77211000,-23848000,859100000,-64080000
74,Depreciation and Amortization,800000,6558000,7333000,7004000,8504000,9442000,13279000,10075000,11958000,1090000,17631000,20975000,27737000,36094000,45295000,47264000,56744000,47187000,96912000,87861000,95671000,105300000,105172000,108039000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-230577000,4363000,-9921000,-9156000,-25483000,-76827000,-228054000,44464000,-68378000,-82760000,-888907000,-15608000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28336000,36005000,38362000,43909000,47340000,66181000,88233000,111525000,134641000,140263000,148819000,159865000,189711000,197263000
77,Change in Working Capital,800000,50535000,-23677000,90823000,-54256000,138229000,-197231000,13351000,259605000,294575000,24861000,-218042000,30843000,-44739000,197352000,381118000,235743000,-545708000,338299000,408145000,142348000,-523334000,840031000,66034000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-37322000,-19242000,-13036000,-18456000,-4227000,-8756000,-26650000,-16367000,-51483000,-25256000,-54274000,-37852000,-59035000,65574000
79,Inventory,-100000,-5000,240000,- -,- -,- -,- -,-8582000,-14177000,-7371000,-13938000,-5500000,-31036000,-20420000,1423000,-33910000,-36847000,-50989000,-64512000,-96890000,-23747000,-107554000,-61151000,-35060000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,10800000,61335000,37658000,128481000,74225000,212454000,15223000,28574000,288179000,582754000,607615000,389573000,420416000,375677000,573029000,954147000,1189890000,644182000,982481000,1390626000,1532974000,1009640000,1849671000,- -
82,Other Non-Cash Items,2600000,-41961000,40812000,-53286000,69618000,-146671000,306254000,-11836000,-293120000,-314357000,-110834000,249282000,-53438000,32962000,-148110000,-368688000,-294807000,413933000,60575000,-572448000,-221041000,413039000,-1019742000,12888000
83,Cash Provided by Operating Activities,-8100000,-12940000,-12896000,-23065000,-53595000,-74798000,-65141000,-62680000,-50090000,-34495000,-9175000,87732000,18746000,18753000,17609000,-59634000,-73539000,-221689000,-227837000,-8757000,20208000,48262000,85365000,304536000
84,CAPEX,-6400000,-22944000,-3760000,-17812000,-4861000,-5975000,-24075000,-2957000,-24583000,-22413000,-56368000,-89801000,-49461000,-154219000,-44571000,-65124000,-118834000,-227653000,-148380000,-199219000,-144620000,-163406000,-137519000,-119225000
85,Acquisitions Net,- -,-1500000,- -,- -,-3124000,- -,-14788000,- -,- -,- -,- -,-8370000,-32950000,- -,-1743000,-10760000,-1100000,-910148000,-2789000,- -,- -,- -,- -,- -
86,Purchases of Investments,-1100000,-37597000,-13696000,-94898000,- -,-125076000,-37435000,- -,-219891000,-838864000,-740570000,-439299000,-225292000,-217332000,-387168000,-395042000,-559324000,-876510000,-699749000,-655447000,-634753000,-632023000,-538372000,-937143000
87,Sales/Maturities of Investments,- -,- -,15902000,- -,78623000,80072000,86306000,26380000,29906000,693814000,777861000,475312000,206361000,281991000,237837000,288643000,808313000,424713000,367569000,425960000,993734000,740211000,555834000,691049000
88,Other Investing Activites,-700000,-6709000,- -,-21204000,272000,28000,-25298000,34180000,19800000,16467000,- -,-17517000,- -,-81000000,- -,-116500000,65500000,410000000,-698000,123247000,49990000,5812000,43229000,-24641000
89,Cash Used for Investing Activites,-8200000,-68750000,-1554000,-133914000,70910000,-50951000,-15290000,57603000,-194768000,-150996000,-19077000,-79675000,-101342000,-89560000,-195645000,-298783000,194555000,-1179598000,-484047000,-305459000,264351000,-31026000,-53621000,-366313000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6594000,-73785000,-30140000,-5007000,-678000,-13572000,-674000,-163000,- -,- -,-374953000,-5087000,-381909000,-3039000
91,Common Stock Issued,19700000,70099000,6791000,134563000,1885000,94587000,1813000,7782000,140518000,15220000,- -,- -,- -,- -,235499000,- -,117464000,888257000,712938000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-50000000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,25591000,776000,18427000,1964000,118881000,-29707000,22305000,155419000,309350000,29403000,9999000,33644000,34007000,77470000,760243000,68899000,39819000,14170000,507145000,-13054000,-69587000,613027000,2991000
95,Cash Used/Provided by Financing Activities,19700000,95690000,7567000,152990000,3849000,213468000,-27894000,30087000,295937000,324570000,22809000,-63786000,3504000,29000000,312291000,746671000,185689000,927913000,727108000,507145000,-388007000,-74674000,181118000,-48000
96,Effect of Forex Changes on Cash,- -,- -,- -,-13000,-54000,49000,- -,1000,-9000,102000,- -,- -,- -,- -,- -,- -,- -,-5072000,-3934000,-3231000,-598000,902000,-1150000,-57000
97,Net Change In Cash,- -,14000000,-6883000,-4002000,21110000,87768000,-108325000,25011000,51070000,139181000,-5443000,-55729000,-79092000,-41807000,134255000,388254000,306705000,-478446000,11290000,189698000,-104046000,-56536000,211712000,-61882000
98,Cash at the End of Period,- -,23413000,16530000,12528000,33638000,121406000,13081000,38092000,89162000,228343000,222900000,167171000,88079000,46272000,180527000,568781000,875486000,397040000,408330000,598028000,493982000,437446000,649158000,587276000
99,Cash at the Beginning of Period,6000000,9413000,23413000,16530000,12528000,33638000,121406000,13081000,38092000,89162000,228343000,222900000,167171000,88079000,46272000,180527000,568781000,875486000,397040000,408330000,598028000,493982000,437446000,649158000
100,Free Cash Flow,-14500000,-35884000,-16656000,-40877000,-58456000,-80773000,-89216000,-65637000,-74673000,-56908000,-65543000,-2069000,-30715000,-135466000,-26962000,-124758000,-192373000,-449342000,-376217000,-207976000,-124412000,-115144000,-52154000,185311000
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1048477/000119312504031255/0001193125-04-031255-index.html,https://www.sec.gov/Archives/edgar/data/1048477/000119312505052825/0001193125-05-052825-index.html,https://www.sec.gov/Archives/edgar/data/1048477/000119312506047263/0001193125-06-047263-index.htm,https://www.sec.gov/Archives/edgar/data/1048477/000119312507041361/0001193125-07-041361-index.htm,https://www.sec.gov/Archives/edgar/data/1048477/000119312508040467/0001193125-08-040467-index.htm,https://www.sec.gov/Archives/edgar/data/1048477/000119312509040972/0001193125-09-040972-index.html,https://www.sec.gov/Archives/edgar/data/1048477/000119312510041516/0001193125-10-041516-index.html,https://www.sec.gov/Archives/edgar/data/1048477/000119312511045527/0001193125-11-045527-index.htm,https://www.sec.gov/Archives/edgar/data/1048477/000119312512072924/0001193125-12-072924-index.html,https://www.sec.gov/Archives/edgar/data/1048477/000119312513077031/0001193125-13-077031-index.html,https://www.sec.gov/Archives/edgar/data/1048477/000119312514070025/0001193125-14-070025-index.htm,https://www.sec.gov/Archives/edgar/data/1048477/000156459015001140/bmrn-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1048477/000156459016013653/0001564590-16-013653-index.html,https://www.sec.gov/Archives/edgar/data/1048477/000156459017002483/0001564590-17-002483-index.html,https://www.sec.gov/Archives/edgar/data/1048477/000156459018003114/0001564590-18-003114-index.html,https://www.sec.gov/Archives/edgar/data/1048477/000156459019005033/0001564590-19-005033-index.html,https://www.sec.gov/Archives/edgar/data/1048477/000104847720000009/0001048477-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/1048477/000104847721000008/0001048477-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1048477/000104847722000012/0001048477-22-000012-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
