,https://roic.ai/company/FAST,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
25,EPS,0.00,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.04,0.05,0.07,0.09,0.11,0.13,0.12,0.13,0.14,0.22,0.28,0.33,0.39,0.47,0.31,0.45,0.60,0.71,0.76,0.83,0.89,0.86,1.00,1.31,1.38,1.50,1.61
26,EPS Diluted,0.00,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.04,0.05,0.07,0.09,0.11,0.13,0.12,0.13,0.14,0.21,0.28,0.33,0.39,0.47,0.31,0.45,0.60,0.71,0.76,0.83,0.89,0.86,1.00,1.31,1.38,1.49,1.60
27,Weighted Average Shares Outstanding,453333333,568888889,573333333,592941176,586666667,586666667,595000000,607019008,607019008,607019008,607019008,607019008,607019008,607024000,607024000,607016000,607016000,607016000,605080000,604136000,602220000,595324000,595324000,589724000,590108000,592178000,593508000,592980000,582906000,577900000,576400000,574000000,573200000,573800000,575000000
28,Weighted Average Shares Outstanding Diluted,453333333,568888889,573333333,592941176,586666667,586666667,595000000,607019008,609811321,607019008,607019008,607019008,607019008,607024000,607024000,607016000,607136000,607888000,606032000,604660000,602220000,595324000,595324000,589724000,591738000,594302000,595368000,594626000,584090000,578316000,576600000,574400000,574400000,575700000,577300000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/815556/0000950131-96-001114-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/815556/000119312504029342/0001193125-04-029342-index.htm,https://www.sec.gov/Archives/edgar/data/815556/000119312505039692/0001193125-05-039692-index.htm,https://www.sec.gov/Archives/edgar/data/815556/000119312506037687/0001193125-06-037687-index.htm,https://www.sec.gov/Archives/edgar/data/815556/000119312507038320/0001193125-07-038320-index.htm,https://www.sec.gov/Archives/edgar/data/815556/000119312508035349/0001193125-08-035349-index.htm,- -,https://www.sec.gov/Archives/edgar/data/815556/000119312510025958/0001193125-10-025958-index.htm,https://www.sec.gov/Archives/edgar/data/815556/000119312511029081/0001193125-11-029081-index.htm,https://www.sec.gov/Archives/edgar/data/815556/000119312512048575/0001193125-12-048575-index.htm,https://www.sec.gov/Archives/edgar/data/815556/000081555613000013/0000815556-13-000013-index.htm,https://www.sec.gov/Archives/edgar/data/815556/000081555614000016/0000815556-14-000016-index.htm,https://www.sec.gov/Archives/edgar/data/815556/000081555615000014/0000815556-15-000014-index.htm,https://www.sec.gov/Archives/edgar/data/815556/000081555616000087/0000815556-16-000087-index.htm,https://www.sec.gov/Archives/edgar/data/815556/000081555617000009/0000815556-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/815556/000081555618000010/0000815556-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/815556/000081555619000015/0000815556-19-000015-index.htm,https://www.sec.gov/Archives/edgar/data/815556/000081555620000011/0000815556-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/815556/000081555621000008/0000815556-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/815556/000081555622000009/0000815556-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,6600000,400000,400000,2100000,27800000,32707000,47264000,14296000,49750000,33503000,56204000,19346000,57220000,85892000,164852000,143693000,117676000,79611000,58506000,114496000,129019000,112735000,116900000,167200000,174900000,245700000,236200000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21258000,37062000,21142000,5496000,669000,10835000,159000,851000,24400000,26067000,27165000,354000,451000,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,6600000,400000,400000,2100000,27800000,32707000,68522000,51358000,70892000,38999000,56873000,30181000,57379000,86743000,189252000,169760000,144841000,79965000,58957000,114496000,129019000,112735000,116900000,167200000,174900000,245700000,236200000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,31900000,41600000,57500000,68500000,84600000,106120000,101356000,105553000,128756000,162500000,183556000,209532000,236331000,244940000,214169000,270133000,338594000,372159000,414331000,462077000,468375000,499716000,607800000,714300000,741800000,769400000,900200000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,40200000,56500000,79400000,93700000,106600000,143068000,152706000,217262000,232884000,307333000,361561000,455997000,504592000,564247000,508405000,557369000,646152000,715383000,784068000,869224000,913263000,992989000,1092900000,1278700000,1366400000,1337500000,1523600000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,2400000,5000000,6900000,9000000,8400000,11529000,18657000,22313000,21664000,29234000,47018000,72066000,82469000,79473000,70538000,88436000,106551000,119149000,151105000,137468000,154119000,115330000,118100000,156000000,174100000,147000000,196600000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,81100000,103500000,144200000,173300000,227400000,293424000,341241000,396486000,454196000,538066000,649008000,767776000,880771000,975403000,982364000,1085698000,1236138000,1286656000,1408461000,1583265000,1664776000,1720770000,1935700000,2316200000,2457200000,2499600000,2856600000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,27100000,43900000,57100000,74200000,87600000,105807000,121607000,144252000,169553000,193446000,224448000,264030000,276627000,324182000,335004000,363419000,435601000,516427000,654850000,763889000,818889000,899697000,893000000,924000000,1023000,1273700000,1261500000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13000000,4000000,2000000,846000,6238000,5152000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,1100000,4100000,3800000,3700000,3600000,3233000,12396000,18270000,27794000,38722000,3579000,3210000,3663000,3718000,3752000,14014000,13209000,12749000,12473000,11948000,48797000,48417000,81800000,81300000,1341677000,191400000,180900000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,28200000,48000000,60900000,77900000,91200000,109040000,134003000,162522000,197347000,232168000,241027000,271240000,282290000,328746000,344994000,382585000,448810000,529176000,667323000,775837000,867686000,948114000,974800000,1005300000,1342700000,1465100000,1442400000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,109300000,151500000,205100000,251200000,318600000,402464000,475244000,559008000,651543000,770234000,890035000,1039016000,1163061000,1304149000,1327358000,1468283000,1684948000,1815832000,2075784000,2359102000,2532462000,2668884000,2910500000,3321500000,3799900000,3964700000,4299000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,7900000,10000000,13000000,17400000,19300000,19898000,20100000,25783000,40124000,39276000,38572000,41371000,55353000,63949000,53490000,60474000,73779000,78019000,91253000,103909000,125973000,108740000,147500000,193600000,192800000,207000000,233100000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,8600000,16300000,4100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,90000000,62050000,10482000,3000000,3000000,100400000,133600000,150800000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,499000,- -,5299000,2077000,38562000,47784000,66158000,66563000,43443000,57600000,63600000,67400000,54300000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3125000,2875000,2767000,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,7100000,6400000,8300000,9300000,14400000,16681000,20461000,21281000,20817000,31907000,52966000,62525000,82438000,84044000,66019000,101711000,114039000,126155000,148579000,178319000,182268000,153655000,200500000,240800000,251500000,272100000,298300000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,15000000,25000000,37600000,30800000,33700000,36579000,40561000,47064000,60941000,71183000,91538000,103896000,137791000,147993000,119509000,162185000,187818000,204174000,239832000,375353000,373166000,275644000,351000000,437400000,544700000,612700000,682200000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,302950000,379518000,412000000,497000000,342000000,516500000,486000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,1600000,2800000,3000000,6627000,9795000,12073000,13862000,14682000,14948000,13027000,15109000,13897000,17006000,23586000,38154000,51298000,63255000,68532000,55057000,80628000,50600000,84400000,99400000,102300000,88600000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,148200000,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,100000,500000,1600000,2800000,2900000,6627000,9795000,12073000,13862000,14682000,14948000,13027000,15109000,13897000,17006000,23586000,38154000,51298000,63255000,68532000,358007000,460146000,462600000,581400000,589600000,618800000,574600000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,245600000,245100000,246800000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,15100000,25500000,39200000,33600000,36600000,43206000,50356000,59137000,74803000,85865000,106486000,116923000,152900000,161890000,136515000,185771000,225972000,255472000,303087000,443885000,731173000,735790000,813600000,1018800000,1134300000,1231500000,1256800000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000,379000,379000,759000,759000,759000,1511000,1512000,1491000,1485000,1474000,1474000,2953000,2966000,2968000,2959000,2896000,2892000,2900000,2900000,2900000,2900000,5800000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,89600000,121300000,161400000,213600000,277600000,355248000,421945000,493693000,561878000,662517000,776598000,902550000,996050000,1134244000,1175641000,1258183000,1424371000,1477601000,1688781000,1886350000,1842772000,1940143000,2110600000,2341600000,2633900000,2689600000,2970900000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,-15300000,-20700000,-28200000,-36800000,-43800000,-53022000,-64835000,-2053000,4658000,7400000,5440000,5334000,12393000,4971000,13395000,18492000,14796000,18357000,11101000,-7836000,-46403000,-47304000,-25100000,-44800000,-38400000,-21200000,-30700000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,19900000,25400000,32700000,40800000,47800000,56653000,67399000,7472000,9445000,13693000,- -,12697000,227000,1559000,333000,4363000,16856000,61436000,69847000,33744000,2024000,37363000,8500000,3000000,67200000,61900000,96200000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,94200000,126000000,165900000,217600000,282000000,359258000,424888000,499871000,576740000,684369000,783549000,922093000,1010161000,1142259000,1190843000,1282512000,1458976000,1560360000,1772697000,1915217000,1801289000,1933094000,2096900000,2302700000,2665600000,2733200000,3042200000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,109300000,151500000,205100000,251200000,318600000,402464000,475244000,559008000,651543000,770234000,890035000,1039016000,1163061000,1304149000,1327358000,1468283000,1684948000,1815832000,2075784000,2359102000,2532462000,2668884000,2910500000,3321500000,3799900000,3964700000,4299000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,109300000,151500000,205100000,251200000,318600000,402464000,475244000,559008000,651543000,770234000,890035000,1039016000,1163061000,1304149000,1327358000,1468283000,1684948000,1815832000,2075784000,2359102000,2532462000,2668884000,2910500000,3321500000,3799900000,3964700000,4299000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/815556/0000950131-96-001114-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/815556/000119312504029342/0001193125-04-029342-index.htm,https://www.sec.gov/Archives/edgar/data/815556/000119312505039692/0001193125-05-039692-index.htm,https://www.sec.gov/Archives/edgar/data/815556/000119312506037687/0001193125-06-037687-index.htm,https://www.sec.gov/Archives/edgar/data/815556/000119312507038320/0001193125-07-038320-index.htm,https://www.sec.gov/Archives/edgar/data/815556/000119312508035349/0001193125-08-035349-index.htm,- -,https://www.sec.gov/Archives/edgar/data/815556/000119312510025958/0001193125-10-025958-index.htm,https://www.sec.gov/Archives/edgar/data/815556/000119312511029081/0001193125-11-029081-index.htm,https://www.sec.gov/Archives/edgar/data/815556/000119312512048575/0001193125-12-048575-index.htm,https://www.sec.gov/Archives/edgar/data/815556/000081555613000013/0000815556-13-000013-index.htm,https://www.sec.gov/Archives/edgar/data/815556/000081555614000016/0000815556-14-000016-index.htm,https://www.sec.gov/Archives/edgar/data/815556/000081555615000014/0000815556-15-000014-index.htm,https://www.sec.gov/Archives/edgar/data/815556/000081555616000087/0000815556-16-000087-index.htm,https://www.sec.gov/Archives/edgar/data/815556/000081555617000009/0000815556-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/815556/000081555618000010/0000815556-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/815556/000081555619000015/0000815556-19-000015-index.htm,https://www.sec.gov/Archives/edgar/data/815556/000081555620000011/0000815556-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/815556/000081555621000008/0000815556-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/815556/000081555622000009/0000815556-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,4300000,6300000,6600000,8800000,11900000,18700000,27400000,32500000,40800000,53000000,65500000,80730000,70112000,75542000,84120000,130989000,166814000,199038000,232622000,279705000,184357000,265356000,357929000,420536000,448636000,494150000,516361000,499478000,578600000,751900000,790900000,859100000,925000000
74,Depreciation and Amortization,- -,- -,600000,800000,1300000,1900000,2600000,3700000,5400000,7500000,9500000,11200000,12000000,11977000,14967000,17012000,20511000,23710000,29073000,33597000,37399000,39201000,40020000,40755000,44706000,54052000,64191000,72672000,86598000,104052000,127400000,138200000,148700000,162400000,170700000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-200000,-100000,-300000,-100000,300000,700000,400000,-400000,2453000,2532000,1106000,3503000,-1520000,-3165000,-3705000,-911000,-2419000,6099000,1602000,15747000,15442000,8129000,1760000,8290000,25571000,-30000000,33800000,15000000,2900000,-13700000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3247000,3850000,4030000,4050000,4800000,5400000,7039000,5841000,4100000,5200000,5100000,5700000,5700000,5600000
77,Change in Working Capital,- -,- -,-1900000,- -,- -,- -,- -,66100000,- -,12400000,28100000,35900000,51200000,63145000,43835000,48742000,43833000,73628000,90587000,106410000,79100000,84430000,35445000,60658000,124807000,34162000,86147000,39283000,83698000,153516000,139574000,294100000,33700000,-25600000,-318900000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16107000,21362000,-64622000,-77678000,-43291000,-51593000,-63418000,-20608000,-40490000,-103700000,-120300000,-30400000,-29700000,-135200000
79,Inventory,- -,- -,-1300000,-1700000,-2500000,-4000000,-7000000,-8700000,-9300000,-16300000,-22900000,-14300000,-12900000,-36471000,-2605000,-71738000,-15622000,-74449000,-54228000,-94436000,-48595000,-59655000,60425000,-48964000,-88783000,-69231000,-68685000,-87622000,-47830000,-80853000,-76300000,-193300000,-84400000,36000000,-189500000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8596000,-14172000,6984000,13305000,4240000,13234000,12501000,20617000,-17233000,36300000,46100000,-800000,14200000,26100000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,66100000,66100000,78500000,106600000,142500000,193700000,256845000,300680000,349422000,393255000,466883000,557470000,663880000,742980000,827410000,862855000,923513000,1048320000,1082482000,1168629000,1207912000,1291610000,1445126000,1584700000,1878800000,1912500000,1886900000,1300000
82,Other Non-Cash Items,- -,- -,- -,-2900000,-3900000,-5000000,-10000000,-76900000,-17800000,-40200000,-64400000,-57200000,-72300000,-120052000,-39719000,-124583000,-61344000,-169370000,-161397000,-237465000,-120316000,-144266000,36299000,-131913000,-278750000,-132700000,-196383000,-115512000,-153848000,-272718000,-235574000,-548900000,-151300000,97300000,1400000
83,Cash Provided by Operating Activities,- -,- -,3000000,4200000,4000000,5500000,4400000,11300000,14900000,12500000,14700000,43300000,56000000,38253000,91727000,17819000,90623000,57437000,121912000,97875000,227894000,259898000,306070000,240488000,268489000,396292000,416120000,499392000,546940000,513999000,585200000,674200000,842700000,1101800000,770100000
84,CAPEX,- -,- -,-1100000,-1800000,-4000000,-5400000,-5500000,-8100000,-16700000,-26200000,-28700000,-37200000,-39200000,-36729000,-45342000,-42683000,-50246000,-52687000,-65910000,-77581000,-55759000,-95306000,-52538000,-73597000,-120043000,-138406000,-206540000,-189474000,-155168000,-189451000,-119900000,-176300000,-246400000,-168100000,-156600000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5032000,- -,- -,- -,- -,-5575000,-23493000,- -,-58700000,-3700000,- -,-125000000,- -
